[00:38.590 --> 00:43.830]  The event's been good. I think this is my favorite Secret Cup that we've done out
[01:07:44.620 --> 01:08:09.620]  It seemed that as time went on, there was less of an interest from the community to help. And we had always relied on the community. So it's one thing to find a venue that is making no money and you're going to give them thousands of dollars to like use their event space for a big ass event. Like, that's a little easier. It seemed like over time than finding an intimate space for 100 friends to hang out.
[01:08:10.620 --> 01:08:18.620]  You know, like Airbnb was up on the whole party thing. It just got harder and harder to do the VIP stuff to like put out the money ahead of time.
[01:08:18.620 --> 01:08:34.620]  You know, I've been to a lot of these things since the first one in Seattle that I was able to go to. And there was kinks then too, you know what I mean? But it just, you know, learn to expect it. And it's, you know, it's a bunch of stoners putting together a party, you know what I mean? So...
[01:08:35.620 --> 01:08:43.620]  As we were doing the Secret Cup, we ran into all these problems, all these different ways. And one that was common was legal problems with the police.
[01:08:43.620 --> 01:08:48.620]  From the first event in Los Angeles, we had police called in who showed up in riot gear.
[01:08:49.620 --> 01:08:56.620]  That same year, we had issues with them in San Francisco involving our venue. And we had to switch that last minute. That happened often.
[01:08:57.620 --> 01:09:06.620]  The worst time was probably Colorado where it happened twice in a week. And we had to switch cities because at one venue I had to talk to detectives who had a file on us.
[01:09:07.620 --> 01:09:17.620]  The second event in Arizona was the only event they forced us to cancel. But in Humboldt, they showed up to the second event with canine units and wanted to arrest everyone they could.
[01:09:17.620 --> 01:09:27.620]  In Spain, they met me as I was exiting the plane with my picture and wanted to look through my luggage because all the trophies and prizes made them suspicious of me.
[01:09:27.620 --> 01:09:35.620]  The last event we even did had a local cannabis advocacy group take a public stand and see the event simply for coming to their town.
[01:09:36.620 --> 01:09:42.620]  There were so many times we had to deal with problems like these. All of it made it really difficult to continue with the events.
[01:09:42.620 --> 01:09:51.620]  And it also led us to having to do refunds and cover losses from dropouts and deal with all the negativity surrounding all those kinds of things.
[01:09:52.620 --> 01:09:56.620]  Caught a few people trying to cheat and the support from the community just became much less.
[01:09:57.620 --> 01:10:05.620]  We weren't making a bunch of money. We were doing these events for the love of cannabis and recognizing the really true achievement and innovations in the cannabis industry.
[01:10:06.620 --> 01:10:15.620]  When we started to run into so many problems, especially financially, and people just not appreciating what we were trying to do, we decided to stop doing it.
[01:10:18.620 --> 01:10:27.620]  To sum it up, there's two aspects of how we inspired people. We inspired people with the spirit of the Secret Cup and we inspired them with the business of the Secret Cup.
[01:10:28.620 --> 01:10:35.620]  The spirit of the Secret Cup was, for me, it was freedom. It was almost like being a kid again.
[01:10:37.620 --> 01:10:49.620]  It was like a summer camp, like a getaway, like a convention for a very niche society of people that were making hash for the community.
[01:10:50.620 --> 01:10:55.620]  That had built fans that were like celebrity chefs that had some notoriety.
[01:10:56.620 --> 01:11:01.620]  So we were able to just bring all these people together and it was great.
[01:11:02.620 --> 01:11:10.620]  And that was the best part of it for me. You do stuff you do at other events. Listen to music, eat food, all that stuff.
[01:11:11.620 --> 01:11:15.620]  But the love of the cannabis was why everybody was there and that was great.
[01:11:16.620 --> 01:11:17.620]  Does that live on?
[01:11:17.620 --> 01:11:20.620]  It sure does live on, but not like it was.
[01:11:21.620 --> 01:11:31.620]  Now that it's been a couple years since we've done an event, right around the time we did the campouts, there is a group of people who start talking about doing another Secret Cup.
[01:11:32.620 --> 01:11:41.620]  When I run into people at other events, it's very common for them to tell me about how their company owes some of their success to the Secret Cup in some way.
[01:11:41.620 --> 01:11:44.620]  They got their first booth there, they made some important connection.
[01:11:45.620 --> 01:11:48.620]  And the love for the positive experiences is still strong.
[01:11:49.620 --> 01:11:52.620]  And that makes me super happy for all those people who are still doing it.
[01:11:53.620 --> 01:11:58.620]  And Big D, you made it all possible for me, so thank you very, very much. I really appreciate it.
[01:12:00.620 --> 01:12:04.620]  But yeah, there were more events after this. We inspired a lot of people to do this on their own.
[01:12:04.620 --> 01:12:13.620]  In fact, one thing that I said to every one of the Cups we had was, look, we did this, we're just like you, do this too.
[01:12:14.620 --> 01:12:22.620]  Give your people a place to buy better medicine cheaper, directly from the people that are making it.
[01:12:23.620 --> 01:12:31.620]  Build these relationships that will carry over after legalization and after the chads come in and steal it from you.
[01:12:31.620 --> 01:12:35.620]  I really did my best to spread those seeds everywhere I went.
[01:12:36.620 --> 01:12:39.620]  And we didn't even ask for credit from anybody.
[01:12:42.620 --> 01:12:45.620]  A lot of times people get really upset.
[01:12:46.620 --> 01:12:50.620]  They start to see into things that aren't there.
[01:12:51.620 --> 01:12:56.620]  And then they start to believe these stories that they've created for themselves.
[01:12:56.620 --> 01:13:00.620]  We had people that entered our event lots of different times and they never won.
[01:13:01.620 --> 01:13:03.620]  They get really frustrated.
[01:13:06.620 --> 01:13:10.620]  It's hard to accept that you just aren't doing the best work that's out there.
[01:13:11.620 --> 01:13:17.620]  It's a lot easier to say that there's some sort of conspiracy against you and that's why you're not winning.
[01:13:18.620 --> 01:13:23.620]  Anytime that you do something that somebody else isn't doing, even if it's a thing,
[01:13:23.620 --> 01:13:28.620]  even if it's a failure, it's still a progression because in that failure you're going to learn from it.
[01:13:29.620 --> 01:13:33.620]  And you're going to learn something that you would have never learned had you not taken the step anyway.
[01:13:34.620 --> 01:13:38.620]  So anything that's a progression towards something that hasn't been done before,
[01:13:39.620 --> 01:13:43.620]  in my mind, is an advancement towards something better,
[01:13:44.620 --> 01:13:47.620]  even if it's not something that you initially recognized as better.
[01:13:48.620 --> 01:13:54.620]  We were operating in a gray area between medical and recreational.
[01:13:55.620 --> 01:13:58.620]  They passed these laws and they were not very specific.
[01:13:59.620 --> 01:14:02.620]  So you kind of had blanket protection in order to put one of these on.
[01:14:03.620 --> 01:14:07.620]  A lot of times the local authorities didn't even want to bother with us.
[01:14:08.620 --> 01:14:10.620]  We put this together with our friends.
[01:14:11.620 --> 01:14:15.620]  We made a movement that attracted people from all over the country and all over the world.
[01:14:15.620 --> 01:14:21.620]  That built up the mythos of this subculture to the point where it entered popular culture.
[01:14:23.620 --> 01:14:29.620]  But at the end of the day, we didn't have the resources to go on anymore, so we had to stop.
[01:14:30.620 --> 01:14:35.170]  You know, the movement still goes on.
[01:14:36.170 --> 01:14:40.170]  There are still other events that are kind of doing similar things to what we were doing.
[01:14:41.170 --> 01:14:46.170]  And some of the people that used to attend our events are headlining those other events.
[01:14:46.170 --> 01:14:48.170]  But it's not the same.
[01:14:50.170 --> 01:14:56.240]  I think this is one of the best events out there.
[01:14:57.240 --> 01:15:04.240]  I really think that we would love to have more people that are purists and people like us, like-minded people,
[01:15:05.240 --> 01:15:06.240]  get involved all over.
[01:15:07.240 --> 01:15:10.240]  As we're opening up the doors in the United States for legal marijuana,
[01:15:11.240 --> 01:15:15.240]  I think it's also going to open up the doors for more people to become family in the Secret Cup.
[01:15:15.240 --> 01:15:18.240]  So I would recommend it. I would love to see this family grow.
[01:15:19.240 --> 01:15:24.240]  The best part about the Secret Cup is how it brings all the like-minded individuals together,
[01:15:25.240 --> 01:15:27.240]  kind of in a form of unity.
[01:15:28.240 --> 01:15:30.240]  And it's not so much about the commercialization.
[01:15:31.240 --> 01:15:34.240]  It's more about the art. It's more about the product.
[01:15:35.240 --> 01:15:37.240]  It's more about the sense of community.
[01:15:38.240 --> 01:15:42.240]  You know, everybody's going to have a good time no matter what, because we're all here together.
[01:15:42.240 --> 01:15:46.240]  So all that small stuff doesn't really matter.
[01:15:47.240 --> 01:15:49.240]  We all made it here. We're all having a good time.
[01:15:50.240 --> 01:15:56.240]  It could be stressful because of the logistics side of things, but in the end, it always comes together.
[01:15:57.240 --> 01:15:59.240]  I love everybody gathering.
[01:16:00.240 --> 01:16:06.240]  And really, man, this shit's like being in some magical wonderland that people just don't...
[01:16:06.240 --> 01:16:11.240]  I mean, when my friends and my folks hear about how we're getting down out here, they just can't believe it.
[01:16:12.240 --> 01:16:14.240]  It's nuts. They see the videos. It's really cool.
[01:16:15.240 --> 01:16:16.240]  It's a blessing to be a part of all of this.
[01:16:17.240 --> 01:16:19.240]  And I can only relate it to when I was younger, I thought,
[01:16:20.240 --> 01:16:25.240]  man, if we could only live in the times of when the hippies were doing the 60s, the 70s, the Woodstock days,
[01:16:26.240 --> 01:16:27.240]  how crazy that must have been.
[01:16:28.240 --> 01:16:32.240]  Like, where are we? I think we're in that blip of our 60s, 70s.
[01:16:32.240 --> 01:16:37.240]  It's just cool to be a part of this, have so many of the homies get down that we do get down with.
[01:16:38.240 --> 01:16:40.240]  And you already know, it's just the beginning. It's going to keep going.
[01:16:41.240 --> 01:16:43.240]  Secret Cup to infinity and beyond.
[01:16:44.240 --> 01:16:47.240]  Yeah, I mean, dude, it just erupted into its own thing.
[01:16:48.240 --> 01:16:52.240]  The cannabis scene from place to place is unique and wonderful.
[01:16:53.240 --> 01:16:59.240]  They have their own genetics. They have their own heroes, their own soldiers.
[01:16:59.240 --> 01:17:01.240]  They have their activists.
[01:17:02.240 --> 01:17:08.240]  There are really wonderful things going on all over the country, all over the world.
[01:17:09.240 --> 01:17:12.240]  And when you go to these other places and you start to learn these stories,
[01:17:13.240 --> 01:17:16.240]  and part of the story is the culture of the place that you're in.
[01:17:17.240 --> 01:17:23.240]  And part of the story is the cannabis history that is from this location
[01:17:24.240 --> 01:17:28.240]  and surrounding all of these kind of genetics and things.
[01:17:29.240 --> 01:17:34.240]  And these different growers and hash makers.
[01:17:35.240 --> 01:17:38.240]  All of that stuff is so rich.
[01:17:39.240 --> 01:17:42.240]  And for me as a cannabis enthusiast, a true person that loved cannabis,
[01:17:43.240 --> 01:17:46.240]  like going to these places and hearing these stories and meeting these people,
[01:17:47.240 --> 01:17:48.240]  it was awesome for me.
[01:17:49.240 --> 01:17:52.240]  And just as cool as it was for them to be a part of our event,
[01:17:53.240 --> 01:17:55.240]  it was cool for me to be a part of their history and their culture.
[01:17:55.240 --> 01:17:59.240]  One thing I want to communicate is the best thing about it all for me
[01:18:00.240 --> 01:18:02.240]  wasn't the cannabis, it was the freedom.
[01:18:03.240 --> 01:18:09.240]  It was like traveling to a different city and people there greeting us warmly
[01:18:10.240 --> 01:18:14.240]  and giving us gifts and feeding us and taking us to their favorite spots
[01:18:15.240 --> 01:18:17.240]  and showing us their zones like only a local could.
[01:18:18.240 --> 01:18:20.240]  Local people that would hear that you're coming out
[01:18:21.240 --> 01:18:23.240]  and they would want to take us to their grow
[01:18:23.240 --> 01:18:27.240]  or they would want to take us to some really local special food spot.
[01:18:28.240 --> 01:18:30.240]  And sometimes it had nothing to do with cannabis.
[01:18:31.240 --> 01:18:33.240]  They just wanted to show us the history of the town.
[01:18:34.240 --> 01:18:36.240]  And I loved it. It was so wonderful.
[01:18:37.240 --> 01:18:40.240]  I enjoyed that probably the best out of all the things that we did.
[01:18:41.240 --> 01:18:44.240]  I love that shit. I loved it. That was my favorite part.
[01:18:45.240 --> 01:18:48.240]  I'm glad to see you all out here and supporting.
[01:18:49.240 --> 01:18:51.240]  This is what we wanted to do. We want to spread the movement.
[01:18:51.240 --> 01:18:54.240]  You guys all get it. This is a medical event too.
[01:18:55.240 --> 01:18:57.240]  So I really want to thank all you guys that are patients.
[01:18:58.240 --> 01:19:02.240]  I really believe in the medical value to what we do here.
[01:19:03.240 --> 01:19:06.240]  It's pretty commonly known that having friends and having a good social life
[01:19:07.240 --> 01:19:09.240]  is healing for people.
[01:19:10.240 --> 01:19:12.240]  And they're constantly trying to keep us away from each other.
[01:19:13.240 --> 01:19:15.240]  They don't want us to be friends. I don't know what it's about.
[01:19:16.240 --> 01:19:19.240]  But we're all here together and we're forming a family
[01:19:19.240 --> 01:19:21.240]  and they're not going to be able to keep us apart.
[01:19:22.240 --> 01:19:24.240]  So thank you guys all for being out here.
[01:19:25.240 --> 01:19:27.240]  And I hope you had a great time.
[01:19:28.240 --> 01:19:33.240]  When we first did the events, people were very skeptical about our ability to do them
[01:19:34.240 --> 01:19:36.240]  and the whole thing and they would have a lot to say.
[01:19:37.240 --> 01:19:39.240]  And then as we were doing them and people were having these amazing, wonderful times
[01:19:40.240 --> 01:19:42.240]  and there were these colossal successes,
[01:19:43.240 --> 01:19:47.240]  people wanted to get on board and become supporters.
[01:19:47.240 --> 01:19:51.240]  And so we had some people kind of just had play on our name.
[01:19:52.240 --> 01:19:56.240]  They started their own event and they had a similar name to our event.
[01:19:57.240 --> 01:20:01.240]  But that ultimately resulted in people just straight up stealing our name.
[01:20:02.240 --> 01:20:07.240]  There were multiple events in other countries that were just called the Secret Cup
[01:20:08.240 --> 01:20:10.240]  that we had no affiliation with at all.
[01:20:11.240 --> 01:20:12.240]  I guess that's flattering.
[01:20:12.240 --> 01:20:18.240]  And kind of now where I'm standing, I'm ready to give the title of Secret Cup to the world
[01:20:19.240 --> 01:20:21.240]  and everyone can go throw their own Secret Cups.
[01:20:22.240 --> 01:20:26.240]  I wish everyone all the success and all the happy times that we had.
[01:20:27.240 --> 01:20:28.240]  Okay, let's get to it.
[01:20:29.240 --> 01:20:34.240]  We were really lucky that we got to do it in the right time and we did it in the right time.
[01:20:35.240 --> 01:20:39.240]  And a lot of people made a lot of connections and we all made a lot of memories
[01:20:40.240 --> 01:20:41.240]  and we all made a lot of friendships.
[01:20:42.240 --> 01:20:46.240]  But the thing we did could only happen in the time period that it happened.
[01:20:47.240 --> 01:20:48.240]  And I'm glad we made it happen.
[01:21:13.570 --> 01:21:15.570]  Dabbing with the judges, extract extraordinaires.
[01:21:16.570 --> 01:21:18.570]  Tangy to the T.I. Terps, got them well aware.
[01:21:19.570 --> 01:21:21.570]  Highly educated, top notch, dab in there.
[01:21:22.570 --> 01:21:24.570]  You damn right we faded, but I still hit it, I ain't scared.
[01:21:25.570 --> 01:21:27.570]  Call me Mr. Dabolina, Mr. Glav Dabolina.
[01:21:28.570 --> 01:21:30.570]  The 91' ISO got the rig looking cleaner.
[01:21:31.570 --> 01:21:33.570]  Dab, barn, do it big. Where's my number? Have you seen it?
[01:21:34.570 --> 01:21:36.570]  That's the game of the event and most will never find it neither.
[01:21:37.570 --> 01:21:39.570]  Welcome to the Cup. Welcome to the Cup. Welcome to the Cup.
[01:21:40.570 --> 01:21:42.570]  Grab a torch, fire it up. Welcome to the Cup.
[01:21:43.570 --> 01:21:45.570]  Welcome to the Cup. Welcome to the Cup.
[01:21:47.570 --> 01:21:49.570]  Grab a torch, fire it up. Dab it, dab it up.
[01:21:50.570 --> 01:21:51.570]  Dab it, dab it up. Dab it, dab it up.
[01:21:52.570 --> 01:21:55.570]  We once made it. Dab it, dab it up.
[01:22:02.570 --> 01:22:05.570]  Fuck Jeremy, nobody tells him about this.
[01:22:09.570 --> 01:22:11.970]  This is what you don't see at the Secret House.
