[00:00.000 --> 00:01.440]  One, two, last four!
[45:06.470 --> 45:09.590]  And then, and the owners of the store, you know,
[45:09.590 --> 45:14.590]  they had DEA T-shirts standing next to all the DEA guys.
[45:14.990 --> 45:15.830]  Oh, no.
[45:17.430 --> 45:18.910]  Irony is thick there.
[45:18.910 --> 45:23.910]  Yeah, but so I never took it serious, you know.
[45:24.990 --> 45:27.310]  And then come time, you know,
[45:27.310 --> 45:30.270]  then it came time to close it.
[45:30.270 --> 45:32.350]  Oh, I'm going to court.
[45:32.350 --> 45:33.190]  Yeah.
[45:33.190 --> 45:35.990]  I got to go before a judge, oh shit.
[45:35.990 --> 45:39.310]  So then that night I wrote a whole thing,
[45:39.310 --> 45:40.910]  almost like a confession, you know,
[45:40.910 --> 45:42.710]  and I showed it to my lawyer.
[45:42.710 --> 45:46.670]  My lawyer says, no, no, that ain't gonna help.
[45:47.270 --> 45:50.590]  And so then I addressed the judge,
[45:50.590 --> 45:53.510]  he wanted to hear what I had to say before he sentenced me.
[45:53.510 --> 45:58.510]  And I told him, I said, you know, judge, you know,
[45:58.910 --> 46:02.390]  I'm involved, you know, because of the trial,
[46:02.390 --> 46:05.110]  I'm involved with teaching kids
[46:05.110 --> 46:09.190]  at Chapman University in Orange County.
[46:09.190 --> 46:13.310]  I says, and what I'm teaching them is how to dance salsa,
[46:13.350 --> 46:18.070]  because salsa is such a beautiful cultural dance
[46:18.070 --> 46:22.630]  that is being lost, you know, and it would be nice,
[46:22.630 --> 46:26.430]  you know, so I think that I could do more good
[46:26.430 --> 46:29.070]  on the outside teaching these kids
[46:29.070 --> 46:33.150]  than I would be, you know, in prison.
[46:33.150 --> 46:34.950]  And the judge said, is that it?
[46:35.870 --> 46:36.710]  Oh, shit.
[46:38.150 --> 46:38.990]  Damn.
[46:39.150 --> 46:43.110]  I said, yeah, okay, nine months, boom.
[46:44.230 --> 46:49.230]  And, but, you know, it was,
[46:51.390 --> 46:54.550]  soon as I knew I was going to jail, then I was fine.
[46:54.550 --> 46:56.630]  Then it was exciting.
[46:56.630 --> 47:00.590]  Now I was like, hey, you know, I'm going on an acting gig.
[47:00.590 --> 47:03.710]  I'm gonna be gone for nine months, shooting a movie,
[47:03.710 --> 47:04.590]  because that's what we did.
[47:04.590 --> 47:07.310]  We shot the documentary the whole time.
[47:07.310 --> 47:09.710]  And it's out now, you know, you can get it.
[47:09.710 --> 47:13.910]  It's AKA Tommy Chong, and it's all about my prison state,
[47:13.910 --> 47:16.710]  you know, while I was there and what I did.
[47:16.710 --> 47:20.310]  I, it was one of the nicest times of my life.
[47:20.310 --> 47:23.870]  It was, I turned it into a spiritual retreat.
[47:23.870 --> 47:28.350]  I had the I Ching with me, the Book of Changes.
[47:28.350 --> 47:32.790]  I had my Goldsmiths book.
[47:33.670 --> 47:38.670]  I just really played in the garden the whole time.
[47:40.510 --> 47:45.510]  Not played, I made ceramics out of clay,
[47:45.910 --> 47:49.230]  and I made little Japanese gardens out of the rocks.
[47:49.230 --> 47:50.070]  Nice.
[47:50.070 --> 47:54.030]  And I just really, every day was so special.
[47:54.030 --> 47:58.070]  And I read a lot of books that I would never normally read.
[47:58.070 --> 48:00.430]  Well, Salt was one of the books.
[48:01.270 --> 48:03.950]  I learned how to play bocce ball.
[48:03.950 --> 48:07.950]  I looked at so much fun, so addicting.
[48:07.950 --> 48:10.310]  But I found that only in prison, you know.
[48:10.310 --> 48:11.150]  Right.
[48:11.150 --> 48:15.270]  It's hard to get a bocce ball game out of prison.
[48:15.270 --> 48:18.910]  But I really, and then I made a lot of friends
[48:18.910 --> 48:21.390]  that, you know, lifetime, you know.
[48:21.390 --> 48:25.670]  I was in there with a caddy who was also bum-wrapped
[48:25.670 --> 48:28.470]  in there, Eric Larson.
[48:28.470 --> 48:33.470]  And he got some ridiculous sentence
[48:33.990 --> 48:36.750]  because he wouldn't rat on anybody,
[48:36.750 --> 48:40.830]  and someone ratted on him to save their life.
[48:40.830 --> 48:41.670]  Right.
[48:41.670 --> 48:44.550]  And so he ended up doing 14 years,
[48:44.550 --> 48:47.230]  and then he finally got, he did 10.
[48:47.230 --> 48:50.150]  For something, but he was a user, that's all.
[48:50.150 --> 48:52.470]  And they tried to make him like a kingpin.
[48:52.470 --> 48:54.350]  So, but so we're friends.
[48:54.350 --> 48:55.990]  He got me into playing golf,
[48:56.030 --> 48:58.910]  got me some free clubs from Cleveland.
[48:58.910 --> 49:03.750]  And yeah, so everything's, my life has just blossomed.
[49:03.750 --> 49:04.590]  So beautiful.
[49:05.710 --> 49:08.510]  Well, that's definitely a situation.
[49:08.510 --> 49:09.790]  It is what you make it.
[49:09.790 --> 49:12.270]  And going back to the truth and seeking the truth,
[49:12.270 --> 49:14.350]  it sounds like you were seeking truth while you were there.
[49:14.350 --> 49:17.110]  And that is a positive experience.
[49:17.950 --> 49:18.790]  Yeah.
[49:18.790 --> 49:19.950]  Yeah, I've changed lives.
[49:19.950 --> 49:21.430]  I know that, you know.
[49:21.430 --> 49:23.150]  In fact, even Eric.
[49:23.270 --> 49:26.190]  Eric was kind of down and out, you know.
[49:26.190 --> 49:29.190]  And then I, my best friend in the joint
[49:29.190 --> 49:32.950]  was the drug counselor who was also an audio engineer.
[49:32.950 --> 49:36.550]  He was an old roadie, and he was the drug counselor.
[49:36.550 --> 49:39.310]  And we'd hang out at his office all the time.
[49:39.310 --> 49:41.670]  Even to the point, one time the warden,
[49:41.670 --> 49:43.510]  the assistant warden bust in
[49:43.510 --> 49:46.190]  and tried to catch us doing something.
[49:46.190 --> 49:47.390]  We weren't doing shit.
[49:47.390 --> 49:50.870]  It was just sitting around drinking coffee.
[49:50.870 --> 49:51.710]  Right, right.
[49:52.270 --> 49:53.270]  Yeah, yeah.
[49:53.270 --> 49:57.590]  No, and so Griff put him on the drug program
[49:57.590 --> 49:59.910]  and got him out within a year.
[49:59.910 --> 50:02.790]  You know, he had all this time knocked off his sentence
[50:02.790 --> 50:04.710]  because he did the drug program.
[50:04.710 --> 50:06.830]  And, you know, in those prisons,
[50:06.830 --> 50:09.790]  they're trying to get people out of there anyway,
[50:09.790 --> 50:12.230]  because it's so crowded, you know.
[50:12.230 --> 50:15.430]  And so there's always new people waiting to get in.
[50:15.430 --> 50:20.230]  Because it really is the only federal education system
[50:20.270 --> 50:24.590]  that we really have in America is in the federal pen.
[50:24.590 --> 50:26.910]  Because when you go federal crimes,
[50:26.910 --> 50:30.990]  it's mandated that if you don't have a high school education
[50:30.990 --> 50:35.310]  you have to get a GED or study for one while you're there.
[50:35.310 --> 50:37.190]  I studied for one, but I failed.
[50:38.390 --> 50:40.030]  I couldn't pass algebra.
[50:41.670 --> 50:43.830]  I'll tell you, that's my Achilles heel too.
[50:43.830 --> 50:46.630]  I was good at math until they started using letters.
[50:46.630 --> 50:48.510]  Come on.
[50:48.550 --> 50:49.790]  I know, I know.
[50:51.950 --> 50:53.510]  Oh, shoot.
[50:53.510 --> 50:56.110]  Well, yeah, again, I'm glad that you made
[50:56.110 --> 50:57.830]  the most of that there.
[50:59.030 --> 51:01.230]  And that you made some good, you know,
[51:01.230 --> 51:03.230]  connections and friends as well.
[51:03.230 --> 51:04.070]  That's important.
[51:04.070 --> 51:06.070]  And I imagine that helped too.
[51:06.070 --> 51:10.110]  Yeah, well, like I say, you know, you can't go back.
[51:10.950 --> 51:13.750]  You know, this way the world is,
[51:13.750 --> 51:16.230]  we're whipping through space
[51:16.230 --> 51:20.430]  at an enormous amount and you can never go back.
[51:21.550 --> 51:23.750]  And that's good.
[51:23.750 --> 51:24.590]  That's good.
[51:24.590 --> 51:27.190]  Now you can recreate, you know,
[51:27.190 --> 51:28.870]  and that's what you wanna do
[51:28.870 --> 51:31.470]  when you get something that works.
[51:31.470 --> 51:34.710]  You know, like a band, you know, gets a hit tune,
[51:34.710 --> 51:36.510]  better not get sick of doing it
[51:37.390 --> 51:39.550]  because that's gonna be what you're doing
[51:39.550 --> 51:43.190]  the rest of your life, you know?
[51:43.230 --> 51:47.790]  Yeah, MC Hammer, I'll stop there.
[51:50.950 --> 51:54.190]  Oh, real quick.
[51:54.190 --> 51:55.150]  Let's see here.
[51:55.150 --> 51:55.990]  I wanna try.
[52:00.030 --> 52:02.670]  Oh, I've managed to keep this a surprise
[52:02.670 --> 52:05.750]  from somebody for a few weeks.
[52:05.750 --> 52:07.990]  And I'm just, okay, let's see.
[52:07.990 --> 52:09.870]  Can I have some water, please?
[52:09.870 --> 52:12.150]  Or you can come here for a second.
[52:12.190 --> 52:15.670]  I just wanna have somebody say hello to you if possible.
[52:15.670 --> 52:16.510]  Sure.
[52:16.510 --> 52:19.310]  This is my wife, Genevieve.
[52:19.310 --> 52:20.150]  She wants to say-
[52:20.150 --> 52:22.070]  Genevieve, I love the name.
[52:22.070 --> 52:23.830]  Are you from England?
[52:23.830 --> 52:24.670]  Oh, I wish.
[52:24.670 --> 52:26.630]  Sometimes I am.
[52:26.630 --> 52:28.350]  Sometimes I'm from other places.
[52:29.670 --> 52:31.790]  She loves doing accents.
[52:31.790 --> 52:33.710]  Where are you from originally?
[52:33.710 --> 52:34.550]  Oh, really?
[52:34.550 --> 52:35.950]  Originally, Wisconsin.
[52:36.950 --> 52:39.910]  From the 70s show, actually, from WASA, was it?
[52:39.910 --> 52:41.270]  Oh yeah, yeah.
[52:41.390 --> 52:44.830]  Are you an actress?
[52:44.830 --> 52:47.350]  Some days, at home.
[52:47.350 --> 52:49.110]  Not out in public, though.
[52:50.830 --> 52:51.670]  Well, that's nice.
[52:51.670 --> 52:52.510]  That's fun.
[52:52.510 --> 52:53.350]  It's very nice to meet you.
[52:53.350 --> 52:56.190]  I wanted to thank you for the bright light you shine
[52:56.190 --> 52:58.750]  in this world, and thanks for sharing your gifts with us.
[52:58.750 --> 53:01.550]  And peace, pot, and micro dot, sir.
[53:02.470 --> 53:04.390]  My pleasure, my pleasure.
[53:04.390 --> 53:05.310]  That's awesome.
[53:06.550 --> 53:07.390]  Thank you.
[53:07.390 --> 53:08.910]  Hope you have a magical day.
[53:08.910 --> 53:09.950]  Thank you, dear.
[53:09.950 --> 53:10.790]  Nice seeing you.
[53:11.310 --> 53:12.150]  You're welcome.
[53:12.150 --> 53:14.750]  Okay, yay, I'm gonna get extra kisses.
[53:14.750 --> 53:16.270]  I managed to get that as a prize.
[53:16.270 --> 53:20.350]  You're a huge, she's a huge fan,
[53:20.350 --> 53:23.390]  so I'm proud that she did throw her bra on stage
[53:23.390 --> 53:24.230]  or something. Beautiful, beautiful.
[53:24.230 --> 53:25.110]  I love her hair.
[53:25.110 --> 53:25.950]  Thank you.
[53:25.950 --> 53:29.550]  Pinky, you know, we've known each other for about 20 years,
[53:29.550 --> 53:32.550]  and my original name for her was Pinky Guns,
[53:32.550 --> 53:34.590]  because she's kind of a smaller girl,
[53:34.590 --> 53:36.270]  and she tried flexing one night.
[53:36.270 --> 53:38.870]  I'm like, Pinky Guns, okay, so that's her name.
[53:39.270 --> 53:41.790]  And that's stuck ever since.
[53:41.790 --> 53:44.230]  But, oh, that was, again,
[53:44.230 --> 53:46.670]  you're creating lifelong memories today,
[53:46.670 --> 53:48.830]  so I do appreciate your time,
[53:48.830 --> 53:51.190]  and I thank you so much for that.
[53:51.190 --> 53:54.510]  And I do wanna just, you know, a couple minutes left here.
[53:54.510 --> 53:57.750]  I wanted to touch on one of the other important aspects
[53:57.750 --> 54:00.710]  to me again, is, you know, I want people to remember,
[54:00.710 --> 54:03.430]  you know, the sacrifices that you've made
[54:03.430 --> 54:05.190]  for this plant that we all love.
[54:06.110 --> 54:09.510]  Another topic, though, that is very near and dear to me
[54:09.510 --> 54:11.990]  is cannabis as a medicine.
[54:11.990 --> 54:16.450]  I use cannabis as a medicine and have for many years.
[54:16.450 --> 54:19.350]  You've had your own experience with cannabis as medicine.
[54:19.350 --> 54:22.270]  Can you maybe tell people a little bit about the experience
[54:22.270 --> 54:23.910]  and also what you're doing now
[54:23.910 --> 54:28.470]  for people seeking these types of remedies?
[54:28.470 --> 54:31.350]  Well, again, truth.
[54:31.350 --> 54:35.110]  If you think you have something,
[54:35.110 --> 54:38.710]  and you know, you find out that you do or you don't,
[54:40.830 --> 54:44.150]  I found out, you know, when I was in prison
[54:44.150 --> 54:48.030]  that I contracted prostate cancer.
[54:48.950 --> 54:52.430]  And at first, they give you that old,
[54:52.430 --> 54:54.670]  oh, don't worry, it's a slow-moving cancer.
[54:54.670 --> 54:56.190]  You'll probably die of something else
[54:56.190 --> 54:59.470]  before you die of that bullshit.
[54:59.510 --> 55:03.710]  And it's still cancer, no matter how you have it.
[55:03.710 --> 55:08.710]  And so, anyway, I ended up getting biopsied
[55:08.750 --> 55:13.430]  and all that stuff, and then I turned into rectal cancer.
[55:14.790 --> 55:17.270]  Now, it's a little serious, you know,
[55:17.270 --> 55:22.270]  because now I got to really get an operation.
[55:23.310 --> 55:25.270]  There's no bullshit around.
[55:25.270 --> 55:29.270]  This is what was gonna kill me before anything else.
[55:30.110 --> 55:33.790]  So I got the best medical advice I could get,
[55:33.790 --> 55:38.190]  and I got the best surgeon on the planet, basically.
[55:38.190 --> 55:42.190]  We did the research, and he took out the tumor,
[55:42.190 --> 55:43.550]  and while they were down there,
[55:43.550 --> 55:46.550]  they radiated everything, including the prostate.
[55:46.550 --> 55:49.110]  So I'm basically cancer-free.
[55:49.110 --> 55:50.390]  Now, where the weed came in
[55:50.390 --> 55:53.550]  was when the healing process took over.
[55:53.550 --> 55:54.670]  When they operate on you,
[55:54.670 --> 55:59.030]  they hook you up to all the exotic drugs that they need to.
[55:59.790 --> 56:03.230]  I was on a very nice drug high for a couple of days
[56:03.230 --> 56:05.390]  while I was in the hospital.
[56:05.390 --> 56:09.590]  But getting off those drugs can be pretty tough.
[56:09.590 --> 56:14.350]  So as soon as I got out, I started doing CBD injections.
[56:15.670 --> 56:18.190]  Even though it's a pretty thick oil,
[56:18.190 --> 56:22.350]  I would suffer to get the injections.
[56:22.350 --> 56:27.350]  I think that really helped calm the system,
[56:27.870 --> 56:30.910]  because what happens for drug addicts,
[56:30.910 --> 56:34.870]  it's the nerve endings that cry out
[56:34.870 --> 56:39.030]  for that same numbness that the drug gave them.
[56:39.910 --> 56:43.710]  And what happens when you got pot, cannabis,
[56:43.710 --> 56:46.310]  it soothes those nerve endings.
[56:46.310 --> 56:50.510]  It takes, like it does your mind, it takes your mind away.
[56:50.510 --> 56:52.670]  It takes you to another spot.
[56:52.670 --> 56:55.830]  And so now you're not, you don't even know what you're doing.
[56:55.950 --> 56:59.030]  You don't even know whether you ate or not.
[56:59.030 --> 57:01.910]  You go, did I eat?
[57:03.030 --> 57:03.950]  Why am I hungry?
[57:03.950 --> 57:05.190]  Oh, I just got high.
[57:06.870 --> 57:11.870]  So when that happens, the healing process takes over.
[57:12.030 --> 57:13.630]  And the healing process right away,
[57:13.630 --> 57:17.110]  if your mind is not interfering,
[57:17.110 --> 57:18.710]  and your mind can interfere,
[57:18.710 --> 57:21.070]  that's where fear comes in probably.
[57:21.070 --> 57:24.390]  Because fear will freeze everything in your body.
[57:24.390 --> 57:27.670]  It stops you, fight or flight it's called.
[57:27.670 --> 57:29.470]  So you get rid of the fear,
[57:29.470 --> 57:32.950]  get rid of the anxieties and the worryness.
[57:32.950 --> 57:35.550]  And worrying is always either living in the past
[57:35.550 --> 57:37.830]  or living in the future.
[57:37.830 --> 57:40.590]  But we put you in the present.
[57:40.590 --> 57:42.590]  It makes you right there trying to figure out
[57:42.590 --> 57:44.270]  where the hell you are.
[57:44.270 --> 57:46.470]  You'll be driving home and next thing you know,
[57:46.470 --> 57:48.630]  you go, oh, fuck, where am I?
[57:48.630 --> 57:50.070]  I don't recognize anything,
[57:50.070 --> 57:52.070]  because you're in the moment.
[57:52.070 --> 57:55.550]  This one moment you looked around that you never used.
[57:55.550 --> 57:57.150]  You just got the blinders.
[57:57.150 --> 57:59.390]  Yeah, so you've got the moment.
[57:59.390 --> 58:03.190]  And just like you can never remember what you were doing,
[58:03.190 --> 58:05.870]  that's what the body needs.
[58:05.870 --> 58:10.150]  Because the body needs to be calm,
[58:10.150 --> 58:11.790]  and so it can heal.
[58:12.990 --> 58:15.310]  And that's what happened to me.
[58:15.310 --> 58:18.670]  So I healed, I healed really, really fast.
[58:18.670 --> 58:21.350]  And it's attitude too.
[58:23.070 --> 58:24.830]  Like depression, for instance.
[58:24.830 --> 58:27.510]  Depression is either worrying about the past
[58:27.510 --> 58:31.230]  or living in the past or living in the future.
[58:32.790 --> 58:34.390]  It's not living in the present.
[58:36.230 --> 58:38.790]  And that's what depression is.
[58:38.790 --> 58:42.590]  And so whatever can move you out of that rut,
[58:42.590 --> 58:46.270]  because like a rut, when a car gets stuck in the mud,
[58:46.270 --> 58:47.510]  you get stuck in a rut.
[58:47.510 --> 58:49.590]  You can't rock it back and forth,
[58:49.590 --> 58:51.590]  and you're not going anywhere.
[58:52.110 --> 58:53.510]  But you gotta get out of that rut.
[58:53.510 --> 58:56.990]  And that's where cannabis will take you smoothly.
[58:56.990 --> 58:58.510]  And all of a sudden when you do the cannabis,
[58:58.510 --> 59:01.310]  there's no rough road.
[59:01.310 --> 59:05.430]  They're just that nice and smooth, gentle ride,
[59:05.430 --> 59:06.790]  all the way to where you're going.
[59:06.790 --> 59:08.350]  And where are you going?
[59:08.350 --> 59:10.430]  Really, that's where sleep comes in.
[59:11.310 --> 59:14.470]  See, sleep, I found, personally,
[59:14.470 --> 59:18.670]  that sleep is the most healing activity
[59:18.710 --> 59:22.590]  you can enjoy every night.
[59:22.590 --> 59:24.270]  Every night.
[59:24.270 --> 59:26.630]  You can enjoy that activity.
[59:26.630 --> 59:31.630]  And so if you're smart, you do the tonics.
[59:33.910 --> 59:36.550]  I don't have my sleep on, but it's similar to this.
[59:36.550 --> 59:38.110]  It's called nice dreams.
[59:39.830 --> 59:42.150]  You've got a little touch of melatonin
[59:42.150 --> 59:45.190]  and into a nice dream state.
[59:45.190 --> 59:46.630]  Not a druggy state.
[59:48.790 --> 59:49.630]  Dream state.
[59:49.630 --> 59:54.030]  And I found out that mixing testosterone
[59:55.670 --> 01:00:00.670]  in the cannabis, you can have a nice sleep,
[01:00:00.670 --> 01:00:03.030]  but you can also have a horny sleep, too.
[01:00:05.030 --> 01:00:06.310]  You're pitching a tent.
[01:00:06.310 --> 01:00:08.190]  You can have those sexy dreams.
[01:00:11.470 --> 01:00:15.830]  So that's how you live.
[01:00:16.830 --> 01:00:21.830]  You treat your body to that as nice as you can.
[01:00:22.230 --> 01:00:24.030]  Treat your body nice.
[01:00:24.030 --> 01:00:26.910]  It's been working for you all its life.
[01:00:26.910 --> 01:00:29.270]  And so it needs comfort.
[01:00:29.270 --> 01:00:30.390]  Needs a massage.
[01:00:30.390 --> 01:00:32.430]  It needs the warm bath.
[01:00:32.430 --> 01:00:37.270]  It needs the, don't be in a rush, ever.
[01:00:37.270 --> 01:00:40.270]  That's when you get hurt, when you get old.
[01:00:40.270 --> 01:00:42.990]  Because you don't have reflexes anymore.
[01:00:42.990 --> 01:00:45.550]  And there's no reason to move fast.
[01:00:46.510 --> 01:00:48.310]  Just like there's no reason to talk.
[01:00:49.230 --> 01:00:50.870]  A lot of old guys, they get grumpy
[01:00:50.870 --> 01:00:52.910]  because no one listens to them.
[01:00:52.910 --> 01:00:55.670]  Well, they've heard everything you have to say, dude.
[01:00:57.550 --> 01:00:59.910]  We know what you have to say.
[01:00:59.910 --> 01:01:01.190]  And you're gonna say it.
[01:01:01.190 --> 01:01:04.870]  And sometimes the family will just wait until you say it.
[01:01:04.870 --> 01:01:08.590]  Get it out there.
[01:01:08.590 --> 01:01:13.590]  I tell people, enjoy your life wherever you're at.
[01:01:14.430 --> 01:01:19.430]  Because that's all you can do consciously.
[01:01:22.350 --> 01:01:23.950]  Now you have a choice.
[01:01:23.950 --> 01:01:28.950]  You can jump into the depression thing.
[01:01:29.670 --> 01:01:30.830]  Your karma, you know?
[01:01:30.830 --> 01:01:34.590]  Might be your sentence to many years of depression.
[01:01:35.590 --> 01:01:36.670]  By your karma.
[01:01:38.390 --> 01:01:39.230]  We don't know.
[01:01:40.070 --> 01:01:40.910]  We don't know.
[01:01:40.910 --> 01:01:42.110]  But all we do know.
[01:01:43.670 --> 01:01:47.750]  If you follow the golden rule, do unto others.
[01:01:49.390 --> 01:01:53.030]  If you follow the golden rule where they say a judge not.
[01:01:54.830 --> 01:01:57.030]  And that's not judging people.
[01:01:57.030 --> 01:01:59.070]  I mean, that's activity.
[01:02:00.990 --> 01:02:04.510]  Judging people by their skin color.
[01:02:05.630 --> 01:02:06.990]  Or by their accent.
[01:02:06.990 --> 01:02:10.350]  Or by their raggedy clothes.
[01:02:10.350 --> 01:02:11.950]  That's judging.
[01:02:11.950 --> 01:02:16.110]  And if you don't judge, you free yourself.
[01:02:16.110 --> 01:02:17.310]  You're free now.
[01:02:17.310 --> 01:02:18.710]  You can see things.
[01:02:20.030 --> 01:02:23.030]  But if you judge right away, oh, that looks scary.
[01:02:23.030 --> 01:02:25.070]  Then you don't look at it anymore.
[01:02:25.070 --> 01:02:26.230]  But if you looked at it closely,
[01:02:26.230 --> 01:02:28.190]  you'd go, wow, that's beautiful.
[01:02:30.150 --> 01:02:30.990]  Yeah.
[01:02:30.990 --> 01:02:35.990]  It's, we as individuals, we have the power
[01:02:37.390 --> 01:02:39.910]  to be happy or unhappy.
[01:02:39.910 --> 01:02:40.990]  It's up to us.
[01:02:42.950 --> 01:02:46.750]  And with me, I choose to be happy.
[01:02:46.750 --> 01:02:48.150]  Yes.
[01:02:48.150 --> 01:02:49.750]  It's a conscious choice.
[01:02:49.750 --> 01:02:52.590]  And it's a choice that can happen and it can work.
[01:02:52.590 --> 01:02:54.750]  And that's why we're the Friendly Cannabis Show.
[01:02:54.750 --> 01:02:55.670]  Yes.
[01:02:55.670 --> 01:02:56.510]  Yep.
[01:02:56.510 --> 01:02:59.590]  Seeking the truth and the beauty and the happiness out there.
[01:02:59.590 --> 01:03:04.590]  And cannabis, it brings us to a lot of these things.
[01:03:05.750 --> 01:03:07.790]  So excellent words.
[01:03:07.790 --> 01:03:10.750]  I think those are great words to close on.
[01:03:10.910 --> 01:03:13.790]  I do wanna give you though, the opportunity before we go,
[01:03:13.790 --> 01:03:15.950]  if there was anything that you had upcoming
[01:03:15.950 --> 01:03:20.190]  or anything that you wanted to let people know about
[01:03:20.190 --> 01:03:21.870]  or just where to find you.
[01:03:21.870 --> 01:03:24.230]  Now you said you weren't gonna test me.
[01:03:26.190 --> 01:03:27.470]  No, no.
[01:03:27.470 --> 01:03:28.310]  No testing.
[01:03:28.310 --> 01:03:31.270]  I, you know, I was hoping though,
[01:03:31.270 --> 01:03:34.670]  for maybe if we could get a dad joke out of you.
[01:03:34.670 --> 01:03:37.230]  I don't know if you know any dad jokes, but.
[01:03:37.230 --> 01:03:38.150]  Dad?
[01:03:38.150 --> 01:03:38.990]  Yeah.
[01:03:39.030 --> 01:03:41.030]  Okay, so a dad joke is one of those ones
[01:03:41.030 --> 01:03:42.710]  it's just so bad, it's good.
[01:03:42.710 --> 01:03:44.550]  Like here's an example.
[01:03:44.550 --> 01:03:48.070]  Like why do they put fences around cemeteries?
[01:03:49.470 --> 01:03:51.550]  Cause people are dying to get in there.
[01:03:56.670 --> 01:04:00.270]  Why do seagulls fly over the sea?
[01:04:00.270 --> 01:04:03.630]  Because if they flew over the bay, they'd be a bagel.
[01:04:04.750 --> 01:04:05.590]  A bagel?
[01:04:05.630 --> 01:04:06.470]  Pshh.
[01:04:08.950 --> 01:04:11.710]  That's great, that's great dad jokes.
[01:04:11.710 --> 01:04:12.550]  Yep.
[01:04:12.550 --> 01:04:15.830]  Because I can see kids looking at each other going, oh.
[01:04:17.110 --> 01:04:20.550]  Exactly, you're like, yeah, we're not really related.
[01:04:22.830 --> 01:04:26.590]  I don't, you know, that's when I really get stuck
[01:04:26.590 --> 01:04:28.510]  when people say, give me a joke.
[01:04:28.510 --> 01:04:31.350]  They put you on the spot, I know, I know, that's so rude.
[01:04:31.830 --> 01:04:36.830]  But no, that's something again, the test, yeah.
[01:04:39.630 --> 01:04:42.270]  I will go ahead and put your Instagram
[01:04:42.270 --> 01:04:43.470]  as well as the website.
[01:04:43.470 --> 01:04:45.470]  I will put all of these in the show notes.
[01:04:45.470 --> 01:04:48.150]  So anybody who wants to find out.
[01:04:48.150 --> 01:04:48.990]  Yeah.
[01:04:48.990 --> 01:04:49.830]  You're very welcome.
[01:04:49.830 --> 01:04:51.430]  Anybody who wants to find more information
[01:04:51.430 --> 01:04:54.110]  just click on some of the notes down.
[01:04:54.110 --> 01:04:58.990]  Click on there and yeah, we'll do it.
[01:04:58.990 --> 01:04:59.950]  Okay, man.
[01:04:59.950 --> 01:05:01.750]  Awesome, thank you so much for your time.
[01:05:01.750 --> 01:05:04.190]  You have a wonderful evening.
[01:05:04.190 --> 01:05:05.030]  Peace and love.
[01:05:05.030 --> 01:05:06.590]  We'll see you next time.
[01:05:06.590 --> 01:05:07.630]  We'll do it again.
[01:05:07.630 --> 01:05:09.030]  Awesome, thank you, Tommy.
[01:05:09.030 --> 01:05:10.230]  You have a great night.
[01:05:12.970 --> 01:05:15.470]  ♪ Rock music ♪
