[00:00.000 --> 00:00.840]  Exactly.
[02:10:53.850 --> 02:10:56.530]  If he's asking $500 a pack,
[02:10:56.530 --> 02:11:00.250]  and he can't tell you shit about breeding
[02:11:00.250 --> 02:11:02.410]  other than he did it, why are you paying him?
[02:11:02.410 --> 02:11:04.130]  Because of the hype name on the back.
[02:11:04.130 --> 02:11:05.330]  That's what it is.
[02:11:05.330 --> 02:11:07.570]  And now there's a chance that everything you're buying
[02:11:07.570 --> 02:11:10.130]  is bullshit, because you started off with bullshit.
[02:11:10.130 --> 02:11:11.570]  Like the dude didn't know shit.
[02:11:11.570 --> 02:11:13.650]  And how do you know if he didn't know that shit,
[02:11:13.650 --> 02:11:16.210]  how do you know he knew the plants he had were true?
[02:11:16.210 --> 02:11:17.410]  Just because he said they were?
[02:11:17.410 --> 02:11:18.570]  Did he show you the parents grow?
[02:11:18.570 --> 02:11:21.350]  Like I used to show my male and my females
[02:11:21.350 --> 02:11:22.730]  every time I did a breeding room.
[02:11:22.730 --> 02:11:24.530]  That way people could see the structure of the females
[02:11:24.530 --> 02:11:25.550]  I'm growing and my male.
[02:11:25.550 --> 02:11:28.650]  So they knew the sour D I was growing with was a sour D
[02:11:28.650 --> 02:11:30.610]  and the blue dream I had was fucking blue dream.
[02:11:30.610 --> 02:11:32.330]  And the boba I had was boba.
[02:11:32.330 --> 02:11:34.290]  Otherwise they're telling you I'm breeding with boba
[02:11:34.290 --> 02:11:36.210]  in this plant and these are my seeds.
[02:11:36.210 --> 02:11:38.030]  Like right now I've got Chitter Bob out there
[02:11:38.030 --> 02:11:39.450]  doing some testing for me.
[02:11:39.450 --> 02:11:41.770]  I sent him the mom to the line that he's testing
[02:11:41.770 --> 02:11:44.310]  so he can compare the progeny
[02:11:44.310 --> 02:11:46.410]  to the actual mother that made it, right?
[02:11:46.410 --> 02:11:48.250]  I'm not gonna send my males out to no one.
[02:11:48.250 --> 02:11:49.330]  I'm not stupid.
[02:11:49.330 --> 02:11:51.170]  They can copy my lines.
[02:11:51.170 --> 02:11:53.370]  But like if I'm using an elite clone
[02:11:53.370 --> 02:11:55.090]  that's been out there for a decade
[02:11:55.090 --> 02:11:58.230]  and I cross it to my plant that I've had for a decade.
[02:11:58.230 --> 02:12:00.970]  And now you start seeing half of the lines showing
[02:12:00.970 --> 02:12:03.130]  that mother's expression.
[02:12:03.130 --> 02:12:05.130]  You're getting the terpene profile and the structure
[02:12:05.130 --> 02:12:07.630]  and the flower time that you know
[02:12:07.630 --> 02:12:09.430]  that mother's passing those traits.
[02:12:09.430 --> 02:12:12.490]  It's not a homozygous for anything but those.
[02:12:12.490 --> 02:12:14.850]  And they may not even breed true into the progeny
[02:12:14.850 --> 02:12:17.050]  but you can tell that that mother that you use
[02:12:17.050 --> 02:12:19.930]  is passing something by looking at the plant
[02:12:19.930 --> 02:12:23.010]  grown next to its parent, right?
[02:12:23.010 --> 02:12:24.610]  And this is something that I don't see
[02:12:24.610 --> 02:12:26.410]  any other breeders doing.
[02:12:26.410 --> 02:12:28.890]  I just see people posting pictures on Instagram
[02:12:28.890 --> 02:12:30.570]  or Facebook and telling you that this plant's
[02:12:30.570 --> 02:12:32.210]  a copy of this plant.
[02:12:32.210 --> 02:12:34.930]  And it's a top picture of a bud this big.
[02:12:34.930 --> 02:12:37.810]  There's no report of some other grower saying
[02:12:37.810 --> 02:12:41.050]  it tasted like this or it gave me this type of high.
[02:12:41.050 --> 02:12:42.930]  And you guys all continue to say
[02:12:42.930 --> 02:12:45.890]  that nobody's stabilizing any traits.
[02:12:45.890 --> 02:12:48.730]  You guys aren't stabling what you're asking for.
[02:12:49.330 --> 02:12:51.090]  There's cats out here showing some shit.
[02:12:51.090 --> 02:12:51.930]  There's a few.
[02:12:51.930 --> 02:12:54.210]  There's a few dudes willing to show you their fuck up
[02:12:54.210 --> 02:12:56.810]  and their success and not just the picture
[02:12:56.810 --> 02:12:58.730]  at the end of the fucking grow.
[02:12:58.730 --> 02:13:00.490]  And you guys still don't support them.
[02:13:00.490 --> 02:13:02.450]  Like Peter's talking about how low the prices are
[02:13:02.450 --> 02:13:04.130]  on my plant and the amount of work I put in
[02:13:04.130 --> 02:13:07.610]  for over, what, let's see, since 2003
[02:13:07.610 --> 02:13:11.330]  with boneyard seeds and showing it publicly
[02:13:11.330 --> 02:13:13.410]  is ridiculous compared to some people
[02:13:13.410 --> 02:13:15.770]  that are getting paid $1,000.
[02:13:15.770 --> 02:13:17.170]  There's packs out there going for $1,000
[02:13:17.170 --> 02:13:19.090]  with dudes selling you F2 knockoffs
[02:13:19.090 --> 02:13:20.530]  of their F1 knockoffs.
[02:13:20.530 --> 02:13:21.930]  And you guys are buying them.
[02:13:22.850 --> 02:13:23.930]  It's fucking crazy.
[02:13:23.930 --> 02:13:25.210]  And it's all because of a name
[02:13:25.210 --> 02:13:27.770]  and a picture you saw in a book or online.
[02:13:27.770 --> 02:13:29.530]  That's the only reason you buy it.
[02:13:29.530 --> 02:13:32.730]  If you're gonna pay that kind of money for a knockoff.
[02:13:32.730 --> 02:13:36.410]  What's the latest thing, the runs or is that,
[02:13:36.410 --> 02:13:37.810]  am I late with that too?
[02:13:38.690 --> 02:13:39.930]  Oh man, I don't even know.
[02:13:39.930 --> 02:13:42.090]  I don't even track like the hot shit, man.
[02:13:42.090 --> 02:13:44.810]  Since Girl Scout was the last plant I tried to find
[02:13:44.810 --> 02:13:46.850]  because people were asking it for me.
[02:13:47.530 --> 02:13:49.450]  And that was in 2011 when I was at my club.
[02:13:49.450 --> 02:13:52.770]  That's the only reason I tried to fucking track that cut down.
[02:13:52.770 --> 02:13:55.770]  I tracked down seven different cuts of Girl Scout cookies
[02:13:55.770 --> 02:13:57.570]  and only one ended up being real.
[02:13:57.570 --> 02:14:00.890]  The rest were all homophodite knockoff bullshit
[02:14:00.890 --> 02:14:03.450]  that just sucked fucking ass, right?
[02:14:03.450 --> 02:14:04.410]  People were giving them to me.
[02:14:04.410 --> 02:14:05.370]  I was running them.
[02:14:05.370 --> 02:14:06.890]  I kept hitting the guys back up going,
[02:14:06.890 --> 02:14:08.090]  dude, don't put them in your room.
[02:14:08.090 --> 02:14:09.810]  Those things are gonna homophodite on this day.
[02:14:09.810 --> 02:14:11.050]  And they're like, nah.
[02:14:11.050 --> 02:14:14.530]  And then the whole fucking room on day 17 would throw nuts.
[02:14:14.530 --> 02:14:15.410]  They'd fuck the whole room.
[02:14:15.410 --> 02:14:17.170]  I had one dude fill 13 rooms
[02:14:17.170 --> 02:14:19.330]  with fucking fake Girl Scout cookies.
[02:14:19.330 --> 02:14:20.570]  That dude lost fucking air.
[02:14:20.570 --> 02:14:23.850]  He lost his house and everything because the shit was hype.
[02:14:23.850 --> 02:14:27.110]  And he filled every fucking room instead of just one table
[02:14:27.110 --> 02:14:28.610]  to prove it was what it was.
[02:14:28.610 --> 02:14:31.130]  He figured his buddy paid 500 for the trade,
[02:14:31.130 --> 02:14:32.210]  had to be real.
[02:14:32.210 --> 02:14:33.850]  And then I broke down the math on him.
[02:14:33.850 --> 02:14:36.930]  I'm like, dude, you just paid 500 for 50 clones.
[02:14:36.930 --> 02:14:38.650]  We charged $10 a clone.
[02:14:38.650 --> 02:14:39.970]  That's how much a tray of clones costs.
[02:14:39.970 --> 02:14:41.130]  It's 500 bucks.
[02:14:41.130 --> 02:14:43.970]  We usually give it to you for 400 if you buy them all.
[02:14:43.970 --> 02:14:46.650]  But whoever sold you that didn't cut you a deal
[02:14:46.650 --> 02:14:49.570]  and you weren't paying extra for something special.
[02:14:49.570 --> 02:14:51.450]  That's the going rate for clones, dude.
[02:14:51.450 --> 02:14:52.890]  And he was like, what the fuck?
[02:14:52.890 --> 02:14:53.730]  He started doing the math.
[02:14:53.730 --> 02:14:54.550]  He got pissed.
[02:14:54.550 --> 02:14:55.570]  He called the dude up.
[02:14:55.570 --> 02:14:58.130]  He was like, yeah, we paid 500, dude.
[02:14:58.130 --> 02:14:59.010]  I think it's cookies.
[02:14:59.010 --> 02:15:00.250]  That's what the guy said.
[02:15:00.250 --> 02:15:01.130]  The dude got pissed.
[02:15:01.130 --> 02:15:02.610]  He was pissed.
[02:15:02.610 --> 02:15:04.050]  And I'm like, dude, you could have done that shit
[02:15:04.050 --> 02:15:05.650]  before you filled your rooms.
[02:15:06.530 --> 02:15:08.610]  I met you today and told you this shit, dude.
[02:15:08.610 --> 02:15:10.010]  That shit was the first thing on my mind
[02:15:10.010 --> 02:15:13.330]  because I think as a breeder and a cannabis,
[02:15:13.370 --> 02:15:14.210]  this is my job.
[02:15:14.210 --> 02:15:15.030]  It's what I do.
[02:15:15.030 --> 02:15:16.690]  It's not just my hobby.
[02:15:16.690 --> 02:15:18.490]  And if you've got your house on the line
[02:15:18.490 --> 02:15:19.410]  with the shit you're growing,
[02:15:19.410 --> 02:15:21.170]  put the real shit in your room.
[02:15:21.170 --> 02:15:23.650]  Yeah, somebody like that isn't even quarantining
[02:15:23.650 --> 02:15:24.810]  something new coming in.
[02:15:24.810 --> 02:15:27.850]  They don't even know what they're bringing into their,
[02:15:27.850 --> 02:15:31.010]  if they're just, let's, balls to the wall.
[02:15:31.010 --> 02:15:32.450]  Let's throw it all, fill up this room.
[02:15:32.450 --> 02:15:34.450]  You don't know what you're bringing in, man.
[02:15:34.450 --> 02:15:36.930]  They don't care about shit, some people, man.
[02:15:36.930 --> 02:15:38.810]  And this guy didn't even smoke weed.
[02:15:38.810 --> 02:15:40.290]  He just grew it and sold it
[02:15:40.290 --> 02:15:41.850]  so he could pay for everything in his life
[02:15:41.850 --> 02:15:43.450]  because he knew people wanted shit.
[02:15:43.450 --> 02:15:46.610]  So if it was hype, that's what he's after.
[02:15:46.610 --> 02:15:49.210]  Yeah, needed a name that'll sell.
[02:15:49.210 --> 02:15:52.730]  I was at the, he had a wad of hundreds this fucking big
[02:15:52.730 --> 02:15:55.490]  and he's asking everyone for sour diesel seeds.
[02:15:55.490 --> 02:15:57.570]  And I'm like, dude, I ain't got no sour diesel seeds.
[02:15:57.570 --> 02:16:00.530]  I got crosses with diesel, but he's like, no, I want diesel.
[02:16:00.530 --> 02:16:01.770]  I got a fucking wad.
[02:16:01.770 --> 02:16:02.690]  He pulls this wad out.
[02:16:02.690 --> 02:16:05.090]  Every bill here is for sour diesel seeds.
[02:16:05.090 --> 02:16:07.330]  And I'm like, dude, I can't help you, man.
[02:16:07.330 --> 02:16:09.610]  Like someone else probably took his money
[02:16:09.610 --> 02:16:11.610]  and gave him sour diesel seeds, right?
[02:16:12.370 --> 02:16:14.250]  Someone did, but I'm like, nah, bro.
[02:16:14.250 --> 02:16:15.250]  What does he say here?
[02:16:15.250 --> 02:16:17.050]  I've missed 120 days of Teva.
[02:16:17.050 --> 02:16:20.130]  Yeah, my Hayes goes 14 to 20 weeks.
[02:16:20.130 --> 02:16:23.170]  So yeah, 120 days fits right in there easily.
[02:16:23.170 --> 02:16:26.450]  What's sad is he didn't want you to educate him
[02:16:26.450 --> 02:16:28.250]  so that he didn't waste that hundred dollars,
[02:16:28.250 --> 02:16:30.290]  stack a hundred dollar bills on some sour diesel.
[02:16:30.290 --> 02:16:31.690]  He can't sell his education.
[02:16:31.690 --> 02:16:33.530]  He can only sell sour diesel, right?
[02:16:33.530 --> 02:16:35.710]  Wherever he's at, they're paying fucking
[02:16:35.710 --> 02:16:37.210]  too much money for sour diesel.
[02:16:37.210 --> 02:16:38.210]  So that's what he said.
[02:16:38.210 --> 02:16:40.730]  He don't give a shit if it's true or not.
[02:16:40.730 --> 02:16:41.570]  He only wants-
[02:16:41.570 --> 02:16:43.050]  So I'm guessing you didn't have the cut at that time
[02:16:43.050 --> 02:16:44.450]  because I just heard you mention earlier
[02:16:44.450 --> 02:16:46.570]  that you do have the sour diesel cut.
[02:16:46.570 --> 02:16:48.290]  No, I had sour diesel then.
[02:16:48.290 --> 02:16:49.130]  I don't have it now.
[02:16:49.130 --> 02:16:49.970]  I got the Kim D.
[02:16:49.970 --> 02:16:50.810]  Oh, gotcha.
[02:16:50.810 --> 02:16:53.450]  I had AJ sour diesel for quite a while.
[02:16:53.450 --> 02:16:55.390]  I lost it when I lost my leg.
[02:16:55.390 --> 02:16:57.810]  My family couldn't keep me and my garden alive.
[02:16:57.810 --> 02:16:59.810]  So one of them had to go and I'm still here.
[02:16:59.810 --> 02:17:00.650]  Amen.
[02:17:00.650 --> 02:17:02.690]  Good deal, good deal.
[02:17:02.690 --> 02:17:04.330]  I mean, the fact that I had plans for-
[02:17:04.330 --> 02:17:05.330]  I'm happy to have you.
[02:17:05.330 --> 02:17:06.970]  Like the mail you were talking about.
[02:17:06.970 --> 02:17:09.350]  I had my angel mail for 15 years.
[02:17:09.350 --> 02:17:11.790]  I've made 144 crosses with him.
[02:17:11.790 --> 02:17:13.110]  I reversed him.
[02:17:13.110 --> 02:17:14.050]  I did everything I could.
[02:17:14.050 --> 02:17:15.550]  I smoked him, everything.
[02:17:15.550 --> 02:17:17.470]  The only thing I never did was pass him to someone else
[02:17:17.470 --> 02:17:18.670]  so I could get him back
[02:17:18.670 --> 02:17:21.430]  because someone's gonna make my strains, period.
[02:17:21.430 --> 02:17:23.390]  That's just this, that's the community we're in.
[02:17:23.390 --> 02:17:25.950]  So like, that's why I always tell people,
[02:17:25.950 --> 02:17:29.590]  get to know something in your garden besides yourself.
[02:17:29.590 --> 02:17:31.750]  So find a plant that you know nothing about
[02:17:31.750 --> 02:17:32.910]  and learn about that plant.
[02:17:32.910 --> 02:17:36.310]  Learn how cannabis itself gets down
[02:17:36.310 --> 02:17:38.430]  by learning what that plant does.
[02:17:38.430 --> 02:17:39.710]  Truly stress it.
[02:17:39.710 --> 02:17:41.510]  Don't just make your room hot, right?
[02:17:41.510 --> 02:17:43.150]  Make your room hot and flip lights on and off
[02:17:43.150 --> 02:17:45.910]  and make it do shit it's not supposed to
[02:17:45.910 --> 02:17:47.270]  and learn what's doing it
[02:17:47.270 --> 02:17:48.990]  so that you understand when it happens
[02:17:48.990 --> 02:17:50.550]  that some of these causes
[02:17:50.550 --> 02:17:52.710]  are probably what caused that plant to do that.
[02:17:52.710 --> 02:17:55.150]  So force it to become a homorphidite in your room
[02:17:55.150 --> 02:17:56.930]  because you fucking flip the lights on and off
[02:17:56.930 --> 02:17:58.230]  for three weeks, right?
[02:17:58.230 --> 02:18:00.110]  Set your timers to do that.
[02:18:00.110 --> 02:18:01.850]  Fucking over water with cold water
[02:18:01.850 --> 02:18:03.510]  like a lot of you assholes do
[02:18:03.510 --> 02:18:05.550]  to try to fucking make extra trichomes.
[02:18:05.550 --> 02:18:08.070]  Cold water does not make extra trichomes.
[02:18:08.910 --> 02:18:09.990]  It'll make you flip though.
[02:18:09.990 --> 02:18:12.430]  And if it does have extra trichomes, guess what?
[02:18:12.430 --> 02:18:14.430]  They take time to ripen.
[02:18:14.430 --> 02:18:16.070]  There's nothing in that trichome.
[02:18:16.070 --> 02:18:17.690]  It's just a shiny little fucking house
[02:18:17.690 --> 02:18:18.910]  that has nothing in it.
[02:18:18.910 --> 02:18:20.190]  And y'all are pushing booty.
[02:18:20.190 --> 02:18:21.230]  You're making mids.
[02:18:22.150 --> 02:18:24.870]  Grow some cannabinoids on your plant
[02:18:24.870 --> 02:18:27.070]  and quit worrying about whether or not
[02:18:27.070 --> 02:18:28.670]  it looks like it's better.
[02:18:28.670 --> 02:18:30.870]  Find out if it is fucking better.
[02:18:30.870 --> 02:18:33.750]  Like for real, there's so much bro science out here
[02:18:33.750 --> 02:18:35.070]  that people are practicing
[02:18:35.070 --> 02:18:36.270]  that they've actually went through
[02:18:36.270 --> 02:18:37.390]  and done peer review studies
[02:18:37.430 --> 02:18:39.630]  to show that the effects on those
[02:18:39.630 --> 02:18:41.310]  truly aren't what you think you're seeing.
[02:18:41.310 --> 02:18:43.330]  And when you do it in your little four by four tent,
[02:18:43.330 --> 02:18:45.470]  I got four by four tent, right?
[02:18:45.470 --> 02:18:46.750]  So I'm not disintent growers.
[02:18:46.750 --> 02:18:47.890]  There's one behind me here.
[02:18:47.890 --> 02:18:49.750]  I'm just telling you that the fucking environment
[02:18:49.750 --> 02:18:51.190]  that you have in that motherfucker
[02:18:51.190 --> 02:18:54.350]  isn't the environment that plant evolved to be under.
[02:18:54.350 --> 02:18:56.710]  And the two, three or four grows that you've had it in
[02:18:56.710 --> 02:18:58.850]  aren't proof of what you think you're seeing.
[02:18:58.850 --> 02:19:00.190]  It's just not, right?
[02:19:00.190 --> 02:19:02.670]  The light I have here ain't the light you have.
[02:19:02.670 --> 02:19:03.830]  The heat I have in my room
[02:19:03.830 --> 02:19:05.010]  is not the heat you have in your room.
[02:19:05.010 --> 02:19:05.850]  It's not the same.
[02:19:05.850 --> 02:19:07.490]  The outside is different.
[02:19:07.490 --> 02:19:10.450]  You find some shit out that what you're actually doing
[02:19:10.450 --> 02:19:14.130]  isn't hard line facts of this plant
[02:19:14.130 --> 02:19:15.970]  and all of its family.
[02:19:15.970 --> 02:19:18.230]  It's not, it just is not.
[02:19:18.230 --> 02:19:20.150]  There are plants that are truly minocious
[02:19:20.150 --> 02:19:22.190]  that are bred to be seed bearing plants
[02:19:22.190 --> 02:19:24.630]  for seed oil, for bird seed production.
[02:19:24.630 --> 02:19:26.570]  These are truly homorphodite plants.
[02:19:26.570 --> 02:19:30.890]  When you find one seed out of a 30,000 seed batch
[02:19:30.890 --> 02:19:33.730]  that starts to produce pure homorphodite tendencies
[02:19:33.730 --> 02:19:35.690]  does not mean that line's homorphodite.
[02:19:36.530 --> 02:19:37.890]  It doesn't mean the genetics produced it.
[02:19:37.890 --> 02:19:39.890]  Just means that's what happened.
[02:19:39.890 --> 02:19:41.390]  That plant needs to be thrown away.
[02:19:41.390 --> 02:19:43.770]  It's time for you to do some selection in your garden
[02:19:43.770 --> 02:19:45.650]  and remove the one that sucks.
[02:19:46.810 --> 02:19:48.830]  Don't continue it in breeding.
[02:19:48.830 --> 02:19:49.930]  Learn about the plant.
[02:19:49.930 --> 02:19:51.250]  You're right.
[02:19:51.250 --> 02:19:53.830]  People need to know, like realize
[02:19:53.830 --> 02:19:57.090]  that they have their own taste and select for those.
[02:19:57.090 --> 02:19:59.770]  And I spent seven years on that male line
[02:19:59.770 --> 02:20:01.030]  that I was just talking about.
[02:20:01.030 --> 02:20:02.930]  So I could pull out something consistent.
[02:20:02.930 --> 02:20:05.450]  It's like, if I lost a cut, something bad happened.
[02:20:06.210 --> 02:20:09.370]  I'd just go back in and I'd find something else
[02:20:09.370 --> 02:20:12.870]  that's closer, better, hopefully.
[02:20:12.870 --> 02:20:14.850]  But you can just keep going back in
[02:20:14.850 --> 02:20:15.810]  because you know it so well.
[02:20:15.810 --> 02:20:17.970]  You've seen it and it's to your taste.
[02:20:17.970 --> 02:20:18.810]  It's what you like.
[02:20:18.810 --> 02:20:20.810]  And that's what I do with my vegetables too.
[02:20:20.810 --> 02:20:24.770]  I get a tomato seed and then I select
[02:20:24.770 --> 02:20:27.790]  for what works in my environment and also the taste
[02:20:27.790 --> 02:20:29.330]  because you're eating the damn thing.
[02:20:29.330 --> 02:20:31.210]  The same thing with your smoke.
[02:20:31.210 --> 02:20:34.370]  You don't want to waste a lot of time and energy on stuff.
[02:20:34.370 --> 02:20:37.410]  That's just somebody else's dream and not yours.
[02:20:37.410 --> 02:20:38.690]  Make your own plants.
[02:20:39.570 --> 02:20:44.490]  So just quickly, Todd McCormick just got back to me.
[02:20:44.490 --> 02:20:48.790]  He's not in a place that's conducive to talking right now.
[02:20:48.790 --> 02:20:53.170]  So he'll come join us sometime in the future.
[02:20:53.170 --> 02:20:55.210]  Yeah, Todd has lots of information.
[02:20:55.210 --> 02:20:57.690]  I've spoke with Todd for a while, man.
[02:20:57.690 --> 02:21:00.850]  Okay, so here is just Chris Guerrero
[02:21:00.850 --> 02:21:03.130]  wins the persistence award.
[02:21:03.970 --> 02:21:07.170]  He wants to know about train wreck.
[02:21:07.170 --> 02:21:08.450]  Hit up archive seeds.
[02:21:08.450 --> 02:21:10.750]  So Fudge is fucking with the real train wreck.
[02:21:12.370 --> 02:21:14.370]  Good for him keeping that thing going, man.
[02:21:14.370 --> 02:21:18.170]  My grape, my Guavo G crosses have a real train wreck in it.
[02:21:18.170 --> 02:21:19.530]  The grape rep Avalon.
[02:21:21.250 --> 02:21:23.050]  My grape wreck is just the train wreck
[02:21:23.050 --> 02:21:24.610]  that my crew called grape wreck
[02:21:24.610 --> 02:21:27.350]  because it grew gunmetal silver.
[02:21:27.350 --> 02:21:28.450]  We called it grape wreck.
[02:21:28.450 --> 02:21:29.530]  It's just a train wreck.
[02:21:29.530 --> 02:21:30.970]  We had it since 88.
[02:21:31.010 --> 02:21:33.290]  I lost that cut in 2012.
[02:21:35.690 --> 02:21:36.810]  I'll tell you this.
[02:21:36.810 --> 02:21:39.090]  There are different types of train wrecks.
[02:21:39.090 --> 02:21:41.130]  In my day, like I said, I'm an old school dude
[02:21:41.130 --> 02:21:43.330]  even though I don't look it because of my age.
[02:21:43.330 --> 02:21:46.250]  I started smoking in the seventies when I was four years old
[02:21:46.250 --> 02:21:48.590]  and by 81, I'm smoking every day of my life.
[02:21:48.590 --> 02:21:49.570]  My life's cannabis.
[02:21:49.570 --> 02:21:52.650]  So these are the things I was about.
[02:21:52.650 --> 02:21:54.690]  So the train wreck in my day,
[02:21:54.690 --> 02:21:57.690]  when I was younger, before I was in high school,
[02:21:57.690 --> 02:22:00.270]  train wrecks in the Humboldt area that I knew
[02:22:00.270 --> 02:22:01.170]  were called train wreck
[02:22:01.170 --> 02:22:03.710]  because you ended up with seeds in your herb
[02:22:03.710 --> 02:22:06.150]  and you didn't know what the parent that created it was
[02:22:06.150 --> 02:22:07.470]  because you had no males around.
[02:22:07.470 --> 02:22:09.150]  So you just called it a train wreck.
[02:22:09.150 --> 02:22:11.030]  And then from there, you end up getting these lines
[02:22:11.030 --> 02:22:13.870]  that people call train wreck that come later
[02:22:13.870 --> 02:22:16.990]  that are different, but like what Fletch is running.
[02:22:16.990 --> 02:22:18.510]  That's what people know as train wreck.
[02:22:18.510 --> 02:22:20.430]  What I knew as train wreck was different.
[02:22:20.430 --> 02:22:23.390]  It was this long, lanky, viney plant.
[02:22:23.390 --> 02:22:25.250]  It looked like the Kyber Creeper
[02:22:25.250 --> 02:22:28.450]  that's in the old Teva seed company catalog.
[02:22:28.450 --> 02:22:30.030]  That's what I knew as train wreck.
[02:22:30.790 --> 02:22:33.590]  But what's getting passed around as train wreck later
[02:22:33.590 --> 02:22:36.570]  becomes a shorter squatter plant that's easier to flower.
[02:22:38.550 --> 02:22:39.750]  It's also named train wreck.
[02:22:39.750 --> 02:22:43.790]  So I cannot differentiate why you end up
[02:22:43.790 --> 02:22:45.390]  with those two different names on lines
[02:22:45.390 --> 02:22:47.070]  that are completely different.
[02:22:47.070 --> 02:22:51.110]  It's like the Skywalker OG, Sativa OG,
[02:22:51.110 --> 02:22:55.950]  also known as Hero OG, which got turned into Herowana OG,
[02:22:55.950 --> 02:22:58.350]  like because people weren't paying attention
[02:22:58.350 --> 02:22:59.270]  to what they were reading.
[02:22:59.310 --> 02:23:00.630]  And then they typed the wrong thing in
[02:23:00.630 --> 02:23:03.430]  and then that story gets continued to the next dude.
[02:23:03.430 --> 02:23:06.150]  And now it becomes fact until someone brings up the proof
[02:23:06.150 --> 02:23:08.950]  that it wasn't like that originally, like the Kim dog shit.
[02:23:08.950 --> 02:23:10.670]  I got posts, I go back to 2004
[02:23:10.670 --> 02:23:12.870]  where they're spelling Kim dog, D-A-W-G.
[02:23:12.870 --> 02:23:15.470]  This is three years after they find the Kim D,
[02:23:15.470 --> 02:23:16.530]  or two years even.
[02:23:16.530 --> 02:23:19.350]  And they're already calling it dog with a D-A-W-G.
[02:23:19.350 --> 02:23:23.390]  And now it's always, it's D-O-G, not D-A-W-G.
[02:23:23.390 --> 02:23:25.030]  Like just go back and read the shit
[02:23:25.030 --> 02:23:26.590]  and find out that it don't matter
[02:23:26.590 --> 02:23:28.210]  what how you spell fucking dog,
[02:23:28.210 --> 02:23:29.410]  as long as you got the true cut
[02:23:29.410 --> 02:23:31.330]  and that shit's fucking killer.
[02:23:31.330 --> 02:23:32.930]  That's all that really matters.
[02:23:36.580 --> 02:23:39.020]  What, Hardy here, what's up brother?
[02:23:39.020 --> 02:23:41.820]  What's up, hippie?
[02:23:41.820 --> 02:23:43.260]  Hello, hello.
[02:23:43.260 --> 02:23:44.100]  Homeboy.
[02:23:44.100 --> 02:23:44.940]  How you doing, man?
[02:23:44.940 --> 02:23:46.100]  How you doing, Hardy?
[02:23:46.100 --> 02:23:47.260]  Normal people.
[02:23:50.580 --> 02:23:53.060]  Thought I'd stop in and say hello.
[02:23:53.060 --> 02:23:54.700]  Happy 420, man.
[02:23:54.700 --> 02:23:57.180]  Anthro says, train wreck is a weak Thai expression.
[02:23:57.180 --> 02:24:00.220]  To me, that's what I thought about the train wreck
[02:24:01.060 --> 02:24:01.900]  that I ran.
[02:24:01.900 --> 02:24:04.260]  It had a very Thai expression with the long running.
[02:24:05.780 --> 02:24:08.820]  The branches cannot hold their self up.
[02:24:08.820 --> 02:24:09.660]  They're spindly.
[02:24:09.660 --> 02:24:11.700]  They spread out sideways.
[02:24:13.180 --> 02:24:14.540]  That's what I found in mine.
[02:24:14.540 --> 02:24:16.460]  I was only around train wreck.
[02:24:16.460 --> 02:24:19.380]  It was this lady, it was her weed.
[02:24:19.380 --> 02:24:22.860]  She had MS and her husband went out to California.
[02:24:23.740 --> 02:24:27.340]  Yeah, and brought it back to where they were.
[02:24:27.340 --> 02:24:29.020]  And it was supposedly real deal.
[02:24:29.420 --> 02:24:32.420]  It did help her with her MS,
[02:24:32.420 --> 02:24:35.820]  but I never got to see the plant or I just got to smell it
[02:24:35.820 --> 02:24:37.980]  because that was her stuff.
[02:24:39.140 --> 02:24:42.820]  I always thought the train wreck was Afghan into,
[02:24:42.820 --> 02:24:45.540]  I wanna say something along the haze,
[02:24:45.540 --> 02:24:47.300]  but not exactly a haze.
[02:24:47.300 --> 02:24:50.340]  But that's when I was researching what was the background
[02:24:50.340 --> 02:24:54.140]  of the cookie wreck I put into the hardcore.
[02:24:54.980 --> 02:24:59.980]  I was understanding that there was some Afghan in there
[02:25:01.020 --> 02:25:02.900]  and some sativa.
[02:25:02.900 --> 02:25:04.900]  And of course, just like cat piss,
[02:25:04.900 --> 02:25:08.580]  there's all sorts of name pathways to where every person-
[02:25:08.580 --> 02:25:09.420]  Here we go.
[02:25:09.420 --> 02:25:10.700]  Got what they got.
[02:25:10.700 --> 02:25:12.700]  And they're all true with the cat piss.
[02:25:13.980 --> 02:25:14.820]  Go ahead.
[02:25:15.740 --> 02:25:16.580]  I'm sorry, go ahead.
[02:25:16.580 --> 02:25:18.900]  I remember growing up playing train wreck myself,
[02:25:18.900 --> 02:25:21.700]  but I was pretty secluded and not here to play.
[02:25:21.700 --> 02:25:22.540]  Yeah.
[02:25:24.820 --> 02:25:27.100]  That was something that showed up
[02:25:27.100 --> 02:25:29.940]  after I lifted my head out of the hole in the ground here
[02:25:29.940 --> 02:25:32.580]  and started trading around with folks
[02:25:32.580 --> 02:25:34.780]  to get my base genetics started again.
[02:25:37.300 --> 02:25:40.900]  What I was saying was the cat piss, they're all correct.
[02:25:40.900 --> 02:25:43.900]  Like one guy made a line that he called cat piss.
[02:25:43.900 --> 02:25:46.700]  Me and James all smoked the same shit
[02:25:46.700 --> 02:25:47.740]  from what it sounds like,
[02:25:47.740 --> 02:25:51.100]  the long spindly fucking light green shit
[02:25:51.100 --> 02:25:53.180]  that smelled like piss and chlorine tablets
[02:25:53.180 --> 02:25:54.140]  going up your nose.
