[00:06.840 --> 00:08.840]  We live?
[59:08.830 --> 59:16.830]  And the reason why, like I said, I like to get all the good, pressable hash out before it gets to the food grade.
[59:17.830 --> 59:21.830]  That's basically the main reason why I put 273s in.
[59:22.830 --> 59:24.830]  You'd be amazed at what we catch.
[59:25.830 --> 59:35.830]  Okay, so Pete, your sodium bicarbonate wash right after you chop, what's the purpose of that?
[59:36.830 --> 59:48.290]  The purpose of that is to remove all the dust particles off the plant itself.
[59:48.730 --> 59:55.730]  So we can get all the microbes and most of this shit basically does ash.
[59:56.730 --> 01:00:00.730]  We had a lot of big issues here in Southern California with ash this year.
[01:00:01.730 --> 01:00:09.730]  So that was one of the main reasons why I followed Heavy Ice RX's lead on this particular rinse.
[01:00:10.730 --> 01:00:15.730]  I don't know where he got that idea from, but all I know is that I got the idea from him.
[01:00:16.170 --> 01:00:20.170]  So big credit to the dude in Michigan. He's doing great stuff over there.
[01:00:24.170 --> 01:00:27.170]  I've been following for a while.
[01:00:33.170 --> 01:00:38.170]  And was powdery mildew an issue at all this year?
[01:00:39.170 --> 01:00:43.170]  No, Peter, I didn't have any issues with powdery mildew. I got lucky this year.
[01:00:43.610 --> 01:00:47.610]  I always like to spray my plants with biology.
[01:00:48.610 --> 01:00:51.610]  And this year we sprayed with what we always spray with, Bicellus subtilis.
[01:00:52.610 --> 01:00:57.610]  From the beginning of veg all the way into two weeks into flower.
[01:00:58.610 --> 01:01:03.610]  I was spraying Bicellus subtilis, Juvenia baciana.
[01:01:04.610 --> 01:01:08.610]  I was spraying a little bit of Bt as well for worms.
[01:01:09.050 --> 01:01:12.050]  Not much though. I don't really like Bt a lot.
[01:01:13.050 --> 01:01:18.050]  But no, luckily, Peter, I did not have any issues.
[01:01:19.050 --> 01:01:24.050]  And soon enough here, be my witness, I did not have any powdery mildew at all.
[01:01:25.050 --> 01:01:29.050]  Look at all my posts that I've been putting on my Instagram.
[01:01:30.050 --> 01:01:34.050]  I show it right down. I mean, I zoom in. I want to show you tricks.
[01:01:35.050 --> 01:01:37.050]  So if there was powdery mildew, you're going to see it.
[01:01:37.490 --> 01:01:42.490]  No, Bicellus subtilis is the golden tip, guys.
[01:01:43.490 --> 01:01:53.400]  Look it up. Bicellus subtilis.
[01:01:54.400 --> 01:02:00.400]  Before you invested in the harvest, right, what was your method?
[01:02:01.400 --> 01:02:04.400]  I would just air dry.
[01:02:07.240 --> 01:02:12.240]  So basically what I did is I would have window screen.
[01:02:12.680 --> 01:02:14.680]  Stainless steel window screen.
[01:02:15.680 --> 01:02:18.680]  And I would open my hash as much as possible.
[01:02:19.680 --> 01:02:22.680]  I've been seeing in a cave, bro, for 15 years.
[01:02:23.680 --> 01:02:26.680]  I've been growing in my backyard for 15 years.
[01:02:27.680 --> 01:02:31.680]  I didn't get outside of the weed world for 15 years or maybe even longer.
[01:02:32.680 --> 01:02:35.680]  So I didn't know about microplaning hash.
[01:02:36.680 --> 01:02:41.680]  That was all new to me when Glaze Brands told me about microplaning.
[01:02:42.680 --> 01:02:46.680]  So I didn't know. I really took my hash down piece by piece.
[01:02:47.680 --> 01:02:48.680]  Put it down in the screen.
[01:02:49.680 --> 01:02:51.680]  And I literally air dried it cold.
[01:02:52.680 --> 01:02:54.680]  Cold and dry conditions.
[01:02:55.680 --> 01:02:57.680]  And it worked for me.
[01:02:58.680 --> 01:03:01.680]  It was darker material, but it was just holistic medicine.
[01:03:02.680 --> 01:03:04.680]  It was full spectrum.
[01:03:05.680 --> 01:03:07.680]  Back then I would do the top water siphon.
[01:03:08.680 --> 01:03:10.680]  I don't know if anybody's done the top water siphon.
[01:03:11.120 --> 01:03:13.120]  I would open wash.
[01:03:14.120 --> 01:03:19.120]  And I would literally let all my hash precipitate down to the bottom of the barrel.
[01:03:20.120 --> 01:03:22.120]  And I would top water siphon from the top.
[01:03:23.120 --> 01:03:27.120]  Without disturbing all the hash on the bottom of the barrel.
[01:03:28.120 --> 01:03:29.120]  And I would top water siphon.
[01:03:30.120 --> 01:03:32.120]  And I would leave about this much water with the concentrated hash.
[01:03:33.120 --> 01:03:36.120]  And then I would run all that water through all my bags.
[01:03:37.120 --> 01:03:39.120]  But that was way primitive stuff.
[01:03:39.560 --> 01:03:41.560]  I didn't watch the full spectrum.
[01:03:42.560 --> 01:03:46.560]  Sometimes I would just throw everything in the 73.
[01:03:47.560 --> 01:03:48.560]  And not really care.
[01:03:49.560 --> 01:03:52.560]  So, soon as somebody tells me, hurry up, the fucking hash is melting.
[01:03:53.560 --> 01:03:55.560]  It is, bro.
[01:03:56.560 --> 01:03:58.560]  Look at that shit, bro.
[01:04:05.410 --> 01:04:06.410]  Looks good.
[01:04:07.410 --> 01:04:08.410]  Yeah, there's the light.
[01:04:08.850 --> 01:04:12.640]  Yeah, buddy.
[01:04:18.250 --> 01:04:44.500]  But yeah, man.
[01:04:45.500 --> 01:04:46.500]  Microplane is also a good way to go.
[01:04:47.500 --> 01:04:48.500]  I know that a lot of people are into it.
[01:04:49.500 --> 01:04:50.500]  Gil Gross does it all the time.
[01:04:51.500 --> 01:04:52.500]  He branded it strong.
[01:04:53.500 --> 01:04:54.500]  And I got it.
[01:04:55.500 --> 01:04:56.500]  It blew my fucking mind, dude.
[01:04:57.500 --> 01:04:58.500]  Big ups.
[01:04:59.500 --> 01:05:00.500]  Seriously, he got down on that one.
[01:05:01.500 --> 01:05:02.500]  It's a really good one.
[01:05:03.500 --> 01:05:04.500]  Not knocking on air drying.
[01:05:05.500 --> 01:05:06.500]  Freeze drying just makes it easier for me.
[01:05:07.500 --> 01:05:10.500]  I have a very short amount of time for me to process all this material.
[01:05:11.500 --> 01:05:12.500]  So, it works for me, man.
[01:05:13.500 --> 01:05:15.500]  I know that a lot of people don't like freeze dryers.
[01:05:16.500 --> 01:05:17.500]  I do.
[01:05:18.500 --> 01:05:24.040]  But look at that 73.
[01:05:25.040 --> 01:05:26.040]  You got it there, Peter?
[01:05:27.040 --> 01:05:28.040]  Yep.
[01:05:29.040 --> 01:05:30.040]  I might be losing you.
[01:05:31.040 --> 01:05:32.040]  Nah, I'm here.
[01:05:33.040 --> 01:05:34.040]  There she is.
[01:05:41.980 --> 01:05:43.980]  Alright, so we're going to take this first 73 out.
[01:05:44.420 --> 01:05:46.420]  Surprisingly, not much in the second 73.
[01:05:47.420 --> 01:05:49.420]  So, that means that all those heads are uniform.
[01:05:50.420 --> 01:05:51.420]  Not a lot of it is passing through.
[01:05:52.420 --> 01:05:53.420]  So, that's a good thing.
[01:05:54.420 --> 01:05:55.420]  I didn't beat the shit out of it.
[01:05:56.420 --> 01:05:57.420]  So, here we go.
[01:05:58.420 --> 01:06:00.420]  Let's get this a little bit more action.
[01:06:01.420 --> 01:06:02.420]  Let's see.
[01:06:03.420 --> 01:06:04.420]  Hold on one second.
[01:06:05.420 --> 01:06:06.420]  Hold on one second.
[01:06:07.420 --> 01:06:11.160]  That's why it's important to have water on tap.
[01:06:12.160 --> 01:06:13.160]  So important.
[01:06:14.160 --> 01:06:15.160]  You can rinse all your filters out.
[01:06:15.600 --> 01:06:16.600]  You can rinse all your filters down.
[01:06:17.600 --> 01:06:19.600]  And make a little puddle of where your hash is going to be.
[01:06:20.600 --> 01:06:21.600]  Sometimes I like to put my finger down in the middle.
[01:06:22.600 --> 01:06:24.600]  Make a little cone so it all comes down to the middle.
[01:06:25.600 --> 01:06:27.600]  And then obviously I rinse my finger down.
[01:06:28.600 --> 01:06:29.600]  Yeah, there's some hash still there.
[01:06:30.600 --> 01:06:31.600]  You see it?
[01:06:32.600 --> 01:06:33.600]  But yeah.
[01:06:34.600 --> 01:06:35.600]  Get that fucking thing out of that freeze dryer again.
[01:06:36.600 --> 01:06:37.600]  That's three dabs, man.
[01:06:38.600 --> 01:06:39.600]  I'm taking them.
[01:06:40.600 --> 01:06:41.600]  Sheer.
[01:06:42.600 --> 01:06:43.600]  Sunda's doing a great job here.
[01:06:44.040 --> 01:06:45.040]  Sunda's doing a great job here.
[01:06:46.040 --> 01:06:47.040]  The tray's cold as fuck already.
[01:06:48.040 --> 01:06:49.040]  Shit.
[01:06:50.040 --> 01:06:51.040]  For the spirits.
[01:06:55.560 --> 01:06:56.560]  There we go.
[01:06:57.560 --> 01:07:06.870]  You're back.
[01:07:07.870 --> 01:07:08.870]  We're doing live over here, brother.
[01:07:11.330 --> 01:07:12.330]  All right.
[01:07:13.330 --> 01:07:21.240]  Before this water out.
[01:07:22.240 --> 01:07:23.240]  Your wife just got the second 73.
[01:07:24.240 --> 01:07:26.240]  Yeah, I was saying you're on the two 73s right now, right?
[01:07:29.240 --> 01:07:30.240]  That is correct.
[01:07:31.240 --> 01:07:32.240]  The first 73 is the one that's on the water.
[01:07:32.680 --> 01:07:33.680]  That is correct.
[01:07:34.680 --> 01:07:35.680]  The first 73 just came out, Peter, and the second 73 is about to come out.
[01:07:36.680 --> 01:07:42.680]  It seems as this particular cultivar or this particular strand, I'm not going to need it.
[01:07:43.680 --> 01:07:46.680]  And for what it looks like, I might just eliminate the bigger bags.
[01:07:47.680 --> 01:07:51.680]  I always like to run all the entire set of eight bags on the first run.
[01:07:52.680 --> 01:07:55.680]  Obviously, this particular run is just one plant.
[01:07:56.680 --> 01:07:58.680]  I'm not going to be running more material of the same strand.
[01:07:59.680 --> 01:08:01.680]  But if I would have a lot more material, then I would be running more material.
[01:08:02.680 --> 01:08:06.680]  If I were to run on the same strand, I would go ahead and eliminate those bags that are not producing a lot for me.
[01:08:07.680 --> 01:08:08.680]  To be honest with you.
[01:08:09.680 --> 01:08:17.680]  I might take the 190 out, leave the 160 or vice versa, depending on how the heads are actually behaving during that wash.
[01:08:18.680 --> 01:08:23.680]  But yeah, I was finding out that not a lot of stuff on the bigger microns.
[01:08:24.680 --> 01:08:26.680]  Check out the 73 over here, the second one.
[01:08:27.680 --> 01:08:28.680]  Not much.
[01:08:29.680 --> 01:08:38.480]  Not much on the second one.
[01:08:38.920 --> 01:08:40.920]  Not much at all, to be honest with you.
[01:08:46.020 --> 01:08:50.020]  These bags, man. I put these bags through fucking feedings and they're champs.
[01:08:52.020 --> 01:08:53.020]  To be honest with you, man. I like them.
[01:08:54.020 --> 01:08:56.020]  Maybe BC Bubble Man will send me a new one.
[01:08:58.020 --> 01:09:00.020]  We'll try to get you hooked up.
[01:09:01.020 --> 01:09:04.020]  You said these ones are about five years old?
[01:09:06.610 --> 01:09:09.610]  Four or five years old. This particular set, yes.
[01:09:10.050 --> 01:09:14.050]  My older five gallons, I bought those in 2002.
[01:09:15.050 --> 01:09:17.050]  I remember, dude.
[01:09:18.050 --> 01:09:19.050]  I sold...
[01:09:20.050 --> 01:09:22.050]  I don't know if I should be saying this in camera.
[01:09:23.050 --> 01:09:32.050]  I sold two units of brick weed to get some money to send to BC Bubble Man to get our five gallon bags back in 2002.
[01:09:33.050 --> 01:09:36.050]  So, BC Bubble Man, we've made your stop with brick weed, bro.
[01:09:37.050 --> 01:09:38.050]  I'm sorry, bro.
[01:09:38.490 --> 01:09:39.490]  But it is what it is.
[01:09:41.490 --> 01:09:51.400]  Dude, back then, I had a three-year-old daughter.
[01:09:52.400 --> 01:09:54.400]  I was 21 years old or something like that.
[01:09:55.400 --> 01:09:56.400]  Dude, it was rough.
[01:09:57.400 --> 01:10:01.400]  And I really had to sacrifice to get those bags, but I did.
[01:10:02.400 --> 01:10:03.400]  It was a great thing.
[01:10:04.400 --> 01:10:05.400]  I learned so much.
[01:10:06.400 --> 01:10:10.400]  I went live earlier today and we were talking about how we were making cash with brick weed.
[01:10:11.400 --> 01:10:13.400]  We didn't have nothing else. We were using minis and stuff like that.
[01:10:13.840 --> 01:10:23.300]  So, back then, we were not growing so much.
[01:10:24.300 --> 01:10:27.300]  Back then, cash was a byproduct of cannabis.
[01:10:28.300 --> 01:10:37.300]  When I made the switch to make cash a priority of cannabis, not a byproduct of cannabis, that's when good things started happening to me.
[01:10:38.300 --> 01:10:39.300]  I started getting good results in cash.
[01:10:40.300 --> 01:10:44.300]  You start using shitty material, you know, you tram all the leftovers, you're kicking all the bugs.
[01:10:45.300 --> 01:10:46.300]  You never get to get good stuff.
[01:10:47.300 --> 01:10:48.300]  Basically, what oil is down to.
[01:10:53.300 --> 01:10:57.300]  Good material in, good material out.
[01:11:00.300 --> 01:11:02.300]  Not much in the second 73.
[01:11:03.300 --> 01:11:04.300]  So, I wouldn't have to run this.
[01:11:05.300 --> 01:11:08.300]  Obviously, this is just one particular plant that I'm doing.
[01:11:09.300 --> 01:11:12.300]  I'm not doing any more of this strand, but there is some 73 that went through.
[01:11:12.740 --> 01:11:13.740]  That's 4 or 5 dabs.
[01:11:14.740 --> 01:11:20.360]  If you ask me, I'll take anything.
[01:11:21.360 --> 01:11:22.360]  That's a fake nail.
[01:11:26.360 --> 01:11:27.360]  Soon this camera will shine over here.
[01:11:28.360 --> 01:11:30.360]  You can't believe it got through, huh?
[01:11:31.360 --> 01:11:36.360]  So, if anything, this 73 ended up in the 45.
[01:11:38.360 --> 01:11:41.360]  But when you're doing a lot more volume, it obviously makes sense.
[01:11:41.800 --> 01:11:46.800]  This particular run is not a lot of volume, but I'm taking it.
[01:11:51.500 --> 01:11:52.500]  Why? Because we can.
[01:12:07.610 --> 01:12:15.610]  So, based on the weather conditions, guys, I think my second wash, I'm going to be waiting until mid, maybe December, February.
[01:12:16.610 --> 01:12:22.610]  I'm not sure, but I definitely need colder weather in Southern California for me to wash the rest of the cultivar.
[01:12:23.610 --> 01:12:26.610]  It's definitely, it was 81 degrees today.
[01:12:27.050 --> 01:12:35.050]  It's not favorable, really, when you're washing this much of a melty material.
[01:12:36.050 --> 01:12:39.050]  It really becomes a hassle.
[01:12:40.050 --> 01:12:41.050]  So, here you go, baby.
[01:12:43.520 --> 01:12:45.520]  Anybody's got any questions?
[01:12:46.520 --> 01:12:47.520]  This is all the seeds that I've been packing.
[01:12:50.520 --> 01:12:53.520]  People have been talking about neem in the chat.
[01:12:53.960 --> 01:12:58.960]  Do you put neem cake in your soil, and then do you spray with neem oil at all?
[01:13:03.060 --> 01:13:05.060]  No, I do not.
[01:13:06.060 --> 01:13:10.060]  Actually, I do spray with neem oil early in the age.
[01:13:11.060 --> 01:13:14.060]  I don't like it because the leaves go into shock a little bit.
[01:13:15.060 --> 01:13:18.060]  I only spray it if I need it, to be honest with you.
[01:13:19.060 --> 01:13:23.060]  But I like to use a lot of essential plants around the garden.
[01:13:23.500 --> 01:13:27.500]  I spray it with rosemary, almost like a tea.
[01:13:28.500 --> 01:13:29.500]  I spray a lot with that.
[01:13:30.500 --> 01:13:32.500]  I spray it with a little bit of garlic during veg.
[01:13:33.500 --> 01:13:38.500]  I try to stay as much as possible away from any kind of chemical.
[01:13:39.500 --> 01:13:44.500]  Luckily, I haven't had the need to use any Azomax in my backyard in the past four or five years.
[01:13:45.500 --> 01:13:47.500]  Yeah, at least four or five years.
[01:13:48.500 --> 01:13:49.500]  Yes.
[01:13:49.940 --> 01:13:56.940]  I remember one time I got a clone from a guy, and it fucked up my entire cultivar.
[01:13:57.940 --> 01:13:59.940]  Anything from inside, outside, it just went ape-shaped.
[01:14:00.940 --> 01:14:03.940]  So I really had to go and spray some Azomax.
[01:14:04.940 --> 01:14:05.940]  Sorry, that was because...
[01:14:06.940 --> 01:14:08.940]  I didn't have the need to do anything like that.
[01:14:09.940 --> 01:14:12.940]  So, JWA helps a lot, man.
[01:14:13.940 --> 01:14:17.940]  Peter, I remember last time we were live in the garden, we were talking about
[01:14:18.380 --> 01:14:22.380]  We were talking about the use of sulfur.
[01:14:23.380 --> 01:14:28.380]  And I was telling you how I've been hearing a lot of contradictory.
[01:14:29.380 --> 01:14:33.380]  So it's really good to use soil drenches at the end of the season.
[01:14:34.380 --> 01:14:39.380]  I have not used Jadam sulfur yet, but I might cook up a batch and see what it does for me.
[01:14:40.380 --> 01:14:45.380]  I'm not saying that I'm having any pressure, but
[01:14:45.820 --> 01:14:48.820]  It's good to have it ready just in case.
[01:14:49.820 --> 01:14:50.820]  Here's the 45.
[01:14:50.820 --> 01:14:54.990]  The dreaded 45 that nobody likes to pick up.
[01:14:55.990 --> 01:14:56.990]  Just giving it a spray.
[01:14:57.990 --> 01:14:58.990]  There's some in there.
[01:15:03.800 --> 01:15:04.800]  Food grade.
[01:15:05.800 --> 01:15:07.800]  Now, gentlemen.
[01:15:14.760 --> 01:15:16.760]  My wife has a problem sleeping.
[01:15:17.760 --> 01:15:18.760]  I have a problem sleeping.
[01:15:19.760 --> 01:15:20.760]  That's the reason why we do this house.
[01:15:21.760 --> 01:15:22.760]  We decarbonize.
[01:15:23.200 --> 01:15:26.200]  We decarbonize a lot.
[01:15:27.200 --> 01:15:34.200]  We like to put little pill sized pellets of 45.
[01:15:35.200 --> 01:15:38.200]  You can parchment paper, decarbonize them of whatever temperature.
[01:15:39.200 --> 01:15:40.200]  It depends on whatever setting.
[01:15:41.200 --> 01:15:43.200]  Ideally, I'm going to do 220, 240.
[01:15:44.200 --> 01:15:48.200]  Decarbonize the little pellets on parchment paper on a cookie sheet.
[01:15:49.200 --> 01:15:50.200]  And we eat the hash.
[01:15:50.640 --> 01:15:53.640]  We eat the hash like a sleeping pill at night.
[01:15:54.640 --> 01:15:58.640]  And you'd be amazed what it does for you guys.
[01:15:59.640 --> 01:16:05.640]  What the fuck is people taking these sleeping pills when you can be freaking eating hash, man?
[01:16:06.640 --> 01:16:07.640]  Seriously.
[01:16:09.640 --> 01:16:11.640]  Leah, you want to say something about this hash?
[01:16:12.640 --> 01:16:13.640]  Or are you camera shy?
[01:16:14.640 --> 01:16:15.640]  Camera shy!
[01:16:21.830 --> 01:16:22.830]  Here we go.
[01:16:23.830 --> 01:16:24.830]  You see it?
[01:16:25.830 --> 01:16:27.830]  So this is what micron size?
[01:16:29.830 --> 01:16:30.830]  We there, Peter?
[01:16:31.830 --> 01:16:33.830]  Yeah, what micron size are you at?
[01:16:34.830 --> 01:16:35.830]  Hey, he's standing there talking about himself.
[01:16:39.830 --> 01:16:40.830]  Can you hear me?
[01:16:44.610 --> 01:16:47.610]  Alright, he said 45. It's got some in there.
[01:17:06.370 --> 01:17:07.370]  We still there?
[01:17:08.370 --> 01:17:09.370]  I'm still here. Can you hear me?
[01:17:09.810 --> 01:17:13.810]  I don't know if you can hear me or not, but I'm going to try to collect this hash here.
[01:17:14.810 --> 01:17:15.810]  This is a 45.
[01:17:18.280 --> 01:17:20.280]  Food grade medicine.
[01:17:22.280 --> 01:17:26.280]  We're going to be making some tres leches cakes or some shit like that with this stuff.
[01:17:34.070 --> 01:17:41.350]  Lighting is really a problem in this room, man.
[01:17:44.350 --> 01:17:45.350]  Lights make it work?
[01:17:52.130 --> 01:18:04.010]  Now the money shot is going to be when this stuff comes out on the free-stir, man.
[01:18:05.010 --> 01:18:06.010]  I can't wait. Really.
[01:18:22.080 --> 01:18:25.080]  It really is a team effort right here. We're in close quarters.
[01:18:26.080 --> 01:18:28.080]  It's not a fat boy friendly environment here.
[01:18:29.080 --> 01:18:34.080]  Sunda's about 6'3 and he's walking around like this the entire time.
[01:18:35.080 --> 01:18:36.080]  So big up to Sunda, man.
[01:18:37.080 --> 01:18:40.080]  I'm sorry we ended up losing his phone in the end water over there.
[01:18:40.520 --> 01:18:41.520]  I hope the phone is alright.
[01:18:42.520 --> 01:18:43.520]  Here we go, man.
[01:18:44.520 --> 01:18:45.520]  That was our first run.
[01:18:49.970 --> 01:18:54.970]  I always like to check in the bottom of the container to see if there's any pass-through hash.
[01:18:55.970 --> 01:18:57.970]  It looks like nothing passed through that 45.
[01:18:58.970 --> 01:19:00.970]  So I won't be running that 25 at all.
[01:19:01.970 --> 01:19:04.970]  If I were to run some more of this material, I wouldn't be running that at all.
[01:19:05.970 --> 01:19:07.970]  This water would simply go right into the flowerbed.
[01:19:08.410 --> 01:19:12.410]  So, that's basically exactly what's going to happen.
[01:19:17.410 --> 01:19:18.410]  Cheats for Sheets of Giggles.
[01:19:19.410 --> 01:19:20.410]  I'm going to put the 73 here.
[01:19:22.410 --> 01:19:29.440]  Alright guys, anybody's got any questions or anything like that?
[01:19:30.440 --> 01:19:31.440]  Let's go. A joke or anything like that?
[01:19:34.440 --> 01:19:36.440]  Ha! Did I lose you, Peter?
[01:19:37.440 --> 01:19:38.440]  Yeah, no. Can you see me?
[01:19:38.880 --> 01:19:39.880]  Can you hear me?
[01:19:40.880 --> 01:19:41.880]  I can't hear you.
[01:19:42.880 --> 01:19:43.880]  Oh, really? Can anyone else hear me?
[01:19:44.880 --> 01:19:46.880]  Hold on. I'm having problems with audio, guys.
[01:19:47.880 --> 01:19:48.880]  Oh, my God.
[01:19:49.880 --> 01:19:50.880]  Hold on.
[01:19:52.880 --> 01:19:53.880]  Check. Can you hear me?
[01:19:54.880 --> 01:19:55.880]  Hold on, guys.
[01:19:57.880 --> 01:19:58.880]  You there?
[01:20:05.440 --> 01:20:06.440]  I'm here. Can you hear me?
[01:20:07.440 --> 01:20:08.440]  Hold on, Peter.
[01:20:09.440 --> 01:20:10.440]  I'm having technical difficulties here.
[01:20:10.880 --> 01:20:11.880]  Settings.
[01:20:13.880 --> 01:20:14.880]  You there?
[01:20:19.320 --> 01:20:20.320]  Yeah, I'm here. Can you hear me?
[01:20:21.320 --> 01:20:22.320]  The speaker's not working.
[01:20:24.320 --> 01:20:25.320]  It's on.
[01:20:26.320 --> 01:20:27.320]  Check.
[01:20:28.320 --> 01:20:32.110]  Oh, cool. Okay. Everyone else can hear me.
[01:20:33.110 --> 01:20:35.110]  Hold on, Peter. We're having some technical difficulties here.
[01:20:37.110 --> 01:20:38.110]  I always make fun of...
[01:20:39.110 --> 01:20:40.110]  It's funny.
[01:20:41.110 --> 01:20:43.110]  I always make fun of Jeff Loeb.
[01:20:43.550 --> 01:20:46.550]  I always make fun of Jeff Loeb from Team New Microbes.
[01:20:47.550 --> 01:20:51.550]  Because every time he comes in live, he's having a shit fucking show here.
[01:20:52.550 --> 01:20:53.550]  And here we are.
[01:20:54.550 --> 01:20:55.550]  Harlow's a motherfucker.
[01:20:56.550 --> 01:20:57.550]  It's funny.
[01:20:58.550 --> 01:20:59.550]  Stop it.
[01:21:00.550 --> 01:21:01.550]  Plug it in.
[01:21:03.550 --> 01:21:04.550]  So true.
[01:21:05.550 --> 01:21:06.550]  You there?
[01:21:07.550 --> 01:21:09.550]  Yes. Oh, my God. You actually sound much better right now.
[01:21:10.550 --> 01:21:11.550]  Can you hear me, Peter?
[01:21:11.990 --> 01:21:12.990]  You sound much better.
[01:21:13.990 --> 01:21:14.990]  I can't hear you at all, brother. I'm sorry.
[01:21:15.990 --> 01:21:16.990]  I can hear you.
[01:21:17.990 --> 01:21:18.990]  I can hear you. Can you hear me?
[01:21:20.990 --> 01:21:21.990]  Can you hear me?
[01:21:22.990 --> 01:21:23.990]  I can't hear you at all, brother.
[01:21:27.990 --> 01:21:28.990]  Okay.
[01:21:29.990 --> 01:21:30.990]  Can you hear me?
[01:21:31.990 --> 01:21:32.990]  All right. I'll just start typing shit.
[01:21:33.990 --> 01:21:34.990]  I don't know, brother.
[01:21:37.990 --> 01:21:38.990]  I can...
[01:21:39.990 --> 01:21:41.990]  I disconnected you from Bluetooth, so we shouldn't be having any issues.
[01:21:42.430 --> 01:21:43.430]  It should be coming.
[01:21:44.430 --> 01:21:46.430]  You can hear me, but I can't hear you. Speak. Say something.
[01:21:47.430 --> 01:21:48.430]  Check one, two. Check one.
[01:21:49.430 --> 01:21:50.430]  Fuck it. We're just going to go this way, man.
[01:21:51.430 --> 01:21:52.430]  I'm just going to roll with it.
[01:21:53.430 --> 01:21:54.430]  I can't hear you at all.
[01:21:55.430 --> 01:21:56.430]  So hopefully we fix this.
[01:21:57.430 --> 01:21:58.430]  You want to try to check it again?
[01:22:04.430 --> 01:22:05.430]  All right, guys.
[01:22:06.430 --> 01:22:07.430]  So the first set has been run through.
[01:22:08.430 --> 01:22:10.430]  The water is going to go into the bucket.
[01:22:10.870 --> 01:22:11.870]  And I'm just going to go ahead and skip through.
[01:22:12.870 --> 01:22:14.870]  We didn't get a lot of return on the first wash.
[01:22:15.870 --> 01:22:16.870]  So I'm not going to do it with the ore.
[01:22:17.870 --> 01:22:19.870]  I'm just going to go ahead and skip one more wash
[01:22:20.870 --> 01:22:21.870]  and go right into the beat down with the machine.
[01:22:22.870 --> 01:22:23.870]  So let's do it.
[01:22:28.780 --> 01:22:30.780]  Yeah, he's not even in the thing right now.
[01:22:31.780 --> 01:22:32.780]  What did you say?
[01:22:33.780 --> 01:22:34.780]  He's not going to actually do that.
[01:22:35.780 --> 01:22:36.780]  We're still having issues with audio.
[01:22:44.660 --> 01:22:47.660]  And I always like to make sure that this material has plenty of audio.
[01:22:48.660 --> 01:22:50.660]  So it's going to be a little bit of a spice while it's sitting here.
[01:22:51.660 --> 01:22:52.660]  I know we've been lamby-ganging a lot.
[01:22:53.660 --> 01:22:55.660]  I normally don't wait this long to wash this material.
[01:22:56.660 --> 01:22:57.660]  But unfortunately, we did.
[01:22:58.660 --> 01:23:01.660]  So maybe outside the big drum, you want to bring it in?
[01:23:02.660 --> 01:23:03.660]  The thing right there? That one?
[01:23:09.130 --> 01:23:10.130]  Peter, I still can't hear you, man.
[01:23:11.130 --> 01:23:12.130]  I'm sorry, brother.
[01:23:13.130 --> 01:23:14.130]  We're having technical difficulties over here.
[01:23:14.570 --> 01:23:15.570]  I'm sorry.
[01:23:35.720 --> 01:23:36.720]  So.
[01:23:43.510 --> 01:23:44.510]  All right, guys.
[01:23:45.510 --> 01:23:46.510]  We're going to go with the second wash.
[01:23:47.510 --> 01:23:49.510]  And like we said, we're going to run this material.
[01:23:50.510 --> 01:23:51.510]  Right?
[01:23:52.510 --> 01:23:53.510]  One.
[01:23:55.510 --> 01:23:56.510]  One bag of ice.
[01:23:57.510 --> 01:23:58.510]  Just one of the big ones right there.
[01:23:58.950 --> 01:24:05.230]  Pop the pocket iCloud and make audio.
[01:24:06.230 --> 01:24:07.230]  Hold on.
[01:24:08.230 --> 01:24:09.230]  Sundar's going to take care of this real quick.
[01:24:10.230 --> 01:24:11.230]  OK?
[01:24:21.280 --> 01:24:22.280]  Audio.
[01:24:23.280 --> 01:24:24.280]  Microphone.
[01:24:25.280 --> 01:24:26.280]  I'm sorry, guys.
[01:24:39.440 --> 01:24:40.440]  The shit show over here.
[01:24:41.440 --> 01:24:42.440]  It's OK.
[01:24:42.440 --> 01:24:43.440]  If you have to leave and come back in.
[01:24:45.440 --> 01:24:48.600]  I'm sorry, Peter.
[01:24:49.600 --> 01:24:50.600]  I'm going to take it, bro.
[01:24:51.600 --> 01:24:52.600]  OK.
[01:24:53.040 --> 01:24:54.040]  We're not going to compromise any.
[01:24:55.040 --> 01:25:04.480]  She doesn't make it in this video at all.
[01:25:05.480 --> 01:25:06.480]  So the show is going to continue.
[01:25:07.480 --> 01:25:08.480]  I'm going to continue, guys.
[01:25:09.480 --> 01:25:10.480]  My wife is going to try to figure this out.
[01:25:15.800 --> 01:25:16.800]  They're back.
[01:25:17.800 --> 01:25:18.800]  Hold on.
[01:25:19.800 --> 01:25:20.800]  Just so there's a document.
[01:25:21.800 --> 01:25:22.800]  Just type out the questions and we'll read them.
[01:25:23.800 --> 01:25:36.250]  OK.
[01:25:37.250 --> 01:25:38.250]  OK.
[01:25:54.800 --> 01:25:55.800]  OK.
[01:25:56.800 --> 01:25:57.800]  OK.
[01:26:05.060 --> 01:26:06.060]  OK.
[01:26:06.500 --> 01:26:07.500]  Just type out the questions and we'll read them.
[01:26:09.500 --> 01:26:10.500]  What's going on?
[01:26:11.500 --> 01:26:12.500]  I just slept.
[01:26:13.500 --> 01:26:14.500]  I'm sorry, Peter.
