[00:00.000 --> 00:00.840]  How you doing?
[01:31:10.320 --> 01:31:12.240]  back crossed it to the blood wrecks.
[01:31:12.240 --> 01:31:14.120]  We call it the blood wreck VX2.
[01:31:15.320 --> 01:31:17.760]  I haven't really played with those seeds very much,
[01:31:17.760 --> 01:31:20.480]  but he did some and they were pretty nice.
[01:31:21.400 --> 01:31:24.160]  I'm not exactly sure as far as if it has
[01:31:24.160 --> 01:31:26.240]  any Trinity in it or not.
[01:31:26.240 --> 01:31:28.200]  And I just know that you and I have had the discussion,
[01:31:28.200 --> 01:31:30.840]  it's come up before, like people, you know,
[01:31:30.840 --> 01:31:32.000]  I inquired, you know,
[01:31:32.000 --> 01:31:33.800]  is there actually train wreck in that or not?
[01:31:33.800 --> 01:31:36.800]  So I was wondering if anybody else here-
[01:31:36.800 --> 01:31:39.160]  It came when it was given to us,
[01:31:39.160 --> 01:31:41.120]  actually, I'm sorry, it came from Grant,
[01:31:41.120 --> 01:31:44.320]  a guy named Grant, when it was given to us.
[01:31:44.320 --> 01:31:48.280]  It's actually what ended subs friendship with him was this.
[01:31:48.280 --> 01:31:49.880]  So it wasn't dioxide, it was Grant,
[01:31:50.320 --> 01:31:53.320]  but Grant introduced us to dioxide.
[01:31:53.320 --> 01:31:57.760]  And so it came to us as train wreck.
[01:31:57.760 --> 01:31:59.000]  Because the story-
[01:31:59.000 --> 01:32:01.960]  But it came from Scottie, it went from Scottie to,
[01:32:04.720 --> 01:32:05.560]  I'm sorry,
[01:32:08.950 --> 01:32:12.190]  dioxide got it from, I'm sorry, Scottie.
[01:32:13.830 --> 01:32:16.830]  I was always told that it's an extremely hard pheno
[01:32:16.830 --> 01:32:18.470]  to find of the train wreck.
[01:32:19.550 --> 01:32:21.190]  I mean, I don't know, I don't know the actual history,
[01:32:21.590 --> 01:32:24.310]  but that's kind of the gist or the rumors
[01:32:24.310 --> 01:32:26.270]  or the stuff that I always heard
[01:32:26.270 --> 01:32:29.310]  that it was a very hard pheno to find of the train wreck.
[01:32:29.310 --> 01:32:31.550]  But I honestly have no idea.
[01:32:31.550 --> 01:32:34.790]  She's blood wreck because she bleeds red.
[01:32:34.790 --> 01:32:35.630]  Yeah.
[01:32:35.630 --> 01:32:36.470]  That's why we went,
[01:32:36.470 --> 01:32:38.910]  I believe we were the ones that named her blood wreck,
[01:32:38.910 --> 01:32:41.190]  she just came as train wreck.
[01:32:41.190 --> 01:32:43.150]  And it definitely doesn't have like
[01:32:43.150 --> 01:32:46.030]  the traditional gassy kind of train wreck nose.
[01:32:46.030 --> 01:32:47.910]  It's a very unique terpene profile.
[01:32:47.910 --> 01:32:52.270]  And like Jill said, it literally had a red hue to it.
[01:32:52.270 --> 01:32:53.910]  Like a lot of times when you're washing hash,
[01:32:53.910 --> 01:32:55.110]  you'll see purples and stuff
[01:32:55.110 --> 01:32:57.550]  and all the different pigments come through.
[01:32:57.550 --> 01:32:59.630]  That's where the blood wreck name came from.
[01:32:59.630 --> 01:33:00.750]  Very, very unique.
[01:33:00.750 --> 01:33:04.230]  And it's not typical to any other train wreck version
[01:33:04.230 --> 01:33:05.910]  out there, that's for sure.
[01:33:05.910 --> 01:33:07.110]  Yeah, I didn't actually know,
[01:33:07.110 --> 01:33:08.590]  but I assumed the name came
[01:33:08.590 --> 01:33:13.070]  because when I was doing the leaves were like a maroon,
[01:33:13.070 --> 01:33:16.910]  which looked like blood, like after it's dried,
[01:33:16.910 --> 01:33:18.230]  like you get some blood on the ground
[01:33:18.230 --> 01:33:21.070]  or like it starts to dry, it's not that red blood red.
[01:33:21.070 --> 01:33:23.030]  It's that kind of maroony and all those.
[01:33:23.030 --> 01:33:25.390]  I don't know that, I just always kind of assumed that
[01:33:25.390 --> 01:33:27.110]  because mine definitely had that color.
[01:33:27.110 --> 01:33:28.230]  It wasn't, like I said,
[01:33:28.230 --> 01:33:30.310]  it wasn't the biggest yielder in the room,
[01:33:30.310 --> 01:33:33.110]  but it definitely was just frosty as hell.
[01:33:33.110 --> 01:33:34.390]  You know, it was just chronic
[01:33:34.390 --> 01:33:36.230]  and it was very popular back then too.
[01:33:37.670 --> 01:33:39.230]  Yeah, she's nice.
[01:33:39.230 --> 01:33:42.270]  Let's talk a little bit about a dragon's blood, Ray.
[01:33:43.710 --> 01:33:45.470]  You know, with your organ diesel,
[01:33:45.510 --> 01:33:47.390]  it's one of the beautiful characteristics
[01:33:47.390 --> 01:33:50.790]  besides it being a semi-auto that triggers
[01:33:50.790 --> 01:33:52.790]  on anything less than 20 hours of light
[01:33:52.790 --> 01:33:54.430]  or what, 22 hours of light.
[01:33:55.430 --> 01:33:58.110]  The dragon's blood, did you breed specifically
[01:33:58.110 --> 01:34:00.910]  for that trait or is it something
[01:34:00.910 --> 01:34:02.830]  that just you guys stumbled upon?
[01:34:05.310 --> 01:34:08.190]  If you're talking about the organ diesel bleeding purple,
[01:34:08.190 --> 01:34:10.750]  yeah, no, that's just something that it does.
[01:34:12.710 --> 01:34:14.270]  I haven't figured, we didn't have to,
[01:34:14.270 --> 01:34:16.430]  I haven't figured out where it comes from,
[01:34:16.430 --> 01:34:18.830]  but you know, as Shane says,
[01:34:18.830 --> 01:34:20.790]  all purples are due to anthocyanins.
[01:34:20.790 --> 01:34:22.670]  So then at that point,
[01:34:22.670 --> 01:34:25.110]  the anthocyanins must be fairly strong in that,
[01:34:25.110 --> 01:34:26.790]  which it comes out purple,
[01:34:28.230 --> 01:34:33.230]  but yeah, it's kind of an interesting effect for sure.
[01:34:34.590 --> 01:34:36.790]  And I've also noticed that it kind of depends
[01:34:36.790 --> 01:34:40.150]  on how old the plant is and where you top it at,
[01:34:40.150 --> 01:34:43.110]  whether or not it bleeds, if it bleeds purple or not.
[01:34:43.950 --> 01:34:47.710]  So with the progeny, when you make a new process with it,
[01:34:48.630 --> 01:34:53.230]  do the crosses display the same traits
[01:34:53.230 --> 01:34:56.790]  or is it a percentage of the progeny or?
[01:34:56.790 --> 01:35:00.590]  Yeah, so we see about 30%, one third of them
[01:35:00.590 --> 01:35:03.270]  still do the semi-auto trait,
[01:35:04.910 --> 01:35:06.230]  you know, which isn't bad,
[01:35:06.230 --> 01:35:09.750]  but which is fantastic in different gardens for sure.
[01:35:09.750 --> 01:35:12.430]  If you got to beat a cold snaps or rain weather
[01:35:12.590 --> 01:35:13.830]  or whatever that affects.
[01:35:14.950 --> 01:35:19.630]  But yeah, we do see that pass along in progeny, absolutely.
[01:35:19.630 --> 01:35:21.510]  So if you don't mind, I have a quick question
[01:35:21.510 --> 01:35:25.550]  with the anthocyanins, Ray and Sonny,
[01:35:25.550 --> 01:35:29.430]  what about the, you know, get your plant cold,
[01:35:29.430 --> 01:35:31.310]  it'll turn purple.
[01:35:31.310 --> 01:35:32.790]  Or you can use some purple meter
[01:35:32.790 --> 01:35:34.430]  or whatever it's called, you get the-
[01:35:34.430 --> 01:35:38.030]  Yeah, like does it affect the anthocyanins
[01:35:38.030 --> 01:35:39.710]  or is that just a-
[01:35:39.830 --> 01:35:44.470]  Sure, I mean, anthocyanins like a true purple,
[01:35:44.470 --> 01:35:46.510]  which is going to turn, you know,
[01:35:46.510 --> 01:35:50.190]  when flower setting at day 14, 17, 21,
[01:35:50.190 --> 01:35:52.470]  when everything's just coming into term,
[01:35:52.470 --> 01:35:54.910]  you know, when they're purple at that point in time,
[01:35:54.910 --> 01:35:56.710]  that's true anthocyanins.
[01:35:56.710 --> 01:35:59.870]  And yes, they're anthocyanins at the end of flowering,
[01:35:59.870 --> 01:36:02.950]  but you know, whether you're reducing it through pH
[01:36:02.950 --> 01:36:05.870]  or colder temps, I'm sure that is,
[01:36:05.870 --> 01:36:08.750]  you are influencing the same characteristics, you know,
[01:36:08.750 --> 01:36:12.990]  but as far as, you know, the content of anthocyanins
[01:36:12.990 --> 01:36:14.910]  and the cardinoids in the plant,
[01:36:14.910 --> 01:36:16.110]  they're going to be a little bit less
[01:36:16.110 --> 01:36:19.590]  than a true purple plant, obviously,
[01:36:19.590 --> 01:36:21.590]  but the same thing.
[01:36:21.590 --> 01:36:24.870]  And it's the same thing in flowers and, you know,
[01:36:24.870 --> 01:36:27.630]  vegetables and fruits and all that, you know,
[01:36:27.630 --> 01:36:28.470]  it's the same.
[01:36:28.470 --> 01:36:32.550]  So does that get passed on fairly easily
[01:36:32.550 --> 01:36:34.550]  or is it something you'd have to really select for?
[01:36:34.550 --> 01:36:36.030]  I mean, I guess another thing
[01:36:36.030 --> 01:36:37.230]  for the people that are watching,
[01:36:37.270 --> 01:36:40.390]  you know, what we're talking about is purple sap.
[01:36:40.390 --> 01:36:43.070]  You know, when you take a stem and you snap it
[01:36:43.070 --> 01:36:44.030]  and squeeze a little bit of sap,
[01:36:44.030 --> 01:36:46.830]  we're talking about actual purple red color,
[01:36:46.830 --> 01:36:48.270]  you know, that's very unique.
[01:36:50.110 --> 01:36:52.230]  As far as a trait, I mean, that's, you know,
[01:36:52.230 --> 01:36:56.630]  to breed that and to try to get that to be stable
[01:36:56.630 --> 01:36:58.670]  in your progeny, you know, your seed stock
[01:36:58.670 --> 01:36:59.510]  as you're growing up,
[01:36:59.510 --> 01:37:01.550]  that's going to be a really hard one to lock down.
[01:37:01.550 --> 01:37:04.670]  I mean, that's not a very common trait, you know,
[01:37:04.670 --> 01:37:06.790]  and even as Ray was saying, you know,
[01:37:07.350 --> 01:37:08.790]  the third of the progeny, you know,
[01:37:08.790 --> 01:37:10.670]  having the semi-autoflowering,
[01:37:10.670 --> 01:37:14.190]  so even less are going to have the chance
[01:37:14.190 --> 01:37:17.030]  to produce purple sap like that, the plum sap.
[01:37:17.030 --> 01:37:20.750]  So, yeah, I mean, as far as trying to lock that trait down,
[01:37:20.750 --> 01:37:23.510]  I want to see somebody do it, you know?
[01:37:23.510 --> 01:37:24.870]  Really interesting.
[01:37:24.870 --> 01:37:26.670]  That's a challenge in itself.
[01:37:26.670 --> 01:37:29.550]  I think you'd have to use multiple types
[01:37:29.550 --> 01:37:32.310]  of analytical testing and other testing
[01:37:32.310 --> 01:37:34.790]  to help you narrow that down quicker
[01:37:34.790 --> 01:37:36.350]  or else you'd just be shooting in the dark
[01:37:36.910 --> 01:37:39.310]  for quite a long time trying to lock that trait down.
[01:37:41.350 --> 01:37:44.230]  So, Sonny, what did you think when those products came out?
[01:37:44.230 --> 01:37:46.670]  I think one of them was called Purple Max.
[01:37:46.670 --> 01:37:47.670]  The Purple Max?
[01:37:47.670 --> 01:37:49.350]  I just laughed.
[01:37:49.350 --> 01:37:50.790]  I was like, well, you need that shit
[01:37:50.790 --> 01:37:52.150]  to make your plants purple.
[01:37:53.830 --> 01:37:55.910]  Well, I didn't know for a fact,
[01:37:55.910 --> 01:37:58.590]  but some people were talking about like,
[01:37:58.590 --> 01:38:00.710]  I don't even know what was in that bottle,
[01:38:00.710 --> 01:38:03.270]  but supposedly it was like not a good thing.
[01:38:03.270 --> 01:38:05.390]  Like it was some kind of pretty harsh chemical.
[01:38:05.430 --> 01:38:06.750]  It had a lot of cars in it.
[01:38:06.750 --> 01:38:08.030]  I got taken off the market,
[01:38:08.030 --> 01:38:11.510]  but one of the things with purple in plants
[01:38:11.510 --> 01:38:14.470]  and when people try all these temperature fluctuations
[01:38:14.470 --> 01:38:15.830]  and a lot of this stuff,
[01:38:15.830 --> 01:38:17.710]  it's different from what we're talking about here
[01:38:17.710 --> 01:38:20.150]  because chlorophyll being the predominant pigment
[01:38:20.150 --> 01:38:21.830]  comes through, that's green.
[01:38:21.830 --> 01:38:26.830]  And some strands, they have the purple trait to it
[01:38:27.030 --> 01:38:28.470]  and others don't.
[01:38:28.470 --> 01:38:29.870]  You can drop your temperature.
[01:38:29.870 --> 01:38:31.350]  You could water with ice water
[01:38:31.350 --> 01:38:34.630]  and Jack Herro isn't gonna express that.
[01:38:34.670 --> 01:38:37.270]  So when you have a lot of these products come through,
[01:38:38.550 --> 01:38:39.470]  there's a lot of shit that went,
[01:38:39.470 --> 01:38:42.190]  I mean, I sat in hydro stores for a decade.
[01:38:42.190 --> 01:38:43.550]  There's a lot of products that came out there
[01:38:43.550 --> 01:38:45.150]  that are just absolute bullshit.
[01:38:46.510 --> 01:38:48.030]  That being one of them,
[01:38:48.030 --> 01:38:51.550]  but a lot of it's just genetic characteristics
[01:38:51.550 --> 01:38:54.390]  and traits that are passed on through things
[01:38:54.390 --> 01:38:56.630]  and not all cannabis can just do that.
[01:38:56.630 --> 01:38:58.590]  It's not something like, oh, it's autumn
[01:38:58.590 --> 01:39:01.430]  and all our leaves are gonna turn yellow and purple
[01:39:01.430 --> 01:39:02.670]  and all this shit.
[01:39:03.550 --> 01:39:06.670]  So they're very two different characteristics
[01:39:06.670 --> 01:39:08.030]  of what we're kind of talking about
[01:39:08.030 --> 01:39:10.870]  where people would get very, very confused.
[01:39:10.870 --> 01:39:14.230]  And I've seen a lot of people drop room temperatures,
[01:39:14.230 --> 01:39:16.990]  drop water temperatures, change their pH,
[01:39:16.990 --> 01:39:18.590]  add more potassium.
[01:39:18.590 --> 01:39:20.470]  There's definitely tricks that you can do
[01:39:20.470 --> 01:39:24.790]  that can bring out and really express those pigments.
[01:39:24.790 --> 01:39:26.390]  But usually at a plant's life cycle,
[01:39:26.390 --> 01:39:28.150]  when the chlorophyll is dropping off
[01:39:28.150 --> 01:39:30.630]  is when those pigments that are already laying dormant
[01:39:30.630 --> 01:39:32.470]  in those plants are truly expressed.
[01:39:33.710 --> 01:39:35.350]  Yeah, I find most plants,
[01:39:35.350 --> 01:39:39.830]  buds that are partially purple are way more chronic.
[01:39:39.830 --> 01:39:41.750]  Like a couple of you guys were saying earlier,
[01:39:41.750 --> 01:39:44.590]  like the super purples just weren't that potent,
[01:39:44.590 --> 01:39:46.630]  but there's that bag appeal.
[01:39:46.630 --> 01:39:49.150]  I do this little thing on my social media every day
[01:39:49.150 --> 01:39:50.790]  where I open up a little box
[01:39:50.790 --> 01:39:53.870]  and I say it's time to select a NUG Dijor
[01:39:53.870 --> 01:39:55.350]  from the random NUG box.
[01:39:55.350 --> 01:39:56.390]  And that's what it's about,
[01:39:56.390 --> 01:39:58.710]  is picking out a nice bud for the day.
[01:39:58.710 --> 01:40:00.350]  Every time the comments are like,
[01:40:01.030 --> 01:40:02.990]  oh, I got that purple one in the corner.
[01:40:02.990 --> 01:40:06.190]  But if I held those right up to the camera,
[01:40:06.190 --> 01:40:08.070]  you'd see like they're not half as chronic
[01:40:08.070 --> 01:40:08.910]  as the other ones,
[01:40:08.910 --> 01:40:10.630]  or the ones that have just like little streaks
[01:40:10.630 --> 01:40:11.470]  of purple going through,
[01:40:11.470 --> 01:40:13.510]  like the straight purple purple,
[01:40:13.510 --> 01:40:15.270]  it's not even half as chronic.
[01:40:15.270 --> 01:40:18.230]  I mean, a lot of you guys may remember like the Zen,
[01:40:18.230 --> 01:40:20.150]  the Afgui cross.
[01:40:20.150 --> 01:40:21.830]  I mean, that was,
[01:40:21.830 --> 01:40:24.230]  that as soon as it flowered, it was purple.
[01:40:24.230 --> 01:40:28.310]  And it was dark, dark purple, almost looked black.
[01:40:28.310 --> 01:40:29.670]  Wasn't that great of a smoke?
[01:40:29.990 --> 01:40:31.470]  I absolutely love the hash.
[01:40:31.470 --> 01:40:34.150]  That was one of his favorite, you know, hashes of smoke,
[01:40:34.150 --> 01:40:36.750]  but you know, definitely not a very potent genetic,
[01:40:36.750 --> 01:40:40.550]  but that was a trait that just instantly appeared
[01:40:40.550 --> 01:40:43.990]  versus coming out at the plant's end of the life cycle.
[01:40:43.990 --> 01:40:45.630]  You know, I'm very impressed.
[01:40:45.630 --> 01:40:48.790]  I used a purple Afghani and I did a reversal on it
[01:40:48.790 --> 01:40:52.710]  and made some feminized hybrids with it,
[01:40:52.710 --> 01:40:54.710]  a headband and an OG Kush,
[01:40:54.710 --> 01:40:59.430]  and of course an S1 and with the G13 as well.
[01:41:00.190 --> 01:41:04.470]  And I would say 60, 70% of those are purple
[01:41:04.470 --> 01:41:07.310]  and of all four of them.
[01:41:07.310 --> 01:41:11.710]  And I would say that probably about 30% of them
[01:41:11.710 --> 01:41:12.630]  bleed purple.
[01:41:17.070 --> 01:41:19.430]  And it's real heavy in the budding.
[01:41:19.430 --> 01:41:20.590]  It's not, and some of them,
[01:41:20.590 --> 01:41:21.990]  it has the purple and green mix,
[01:41:21.990 --> 01:41:24.830]  like Jinx was saying, I believe,
[01:41:24.830 --> 01:41:26.550]  for the nice pretty bag of pill.
[01:41:26.550 --> 01:41:28.430]  And then some of them are just straight purple.
[01:41:28.430 --> 01:41:33.430]  So it's got quite a bit of the purpling in there.
[01:41:33.670 --> 01:41:36.590]  Yeah, those purple Afghanis can be pretty pungent
[01:41:36.590 --> 01:41:39.590]  and strong, like pretty high.
[01:41:39.590 --> 01:41:42.470]  Yeah, well, the hammer is Afgoo berry,
[01:41:42.470 --> 01:41:45.350]  which is Afgoo-y times a berry Kush.
[01:41:45.350 --> 01:41:48.390]  And it gets super purple, but it's super chronic.
[01:41:48.390 --> 01:41:50.070]  Like it'll ruin your day.
[01:41:50.070 --> 01:41:50.910]  You know what I mean?
[01:41:50.910 --> 01:41:52.030]  That's for sure.
[01:41:52.030 --> 01:41:55.310]  So, but you know, everybody has something different.
[01:41:55.310 --> 01:41:57.070]  Some people bag of pill means a lot to them
[01:41:57.110 --> 01:42:02.110]  and maybe they're subliminally getting higher
[01:42:02.790 --> 01:42:06.470]  because of enjoying that color and that presence,
[01:42:06.470 --> 01:42:09.230]  just like when a hot chick walks by or something,
[01:42:09.230 --> 01:42:10.430]  I don't know.
[01:42:10.430 --> 01:42:12.790]  Yeah, yeah, blackberry Kush back in the day
[01:42:12.790 --> 01:42:15.670]  was an amazing looking bud that had awesome bag of pill,
[01:42:15.670 --> 01:42:16.950]  but it didn't really get you high.
[01:42:16.950 --> 01:42:18.830]  And then once we got analytical testing,
[01:42:18.830 --> 01:42:22.270]  it all made sense because it tested it like nine to 10%.
[01:42:22.270 --> 01:42:23.190]  Right.
[01:42:23.190 --> 01:42:24.510]  Yeah.
[01:42:24.510 --> 01:42:27.030]  Which was strong weed for some of us old guys
[01:42:27.870 --> 01:42:28.710]  when we were kids.
[01:42:28.710 --> 01:42:30.990]  That was so bomb, you know?
[01:42:30.990 --> 01:42:31.830]  Yeah.
[01:42:31.830 --> 01:42:32.990]  You know, like brother,
[01:42:32.990 --> 01:42:34.590]  Rose's brother I was talking about,
[01:42:34.590 --> 01:42:36.350]  you know, when he had sitting on the edge of the bed,
[01:42:36.350 --> 01:42:37.950]  praying to God for it to be over.
[01:42:37.950 --> 01:42:39.790]  He hadn't smoked weed since the sixties.
[01:42:39.790 --> 01:42:42.870]  Like his chronic was, you know, probably 4%.
[01:42:42.870 --> 01:42:44.030]  And he, you know, he hated it.
[01:42:44.030 --> 01:42:45.670]  Like say he had cancer
[01:42:45.670 --> 01:42:47.510]  and that's why he started smoking weed again.
[01:42:47.510 --> 01:42:50.110]  I mean, obviously it wasn't gonna save him at that point,
[01:42:50.110 --> 01:42:53.270]  but you know, after that, he asked me,
[01:42:53.270 --> 01:42:55.270]  like, if you go to a store
[01:42:55.270 --> 01:42:58.510]  and you see the worst weed you've ever seen in your life,
[01:42:58.510 --> 01:43:00.310]  like, would you grab me some of that?
[01:43:01.590 --> 01:43:04.230]  Is that just the generation he came from, you know?
[01:43:04.230 --> 01:43:05.910]  That was, I did get him some of that.
[01:43:05.910 --> 01:43:08.150]  It was just, you know, like practically trim, you know,
[01:43:08.150 --> 01:43:09.550]  that was perfect for him.
[01:43:09.550 --> 01:43:11.510]  So it's probably 2%.
[01:43:11.510 --> 01:43:12.350]  Yeah.
[01:43:15.350 --> 01:43:16.190]  I was gonna ask you guys about
[01:43:16.190 --> 01:43:18.110]  indoor versus outdoor breeding.
[01:43:18.110 --> 01:43:20.310]  Now, about two years ago,
[01:43:20.310 --> 01:43:24.590]  I bred the same varieties indoors and outdoors
[01:43:25.470 --> 01:43:26.870]  I had to move some of the plants indoors
[01:43:26.870 --> 01:43:28.230]  because I ran out of space.
[01:43:28.230 --> 01:43:29.990]  And then I had to,
[01:43:29.990 --> 01:43:31.070]  I ended up moving them all in
[01:43:31.070 --> 01:43:32.110]  cause they got cold together.
[01:43:32.110 --> 01:43:36.230]  But the ones outdoor actually had a larger size seeds,
[01:43:36.230 --> 01:43:37.590]  like significantly larger.
[01:43:37.590 --> 01:43:39.350]  Way bigger, way bigger.
[01:43:39.350 --> 01:43:43.350]  And Odie, all his seeds from the Homegrown Natural Wonders,
[01:43:43.350 --> 01:43:45.590]  everything I've ever seen is like this massive seed.
[01:43:45.590 --> 01:43:47.430]  Whereas like the indoor stuff,
[01:43:47.430 --> 01:43:49.550]  you guys wanna talk about your preference
[01:43:49.550 --> 01:43:53.550]  on breeding indoor versus outdoor and benefits to both?
[01:43:53.550 --> 01:43:54.910]  Pat, we can start with you.
[01:43:55.910 --> 01:43:57.230]  Yeah, I've definitely done, you know,
[01:43:57.230 --> 01:43:59.430]  breeding in greenhouses, you know,
[01:43:59.430 --> 01:44:01.030]  breeding straight outdoor plants
[01:44:01.030 --> 01:44:02.990]  and then breeding an indoor.
[01:44:02.990 --> 01:44:05.110]  You know, one of the biggest things, you know,
[01:44:05.110 --> 01:44:08.470]  when we had, you know, say our six plants outside
[01:44:08.470 --> 01:44:10.950]  that would have yielded, you know, five pounds,
[01:44:10.950 --> 01:44:14.070]  one of them hit over 70,000 seeds out of one plant,
[01:44:14.070 --> 01:44:15.790]  which is absolutely insane.
[01:44:16.950 --> 01:44:20.270]  The size of the seed, I probably still have them,
[01:44:20.270 --> 01:44:22.790]  but it was almost double the size.
[01:44:22.790 --> 01:44:27.270]  Deep, dark, tiger striped, absolutely amazing process.
[01:44:28.150 --> 01:44:33.070]  You know, in terms of, you know,
[01:44:33.070 --> 01:44:34.550]  expression that comes out of it,
[01:44:34.550 --> 01:44:37.070]  you know, from what I've seen, it's the same, you know.
[01:44:37.070 --> 01:44:38.390]  So outside, you know,
[01:44:38.390 --> 01:44:40.710]  especially some of the breeders that I know in the industry
[01:44:40.710 --> 01:44:43.710]  that have been doing it this way forever,
[01:44:43.710 --> 01:44:46.190]  you know, from a cultivation perspective,
[01:44:46.190 --> 01:44:47.870]  you get way more bang for your buck
[01:44:47.870 --> 01:44:51.230]  with way less, you know, input in electric, you know,
[01:44:51.230 --> 01:44:54.230]  and just all of the overhead that kind of goes in with it.
[01:44:55.470 --> 01:44:57.550]  Also, a lot of these, you know, guys that are doing it,
[01:44:57.550 --> 01:45:00.350]  you know, you're trying to grow things, you know,
[01:45:00.350 --> 01:45:02.150]  from a regional standpoint.
[01:45:02.150 --> 01:45:03.710]  So when you're doing that outside,
[01:45:03.710 --> 01:45:05.550]  especially if it's a plant that's, you know,
[01:45:05.550 --> 01:45:08.510]  good for your zone, it can then pass that on
[01:45:08.510 --> 01:45:11.630]  and kind of stabilize that out for your next generations.
[01:45:12.550 --> 01:45:14.310]  You know, greenhouse is where we make
[01:45:14.310 --> 01:45:15.630]  a lot of our seeds now.
[01:45:16.630 --> 01:45:19.510]  You know, it's the best of both worlds.
[01:45:19.510 --> 01:45:23.350]  You know, I'm not having such an ecological footprint,
[01:45:23.350 --> 01:45:24.950]  you know, in the summer,
[01:45:24.950 --> 01:45:27.270]  and the yields are definitely up there.
[01:45:28.110 --> 01:45:31.430]  You do always, you know, have to, environmentally speaking,
[01:45:31.430 --> 01:45:33.110]  you've got to spend some money to get, you know,
[01:45:33.110 --> 01:45:34.150]  especially where I'm at, you know,
[01:45:34.150 --> 01:45:37.310]  the humidity and dehumidification in control.
[01:45:38.110 --> 01:45:40.830]  But the sun is a very, very powerful thing.
[01:45:40.830 --> 01:45:42.830]  You know, when you look at what that thing kicks out
[01:45:42.830 --> 01:45:45.550]  in peak density versus a thousand watt, you know,
[01:45:45.550 --> 01:45:47.190]  you can't compete with the sun.
[01:45:48.190 --> 01:45:49.430]  But, you know, obviously in indoor,
[01:45:49.430 --> 01:45:51.550]  you always have, you know, more control.
[01:45:52.990 --> 01:45:55.470]  So, you know, I just, I think that, you know,
[01:45:55.470 --> 01:45:58.270]  depending on what your goals are, you know,
[01:45:58.270 --> 01:46:00.470]  and also, you know, I think an important part is
[01:46:00.470 --> 01:46:03.710]  what we're seeing in Oregon quite a bit, you know,
[01:46:03.710 --> 01:46:05.590]  there's so many people in Southern Oregon
[01:46:05.590 --> 01:46:08.790]  that are impacted by hemp fields right now
[01:46:08.790 --> 01:46:10.950]  that are either having, you know, hermaphrodism
[01:46:10.950 --> 01:46:13.870]  or people are just straight have nails in them.
[01:46:13.870 --> 01:46:16.790]  And, you know, that cross-pollination, we have, you know,
[01:46:17.390 --> 01:46:18.950]  we don't know how far that drift goes,
[01:46:18.950 --> 01:46:21.510]  but, you know, it could be up to five miles.
[01:46:21.510 --> 01:46:23.630]  And I've seen, you know, our old vineyard
[01:46:23.630 --> 01:46:26.630]  time and time again, you know, get cross-pollinated
[01:46:26.630 --> 01:46:29.670]  and you don't know where that source is coming from.
[01:46:29.670 --> 01:46:31.870]  You know, now with everything that we've got going on
[01:46:31.870 --> 01:46:33.710]  with the hemp industry, you know,
[01:46:33.710 --> 01:46:36.070]  I don't breed, you know, THC outside anymore
[01:46:36.070 --> 01:46:38.030]  because if I do have that cross-pollination,
[01:46:38.030 --> 01:46:41.270]  that's gonna be a world of hurt for us.
[01:46:41.270 --> 01:46:43.590]  So we try to isolate it and control, you know,
[01:46:43.590 --> 01:46:45.550]  our pollen quite a bit,
[01:46:45.550 --> 01:46:47.630]  but there's definitely massive benefits,
[01:46:47.630 --> 01:46:49.190]  but you just have to be aware of, you know,
[01:46:49.190 --> 01:46:50.950]  I don't wanna be that guy that, you know,
[01:46:50.950 --> 01:46:53.070]  I'm breeding outside and I just screwed my neighbor
[01:46:53.070 --> 01:46:54.670]  and his livelihood up.
[01:46:54.670 --> 01:46:58.790]  So, you know, nature, sun, powerful thing.
[01:46:58.790 --> 01:47:01.910]  I think that you can do absolutely amazing work.
[01:47:01.910 --> 01:47:03.470]  You know, you just kind of have to be aware
[01:47:03.470 --> 01:47:05.190]  of what you're doing, why you're doing it,
[01:47:05.190 --> 01:47:06.550]  and your intentions, because, you know,
[01:47:06.550 --> 01:47:08.630]  there's just a lot of people that have seen devastation
[01:47:08.630 --> 01:47:10.550]  over the last, you know, three, four years,
[01:47:10.550 --> 01:47:11.830]  especially down in Southern Oregon.
[01:47:11.830 --> 01:47:13.310]  I know it's happening in California
[01:47:13.310 --> 01:47:15.030]  and California has actually done regional zones
[01:47:15.510 --> 01:47:17.070]  but you can't do hemp for that reason.
[01:47:18.030 --> 01:47:19.590]  But unfortunately I've seen a lot of loss
[01:47:19.590 --> 01:47:21.270]  and, you know, it's nothing, you know,
[01:47:21.270 --> 01:47:23.030]  I grew up in the East Coast smoking, you know,
[01:47:23.030 --> 01:47:24.830]  Mexican brick weed, you know,
[01:47:24.830 --> 01:47:27.030]  and there's nothing worse than a bunch of seeds
[01:47:27.030 --> 01:47:29.870]  that you can weed that are not intentional.
[01:47:32.070 --> 01:47:34.350]  Ray, do you wanna touch on that a little bit?
[01:47:34.350 --> 01:47:36.510]  Yeah, I mean, hemp or pollen
[01:47:36.510 --> 01:47:39.470]  could actually travel up to 2000 miles
[01:47:39.470 --> 01:47:42.390]  just based on, you know, how moist your climate is.
[01:47:42.430 --> 01:47:46.590]  If it's a dry wind, it can travel for quite a ways.
[01:47:46.590 --> 01:47:49.030]  You know, I was one of the people who right in the years
[01:47:49.030 --> 01:47:52.270]  initially educating the Department of Ag in Oregon
[01:47:52.270 --> 01:47:54.470]  about, you know, cross pollination
[01:47:54.470 --> 01:47:56.070]  and how it's gonna go down.
