[00:00.000 --> 00:02.000]  era
[59:51.970 --> 59:53.970]  I don't know. We're definitely
[59:54.130 --> 59:55.410]  I like
[59:55.410 --> 59:58.230]  I like where your head was just set with kind of like a tutorial
[59:58.930 --> 01:00:03.250]  Where like, you know if the up and coming generation wants to see what it's like to work on the farm
[01:00:03.330 --> 01:00:06.050]  It's like come help with the harvest and it's like, you know
[01:00:06.050 --> 01:00:11.810]  You can see the inner workings throughout the year as well. And I really like where your where your mind was going with that
[01:00:11.890 --> 01:00:13.490]  you know, well then
[01:00:13.490 --> 01:00:18.530]  Then you get people who are passionate about the plant and people are passionate about the plant like pay attention and it helps and you
[01:00:18.530 --> 01:00:23.890]  know, I think that can help like in these hard times, you know, and I I know a lot of other farms in the area that
[01:00:24.530 --> 01:00:27.650]  You know do have that like oh, it's like a destination too
[01:00:27.650 --> 01:00:33.810]  It's like you're gonna go on a regenerative farm and like the beautiful countryside like I love it up here
[01:00:33.970 --> 01:00:38.850]  It's you know, we're we're the top of the mountain. That's not too far away either
[01:00:38.850 --> 01:00:46.050]  We're like, you know still 35 minutes from ukiah, you know an hour and a half from santa rosa. So we're
[01:00:46.930 --> 01:00:52.850]  We're out there, but we're still pretty close to civilization, but we're far enough away where you can't hear it which is
[01:00:53.650 --> 01:00:55.970]  It's amazing. So, you know just to
[01:00:56.690 --> 01:00:58.690]  Be up in the forest
[01:00:59.330 --> 01:01:01.330]  in a field of ganja
[01:01:01.490 --> 01:01:06.050]  I was just outside of uh, middletown just south of ukiah, you know, okay
[01:01:06.850 --> 01:01:08.850]  Yeah
[01:01:09.250 --> 01:01:11.810]  Yeah, that's not too far down at all
[01:01:12.130 --> 01:01:14.130]  Um
[01:01:22.470 --> 01:01:24.470]  Looking
[01:01:25.510 --> 01:01:31.750]  In the chat, are there any questions but uh, so should I play that song?
[01:01:33.590 --> 01:01:39.350]  The tune is amazing so we have we have a a world premiere, uh,
[01:01:40.070 --> 01:01:42.470]  someone named david who is
[01:01:42.870 --> 01:01:45.910]  Uh most likely asleep in the uk right now
[01:01:46.790 --> 01:01:51.270]  But potentially awake starting his day, uh sent a song
[01:01:52.630 --> 01:01:54.630]  uh
[01:01:55.350 --> 01:01:59.990]  Which I played for you and I was like, this is awesome but uh
[01:02:02.230 --> 01:02:05.770]  It's a a tribute to the fcp so hold on
[01:02:05.770 --> 01:02:11.860]  Um
[01:02:16.340 --> 01:02:20.740]  You have to play something different so it starts that song back up at the beginning so hold on
[01:02:22.340 --> 01:02:29.940]  This song was inspired by the future cannabis project what's been instrumental in the revolution and dedicated to his viewers special merit goes out
[01:02:29.940 --> 01:02:31.940]  to the
[01:02:33.700 --> 01:02:35.700]  Is this the cucumber guy
[01:02:39.940 --> 01:02:44.420]  I think he called you done. Here's the very that was great. What's that?
[01:02:47.140 --> 01:02:49.140]  I think he called it
[01:02:49.700 --> 01:02:51.700]  It it keeps uh
[01:02:52.980 --> 01:02:55.960]  Not playing it i'm trying to play it from the beginning
[01:02:57.060 --> 01:03:00.340]  And I think I have to like play another song, but then that didn't work
[01:03:01.220 --> 01:03:07.460]  This song was inspired by the future cannabis project who has been instrumental in the revolution and dedicated to his viewers
[01:03:07.700 --> 01:03:09.700]  Special merit goes out to
[01:03:18.980 --> 01:03:20.980]  James
[01:03:37.860 --> 01:03:39.860]  Mean
[01:03:57.220 --> 01:04:03.940]  And a very special thank you for the dedication and for bringing the science into what we believe in goes to dr
[01:04:03.940 --> 01:04:11.300]  Ethan russell chet lowenfels. Dr. Elaine. Engel. Dr. Christine Jones. Dr. James white
[01:04:19.380 --> 01:04:21.380]  Dr. Bob
[01:04:21.940 --> 01:04:23.940]  Animus
[01:04:42.160 --> 01:04:44.160]  American
[01:04:53.520 --> 01:04:55.520]  Russian
[01:05:17.040 --> 01:05:19.040]  Free thinkers
[01:05:23.120 --> 01:05:25.120]  Elk
[01:05:32.480 --> 01:05:34.480]  Brandon
[01:05:44.480 --> 01:05:46.480]  Seven or seven
[01:05:53.600 --> 01:05:55.600]  So
[01:06:09.840 --> 01:06:11.840]  Dragon fire
[01:06:23.280 --> 01:06:25.280]  Aj
[01:06:33.280 --> 01:06:35.280]  Burn extract
[01:06:36.240 --> 01:06:38.820]  God for those names. I can't remember
[01:06:53.590 --> 01:06:55.590]  All right
[01:06:56.390 --> 01:07:01.350]  That was amazing so that was sent to me, uh
[01:07:03.330 --> 01:07:05.330]  Yesterday
[01:07:05.730 --> 01:07:07.730]  It sounds like the game like
[01:07:08.450 --> 01:07:13.730]  It's like early like i'm like starting my day drinking my coffee like sitting down like
[01:07:14.450 --> 01:07:20.050]  Being like the mountain of shit. I have to do in that day and like starting with my emails and this email comes in
[01:07:20.770 --> 01:07:22.770]  And it's like this really long
[01:07:23.410 --> 01:07:25.410]  like multi-paragraph email
[01:07:27.890 --> 01:07:33.810]  And then he attached these two songs and I was like, holy shit, that's amazing
[01:07:35.330 --> 01:07:37.330]  and and some of it's from like
[01:07:38.690 --> 01:07:40.530]  A week and a half ago
[01:07:40.530 --> 01:07:46.930]  So he's like incorporating stuff from like way way back in time. I'm like, I don't even remember all this shit
[01:07:47.970 --> 01:07:50.070]  He's like, dr. Mike amaranthus
[01:07:52.690 --> 01:07:55.510]  He took some serious notes that was awesome
[01:07:57.890 --> 01:08:00.950]  So I thought that would lift everybody's spirits
[01:08:01.350 --> 01:08:03.350]  Uh
[01:08:03.510 --> 01:08:05.510]  If you're tired you're now like
[01:08:08.070 --> 01:08:12.070]  I'm so tired. You're like now i'm still tired. Uh
[01:08:16.070 --> 01:08:19.750]  Well, so just quick all right, let's go through some of the uh, so you
[01:08:20.390 --> 01:08:23.270]  some of the new stuff you're breeding and then uh,
[01:08:24.230 --> 01:08:26.950]  some of the stuff you already have out there i'm looking at like the
[01:08:27.030 --> 01:08:29.030]  The
[01:08:30.390 --> 01:08:33.910]  There's a you have like a lot of auto which is awesome
[01:08:35.910 --> 01:08:37.910]  Yeah, um
[01:08:38.550 --> 01:08:40.550]  Because I they're
[01:08:41.270 --> 01:08:46.150]  Definitely easy to breed because you can do large like
[01:08:47.590 --> 01:08:49.610]  I think we just made 111
[01:08:49.990 --> 01:08:51.990]  111
[01:08:52.150 --> 01:08:56.810]  Combinations of auto flowers and that was from starting with like the lion claw stock
[01:08:57.130 --> 01:09:03.130]  Breeding it into full terms and then breeding them again so that they start to express the auto flower trait
[01:09:04.090 --> 01:09:09.130]  And this year we did like plots of them with the three uh, three types of autos per plot
[01:09:09.290 --> 01:09:12.170]  But the middle one was the only one that was the breeder
[01:09:14.010 --> 01:09:16.010]  Um
[01:09:16.570 --> 01:09:18.970]  Yeah, so it and it's just fun to
[01:09:20.570 --> 01:09:26.010]  To breed and grow autos. I mean i'm i'm a fan. I know that people people hate it, but especially for your
[01:09:27.370 --> 01:09:32.730]  you know your backyard or I do see commercial aspects to them, you know, and and
[01:09:34.410 --> 01:09:41.530]  Give me enough time and I think we'll be able to grow the autos for production and people won't know
[01:09:43.930 --> 01:09:48.090]  That they're autos because we're not going to tell them those are fighting words
[01:09:50.570 --> 01:09:52.810]  There are a lot of people saying they will never
[01:09:54.090 --> 01:09:55.690]  yeah, I mean
[01:09:55.690 --> 01:09:57.530]  I think if if
[01:09:57.530 --> 01:10:01.530]  Just like what you know, some people don't like growing from seed. They like growing from clown too
[01:10:02.890 --> 01:10:04.890]  Oh, you're back
[01:10:05.290 --> 01:10:07.290]  I think some people don't also
[01:10:07.370 --> 01:10:09.370]  People also don't like growing from seed
[01:10:09.770 --> 01:10:11.610]  They like growing from clown
[01:10:11.610 --> 01:10:17.850]  You know because you even in the seed batch you see that uh variation in it and in an auto population
[01:10:17.930 --> 01:10:21.850]  You're growing way more so you're just going to see maybe more of that
[01:10:23.290 --> 01:10:25.850]  But we grow, you know, you grow a stable enough seed
[01:10:28.410 --> 01:10:34.030]  You know, you will see some that you can't blend in with with the rest of it, but it's usually a small percentage
[01:10:39.760 --> 01:10:41.760]  How when you're breed like
[01:10:44.720 --> 01:10:48.160]  At your scale you have a bunch of you're not like
[01:10:48.240 --> 01:10:50.240]  Like
[01:10:50.240 --> 01:10:52.240]  Like you're gonna have a lot of males
[01:10:52.800 --> 01:10:54.800]  of different cultivars
[01:10:55.200 --> 01:10:57.200]  Going at the same time
[01:10:57.600 --> 01:11:02.880]  So in terms of breeding, how do you make sure that like pollen from one thing doesn't get into other stuff?
[01:11:04.400 --> 01:11:06.400]  I mean
[01:11:06.400 --> 01:11:10.880]  Usually you really have to be on it and um, so like when I do
[01:11:11.600 --> 01:11:18.480]  A harvest from the male garden, which we have like, you know an in-ground male garden
[01:11:20.160 --> 01:11:23.520]  When i'm done harvesting that pollen for the day you like spray things down
[01:11:23.520 --> 01:11:28.080]  So if you catch you want to harvest your males like before they open up
[01:11:29.120 --> 01:11:31.360]  Like just when they just start to open up
[01:11:31.600 --> 01:11:35.680]  So then you harvest the males that are just starting to open up and then you spray the other ones down
[01:11:35.680 --> 01:11:38.720]  So it kind of you're still probably going to get some cross pollen
[01:11:39.340 --> 01:11:42.640]  Contamination, but it should be rare. But yeah
[01:11:44.480 --> 01:11:48.000]  Growing like how you know in breeding how we breed are like
[01:11:48.560 --> 01:11:52.960]  Other outdoor growers like moon gazers green source garden. You're gonna get some pollen
[01:11:54.960 --> 01:11:59.960]  Um
[01:11:59.960 --> 01:12:02.440]  Yeah, and then our little male garden is just like tucked away
[01:12:03.880 --> 01:12:09.400]  On the little like section of the of the land that doesn't get a lot of wind kind of in a little hole
[01:12:09.400 --> 01:12:12.760]  And we do have wind wind screens up. And yeah, you just have to be
[01:12:14.280 --> 01:12:17.400]  On it like when I have a very relaxing
[01:12:18.280 --> 01:12:20.760]  Male garden this year. I think I only planted like
[01:12:21.480 --> 01:12:23.980]  Four or five rows of like 15 rows
[01:12:27.240 --> 01:12:29.240]  Um
[01:12:29.240 --> 01:12:31.240]  Yeah, I did a great inner
[01:12:31.800 --> 01:12:33.800]  Podcast for shango on shaping fire
[01:12:34.440 --> 01:12:36.440]  and I think that
[01:12:37.400 --> 01:12:42.760]  And I think that I had uh was talking about I did over
[01:12:45.780 --> 01:12:47.780]  150 males
[01:12:49.720 --> 01:12:50.520]  That
[01:12:50.520 --> 01:12:54.280]  Year, and yeah, it was like a lot of late not there was I was out there
[01:12:54.840 --> 01:12:58.040]  A lot of late nights like two three in the morning like, you know
[01:12:58.260 --> 01:13:03.400]  Harvesting pollen moving pollen through the boxes and spraying things down, you know, it's
[01:13:04.360 --> 01:13:06.360]  It is a lot of work
[01:13:11.020 --> 01:13:13.020]  Yeah, no, that's
[01:13:13.820 --> 01:13:15.820]  I find like
[01:13:16.540 --> 01:13:19.740]  Like keeping one or two males, uh
[01:13:21.020 --> 01:13:23.420]  from not like spraying everything challenging so
[01:13:24.380 --> 01:13:26.060]  I can imagine
[01:13:26.060 --> 01:13:28.060]  well, and you know part of it is
[01:13:28.700 --> 01:13:29.980]  Like the unique
[01:13:29.980 --> 01:13:35.340]  You know area where our farm is at because we're nestled at the end of the road and behind us is a massive
[01:13:35.420 --> 01:13:38.540]  Like cattle ranch and behind them is the national forest
[01:13:39.340 --> 01:13:41.340]  So, you know, we're really not gonna
[01:13:42.860 --> 01:13:45.600]  Mess anybody up in the neighborhood
[01:13:49.030 --> 01:13:51.030]  Yeah, do people in uh
[01:13:53.350 --> 01:13:59.430]  Like obviously the areas where they're like we're gonna grow a ton of hemp here everyone's like no
[01:14:01.190 --> 01:14:05.110]  So are there areas like that we're just like
[01:14:07.030 --> 01:14:09.030]  There's just so much pollen everywhere
[01:14:10.790 --> 01:14:13.350]  Not that I've heard of other than from like hemp
[01:14:17.360 --> 01:14:23.840]  You know, right so like in in counties that allow that that's where i'm going like counties that allow large oh
[01:14:24.800 --> 01:14:29.200]  Yeah, I I even heard just right next door in lake county when they did like larger hemp
[01:14:29.840 --> 01:14:35.300]  Grows there like it definitely sent some pollen out, but I haven't heard of anything other than like southern oregon
[01:14:35.460 --> 01:14:41.230]  Um
[01:14:44.510 --> 01:14:50.110]  Um, so so then of the uh, we were just talking about auto
[01:14:50.750 --> 01:14:52.750]  autos before but of the
[01:14:54.670 --> 01:14:58.590]  Photo period stuff i'm just looking on the website. Uh
[01:15:03.060 --> 01:15:06.820]  Like is the 88 sphinx og and the bubble gum and the
[01:15:07.940 --> 01:15:09.940]  Jackfruit, is that all photo?
[01:15:10.820 --> 01:15:13.620]  Yeah, those are um, well the bubble gum I think's an auto
[01:15:14.740 --> 01:15:17.940]  That or I see lemon cush. All right. Hold on
[01:15:18.980 --> 01:15:24.420]  That you're carrying there. Um, the 88 sphinx is a photo period. That's the one that has like so it's like the
[01:15:25.300 --> 01:15:31.860]  It's the that's the late season one and that's got like the uh, the gas and candy peaches on that one. Really nice
[01:15:33.460 --> 01:15:41.020]  Um
[01:15:42.540 --> 01:15:44.860]  I could have just done that before but uh
[01:15:45.820 --> 01:15:48.700]  Okay, lemon cush full term and I I didn't
[01:15:50.140 --> 01:15:54.940]  Get to pull off as nice of a nursery as I as I'd like to and I think I just need to like
[01:15:55.260 --> 01:15:58.940]  Scale back a little further next year so I can really focus on the nursery
[01:15:59.980 --> 01:16:01.980]  um
[01:16:03.340 --> 01:16:05.820]  So scale back from the commercial side
[01:16:07.020 --> 01:16:11.820]  Yes, i'm from like the flower because flower is just an expensive hobby these days
[01:16:12.700 --> 01:16:24.720]  So is this photo yeah, right, okay. Mm-hmm. Mm-hmm
[01:16:26.720 --> 01:16:29.840]  Yeah, yeah like all these it's like
[01:16:31.840 --> 01:16:34.320]  Is that you you brought that to f6
[01:16:35.520 --> 01:16:42.240]  Um, I did two generations that I got it at least at an f6 from sun roots and covalo. Yeah
[01:16:43.680 --> 01:16:45.680]  Um
[01:16:56.200 --> 01:16:59.080]  I definitely have some more pictures to throw out this year
[01:17:05.950 --> 01:17:07.950]  So lemon head from willets
[01:17:11.460 --> 01:17:14.500]  And uh, the strawberry goo is also from sun roots
[01:17:19.390 --> 01:17:27.150]  Covo yeah, you know covo is an amazing valley for growing. I think the the autos are the 50 packs still
[01:17:30.270 --> 01:17:33.310]  Yeah, yeah the purple leone yeah
[01:17:33.310 --> 01:17:42.920]  Yeah
[01:17:42.920 --> 01:17:47.420]  I definitely have pictures of the extremely citrus. That's a really nice sativa
[01:17:57.850 --> 01:18:00.570]  There's a ron coming through his tapestry there
[01:18:02.890 --> 01:18:05.690]  He's back has the missus
[01:18:08.330 --> 01:18:13.130]  Uh, uh ordaining a wedding this weekend she's traveling
[01:18:14.650 --> 01:18:16.650]  Oh, she's out of town
[01:18:19.010 --> 01:18:22.330]  Commencing a ceremony of uh eternal union
[01:18:24.950 --> 01:18:31.590]  Yeah, yeah, is it is it that cold there rotten that you got the hat and flannel all the time like i'm sitting here
[01:18:32.390 --> 01:18:37.750]  No, I go to the house. I try to keep it as climate controlled as I can for various reasons
[01:18:37.750 --> 01:18:44.070]  Whether it be the gardens or just the flower itself or it's more important the rest of the life usually
[01:18:44.310 --> 01:18:48.520]  So i'm like sweating here on the couch
[01:18:49.800 --> 01:18:52.760]  Overlayed it's summer's not over here
[01:18:53.400 --> 01:18:55.640]  Actually in la it's it's nice. It's like
[01:18:56.760 --> 01:18:58.760]  slightly cool
[01:18:58.760 --> 01:19:01.960]  We're we're off. We're off grid too. So we here we don't get a
[01:19:03.000 --> 01:19:05.000]  run climate control
[01:19:06.040 --> 01:19:08.440]  Unless it's really hot and fire up the generator
[01:19:10.040 --> 01:19:12.280]  Do people dig down and like
[01:19:12.360 --> 01:19:18.020]  Like, you know how like if you were in like a basement it's cooler. Yeah
[01:19:20.340 --> 01:19:22.340]  Like they should right
[01:19:23.380 --> 01:19:25.380]  Yeah, like we don't really
[01:19:25.380 --> 01:19:31.060]  Well, like one of the things I noticed in a lot of california or at least in la like nobody has basements
[01:19:31.700 --> 01:19:34.820]  And on the east coast growing up like everybody had basements
[01:19:35.460 --> 01:19:40.020]  And I didn't know if that was like because of earthquakes or if they were like no we're good on the east coast
[01:19:40.020 --> 01:19:44.660]  Yeah, I mean I know in the east coast you need that so your pipes don't freeze right it's like
[01:19:47.220 --> 01:19:53.060]  I don't know why you need or why they were needed at some point, but it's it was a good thing to have
[01:19:53.780 --> 01:19:55.780]  Yeah, I mean I would love a basement
[01:19:57.460 --> 01:20:01.300]  I think i've only seen one basement on the west coast. It was in the santa cruz mountains
[01:20:02.100 --> 01:20:05.300]  All right, so i'm not imagining like i'm not the only person that's like
[01:20:05.300 --> 01:20:09.460]  Growing up my our basement was like, uh, the
[01:20:10.740 --> 01:20:16.660]  Nightmare on elm street basement with the big boilers like like fire like coming out and
[01:20:18.100 --> 01:20:20.100]  It was scary as shit, but
[01:20:20.980 --> 01:20:24.580]  And I know in mendo like a lot of the hippies that built
[01:20:25.300 --> 01:20:28.980]  Basements were like, you know, they were like, you know, they were like, you know, they were like
[01:20:29.460 --> 01:20:31.460]  It was scary as shit, but
[01:20:32.180 --> 01:20:36.820]  And I know in mendo like a lot of the hippies that built, you know, the backs of the land houses
[01:20:37.220 --> 01:20:39.220]  they weren't digging basements, they were just
[01:20:39.940 --> 01:20:42.020]  They didn't have like a lot of machinery or anything
[01:20:43.540 --> 01:20:45.540]  But were they digging down?
[01:20:47.220 --> 01:20:48.500]  No
[01:20:48.500 --> 01:20:52.180]  Yeah, i'm living in a very nice built hippie house
[01:20:52.820 --> 01:20:54.820]  because even like i've seen
[01:20:55.220 --> 01:21:00.020]  And maybe this was I think it was just on youtube like a video of of someone
[01:21:00.820 --> 01:21:03.540]  not cannabis related or anything, but just like
[01:21:04.100 --> 01:21:05.300]  they they
[01:21:05.300 --> 01:21:07.300]  dug down like
[01:21:07.620 --> 01:21:09.220]  seven feet
[01:21:09.220 --> 01:21:12.100]  And had a greenhouse, but then it was also
[01:21:13.780 --> 01:21:17.060]  Oh, yeah, yeah, yeah and so like walla walla pini
[01:21:18.580 --> 01:21:20.580]  Yeah, and uh
[01:21:20.660 --> 01:21:22.660]  I
[01:21:22.740 --> 01:21:24.740]  Was always intrigued by that just like
[01:21:25.700 --> 01:21:30.820]  It should be more like I would love a weed cave into the mountain
[01:21:34.970 --> 01:21:37.290]  You can go out there with a jackhammer every day
[01:21:38.730 --> 01:21:45.370]  You know like get some of these doomsday preppers just to build me like a ganja cellar and like a seat is you know
[01:21:47.130 --> 01:21:49.130]  The the seed office
[01:21:49.290 --> 01:21:53.710]  In the apocalypse I will supply everyone's weed i'm a very important contributor
[01:21:55.210 --> 01:21:58.250]  I just don't think we're gonna have an apocalypse. So, you know, it'd be good use of
[01:21:58.890 --> 01:22:01.210]  All the you know, these guys know how to do it
[01:22:05.190 --> 01:22:07.190]  It would be interesting to have an apocalypse
[01:22:08.310 --> 01:22:14.710]  I feel like the beginning of coronavirus was like the closest we've gotten to like it was just like so surreal and weird
[01:22:15.510 --> 01:22:17.350]  um
[01:22:17.350 --> 01:22:19.590]  You know, maybe we're in an apocalypse right now
[01:22:19.670 --> 01:22:24.390]  It's just not how hollywood told us it was gonna happen. But like this is actually like the world ending
[01:22:25.110 --> 01:22:27.110]  in something else beginning
[01:22:29.660 --> 01:22:37.260]  It's more subtle I feel like at least climate change is like current text instead of talking about it in like a future context
[01:22:37.580 --> 01:22:39.180]  you know, like
[01:22:39.180 --> 01:22:45.740]  it's a crazy variable, so I just want to acknowledge chris doing research and coming up with a
[01:22:46.620 --> 01:22:48.940]  An answer to that question
[01:22:54.230 --> 01:22:57.370]  Citing sources earthquakes unbelievable
[01:23:00.150 --> 01:23:04.470]  Chris whipped out google and got to the bottom of it
[01:23:07.030 --> 01:23:11.830]  But yeah that site but if you're I understand it would be quicker but uh
[01:23:13.350 --> 01:23:16.870]  Whoever's house it is has 33 less house, right?
[01:23:17.510 --> 01:23:23.990]  Or like whatever it is like adding so first floor second floor and then having a basement too
[01:23:28.880 --> 01:23:30.880]  So it may be quicker but
[01:23:34.520 --> 01:23:37.180]  Yeah, so the only thing I could think of was the earthquakes
[01:23:39.160 --> 01:23:41.160]  Because otherwise it makes no sense
[01:23:42.520 --> 01:23:47.560]  There's no logical reason why you would not just build a basement too if you're building a house
[01:23:51.790 --> 01:23:53.790]  So, all right, well why
[01:23:54.510 --> 01:23:56.510]  Why don't we uh
[01:23:56.830 --> 01:23:58.990]  What time do you normally start your day in the morning?
[01:24:00.750 --> 01:24:03.310]  You know, it depends on I think there's uh
[01:24:04.510 --> 01:24:05.950]  kids and
[01:24:05.950 --> 01:24:08.510]  Wife all have a cold. I haven't got it yet. So
[01:24:09.390 --> 01:24:10.270]  um
[01:24:10.270 --> 01:24:13.870]  i've been up a lot if i'm off a lot with the then
[01:24:14.830 --> 01:24:20.830]  you know, I won't start my day till like, you know eight or something, but if I if I get some sleep from
[01:24:21.470 --> 01:24:24.430]  Which as a you know parent can be rare sometimes
[01:24:25.630 --> 01:24:27.630]  um sunrise
[01:24:27.870 --> 01:24:33.310]  Yeah, no, I always try to sneak as much as I can in before my kids all wake up
[01:24:34.590 --> 01:24:36.590]  Because then i'm just like
[01:24:38.030 --> 01:24:42.990]  I'm not getting anything done now. Yeah, I mean and it's I get a
[01:24:44.910 --> 01:24:49.470]  Take the kids around the mountain on the four-wheeler and you know, it's check on things and
[01:24:51.390 --> 01:24:53.150]  uh, it's
[01:24:53.150 --> 01:24:55.150]  Your farm life's a little different
[01:24:55.390 --> 01:24:56.910]  but
[01:24:56.910 --> 01:25:00.510]  Our like bodhi helped me like put together the pollen boxes, you know, he did one
[01:25:01.150 --> 01:25:05.230]  And then you know, he was oh, I just want to drill holes in the floor after that
[01:25:08.670 --> 01:25:10.190]  Um
[01:25:10.190 --> 01:25:16.670]  Well, yeah, what did what I realized as I was like working extra hard to take a couple of days off to go camping
[01:25:16.910 --> 01:25:21.870]  With friends that a farmer is never caught up on work the seasons just change
[01:25:23.070 --> 01:25:25.070]  yeah, so so you just
[01:25:26.590 --> 01:25:29.630]  But at least uh in winter, um
[01:25:31.070 --> 01:25:33.070]  You don't have to get stuff done
[01:25:34.590 --> 01:25:40.670]  I love that thought though work is never done. The seasons just change. Yeah. I mean that's like that's it was that
[01:25:41.630 --> 01:25:43.630]  Pinball machine
[01:25:46.560 --> 01:25:48.560]  And uh, you know, I usually
[01:25:49.040 --> 01:25:52.080]  It changes with the seasons like when it's really hot in the summer
[01:25:52.080 --> 01:25:56.560]  like I like to spend midday with the family work in the mornings and the evenings and you know things just
[01:25:57.840 --> 01:25:59.680]  just shift
[01:25:59.680 --> 01:26:01.680]  as the season shift and
[01:26:02.480 --> 01:26:05.040]  um winter is definitely my favorite season
[01:26:05.680 --> 01:26:10.320]  For a number of reasons, you know, it's the it's the weekend for the farmer too, you know
[01:26:10.560 --> 01:26:13.760]  You get that one long work week, which is spring and summer
[01:26:14.640 --> 01:26:17.040]  And then you got this crazy friday
[01:26:18.160 --> 01:26:20.000]  Which is harvest?
[01:26:20.000 --> 01:26:23.760]  And it's and then you have a very short weekend, which is filled with way too many projects
[01:26:24.320 --> 01:26:26.320]  Which is winter but it's still
[01:26:27.120 --> 01:26:30.400]  And I love that the water comes with the rain here in, you know, california
[01:26:30.480 --> 01:26:35.040]  Just the rainy season isn't like some people like oh, no the rainy season is coming. We might all die
[01:26:35.680 --> 01:26:38.720]  You know or something, you know, or it's like we're not gonna see the sunshine forever
[01:26:38.720 --> 01:26:40.720]  but it's like, you know, we just you never
[01:26:41.280 --> 01:26:45.680]  You never get it. It's like la drivers the one time per year that it does rain
[01:26:45.680 --> 01:26:49.440]  They're all like oh my god, like what how do I drive in this stuff?
[01:26:50.240 --> 01:26:57.680]  And coming from the from new england where you're like driving 80 miles an hour in like snow and ice storms with like black
[01:26:57.760 --> 01:27:02.720]  Ice all over the roads and then you come to la and everyone's like slowing way down
[01:27:03.600 --> 01:27:05.600]  when it rains
[01:27:05.600 --> 01:27:11.200]  I think part of it is set so many people in california care less about their uh tires
[01:27:11.840 --> 01:27:17.200]  You know where it's like if 95% of the time it doesn't matter if your tires are totally bald, maybe
[01:27:18.880 --> 01:27:24.400]  Look serafina, you're on youtube. What do you think? No, she doesn't like you too. Gosh all your
[01:27:25.440 --> 01:27:27.840]  Baby classmates they're gonna recognize you
[01:27:28.800 --> 01:27:30.800]  you'll be like
[01:27:31.200 --> 01:27:33.200]  That's the girl from youtube
[01:27:36.320 --> 01:27:38.320]  Yeah, she has a little tummy what uh
[01:27:40.160 --> 01:27:42.800]  Oh, sorry with with uh water
[01:27:43.840 --> 01:27:46.960]  Like you are you guys trying to catch as much rain?
[01:27:47.120 --> 01:27:49.520]  Like like what's you were talking about a drought?
[01:27:49.520 --> 01:27:56.480]  So like what's what's been kind of the cycle of weather for the past couple years and yeah, well, you know, um
[01:27:58.800 --> 01:28:00.800]  We have a rain catchment pond
[01:28:00.800 --> 01:28:04.400]  Um, we need another one to get through the extreme droughts
[01:28:05.040 --> 01:28:06.640]  um, well
[01:28:06.640 --> 01:28:11.680]  You know what? I hear people talking about too is that we're not just experiencing droughts in the west coast. We're
[01:28:12.860 --> 01:28:16.480]  Experiencing the desertification or the erratification of the west
[01:28:17.120 --> 01:28:19.600]  You think about it? There used to be a rain forest here on the coast
[01:28:20.480 --> 01:28:23.920]  Of california, you know two million acres of old growth
[01:28:24.960 --> 01:28:27.360]  redwood trees, which is a temperate rain forest and
[01:28:28.880 --> 01:28:30.880]  You know you look at like the uh
[01:28:31.280 --> 01:28:35.840]  The western united states used to have eight times more surface water, you know due to beavers
[01:28:36.800 --> 01:28:38.800]  and yet we can't
[01:28:39.360 --> 01:28:45.040]  Legally, you know dam up a drainage because fishing game says you can't you know, so
[01:28:47.040 --> 01:28:52.720]  I I think we're in a bit of a bind here and we're gonna have to like change some policy eventually to get out of
[01:28:52.720 --> 01:28:54.000]  it, but
[01:28:54.000 --> 01:28:56.160]  And you know the short term more, uh
[01:28:57.440 --> 01:28:59.440]  catchment more storage
[01:28:59.920 --> 01:29:02.560]  Um because even in a drought year
[01:29:04.400 --> 01:29:06.400]  If you have the catchment and storage you can farm
[01:29:08.240 --> 01:29:10.240]  At least on a small scale
[01:29:15.740 --> 01:29:19.020]  And we use a lot of mulch and we you do the inline drippers
[01:29:19.580 --> 01:29:23.340]  That are like the slow drippers under the mulch so that really can save a lot of water
[01:29:23.980 --> 01:29:25.260]  you know
[01:29:25.260 --> 01:29:26.700]  um
[01:29:26.700 --> 01:29:32.060]  And I guess you know if your cannabis prefers to be too dry then too wet
[01:29:32.780 --> 01:29:39.580]  So you're also going to get like a more terpene rich, you know kind of if you're a little short on the water
[01:29:41.260 --> 01:29:43.260]  It does produce like a real flavorful
[01:29:44.620 --> 01:29:46.620]  Uh flower
[01:29:48.060 --> 01:29:51.660]  And you know, we've been like thinning the forest and chipping the forest and and
[01:29:52.540 --> 01:29:53.820]  uh
[01:29:53.820 --> 01:29:56.860]  Doing a lot of forestry work too. And yeah, I think
[01:29:57.020 --> 01:30:00.640]  I heard this up. Uh pomo elder who was the indigenous?
[01:30:01.820 --> 01:30:03.340]  um, we're
[01:30:03.340 --> 01:30:05.340]  We're at right now
[01:30:05.420 --> 01:30:12.380]  And you know, she said california wasn't you know wild land. This was like tended land and I think we're out of that relationship with
[01:30:13.820 --> 01:30:16.300]  The land and I think that does affect
[01:30:18.540 --> 01:30:21.500]  Uh the weather and the water
[01:30:22.060 --> 01:30:27.820]  And the water, you know, like the eel river recovery project when when when they first started
[01:30:29.100 --> 01:30:31.020]  um
[01:30:31.020 --> 01:30:33.020]  Studying and taking like data from the field
[01:30:33.580 --> 01:30:35.020]  You know, they thought it was like
[01:30:35.020 --> 01:30:40.060]  Oh commercial cannabis use that was like causing streams and creeks to go dry and stuff
