[00:00.000 --> 00:02.000]  We're doing an introduction.
[41:47.240 --> 41:52.640]  No, I've been trying to do stuff here in LA with comedians, and I want to do a ton of
[41:52.640 --> 41:53.640]  stuff with comedians.
[41:53.640 --> 41:58.400]  Oh, that would be a blast.
[41:58.400 --> 42:00.800]  I always wanted to do comedy.
[42:00.800 --> 42:07.600]  It's just that I never really wanted to be famous.
[42:07.600 --> 42:15.400]  Like I never wanted to trade my anonymity for fame.
[42:15.960 --> 42:23.040]  Well, Chris, you could practice your comedy routines on the FCP audience.
[42:23.040 --> 42:24.040]  That's what I always do.
[42:24.040 --> 42:25.040]  And on the squirrel.
[42:25.040 --> 42:28.520]  Yeah, you can.
[42:28.520 --> 42:34.400]  The squirrel seems like he's a very receptive audience, lying in one position.
[42:34.400 --> 42:37.480]  I just listen to you all day.
[42:37.480 --> 42:38.480]  He just looks at me.
[42:38.480 --> 42:41.080]  So you were wondering what we were smoking.
[42:41.080 --> 42:45.240]  And we were listening to these guys over here and they were just talking about how they
[42:45.360 --> 42:54.800]  care for their units and trying to keep them clean so they can actually taste.
[42:54.800 --> 42:55.800]  Basically don't Chaz the Banger.
[42:55.800 --> 42:56.800]  Don't Chaz the Banger.
[42:56.800 --> 42:57.800]  You know what I mean?
[42:57.800 --> 42:58.800]  I have a friend named Chaz.
[42:58.800 --> 42:59.800]  I don't know if he would appreciate that.
[42:59.800 --> 43:05.800]  Well, if Chaz has a banger, then he can Chaz a banger.
[43:05.800 --> 43:06.800]  That's different.
[43:06.800 --> 43:08.800]  He should have a couple bangers here and there.
[43:08.800 --> 43:10.800]  So what are you guys smoking up?
[43:10.800 --> 43:11.800]  Well...
[43:11.800 --> 43:12.800]  Go ahead.
[43:12.800 --> 43:13.800]  I did just jump in right before you both did.
[43:14.360 --> 43:15.360]  Dude.
[43:15.360 --> 43:16.360]  Into the mic.
[43:16.360 --> 43:17.360]  Oh, and you're off.
[43:17.360 --> 43:18.360]  So, okay.
[43:18.360 --> 43:19.360]  So Drake, what's the deal with the watermelon Astro Boy?
[43:19.360 --> 43:25.880]  Because sometimes people are like, oh God, I'm seeing a ton of watermelon Astro Boy all
[43:25.880 --> 43:26.880]  over the place.
[43:26.880 --> 43:28.120]  Where does it come from?
[43:28.120 --> 43:30.320]  Is it like a sweet strain?
[43:30.320 --> 43:31.320]  What's up?
[43:31.320 --> 43:33.960]  So the profile on it is definitely a little sweet, which is neat.
[43:33.960 --> 43:38.240]  I don't get a ton of watermelon, but I kind of get that perfume-y, rind kind of vibe going.
[43:38.240 --> 43:40.520]  So if you imagine a little bit, it comes there.
[43:40.520 --> 43:45.040]  I'm not super familiar, even though I was just hearing a story on where it was coming
[43:45.040 --> 43:47.240]  from and a couple of people, I think...
[43:47.240 --> 43:48.240]  Is it a Canadian?
[43:48.240 --> 43:49.240]  Spread it out.
[43:49.240 --> 43:50.240]  I don't know.
[43:50.240 --> 43:54.880]  I've probably got about as much knowledge as yourself on it, but I think we've got a
[43:54.880 --> 43:56.440]  couple of people around here that are more familiar.
[43:56.440 --> 43:57.440]  Sweet.
[43:57.440 --> 43:58.440]  Yeah.
[43:58.440 --> 44:01.120]  Lots of cups have been passed out in the last while and it's a pretty solid hasher.
[44:01.120 --> 44:04.720]  So of course, with the way things are going, you're going to see that coming around a lot
[44:04.720 --> 44:05.720]  more.
[44:05.720 --> 44:06.720]  Oh, yeah.
[44:06.720 --> 44:09.060]  There we go.
[44:10.060 --> 44:13.060]  You got your glue.
[44:13.060 --> 44:14.060]  Is that a glue?
[44:14.060 --> 44:19.060]  Yeah, there's the glukis that's holding up the ice over here, and the Wagyu and the gelato.
[44:19.060 --> 44:20.060]  The gelato.
[44:20.060 --> 44:22.060]  You know, this gelato is super dark.
[44:22.060 --> 44:25.060]  I mean, not in a dark batter.
[44:25.060 --> 44:26.060]  Can you tell me a little bit about Wagyu?
[44:26.060 --> 44:27.060]  So these are all from Van Gyption.
[44:27.060 --> 44:28.060]  Van Gyption.
[44:28.060 --> 44:29.060]  Yes.
[44:29.060 --> 44:30.060]  Awesome.
[44:30.060 --> 44:31.060]  A good buddy of mine, Trees, my stroke hand, he did a...
[44:31.060 --> 44:34.060]  You guys were on Fire is Fire, right?
[44:34.060 --> 44:35.060]  Tell people about who...
[44:35.060 --> 44:36.060]  You were on Fire is Fire, right?
[44:36.060 --> 44:37.060]  Yes.
[44:37.060 --> 44:42.060]  Tell people like in the US or other people around who Van Gyption, like what's the deal
[44:42.060 --> 44:43.060]  with Van Gyption?
[44:43.060 --> 44:47.060]  Again, just they're out of the coast, out of Vancouver around here doing a ton of processing.
[44:47.060 --> 44:51.060]  Definitely been in the industry for quite a minute now.
[44:51.060 --> 44:56.060]  Lots of solventless hash production, air dried traditional, some very solid product.
[44:56.060 --> 45:01.060]  I haven't had a crazy amount of them in the past, but from everything that I've tried,
[45:01.060 --> 45:03.060]  it's been right top notch.
[45:03.060 --> 45:04.060]  Sweet.
[45:04.060 --> 45:11.060]  Wagyu is rich, meaty, beefy.
[45:11.060 --> 45:13.060]  It was quite shocking to me.
[45:13.060 --> 45:14.060]  Got a funk, eh?
[45:14.060 --> 45:15.060]  Like that lockery, yeah.
[45:15.060 --> 45:17.060]  It really kicked it in.
[45:17.060 --> 45:18.060]  Pungent.
[45:18.060 --> 45:19.060]  Quite interesting.
[45:19.060 --> 45:25.060]  With the name Wagyu, I totally expected it to go that direction because it should, but
[45:25.060 --> 45:28.060]  it's a little shocking when you go through all these flavors and all these regular things
[45:28.060 --> 45:32.060]  that you see all the time and then you get something that's just out of the box.
[45:32.060 --> 45:33.060]  It's so refreshing.
[45:33.060 --> 45:35.060]  It's just like gives you that pull back.
[45:35.060 --> 45:36.060]  It's like really nice.
[45:36.060 --> 45:40.060]  I almost like to pass that one on without saying what the name is, just to get people's
[45:40.060 --> 45:41.060]  true perspective on it.
[45:41.060 --> 45:42.060]  It always comes off really interesting.
[45:42.060 --> 45:45.060]  Josh had a neat way of describing it a little bit earlier, which was great.
[45:45.060 --> 45:47.060]  But yeah, what do you look?
[45:47.060 --> 45:48.060]  Oh my goodness.
[45:48.060 --> 45:51.060]  You can all see, I don't know, Josh just pulled out the gauntlet here.
[45:51.060 --> 45:53.060]  Oh yeah, well let's see.
[45:53.060 --> 45:59.060]  We got this delightful little blend that we brought from our homestead, from the Dragonfly Farm.
[45:59.060 --> 46:00.060]  Yes.
[46:00.060 --> 46:03.060]  So we've got, well we've got a...
[46:03.060 --> 46:05.060]  And Marcus, is Marcus washing?
[46:05.060 --> 46:09.060]  Are you doing the washing for this or do you guys do it?
[46:09.060 --> 46:10.060]  No.
[46:10.060 --> 46:11.060]  You guys do it.
[46:11.060 --> 46:12.060]  I've watched this, but I've maybe given some tips.
[46:12.060 --> 46:13.060]  Yeah.
[46:13.060 --> 46:14.060]  Marcus is helpful.
[46:14.060 --> 46:15.060]  Just one or two.
[46:15.060 --> 46:16.060]  He's my brethren.
[46:16.060 --> 46:19.060]  He's an important person in our life.
[46:19.060 --> 46:24.060]  If I have any questions, definitely I can hit up Marcus and I appreciate that with the
[46:24.060 --> 46:28.060]  family members around and the peer certified group as well.
[46:28.060 --> 46:31.060]  Because we've never had any BHO part of our certification.
[46:31.060 --> 46:38.060]  So it's always been solventless, like killer hash makers and like make your own nutrients,
[46:38.060 --> 46:40.060]  soil grown style.
[46:40.060 --> 46:41.060]  Right.
[46:41.060 --> 46:45.060]  Can you tell, like, I'd love to know a little bit, because you guys are in Oregon as well.
[46:45.060 --> 46:50.060]  Can you like, what's the perspective like from somebody coming from the American market
[46:50.060 --> 46:54.060]  into the Canadian market and looking at it from that perspective that you guys have?
[46:54.060 --> 46:56.060]  Because it's a little bit unique for sure.
[46:57.060 --> 47:00.060]  I guess from our perspective, we've just been up here for a long time.
[47:00.060 --> 47:05.060]  So it's more life integrated rather than just like showing up from Oregon right now and
[47:05.060 --> 47:08.060]  just being like, whoa, wow, this is what's going on around here.
[47:08.060 --> 47:14.060]  You know, like we sort of feel like we discovered this zone, which not this zone because we're
[47:14.060 --> 47:19.060]  in the Okanagan, but the Kootenays over by Nelson, which is more mountainous inland,
[47:19.060 --> 47:22.060]  British Columbia and wild in the mountains type thing.
[47:22.060 --> 47:24.060]  Homestead.
[47:24.060 --> 47:27.060]  Yeah, I've got a friend that lived out there that just moved back.
[47:27.060 --> 47:28.060]  You've been to the Kootenays.
[47:28.060 --> 47:30.060]  Yeah, I've been debating it.
[47:30.060 --> 47:32.060]  It's just a sweet spot.
[47:32.060 --> 47:33.060]  It's far away.
[47:33.060 --> 47:34.060]  It's far away.
[47:34.060 --> 47:37.060]  And you've got to rely on yourself for creativity.
[47:37.060 --> 47:38.060]  You would do really well.
[47:38.060 --> 47:40.060]  I mean, look at the amazing seed stuff you're making.
[47:40.060 --> 47:42.060]  Yeah, I've had a lot of fun doing it.
[47:42.060 --> 47:45.060]  Along with, I'm sure I know other amazing things.
[47:45.060 --> 47:46.060]  Your family is so beautiful.
[47:46.060 --> 47:53.060]  So I'm getting lucky and stoked to get to know your family better, which is off subject.
[47:53.060 --> 47:54.060]  But you have a nice family.
[47:54.060 --> 47:56.060]  Well, that's the great thing about the conversation.
[47:56.060 --> 48:02.060]  And I think it's critical because people like they glaze over like stuff behind the scenes.
[48:02.060 --> 48:05.060]  Like everybody knows Marcus and everybody asks Marcus about his hash.
[48:05.060 --> 48:07.060]  But like, how's Marcus?
[48:07.060 --> 48:10.060]  What did he do last week that was different or something like that?
[48:10.060 --> 48:11.060]  You know what I mean?
[48:11.060 --> 48:12.060]  Like I want to hear about your family.
[48:12.060 --> 48:13.060]  And I think other people do too.
[48:13.060 --> 48:15.060]  They don't want to just hear about your hash.
[48:15.060 --> 48:18.060]  Yeah, no, it's a personal connection that we've made.
[48:18.060 --> 48:22.060]  That's why these events are important because we're connecting.
[48:22.060 --> 48:23.060]  Yeah.
[48:23.060 --> 48:25.060]  You know, we're hanging out heart to heart, like puff to puff.
[48:25.060 --> 48:28.060]  You know, we're enjoying ourselves, you know.
[48:28.060 --> 48:30.060]  Bless up Jameson over here.
[48:30.060 --> 48:32.060]  Marcus, the family.
[48:32.060 --> 48:33.060]  I mean, it's been sweet.
[48:33.060 --> 48:38.060]  You know, it's been a nice and we haven't done this like everyone knows, you know, for a while.
[48:38.060 --> 48:40.060]  So it's sweet.
[48:40.060 --> 48:50.060]  But as far as our perspective, our perspective is West Coast, you know, global, you know.
[48:50.060 --> 48:52.060]  So, yeah, we do have a perspective of both things.
[48:52.060 --> 48:54.060]  This.
[48:54.060 --> 48:59.060]  And Marcus, everyone knows it's like.
[48:59.060 --> 49:09.060]  It's disassociated from the actual roots of it, you know, like when you get into like actual legalization and Canadian legalization, I mean, it's disassociated from like the roots.
[49:09.060 --> 49:14.060]  And these brands and these people are awesome and it's great.
[49:14.060 --> 49:16.060]  Anyone can create a brand.
[49:17.060 --> 49:20.060]  It just doesn't represent like the roots of the movement.
[49:20.060 --> 49:36.060]  Say us or something like all these families, you know, Gary, who's here and stuff like Drake and people who grew up in the areas like we or those type of people didn't have a chance to express themselves in this market.
[49:36.060 --> 49:41.060]  So we've stayed medical or we've entered in different ways.
[49:41.060 --> 49:50.060]  Some awesome family members who are here have done like micros and even Rosebud with Che and people can check out Rosebud online.
[49:50.060 --> 49:53.060]  That's one of the LPs in the Kootenays.
[49:53.060 --> 49:55.060]  The only one really?
[49:55.060 --> 49:56.060]  Yeah.
[49:56.060 --> 49:57.060]  Fair enough, right?
[49:57.060 --> 49:59.060]  Like it's one of the only LPs in the Kootenays.
[49:59.060 --> 50:00.060]  Like really?
[50:00.060 --> 50:01.060]  There's one?
[50:01.060 --> 50:02.060]  LP in the Kootenays.
[50:02.060 --> 50:04.060]  There's one licensed.
[50:04.060 --> 50:08.060]  And to be a licensed producer means you can sell weed to the market.
[50:08.060 --> 50:09.060]  Yeah.
[50:09.060 --> 50:12.060]  Like a micro producer can't sell weed to anyone.
[50:12.060 --> 50:15.060]  Like a micro producer has to work with a licensed producer.
[50:15.060 --> 50:20.060]  In most cases, the licensed producers are not like family member homies.
[50:20.060 --> 50:23.060]  Like they're probably more businessman.
[50:23.060 --> 50:26.060]  They can be family and awesome and homies and stuff.
[50:26.060 --> 50:27.060]  It's just more business.
[50:27.060 --> 50:28.060]  It's just more business.
[50:28.060 --> 50:29.060]  But it's not great.
[50:29.060 --> 50:34.060]  And it's usually there's a lack of understanding and a disconnect there.
[50:35.060 --> 50:37.060]  There's a deeper meaning to what we're trying to do.
[50:37.060 --> 50:43.060]  And that's why advocates like yourself have moved the industry and space forward
[50:43.060 --> 50:46.060]  and pushed to do it because we respect it.
[50:46.060 --> 50:47.060]  We understood the culture.
[50:47.060 --> 50:48.060]  We were part of it.
[50:48.060 --> 50:50.060]  And even like I'll shit on it a little bit.
[50:50.060 --> 50:54.060]  But I find the way Canada did it, I almost felt like it was rushed
[50:54.060 --> 50:56.060]  and in a way to purposely kind of.
[50:56.060 --> 50:57.060]  It was to do that.
[50:57.060 --> 50:58.060]  Deliberately.
[50:58.060 --> 51:00.060]  Decentralized like or whatever.
[51:00.060 --> 51:02.060]  Like more centralized probably.
[51:02.060 --> 51:03.060]  Approach.
[51:03.060 --> 51:04.060]  Yeah.
[51:04.060 --> 51:05.060]  Exactly.
[51:07.060 --> 51:08.060]  Yeah.
[51:08.060 --> 51:10.060]  No, it was it was an organized.
[51:19.060 --> 51:21.060]  I'm just saying that I disagree.
[51:21.060 --> 51:25.060]  I don't think that it's a something that was done quickly or without thought.
[51:25.060 --> 51:28.060]  I don't think the thought might have been right or the thought leaders that are
[51:28.060 --> 51:31.060]  are are the right ones doing it.
[51:31.060 --> 51:34.060]  My comment is, is that cannabis has been legalized in Canada medically since
[51:34.060 --> 51:42.060]  2001 and we've seen a progression since from 2001 onward of legalization
[51:42.060 --> 51:44.060]  or access widening.
[51:44.060 --> 51:48.060]  And though it took longer being the first G7 country to do so.
[51:48.060 --> 51:49.060]  It's been a long time.
[51:49.060 --> 51:52.060]  It was a long time coming for for recreational legalization.
[51:52.060 --> 51:56.060]  And I believe Canada did it was did it the right way.
[51:56.060 --> 52:00.060]  Looking at other countries that legalize recreationally and then or trying
[52:00.060 --> 52:04.060]  to recreational and medical at the same time or try and put a rec system in
[52:04.060 --> 52:06.060]  and then put a medical system in.
[52:06.060 --> 52:09.060]  I think that there were problems and balls dropped during legalization,
[52:09.060 --> 52:10.060]  of course.
[52:10.060 --> 52:13.060]  And I think that a lot of the laws that were applied to cannabis were just
[52:13.060 --> 52:15.060]  cut and paste out of the tobacco regulations.
[52:15.060 --> 52:17.060]  And I don't think that that was right.
[52:17.060 --> 52:21.060]  I think that people who are sitting at this table specifically, you know,
[52:21.060 --> 52:24.060]  Marcus, Josh, Kelly, people like that should have been.
[52:24.060 --> 52:28.060]  If you're going to steal regulation from another industry and not incorporate.
[52:28.060 --> 52:31.060]  If you're going to steal the regulation from another industry and not involve it
[52:31.060 --> 52:33.060]  in you, you're rushing your work.
[52:33.060 --> 52:35.060]  You're not doing your proper due diligence.
[52:35.060 --> 52:39.060]  And it's just oversight or it's just the wrong people making those decisions.
[52:39.060 --> 52:40.060]  And it's not rushed work.
[52:40.060 --> 52:41.060]  It's not rushed work.
[52:41.060 --> 52:45.060]  It's it's well, it's thought out work by people who thought that they were
[52:45.060 --> 52:48.060]  doing the right thing, but they they were just imposters.
[52:48.060 --> 52:50.060]  They thought that they were they were here for.
[52:50.060 --> 52:52.060]  They said, we're cannabis people.
[52:52.060 --> 52:53.060]  We understand the system.
[52:53.060 --> 52:54.060]  We've been here for a year.
[52:54.060 --> 52:57.060]  We've read the Deloitte and Tush articles and we've listened.
[52:57.060 --> 53:00.060]  We've listened to two hours of future cannabis project.
[53:00.060 --> 53:04.060]  And we've read a few articles and we really have wrapped our heads around
[53:04.060 --> 53:07.060]  the system. So we are now we people and we're going to put the regulations in.
[53:07.060 --> 53:10.060]  So we're going to lay it out and this is a good system and this is going to
[53:10.060 --> 53:14.060]  work because it worked in tobacco and that's a relatable industry because
[53:14.060 --> 53:16.060]  we're trying to take circles and put them into squares.
[53:16.060 --> 53:18.060]  And so it was not rushed.
[53:18.060 --> 53:19.060]  It was thought out.
[53:19.060 --> 53:21.060]  It was thought out by the wrong people.
[53:22.060 --> 53:24.060]  Fair enough. Well said. Well said.
[53:25.060 --> 53:27.060]  Mike truck. Boom.
[53:27.060 --> 53:30.060]  Anyway, what are you taking smokes off of?
[53:30.060 --> 53:31.060]  Bro, I'm smoking.
[53:31.060 --> 53:32.060]  Let's hear about it.
[53:32.060 --> 53:34.060]  What's in it? You got all these amazing people.
[53:34.060 --> 53:37.060]  First of all, Dragonfire Medicine is blasting me with some amazing stuff.
[53:37.060 --> 53:41.060]  So that the short, the what was I smoking yesterday?
[53:41.060 --> 53:43.060]  That was strawberry guava.
[53:44.060 --> 53:46.060]  No, man, I'm just maintaining.
[53:47.060 --> 53:52.060]  Yeah, no, I think I think Canadian Dabs is standing out for me.
[53:52.060 --> 53:56.060]  It's my good buddy out of Calgary at Canadian Dabs 403.
[53:56.060 --> 54:00.060]  He's got a fruit joy, which is a Barbara Bud Cross.
[54:00.060 --> 54:04.060]  There's some concentrated X that bubble man's rock and I haven't been
[54:04.060 --> 54:06.060]  blasted yet. I'm going to keep it over here for him.
[54:06.060 --> 54:07.060]  I will. I will.
[54:07.060 --> 54:08.060]  I will die.
[54:10.060 --> 54:12.060]  And what else do we have?
[54:12.060 --> 54:13.060]  Cool stuff.
[54:13.060 --> 54:14.060]  Cool stuff.
[54:14.060 --> 54:17.060]  Got some, just some hash and.
[54:20.060 --> 54:22.060]  Man, we're smoking pretty deep here.
[54:22.060 --> 54:24.060]  Oh, the naturally farmed guys.
[54:24.060 --> 54:25.060]  That's an organic.
[54:25.060 --> 54:26.060]  Are they newer?
[54:26.060 --> 54:29.060]  Cause I've heard we I've heard you talk about a few of these guys.
[54:29.060 --> 54:32.060]  Is there something new that you're really excited about in there?
[54:32.060 --> 54:34.060]  That's a little bit different or something.
[54:34.060 --> 54:35.060]  No more chicken skin.
[54:35.060 --> 54:36.060]  I've never smoked.
[54:36.060 --> 54:39.060]  I've been following Dragonfly and like I connected with Josh and Kelly
[54:40.060 --> 54:43.060]  in 2019, very briefly when I was rocking with,
[54:43.060 --> 54:47.060]  I was down there with Kevin Jodri and we connected like just in the
[54:47.060 --> 54:50.060]  craziness of the cup and we had a brief conversation,
[54:50.060 --> 54:52.060]  but I've been following what they've been doing and.
[54:52.060 --> 54:54.060]  Oh, sorry. Big fans of what they're doing.
[54:54.060 --> 54:58.060]  And so, and so we got to just connect, you know,
[54:58.060 --> 55:01.060]  yesterday really in a meaningful way.
[55:01.060 --> 55:04.060]  And it was cool and getting sit down and taste, you know,
[55:04.060 --> 55:07.060]  the turps and I know the love and care that goes into it.
[55:07.060 --> 55:08.060]  Cause you know, I'm blessed enough.
[55:08.060 --> 55:11.060]  I get to travel around and smoke hash and a lot of it.
[55:11.060 --> 55:14.060]  And so I can tell, you know, and, and tasting those,
[55:14.060 --> 55:18.060]  those organically grown, you know, light depths, ungrown.
[55:18.060 --> 55:20.060]  It was really nice.
[55:20.060 --> 55:23.060]  I haven't even gotten through all of them, but I just,
[55:23.060 --> 55:26.060]  I just landed yesterday and I've got all day today and tomorrow.
[55:26.060 --> 55:28.060]  So lots of time.
[55:28.060 --> 55:31.060]  Give thanks.
[55:31.060 --> 55:34.060]  Jameson has been sweet connecting and, and,
[55:34.060 --> 55:37.060]  and doing good things and it's fun.
[55:37.060 --> 55:40.060]  I like watching you take hits, bro. I like taking it.
[55:40.060 --> 55:43.060]  It works. Yeah, I guess so.
[55:43.060 --> 55:45.060]  I mean, it makes me happy.
[55:45.060 --> 55:48.060]  Tell us a little bit about what you're doing here in the Canadian market.
[55:48.060 --> 55:50.060]  Cause you're kind of like sweet. You're okay.
[55:50.060 --> 55:54.060]  So Jameson's also going back and forth between the U S and like working
[55:54.060 --> 55:56.060]  with amazing, like, you know,
[55:56.060 --> 55:59.060]  like the people that are doing the work and the people that are doing the
[55:59.060 --> 56:02.060]  work and the people that are doing the work.
[56:02.060 --> 56:05.060]  So you're also going back and forth between the U S and like working with
[56:05.060 --> 56:08.060]  amazing, like makers and crafters and cultivators and brands.
[56:08.060 --> 56:11.060]  And then also making that bridge to Canada.
[56:11.060 --> 56:14.060]  Yeah, I just, you know,
[56:14.060 --> 56:18.060]  I've been involved in the legal cannabis space since 2016 and you know,
[56:18.060 --> 56:21.060]  been touching the plant since probably 2006.
[56:21.060 --> 56:24.060]  And what I saw in legal cannabis was a lot of people moving in who maybe
[56:24.060 --> 56:27.060]  weren't excelling in other industries.
[56:27.060 --> 56:32.060]  Sorry, who maybe weren't excelling in other industries and shifted over to
[56:32.060 --> 56:36.060]  to see how it would work in the, in the great gold mine of legal cannabis.
[56:36.060 --> 56:41.060]  And I think that a lot of the true innovators in the space stayed behind and
[56:41.060 --> 56:46.060]  continued to do the work that they set out to do and didn't see legalization
[56:46.060 --> 56:50.060]  for, I think what a lot of outsiders saw it as, which was a big cash grab.
[56:50.060 --> 56:55.060]  And so I have been a part of three successful startups in the U S and
[56:57.060 --> 56:58.060]  in the space.
[56:58.060 --> 57:03.060]  I now work for myself as a consulting company called the Banyan tree and we
[57:05.060 --> 57:08.060]  represent a number of groups and we help,
[57:08.060 --> 57:10.060]  we basically help groups transition from legacy to legal.
[57:10.060 --> 57:13.060]  So identifying your IP and really understanding that, Hey, you know,
[57:13.060 --> 57:18.060]  maybe you're an, a legacy operator in a certain market, but, and,
[57:18.060 --> 57:22.060]  and you think that because of the legislation that's come out,
[57:22.060 --> 57:26.060]  you're not going to be able to transition that brand into the legal market in,
[57:26.060 --> 57:29.060]  in your area. That might be true for that time.
[57:29.060 --> 57:33.060]  But remember that when legalization happened in Canada,
[57:33.060 --> 57:38.060]  they said that any brand operating in the traditional space after October 17,
[57:38.060 --> 57:43.060]  2018 would not be allowed to transition into the legal space.
[57:44.060 --> 57:49.060]  There are now traditional brands who have started post October 17,
[57:50.060 --> 57:55.060]  2018 and now are actually in the legal market legacy to legal.
[57:55.060 --> 57:58.060]  And so understanding that there's more value in,
[57:58.060 --> 58:02.060]  in what you're making than just what's inside that jar.
[58:02.060 --> 58:06.060]  And, and I can, I can bridge that gap between the roots and the suits.
[58:06.060 --> 58:08.060]  I've worked on the corporate side. I've, I've seen the thing.
[58:08.060 --> 58:11.060]  You can Google my name and see some really funny pictures of me in suits.
[58:11.060 --> 58:16.060]  And yeah, bubble man met me in a suit, man. And, and you know what?
[58:17.060 --> 58:19.060]  I saw what I needed to see on that side. I, I, I,
[58:19.060 --> 58:23.060]  I gleaned what I needed to glean and I'm completely here because there's a lot
[58:23.060 --> 58:26.060]  of bullshit in this industry. There's a lot of imposters in this industry.
[58:26.060 --> 58:30.060]  There's a lot of bloated marketing teams that are being paid way too much
[58:30.060 --> 58:33.060]  fucking money to make up brands that are going to fail.
[58:33.060 --> 58:37.060]  And ultimately these companies are going to have to come to brands,
[58:37.060 --> 58:41.060]  legacy brands that are already existing and buy their brand to leverage that
[58:41.060 --> 58:46.060]  brands equity that it's built on its quality to then ultimately either
[58:46.060 --> 58:50.060]  continue building that brand or more likely destroy that brand over a number of
[58:50.060 --> 58:54.060]  years. But I'm here to identify quality in different markets.
[58:54.060 --> 58:57.060]  As a boots on the ground guy, I'm not a keyboard warrior.
[58:57.060 --> 59:00.060]  I'm not going to video chat you or FaceTime you.
[59:00.060 --> 59:02.060]  I'm going to jump on a plane and go see you.
[59:02.060 --> 59:06.060]  And then once I identify a group I want to work with,
[59:06.060 --> 59:10.060]  I identify a market that I would see valuable to leverage that group into.
[59:10.060 --> 59:14.060]  And I'm just really about connecting real cannabis people because this
[59:14.060 --> 59:17.060]  industry is made up by a bunch of imposters most of the time.
[59:17.060 --> 59:20.060]  And it's a lot of people here just for the benefit of money.
[59:20.060 --> 59:22.060]  And this plant has given me way more than money.
[59:22.060 --> 59:26.060]  And so I'm kind of here ready to connect the individuals that need to be
[59:26.060 --> 59:32.060]  connected because ultimately like the traditional space has bred a very clutch
[59:32.060 --> 59:38.060]  and look culture where we'll see what others are doing and maybe we'll have a
[59:38.060 --> 59:41.060]  feeling about it or we've walked down that path.
[59:41.060 --> 59:44.060]  But we're just going to let them do their own thing because we don't want to
[59:44.060 --> 59:46.060]  step on anybody's toes or maybe come off as offensive.
[59:46.060 --> 59:50.060]  Whereas like all these chads and brads are calling each other every day,
[59:50.060 --> 59:52.060]  multiple times a day like, Hey Bill,
[59:52.060 --> 59:54.060]  so how'd it work with that black market guy?
[59:54.060 --> 59:56.060]  And he'd be like, Oh, well I offered him this deal.
[59:56.060 --> 59:59.060]  And then I low balled him and I offered him that and said he could have some
[59:59.060 --> 01:00:02.060]  shares, but he'd have to hold onto him for five years.
[01:00:02.060 --> 01:00:04.060]  And he bit and he's like, Oh great. Okay.
[01:00:04.060 --> 01:00:05.060]  I'm going to use it on my guy.
[01:00:05.060 --> 01:00:07.060]  I'm talking to a black market guy right now.
[01:00:07.060 --> 01:00:08.060]  Like I'll work on that one.
[01:00:08.060 --> 01:00:11.060]  And so, and that's going on every day,
[01:00:11.060 --> 01:00:14.060]  but we're not talking to each other as, as, as,
[01:00:14.060 --> 01:00:17.060]  as legacy market people and, and, you know,
[01:00:17.060 --> 01:00:21.060]  shout out to Marcus and guys like that who have been able to with their,
[01:00:21.060 --> 01:00:24.060]  with, with what they've built, you know, build their own thing.
[01:00:24.060 --> 01:00:30.060]  But the traditional market guys aren't communicating and are overwhelmed with
[01:00:30.060 --> 01:00:32.060]  what's been built.
[01:00:32.060 --> 01:00:35.060]  And so we need to like bridge those gaps and open up those communications and
[01:00:35.060 --> 01:00:42.060]  not get so hung up on these kind of like cult cultures of solvents and
[01:00:42.060 --> 01:00:45.060]  solvent lists and organics and salts and, you know,
[01:00:45.060 --> 01:00:47.060]  all these things and understand like, you know,
[01:00:47.060 --> 01:00:50.060]  if you're passionate and you've been here and you've been doing this and this
[01:00:50.060 --> 01:00:52.060]  isn't like, you know, something that you just like, Hey,
[01:00:52.060 --> 01:00:55.060]  crypto wasn't working out for me.
[01:00:55.060 --> 01:01:00.060]  And you know, my, my other business wasn't working and, you know,
[01:01:00.060 --> 01:01:01.060]  maybe I'll try cannabis.
[01:01:02.060 --> 01:01:05.060]  Then, you know, these people need to connect and communicate.
[01:01:05.060 --> 01:01:08.060]  And I think doing things like the unicorn cop and the regenerative cannabis
[01:01:08.060 --> 01:01:12.060]  the regenerative cannabis conferences hosted by dash blooms.
[01:01:12.060 --> 01:01:15.060]  I think those things are beautiful bringing the community together.
[01:01:15.060 --> 01:01:17.060]  And those are, those are, those are events where you, if you're not about it,
[01:01:17.060 --> 01:01:19.060]  you'll stand out like a sore thumb.
[01:01:19.060 --> 01:01:21.060]  And even if you look like you're about it, but you're not about it,
[01:01:21.060 --> 01:01:23.060]  you'll get snuffed out quick.
[01:01:23.060 --> 01:01:27.060]  So, you know, it's, it's, it's, those are, those are,
[01:01:27.060 --> 01:01:30.060]  those are the places that I enjoy and that's a little bit about me.
[01:01:30.060 --> 01:01:32.060]  So what do you say to somebody who's approaching the market?
[01:01:32.060 --> 01:01:35.060]  Cause right now we have a lot of people that have a lot of interest in
[01:01:35.060 --> 01:01:37.060]  approaching and being part of the culture.
[01:01:37.060 --> 01:01:40.060]  And that sounds a little bit like we're going to push them away. Right.
[01:01:40.060 --> 01:01:43.060]  Is that like, is that not the concern? Don't get me wrong.
[01:01:43.060 --> 01:01:46.060]  There's an elitism there, but we were, we're welcoming stoners, you know,
[01:01:46.060 --> 01:01:49.060]  like we want people to be part of a community and grow that community.
