[00:00.570 --> 00:02.570]  And we are live.
[04:55:46.360 --> 04:55:48.360]  created in nature
[04:55:48.360 --> 04:55:50.360]  it starts from rock
[04:55:50.360 --> 04:55:52.360]  and then through weathering
[04:55:52.360 --> 04:55:54.360]  and different
[04:55:54.360 --> 04:55:56.360]  plants and
[04:55:56.360 --> 04:55:58.360]  microbes it basically breaks that
[04:55:58.360 --> 04:56:00.360]  rock down and turns it into soil
[04:56:00.360 --> 04:56:02.360]  in a long term sense
[04:56:02.360 --> 04:56:04.360]  obviously we can't
[04:56:04.360 --> 04:56:06.360]  break rock down indoors
[04:56:06.360 --> 04:56:08.360]  and turn it into soil it takes
[04:56:08.360 --> 04:56:10.360]  millions of years so
[04:56:10.360 --> 04:56:12.360]  I like the horizontal
[04:56:12.360 --> 04:56:14.360]  method because what I do
[04:56:14.360 --> 04:56:16.360]  is I start at the
[04:56:16.360 --> 04:56:18.360]  at the
[04:56:18.360 --> 04:56:20.360]  our top horizon is
[04:56:20.360 --> 04:56:22.360]  our O horizon and
[04:56:22.360 --> 04:56:24.360]  that's basically organic material
[04:56:24.360 --> 04:56:26.360]  our middle horizon
[04:56:26.360 --> 04:56:28.360]  is kind of like your
[04:56:28.360 --> 04:56:30.360]  workforce and that's basically
[04:56:30.360 --> 04:56:32.360]  all of your
[04:56:32.360 --> 04:56:34.360]  minerals, humus
[04:56:34.360 --> 04:56:36.360]  nutrients and things like
[04:56:36.360 --> 04:56:38.360]  that that your plants roots will
[04:56:38.360 --> 04:56:40.360]  grow in and uptake
[04:56:40.360 --> 04:56:42.360]  and then that lower horizon that we're
[04:56:42.360 --> 04:56:44.360]  going to use in our soil bed will be your
[04:56:44.360 --> 04:56:46.360]  your E horizon
[04:56:46.360 --> 04:56:48.360]  and that's basically your
[04:56:48.360 --> 04:56:50.360]  gravel, sand, silk
[04:56:50.360 --> 04:56:52.360]  and it's more
[04:56:52.360 --> 04:56:54.360]  like a sand filter pretty much
[04:56:54.360 --> 04:56:56.360]  with that horizon
[04:56:56.360 --> 04:56:58.360]  so what I like to
[04:56:58.360 --> 04:57:00.360]  do is I start with a
[04:57:00.360 --> 04:57:02.360]  you know like I said a good
[04:57:02.360 --> 04:57:04.360]  4x4 bed interior
[04:57:04.360 --> 04:57:06.360]  living
[04:57:06.360 --> 04:57:08.360]  living soil starting with your
[04:57:08.360 --> 04:57:10.360]  E horizon
[04:57:10.360 --> 04:57:12.360]  I'll start with lava rock
[04:57:12.360 --> 04:57:14.360]  and then I'll go from on top
[04:57:14.360 --> 04:57:16.360]  of the lava rock I'll go with coarse
[04:57:16.360 --> 04:57:18.360]  gravel
[04:57:18.360 --> 04:57:20.360]  and I like the lava rock basically
[04:57:20.360 --> 04:57:22.360]  it's porous
[04:57:22.360 --> 04:57:24.360]  it's clean, you know you always get your
[04:57:24.360 --> 04:57:26.360]  clean sources for anything
[04:57:26.360 --> 04:57:28.360]  you're growing
[04:57:28.360 --> 04:57:30.360]  your plants in
[04:57:30.360 --> 04:57:32.360]  basically lava rock
[04:57:32.360 --> 04:57:34.360]  gravel and then
[04:57:34.360 --> 04:57:36.360]  river silt
[04:57:36.360 --> 04:57:38.360]  and sand
[04:57:38.360 --> 04:57:40.360]  create about a 4 inch
[04:57:40.360 --> 04:57:42.360]  gravel layer on the bottom and that's kind of
[04:57:42.360 --> 04:57:44.360]  like your filter layer
[04:57:44.360 --> 04:57:46.360]  and
[04:57:46.360 --> 04:57:48.360]  let me look at my notes a little bit too
[04:57:54.360 --> 04:57:56.360]  yep and then basically your E horizon
[04:57:56.360 --> 04:57:58.360]  is your alluvial layer
[04:57:58.360 --> 04:58:00.360]  I don't know if you guys ever watched like
[04:58:00.360 --> 04:58:02.360]  Gold Rush or seen like Gold Mine
[04:58:02.360 --> 04:58:04.360]  or stuff like that
[04:58:04.360 --> 04:58:06.360]  what they're doing is they're capturing gold
[04:58:06.360 --> 04:58:08.360]  it's alluvial in the alluvial layer
[04:58:08.360 --> 04:58:10.360]  and what that means is setting on top of the bedrock
[04:58:10.360 --> 04:58:12.360]  so for our indoor bed
[04:58:12.360 --> 04:58:14.360]  we don't need bedrock
[04:58:14.360 --> 04:58:16.360]  so we're going to start at that level right above
[04:58:16.360 --> 04:58:18.360]  the bedrock and that's basically
[04:58:18.360 --> 04:58:20.360]  your E horizon which is your
[04:58:20.360 --> 04:58:22.360]  filter
[04:58:22.360 --> 04:58:24.360]  now
[04:58:24.360 --> 04:58:26.360]  I guess this would be kind of
[04:58:26.360 --> 04:58:28.360]  this is your bed
[04:58:28.360 --> 04:58:30.360]  this would be your E horizon on the
[04:58:30.360 --> 04:58:32.360]  bottom, this would be your A horizon
[04:58:32.360 --> 04:58:34.360]  and your alluvial on the top
[04:58:34.360 --> 04:58:36.360]  just to give you kind of a
[04:58:36.360 --> 04:58:38.360]  reference
[04:58:38.360 --> 04:58:40.360]  so to make our
[04:58:40.360 --> 04:58:42.360]  A horizon there's a little bit more detail
[04:58:44.360 --> 04:58:46.360]  and to get into that we need to talk
[04:58:46.360 --> 04:58:48.360]  about indigenous microorganisms
[04:58:48.360 --> 04:58:50.360]  because that's pretty much the key
[04:58:50.360 --> 04:58:52.360]  component of your soil
[04:58:52.360 --> 04:58:54.360]  so
[04:58:54.360 --> 04:58:56.360]  now you made our
[04:58:56.360 --> 04:58:58.360]  E horizon which is basically
[04:58:58.360 --> 04:59:00.360]  gravel, sand, river,
[04:59:00.360 --> 04:59:02.360]  silt, and
[04:59:02.360 --> 04:59:04.360]  locally harvested
[04:59:04.360 --> 04:59:06.360]  things like that which are our filter
[04:59:06.360 --> 04:59:08.360]  now for our A horizon that's our
[04:59:08.360 --> 04:59:10.360]  workhorse, that's going to be our horizon
[04:59:10.360 --> 04:59:12.360]  it's going to be basically
[04:59:16.360 --> 04:59:18.360]  going to basically be our top soil
[04:59:20.360 --> 04:59:22.360]  lots of humus, lots of nutrients
[04:59:22.360 --> 04:59:24.360]  this is like I said
[04:59:24.360 --> 04:59:26.360]  the engine of our soil so this is the
[04:59:26.360 --> 04:59:28.360]  layer that we need to
[04:59:28.360 --> 04:59:30.360]  amend with our
[04:59:30.360 --> 04:59:32.360]  inputs so
[04:59:32.360 --> 04:59:34.360]  what I
[04:59:34.360 --> 04:59:36.360]  like to do is
[04:59:36.360 --> 04:59:38.360]  before I get into that I got to back up
[04:59:38.360 --> 04:59:40.360]  to IMO because like I said indigenous
[04:59:40.360 --> 04:59:42.360]  microorganisms is the engine for
[04:59:42.360 --> 04:59:44.360]  any living
[04:59:44.360 --> 04:59:46.360]  indoor soil or any
[04:59:46.360 --> 04:59:48.360]  soil microorganisms
[04:59:50.360 --> 04:59:52.360]  so basically as a natural
[04:59:52.360 --> 04:59:54.360]  farmer the way you collect your
[04:59:54.360 --> 04:59:56.360]  IMO or indigenous microorganisms
[04:59:56.360 --> 04:59:58.360]  is pretty
[04:59:58.360 --> 05:00:00.360]  simple you take a rice collection
[05:00:00.360 --> 05:00:02.360]  you take rice which is
[05:00:02.360 --> 05:00:04.360]  partially cooked still a
[05:00:04.360 --> 05:00:06.360]  little bit firm not
[05:00:06.360 --> 05:00:08.360]  mushy you want to put that into
[05:00:08.360 --> 05:00:10.360]  a box or wicker
[05:00:10.360 --> 05:00:12.360]  basket or
[05:00:12.360 --> 05:00:14.360]  even just straight on the forest floor but
[05:00:14.360 --> 05:00:16.360]  what you want to do is you want to find a forest
[05:00:16.360 --> 05:00:18.360]  that's got big strong trees
[05:00:18.360 --> 05:00:20.360]  and
[05:00:20.360 --> 05:00:22.360]  basically that forest
[05:00:22.360 --> 05:00:24.360]  has never had to be
[05:00:24.360 --> 05:00:26.360]  fertilized no one ever had to put
[05:00:26.360 --> 05:00:28.360]  fertilizer out there the way
[05:00:28.360 --> 05:00:30.360]  all those trees and the way all that growth
[05:00:30.360 --> 05:00:32.360]  is able to grow is by the
[05:00:32.360 --> 05:00:34.360]  relationships between the plant roots and the
[05:00:34.360 --> 05:00:36.360]  microorganisms so what we
[05:00:36.360 --> 05:00:38.360]  like to do with natural farming is come in
[05:00:38.360 --> 05:00:40.360]  and harvest those microorganisms
[05:00:40.360 --> 05:00:42.360]  and now use them into our gardens
[05:00:42.360 --> 05:00:44.360]  and the best way to do that like I
[05:00:44.360 --> 05:00:46.360]  said is take a simple rice collection
[05:00:46.360 --> 05:00:48.360]  that will be IMO1
[05:00:48.360 --> 05:00:50.360]  you set that on a forest floor
[05:00:50.360 --> 05:00:52.360]  for about 3-5 days
[05:00:52.360 --> 05:00:54.360]  and when you come back it will be
[05:00:54.360 --> 05:00:56.360]  inoculated with the forest
[05:00:56.360 --> 05:00:58.360]  microbiology
[05:00:58.360 --> 05:01:00.360]  you can then take that
[05:01:00.360 --> 05:01:02.360]  combine that with the equal weight sugar
[05:01:02.360 --> 05:01:04.360]  and now that will put those microbes in a
[05:01:04.360 --> 05:01:06.360]  dormant state that will be called
[05:01:06.360 --> 05:01:08.360]  IMO2
[05:01:08.360 --> 05:01:10.360]  and the IMO2 is good
[05:01:10.360 --> 05:01:12.360]  but if you really
[05:01:12.360 --> 05:01:14.360]  want to get the full working
[05:01:14.360 --> 05:01:16.360]  power of the microorganisms
[05:01:16.360 --> 05:01:18.360]  in natural farming then you need to take it to
[05:01:18.360 --> 05:01:20.360]  the next step and make IMO3
[05:01:20.360 --> 05:01:22.360]  and basically what you're doing
[05:01:22.360 --> 05:01:24.360]  in each of these steps is you're taking
[05:01:24.360 --> 05:01:26.360]  the biology
[05:01:26.360 --> 05:01:28.360]  and you're multiplying it and inoculating
[05:01:28.360 --> 05:01:30.360]  things along the way so
[05:01:30.360 --> 05:01:32.360]  IMO2 is that rice and
[05:01:32.360 --> 05:01:34.360]  that sugar mix so say if that's
[05:01:34.360 --> 05:01:36.360]  you know X that's
[05:01:36.360 --> 05:01:38.360]  1X microbes well if you go to
[05:01:38.360 --> 05:01:40.360]  IMO3 now that's
[05:01:40.360 --> 05:01:42.360]  like 50X so you're
[05:01:42.360 --> 05:01:44.360]  really multiplying that so
[05:01:44.360 --> 05:01:46.360]  the way you make your
[05:01:46.360 --> 05:01:48.360]  IMO3 is basically
[05:01:48.360 --> 05:01:50.360]  I use 3 parts I use
[05:01:50.360 --> 05:01:52.360]  like cracked grains
[05:01:52.360 --> 05:01:54.360]  partially grown oats and I use
[05:01:54.360 --> 05:01:56.360]  some well aged wood chips
[05:01:56.360 --> 05:01:58.360]  and basically
[05:01:58.360 --> 05:02:00.360]  you combine those
[05:02:00.360 --> 05:02:02.360]  and then water them in with
[05:02:02.360 --> 05:02:04.360]  natural farming inputs and
[05:02:04.360 --> 05:02:06.360]  IMO that we collected
[05:02:06.360 --> 05:02:08.360]  so it's a
[05:02:08.360 --> 05:02:10.360]  little bit natural farming
[05:02:10.360 --> 05:02:12.360]  is the work is on the up
[05:02:12.360 --> 05:02:14.360]  front once it's all set up
[05:02:14.360 --> 05:02:16.360]  it's easy to maintain
[05:02:16.360 --> 05:02:18.360]  but it's the making
[05:02:18.360 --> 05:02:20.360]  these recipes and things that takes a little
[05:02:20.360 --> 05:02:22.360]  time so
[05:02:22.360 --> 05:02:24.360]  basically when you make your IMO
[05:02:24.360 --> 05:02:26.360]  3 those are those
[05:02:26.360 --> 05:02:28.360]  3 dry ingredients I
[05:02:28.360 --> 05:02:30.360]  mentioned and then you want to water them in
[05:02:30.360 --> 05:02:32.360]  with natural farming inputs
[05:02:32.360 --> 05:02:34.360]  a really easy way
[05:02:34.360 --> 05:02:36.360]  to make natural farming inputs is to look
[05:02:36.360 --> 05:02:38.360]  around your environment like
[05:02:38.360 --> 05:02:40.360]  for instance in the springtime
[05:02:40.360 --> 05:02:42.360]  it's dead
[05:02:42.360 --> 05:02:44.360]  dead nettle season we always have like lots
[05:02:44.360 --> 05:02:46.360]  of dead nettle like if you ever look
[05:02:46.360 --> 05:02:48.360]  you can look it up and see where it is but you guys
[05:02:48.360 --> 05:02:50.360]  have all seen it and it grows in all the lawns
[05:02:50.360 --> 05:02:52.360]  but it only grows for
[05:02:52.360 --> 05:02:54.360]  a few months in the springtime
[05:02:54.360 --> 05:02:56.360]  and then it dies off
[05:02:56.360 --> 05:02:58.360]  so if you can go out and harvest this dead nettle
[05:02:58.360 --> 05:03:00.360]  in the springtime
[05:03:00.360 --> 05:03:02.360]  combine that with equal weight sugar
[05:03:02.360 --> 05:03:04.360]  that's a simple
[05:03:04.360 --> 05:03:06.360]  simple alcohol fermentation
[05:03:06.360 --> 05:03:08.360]  to get you a
[05:03:08.360 --> 05:03:10.360]  nettle FPJ
[05:03:10.360 --> 05:03:12.360]  fermented fruit juice
[05:03:12.360 --> 05:03:14.360]  I'm sorry FPJ fermented
[05:03:14.360 --> 05:03:16.360]  plant juice
[05:03:16.360 --> 05:03:18.360]  and basically what
[05:03:18.360 --> 05:03:20.360]  these plant juices are
[05:03:20.360 --> 05:03:22.360]  they're not necessarily
[05:03:22.360 --> 05:03:24.360]  fertilizer but they are
[05:03:24.360 --> 05:03:26.360]  loaded with plant
[05:03:26.360 --> 05:03:28.360]  all the enzymes, plant growth
[05:03:28.360 --> 05:03:30.360]  hormones that were in that plant
[05:03:30.360 --> 05:03:32.360]  and now you've extracted them
[05:03:32.360 --> 05:03:34.360]  via osmosis into the sugar
[05:03:34.360 --> 05:03:36.360]  so that's one input
[05:03:36.360 --> 05:03:38.360]  once you
[05:03:38.360 --> 05:03:40.360]  extract this
[05:03:40.360 --> 05:03:42.360]  FPJ then now you
[05:03:42.360 --> 05:03:44.360]  can turn right around and use those same solids
[05:03:44.360 --> 05:03:46.360]  and make a vinegar
[05:03:46.360 --> 05:03:48.360]  and to make a vinegar is basically you use
[05:03:48.360 --> 05:03:50.360]  about a quarter container of the
[05:03:50.360 --> 05:03:52.360]  leftover FPJ solids
[05:03:52.360 --> 05:03:54.360]  fill the rest with water
[05:03:54.360 --> 05:03:56.360]  and then add a splash of
[05:03:56.360 --> 05:03:58.360]  raw vinegar
[05:03:58.360 --> 05:04:00.360]  if you don't have raw vinegar it will still
[05:04:00.360 --> 05:04:02.360]  it will still vinegar
[05:04:02.360 --> 05:04:04.360]  in time but the raw vinegar helps speed
[05:04:04.360 --> 05:04:06.360]  up the process
[05:04:06.360 --> 05:04:08.360]  one thing that vinegar is
[05:04:08.360 --> 05:04:10.360]  awesome for plants is it strengthens
[05:04:10.360 --> 05:04:12.360]  the stems
[05:04:12.360 --> 05:04:14.360]  it gives the leaves
[05:04:14.360 --> 05:04:16.360]  their waxy coating is much thicker
[05:04:16.360 --> 05:04:18.360]  so when you dilute
[05:04:18.360 --> 05:04:20.360]  vinegar at a proper
[05:04:20.360 --> 05:04:22.360]  ratio for natural farming which is
[05:04:22.360 --> 05:04:24.360]  about 1 to 1000
[05:04:24.360 --> 05:04:26.360]  that you get
[05:04:26.360 --> 05:04:28.360]  those benefits plus you get whatever
[05:04:28.360 --> 05:04:30.360]  leftover residual nutrients
[05:04:30.360 --> 05:04:32.360]  and minerals were
[05:04:32.360 --> 05:04:34.360]  in the initial FPJ
[05:04:34.360 --> 05:04:36.360]  that you harvested
[05:04:36.360 --> 05:04:38.360]  so that's two
[05:04:38.360 --> 05:04:40.360]  really simple natural farming
[05:04:40.360 --> 05:04:42.360]  inputs and then
[05:04:42.360 --> 05:04:44.360]  along with
[05:04:44.360 --> 05:04:46.360]  natural farming there's also
[05:04:46.360 --> 05:04:48.360]  JADAM I know a lot of you all have heard of that
[05:04:48.360 --> 05:04:50.360]  too and JADAM
[05:04:50.360 --> 05:04:52.360]  is like a very low cost
[05:04:52.360 --> 05:04:54.360]  low cost
[05:04:54.360 --> 05:04:56.360]  form of natural farming
[05:04:56.360 --> 05:04:58.360]  basically if I was going to make
[05:04:58.360 --> 05:05:00.360]  a dead metal
[05:05:00.360 --> 05:05:02.360]  JLF which is JADAM
[05:05:02.360 --> 05:05:04.360]  liquid fertilizer I take that
[05:05:04.360 --> 05:05:06.360]  same plant material or any plant
[05:05:06.360 --> 05:05:08.360]  material fill it half way
[05:05:08.360 --> 05:05:10.360]  in a container fill the
[05:05:10.360 --> 05:05:12.360]  rest with water and then toss in some
[05:05:12.360 --> 05:05:14.360]  forest soil or
[05:05:14.360 --> 05:05:16.360]  like leaf mold or
[05:05:16.360 --> 05:05:18.360]  anything that you have IMO3
[05:05:18.360 --> 05:05:20.360]  toss that in there and what happens is
[05:05:20.360 --> 05:05:22.360]  the microbes the water
[05:05:22.360 --> 05:05:24.360]  break down the plants into a
[05:05:24.360 --> 05:05:26.360]  form that's readily available to be used
[05:05:26.360 --> 05:05:28.360]  to feed other plants
[05:05:28.360 --> 05:05:30.360]  so JLF's are very
[05:05:30.360 --> 05:05:32.360]  important I think
[05:05:32.360 --> 05:05:34.360]  if you're a natural farmer you should have several
[05:05:34.360 --> 05:05:36.360]  JLF's if you grow whatever
[05:05:36.360 --> 05:05:38.360]  plant you grow you should have a
[05:05:38.360 --> 05:05:40.360]  barrel of that plant for
[05:05:40.360 --> 05:05:42.360]  JLF you can grow tomatoes
[05:05:42.360 --> 05:05:44.360]  whatever it may be
[05:05:44.360 --> 05:05:46.360]  and make several of them
[05:05:46.360 --> 05:05:48.360]  make them out of fruit
[05:05:48.360 --> 05:05:50.360]  make them out of leafy plants
[05:05:50.360 --> 05:05:52.360]  just make
[05:05:52.360 --> 05:05:54.360]  make more
[05:05:54.360 --> 05:05:56.360]  JLF's because what that does is
[05:05:56.360 --> 05:05:58.360]  it's going to increase your diversity in your
[05:05:58.360 --> 05:06:00.360]  soil you know what I mean all these JLF's
[05:06:00.360 --> 05:06:02.360]  are very high in microbes
[05:06:02.360 --> 05:06:04.360]  and then they're very high in nutrients so you have
[05:06:04.360 --> 05:06:06.360]  to be careful
[05:06:06.360 --> 05:06:08.360]  to dilute them properly
[05:06:08.360 --> 05:06:10.360]  when you use them
[05:06:10.360 --> 05:06:12.360]  so with all
[05:06:12.360 --> 05:06:14.360]  that said that gives us
[05:06:14.360 --> 05:06:16.360]  now we have three inputs we have our FPJ
[05:06:16.360 --> 05:06:18.360]  we have our vinegar
[05:06:18.360 --> 05:06:20.360]  and then we have our JLF
[05:06:20.360 --> 05:06:22.360]  just keeping it simple
[05:06:22.360 --> 05:06:24.360]  so now when we make our
[05:06:24.360 --> 05:06:26.360]  A horizon
[05:06:26.360 --> 05:06:28.360]  we have those inputs
[05:06:28.360 --> 05:06:30.360]  in order to water it
[05:06:30.360 --> 05:06:32.360]  so basically our ingredients
[05:06:32.360 --> 05:06:34.360]  for our
[05:06:34.360 --> 05:06:36.360]  A horizon
[05:06:36.360 --> 05:06:38.360]  I use
[05:06:38.360 --> 05:06:40.360]  let's see
[05:06:40.360 --> 05:06:42.360]  my I use
[05:06:42.360 --> 05:06:44.360]  an alfalfa and
[05:06:44.360 --> 05:06:46.360]  shredded leaves so basically I took
[05:06:46.360 --> 05:06:48.360]  alfalfa that you can buy from a feed
[05:06:48.360 --> 05:06:50.360]  grain store
[05:06:50.360 --> 05:06:52.360]  if you can't if you have
[05:06:52.360 --> 05:06:54.360]  alfalfa growing even better I don't have it
[05:06:54.360 --> 05:06:56.360]  growing so you can take feed
[05:06:56.360 --> 05:06:58.360]  grade alfalfa
[05:06:58.360 --> 05:07:00.360]  combine that with
[05:07:00.360 --> 05:07:02.360]  shredded leaves that I harvested in the fall
[05:07:02.360 --> 05:07:04.360]  and I watered those
[05:07:04.360 --> 05:07:06.360]  with natural farming inputs including
[05:07:06.360 --> 05:07:08.360]  IMO and then I wrap
[05:07:08.360 --> 05:07:10.360]  that in tarp and just let it cook
[05:07:10.360 --> 05:07:12.360]  for about two months
[05:07:12.360 --> 05:07:14.360]  okay just don't bother
[05:07:14.360 --> 05:07:16.360]  now that's one
[05:07:16.360 --> 05:07:18.360]  component of it now I got rice hulls
[05:07:18.360 --> 05:07:20.360]  which is another
[05:07:20.360 --> 05:07:22.360]  part to my A horizon that I like
[05:07:22.360 --> 05:07:24.360]  to use
[05:07:24.360 --> 05:07:26.360]  garden soil
[05:07:26.360 --> 05:07:28.360]  and then I also use I like to amend
[05:07:28.360 --> 05:07:30.360]  the A horizon
[05:07:30.360 --> 05:07:32.360]  gypsum
[05:07:32.360 --> 05:07:34.360]  potassium sulfate, epsom salt
[05:07:34.360 --> 05:07:36.360]  I use the
[05:07:36.360 --> 05:07:38.360]  build a soil craft blend which is great
[05:07:40.360 --> 05:07:42.360]  I also make a
[05:07:42.360 --> 05:07:44.360]  azomite IMO 4
[05:07:44.360 --> 05:07:46.360]  an acorn IMO 3
[05:07:46.360 --> 05:07:48.360]  and river sand salt
[05:07:48.360 --> 05:07:50.360]  river, silt, sand and gravel
[05:07:50.360 --> 05:07:52.360]  all go to the A horizon
[05:07:52.360 --> 05:07:54.360]  so
[05:07:54.360 --> 05:07:56.360]  I gotta give you a visual
[05:07:56.360 --> 05:07:58.360]  because if you look at those horizons
[05:07:58.360 --> 05:08:00.360]  again and this is the bottom
[05:08:00.360 --> 05:08:02.360]  this is the E it doesn't
[05:08:02.360 --> 05:08:04.360]  stop there's not a sharp line
[05:08:04.360 --> 05:08:06.360]  this horizon and this horizon
[05:08:06.360 --> 05:08:08.360]  have a zone where they
[05:08:08.360 --> 05:08:10.360]  converge okay so
[05:08:10.360 --> 05:08:12.360]  each horizon
[05:08:12.360 --> 05:08:14.360]  also has what the other horizon above
[05:08:14.360 --> 05:08:16.360]  it has
[05:08:16.360 --> 05:08:18.360]  but
[05:08:18.360 --> 05:08:20.360]  um
[05:08:24.470 --> 05:08:26.470]  a little bit more about the
[05:08:26.470 --> 05:08:28.470]  acorn IMO 3
[05:08:28.470 --> 05:08:30.470]  one thing I like to do in
[05:08:30.470 --> 05:08:32.470]  the fall is um
[05:08:32.470 --> 05:08:34.470]  all year long like
[05:08:34.470 --> 05:08:36.470]  things are seasonal with natural farming
[05:08:36.470 --> 05:08:38.470]  like you know I make
[05:08:38.470 --> 05:08:40.470]  inputs I make things when
[05:08:40.470 --> 05:08:42.470]  they're available so in the fall
[05:08:42.470 --> 05:08:44.470]  acorn drop I go out and
[05:08:44.470 --> 05:08:46.470]  harvest acorns
[05:08:46.470 --> 05:08:48.470]  and I use those acorns to
[05:08:48.470 --> 05:08:50.470]  either an IMO
[05:08:50.470 --> 05:08:52.470]  IMO piles or I also do
[05:08:52.470 --> 05:08:54.470]  like a cold no turn
[05:08:54.470 --> 05:08:56.470]  compost in which I'll
[05:08:56.470 --> 05:08:58.470]  take the acorns
[05:08:58.470 --> 05:09:00.470]  and I'll actually do a process where I
[05:09:00.470 --> 05:09:02.470]  sprout them, I'll sprout
[05:09:02.470 --> 05:09:04.470]  about a half inch
[05:09:04.470 --> 05:09:06.470]  sprout coming out and I'll crack them
[05:09:06.470 --> 05:09:08.470]  and then I'll combine those
[05:09:08.470 --> 05:09:10.470]  with alfalfa again
[05:09:10.470 --> 05:09:12.470]  and I'll water that with natural
[05:09:12.470 --> 05:09:14.470]  farming inputs, stuff that in
[05:09:14.470 --> 05:09:16.470]  burlap sacks and then put it
[05:09:16.470 --> 05:09:18.470]  in cardboard boxes for like six
[05:09:18.470 --> 05:09:20.470]  months, just don't even touch it, don't even
[05:09:20.470 --> 05:09:22.470]  look at it, six months when you go back in
[05:09:22.470 --> 05:09:24.470]  there, you still got all
[05:09:24.470 --> 05:09:26.470]  the nutritional value that's in an acorn
[05:09:26.470 --> 05:09:28.470]  you know you got an oak tree right there
[05:09:28.470 --> 05:09:30.470]  inside that small package so you have
[05:09:30.470 --> 05:09:32.470]  all that and on top of that
[05:09:32.470 --> 05:09:34.470]  you also have all that fungi
[05:09:34.470 --> 05:09:36.470]  and different
[05:09:36.470 --> 05:09:38.470]  all the soil biology from when
[05:09:38.470 --> 05:09:40.470]  you watered in your IMO
[05:09:40.470 --> 05:09:42.470]  when you put it in there
[05:09:42.470 --> 05:09:44.470]  and it was bags wet all that is
[05:09:44.470 --> 05:09:46.470]  grown and pretty much that comes
[05:09:46.470 --> 05:09:48.470]  out looking like a nice white
[05:09:48.470 --> 05:09:50.470]  cake of acorns
[05:09:50.470 --> 05:09:52.470]  and fungi
[05:09:52.470 --> 05:09:54.470]  and bacteria, it's really good
[05:09:54.470 --> 05:09:56.470]  stuff and that's one of my components
[05:09:56.470 --> 05:09:58.470]  of my soil
[05:09:58.470 --> 05:10:00.470]  in the horizon
[05:10:00.470 --> 05:10:02.470]  let's jump
[05:10:02.470 --> 05:10:04.470]  on up to the over horizon now which is
[05:10:04.470 --> 05:10:06.470]  your top horizon
[05:10:08.470 --> 05:10:10.470]  I like to use, some of the things I do
[05:10:10.470 --> 05:10:12.470]  I put clay in my over horizon
[05:10:12.470 --> 05:10:14.470]  and this sounds a little, you might have
[05:10:14.470 --> 05:10:16.470]  to just kind of think through this with me
[05:10:16.470 --> 05:10:18.470]  but the reason I do that is
[05:10:18.470 --> 05:10:20.470]  because I want clay, I use
[05:10:20.470 --> 05:10:22.470]  three different clays, I use French
[05:10:22.470 --> 05:10:24.470]  Green clay, I use the Brassoul
[05:10:24.470 --> 05:10:26.470]  clay and I use Sea Clay
[05:10:26.470 --> 05:10:28.470]  and the reason I like these clays is
[05:10:28.470 --> 05:10:30.470]  because clays are loaded with
[05:10:30.470 --> 05:10:32.470]  micronutrients
[05:10:32.470 --> 05:10:34.470]  and what also happens
[05:10:34.470 --> 05:10:36.470]  clay is very good at holding moisture
[05:10:36.470 --> 05:10:38.470]  so in my over
[05:10:38.470 --> 05:10:40.470]  horizon when I have this clay mix
[05:10:40.470 --> 05:10:42.470]  with these acorns
[05:10:42.470 --> 05:10:44.470]  alfalfa
[05:10:44.470 --> 05:10:46.470]  along with some IMO
[05:10:46.470 --> 05:10:48.470]  I use a pre-feeding
[05:10:48.470 --> 05:10:50.470]  time cover crop
[05:10:50.470 --> 05:10:52.470]  and what happens is when I water
[05:10:52.470 --> 05:10:54.470]  the clay slowly trickles down
[05:10:54.470 --> 05:10:56.470]  through my horizons
[05:10:56.470 --> 05:10:58.470]  and basically what happens is
[05:10:58.470 --> 05:11:00.470]  this horizon, the top
[05:11:00.470 --> 05:11:02.470]  of the eating horizon will end up collecting
[05:11:02.470 --> 05:11:04.470]  all that clay, well
[05:11:04.470 --> 05:11:06.470]  over time
[05:11:06.470 --> 05:11:08.470]  plant roots will go down as well
[05:11:08.470 --> 05:11:10.470]  and this top of this eating horizon
[05:11:10.470 --> 05:11:12.470]  will be a very nutritionally rich area
[05:11:12.470 --> 05:11:14.470]  just because of the way
[05:11:14.470 --> 05:11:16.470]  everything leaches down
[05:11:16.470 --> 05:11:18.470]  now
[05:11:18.470 --> 05:11:20.470]  a bed like this is like
[05:11:20.470 --> 05:11:22.470]  a lifetime bed
[05:11:22.470 --> 05:11:24.470]  I mean years, like I have
[05:11:24.470 --> 05:11:26.470]  mine now that I use is
[05:11:26.470 --> 05:11:28.470]  about seven years old, similarly
[05:11:28.470 --> 05:11:30.470]  built and it just gets better
[05:11:30.470 --> 05:11:32.470]  over time as things break down
[05:11:34.470 --> 05:11:36.470]  one thing I didn't mention in my
[05:11:36.470 --> 05:11:38.470]  before where my
[05:11:38.470 --> 05:11:40.470]  eating horizon meets
[05:11:40.470 --> 05:11:42.470]  I actually harvested some
[05:11:42.470 --> 05:11:44.470]  ginkgo ramal wood
[05:11:44.470 --> 05:11:46.470]  ramal wood is the
[05:11:46.470 --> 05:11:48.470]  small tips of the wood, basically
[05:11:48.470 --> 05:11:50.470]  just the branches and the
[05:11:50.470 --> 05:11:52.470]  twigs and I
[05:11:52.470 --> 05:11:54.470]  actually layered that in right
[05:11:54.470 --> 05:11:56.470]  above my eat with the thought
[05:11:56.470 --> 05:11:58.470]  process of this being such a long term
