[00:01.340 --> 00:09.940]  Welcome, everybody, to episode 16 of the James Loud Show. Today's special guest is James
[01:11:33.350 --> 01:12:02.350]  The fish solutions, those things work great. They are amazing. I have been using those since day one and I still utilize them. The issue is, is if you get those analyzed, depending on where you're at, there is a very high risk for cadmium and not cadmium, heavy metals.
[01:12:03.350 --> 01:12:17.350]  Generally, from those fishes coming from the ocean, that can contaminate your plants. And so that is something that I have experienced with the use of the fish material.
[01:12:18.350 --> 01:12:30.350]  If you're going to use it, all I have to say is please take the time to put a little in a bottle and send it to the extension laboratory near you and have them do an analysis for heavy metals before you utilize it.
[01:12:31.350 --> 01:12:50.350]  But the overall Korean natural farming thing, right, the overarching umbrella of it, there's a business aspect to it that you have to really understand.
[01:12:51.350 --> 01:13:10.350]  There's a money making scheme here. I hate to use that word, but they're trying to make money through the system and selling books and doing seminars and all those things. You got to understand that there is some capitalism as part of that.
[01:13:11.350 --> 01:13:37.350]  I can say you could take a lot of that away from it and there's some valid claims there. Now when you talk about living soil, most people's definition of living soil is a little bit different than K&F. Living soil, I would say the thing about K&F that I don't like is the language about
[01:13:38.350 --> 01:13:50.350]  these indigenous microorganisms are unique or would only be effective in this specific area with these specific plants on this specific hillside and all that. Okay, I get that.
[01:13:52.350 --> 01:13:53.350]  In the end,
[01:13:55.350 --> 01:13:56.350]  when you talk about
[01:13:57.350 --> 01:13:59.350]  just sustainable agriculture,
[01:13:59.350 --> 01:14:11.350]  the techniques of, and I'm forgetting the name, is it the German technique where we're planting logs and different brush.
[01:14:12.350 --> 01:14:13.350]  Hugelkultur.
[01:14:14.350 --> 01:14:15.350]  Hugelkultur, right.
[01:14:15.350 --> 01:14:35.350]  There it is. Sorry, I was just brain farting on it. Something like that. That is highly applicable and I support that 100% and I think that anybody who does those types of systems are going to have a lot less pathogen issues. They're going to have a lot less pest issues and will be enriching their soils and making their environment a better place to be after they leave.
[01:14:36.350 --> 01:14:43.350]  Hugelkultur, right. That's the type of stuff that I do support and I know that there is some validity to.
[01:14:45.350 --> 01:14:59.350]  And it only makes sense because you put high lignin concentrations in the soil with wood and wood chips, you're going to have a high fungal population. If you're putting in manures, you're putting in green leaf materials.
[01:15:00.350 --> 01:15:12.350]  If you're putting in waste materials, you're going to have a high bacterial population. And so bringing those two together, it just makes perfect sense. And when you see it in application, it does have a wonderful effect.
[01:15:14.350 --> 01:15:17.350]  Those types of techniques when you say living soil,
[01:15:19.350 --> 01:15:23.350]  yeah, yeah, there's definitely some validity there. There needs to be a lot more research on it.
[01:15:24.350 --> 01:15:29.350]  I can't say that it gives you better yield. I can't say that it gives you a better product.
[01:15:30.350 --> 01:15:38.350]  What I can say is it helps the environment and when you leave that place, you will leave it better than what you saw when you got there.
[01:15:39.350 --> 01:15:50.350]  And you will be utilizing tools in biology that you wouldn't be able to access through conventional systems. So that's my little support of that. And then,
[01:15:50.350 --> 01:16:09.350]  again, I don't want to sound like I'm bashing KNF. What I want to make people realize is, after four years of working on something, and then every single time the data coming back a certain way, at some point, you switch sides.
[01:16:10.350 --> 01:16:31.350]  I got to understand, I chose and I funded my own thesis for four years at a state university so that I could study KNF. I was not going to be able to get any funds from any investor, any education, research grants or anything like that. Why? Because there's no data on it.
[01:16:32.350 --> 01:16:43.350]  I went to every place out there and said, I want to study this material that's an up and coming farming technique that's happening in Hawaii and in the West Coast and in Asia.
[01:16:44.350 --> 01:17:00.350]  There's been all of these books and all these things written about it. I want to do research on it. And then they keep saying, well, where's the peer reviewed article that says anything about this stuff? It didn't exist when I started doing it in 2014, 2015.
[01:17:02.350 --> 01:17:16.350]  It didn't exist. So I funded it myself, the four years of research, not cheap. And I did that because I was passionate about KNF. I thought it was the God's end of all agricultural methods.
[01:17:17.350 --> 01:17:34.350]  And then at some point when the data keeps coming back and keeps coming back, I've just gone down the road and I've gone as far down the road as I think I can. I'm sure that there's a lot more research I can do. But what I'm scared of is that it all comes back the same as what I saw over the course of four years.
[01:17:35.350 --> 01:17:50.350]  I think if I worked at KNF anymore, my wife would just kill me because I was all about it for years. And then all of a sudden the data just showed me that it's just not something as viable as people claim.
[01:17:55.580 --> 01:17:58.580]  I think there are a bunch of unhappy people in the chat right now.
[01:17:59.580 --> 01:18:17.580]  I debate this with people constantly. And I'm more than happy to take anybody's questions and anybody's thoughts. Yes. What I say is before you do that, read my paper first. Find the paper, read it, and then tell me what you think.
[01:18:17.580 --> 01:18:39.580]  What was Drake's response when you told him the IMO for data? And then this, I know, sorry, this is the wrong. This guy asked related to the IMO for not being effective. Is that specific to Hawaii or do you think that's applicable if you're like in the Midwest or you don't know?
[01:18:39.580 --> 01:19:08.580]  No, because microbial densities in soils in South Dakota and in Iowa, in Canada, in Europe, in Hawaii, the density, the amount of CO2 that soil is expelling from microorganisms is generally about the same. I wouldn't say that there really would be much difference. What I can say is I don't know because nobody's done that same research project in South Dakota or where have you.
[01:19:10.580 --> 01:19:28.580]  So I'm going to take the scientific scientist stance on that and say I really don't know. But I would say the level of competition that is naturally existing in soils is very high. Those microorganisms in that soil have been there for millennia.
[01:19:28.580 --> 01:19:57.580]  And for you to take a fungi from the environment, build it up, and then bring it in high concentrations into that same environment, there's not enough resources for it. The tools that the, every microorganism has an archenemy, right? So whatever, you throw a high population of this fungi in, the other populations of the predators are the ones that don't, that compete for the resources. They increase as well.
[01:19:58.580 --> 01:20:20.580]  What happens is they bite and then they both crash because there's no more resources left. If you're consistently, constantly putting IMO4 out, you will see an increased effect. But I recommend if you're going to do that on a plant that's right next to it, put compost out and then see if your effect is any different.
[01:20:24.900 --> 01:20:37.900]  Nice. I'm sure we got some questions from the viewers. Let's just go right into some questions. So if you have questions, ask them now. Sound good, Peter? How you doing? Did we break the internet?
[01:20:37.900 --> 01:21:08.620]  I like giving different people kind of long form ability to make their case. Other people may disagree and I'm like, Steve, I see you. Happy to bring you on and let you talk about your, you know, experience, which is different. And we can do all of this in a civil way. But there were, yeah, I grabbed some questions earlier.
[01:21:09.620 --> 01:21:22.620]  So Bud Kilowatt asked a while ago, and this was something we were talking about a couple of days ago on the show. Do you think Harpin protein is effective for IPM?
[01:21:24.620 --> 01:21:28.620]  Harpin protein? What's Harpin protein?
[01:21:29.620 --> 01:21:37.620]  That's a fair answer. All right. So we'll move on from that question. I like when people just say, I don't even know what that is.
[01:21:37.620 --> 01:21:40.620]  I'll always tell you if I don't know. I'm not a fucking genius.
[01:21:43.620 --> 01:21:46.620]  James, you can see the chat too, right?
[01:21:46.620 --> 01:21:53.620]  Yeah, I can. Where is the IMO research published?
[01:21:54.620 --> 01:22:03.620]  If you Google James Rushing, University of Hawaii, IMO 4, it'll probably be the first thing that comes up.
[01:22:04.620 --> 01:22:06.620]  Google is your friend.
[01:22:07.620 --> 01:22:08.620]  Yes.
[01:22:14.020 --> 01:22:31.020]  So how about like, you know, you studied with Master Cho and then JADAM came along or JADAM. And have you done any research on that or played with it at all?
[01:22:31.020 --> 01:22:46.020]  No, to be honest, right at the time I published the IMO, the big paper, I went on to start up Big Island Grown and I left my analytical hat in the laboratory.
[01:22:48.020 --> 01:22:50.020]  You hung up the cleats?
[01:22:53.020 --> 01:22:54.020]  The lab coat?
[01:22:54.020 --> 01:23:11.290]  How about, I mean, I have a question in terms of, you know, you talked about California common pests. What were some of the common pests or what you're dealing in Hawaii still? What are like some different pests you see in different places?
[01:23:12.290 --> 01:23:35.290]  So Hawaii pests is botrytis. I mean, when you talk about what is the thing that really puts a stop to any cannabis production system, whether it's indoor, outdoor, it's botrytis and bud rot. I'm sorry. Yeah, bud rot. Usually caused because of the temperature fluctuations and humidity fluctuations.
[01:23:35.290 --> 01:24:04.290]  And then if you're doing outdoor systems with the cabbage butterfly, causing all of those issues associated with bud rot. And that's where even in the licensed grows on Oahu, some of them on Big Island of Maui, when you're throwing away 25 to 50% of your product that you grow indoors or in a climate controlled system for botrytis, that's, you know,
[01:24:05.290 --> 01:24:18.290]  that's definitely I would say the biggest issue. How do you combat that? Making sure that you're growing in a consistent climate controlled environment. I know it's hard to do outdoors.
[01:24:19.290 --> 01:24:33.290]  If you're growing outdoors, the only way that you can really address it is preventative microorganism inoculants. One of them that is highly effective is EM1. So back to all you guys that love that stuff.
[01:24:33.290 --> 01:24:58.290]  I'm a big fan of EM1, effective microorganism one, Dr. Higa's invention that is essentially 17 plant effective microorganisms that you can batch make and you can brew your own from cultures and really maximizing your potential on your purchase.
[01:24:59.290 --> 01:25:15.290]  So say I could buy a gallon of EM1, I can turn that into, what is the ratio? What's 30 gallons or something like that. And then actually apply that on the plant multiple times a week during the bud phase.
[01:25:15.290 --> 01:25:29.290]  It's one of those few materials that goes onto a plant that I have not found had any effect on the trichome production or the calyx production of pistils or the general structure of the bud.
[01:25:33.290 --> 01:25:34.290]  Other effective tools.
[01:25:36.290 --> 01:25:44.290]  Back to the KNF stuff. The milk solution, the fermented milk solution works really good for botrytis.
[01:25:46.290 --> 01:26:01.290]  Where you're taking rice wash water and inoculating, taking that which is inoculated with microorganisms and then you add milk in there because those are lactic acid bacteria.
[01:26:03.290 --> 01:26:11.290]  And then applying lactic acid bacteria solutions to the plant. Now those you don't want to apply past maybe four weeks in the flower.
[01:26:11.290 --> 01:26:22.290]  They will affect pistol production and those proteins that are in there are a little iffy when you start talking about safety of buds if you were to get those tested.
[01:26:24.290 --> 01:26:29.290]  Those are some tools and really the biggest problem in Hawaii again was the rotting away of buds on the plant.
[01:26:30.290 --> 01:26:43.560]  Yeah, which is also a genetic issue using the right cultivars in your environments. I feel like so many people just want to put everything everywhere and really, you know, not everything belongs everywhere.
[01:26:44.560 --> 01:26:50.560]  I was very successful in Hawaii with growing sativas, tropical sativas, staking with the louse and the ties.
[01:26:52.560 --> 01:27:04.560]  And then several of the Moroccan strains that are coming out of Europe and some of the stuff that was in Amsterdam in the 90s did pretty good in Hawaii.
[01:27:05.560 --> 01:27:14.560]  Yeah, there's nothing wrong with breeding terpene profiles into structured plants that will work better in specific regions like Hawaii.
[01:27:15.560 --> 01:27:20.560]  There's no reason to grow OG Kush out there outdoors or stuff like that. It's not meant for those regions.
[01:27:21.560 --> 01:27:24.560]  But so many people want to try or they're like, we need OG Kush.
[01:27:24.560 --> 01:27:29.560]  And it's like, well, you can get the gas and you can breed that into equatorial or tropical varieties.
[01:27:30.560 --> 01:27:36.560]  And that's the way of the future. Geoclimatized varieties of cannabis.
[01:27:37.560 --> 01:27:42.560]  I think the more we learn about it, the more we'll know what to put where and what to breed and how to breed into stuff.
[01:27:43.560 --> 01:27:47.560]  So it's actually not as complicated as what people think.
[01:27:48.560 --> 01:27:53.560]  No, no, it's not. And again, in Hawaii, there's a lot of people who are like, well, we need OG Kush.
[01:27:54.560 --> 01:28:04.560]  It's a big movement right now. You're going to see a lot of genetics coming out of Hawaii and coming into the market as far as seed products.
[01:28:05.560 --> 01:28:18.560]  Look for those. Anything coming out of there is probably what it is, is probably a local Hawaiian that is blended with some sort of Amsterdam or West Coast strain and then stabilized.
[01:28:18.560 --> 01:28:23.560]  A lot of the stuff, Pocalo seeds make some really great stuff.
[01:28:24.560 --> 01:28:27.560]  Gray skull, probably one of the best that are out there.
[01:28:28.560 --> 01:28:31.560]  There's a lot of good stuff coming out of Hawaii right now, for sure.
[01:28:32.560 --> 01:28:37.560]  Yeah, they've always had good quality cannabis. I mean, I remember getting stuff in the 90s from Hawaii that was really, really good.
[01:28:38.560 --> 01:28:43.560]  So it's all the love. It's all the love. That's what makes it good.
[01:28:43.560 --> 01:28:45.560]  We have a cooking question.
[01:28:46.560 --> 01:28:47.560]  All right.
[01:28:48.560 --> 01:28:53.560]  What is the name of the amazing stuff you scrape up with the liquid after braising meat?
[01:28:54.560 --> 01:28:55.560]  I don't know.
[01:28:58.560 --> 01:29:00.560]  Technical questions. You can Google that, I'm sure.
[01:29:02.560 --> 01:29:04.560]  Yeah, that's funny.
[01:29:05.560 --> 01:29:06.560]  Yeah.
[01:29:07.560 --> 01:29:08.560]  How long is it soaked?
[01:29:09.560 --> 01:29:10.560]  Yeah.
[01:29:10.560 --> 01:29:17.560]  How long is it soaked? 24 hours? No more than 24 hours. 12 to 24 hours.
[01:29:19.560 --> 01:29:30.560]  They've shown in tests where they take blades of grass and then they put it in solution and they do measurements of the amount of materials that are coming out of the broken end of the grass.
[01:29:32.560 --> 01:29:37.560]  And they've proven that between 12 and 24 hours, that is totally expelled.
[01:29:38.560 --> 01:29:42.560]  And it's really just a matter of pressure density.
[01:29:43.560 --> 01:29:53.560]  The amount of hydrogen molecules that are on the outside of that plant get pulled out because the amount that are on the inside of the leaf or what have you is less.
[01:29:54.560 --> 01:29:57.560]  And it just gets pulled out because of the hydrogen that's in there.
[01:29:59.560 --> 01:30:00.560]  Nice.
[01:30:03.990 --> 01:30:06.990]  So, oh, banker plants. You want to talk about banker plants at all?
[01:30:07.990 --> 01:30:08.990]  Yeah.
[01:30:08.990 --> 01:30:09.990]  We haven't really discussed bankers yet.
[01:30:10.990 --> 01:30:14.990]  They're very effective. Trapments, those types of things.
[01:30:15.990 --> 01:30:22.990]  Having a plant that can receive your pests for you, right, and you can control them better.
[01:30:25.990 --> 01:30:27.990]  It really depends on where you're at.
[01:30:28.990 --> 01:30:40.990]  I highly recommend, especially if you're growing outside, that you're utilizing a local plant or you're utilizing something that can grow really well there in tandem with the cannabis.
[01:30:43.990 --> 01:30:50.990]  Having plants that also attract things like ladybugs are also highly effective as well.
[01:30:51.990 --> 01:30:56.990]  Some of the spiky weeds have great effect on keeping other weeds out.
[01:30:57.990 --> 01:31:07.990]  So if you're fine with having one species of weed and not 15 kinds that are competing for resources, you might want to start identifying those.
[01:31:08.990 --> 01:31:11.990]  Yeah, I think that there's a lot of science behind it.
[01:31:12.990 --> 01:31:36.990]  But at the same time, if there is a way to have a biological approach in addition to those banker plants, again, redundancy, having some sort of inoculant on the plant or in the soil environment that causes problems for the plant.
[01:31:37.990 --> 01:31:46.990]  If you're looking for the same pest that you're using the banker plants for, I say it's a great tool, not something you're going to utilize exclusively.
[01:31:49.990 --> 01:31:55.990]  Nice. Yeah, it's all about those tools used in tandem, as you've discussed.
[01:31:56.990 --> 01:31:58.990]  Yeah, and having the redundancy.
[01:31:59.990 --> 01:32:09.990]  Everything's about redundancy. If you're making seeds, it's important to have redundancy. It's a good idea to have some pollen saved in case your reversals don't go well if you're making feminized seeds.
[01:32:11.990 --> 01:32:13.990]  Redundancies are always great.
[01:32:15.990 --> 01:32:16.990]  Are we taking dabs now?
[01:32:17.990 --> 01:32:20.990]  Yeah, you should take dabs. You got some holy water? Is that from 2012?
[01:32:21.990 --> 01:32:26.990]  Yeah, this is from Nectar's Collective. He's now producing again.
[01:32:27.990 --> 01:32:31.990]  Oh, wow. So, Noel is now working for Flower Corp in Canada.
[01:32:33.990 --> 01:32:46.990]  No longer. They released him, but I'm not going to disclose that. He's getting stuff going back in California, and he's actually working with me as well under the consultancy umbrella.
[01:32:47.990 --> 01:32:55.990]  Oh, that's fantastic. So, Noel is one of our good friends that started Holy Water. He's one of the founders of Holy Water along with some other guys.
[01:32:57.990 --> 01:33:04.990]  They were the first guys to really focus on liquid terpenes like that where you can actually just pour it onto your dab.
[01:33:05.990 --> 01:33:11.990]  When it came out in the end of 2012, first part of 2013, people didn't even know what to do with it.
[01:33:12.990 --> 01:33:22.990]  We entered it together in some cups. When I was entering flowers, they came to Denver, and the judges said it was amazing, but they didn't know how to grade it against shatter.
[01:33:27.090 --> 01:33:28.090]  Sorry, is my torch being too loud?
[01:33:30.090 --> 01:33:31.090]  I muted you.
[01:33:32.090 --> 01:33:35.090]  Sorry, I'm a little high right now.
[01:33:36.090 --> 01:33:37.090]  That's okay.
[01:33:38.090 --> 01:33:42.090]  That also explains why I didn't hear you talking anymore. I was like, he just stopped saying what he was talking about.
[01:33:43.090 --> 01:33:44.090]  Yeah, so 2013 we entered…
[01:33:45.090 --> 01:33:46.090]  Stopped mid-sentence.
[01:33:46.090 --> 01:33:52.090]  Judges had no way of… I mean, it was really hard because we had a liquid product that we were entering in a cup.
[01:33:53.090 --> 01:33:55.090]  I feel like it was better than everything else, but they didn't have a way to really…
[01:33:56.090 --> 01:34:00.090]  It was hard to say how is it better than shatter and crumble and all these other things.
[01:34:01.090 --> 01:34:07.090]  Things have changed, and I feel like a lot of people have gone that sauce and diamonds direction, and now rosin is really popular.
[01:34:08.090 --> 01:34:10.090]  I believe he was working on some rosin projects and stuff like that as well.
[01:34:11.090 --> 01:34:14.090]  So, Noel is just an awesome extractor and a great guy.
[01:34:16.090 --> 01:34:22.090]  He has his Nectars now, right? He's Mr. Nectars.
[01:34:23.090 --> 01:34:26.090]  Yeah, Nectars Collective. Follow him on Instagram for sure.
[01:34:27.090 --> 01:34:30.090]  So, we're all going to watch this monster dab.
[01:34:31.090 --> 01:34:37.090]  Yeah, we're waiting. When you get a big snake, one gram dab, we're waiting.
[01:34:38.090 --> 01:34:43.090]  I'm going to put you full screen. Sorry, I need to cue up the music.
[01:34:44.090 --> 01:34:45.090]  Do we have music for this?
[01:34:47.090 --> 01:34:56.090]  I'm setting up my other computer where I can just pull stuff that's like snippets of songs that wouldn't get dinged for copyright.
[01:34:57.090 --> 01:35:07.710]  Look at that. Have you ever had 300 plus people watch you dab before?
[01:35:08.710 --> 01:35:09.710]  No, I haven't.
[01:35:10.710 --> 01:35:12.710]  All those investors, you're scaring off right now.
[01:35:13.710 --> 01:35:14.710]  Man, I'm already married.
[01:35:15.710 --> 01:35:16.710]  Let's talk about this.
[01:35:16.710 --> 01:35:21.710]  I'm married right now. I got a company I'm working with, Origins Investment.
[01:35:22.710 --> 01:35:24.710]  Awesome. They're out of Washington?
[01:35:25.710 --> 01:35:30.710]  Yeah, they're out of Washington. They own a dispensary in Redmond and one in West Seattle.
[01:35:31.710 --> 01:35:37.710]  They also have some in Oklahoma City, a couple of girls in Oklahoma City.
[01:35:38.710 --> 01:35:44.710]  They asked me to join their business development side of the company.
[01:35:45.710 --> 01:35:46.710]  Now I'm partners with them.
[01:35:47.710 --> 01:35:56.710]  What I've been doing the last year during COVID is, to be honest, is just sitting in front of my computer every day and getting licenses across the country.
[01:35:57.710 --> 01:36:03.710]  Buying and purchasing or renting land or facilities or pre-existing facilities or building them.
[01:36:04.710 --> 01:36:07.710]  And applying for licenses in emerging markets.
[01:36:08.710 --> 01:36:17.710]  Right now I'm working very hard on Georgia, which is a market that is only allowing low THC oil.
[01:36:18.710 --> 01:36:26.710]  And then we're in markets like California. We're shooting at Maine, which is recreational with cultivation, extraction, retail.
[01:36:27.710 --> 01:36:35.710]  And we're looking to expand as much as we can for the purpose of getting our IP out there.
[01:36:36.710 --> 01:36:44.710]  Because we are not just a cannabis company who owns licenses and operates, grows in cultivation facilities.
[01:36:45.710 --> 01:37:01.710]  We're actually an IT company who has developed a state-of-the-art recommendation engine for customers to really kind of sift through all of the products that are available in these emerging markets.
[01:37:02.710 --> 01:37:06.710]  And also competitive markets like Washington and Colorado and California.
[01:37:07.710 --> 01:37:17.710]  And it, through a series of questions, can make recommendations for cannabis products for individuals.
[01:37:18.710 --> 01:37:20.710]  Specifically ones that are kind of new to the game.
[01:37:21.710 --> 01:37:26.710]  So that they aren't overdosed. So they aren't given the wrong products.
[01:37:27.710 --> 01:37:33.710]  If they're not into smoking or they're not into vaping, what solutions do they have?
[01:37:33.710 --> 01:37:46.710]  And it's a wonderful IP program that can isolate out a person's needs from a cannabis menu.
[01:37:47.710 --> 01:37:57.710]  And let them know when new products that meet their criteria come out. Provide promotions for those.
[01:37:57.710 --> 01:38:05.710]  And then also this system is a fully operational ERP system for operational analytics.
[01:38:06.710 --> 01:38:21.710]  Which basically means if I change anything in operations, if I change this fertilizer or these lighting, I'm able to see what that effect is or could be to my bottom dollar in production.
[01:38:22.710 --> 01:38:28.710]  It's also seed-to-sale tracking all together in one. Plus POS systems.
[01:38:29.710 --> 01:38:34.710]  So that seed-to-sale plus the systems at the retail locations are all tied in together.
[01:38:35.710 --> 01:38:41.710]  And then it's also a marketing platform where you get text messages or emails and promotions based upon your needs.
[01:38:42.710 --> 01:38:52.710]  And not necessarily to one dispensary. You might have this list of products available to you in this region.
[01:38:53.710 --> 01:39:03.710]  So it's something we're trying to do is get these licenses and open up these facilities to show this system in application.
[01:39:04.710 --> 01:39:13.710]  And once it's been worked through in the cannabis environment, it's definitely something of value.
[01:39:14.710 --> 01:39:22.710]  Plus owning several licenses and being a multi-state organization is highly profitable now.
[01:39:22.710 --> 01:39:31.710]  So again, it's just a group of people who are trying to expand as much as we can and get into the emerging markets.
[01:39:32.710 --> 01:39:38.710]  At the same time, getting our IP in application and getting it working.
[01:39:39.710 --> 01:39:46.710]  We're talking with companies in Europe and Greece. We're talking with companies in London.
[01:39:47.710 --> 01:39:53.710]  We're just a small group of people that know what we're doing.
[01:39:54.710 --> 01:40:00.710]  We are really good at it. And we are taking over right now the East Coast and the Southeast.
[01:40:01.710 --> 01:40:02.710]  Awesome.
[01:40:03.710 --> 01:40:05.710]  So it slices, it dices.
[01:40:06.710 --> 01:40:13.710]  Wait, so what's the name of the software platform?
[01:40:13.710 --> 01:40:18.710]  So the software platform come out. It's almost like you're competing with like GreenBits, Baker.
[01:40:19.710 --> 01:40:30.710]  What was it? Baker would be like the marketing and loyalty stuff. Right. GreenBits or Meadow would be like the point of sale.
[01:40:31.710 --> 01:40:35.710]  Then you have cultivation tracking software as well.
[01:40:36.710 --> 01:40:38.710]  Like ERP, right. So efficiency management software.
[01:40:39.710 --> 01:40:46.710]  And that's tied into the security system. Right. So you know where everybody's at and what they're doing.
[01:40:47.710 --> 01:40:52.710]  And you have security tied into this single dashboard software system.
[01:40:53.710 --> 01:41:00.710]  Yeah. It's bringing all of the best ideas in IT for cannabis production all together in one platform.
[01:41:01.710 --> 01:41:03.710]  So you're implanting chips in the employees.
[01:41:04.710 --> 01:41:06.710]  You're implanting chips in the employees.
[01:41:06.710 --> 01:41:07.710]  So you get track of it.
[01:41:08.710 --> 01:41:09.710]  If we could, we would. No, no, no.
[01:41:10.710 --> 01:41:17.710]  And to show everybody how good this software is, you're getting licenses in every state as like a showroom example.
[01:41:18.710 --> 01:41:23.710]  Yes. And now you get it. And I hope other people see that as a model.
[01:41:24.710 --> 01:41:29.710]  Because there's not a lot of money to be made in cannabis.
[01:41:30.710 --> 01:41:35.710]  If it's all said and done. There's a lot more money to be made in ancillary.
[01:41:36.710 --> 01:41:40.710]  So if you can tie ancillary in with cannabis touching, you got both of them.
[01:41:41.710 --> 01:41:46.710]  And you have a direct line from ancillary business right into plant touching.
[01:41:47.710 --> 01:41:52.710]  Then that's definitely a sought after package for anybody who say would want to roll that up.
[01:41:55.430 --> 01:41:59.430]  Has anyone ever said you're trying to do too much?
[01:42:00.430 --> 01:42:02.430]  Every day.
[01:42:03.430 --> 01:42:09.430]  You're like, I want to create every software category product known to the cannabis industry.
[01:42:10.430 --> 01:42:12.430]  And then I want to open licenses in every state.
[01:42:13.430 --> 01:42:16.430]  And then go be a plant scientist and help people.
[01:42:17.430 --> 01:42:21.430]  I'm sitting underneath rolling benches teaching people how to scrub.
[01:42:22.430 --> 01:42:30.430]  And then I'll leave that and go to a meeting for investment into a business in Greece for $7 million.
[01:42:30.430 --> 01:42:32.430]  So yes, I do too much.
[01:42:33.430 --> 01:42:36.430]  And I've been good about stepping away from a lot of these duties.
[01:42:37.430 --> 01:42:41.430]  But in the end, it's just my nature. I've always been that way.
[01:42:42.430 --> 01:42:44.430]  And I was in the restaurant industry.
[01:42:45.430 --> 01:42:50.430]  And so James probably understands that there's a million people like me out there that just can't do one thing.
[01:42:51.430 --> 01:42:54.430]  You've got to get it all. And it all has to be done right. And I have to oversee all of it.
[01:42:55.430 --> 01:42:59.430]  I'm like that. I try to piece pieces of the puzzle together.
[01:43:00.430 --> 01:43:07.430]  I hope the future is for me is white coat services is getting bigger.
[01:43:08.430 --> 01:43:14.430]  And I have gone from a one man show to a multi person show very quickly.
[01:43:15.430 --> 01:43:22.430]  And what I've been doing is taking the best resources in the industry and funneling through white coat services and providing them as a service.
[01:43:23.430 --> 01:43:27.430]  Like for instance, Noel, if you wanted some of the best extracts in the world,
[01:43:27.430 --> 01:43:34.430]  if you wanted to learn how to make this, if you wanted to have a recommendation for a facility design and a layout,
[01:43:35.430 --> 01:43:41.430]  plus the equipment purchasing and protocols for code and all that stuff,
[01:43:42.430 --> 01:43:51.430]  that's available now through white coat services where we can set you up with a consultation plan, an operational management plan, whatever you want to do.
[01:43:51.430 --> 01:43:59.430]  And so white coat services is becoming a departmentalized at this point, extraction, business origination, application, whatever.
[01:44:00.430 --> 01:44:09.430]  Actually, I take that back. Application is off limits. Any applications that are done by me or my team are done for origins, which just makes more sense.
[01:44:10.430 --> 01:44:14.430]  But we used to do the application side. We don't do that much anymore.
[01:44:14.430 --> 01:44:20.760]  Nice. Hey, so do you know anything about the drones that they've been using at Fresno State?
[01:44:21.760 --> 01:44:27.760]  They're able to use and identify different issues.
[01:44:28.760 --> 01:44:35.760]  Well, I've heard cameras. I've heard cameras that can identify because of the way the UV light bounces off the surface,
[01:44:36.760 --> 01:44:39.760]  because of the leaf temperature changes that a disease might cause,
[01:44:39.760 --> 01:44:45.760]  because of the respiration rates that diseases can, well, could trigger.
[01:44:46.760 --> 01:44:50.760]  I didn't know that they're putting them on drones, but that makes perfect sense.
[01:44:51.760 --> 01:44:56.760]  And yeah, somewhere in California, that makes perfect sense. Yeah.
[01:44:57.760 --> 01:45:04.760]  I do know those cameras are still in the works, but some of them are useful.
[01:45:04.760 --> 01:45:14.760]  When you talk about leaf temperature sensing and stuff like that, that's definitely a technology that exists and could be utilized, certainly.
[01:45:15.760 --> 01:45:18.760]  Yeah, it's interesting. That's all going to change.
[01:45:19.760 --> 01:45:26.960]  I think the future of agriculture is computers.
[01:45:27.960 --> 01:45:28.960]  Yeah, it's automation.
[01:45:29.960 --> 01:45:30.960]  I don't think cameras are that different.
[01:45:31.960 --> 01:45:35.960]  Yeah, to scale, I feel like, I think, I think it's a little bit different.
[01:45:35.960 --> 01:45:45.960]  Yeah, to scale, I feel like even with genetics, it's like they're going to pick apart cultivars and figure out how to optimize them being grown in specific environments.
[01:45:46.960 --> 01:45:49.960]  And automation is going to be done on large scale, for sure.
[01:45:50.960 --> 01:45:53.960]  It's already being done. It's just going to be, you know, take it to that next level.
[01:45:54.960 --> 01:46:01.960]  I mean, just the simple things like, I went out to Cornerstone in Arizona,
[01:46:01.960 --> 01:46:18.960]  and them using robots for sprays and putting a robot between each row and having that go up and down the rows, as opposed to a person, their efficiencies completely changed.
[01:46:19.960 --> 01:46:27.960]  And the coverage, because if you're sending out four or five of these robots at the same time, done corresponding rows,
[01:46:28.960 --> 01:46:37.960]  you can go through an entire room and just fog out the entire room and have the best application that you can have without paying an employee.
[01:46:38.960 --> 01:46:44.960]  And making sure that every droplet is always the same size and application rate is completely even all the way across.
[01:46:45.960 --> 01:46:49.960]  And people will say, oh, you're taking away jobs or anything like that.
[01:46:50.960 --> 01:46:53.960]  To be honest, no, those machines need to be operated by people.
[01:46:54.960 --> 01:47:02.960]  So again, it's just taking a new look at industry. Forget agriculture, forget cannabis, just industry in general.
[01:47:03.960 --> 01:47:10.960]  It's all about coming to automation. And so if you want to make money in cannabis, and you have a background in technologies,
[01:47:11.960 --> 01:47:17.960]  put down the grower shovel and design an ERP system or something, you know.
[01:47:18.960 --> 01:47:22.960]  The industry is ready and waiting for those types of technologies.
[01:47:24.960 --> 01:47:25.960]  Right.
[01:47:26.960 --> 01:47:29.960]  I'm going to take a quick pee break while you guys keep going.
[01:47:30.960 --> 01:47:31.960]  Just don't bring the mic with you.
[01:47:32.960 --> 01:47:34.960]  Yeah. No, I'm going to mute myself.
