[00:00.000 --> 00:08.060]  And let me.
[01:13:14.070 --> 01:13:20.070]  And the weed was so black that the crystals just looked like they were exploding off of the weed.
[01:13:21.070 --> 01:13:30.070]  And so we've used the black as a staple in a lot of the crosses that we've made over the years, I can remember when train wreck was popular we crossed it with the black.
[01:13:30.070 --> 01:13:33.070]  I remember when banana was popular we crossed it with the black.
[01:13:34.070 --> 01:13:41.070]  Anything that I could get in clone form because I live off the grid and I don't have power to run lights thousand watt lights.
[01:13:41.070 --> 01:13:47.070]  And I don't have the energy to keep moms during the winter, and so anything that I could get in clone form from people over the years.
[01:13:48.070 --> 01:13:56.070]  Since I started growing here in the late 90s I've crossed with the black and the black is just really sturdy it's just a it's a great strain.
[01:13:57.070 --> 01:14:09.070]  To use as kind of a breeding block for for my mountain and so yeah we you know we've done it all you know I like I said I've been here since 97 and you know we went through the og and sour diesel craze and.
[01:14:10.070 --> 01:14:18.070]  I never really hopped on that bandwagon and I was growing seed weed, I was growing weed from seed not seeded weed, but I was growing weed grown from seed.
[01:14:19.070 --> 01:14:27.070]  And it always wasn't the most desirable as far as what people wanted at the time, but when the buyers would open up the bag, they knew it was the best.
[01:14:27.070 --> 01:14:36.070]  And it didn't have to be og or sour diesel, it could be one of these these off brand strains that we created, and you know, even if we gave it some interesting name.
[01:14:36.070 --> 01:14:49.070]  yeah it's just the weeds, you know the weed grows really well in our region, like you guys know and yeah we're just you know we've still we're doing it and we're still doing it and yeah I don't see anything really changing a lot of the people that I know didn't.
[01:14:50.070 --> 01:15:00.070]  assimilate into the regulated market they're still here they didn't sell their land they didn't bow out to Tahiti with their pelican containers full of cash like the planning department thinks they have.
[01:15:01.070 --> 01:15:15.070]  And you know a lot of these people are just you know, making enough money to feed their families and to get by and to put food on the table and buy sneakers and all the stuff that kids require these days and that's the reality of Humboldt these days is the times of when.
[01:15:16.070 --> 01:15:27.070]  guys were here making millions of dollars and you could come here in one year and make a million bucks that's gone we've all been reduced to smaller amounts and if you're even growing these days you're like a superstar.
[01:15:28.070 --> 01:15:31.070]  yeah speaking of which do you guys want to see my plants.
[01:15:32.070 --> 01:15:33.070]  I would love to.
[01:15:34.070 --> 01:15:37.070]  Five little plants I guess you have to enable the screen sharing.
[01:15:39.070 --> 01:15:41.070]  yeah yeah hold on.
[01:15:43.070 --> 01:15:48.070]  I really resonate with what you just said, though i'm like oh that reminds me, I should show you my seed plants.
[01:15:49.070 --> 01:15:51.070]  Okay, do you see that you can now share your screen.
[01:15:51.070 --> 01:15:57.070]  And while you're looking for Robert can you talk about the scene on your on your hill like our people.
[01:15:58.070 --> 01:16:04.070]  Like do you does everybody know each other is a communal are you guys like swapping seeds and clones and.
[01:16:05.070 --> 01:16:07.070]  Okay, so what am I doing their own business.
[01:16:08.070 --> 01:16:12.070]  yeah it's a great question and so when I when I bought my land in 2000.
[01:16:13.070 --> 01:16:15.070]  And just quickly, those are your five plants they're huge.
[01:16:15.070 --> 01:16:18.070]  Yeah I had one male so I ended up only with five.
[01:16:19.070 --> 01:16:22.070]  Wow they look awesome incredible monsters.
[01:16:23.070 --> 01:16:26.070]  The three in the back there's three in the back and there's actually only like one that's.
[01:16:27.070 --> 01:16:29.070]  you're you're either three feet taller they're enormous.
[01:16:30.070 --> 01:16:31.070]  Yes, right.
[01:16:32.070 --> 01:16:33.070]  And I don't think you're three feet tall.
[01:16:34.070 --> 01:16:44.070]  I actually buy my seeds from an old timer who hasn't come into compliance, I like to support small mom and pop businesses this strain is, I think, you can see it's a little bit of a.
[01:16:45.070 --> 01:16:52.070]  I think she calls it something like river og but it's a really rare strain and it's prolific.
[01:16:53.070 --> 01:17:01.070]  yeah these are just amazing and I love composting I do all my own like composting and i'm really into it soil building living.
[01:17:02.070 --> 01:17:05.070]  And, and are you imminently about to chop or have you already chopped.
[01:17:06.070 --> 01:17:08.070]  No, these are like four weeks away, I would say.
[01:17:09.070 --> 01:17:10.070]  Oh wow okay.
[01:17:10.070 --> 01:17:11.070]  phenomenal.
[01:17:12.070 --> 01:17:17.070]  bless your heart, thanks I wish I had more space and you know the legal right to grow more.
[01:17:18.070 --> 01:17:25.070]  So big middle finger to the government when they say you can only grow six plants and you're like I can grow some oak tree size plan right.
[01:17:26.070 --> 01:17:27.070]  Right, I think there's.
[01:17:27.070 --> 01:17:36.070]  So Peter back to your question about in the early 2000s when I bought my land in 2000 our Community here on the mountain was a lot more cohesive.
[01:17:36.070 --> 01:17:46.070]  And we used to have barbecues and we would have Super Bowl parties and the neighbors got together a lot more and we would share seeds and we would share genetics.
[01:17:47.070 --> 01:17:55.070]  And then what happened was is the green rush started and when the green rush started people got a little bit greedier and they started putting out a little bit more.
[01:17:56.070 --> 01:18:02.070]  And they put in gates where there hadn't been gates before when they started keeping those gates locked and closed.
[01:18:03.070 --> 01:18:11.070]  And there started being less parties, because everyone was working so hard and there started being less Super Bowl parties and barbecues and just get togethers.
[01:18:11.070 --> 01:18:17.070]  Where we would get together and see each other's faces and the green rush went on for a while, like we know.
[01:18:17.070 --> 01:18:25.070]  And it attracted more people to everyone's properties, and so there was more traffic on the road, there was more supply trucks coming in.
[01:18:25.070 --> 01:18:32.070]  There was more stuff being delivered, and you know we're talking about country roads that don't have capacity for these large trucks.
[01:18:33.070 --> 01:18:43.070]  You know, to be going up and down all the time, and it seems like over time the relationships between the neighbors began to deteriorate.
[01:18:43.070 --> 01:18:50.070]  And it began to deteriorate for a number of reasons, but there just wasn't the cohesion like there was when I first got my land.
[01:18:50.070 --> 01:18:58.070]  And I've seen this in other mountains too, because I go to other mountains, I'm not just on my mountain and so I've worked in other communities.
[01:18:58.070 --> 01:19:08.070]  I have lots of friends countywide in all three of the counties, and I feel like this is a common thing that I hear from a lot of growing communities in the Emerald Triangle.
[01:19:08.070 --> 01:19:18.070]  That kind of the neighborhood cohesion kind of deteriorated over time, and now I feel like it's trying to rebuild a little bit, but it's hard because we're all pegged against each other.
[01:19:18.070 --> 01:19:25.070]  Because there's the legal market, and then there's kind of the traditional market, and maybe not everyone sees eye to eye like they used to.
[01:19:26.070 --> 01:19:38.070]  Yeah, I was just talking to an advocate friend, a cannabis advocate, and she was explaining a scene at her family reunion where she's got across the board, you know, every type of farmer in the community.
[01:19:38.070 --> 01:19:45.070]  We've got the mega permitted growers, we've got the small abated farmers, you've got just people at odds.
[01:19:45.070 --> 01:19:51.070]  They were just standing, she said, around with their arms folded and glaring at each other. Isn't that so sad?
[01:19:51.070 --> 01:19:52.070]  It's really sad.
[01:19:52.070 --> 01:19:59.070]  We talk about the cultural loss here. This place is so rare. That's the biggest issue for me, I think.
[01:19:59.070 --> 01:20:06.070]  Beyond the land rights, property rights, medical cannabis rights, growing your own food, all of those rights.
[01:20:06.070 --> 01:20:15.070]  That's the biggest issue for me, the loss of a unique altruistic culture that really doesn't exist anywhere else in America that I know of.
[01:20:15.070 --> 01:20:17.070]  I agree 100%.
[01:20:18.070 --> 01:20:31.070]  Ed, were you smoking cannabis back in the 60s with Jerry Garcia and the Dead and Yorma Kaukonen and Hot Tuna and Traffic and Jimi Hendrix and...
[01:20:31.070 --> 01:20:41.070]  Well, Peter, I have to tell you this, only my close friends know, so I count you among my close friends.
[01:20:41.070 --> 01:20:43.070]  You're live on YouTube.
[01:20:44.070 --> 01:20:46.070]  I don't smoke pot.
[01:20:46.070 --> 01:20:54.070]  I have never smoked pot, except when I went to see Coriana Scotzi.
[01:20:54.070 --> 01:21:03.070]  A couple of friends dragged me into a doorway, got me stoned, and pushed me into the theater.
[01:21:03.070 --> 01:21:16.070]  During my college days in Berkeley in the 60s, I was much more into peyote and LSD, those things.
[01:21:16.070 --> 01:21:27.070]  But I suppose the reason I get involved in all this is not because I love pot.
[01:21:27.070 --> 01:21:30.070]  I'm sort of a libertarian.
[01:21:30.070 --> 01:21:38.070]  I don't think it's up to me or society to say, no, you can't have this medicine.
[01:21:38.070 --> 01:21:44.070]  No, you can't grow on your own land like that.
[01:21:44.070 --> 01:21:51.070]  I was an activist up here for 10 or 15 years before I became a lawyer.
[01:21:51.070 --> 01:21:55.070]  That's why I find it ironic that you have...
[01:21:55.070 --> 01:21:59.070]  It's like Democrat, Republican, Libertarian.
[01:21:59.070 --> 01:22:05.070]  You have people who don't act in kind of how they label themselves.
[01:22:05.070 --> 01:22:12.070]  A lot of these Northern counties, I'm guessing, have a lot of Libertarians, and yet they're...
[01:22:12.070 --> 01:22:14.070]  You can't grow your six plants.
[01:22:14.070 --> 01:22:15.070]  You can't do this.
[01:22:15.070 --> 01:22:16.070]  You can't do that.
[01:22:16.070 --> 01:22:18.070]  And it's like, aren't you guys Libertarians?
[01:22:19.070 --> 01:22:21.070]  What's going on?
[01:22:21.070 --> 01:22:22.070]  Yeah.
[01:22:22.070 --> 01:22:23.070]  Yeah.
[01:22:23.070 --> 01:22:26.070]  That has been strange.
[01:22:26.070 --> 01:22:34.070]  We have one supervisor in the early years of this millennium, Roger Rodoni.
[01:22:34.070 --> 01:22:47.070]  He was a cattle rancher, Libertarian, who helped push through some really good ordinances here in the county for growers.
[01:22:48.070 --> 01:22:53.070]  But a few years back, he was killed in an automobile accident.
[01:22:53.070 --> 01:22:59.070]  And since then, the board has been less useful.
[01:23:01.070 --> 01:23:03.070]  Roger was a great supervisor.
[01:23:03.070 --> 01:23:12.070]  He was head of the Cattlemen's Association and a big proponent of legalizing cannabis.
[01:23:13.070 --> 01:23:22.070]  Just quickly, Nicole, people want to know, and this is specifically the big cush, when did she start the plants from seed?
[01:23:22.070 --> 01:23:24.070]  Must be early March or February.
[01:23:24.070 --> 01:23:27.070]  So when did you start those?
[01:23:27.070 --> 01:23:29.070]  You're muted.
[01:23:29.070 --> 01:23:30.070]  You're muted.
[01:23:30.070 --> 01:23:31.070]  Sorry about that.
[01:23:31.070 --> 01:23:32.070]  This year, actually, I bought...
[01:23:32.070 --> 01:23:33.070]  Forgive me.
[01:23:33.070 --> 01:23:38.070]  I usually buy seeds from her, but because I didn't have a greenhouse, I actually bought seed starts from her.
[01:23:38.070 --> 01:23:41.070]  And I believe she starts in February.
[01:23:41.070 --> 01:23:43.070]  We're all on the biodynamic calendar.
[01:23:43.070 --> 01:23:47.070]  So whenever the full moon was or the full moon, yeah.
[01:23:47.070 --> 01:23:48.070]  Yeah.
[01:23:48.070 --> 01:23:49.070]  So talk about...
[01:23:49.070 --> 01:23:52.070]  So those are just straight into the ground.
[01:23:52.070 --> 01:23:54.070]  Well, she started them.
[01:23:54.070 --> 01:23:58.070]  No, these seeds are not straight into the ground, I wish I could do that.
[01:23:58.070 --> 01:24:00.070]  So they're in pots?
[01:24:00.070 --> 01:24:01.070]  They were in pots.
[01:24:01.070 --> 01:24:03.070]  Oh, yeah, they're in the ground now.
[01:24:03.070 --> 01:24:04.070]  Right now.
[01:24:04.070 --> 01:24:05.070]  Yeah, yeah, yeah.
[01:24:05.070 --> 01:24:06.070]  That's what I'm talking about.
[01:24:06.070 --> 01:24:07.070]  Yeah, yeah, yeah.
[01:24:07.070 --> 01:24:10.070]  So they're in the ground, like 13 feet tall.
[01:24:10.070 --> 01:24:14.070]  And are you just watering them?
[01:24:14.070 --> 01:24:15.070]  Are you putting water?
[01:24:15.070 --> 01:24:18.070]  Are you any amendments?
[01:24:18.070 --> 01:24:20.070]  It's completely organic.
[01:24:20.070 --> 01:24:24.070]  I go to this beautiful garden store called the Beneficial Living Center.
[01:24:24.070 --> 01:24:28.070]  And they use all locally sourced products.
[01:24:28.070 --> 01:24:33.070]  My friend owns the company, and he makes all of the products with local companies.
[01:24:33.070 --> 01:24:36.070]  You can bring your plastic containers in even and refill them.
[01:24:36.070 --> 01:24:40.070]  So all the fish is coming from the fish guy, and they're making fish hydrolysate.
[01:24:40.070 --> 01:24:43.070]  And then I make my own compost teas on site.
[01:24:43.070 --> 01:24:50.070]  I've got a great recipe from them, worm castings, compost, bokashi.
[01:24:50.070 --> 01:24:52.070]  I'm really into bokashi these days.
[01:24:52.070 --> 01:24:55.070]  I just think that's like the ticket to growing the best tea.
[01:24:55.070 --> 01:25:00.070]  We're going to be talking bokashi tomorrow with Brandon from Bokashi Earthworks.
[01:25:00.070 --> 01:25:01.070]  Oh, beautiful.
[01:25:01.070 --> 01:25:02.070]  Yeah.
[01:25:02.070 --> 01:25:05.070]  So I use a lot of bokashi.
[01:25:05.070 --> 01:25:06.070]  What else?
[01:25:06.070 --> 01:25:12.070]  Frass, insect castings, or whatever they're called, nematodes.
[01:25:12.070 --> 01:25:14.070]  I'm all about beneficial.
[01:25:14.070 --> 01:25:16.070]  As you can see, I'm growing food.
[01:25:16.070 --> 01:25:19.070]  Well, the food's behind the cannabis mostly.
[01:25:19.070 --> 01:25:27.070]  But I have to have everything organic, of course, out of principle and because I eat out of pure, too.
[01:25:27.070 --> 01:25:32.070]  And if you were to guesstimate how many pounds you'll get per plant?
[01:25:32.070 --> 01:25:33.070]  Don't do it.
[01:25:33.070 --> 01:25:34.070]  I undercut it.
[01:25:34.070 --> 01:25:39.070]  I don't think there's that much there, really.
[01:25:39.070 --> 01:25:46.070]  I would say maybe a pound each or something like that.
[01:25:46.070 --> 01:25:47.070]  Yeah.
[01:25:47.070 --> 01:25:56.070]  Not enough for someone who has arthritis or sleeping issues or a broken spine at one point, broken feet.
[01:25:56.070 --> 01:25:57.070]  Yeah.
[01:25:57.070 --> 01:26:00.070]  I use cannabis medicinally for pain.
[01:26:01.070 --> 01:26:04.070]  It won't be enough to cover my need this year, I don't think.
[01:26:04.070 --> 01:26:07.070]  And there's other people living there, too.
[01:26:07.070 --> 01:26:10.070]  They also have pain.
[01:26:10.070 --> 01:26:16.070]  And do you have any issues?
[01:26:16.070 --> 01:26:21.070]  To me, if I were a breastfeeding mother, I would have no problem.
[01:26:21.070 --> 01:26:29.070]  If you're in pain and choice A is to take a Tylenol and choice B is to take a hit, I'd personally rather take the hit and breastfeed my baby.
[01:26:29.070 --> 01:26:30.070]  Oh, yeah.
[01:26:30.070 --> 01:26:32.070]  Actually, there's been one study.
[01:26:32.070 --> 01:26:37.070]  Because of the illegality of it, people don't get to study this.
[01:26:37.070 --> 01:26:42.070]  But in O'Shaughnessy's, are you guys familiar with that cannabis publication?
[01:26:42.070 --> 01:26:43.070]  Yeah.
[01:26:43.070 --> 01:26:44.070]  Okay.
[01:26:44.070 --> 01:26:45.070]  They did a great spread.
[01:26:45.070 --> 01:26:52.070]  In fact, my midwife, she is friends with the nurse and anthropologist who did the only study on this issue.
[01:26:53.070 --> 01:27:05.070]  She writes in O'Shaughnessy the whole research and everything that she discovered, which was breastfeeding mothers and their children are actually better off in a lot of ways.
[01:27:05.070 --> 01:27:07.070]  There's no adverse impacts.
[01:27:07.070 --> 01:27:10.070]  And the people that were funding it were working with Congress.
[01:27:10.070 --> 01:27:13.070]  And that's not what Congress wanted them to find.
[01:27:13.070 --> 01:27:15.070]  So they cut down the funding.
[01:27:15.070 --> 01:27:17.070]  And they couldn't finish the study.
[01:27:17.070 --> 01:27:19.070]  So that's kind of how that works.
[01:27:20.070 --> 01:27:24.070]  Prior to legalization in 2017, there had been studies done in Jamaica.
[01:27:24.070 --> 01:27:25.070]  Exactly.
[01:27:25.070 --> 01:27:26.070]  Yeah.
[01:27:26.070 --> 01:27:27.070]  Yeah.
[01:27:27.070 --> 01:27:29.070]  And so it has been studied.
[01:27:29.070 --> 01:27:32.070]  And like she said, there really isn't any known adverse effects.
[01:27:32.070 --> 01:27:34.070]  I actually have two boys.
[01:27:34.070 --> 01:27:35.070]  One's nine.
[01:27:35.070 --> 01:27:36.070]  I have three boys.
[01:27:36.070 --> 01:27:41.070]  But of my older boys, my nine-year-old and my 11-year-old, they were both breastfed babies.
[01:27:41.070 --> 01:27:45.070]  And the mom did use cannabis during the time.
[01:27:45.070 --> 01:27:47.070]  Not excessively, just medicinally.
[01:27:48.070 --> 01:27:53.070]  And both of my boys are perfect specimens, textbook children.
[01:27:53.070 --> 01:27:54.070]  Yeah.
[01:27:54.070 --> 01:27:56.070]  Are you biased?
[01:27:56.070 --> 01:27:58.070]  Yeah, I would say so.
[01:27:58.070 --> 01:28:01.070]  Yeah.
[01:28:01.070 --> 01:28:14.070]  So just quickly, Nicole, sustainable reapings, Ed, or is she bokashi composting and adding top dressing with it or adding the bokashi into the soil?
[01:28:14.070 --> 01:28:16.070]  All of the above.
[01:28:17.070 --> 01:28:20.070]  I do bokashi in my compost tea, in my compost tea bag.
[01:28:20.070 --> 01:28:27.070]  I put about three cups, if I've got enough of it, in a, what are they, three-gallon bags or something like that.
[01:28:27.070 --> 01:28:29.070]  I'll put like three cups in there.
[01:28:29.070 --> 01:28:32.070]  If you want my quick recipe for compost tea, it's pretty simple.
[01:28:32.070 --> 01:28:33.070]  Let's do it.
[01:28:33.070 --> 01:28:37.070]  You just do half worm castings to double compost, basically.
[01:28:37.070 --> 01:28:42.070]  Around four cups worm casting to ten cups of compost.
[01:28:42.070 --> 01:28:43.070]  Mix it up.
[01:28:43.070 --> 01:28:45.070]  The more biodiversity you've got, the better.
[01:28:45.070 --> 01:28:51.070]  Like use the biodynamic compost and then use compost from your backyard.
[01:28:51.070 --> 01:28:56.070]  And then, especially your backyard, in fact, the better, the more localized you can get, the better off it'll be.
[01:28:56.070 --> 01:29:01.070]  And then I put in, like I said, frass, which is just insects.
[01:29:01.070 --> 01:29:03.070]  What else?
[01:29:03.070 --> 01:29:09.070]  And is the frass something you're doing on your property or are you just buying it from that store you mentioned?
[01:29:09.070 --> 01:29:13.070]  I'm buying it from the Beneficial Living Center, which they locally source it all.
[01:29:14.070 --> 01:29:15.070]  It's their product.
[01:29:15.070 --> 01:29:21.070]  Because I have tons of black soldier flies and worms.
[01:29:21.070 --> 01:29:23.070]  You should call Seth.
[01:29:23.070 --> 01:29:25.070]  They're munching away.
[01:29:25.070 --> 01:29:27.070]  I have the leachate.
[01:29:27.070 --> 01:29:29.070]  I have the castings.
[01:29:29.070 --> 01:29:31.070]  Yeah.
[01:29:31.070 --> 01:29:33.070]  Oh, biochar.
[01:29:33.070 --> 01:29:35.070]  You cannot forget biochar.
[01:29:35.070 --> 01:29:36.070]  Oh, my goodness.
[01:29:36.070 --> 01:29:37.070]  How could I forget that?
[01:29:37.070 --> 01:29:38.070]  Put a cup of biochar in there.
[01:29:38.070 --> 01:29:40.070]  It's amazing.
[01:29:41.070 --> 01:29:43.070]  I know I'm forgetting stuff.
[01:29:43.070 --> 01:29:45.070]  Aminos.
[01:29:45.070 --> 01:29:49.070]  I've got, like, these finite minerals.
[01:29:49.070 --> 01:29:54.070]  And I think that might be it.
[01:29:54.070 --> 01:29:56.070]  Nematodes, like I mentioned.
[01:29:56.070 --> 01:29:58.070]  Bacillus.
[01:29:58.070 --> 01:30:00.070]  There's a lot of inoculants that you can do.
[01:30:00.070 --> 01:30:05.070]  But definitely check out the Beneficial Living Center and talk to Seth if you've got questions.
[01:30:05.070 --> 01:30:07.070]  He's so helpful.
[01:30:08.070 --> 01:30:10.070]  And he's got a great store in Arcata, California.
[01:30:10.070 --> 01:30:11.070]  That is a great store.
[01:30:11.070 --> 01:30:13.070]  Yeah.
[01:30:13.070 --> 01:30:22.070]  And he can actually punch in your soil sample and then tell you how many cups of everything to put in your garden, your actual soil, doing the top dressing, et cetera.
[01:30:22.070 --> 01:30:24.070]  So kind of what your deficiencies are.
[01:30:24.070 --> 01:30:25.070]  Exactly.
[01:30:25.070 --> 01:30:28.070]  He'll customize the prescription.
[01:30:28.070 --> 01:30:29.070]  Yeah.
[01:30:29.070 --> 01:30:30.070]  It's pretty cool.
[01:30:30.070 --> 01:30:32.070]  It's pretty cool.
[01:30:32.070 --> 01:30:35.070]  And Robert, what do you ...?
[01:30:36.070 --> 01:30:38.070]  So I run Compost Teas as well.
[01:30:38.070 --> 01:30:40.070]  I run a strictly organic program.
[01:30:40.070 --> 01:30:43.070]  I have, you know, the whole time I've been growing cannabis.
[01:30:43.070 --> 01:30:50.070]  I was trained in 1996 at Kohalo Organics, which was an organic salad green farm in Hawi, Hawaii.
[01:30:50.070 --> 01:30:55.070]  I studied with the master grower there.
[01:30:55.070 --> 01:30:58.070]  And he trained us in organic agriculture.
[01:30:58.070 --> 01:31:00.070]  His name was Dan Trumpy.
[01:31:01.070 --> 01:31:08.070]  And so I've carried that into my cannabis growing pretty much my whole career.
[01:31:08.070 --> 01:31:10.070]  I, too, like to use compost tea.
[01:31:10.070 --> 01:31:15.070]  I have a real simple recipe as well, kind of like Nicole was just describing.
[01:31:15.070 --> 01:31:18.070]  And, yeah, I use all organic amendments.
[01:31:19.070 --> 01:31:34.070]  I found that my soil that I trucked in over 20 years ago from McClellan Mountain Ranch, which was a place we used to locally source soil out Highway 36, that the soil has gotten better over the years.
[01:31:35.070 --> 01:31:39.070]  And I don't even have to put very much amendments back into it these days.
[01:31:39.070 --> 01:31:48.070]  And the soil biology has kind of just gotten to this real equilibrium where I don't find myself needing to add as much as I used to.
[01:31:48.070 --> 01:31:50.070]  And the plants do phenomenal.
[01:31:50.070 --> 01:31:55.070]  And, yeah, a real similar program to what she was just describing.
[01:31:55.070 --> 01:31:57.070]  And companion planting.
[01:31:57.070 --> 01:31:59.070]  Yeah, everyone's got to do companion planting.
[01:31:59.070 --> 01:32:00.070]  It's just the best.
[01:32:00.070 --> 01:32:03.070]  Nasturtiums, parsley, basil.
[01:32:03.070 --> 01:32:06.070]  What are the other companion plants?
[01:32:06.070 --> 01:32:07.070]  Marigolds.
[01:32:07.070 --> 01:32:08.070]  Marigolds, of course.
[01:32:08.070 --> 01:32:09.070]  Calendula.
[01:32:09.070 --> 01:32:11.070]  The bugs will all go over there.
[01:32:11.070 --> 01:32:12.070]  Yeah.
[01:32:12.070 --> 01:32:13.070]  Totally.
[01:32:13.070 --> 01:32:14.070]  Yeah, we found mint as well.
[01:32:14.070 --> 01:32:15.070]  We'll grow mint sometimes.
[01:32:15.070 --> 01:32:16.070]  Yeah.
[01:32:16.070 --> 01:32:17.070]  I wonder if that's...
[01:32:17.070 --> 01:32:19.070]  Yeah, I had no issues this year whatsoever.
[01:32:19.070 --> 01:32:22.070]  I barely had to spray any preventative.
[01:32:22.070 --> 01:32:28.070]  Do you, with your mint, do you keep it tamed in a pot?
[01:32:28.070 --> 01:32:30.070]  Because those roots are vicious.
[01:32:31.070 --> 01:32:36.070]  It's in a big bed, and it does spread, but I found it just spreads along the edge.
[01:32:36.070 --> 01:32:39.070]  It doesn't go into the interior of my bed.
[01:32:39.070 --> 01:32:43.070]  And so what we'll do is if it starts getting out of control, we'll cut it back.
[01:32:43.070 --> 01:32:46.070]  But, yeah, it comes back every year.
[01:32:46.070 --> 01:32:49.070]  It's probably been there for, you know, almost 20 years.
[01:32:49.070 --> 01:32:54.070]  And so, yeah, I don't contain it in a container, no.
[01:32:54.070 --> 01:32:58.070]  It's in a big soil bed that I have.
[01:32:58.070 --> 01:33:00.070]  I like when stuff like that comes up.
[01:33:00.070 --> 01:33:05.070]  You know, like cilantro sometimes will show itself, and I'll have, like, asparagus that I had years ago.
[01:33:05.070 --> 01:33:07.070]  Sometimes it'll show itself.
[01:33:07.070 --> 01:33:13.070]  And I feel like that's good, you know, to have kind of the polyculture, you know, effect going on.
[01:33:13.070 --> 01:33:14.070]  Oh, yeah.
[01:33:14.070 --> 01:33:16.070]  Plants prefer that, definitely.
[01:33:16.070 --> 01:33:19.070]  And actually, that's one problem with legalization, too.
[01:33:19.070 --> 01:33:27.070]  You go to permitted farms, and because you're paying for every square foot with taxes and everything, you're encouraged to monocrop.
[01:33:27.070 --> 01:33:29.070]  So just shove everything in one spot.
[01:33:29.070 --> 01:33:32.070]  And the farmers don't like it, the real farmers.
[01:33:32.070 --> 01:33:33.070]  They know better.
[01:33:33.070 --> 01:33:35.070]  They want to put their mint.
[01:33:35.070 --> 01:33:39.070]  They want to do all of these things, but they're going to be charged for every foot.
[01:33:39.070 --> 01:33:40.070]  Sure.
[01:33:40.070 --> 01:33:43.070]  Which is not a part of the culture here, either.
[01:33:43.070 --> 01:33:53.070]  I mean, when I think of Humboldt, I think of a 20-foot plant or a 10-foot plant with all the food around it and, you know, scattered about the hillside.
[01:33:53.070 --> 01:33:54.070]  Biodiversity.
[01:33:54.070 --> 01:33:55.070]  Yeah.
[01:33:55.070 --> 01:34:03.070]  So the commentary as we move to living soil ideas and concepts in the chat is coming alive.
[01:34:03.070 --> 01:34:04.070]  Sustainable.
[01:34:04.070 --> 01:34:19.070]  So first of all, Greg McAllister, who's in Hawaii, since you just mentioned Hawaii, he said biochar needs to be bioactivated first and then kind of a 5% in the mix is, I guess, his target recommendation.
[01:34:19.070 --> 01:34:21.070]  Yeah.
[01:34:21.070 --> 01:34:38.070]  And then Sustainable Reapings Ed said, if digging through my fungal compost and I find a deposit of like almond yellow rust colored stuff, isn't that humix or fulvic acid deposits?
[01:34:38.070 --> 01:34:40.070]  I would not know.
[01:34:40.070 --> 01:34:42.070]  But it sounds like it could be.
[01:34:42.070 --> 01:34:46.070]  That's what my fulvic and my finite minerals look like.
[01:34:46.070 --> 01:34:51.070]  So maybe hit up the BLC. Just give Seth a call and ask him.
[01:34:51.070 --> 01:34:56.070]  He'll let you know. Or check out a soil sample analysis, maybe.
[01:34:56.070 --> 01:35:02.070]  Jason E. also has caterpillars like Tom.
[01:35:02.070 --> 01:35:06.070]  Yeah, there are parasitic wasps.
[01:35:06.070 --> 01:35:18.070]  And then what is it the B, the B, BT or BI or, which is a spray.
[01:35:18.070 --> 01:35:30.070]  Yeah, at this point, I saw your video at this point you just want to kind of hand pluck them like you guys were doing. You don't really want to spray anything on your plants this far into flowering, right, even though, even though some people have this year, I actually
[01:35:31.070 --> 01:35:38.070]  I was talking to a doctor at the Chevron in Garberville the other day. And it seems like because of low light intensity.
[01:35:38.070 --> 01:35:49.070]  He's been out and about spraying people's plants and flowering, but that's not something I would recommend and I would just pick off the, the caterpillars as necessary as you encounter them.
[01:35:49.070 --> 01:35:52.070]  Oh, I've been bug hunting. All right.
[01:35:52.070 --> 01:35:56.070]  Robert, I want to come up and visit you sometime. This is Tom.
[01:35:57.070 --> 01:35:58.070]  Anytime Tom.
[01:35:58.070 --> 01:36:08.070]  Thank you so much. I have a question for you. You sound like a really great candidate for the new appellation program so I'm kind of curious what you feel about it.
[01:36:08.070 --> 01:36:20.070]  You know, I'm very interested in it, but because I still run a traditional scene, I think they're really shooting for the people that have kind of stepped into the light and went for the
[01:36:21.070 --> 01:36:39.070]  permit jazz. I know Jesse who I mentioned earlier, Jesse Dodd, he's working on that committee, if I remember correctly, and it sounded like they just recently got their funding to set up some weather stations on these regenerative farms that exist in our communities
[01:36:40.070 --> 01:36:59.070]  So they have real information as far as weather data to be able to compile for this, for this project for the appellation project. I think the appellation project is is a great thing. And I think it definitely could help our community. I don't know how it's all going to play out but it seems like it's a great idea from the onslaught.
[01:37:00.070 --> 01:37:07.070]  So back to you quickly because you really sound like an incredible addition to your community into the industry.
[01:37:10.070 --> 01:37:18.070]  Where do you see yourself in and you're not old, you know, you got, you know, you're, where do you see yourself in five years.
[01:37:19.070 --> 01:37:38.070]  Yeah, you know what, I was born in 78 I'm only 42 years old I've lived here since 1997. And so I've, I've lived my whole entire adult life in Humboldt County I think I moved here when I was 18 years old in a in a Volkswagen bus in a 1978 Volkswagen bus.
[01:37:38.070 --> 01:37:56.070]  I lived at clam beach for a minute and plugged into the community by 2000 I own my land, where do I see myself in five years you know I really don't know I don't see myself wanting to assimilate into the, the licensing system as it stands right now because I've seen
[01:37:56.070 --> 01:38:07.070]  neighbors and friends that are in it and they're just so disgruntled with the way things are running that I don't need the additional stress in my life, like, like, I have enough stress.
