[00:00.250 --> 00:03.890]  All right, take two.
[01:24:07.680 --> 01:24:11.760]  that's happened in the world and life and all that kind of stuff that whole time.
[01:24:11.760 --> 01:24:12.960]  Duke is behind bars.
[01:24:12.960 --> 01:24:15.600]  The whole thing, he gets out after all of that.
[01:24:15.600 --> 01:24:19.520]  And from a variety of different podcasts, the way he's reaching out, what does he do
[01:24:19.520 --> 01:24:20.160]  with his time?
[01:24:20.160 --> 01:24:21.360]  He's back at educating.
[01:24:22.640 --> 01:24:26.400]  And unfortunately he doesn't really have a lot of his work to be able to start to profit
[01:24:26.400 --> 01:24:27.040]  off of things.
[01:24:27.920 --> 01:24:29.840]  He's just a gentleman that always gives his time.
[01:24:29.840 --> 01:24:32.880]  And that's why I'm one of the biggest proponents.
[01:24:32.880 --> 01:24:37.920]  Hopefully, like, you know, individuals start to see that we have to kind of almost in a
[01:24:37.920 --> 01:24:40.960]  way, almost vote for our politicians in this industry.
[01:24:40.960 --> 01:24:43.040]  We, not everybody has a voice.
[01:24:43.040 --> 01:24:47.040]  So we need to have some people out there that just continue to speak the truth, whether
[01:24:47.040 --> 01:24:49.280]  that offends some individuals or not.
[01:24:49.280 --> 01:24:53.840]  I still feel like you need those type of people that are going to step up, be leaders, talk
[01:24:53.840 --> 01:24:56.960]  about when things are fucked up, talk about when things are great.
[01:24:56.960 --> 01:25:01.600]  And I feel like Duke is a gentleman that's definitely worthy of carrying that flag among
[01:25:02.160 --> 01:25:04.000]  other individuals in the industry.
[01:25:04.720 --> 01:25:10.320]  I just, for a lot of newer farmers, they might not know that, you know, that he was around
[01:25:10.320 --> 01:25:14.960]  because unfortunately, you know, he was locked up for basically two years.
[01:25:15.680 --> 01:25:19.520]  So I just wanted to add that little caveat that, you know, can you imagine all the things
[01:25:19.520 --> 01:25:20.240]  you would want to do?
[01:25:21.120 --> 01:25:25.760]  He's obviously at a halfway house right now and then things will obviously improve and
[01:25:25.760 --> 01:25:27.840]  he'll be able to get back to what he's trying to do.
[01:25:27.840 --> 01:25:33.520]  But the fact that he's just continuing to tell stories, give out information and give
[01:25:33.520 --> 01:25:38.080]  his time to the community is exactly why so many people rock with him.
[01:25:38.080 --> 01:25:40.240]  I mean, it's just, there's your proof right there.
[01:25:40.240 --> 01:25:41.360]  Definitely.
[01:25:41.360 --> 01:25:45.120]  Like this is my first time meeting him and I definitely rock with him.
[01:25:46.240 --> 01:25:47.680]  First of all, he knows his shit.
[01:25:47.680 --> 01:25:52.880]  I can see that right away from talking to him and just overall love, man, from the community.
[01:25:52.960 --> 01:25:58.400]  You know, somebody with that much love, just fresh out, you know, that was a good person.
[01:25:58.400 --> 01:26:02.720]  So definitely glad to see this man out, looking forward to being able to talk to him some
[01:26:02.720 --> 01:26:04.480]  more on his breeding.
[01:26:04.480 --> 01:26:09.440]  It's so crazy for me, man, being in Virginia and he's throwing out years like 98, you know
[01:26:09.440 --> 01:26:09.760]  what I mean?
[01:26:09.760 --> 01:26:16.720]  That's when I was pretty much young buck, just starting my thing out on my own little
[01:26:16.720 --> 01:26:17.360]  world, man.
[01:26:17.360 --> 01:26:21.680]  And he was right there 20 miles away, right, you know, right down the road.
[01:26:21.680 --> 01:26:26.320]  So it's so crazy how apparently, you know, you're going through life, man, how you can
[01:26:26.320 --> 01:26:31.120]  be so close to being with somebody and then you never really touch them until the time
[01:26:31.120 --> 01:26:31.520]  is right.
[01:26:31.520 --> 01:26:34.800]  So I'm glad that brother is here, man.
[01:26:34.800 --> 01:26:36.560]  I'm glad I'm getting to know him.
[01:26:36.560 --> 01:26:37.120]  It's awesome.
[01:26:38.960 --> 01:26:43.360]  I was really stoked that you asked him, Brian, about the trichomes and to kind of break things
[01:26:43.360 --> 01:26:45.520]  down on a basic level.
[01:26:45.520 --> 01:26:51.360]  It's amazing when you find a person of his caliber that is able to relate that.
[01:26:51.360 --> 01:26:56.560]  So easily and understandable to somebody who's never touched the plant, because again,
[01:26:56.560 --> 01:26:59.040]  exactly his point, don't touch the plant.
[01:26:59.040 --> 01:27:03.920]  But that's your initial reaction for any home grower, you know, anybody trying to get started.
[01:27:03.920 --> 01:27:05.120]  That's what you want to do.
[01:27:05.120 --> 01:27:06.000]  You want to smell it.
[01:27:06.000 --> 01:27:12.640]  So he expanded on a lot of awesome things there that you asked, but it was completely
[01:27:13.200 --> 01:27:14.960]  approachable and understandable.
[01:27:14.960 --> 01:27:16.400]  So that's very refreshing.
[01:27:17.280 --> 01:27:22.960]  Yeah, and unfortunately, the gentleman that used to run the Indo Expo, he was really big
[01:27:22.960 --> 01:27:24.800]  on the educational side of things.
[01:27:25.440 --> 01:27:29.360]  And that's another place where I felt like Duke and a few other breeders out there really
[01:27:29.360 --> 01:27:33.920]  started to shine within the community because they had a small platform where there was
[01:27:33.920 --> 01:27:34.800]  an hour or two.
[01:27:35.520 --> 01:27:39.360]  And then it seemed like every year, you know, Indo Expo was kind of like this annual thing
[01:27:40.080 --> 01:27:43.600]  and it was starting to kind of be like the best of the best breeders would go up there
[01:27:44.320 --> 01:27:48.720]  or the hottest breeder maybe of that year would go up there with panels and you would
[01:27:48.720 --> 01:27:50.720]  get to kind of pick their brains and stuff like that.
[01:27:50.720 --> 01:27:55.760]  And time after time after time, the number one requested person was Duke.
[01:27:55.760 --> 01:28:01.360]  And I feel like it shows because he is maybe more of a southerner, you know, that he's
[01:28:01.360 --> 01:28:06.080]  not he's not trying to impress anybody with his big words.
[01:28:06.080 --> 01:28:10.400]  But at the same time, if you really listen to him speak, there's extreme wisdom in a
[01:28:10.400 --> 01:28:12.480]  variety of things that he talks about.
[01:28:13.200 --> 01:28:16.560]  If he comes back on, I was actually hoping that he could talk about a few things that
[01:28:16.560 --> 01:28:22.640]  he shared on the Adam Dunn show so that people that do kind of gamble with their life, play
[01:28:22.640 --> 01:28:24.080]  with things in ways.
[01:28:24.080 --> 01:28:29.040]  Marco, you and I kind of talked about that on a different show and was hopefully gave
[01:28:29.040 --> 01:28:30.800]  some guidance that people want to do that.
[01:28:31.440 --> 01:28:37.040]  But the real things that happen and that go on in prison are extremely scary to someone
[01:28:37.040 --> 01:28:43.600]  that's never experienced that or to actually see real violence is extremely isn't the right
[01:28:44.480 --> 01:28:45.200]  verbiage for that.
[01:28:45.200 --> 01:28:49.600]  It's eye opening on a whole nother level if you've never grown up with stuff like that
[01:28:50.400 --> 01:28:53.120]  and to experience that and to minimize those things.
[01:28:53.120 --> 01:28:56.080]  So hopefully it comes back on.
[01:28:56.080 --> 01:28:58.800]  But if not, I do want to give a tip of that to Adam Dunn show.
[01:28:58.800 --> 01:29:03.600]  He was interviewing Duke last week and he was talking about some goofy things like chicken
[01:29:03.600 --> 01:29:06.320]  beer and secondhand sandwiches.
[01:29:06.320 --> 01:29:09.120]  I'm going to let you guys go and research that stuff if you want.
[01:29:11.920 --> 01:29:14.640]  Don't ever take a secondhand sandwich in prison.
[01:29:14.640 --> 01:29:15.680]  I don't know how cheap it is.
[01:29:15.680 --> 01:29:17.200]  Know where things come from.
[01:29:17.200 --> 01:29:20.240]  Know especially, you know how we always talk about farm to table.
[01:29:20.960 --> 01:29:23.840]  Know where farm to table is within that system.
[01:29:23.840 --> 01:29:31.840]  Otherwise, you are going to get hit in the face with some eye opening information on
[01:29:31.840 --> 01:29:38.160]  what people do to survive in there and ways to create capitalism.
[01:29:39.040 --> 01:29:39.440]  Oh, yeah.
[01:29:39.440 --> 01:29:40.640]  I've heard all the stories.
[01:29:40.640 --> 01:29:43.520]  A lot of the guys I grew up with have been locked up, man.
[01:29:43.520 --> 01:29:45.360]  Thankfully for me, I was never one of them.
[01:29:45.360 --> 01:29:46.400]  I was always fortunate.
[01:29:47.680 --> 01:29:49.280]  But yeah, I've heard the stories, man.
[01:29:49.280 --> 01:29:52.400]  And it's not a game in there for sure.
[01:29:52.960 --> 01:29:55.920]  Rule number one, you said it, Chad, but don't accept shit.
[01:29:57.280 --> 01:29:58.160]  No, thank you.
[01:29:58.160 --> 01:29:58.720]  I'm good.
[01:29:59.440 --> 01:30:02.720]  Once you start accepting things and you start owing people things.
[01:30:03.440 --> 01:30:06.640]  And I just like the way that man lives his life.
[01:30:06.640 --> 01:30:07.520]  He's always giving.
[01:30:07.520 --> 01:30:10.560]  When you're always giving, man, you don't owe nobody shit.
[01:30:10.560 --> 01:30:11.920]  You know, I pay my dues.
[01:30:11.920 --> 01:30:12.640]  I'm giving.
[01:30:12.640 --> 01:30:13.280]  I'm giving.
[01:30:13.280 --> 01:30:13.920]  I'm giving.
[01:30:13.920 --> 01:30:15.200]  So, you know what I mean?
[01:30:15.200 --> 01:30:17.760]  And that's one thing I respect about him.
[01:30:17.760 --> 01:30:18.480]  That's pretty dope.
[01:30:19.680 --> 01:30:23.920]  We got I mean, a lot of things he was saying, man, is very similar kind of coming through
[01:30:23.920 --> 01:30:27.760]  the subsoil, the super soils, you know, and all that stuff, man.
[01:30:27.840 --> 01:30:31.360]  That's kind of I think that's a lot of folks progressions, you know what I mean?
[01:30:31.360 --> 01:30:35.680]  Coming through the game and the ultimate goal being I want this.
[01:30:35.680 --> 01:30:40.000]  I'm going to ultimately be as clean as I can, you know, no chemicals.
[01:30:40.880 --> 01:30:43.280]  And I think that's key, man.
[01:30:43.280 --> 01:30:44.320]  Don't be stagnant.
[01:30:44.320 --> 01:30:48.320]  Like he said, what if he had stopped when he was, you know, 10 years ago when he was
[01:30:48.320 --> 01:30:49.440]  using other methods?
[01:30:49.440 --> 01:30:50.880]  You know, you got to keep growing.
[01:30:50.880 --> 01:30:52.400]  You got to keep trying new things.
[01:30:53.920 --> 01:30:54.880]  So, yeah, I don't know.
[01:30:54.880 --> 01:30:56.960]  I guess Brian fell off on this a little bit.
[01:30:56.960 --> 01:31:00.880]  Yeah, he's probably resetting his microphone or the headset again.
[01:31:00.880 --> 01:31:01.920]  But you're absolutely right.
[01:31:01.920 --> 01:31:05.840]  You know, a lot of people will say, you know, if it's broken, why fix it?
[01:31:06.880 --> 01:31:11.200]  But you can always be kind of pushing the limits a little bit more as well.
[01:31:11.200 --> 01:31:13.440]  You know, that's that's one thing I tend to think about.
[01:31:14.480 --> 01:31:19.680]  You know, sometimes the people with, you know, just experience may get a little comfortable
[01:31:19.680 --> 01:31:24.640]  or complacent, whereas the person with just the knowledge doesn't really have the understanding.
[01:31:24.640 --> 01:31:30.640]  But when you kind of merge the two, you're able to see new things, but apply that old
[01:31:30.640 --> 01:31:31.200]  experience.
[01:31:31.200 --> 01:31:34.480]  And that is just it's hard to be, in my opinion.
[01:31:34.480 --> 01:31:38.800]  Yeah, you can't beat that knowledge plus wisdom is understanding like those three things.
[01:31:38.800 --> 01:31:40.480]  They all go hand in hand.
[01:31:40.480 --> 01:31:42.320]  You can't have one without the other, really.
[01:31:43.040 --> 01:31:45.040]  Yeah, he said another thing real big.
[01:31:45.040 --> 01:31:48.800]  He said out there for folks, he makes a change.
[01:31:48.800 --> 01:31:50.400]  You make one change at a time.
[01:31:50.400 --> 01:31:53.840]  If you have an initiative, you don't make 10 changes because you don't know what the
[01:31:54.320 --> 01:31:56.160]  just worked or didn't work.
[01:31:56.160 --> 01:31:58.400]  You know, that was huge right there.
[01:31:58.400 --> 01:32:00.480]  Little things like that are just gold nuggets.
[01:32:02.240 --> 01:32:07.120]  Yeah, I feel like hopefully today, if he comes back on, it'd be even even better for us.
[01:32:07.120 --> 01:32:12.960]  But it's kind of like a behind the scenes of like what it takes to to be an elite farmer.
[01:32:12.960 --> 01:32:17.280]  And then when you actually hear what they say they're doing, just sound principles, you
[01:32:17.280 --> 01:32:22.720]  know, I mean, it's kind of it's it's kind of silly, I feel like because, yes, of course.
[01:32:22.720 --> 01:32:27.360]  How do you how do you get successful in things through experience, repetition, the whole
[01:32:27.360 --> 01:32:29.360]  10,000 hours mantra?
[01:32:29.360 --> 01:32:33.920]  And I feel like if you don't abide to that philosophy, you're never going to get and
[01:32:33.920 --> 01:32:38.720]  achieve the goals that you're after, because it does take a while to do these kind of things.
[01:32:38.720 --> 01:32:42.720]  I feel like a lot of us have always said this is kind of a four year degree.
[01:32:42.720 --> 01:32:46.080]  If you're on this on your own, then you need to look at this as like, all right, I'm going
[01:32:46.080 --> 01:32:48.640]  to take four years to really understand this.
[01:32:48.640 --> 01:32:53.360]  And then at that level, I should be able to really grow medicine for myself, minimize
[01:32:53.360 --> 01:32:54.400]  a lot of mistakes.
[01:32:55.040 --> 01:32:58.640]  But, you know, from the first year or two, I feel like there's so many mistakes that
[01:32:58.640 --> 01:33:02.880]  you don't even know you're making unless you're being proactive, watching shows like this,
[01:33:03.840 --> 01:33:06.080]  listening to other podcasts and that kind of thing.
[01:33:06.080 --> 01:33:08.080]  The mistakes are going to be made no matter what.
[01:33:08.800 --> 01:33:13.280]  And that's why real talent and artwork comes from the trichomes.
[01:33:13.280 --> 01:33:17.680]  And that's why I wanted to start that show off and so that you guys can hear from one
[01:33:17.680 --> 01:33:20.480]  of the best to do it, what it takes to achieve that.
[01:33:20.480 --> 01:33:22.960]  And again, it's all coming down to trichomes.
[01:33:22.960 --> 01:33:28.640]  And since our most of our industry seems to be moving towards concentrates, then obviously
[01:33:28.640 --> 01:33:33.280]  that is the end goal and the skill set that a lot of you newer farmers or want to be farmers
[01:33:33.280 --> 01:33:39.520]  that are moving into living soil want to move into taking it, I guess, in my opinion, to
[01:33:39.520 --> 01:33:42.000]  the next level by farming with microbes.
[01:33:42.560 --> 01:33:47.600]  And that really is the difference is you're using Mother Nature instead of yourself, basically.
[01:33:48.080 --> 01:33:54.560]  So the plant is consistently relying on you, whereas with more of the conventional living
[01:33:54.560 --> 01:33:59.920]  soil style methods, the goal is that the plant and the system is taking care of itself.
[01:33:59.920 --> 01:34:00.720]  There's a mantra.
[01:34:02.320 --> 01:34:03.200]  Oh, no, I just forget.
[01:34:03.200 --> 01:34:04.480]  Feed the soil, not the plant.
[01:34:05.600 --> 01:34:08.480]  Like one of the main mantra, especially to kind of kick these things off.
[01:34:09.120 --> 01:34:15.440]  So, Mark, I kind of wanted you to talk about some farming things, because I feel like you're
[01:34:15.440 --> 01:34:17.760]  so good at pumping out information.
[01:34:18.400 --> 01:34:21.520]  And so we're, you know, we're live TV, basically.
[01:34:21.520 --> 01:34:24.480]  So fill in some time, hopefully, if he comes back.
[01:34:24.480 --> 01:34:25.760]  I love what you've been doing, man.
[01:34:25.760 --> 01:34:30.720]  I love how you're explaining certain things, breaking down just even with the rooting gel,
[01:34:31.520 --> 01:34:34.880]  cloning gels and that kind of stuff that that goes a long way.
[01:34:34.880 --> 01:34:40.400]  There were even some organic farmers here that were using commercial organic farmers
[01:34:40.400 --> 01:34:43.760]  here that were well respected, that were still having to use crutches like
[01:34:45.040 --> 01:34:48.160]  hormones and that kind of thing to be able to clone at the commercial level.
[01:34:48.720 --> 01:34:52.000]  So behind the curtain, I still feel like a lot of things go on, even though
[01:34:53.040 --> 01:34:55.040]  everyone claims to be certain things.
[01:34:55.600 --> 01:35:00.000]  Yeah, man, and that's all part of seeking more knowledge.
[01:35:00.000 --> 01:35:03.440]  Like I posted today what Brian's talking about on my Instagram,
[01:35:04.240 --> 01:35:12.320]  a three tablespoons of fresh aloe vera fillets, three tablespoons, two tablespoons of honey
[01:35:12.320 --> 01:35:14.320]  and then a teaspoon of cinnamon.
[01:35:15.520 --> 01:35:17.680]  I put it in a mortar and pestle, ground it up.
[01:35:17.680 --> 01:35:23.920]  And where I got this from, just like you said, man, like I did some commercial work in the past
[01:35:23.920 --> 01:35:25.920]  and we can get into that another time.
[01:35:25.920 --> 01:35:30.080]  But one thing I discovered in doing that and researching the products,
[01:35:30.080 --> 01:35:33.040]  which a lot of times if you're working commercial and I heard
[01:35:34.160 --> 01:35:38.320]  Joe's guest on Thursday show, young man, y'all had in the facility out there,
[01:35:38.320 --> 01:35:41.920]  I forget his name, last week.
[01:35:41.920 --> 01:35:43.120]  Stoney Jacks 420.
[01:35:43.120 --> 01:35:43.600]  That's right.
[01:35:43.600 --> 01:35:44.560]  Stoney Jacks.
[01:35:44.560 --> 01:35:45.040]  Duron.
[01:35:45.040 --> 01:35:46.400]  Yeah, exactly.
[01:35:46.400 --> 01:35:48.240]  And the young man said some valid things.
[01:35:48.240 --> 01:35:51.920]  He said, you know, a lot of times when you're working in a commercial facility, it's not yours.
[01:35:52.480 --> 01:35:54.400]  You have to work within their rules.
[01:35:55.360 --> 01:35:59.600]  So when I was doing that and so I said, OK, that's their rules.
[01:35:59.680 --> 01:36:00.640]  I'm going to work within it.
[01:36:00.640 --> 01:36:02.560]  But now you're calling yourself organic.
[01:36:02.560 --> 01:36:05.200]  So now I'm researching the products you're using.
[01:36:05.200 --> 01:36:10.160]  And one of the ingredients in Clonex and the dye of Clonex is a poison.
[01:36:10.960 --> 01:36:15.680]  So that's that's one way you kind of have to go into certain situations.
[01:36:15.680 --> 01:36:18.400]  Like he said, even you have to show them showing his talent.
[01:36:18.400 --> 01:36:21.760]  So anyway, you know, kind of.
[01:36:21.760 --> 01:36:23.520]  So that was the rooting gel.
[01:36:23.520 --> 01:36:27.600]  And back to Brian's point, and we were talking about what Duke is growing.
[01:36:27.600 --> 01:36:29.760]  Like a lot of people message me back.
[01:36:29.760 --> 01:36:32.720]  They say, well, I use aloe and that works great.
[01:36:32.720 --> 01:36:35.120]  So what's why do I need the honey and the cinnamon?
[01:36:35.760 --> 01:36:37.360]  Well, you don't.
[01:36:37.360 --> 01:36:40.880]  My first response is if you got something rocking for you, keep it going.
[01:36:40.880 --> 01:36:45.760]  I also use aloe, but I also wanted to step up and try this because I learned it from
[01:36:45.760 --> 01:36:47.200]  a friend who's from India.
[01:36:47.840 --> 01:36:52.560]  And it's a practice that they use when they're when they're grafting trees, when they're
[01:36:52.560 --> 01:36:54.320]  propagating and those kind of things.
[01:36:54.880 --> 01:36:59.520]  The aloe has like the enzymes and the growth hormones.
[01:36:59.520 --> 01:37:04.960]  The honey is an antiseptic and it has some antibacterial properties.
[01:37:05.920 --> 01:37:08.960]  Two reasons why you can cut your hand and you can put honey on it.
[01:37:09.520 --> 01:37:10.800]  Honey doesn't expire.
[01:37:10.800 --> 01:37:13.040]  We talked about that on the show a few weeks ago.
[01:37:13.040 --> 01:37:15.200]  I believe it was with Think Like Nature.
[01:37:16.400 --> 01:37:17.760]  So that's the reason for the honey.
[01:37:17.760 --> 01:37:22.160]  And when you have when you have a cutting, one of your main things is, yes, I love my
[01:37:22.160 --> 01:37:22.640]  fungi.
[01:37:22.640 --> 01:37:23.840]  I love my bacteria.
[01:37:23.920 --> 01:37:24.640]  I love all that.
[01:37:24.640 --> 01:37:25.440]  I'm living soil.
[01:37:25.440 --> 01:37:30.720]  But when I have a cutting, my first goal is to get that cutting the root and that cutting
[01:37:30.720 --> 01:37:33.600]  may not want all that microbiology.
[01:37:33.600 --> 01:37:33.920]  Right.
[01:37:33.920 --> 01:37:37.680]  So then now when you add this aloe, which is going to give it growth hormone, you add
[01:37:37.680 --> 01:37:42.720]  this honey, which is going to help heal the cut you put and give it that those properties.
[01:37:42.720 --> 01:37:45.120]  And then the cinnamon is an antifungal.
[01:37:46.480 --> 01:37:53.120]  So this rooting gel is I think it's going to be a great way to just get another step
[01:37:53.120 --> 01:37:54.560]  away from chemicals.
[01:37:54.560 --> 01:37:57.840]  Aloe works great, then keep rocking with it.
[01:37:57.840 --> 01:38:01.280]  But if you want to try something new and step your game up, try this.
[01:38:01.280 --> 01:38:05.840]  You know, it makes sense to me that the science and the methodology makes sense.
[01:38:05.840 --> 01:38:08.720]  So, you know, I've been trying and it seems like it works pretty well.
[01:38:10.080 --> 01:38:13.120]  And on a deeper level, what's going on with adding the cinnamon?
[01:38:14.400 --> 01:38:20.160]  So the cinnamon is the main point of the cinnamon is the antifungal properties.
[01:38:20.160 --> 01:38:24.960]  And so what that's doing is it's just sometimes you get a cutting and it may dampen off.
[01:38:24.960 --> 01:38:26.960]  But what will happen is you take a clone.
[01:38:26.960 --> 01:38:27.760]  Very healthy.
[01:38:27.760 --> 01:38:28.320]  Looks good.
[01:38:29.520 --> 01:38:32.800]  Depending on how you clone, some people do aeroponic.
[01:38:32.800 --> 01:38:37.040]  I'm not going to mention brand names, but aeroponic sprayer type, or you can just dip
[01:38:37.040 --> 01:38:43.360]  it in this honey mix I just mentioned in a rooting cube.
[01:38:44.320 --> 01:38:47.200]  But what happens is sometimes that clone will dampen off.
[01:38:47.440 --> 01:38:53.120]  And a lot of times that's from a fungi that's in your that just gets into it and it just gets in
[01:38:53.120 --> 01:38:59.040]  there and it'll make this the bottom of the stem soft and brown and it won't be able to uptake
[01:38:59.040 --> 01:38:59.520]  nutrients.
[01:38:59.520 --> 01:39:05.600]  So the cinnamon is supposed to help protect that wound, that open wound from any fungi
[01:39:05.600 --> 01:39:06.560]  that might get in there.
[01:39:06.560 --> 01:39:13.040]  Just keep the just basically keep a nice, clean environment for roots to be able to propagate.
[01:39:13.120 --> 01:39:18.480]  Now, I'd imagine the quality of the honey matters because from what I understand, when
[01:39:18.480 --> 01:39:23.120]  I read the back of labels and stuff, basic honey is not even honey anymore.
[01:39:23.120 --> 01:39:25.920]  It's just high fructose corn syrup in a bear bottle.
[01:39:26.800 --> 01:39:28.560]  Yeah, you guys got to watch your honey.
[01:39:28.560 --> 01:39:29.200]  Some honey.
[01:39:29.200 --> 01:39:30.160]  Read the ingredients.
[01:39:30.160 --> 01:39:30.560]  Start.
[01:39:30.560 --> 01:39:33.040]  You got to read the ingredients on everything, guys.
[01:39:33.040 --> 01:39:36.480]  Like, I mean, this sounds stupid, but there was a point a few years ago.
[01:39:36.480 --> 01:39:41.600]  I don't know if it's still the case, but Breyers Ice Cream changed their name to Breyers
[01:39:42.080 --> 01:39:44.000]  like frozen dessert.
[01:39:44.000 --> 01:39:44.480]  You know what I mean?
[01:39:44.480 --> 01:39:52.160]  So in life, all these companies we were talking about before capitalism, you know, they don't
[01:39:52.160 --> 01:39:53.520]  give a fuck about us.
[01:39:53.520 --> 01:40:00.160]  If they replace ice cream with frozen ice dessert and the people still buy it, they
[01:40:00.160 --> 01:40:00.880]  don't care.
[01:40:00.880 --> 01:40:03.200]  The people buy it and it's not as good for your body.
[01:40:03.200 --> 01:40:04.080]  They don't care.
[01:40:04.080 --> 01:40:05.600]  They care about the bottom line.
[01:40:05.600 --> 01:40:06.720]  So read your ingredients.
[01:40:06.720 --> 01:40:08.080]  Like Brian said, there's honey.
[01:40:08.080 --> 01:40:10.880]  It's like the ingredients will be like corn syrup.
[01:40:10.960 --> 01:40:11.680]  Corn syrup.
[01:40:12.480 --> 01:40:16.640]  You know, even like at a restaurant, the packs, I don't think it was maybe Popeye's used to
[01:40:16.640 --> 01:40:21.600]  be real honey, and some of them are gone to now like fake honey in the packs, you know?
[01:40:21.600 --> 01:40:23.600]  So, yeah, get quality ingredients.
[01:40:24.480 --> 01:40:29.680]  I feel like if you're going to buy these things, buy what's suitable for you to eat.
[01:40:29.680 --> 01:40:33.120]  Like if I'm going to buy honey and I'm going to use it to clone, I'm going to buy quality
[01:40:33.120 --> 01:40:37.520]  honey that I wouldn't want to eat myself, you know, just for the price of it.
[01:40:37.520 --> 01:40:42.160]  I think it's well worth it to not cut corners, you know what I mean?
[01:40:43.120 --> 01:40:47.840]  So and just going on down, like some of the stuff Duke was talking about, like I wrote
[01:40:47.840 --> 01:40:50.560]  down his one through six, you know what I mean?
[01:40:50.560 --> 01:40:52.960]  Number one, he said building biomass.
[01:40:54.000 --> 01:40:54.560]  Huge.
[01:40:57.120 --> 01:41:02.960]  If y'all don't get this, this is giving me chills because we're growing trichomes and
[01:41:02.960 --> 01:41:08.080]  the only way you're going to get a lot of trichomes is by having a lot of biomass.
[01:41:08.080 --> 01:41:13.280]  So his step one, focusing on getting that plant really big and healthy, then going into
[01:41:13.280 --> 01:41:13.760]  flower.
[01:41:13.760 --> 01:41:20.080]  Now you got a substrate for all these triches to grow on and it's just going to increase
[01:41:20.080 --> 01:41:22.480]  your overall final product, you know what I mean?
[01:41:22.480 --> 01:41:25.520]  Number three, you know, letting the plant grow to its potential.
[01:41:26.080 --> 01:41:28.160]  You know, that means so much to me.
[01:41:28.160 --> 01:41:29.440]  I'm a huge proponent.
[01:41:30.400 --> 01:41:33.120]  I'm always going a little longer than a little short.
[01:41:33.680 --> 01:41:34.560]  That's just me.
[01:41:34.560 --> 01:41:39.600]  I'm always just going to err on the side of letting my plants go just a little longer,
[01:41:39.600 --> 01:41:44.560]  just four days more, you know, whatever it may be, because I really want to let those
[01:41:44.560 --> 01:41:47.600]  trichomes tell me when that plant is ready.
[01:41:47.600 --> 01:41:48.160]  You know what I mean?
[01:41:48.160 --> 01:41:50.240]  I want to use those as an indicator.
[01:41:50.240 --> 01:41:56.640]  And I know all of you guys know that you take a loop, a magnification tool, and you look
[01:41:56.640 --> 01:42:02.080]  at those individual heads on the trichomes and, you know, you want a majority of them
[01:42:02.080 --> 01:42:03.120]  to be cloudy.
[01:42:03.120 --> 01:42:05.840]  You know, you don't want a majority of them to be clear.
[01:42:05.840 --> 01:42:11.200]  They start out clear and as the plant ages and matures, they turn to cloudy and then
[01:42:11.200 --> 01:42:12.480]  from cloudy to amber.
[01:42:13.760 --> 01:42:18.080]  Along the way, your high is affected as well.
[01:42:18.080 --> 01:42:22.880]  You know, early harvest, you know, they say it's more, you know, you get a heady, you
[01:42:22.880 --> 01:42:27.920]  don't get all that full high, you know, nice and cloudy with a little bit of amber, you
[01:42:27.920 --> 01:42:29.120]  get that full body.
[01:42:29.120 --> 01:42:34.160]  And if you just let it go all amber, they say it's a late night, just puts you on your
[01:42:34.160 --> 01:42:36.560]  ass, you know, because there's a window.
[01:42:36.560 --> 01:42:38.240]  It's going to degrade after a while.
[01:42:39.680 --> 01:42:42.080]  So growing a plant to its potential is huge.
[01:42:42.080 --> 01:42:44.080]  And then I tagged on to that.
[01:42:44.080 --> 01:42:47.680]  The little tip about popping the little nugs off the stem, I do that.
[01:42:47.680 --> 01:42:52.000]  Like, that's one of my little things and that hit home, you know, those are, but see what's
[01:42:52.000 --> 01:42:56.480]  so brilliant about him is I have all these little things I do, but I don't think that
[01:42:57.040 --> 01:43:00.480]  to that, you know, because it's second nature to me.
[01:43:00.480 --> 01:43:05.920]  He has the know-how and the knowledge to say, well, hold on, the new guy needs to know this.
[01:43:05.920 --> 01:43:08.560]  Or a lot of times I'll kind of pass over that.
[01:43:08.560 --> 01:43:11.520]  So that's huge for getting a proper dry.
[01:43:13.040 --> 01:43:15.040]  Like he said, man, you want to slow dry.
[01:43:15.680 --> 01:43:21.600]  Don't be in a rush to put your stuff in a jar, you know, use a, you know, I don't mean
[01:43:21.600 --> 01:43:28.400]  in a jar, I mean for long term, like, you know, like he said, when it feels crispy to the touch
[01:43:28.400 --> 01:43:32.320]  or, you know, it's crispy, put it in a jar, close it for 24.
[01:43:32.320 --> 01:43:35.360]  When you open it the next day, it's going to be wetter.
[01:43:35.360 --> 01:43:36.400]  That's a process.
[01:43:36.400 --> 01:43:37.840]  That's a slow dry.
[01:43:37.840 --> 01:43:39.120]  You want to slow dry.
[01:43:39.680 --> 01:43:44.480]  If I was to take cannabis and dry it all in one day and a dehydrator, that was the best way.
[01:43:44.480 --> 01:43:45.760]  That's what we would all be doing.
[01:43:46.960 --> 01:43:48.560]  But the slow dry is key.
[01:43:49.360 --> 01:43:54.480]  One thing I do in that slow dry process, I leave some of the little bit more of the sugar
[01:43:54.480 --> 01:44:01.200]  leaves on my stuff just as kind of like a little bumper, kind of a protector as a kind of a crown
[01:44:01.200 --> 01:44:02.800]  around all the trichomes.
[01:44:03.600 --> 01:44:08.480]  I kind of wait to the very end right before I'm, you know, going to be using my meds before
[01:44:08.480 --> 01:44:09.440]  I take those off.
