[00:00.000 --> 00:02.000]  and
[56:57.340 --> 57:02.660]  Of my run is like fucking berries like like like blue razz
[57:02.860 --> 57:07.340]  Like like really what I look for when it comes to flavor profile
[57:07.340 --> 57:11.740]  But it didn't hit like a month and a half two months after the dry
[57:11.740 --> 57:16.820]  I get really needed that time to settle out and set into itself
[57:17.020 --> 57:19.620]  So, what do you are you like a fresh weed guy?
[57:20.300 --> 57:22.220]  Do you like the nice long cure stuff?
[57:22.220 --> 57:30.380]  I find some like my lemon cush needs fucking like three months before it like and then it blows up and it's like
[57:30.380 --> 57:33.860]  It's just make your mouth water. It's like really smooth
[57:34.620 --> 57:40.740]  Gives you a really nice before high but like up into that three months point. It's kind of a little bit tough
[57:40.780 --> 57:45.180]  You know, it's like not the easiest. It's a little bit rougher on the on the throat
[57:45.180 --> 57:49.220]  It's not as easy to get into so I was wondering if you could speak a little bit about that
[57:49.860 --> 57:51.860]  Yeah, man. I
[57:52.140 --> 57:56.260]  Mean number one, it depends on how empty my jars are, you know when I'm smoking it
[57:56.260 --> 58:03.080]  So if I if I'm if I'm hurting and the jars are low, you know, really your time doesn't really matter much to me at all
[58:03.080 --> 58:06.140]  You know, I mean it's it is what it is. You know what I mean?
[58:06.460 --> 58:11.020]  But you know if we got if I got full jars and you know
[58:11.020 --> 58:17.740]  Life's good and things are rolling and things that are happening. That's the whole I don't save roaches until my last eight
[58:17.740 --> 58:18.900]  You know what? I mean?
[58:18.900 --> 58:23.260]  Like I get a fucking pound to eat and I won't save any roaches until my last fucking eight
[58:24.980 --> 58:29.860]  You know, I mean I'm never you're never really out but there's like you're like man
[58:29.860 --> 58:34.460]  I just don't have that stuff that I want or I need, you know right now, you know what I mean?
[58:34.460 --> 58:35.900]  so it's like
[58:35.900 --> 58:40.900]  Sometimes so that that's number one, right so but really for me the the
[58:42.180 --> 58:44.180]  the drying process is
[58:45.300 --> 58:50.320]  The curing process in a lot of cases like I dry it for longer than a lot of people
[58:50.320 --> 58:53.740]  I'll let it hang for a little bit longer an extra day or so
[58:53.740 --> 58:57.920]  Like when people are breaking it down and starting to pull it down and measuring it with the stick
[58:57.920 --> 59:03.420]  I usually will take it until it's it's dry on the stick, you know, really dry like you try it
[59:03.580 --> 59:08.660]  But it's on that that that cusp of like man, you don't want to fuck it up too much
[59:08.660 --> 59:11.500]  You know and I never let it get too hot. I always keep it in the cool
[59:12.060 --> 59:15.060]  Cool realm somewhere, you know 50 60s
[59:15.820 --> 59:19.940]  Low as I can get it, you know what I mean? The lowest point I have a little area. That's
[59:20.780 --> 59:25.480]  You know, it doesn't matter. I have a little I have a place that I can kind of keep 50 or 60
[59:26.500 --> 59:30.060]  Pretty pretty, you know pretty easily 66 66
[59:30.980 --> 59:33.180]  67 it'll get up to sometimes, you know what I mean?
[59:33.180 --> 59:37.740]  And that's the most important thing is kind of keeping it cool for a longer period of time and a hanging on the stick
[59:37.740 --> 59:39.820]  I'll break it down hanging on you know, good
[59:40.740 --> 59:45.300]  Good foot foot and a half pieces so they all kind of fit together and I can kind of you know
[59:45.300 --> 59:51.680]  Utilize the space a little bit. I'm not hanging hopeful plants anymore with the full stock and all that jazz on there
[59:51.680 --> 59:56.460]  I break those plants down and hang them on, you know branches that are a foot foot and a half
[59:56.940 --> 01:00:00.180]  Kind of neatly organized and then keeping it cool
[01:00:01.540 --> 01:00:03.540]  You know can be
[01:00:04.380 --> 01:00:08.960]  12 days can be two weeks. You're gonna be 10 days
[01:00:09.900 --> 01:00:12.700]  It just kind of depends on the herb. You know what I mean? It's
[01:00:13.820 --> 01:00:17.260]  and then once once it's dry enough in my opinion I
[01:00:17.940 --> 01:00:19.580]  Break it down
[01:00:19.580 --> 01:00:26.340]  You know, I rough I rough trim it, you know, if I have enough time, I usually don't trim it very much at all
[01:00:26.820 --> 01:00:32.540]  a lot of those little leaves kind of cradle the bud and I just throw it in the jar, but if I really want a
[01:00:32.540 --> 01:00:37.260]  Nice jar. I want to take care of what I have. It's not special. I'll spend the time and
[01:00:37.780 --> 01:00:40.420]  Fill up some jars and trim it up properly
[01:00:40.780 --> 01:00:46.420]  And then like things like the Pam one and the Pam 15 Pam 15
[01:00:46.420 --> 01:00:52.620]  I like smoking earlier fresher when it's more on the fresh side of things. I don't know why I just
[01:00:53.620 --> 01:00:57.100]  It's just a little more electric, you know what I mean when it's
[01:01:00.780 --> 01:01:02.780]  Feel like you can conquer the world
[01:01:03.380 --> 01:01:09.780]  But the Pam one if you let it sit or so when you when you're when it's fresh you've got this great
[01:01:11.660 --> 01:01:12.900]  Skunky
[01:01:12.900 --> 01:01:14.620]  musty wine
[01:01:14.620 --> 01:01:20.220]  Type cheese in that kind of the background, but it's more grapey and fruity on the front end
[01:01:21.180 --> 01:01:27.500]  You know and then you put it in the jar and two three months goes by and you open up that jar and you crack
[01:01:27.500 --> 01:01:30.220]  The jar it's cheese. It's like really
[01:01:30.980 --> 01:01:37.860]  It's cheese. It's gone really cheese. It's really and it's like it can be it can be Parmesan. It can be like
[01:01:38.940 --> 01:01:47.020]  Cheddar, it can be like a sharp. It's it's a sharper, you know, Chris like it hits you in those cheekbones like right
[01:01:50.220 --> 01:01:53.700]  You know like wow, that's you know, that's that's some funk, you know and then
[01:01:54.500 --> 01:02:01.540]  the Pam 15 when it's fresh you get a lot of this great cough syrup and chocolate and
[01:02:02.300 --> 01:02:03.460]  like
[01:02:03.460 --> 01:02:08.780]  Incense II type notes and things like that off of it and you let that sit around and it goes to like
[01:02:10.900 --> 01:02:14.060]  Dark like dark chocolate and
[01:02:15.060 --> 01:02:23.780]  Musty funk and like dirty diapers, you know, I mean it really goes to this dark side of things where it really gets dark
[01:02:23.780 --> 01:02:30.780]  You know and it's good. It's really powerful and it's delicious, but it just goes from such this electric
[01:02:31.740 --> 01:02:33.740]  like
[01:02:33.940 --> 01:02:40.260]  Great thing to this really dark chocolatey, you know heavy-duty thing
[01:02:40.260 --> 01:02:45.220]  You know and I much prefer that when it's deal on the lighter side. So I smoke that as soon as it's dry
[01:02:45.980 --> 01:02:47.980]  the like the
[01:02:48.180 --> 01:02:53.460]  the more mainstream strains like the cookies the ice cream cakes the
[01:02:53.940 --> 01:02:59.020]  Crosses that are more mainstream, you know that I that I have that I pull I usually smoke those fresh
[01:02:59.020 --> 01:03:04.540]  I find I don't know if they're if they've been bred that way to where they're they're consumed that way or I like them that
[01:03:04.540 --> 01:03:07.580]  Way, I feel like they're read to get to market quick
[01:03:07.940 --> 01:03:13.420]  You know, I kind of feel like some of them like they're really pretty good friend
[01:03:13.420 --> 01:03:17.380]  Yeah, you could you could put on a tin hat or something and really go down that rabbit hole
[01:03:17.380 --> 01:03:20.840]  You know what? I mean? It's like how we kind of but I don't know. I have no idea
[01:03:20.840 --> 01:03:25.300]  I just usually tend to like enjoy those a little bit as soon as they're ready to go
[01:03:26.580 --> 01:03:31.940]  The SFV I like smoking that fresh even though if you let it sit you really get you know
[01:03:31.940 --> 01:03:36.980]  You really get a you know a deep a deeper a deepness to it. It's less sharp
[01:03:37.780 --> 01:03:41.340]  But I like that sharpness. I like that kick you in the face stuff
[01:03:41.340 --> 01:03:44.420]  I like smoking the dog walker fresh as soon as that's ready
[01:03:44.420 --> 01:03:49.460]  You know, I'm diving into that but I find a lot, you know, it's got to get rid of the chlorophyll
[01:03:49.880 --> 01:03:52.660]  You know, you got to dry it and we think about wet trimming
[01:03:53.380 --> 01:03:58.000]  Yeah, yeah, no way. Yeah, you can't do you know, you know what trim no, no
[01:03:59.220 --> 01:04:04.980]  Like a couple days before I harvest I'll go out and I'll pull off all the families
[01:04:05.980 --> 01:04:07.980]  Yeah
[01:04:08.660 --> 01:04:12.140]  You know, I mean I won't trim I'll just pull off all the big leaves
[01:04:12.860 --> 01:04:15.020]  For the most part and it's really crazy
[01:04:15.780 --> 01:04:20.140]  Because if you put it away to dry with a bunch of fucking leaves on there, it doesn't work, right?
[01:04:20.140 --> 01:04:25.100]  You mess things up and needs to have leaves but not have as many leaves, you know what I'm saying?
[01:04:25.140 --> 01:04:30.460]  So I strip it down a little bit like a day or two before I'm gonna harvest it and then I'll harvest it
[01:04:30.460 --> 01:04:34.260]  And I'll make it easier for me to get in there and hang it and throw it on the racks
[01:04:35.020 --> 01:04:36.180]  And do it that way
[01:04:36.180 --> 01:04:38.180]  But no wet trimming
[01:04:38.540 --> 01:04:40.540]  Don't want to do that
[01:04:40.860 --> 01:04:45.980]  You could freeze it you can do all kinds of stuff, but if you're gonna trim it to smoke it, you know, just just wait
[01:04:46.780 --> 01:04:49.940]  Coastal groans like I fucking wet trim. Fuck you guys
[01:04:58.540 --> 01:05:00.540]  Jars are full
[01:05:05.660 --> 01:05:09.700]  I hate you. I owe you. Oh my gosh
[01:05:10.820 --> 01:05:12.820]  I don't think there's a bigger
[01:05:14.380 --> 01:05:17.780]  When I wet trim then you could ever get oh
[01:05:20.780 --> 01:05:25.260]  I don't even trim. I don't trim it at all. I love the leaves
[01:05:25.260 --> 01:05:31.460]  I love this leaving the damn leaves on it because it protects the trichomes and we're only growing it
[01:05:31.460 --> 01:05:35.860]  Try to come not because we want to look at some dense bud that looks pretty
[01:05:36.100 --> 01:05:40.660]  So I'll leave the brown leaves and everything over it because they protect it you hang it
[01:05:40.660 --> 01:05:44.900]  It covers the buds and now it's the same as when you buy an onion
[01:05:44.980 --> 01:05:49.900]  You do you go to the like the store and go buy the onion that's got like the rotting, you know
[01:05:50.060 --> 01:05:54.740]  Carcass on the outside. No you get the one that's got the protective little like, you know layer of
[01:05:55.620 --> 01:06:00.860]  Cellulose and all that on there and that looks more fresh and it's not molding and I feel like
[01:06:01.500 --> 01:06:07.940]  looking at cannabis in the same manner as like fresh produce and just saying look before I go and
[01:06:08.220 --> 01:06:14.220]  Smoke this I'll just take one second to pull the leaves off and I'll just throw them into a pile and eventually make some keef
[01:06:14.220 --> 01:06:16.100]  Out of it or whatever, you know
[01:06:16.100 --> 01:06:20.740]  Or you could even use it as like like a I like to use it in the bottom of a bowl
[01:06:20.900 --> 01:06:24.660]  So then when you put the key for hash or whatever, so it doesn't pull through
[01:06:24.660 --> 01:06:29.340]  I mean, it's always a there's always a rate of recycle it or whatever
[01:06:29.340 --> 01:06:30.700]  But uh, yeah
[01:06:30.700 --> 01:06:37.260]  I don't I don't believe in in in trying to like pre cut it because it really does hurt it and when people put it on
[01:06:37.260 --> 01:06:44.120]  Racks to oh my gosh, you just you kill all those try cameras the stock kept capitate try can't really can't
[01:06:45.420 --> 01:06:49.940]  Put stand their own the weight of their own buds when they're sitting on those racks
[01:06:49.940 --> 01:06:54.080]  I've done it a thousand ways. The only way to really do it is is in
[01:06:54.240 --> 01:06:58.000]  Hanging it or if if you're in a desperate situation
[01:06:58.520 --> 01:07:01.880]  get a paper grocery store bags or
[01:07:02.520 --> 01:07:08.080]  Boxes like cardboard boxes and it and they'll dry out within like five days
[01:07:08.080 --> 01:07:11.160]  You'll have a usable product that stems will still be kind of wet
[01:07:11.160 --> 01:07:14.000]  So then you'd have to trim that off really fast
[01:07:14.000 --> 01:07:17.320]  Otherwise you can let it sit for another two weeks and it'll be perfectly like
[01:07:18.000 --> 01:07:20.320]  It the moisture will perfectly cure out
[01:07:20.320 --> 01:07:24.120]  But uh, that's the only way I've ever seen be successful
[01:07:24.520 --> 01:07:29.640]  But like trimming ahead of time is always taking a lot more time and it's always killed me
[01:07:30.240 --> 01:07:35.280]  And in the end I found I just I'd rather just be lazy and keep it simple. I
[01:07:36.520 --> 01:07:38.520]  Fucking love the onion analogy
[01:07:39.520 --> 01:07:45.600]  Like that that comparison was like I've never heard anybody say that before. I think it's fantastic
[01:07:45.600 --> 01:07:50.200]  It's the problem is it's the problem is it's the problem is it's the problem is it's the problem
[01:07:50.200 --> 01:07:53.720]  Is try to explain that to customers they go out of their mind
[01:07:58.640 --> 01:08:01.040]  Could you well, I mean people buy fucking
[01:08:04.440 --> 01:08:08.480]  Now I was just getting like man you get a lot closer trim
[01:08:09.040 --> 01:08:16.080]  You know wet trim and then you could ever get dry trimming and that and sometimes, you know when we were talking about space
[01:08:16.520 --> 01:08:18.520]  That's you got to
[01:08:18.680 --> 01:08:23.240]  You know when you only have one building to dry in
[01:08:25.120 --> 01:08:27.880]  And you set up of D homes in there
[01:08:28.960 --> 01:08:31.840]  and I mean you got to have all the
[01:08:32.520 --> 01:08:38.040]  Space you can't have all that on there, you know, and you have to kind of break it up and hang it
[01:08:38.040 --> 01:08:42.640]  You know, like I mean you can't have these full plants just sitting there hanging. They'll never dry
[01:08:42.640 --> 01:08:48.040]  You'll end up with a bra. You got to break it down. You got to get it stem by stem way
[01:08:48.040 --> 01:08:49.560]  it looks like
[01:08:49.560 --> 01:08:53.160]  You know and and you know, everybody has their own way, but you know
[01:08:53.680 --> 01:08:59.040]  Sometimes you just got to do what you got to do and I've noticed a little bit of difference
[01:08:59.440 --> 01:09:06.360]  Especially indoors like dude, you definitely the indoor stuff do not wet trim that and the oily stuff
[01:09:06.840 --> 01:09:11.440]  same way don't want trim that but like the like some of the cushy stuff like
[01:09:12.120 --> 01:09:17.720]  It's it's I haven't noticed a big more difference, you know, just the real turf stuff
[01:09:19.000 --> 01:09:23.200]  But you know, I like blue dream and shit that grows outdoor in full Sun
[01:09:23.200 --> 01:09:27.600]  That's just got a fucking lot of leaves like they're fucking. Yeah. Yeah
[01:09:27.600 --> 01:09:30.400]  I mean like the real real leafy stuff, you know
[01:09:30.400 --> 01:09:33.960]  like that stuff's got to get trimmed real close to have that bag appeal and
[01:09:34.600 --> 01:09:41.160]  sometimes you the only way to get it that close and to look that good is you you got a wet trim it and
[01:09:41.320 --> 01:09:46.400]  It sucks because you know what it's doing to it, you know, like everybody's gonna
[01:09:47.120 --> 01:09:54.380]  No one likes that, you know, and it's and there's a reason behind that because it's not the best way to go about it
[01:09:54.600 --> 01:09:56.360]  but sometimes
[01:09:56.360 --> 01:09:59.680]  Strain dependent. You got to do what you got to do, you know
[01:09:59.680 --> 01:10:02.320]  like the Brack to leaf ratio is a
[01:10:02.840 --> 01:10:08.200]  It's a big counter play and and how and when you need to trim that I believe
[01:10:11.500 --> 01:10:13.500]  But it's just an opinion I
[01:10:13.620 --> 01:10:19.300]  Think you're very I don't think there's ever one wrong or completely right answer every situation
[01:10:21.900 --> 01:10:23.900]  Make it work for them
[01:10:26.220 --> 01:10:29.300]  Best tool in the toolbox is the one that you know how to use, you know
[01:10:29.300 --> 01:10:33.580]  So the one that works for you one that were right tool for the job, you know
[01:10:33.580 --> 01:10:38.660]  This is the way that it works, you know, so there's no bad answer. That's why it's so cool about farming
[01:10:39.380 --> 01:10:45.820]  Growing stuff and doing things because there's there's a million different ways to do it all kinds of ways to think about it
[01:10:45.820 --> 01:10:53.260]  You know, there's it's you can go deep you can be shallow. It's really neat, you know, it's a neat it's a neat thing
[01:10:53.260 --> 01:10:54.260]  You know
[01:10:54.260 --> 01:10:56.260]  So that's cool
[01:10:58.140 --> 01:11:04.100]  Yeah, I like how everybody can have a different way but we all end up with the same result
[01:11:04.100 --> 01:11:06.100]  You know, it's a little bit
[01:11:13.660 --> 01:11:15.660]  I
[01:11:15.660 --> 01:11:19.060]  Heard Cory's got some of the dankest weed on the fucking
[01:11:19.980 --> 01:11:23.420]  in North America from from the region conference fucking
[01:11:23.980 --> 01:11:28.020]  Jason Gideon was popping up in chat like that stuffs the best around I
[01:11:28.780 --> 01:11:30.780]  Had some very nice
[01:11:30.780 --> 01:11:32.780]  Nice
[01:11:33.300 --> 01:11:35.300]  Nice
[01:11:43.410 --> 01:11:49.410]  Nice man, it's awesome. Yeah, it feels good. Definitely. You know what I'm saying?
[01:11:50.290 --> 01:11:52.530]  Back bro, yeah
[01:11:53.530 --> 01:11:58.370]  I mean, that's you guys didn't think as we man people talking
[01:12:00.450 --> 01:12:06.210]  Yeah, no, it's it's what I love to do so it's nice to you know, share it with people and you know
[01:12:06.210 --> 01:12:11.490]  Get some validation for it. Really? Yes. Cool. You know that doesn't happen overnight
[01:12:12.970 --> 01:12:17.810]  We're all we're all there, you know, it's it's constantly happening
[01:12:19.410 --> 01:12:23.450]  There you go, Jason Gideon Cory grow some fire and that guy
[01:12:26.970 --> 01:12:30.370]  That guy is really cool and he definitely knows good stuff
[01:12:34.730 --> 01:12:39.930]  I'm super excited to get some of this stuff in the flower. I got some of my own stuff going in the tent next week
[01:12:41.490 --> 01:12:43.210]  Four weeks
[01:12:43.210 --> 01:12:49.290]  No in two weeks no week and a half I'm excited some of my first my first
[01:12:49.730 --> 01:12:54.490]  Exploration into actually breeding which has been which has been kind of fun. It's been exciting
[01:12:54.490 --> 01:12:56.890]  So we'll see how that goes. They're probably gonna get a fucking ton of herms
[01:12:58.850 --> 01:13:00.210]  But
[01:13:00.210 --> 01:13:06.730]  Gotta do it. This is like I've got your five here and then most of these other ones that are around here
[01:13:06.730 --> 01:13:09.490]  I can like open that up a little bit is the Sarawak
[01:13:10.250 --> 01:13:17.610]  Cross that I did which is Chernobyl sub cools the dank crossed with a strawberry banana from DNA genetics
[01:13:18.050 --> 01:13:22.090]  That I I did a STS femme cross like the strawberry banana
[01:13:22.610 --> 01:13:24.610]  reversed it to the to the
[01:13:24.730 --> 01:13:29.370]  Chernobyl and it's I'm pretty excited for that for that one that took the box with the flavor turns out
[01:13:29.530 --> 01:13:32.410]  But I'm gonna have so many more plants than I'm supposed to have
[01:13:32.410 --> 01:13:34.410]  I
[01:13:54.210 --> 01:13:56.850]  Got a tomato addiction going on right now
[01:13:57.370 --> 01:14:03.770]  I keep pulling nodes off and like rooting them and like someday somebody's gonna come to me to buy tomato planets
[01:14:03.770 --> 01:14:08.450]  I'm going to be ready and now I've got like 50 fucking tomato plants
[01:14:08.450 --> 01:14:14.530]  No one's come for a tomato plant off marketplace yet. So I'm hoping that the stores will run out soon
[01:14:14.890 --> 01:14:16.890]  So
[01:14:26.010 --> 01:14:32.090]  Yeah, did we have anything else we wanted to cover tonight or should we wait for a little bit and and I think in
[01:14:32.090 --> 01:14:36.010]  It's I think two weeks from now. I might be able to take some cuts
[01:14:37.170 --> 01:14:39.170]  Maybe we'll do that live
[01:14:39.450 --> 01:14:41.450]  Get a little bit further into it
[01:14:43.290 --> 01:14:47.690]  One that you know, we'll have some flower action on it, you know by that point too
[01:14:47.690 --> 01:14:49.690]  So that people will show something
[01:14:51.570 --> 01:14:56.890]  You know what was nuts mr. Tree so I we were talking about this before a little bit earlier
[01:14:57.050 --> 01:15:00.890]  But I was chatting I got the Italian turn on but I was chatting with this guy
[01:15:00.890 --> 01:15:07.130]  I did the show on Tuesday cannabis for breakfast with sativa creations in Italy and you know
[01:15:07.130 --> 01:15:13.330]  Like they're it's it's low THC. So it's got to be like certified under three point three percent or whatever aspect
[01:15:13.330 --> 01:15:19.770]  But it's completely over the market if you're a farmer you can grow as many plants as you want without any additional
[01:15:20.170 --> 01:15:27.050]  Licensing and sell it like at the farmers market with like your vegetables like nothing else
[01:15:27.530 --> 01:15:33.330]  Like just like next year fucking tomatoes you can that's the rain man. Yeah, you know, it's like
[01:15:34.050 --> 01:15:36.050]  $80,000 for acres over there
[01:15:36.490 --> 01:15:41.050]  Wow, it's cheap like it's the land and property like super super cheap, too
[01:15:44.330 --> 01:15:46.330]  I
[01:15:46.410 --> 01:15:48.250]  Yeah, that's
[01:15:48.250 --> 01:15:51.210]  That's it man. That's the dream like just to be able to like
[01:15:51.850 --> 01:15:57.210]  Have a small little farm, you know where you could grow some food fruits and some vegetables, you know
[01:15:57.210 --> 01:16:00.570]  Some peaches and the nectarine some oranges whatever, you know
[01:16:00.570 --> 01:16:06.930]  And then have some cannabis and go to a farmers markets, you know around your area and be able to sell that stuff
[01:16:06.930 --> 01:16:12.570]  You know, like there's no reason why it shouldn't be that way. That is like the ultimate dream, you know
[01:16:12.570 --> 01:16:15.530]  Like I don't need much. We don't need to like blow up the fucking world
[01:16:15.690 --> 01:16:20.970]  you don't need to like get crazy and like bill it's like like they would just allow like
[01:16:21.450 --> 01:16:26.010]  simple farmers to like have have you know the ability to like
[01:16:26.370 --> 01:16:27.250]  grow your
[01:16:27.250 --> 01:16:32.810]  vegetables for a little bit of cannabis and then take that to the farmers market and just sell it the same way as you
[01:16:32.810 --> 01:16:35.850]  Could for fruits or vegetables because it doesn't take it costs like
[01:16:36.130 --> 01:16:42.450]  Costs like a hundred bucks or something to have like an inspector come out to your property here or whatever and like inspect it for
[01:16:42.770 --> 01:16:44.650]  you know
[01:16:44.650 --> 01:16:49.250]  Like your processes of growing your you're not growing like a toxic field or something
[01:16:49.250 --> 01:16:49.850]  You know what? I mean?
[01:16:49.850 --> 01:16:54.530]  But other than that like you can get a license and you pay for a little license just a couple hundred dollars
[01:16:54.530 --> 01:16:58.530]  It's like not even a big deal and then you can take your fruits and vegetables and go sell them down
[01:16:58.690 --> 01:17:00.690]  at all the farmers markets and
[01:17:00.730 --> 01:17:05.810]  Go anywhere and kind of just make deals with with different little small markets and shit
[01:17:05.810 --> 01:17:09.730]  and it's like I can't you know, why can't you just like kick over to like
[01:17:10.730 --> 01:17:15.690]  Just just that you know, that's the dream but it will be one day, you know, if we don't kill each other
[01:17:15.690 --> 01:17:17.530]  Well, you know we'll get there, you know
[01:17:17.530 --> 01:17:24.770]  So I don't know who that they are, but it seems like they don't want farmers to do a lot of stuff
[01:17:25.570 --> 01:17:27.570]  from what I
[01:17:28.810 --> 01:17:31.970]  Yeah, we need to make they we you know, cuz that's all it is
[01:17:31.970 --> 01:17:38.010]  So they show up to meetings and like there's nobody else there to make the rules. So they make them for us
[01:17:38.450 --> 01:17:40.010]  But they make some dumb ones
[01:17:40.010 --> 01:17:41.570]  It's like it's like, you know
[01:17:41.570 --> 01:17:43.250]  like really like
[01:17:43.250 --> 01:17:47.730]  If you got time and you don't got a bunch of shit and you can do something you want to make a difference show up
[01:17:47.730 --> 01:17:50.250]  to some meetings and like vote for us a
[01:17:50.810 --> 01:17:53.450]  Fucking little farmers, you know what I mean? It'd be cool, you know
[01:17:54.290 --> 01:17:55.450]  so
[01:17:55.450 --> 01:18:02.130]  No, I I just thought it was genius and and the way it should develop in the necessary market
[01:18:02.130 --> 01:18:05.010]  Like it just it makes so much fucking sense to me
[01:18:05.490 --> 01:18:10.570]  And it's just like especially in a time when we're all like trying to make it out of this shithole of the last couple years
[01:18:10.850 --> 01:18:14.450]  You know what? I mean? Like we're all just trying to make keep our heads above water
[01:18:15.410 --> 01:18:17.810]  It's like that's got to be the way to do it
[01:18:17.810 --> 01:18:22.210]  You got to create it as much of an open market as possible for people will be able to get it
[01:18:22.210 --> 01:18:29.570]  I mean you got a bureaucracies bureaucracy wherever you go, but like it shouldn't cost you ten million dollars
[01:18:29.570 --> 01:18:31.570]  People are in the chat like 80 K's
[01:18:32.090 --> 01:18:36.650]  So expensive for an acre is like I'm in Vancouver BC right now
[01:18:37.650 --> 01:18:43.370]  farmland undeveloped with zero water advantages electrical like anything is
[01:18:44.890 --> 01:18:52.370]  $250,000 an acre that it like it's like you're nothing you're cut off from the world in rural fucking Canada
[01:18:52.930 --> 01:18:54.730]  But
[01:18:54.730 --> 01:18:59.730]  It's like that's so 80 K is like ridiculously cheap in a fully urban
[01:18:59.730 --> 01:19:06.930]  I like you know, you're next to a city and in a developed place with like high-speed internet and utility water and everything like that
[01:19:06.930 --> 01:19:10.450]  Set up, you know, like I can't even hope to afford a house here
[01:19:11.810 --> 01:19:18.930]  It's there's no way it goes up faster than I can save money. It's fucked. It's like it's gone up two million dollars in last year's
[01:19:19.010 --> 01:19:21.010]  Insane
[01:19:21.010 --> 01:19:27.610]  Absolutely absolutely killer, but it's it's like neat to see opportunities like like in the EU they they have
[01:19:28.210 --> 01:19:33.490]  They put in like 360 billion dollars into small farm applications
[01:19:33.490 --> 01:19:36.890]  so if you like if you want to develop like, you know and
[01:19:37.770 --> 01:19:38.970]  regenerative style farm
[01:19:38.970 --> 01:19:45.250]  You can get like a hundred thousand dollar grant from the government and develop your farm and actually put your put your stuff into it
[01:19:45.250 --> 01:19:47.250]  It's like what the fuck are we doing?
[01:19:48.250 --> 01:19:50.250]  In Canada
[01:19:50.730 --> 01:19:53.570]  You know in the world where it's just like in the world
[01:19:54.090 --> 01:19:59.050]  Yeah, the dumbest shit fucking ever, you know, it doesn't make a lot of sense
[01:20:01.650 --> 01:20:04.170]  Introspective later, I've had a long exhausting week
[01:20:05.170 --> 01:20:07.090]  And I'm tired
[01:20:07.090 --> 01:20:09.090]  But I loved it
[01:20:10.210 --> 01:20:18.050]  Yeah, good well you got a fucking crazy one how many plant how many plants do you put out in the in the spring there
[01:20:18.050 --> 01:20:20.050]  mr. Trees
[01:20:20.050 --> 01:20:24.170]  Well, there's there's no like there's never an exact number of plants. It's
[01:20:25.730 --> 01:20:27.130]  Yeah, I get it, you know
[01:20:27.130 --> 01:20:31.850]  I get what I'm allowed to have here and then I get to see all all the plants at
[01:20:32.330 --> 01:20:38.450]  Like my clients places so like people are growing fruit trees and other stuff like we're always we we max them on out what they're
[01:20:38.450 --> 01:20:42.410]  Allowed to have at their place and then and so on so there's several
[01:20:42.410 --> 01:20:46.730]  I mean several places where I get to go see some of the genetics that are growing
[01:20:47.330 --> 01:20:49.330]  So I get a look at
[01:20:49.690 --> 01:20:57.770]  You know hundreds of plants of whatever varieties that I choose for that year for for certain places, which is kind of cool. So
[01:20:58.530 --> 01:21:00.530]  This year we're gonna put out some
[01:21:01.130 --> 01:21:07.290]  Of the Kandahar stuff we're gonna do more royal cushions because of the outdoor stuff we're gonna do more royal cush Kandahar
[01:21:08.130 --> 01:21:14.290]  And there might be a couple random things that I'll that I'll give out some fems and some stuff to my close buddies
[01:21:14.290 --> 01:21:15.810]  but for all like the
[01:21:15.810 --> 01:21:21.090]  You know the people that get just free seeds and we just plant a little garden next to their other gardens for their you know
[01:21:21.090 --> 01:21:23.090]  for their family and stuff, but
[01:21:23.570 --> 01:21:29.810]  Yeah, they'll be mostly royal cush Kandahar just for I know that they'll be bulletproof type stuff for outside
[01:21:29.810 --> 01:21:32.850]  And we'll get a see a lot of those flowers. So big, you know
[01:21:33.530 --> 01:21:37.290]  At least at least a couple hundred of those which will be nice
[01:21:38.690 --> 01:21:45.850]  So that's it sounds like it until I run out of energy or people to put plants in places
[01:21:47.810 --> 01:21:54.290]  It's you know, I'm you know, I've it's it's kind of a weird world where I
[01:21:55.850 --> 01:21:57.850]  Get it I get to help people
[01:21:57.970 --> 01:21:59.930]  Give them advice
[01:21:59.930 --> 01:22:02.570]  You know help with their fruit trees and other things like that
[01:22:02.850 --> 01:22:09.370]  And then there there's just a subgroup of people that are just normal cool people that do do canvas, too
[01:22:09.370 --> 01:22:12.090]  You know what? I mean? So it's like hey, you're my buddy
[01:22:12.090 --> 01:22:17.290]  You're my you're my friends and I just I'll give them seeds and then in that relationship
[01:22:17.290 --> 01:22:21.530]  I get to see those seeds because I take care of the trees anyway, you know what I mean?
[01:22:21.530 --> 01:22:23.530]  And it's just like it's like the win-win of
[01:22:24.090 --> 01:22:26.090]  Everything you know what I mean? So
[01:22:26.330 --> 01:22:27.970]  It's just a weird
[01:22:27.970 --> 01:22:35.050]  Yeah, so as long as I'm doing my thing I can see some stuff and it's kind of neat and everybody else has their own
[01:22:35.050 --> 01:22:38.370]  Way of doing things which is kind of cool and they all are you know?
[01:22:38.610 --> 01:22:44.330]  Cool type people that that like taking care of their their plants and their trees and other stuff. So they're always
[01:22:44.890 --> 01:22:51.130]  Interested in telling me what's going on in the garden? What's what what they're doing what they're not doing
[01:22:51.250 --> 01:22:54.410]  This one's getting sick. This one's not you know things like that
[01:22:54.410 --> 01:22:59.850]  So I get it really kind of see it from from a couple a couple different sets of eyes, which is kind of nice
