[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[01:34:19.170 --> 01:34:22.650]  because they don't have measurable amounts of THC
[01:34:22.650 --> 01:34:24.650]  until they really get into flowering.
[01:34:24.650 --> 01:34:27.810]  So realistically they wouldn't test hot,
[01:34:27.810 --> 01:34:29.810]  just like hemp doesn't test hot
[01:34:29.810 --> 01:34:32.970]  until it hits that three tenths of a percentage threshold.
[01:34:32.970 --> 01:34:36.250]  And I feel that with cannabis and the-
[01:34:36.250 --> 01:34:38.610]  Well, that work around it is not as simple
[01:34:38.610 --> 01:34:41.970]  because they require that it be like state licensed.
[01:34:41.970 --> 01:34:44.690]  And so the state regulations have rules
[01:34:44.690 --> 01:34:47.270]  for testing of the flowering pops.
[01:34:48.850 --> 01:34:50.690]  So it's, but when does-
[01:34:50.690 --> 01:34:51.530]  For hemp.
[01:34:51.530 --> 01:34:53.130]  So if these guys get busted,
[01:34:53.130 --> 01:34:55.290]  obviously in August and their plants,
[01:34:55.290 --> 01:34:56.690]  week six or whatever,
[01:34:56.690 --> 01:34:58.490]  yeah, there's gonna be lots of THC.
[01:34:58.490 --> 01:34:59.690]  But if they come in early,
[01:34:59.690 --> 01:35:01.530]  like they have to so many people,
[01:35:01.530 --> 01:35:05.330]  how can they not prove that that is not hemp?
[01:35:05.330 --> 01:35:06.170]  Good point.
[01:35:06.170 --> 01:35:07.730]  The hemp reasonable doubt is an issue
[01:35:07.730 --> 01:35:10.290]  that's gonna be brought up in court more and more often.
[01:35:10.290 --> 01:35:12.650]  And unless the person gives an admission
[01:35:12.650 --> 01:35:14.410]  that this is THC cannabis,
[01:35:14.410 --> 01:35:15.530]  they could say this is hemp.
[01:35:15.530 --> 01:35:17.370]  And how is the prosecution-
[01:35:17.370 --> 01:35:19.850]  A person isn't a laboratory, man.
[01:35:19.850 --> 01:35:21.450]  You could point at a clone all you want.
[01:35:21.450 --> 01:35:23.770]  I know, but an admission is always admissible.
[01:35:23.770 --> 01:35:25.810]  But, oh, okay.
[01:35:25.810 --> 01:35:28.010]  All right, well, it's to me though,
[01:35:28.010 --> 01:35:29.330]  it's part of the situation.
[01:35:29.330 --> 01:35:30.690]  A person's on a laboratory,
[01:35:30.690 --> 01:35:32.850]  but their admission could be used against them.
[01:35:32.850 --> 01:35:34.650]  So just zip it.
[01:35:34.650 --> 01:35:37.150]  If somebody were to say, this is all hemp,
[01:35:37.150 --> 01:35:42.150]  then it's upon the crime lab to show it's not hemp.
[01:35:42.250 --> 01:35:45.130]  And their presumptive test is overly sensitive.
[01:35:45.130 --> 01:35:48.650]  It cannot distinguish between hemp and cannabis.
[01:35:48.650 --> 01:35:50.930]  They're gonna have to send it out for further testing.
[01:35:50.930 --> 01:35:52.210]  Exactly, and my point is,
[01:35:52.210 --> 01:35:53.970]  if they come and they cut up your vegetables,
[01:35:53.970 --> 01:35:56.490]  they're criminally liable for what they destroy.
[01:35:56.490 --> 01:35:59.410]  So if they come and they turn up these guys,
[01:35:59.410 --> 01:36:00.830]  because one of the arguments was,
[01:36:00.830 --> 01:36:03.330]  people are literally growing vegetables in hoop houses
[01:36:03.330 --> 01:36:04.730]  and getting raided anyway,
[01:36:04.730 --> 01:36:06.890]  because these idiots don't know from the helicopter
[01:36:06.890 --> 01:36:07.890]  what's in the hoop.
[01:36:07.890 --> 01:36:10.530]  And the reality is, is that once they come down,
[01:36:10.530 --> 01:36:11.850]  if they take this stuff
[01:36:11.850 --> 01:36:14.250]  and it doesn't have measurable amounts of THC,
[01:36:14.250 --> 01:36:17.050]  then they have unlawfully destroyed your property.
[01:36:17.050 --> 01:36:19.690]  It could, if you're growing lawfully,
[01:36:19.690 --> 01:36:21.130]  according to the local ordinance.
[01:36:21.130 --> 01:36:24.530]  Many places now have moratorium on help cultivation.
[01:36:24.530 --> 01:36:26.970]  So you can't really use the hemp defense
[01:36:26.970 --> 01:36:30.170]  and say like Mendocino County, which has a hemp moratorium.
[01:36:30.170 --> 01:36:34.250]  Or in Sonoma County, they used to have one that got repealed
[01:36:34.250 --> 01:36:37.210]  because the Farm Bureau saw such potential in hemp
[01:36:37.210 --> 01:36:40.250]  and all the struggling dairy farmers are going towards hemp.
[01:36:40.250 --> 01:36:42.770]  So there's many promising aspects of hemp.
[01:36:42.770 --> 01:36:46.210]  Like many of my clients are now registering intent
[01:36:46.210 --> 01:36:49.850]  to use federal trademark applications for hemp,
[01:36:49.850 --> 01:36:53.210]  and that will help them claim that namespace,
[01:36:53.210 --> 01:36:58.210]  the brand that they're registering with USPTO for hemp.
[01:36:58.250 --> 01:37:01.050]  And that will help them kind of like plant a flag
[01:37:01.050 --> 01:37:03.530]  that can be used later for the cannabis brand
[01:37:03.530 --> 01:37:04.970]  once it becomes legal.
[01:37:04.970 --> 01:37:07.910]  And so, the hemp angle is interesting
[01:37:07.910 --> 01:37:09.690]  and there's many opportunities.
[01:37:09.690 --> 01:37:12.770]  I went to Toronto last year
[01:37:12.770 --> 01:37:14.770]  and there were many hemp companies
[01:37:14.770 --> 01:37:18.090]  that were talking about trying to get distribution channels
[01:37:18.090 --> 01:37:19.970]  for their hemp products on the,
[01:37:19.970 --> 01:37:22.370]  trying to anticipate that once cannabis
[01:37:22.370 --> 01:37:23.970]  becomes federally legal,
[01:37:23.970 --> 01:37:27.850]  then the same distribution channels can be used
[01:37:27.850 --> 01:37:31.650]  to get their products into the CVS or the-
[01:37:32.690 --> 01:37:34.810]  Now that's what I always think about.
[01:37:34.810 --> 01:37:37.250]  Any brand that adds a CBD line,
[01:37:37.250 --> 01:37:40.570]  it's basically we're building national distribution
[01:37:40.570 --> 01:37:43.490]  so that we're in place.
[01:37:43.490 --> 01:37:45.290]  That's right.
[01:37:45.290 --> 01:37:48.210]  Omar, just quickly, Cascadian Grown asked,
[01:37:48.210 --> 01:37:51.490]  can we ask Omar of electronic signature gathering
[01:37:51.490 --> 01:37:53.970]  is possible for a new proposition?
[01:37:53.970 --> 01:37:57.810]  Yes, with a change of the legislature.
[01:37:57.810 --> 01:38:00.430]  So, it is possible,
[01:38:00.430 --> 01:38:03.970]  but we're gonna need some legislative changes happening.
[01:38:03.970 --> 01:38:06.570]  I know that there was an effort in Ohio
[01:38:06.570 --> 01:38:08.410]  where somebody was trying to get
[01:38:08.410 --> 01:38:10.770]  a marijuana initiative on the ballot
[01:38:10.770 --> 01:38:14.810]  and the federal judge ordered the local officials
[01:38:14.810 --> 01:38:16.890]  to allow signature gathering.
[01:38:16.890 --> 01:38:18.410]  And then it was appealed
[01:38:18.410 --> 01:38:20.530]  and then the appellate court recently said,
[01:38:20.530 --> 01:38:21.890]  no, they don't really have to allow
[01:38:21.890 --> 01:38:23.690]  electronic signature gathering.
[01:38:23.690 --> 01:38:27.610]  So, I think the best solution is to contact our legislators
[01:38:28.450 --> 01:38:32.410]  and allow electronic signature gathering for initiatives,
[01:38:32.410 --> 01:38:36.610]  which will enable us to have a cannabis initiative
[01:38:36.610 --> 01:38:40.130]  and allow us to update our current cannabis system.
[01:38:40.130 --> 01:38:44.970]  The problem with Prop 64 is that it's kind of locked in.
[01:38:44.970 --> 01:38:48.490]  Any changes have to happen
[01:38:48.490 --> 01:38:51.090]  either with a new initiative altogether
[01:38:51.090 --> 01:38:54.530]  or the legislature can make changes to Prop 64,
[01:38:54.530 --> 01:38:58.370]  but only in furtherance of the purposes of Prop 64.
[01:38:58.370 --> 01:39:00.650]  And let us remember what the name was.
[01:39:00.650 --> 01:39:03.690]  It was the Controlled Tax and Regulate Initiative.
[01:39:03.690 --> 01:39:05.450]  So, it was all about controlling
[01:39:05.450 --> 01:39:09.410]  what they deemed to be a very dangerous substance.
[01:39:09.410 --> 01:39:13.810]  And it's, I think, a relic of a past era.
[01:39:13.810 --> 01:39:15.370]  It clearly doesn't work.
[01:39:15.370 --> 01:39:18.130]  That's why the governor's office is trying to do
[01:39:18.130 --> 01:39:20.290]  what they call unification,
[01:39:20.290 --> 01:39:23.050]  which ultimately is gonna be like simplification
[01:39:23.050 --> 01:39:25.050]  just because like the Byzantine system
[01:39:25.050 --> 01:39:27.650]  they came up with is unworkable
[01:39:27.650 --> 01:39:30.330]  and really presents barriers to entry
[01:39:30.330 --> 01:39:34.090]  to what I call the high quality manufacturers
[01:39:34.090 --> 01:39:35.610]  or the high quality growers.
[01:39:36.970 --> 01:39:38.010]  But I don't wanna talk no more
[01:39:38.010 --> 01:39:41.250]  because everybody here has so many interesting things
[01:39:41.250 --> 01:39:44.570]  to say it's better for me to be quiet and learn.
[01:39:44.570 --> 01:39:45.730]  Dare I say this though,
[01:39:45.730 --> 01:39:48.290]  that the control has always really been,
[01:39:48.290 --> 01:39:49.730]  they don't give a crap about us.
[01:39:49.730 --> 01:39:52.850]  They don't care about our wealth and health and wellbeing.
[01:39:52.850 --> 01:39:54.290]  We could drink ourselves
[01:39:54.290 --> 01:39:56.170]  till we are just a puddle of nothing.
[01:39:56.170 --> 01:39:57.090]  They don't care about us,
[01:39:57.090 --> 01:39:59.570]  but it's about controlling the commerce
[01:39:59.570 --> 01:40:00.970]  and the money that people make
[01:40:00.970 --> 01:40:03.890]  and coming in and attacking people and stealing their,
[01:40:03.890 --> 01:40:06.130]  they're literally property attractor,
[01:40:06.570 --> 01:40:08.690]  it's economically devastating.
[01:40:08.690 --> 01:40:10.890]  And what are you left to do?
[01:40:10.890 --> 01:40:12.770]  I mean, the only upside I see
[01:40:12.770 --> 01:40:15.770]  is that we're not being marched down to prison
[01:40:15.770 --> 01:40:18.370]  and having to go get a lawyer and go from,
[01:40:18.370 --> 01:40:19.610]  and they still take your property.
[01:40:19.610 --> 01:40:20.970]  I mean, back in the 90s,
[01:40:20.970 --> 01:40:23.410]  I had friends who wrote, Spectra Forfeiture
[01:40:23.410 --> 01:40:25.530]  because they were stealing our stuff.
[01:40:25.530 --> 01:40:27.210]  Man, they stole like everything
[01:40:27.210 --> 01:40:28.450]  when they raided me in 97.
[01:40:28.450 --> 01:40:31.130]  Man, they walked through my house with like a looter
[01:40:31.130 --> 01:40:33.210]  and they took only the expensive shit.
[01:40:33.210 --> 01:40:34.730]  Like they left crappy cameras
[01:40:34.730 --> 01:40:37.890]  and they left the crappy TV and it was unbelievable.
[01:40:37.890 --> 01:40:39.850]  And, but now-
[01:40:39.850 --> 01:40:43.010]  Even though the search warrants said, take it off.
[01:40:43.010 --> 01:40:44.570]  Yeah, they didn't want anything crappy.
[01:40:44.570 --> 01:40:47.810]  They like anything that was below their level of takeage
[01:40:47.810 --> 01:40:51.010]  was unbelievable, but it's devastating
[01:40:51.010 --> 01:40:52.330]  any way you go through it.
[01:40:52.330 --> 01:40:53.890]  At least the upside now is that,
[01:40:53.890 --> 01:40:55.690]  you guys aren't getting torn away from your families
[01:40:55.690 --> 01:40:57.570]  and sitting in a prison.
[01:40:57.570 --> 01:40:59.370]  And that just gives me hope
[01:40:59.370 --> 01:41:00.850]  that there's a way we can organize
[01:41:00.850 --> 01:41:02.290]  and continue to fight back.
[01:41:03.090 --> 01:41:06.250]  Because realistically we have to.
[01:41:06.250 --> 01:41:07.090]  Good point.
[01:41:07.090 --> 01:41:08.650]  Now that people are not getting cleaned out
[01:41:08.650 --> 01:41:10.930]  and they don't have to come up with 10 grand for bail
[01:41:10.930 --> 01:41:12.610]  and 20 grand for a lawyer,
[01:41:12.610 --> 01:41:14.730]  they got a lot more discretionary income
[01:41:14.730 --> 01:41:18.370]  that can be used to like fund a change in the laws.
[01:41:18.370 --> 01:41:19.210]  But can I say this?
[01:41:19.210 --> 01:41:21.170]  So part of the problem is that a lot of the lawyers
[01:41:21.170 --> 01:41:23.370]  I've spoken to, you're a criminal.
[01:41:23.370 --> 01:41:26.170]  I mean, a lot of you guys are not really well-versed
[01:41:26.170 --> 01:41:27.450]  in civil forfeiture.
[01:41:27.450 --> 01:41:31.370]  And the problem is, is these cases are civil litigation
[01:41:31.370 --> 01:41:33.570]  because they go after them for fines.
[01:41:33.570 --> 01:41:37.010]  They go after their property and they lose their property.
[01:41:37.010 --> 01:41:39.090]  And that's everything to these people.
[01:41:39.090 --> 01:41:42.530]  And it's taking literally your home, your everything.
[01:41:42.530 --> 01:41:44.650]  And how do we fight that when they're not-
[01:41:44.650 --> 01:41:46.250]  Even if you got to pay it, you're right.
[01:41:46.250 --> 01:41:47.090]  Good point.
[01:41:47.090 --> 01:41:48.850]  I have friends who do asset forfeiture.
[01:41:48.850 --> 01:41:51.490]  And even if you have all the paperwork to prove
[01:41:51.490 --> 01:41:55.250]  that you can get your ceased assets returned to you,
[01:41:55.250 --> 01:41:57.810]  the lawyer still wants 30% for their time
[01:41:57.810 --> 01:41:59.970]  because these are time consuming cases.
[01:42:00.010 --> 01:42:02.610]  And so the cost, like when you're righteous,
[01:42:02.610 --> 01:42:04.530]  when it's a righteous case and you can prove
[01:42:04.530 --> 01:42:06.250]  you should get the money back,
[01:42:06.250 --> 01:42:08.690]  you only get two thirds back
[01:42:08.690 --> 01:42:10.490]  because you got to give a lawyer a third.
[01:42:10.490 --> 01:42:11.970]  Is there a conversion?
[01:42:11.970 --> 01:42:13.610]  Is there a way to convert a case?
[01:42:13.610 --> 01:42:14.890]  I know it sounds weird,
[01:42:14.890 --> 01:42:17.890]  but is there a way to convert a case from civil to criminal?
[01:42:17.890 --> 01:42:20.770]  Because a part of the problems the farmers I speak to have
[01:42:20.770 --> 01:42:24.570]  is that they cannot defend their case on criminal-
[01:42:24.570 --> 01:42:26.050]  Like I had cancer.
[01:42:26.050 --> 01:42:29.330]  I have a right to this because they're not being attacked.
[01:42:29.450 --> 01:42:32.650]  It's their property being taxed.
[01:42:32.650 --> 01:42:33.490]  That's right.
[01:42:35.970 --> 01:42:38.850]  You cannot convert a case to criminal.
[01:42:38.850 --> 01:42:42.250]  The only person who can file a criminal complaint
[01:42:42.250 --> 01:42:43.290]  is the district attorney.
[01:42:43.290 --> 01:42:45.490]  That's their exclusive power.
[01:42:45.490 --> 01:42:48.730]  And so you can refer cases to the DA for prosecution,
[01:42:48.730 --> 01:42:53.730]  but even if you did, it doesn't extinguish the other action.
[01:42:53.730 --> 01:42:55.410]  It's just another case.
[01:42:55.410 --> 01:42:57.010]  If there's not illegal commerce,
[01:42:57.010 --> 01:42:59.050]  how does a tractor break the law?
[01:43:00.650 --> 01:43:03.730]  Well, I mean, those are like the issues that you litigate
[01:43:03.730 --> 01:43:06.930]  when you contest the forfeiture, right?
[01:43:06.930 --> 01:43:08.330]  If there's no illegal commerce,
[01:43:08.330 --> 01:43:12.810]  like what is the predicate illegality for the seizure?
[01:43:12.810 --> 01:43:16.890]  And that's why these asset forfeiture lawyers
[01:43:16.890 --> 01:43:21.210]  end up specializing in it because it's like maritime law.
[01:43:21.210 --> 01:43:25.250]  The asset forfeiture law comes from the law of pirate ships
[01:43:25.250 --> 01:43:26.970]  where they would seize a pirate ship
[01:43:27.810 --> 01:43:29.330]  and they would consider the pirate ship
[01:43:29.330 --> 01:43:31.210]  the property of the king.
[01:43:31.210 --> 01:43:33.970]  And so it's all this ancient maritime law
[01:43:33.970 --> 01:43:36.010]  that's really a specialty.
[01:43:36.010 --> 01:43:38.210]  And I don't do it because I don't like
[01:43:38.210 --> 01:43:39.370]  committing malpractice.
[01:43:39.370 --> 01:43:40.530]  I know there's many lawyers
[01:43:40.530 --> 01:43:42.250]  who just don't have any inhibitions
[01:43:42.250 --> 01:43:43.930]  and they'll take on anything
[01:43:43.930 --> 01:43:46.450]  and fuck up all sorts of cases,
[01:43:46.450 --> 01:43:49.650]  but that's not my style, I guess.
[01:43:50.970 --> 01:43:54.370]  But you make a good point that this asset forfeiture,
[01:43:54.370 --> 01:43:55.930]  there's not many lawyers who practice it.
[01:43:55.930 --> 01:43:59.010]  I would say David Michael, Brenda Grantland
[01:43:59.010 --> 01:44:02.650]  and Carolyn Hagan are like the Bay Area lawyers
[01:44:02.650 --> 01:44:03.890]  who are good at it,
[01:44:03.890 --> 01:44:05.050]  but there's not many lawyers
[01:44:05.050 --> 01:44:07.970]  who really know their asset forfeiture.
[01:44:07.970 --> 01:44:10.210]  And then code compliance is a clusterfuck.
[01:44:10.210 --> 01:44:14.450]  Most lawyers don't wanna do it because it's not,
[01:44:15.410 --> 01:44:17.250]  you're not arguing in front of a jury,
[01:44:17.250 --> 01:44:19.730]  like when you're defending somebody's liberty,
[01:44:20.610 --> 01:44:22.690]  you're basically like arguing in front of like
[01:44:22.690 --> 01:44:24.290]  the kangaroo court for somebody
[01:44:24.290 --> 01:44:25.410]  who's just rolling their eyes
[01:44:25.890 --> 01:44:27.810]  and they're like, oh, can I go home now?
[01:44:27.810 --> 01:44:29.570]  Is this over now?
[01:44:29.570 --> 01:44:32.570]  And it's not the most compelling type
[01:44:32.570 --> 01:44:34.730]  of legal practice for many.
[01:44:34.730 --> 01:44:37.730]  And so that's why the people end up
[01:44:37.730 --> 01:44:39.610]  usually having to learn how to do it on their own,
[01:44:39.610 --> 01:44:41.170]  which is extremely empowering.
[01:44:42.210 --> 01:44:43.530]  It just underlines the fact
[01:44:43.530 --> 01:44:45.330]  that it's all about the money control.
[01:44:45.330 --> 01:44:48.970]  It's all because a tractor can't break the law.
[01:44:48.970 --> 01:44:50.570]  So to take somebody's tractor,
[01:44:50.570 --> 01:44:52.890]  an inanimate object and charge it with a crime,
[01:44:52.930 --> 01:44:56.650]  so to speak, and use that as predicate to take it away
[01:44:56.650 --> 01:44:59.770]  is really, to me, it's, you know,
[01:44:59.770 --> 01:45:00.610]  but America is a flawed system.
[01:45:00.610 --> 01:45:03.050]  It's like the king taking the pirate ship
[01:45:03.050 --> 01:45:07.970]  and taking the swords and taking every instrument
[01:45:07.970 --> 01:45:09.490]  used by the pirates.
[01:45:09.490 --> 01:45:11.050]  Right, it's wrong, right?
[01:45:11.050 --> 01:45:13.050]  Yes, and they're the pirates.
[01:45:13.050 --> 01:45:14.650]  And I mean, you know, like,
[01:45:15.530 --> 01:45:18.050]  we do need the lawyers that we know.
[01:45:18.050 --> 01:45:19.970]  A lot of my activist friends that are lawyers,
[01:45:19.970 --> 01:45:21.490]  you've been a great one.
[01:45:21.810 --> 01:45:23.410]  Omar, I've admired you for many years, you know,
[01:45:23.410 --> 01:45:26.610]  and David Michael was my attorney 20 plus years ago.
[01:45:26.610 --> 01:45:28.810]  Oh yeah, there you are, he's still doing it.
[01:45:28.810 --> 01:45:31.570]  Yeah, back when Pier 5 was actually at Pier 5.
[01:45:31.570 --> 01:45:34.250]  That's right, oh my God.
[01:45:34.250 --> 01:45:36.210]  And he's a great guy, you know,
[01:45:36.210 --> 01:45:38.810]  but it's messed up that now that his specialty
[01:45:38.810 --> 01:45:40.170]  has gone from criminal defense
[01:45:40.170 --> 01:45:43.090]  to having to basically defend the right
[01:45:43.090 --> 01:45:45.610]  of inanimate objects of people to own them,
[01:45:45.610 --> 01:45:48.130]  you know, if there's no criminal law broken,
[01:45:48.130 --> 01:45:50.970]  which is really the odd part about all of this.
[01:45:51.410 --> 01:45:54.410]  I've sat here wondering how can we craft another initiative
[01:45:54.410 --> 01:45:56.890]  or how can you deal with this on a bigger level?
[01:45:56.890 --> 01:45:59.210]  Because we had this problem in 96.
[01:45:59.210 --> 01:46:00.050]  I mean,
[01:46:00.050 --> 01:46:01.170]  To really legalize it, you know,
[01:46:01.170 --> 01:46:04.570]  my idea would be like repeal all cannabis crimes.
[01:46:04.570 --> 01:46:07.890]  And then basically, you know, there's many ways to do it.
[01:46:07.890 --> 01:46:12.810]  You could just allow people to like buy a tax stamp, right?
[01:46:12.810 --> 01:46:14.970]  And with all the modern technology,
[01:46:14.970 --> 01:46:17.410]  you can like buy a tax stamp that you put on the cannabis
[01:46:17.410 --> 01:46:19.290]  and now that cannabis is legal.
[01:46:19.290 --> 01:46:20.690]  And that would bring in all the people
[01:46:20.690 --> 01:46:23.130]  from the duty free market.
[01:46:23.130 --> 01:46:24.690]  And, you know, they would be happy
[01:46:24.690 --> 01:46:27.170]  to like buy their tax stamp online anonymously
[01:46:27.170 --> 01:46:28.250]  and slap it on their bag.
[01:46:28.250 --> 01:46:31.570]  And if they get busted, hey, I paid my tax stamp.
[01:46:31.570 --> 01:46:33.850]  Leave me alone, get out of my face, you know?
[01:46:33.850 --> 01:46:36.930]  And I hate it still though, it seems so prohibitionesque.
[01:46:36.930 --> 01:46:40.250]  I mean, but it is, you know,
[01:46:40.250 --> 01:46:43.690]  we've been oppressed for so long that anything feels better
[01:46:43.690 --> 01:46:47.810]  than, you know, getting our dog shot and getting locked up.
[01:46:47.810 --> 01:46:50.010]  You know, and it's been a long hard road.
[01:46:50.010 --> 01:46:52.850]  And, you know, my heart goes out to everybody
[01:46:52.850 --> 01:46:54.170]  going through what they're going through now,
[01:46:54.170 --> 01:46:56.170]  but it's so much better than what it was like
[01:46:56.170 --> 01:46:58.730]  when the feds came in and really came in
[01:46:58.730 --> 01:47:01.730]  and everything was taken and everything was killed
[01:47:01.730 --> 01:47:05.690]  and like nothing, you didn't go home to your property, man.
[01:47:05.690 --> 01:47:08.370]  It wasn't yours to visit again.
[01:47:08.370 --> 01:47:11.210]  So we've come a long way and we still got to keep fighting.
[01:47:11.210 --> 01:47:12.330]  There's no two questions.
[01:47:12.330 --> 01:47:13.650]  I mean, you know, but.
[01:47:14.930 --> 01:47:17.090]  Well, you know what you're talking about now?
[01:47:17.410 --> 01:47:18.410]  It's making me think like, yeah,
[01:47:18.410 --> 01:47:20.810]  this cannabis tax stamp sounds silly
[01:47:20.810 --> 01:47:23.130]  when you think about it in terms of cannabis freedom.
[01:47:23.130 --> 01:47:25.050]  What about like a cannabis testing stamp?
[01:47:25.050 --> 01:47:27.730]  Like, hey, it doesn't have any contaminants
[01:47:27.730 --> 01:47:29.370]  and that's all you need to sell it.
[01:47:29.370 --> 01:47:31.570]  Me and Jack, you know, we're really close
[01:47:31.570 --> 01:47:32.570]  and we used to fight a lot
[01:47:32.570 --> 01:47:34.050]  because if you're really close to Jack,
[01:47:34.050 --> 01:47:35.170]  you always fought with Jack.
[01:47:35.170 --> 01:47:36.010]  It was- Of course.
[01:47:36.010 --> 01:47:36.930]  You always fought with Jack.
[01:47:36.930 --> 01:47:38.210]  He's a contrarian.
[01:47:38.210 --> 01:47:42.290]  Yeah, he wanted a $10 tax on every ounce.
[01:47:42.290 --> 01:47:45.170]  And I was like, bro, that's 160 bucks on a pound of weed.
[01:47:45.170 --> 01:47:47.450]  Like, you know, organic dried tomatoes
[01:47:47.450 --> 01:47:49.930]  is like 10 bucks a pound on a bad day.
[01:47:49.930 --> 01:47:51.810]  What happens to the day cannabis,
[01:47:51.810 --> 01:47:54.290]  organic dried cannabis is 10 bucks a pound.
[01:47:54.290 --> 01:47:56.810]  And then I got to pay $160 tax
[01:47:56.810 --> 01:47:58.530]  because you thought that was cheap.
[01:47:58.530 --> 01:48:00.730]  And he was just like, oh, it'll never be that cheap.
[01:48:00.730 --> 01:48:02.490]  And I was like, really?
[01:48:02.490 --> 01:48:03.850]  When everyone can grow it?
[01:48:03.850 --> 01:48:04.690]  Really?
[01:48:04.690 --> 01:48:06.250]  When tomatoes are in everyone's backyard,
[01:48:06.250 --> 01:48:09.410]  it's not going to be like, whatever, here's free bud.
[01:48:09.410 --> 01:48:10.450]  Get real, dude.
[01:48:10.450 --> 01:48:12.530]  I don't see how that's not going to change.
[01:48:12.530 --> 01:48:15.130]  It should always be based on what the market value is.
[01:48:15.970 --> 01:48:17.170]  But I think the market value is ridiculous.
[01:48:17.170 --> 01:48:18.810]  I'm writing an article now about,
[01:48:18.810 --> 01:48:21.330]  I think the greed in the industry is killing the industry
[01:48:21.330 --> 01:48:23.410]  because you stop and think about it.
[01:48:23.410 --> 01:48:24.810]  You go into one of these weed shops,
[01:48:24.810 --> 01:48:27.810]  it's 50 bucks an eighth plus for a good bud.
[01:48:27.810 --> 01:48:30.610]  I mean, go back to 1994 on a dead lot.
[01:48:30.610 --> 01:48:31.450]  Guess what?
[01:48:31.450 --> 01:48:32.410]  50 bucks an eighth.
[01:48:32.410 --> 01:48:35.690]  It was more than 400 if they didn't like you,
[01:48:35.690 --> 01:48:37.490]  but it was the same price.
[01:48:37.490 --> 01:48:40.610]  And now these asses are operating legally.
[01:48:40.610 --> 01:48:43.650]  And it's like, why are we paying the same amount of money?
[01:48:43.650 --> 01:48:44.490]  Yeah.
[01:48:44.730 --> 01:48:47.210]  We're never going to see the, whatever you want.
[01:48:47.210 --> 01:48:48.170]  It's a taxation.
[01:48:48.170 --> 01:48:49.890]  It's not the prohibition premium.
[01:48:49.890 --> 01:48:51.850]  The prohibition premium has been replaced
[01:48:51.850 --> 01:48:54.370]  by the state and local taxation.
[01:48:54.370 --> 01:48:55.650]  Well, it's not worth it.
[01:48:55.650 --> 01:48:57.650]  And I mean, when are we going to get to a point
[01:48:57.650 --> 01:49:00.890]  where the illicit market or legacy market,
[01:49:00.890 --> 01:49:03.090]  or whatever you want to call us, market,
[01:49:03.090 --> 01:49:07.130]  isn't going to go away until the price is changed,
[01:49:07.130 --> 01:49:09.650]  until the legal producers sell cannabis
[01:49:09.650 --> 01:49:11.970]  for two or three times the cost of production.
[01:49:11.970 --> 01:49:14.450]  And you can go down there and buy it like you buy,
[01:49:15.250 --> 01:49:17.290]  organic dried tomatoes for eight bucks a pound.
[01:49:17.290 --> 01:49:19.810]  Cannabis is never going to come down in price.
[01:49:19.810 --> 01:49:23.330]  And there's always going to be this burden placed on people
[01:49:23.330 --> 01:49:25.050]  that are growing it because they're like,
[01:49:25.050 --> 01:49:26.450]  hey, you know what?
[01:49:26.450 --> 01:49:27.770]  You're being greedy.
[01:49:27.770 --> 01:49:29.090]  We're going to come after your money.
[01:49:29.090 --> 01:49:30.450]  We're going to take your shit.
[01:49:30.450 --> 01:49:31.850]  Because that's all it's about.
[01:49:31.850 --> 01:49:35.090]  And we're not going to lose that until the profit's gone.
[01:49:35.090 --> 01:49:37.290]  And I hate to say it, but it's totally true.
[01:49:38.970 --> 01:49:41.450]  But how many growers right now are actually pricing
[01:49:41.450 --> 01:49:43.410]  two or three times cost of production?
[01:49:44.330 --> 01:49:45.170]  No one.
[01:49:45.170 --> 01:49:46.010]  Not many.
[01:49:46.010 --> 01:49:46.850]  No.
[01:49:46.850 --> 01:49:48.570]  Not in the regulated market.
[01:49:48.570 --> 01:49:50.650]  I think in the duty-free market,
[01:49:50.650 --> 01:49:52.650]  it's a different ballgame.
[01:49:52.650 --> 01:49:55.690]  I mean, what I do like to see these days
[01:49:55.690 --> 01:50:00.610]  is the genius cannabis investment company,
[01:50:02.250 --> 01:50:06.970]  the Bilzerian, Ignite brand, the MedMen comeuppance.
[01:50:06.970 --> 01:50:11.210]  It's a lot of karma is finally coming through
[01:50:11.210 --> 01:50:12.050]  for all these producers.
[01:50:12.050 --> 01:50:15.810]  So actually the journalist who wrote that whole series
[01:50:15.810 --> 01:50:17.770]  of articles on the Genius Fund,
[01:50:17.770 --> 01:50:20.090]  I talked to her and she wants to come on
[01:50:20.090 --> 01:50:24.370]  and talk about that story and bring on possibly
[01:50:24.370 --> 01:50:27.050]  some of the former employees.
[01:50:27.050 --> 01:50:27.890]  Oh, love it.
[01:50:27.890 --> 01:50:28.730]  I want to see it.
[01:50:28.730 --> 01:50:30.330]  I'll bring my popcorn.
[01:50:32.130 --> 01:50:32.970]  So-
[01:50:32.970 --> 01:50:34.730]  I think the company's rightly named
[01:50:34.730 --> 01:50:37.050]  considering it's burning up so fast.
[01:50:37.050 --> 01:50:39.890]  Yes, they were truly geniuses.
[01:50:39.890 --> 01:50:44.330]  So Todd, when Tony Serra was representing you
[01:50:44.330 --> 01:50:46.970]  on court days, did he ever turn to you and say,
[01:50:46.970 --> 01:50:48.690]  I just took a lot of LSD?
