[00:00.700 --> 00:08.700]  All right, good morning. Welcome to the East Bay Sea Collective show.
[55:46.950 --> 55:51.110]  But they really do have a place in, you know,
[55:51.110 --> 55:52.550]  in the backyard garden.
[55:52.550 --> 55:54.050]  And, you know, it can,
[55:55.510 --> 55:57.590]  it can find a place in the commercial farm.
[55:57.590 --> 55:59.430]  I know the commercial industry is like, you know,
[55:59.430 --> 56:01.430]  definitely turned on its head these past couple of years
[56:01.430 --> 56:04.390]  with the corporate takeover of yet another industry,
[56:04.390 --> 56:06.110]  maybe the last industry, you know,
[56:06.110 --> 56:09.190]  and it's unfortunate, you know,
[56:09.190 --> 56:14.190]  to see, you know, the Walmart or Weed, you know,
[56:14.790 --> 56:17.590]  put out another line of small businesses,
[56:17.590 --> 56:19.670]  just like the real Walmart did, you know.
[56:21.110 --> 56:22.990]  Yeah. But I think some of these new autos,
[56:22.990 --> 56:24.950]  especially, you know, and if you're doing like, you know,
[56:24.950 --> 56:28.950]  terpene extraction or cannabinoid extraction or hash,
[56:28.950 --> 56:31.470]  I think these new autos are going to have a place again
[56:31.470 --> 56:33.110]  on the commercial farm, you know.
[56:34.110 --> 56:36.710]  They kind of dissipated the past couple of years
[56:36.710 --> 56:38.230]  with the market collapse.
[56:41.040 --> 56:42.400]  Right. Right.
[56:45.600 --> 56:49.200]  What, do you also breed photos?
[56:49.200 --> 56:50.040]  I would assume you do.
[56:50.040 --> 56:51.200]  Yeah. Yeah.
[56:51.200 --> 56:52.400]  Yeah. I breed photos.
[56:52.400 --> 56:55.840]  I've been, you know,
[56:55.840 --> 56:58.360]  I think this is, this will be my 20th season
[56:58.360 --> 56:59.400]  growing cannabis.
[56:59.400 --> 57:02.800]  My dad started in 76 and yeah,
[57:02.800 --> 57:06.800]  I said, we've always made seeds and, you know,
[57:06.800 --> 57:10.240]  it's one of my favorite parts about, you know, farming
[57:10.920 --> 57:12.200]  is saving seeds.
[57:12.200 --> 57:14.520]  And for me, you know, cannabis was my gateway plant.
[57:14.520 --> 57:16.520]  It was like the first thing I ever grew.
[57:17.640 --> 57:19.640]  But now I'm obsessed, you know,
[57:19.640 --> 57:21.800]  like I just started a bunch of peach trees from seed
[57:21.800 --> 57:25.680]  and, you know, I've got, I'm always, you know,
[57:25.680 --> 57:30.000]  people send me, you know, flower seeds or whatever from,
[57:30.000 --> 57:32.040]  you know, I've just seen trades with people, you know,
[57:32.040 --> 57:34.960]  it's like they got, yeah, it's great.
[57:35.600 --> 57:36.440]  Great.
[57:38.800 --> 57:43.240]  I'll be running about 10 autos outdoor early this year.
[57:43.240 --> 57:48.240]  See if I can, early enough to beat the later pest pressures.
[57:50.320 --> 57:51.160]  Yeah. Do you want to,
[57:51.160 --> 57:53.600]  you want to talk on pest pressures and autos at all?
[57:57.610 --> 58:00.690]  An issue in the autos we've grown with pests
[58:02.050 --> 58:03.570]  and we've never sprayed them with anything,
[58:03.570 --> 58:05.690]  but maybe that is because, you know,
[58:05.690 --> 58:08.170]  it's like we harvest them before the, you know,
[58:08.170 --> 58:10.810]  before a lot of the mites bloom and stuff.
[58:10.810 --> 58:13.810]  So I've never thought about that angle of the autos,
[58:13.810 --> 58:15.530]  but yeah, that makes sense.
[58:15.530 --> 58:17.330]  And I mean, I would be curious if,
[58:17.330 --> 58:19.490]  how's the powder mildew pressure?
[58:19.490 --> 58:22.370]  It seems like it's non-existent then too,
[58:23.410 --> 58:25.970]  because you know, you don't get powder mildew
[58:25.970 --> 58:29.610]  where we're at in July and August, you know?
[58:30.210 --> 58:31.050]  And.
[58:33.370 --> 58:34.850]  And then this person asked,
[58:36.170 --> 58:37.010]  what is their question?
[58:37.010 --> 58:40.290]  And do you feed autos the same or less than photos?
[58:40.290 --> 58:41.770]  I know you already answered that, but.
[58:41.770 --> 58:43.090]  Yeah, yeah. Way, way less.
[58:43.090 --> 58:46.210]  You want to feed autos a third
[58:46.210 --> 58:48.610]  of what you're going to feed a photo, you know?
[58:48.610 --> 58:51.930]  And we grow a lot of ours just in, you know,
[58:51.930 --> 58:54.850]  amended clay soil, like just compost.
[58:54.850 --> 58:58.410]  We do that no-till, you know, light top dressing,
[58:58.410 --> 59:02.250]  if anything, and, you know,
[59:02.250 --> 59:07.250]  these autos that we grow and breed,
[59:08.170 --> 59:10.530]  you know, this is more with the autos,
[59:10.530 --> 59:12.930]  because you don't want, the concern is if you overfeed them,
[59:12.930 --> 59:14.610]  you're going to get more hermaphrodites,
[59:14.610 --> 59:16.050]  especially with the nitrogen.
[59:18.650 --> 59:20.930]  And then if you are going to like feed them,
[59:20.930 --> 59:22.610]  like dry, I recommend, you know,
[59:22.610 --> 59:25.210]  whatever you're going to like put in the soil or the pot,
[59:25.210 --> 59:27.850]  you kind of just put it in at the beginning,
[59:28.250 --> 59:30.610]  especially with the dry amendments that break down.
[59:30.610 --> 59:33.570]  You know, bottlenose is not really my area of expertise,
[59:33.570 --> 59:37.170]  but a third of what you would feed a photo.
[59:40.970 --> 59:44.330]  And I also like to add that feeding is also based
[59:44.330 --> 59:45.610]  on the size of the plant
[59:45.610 --> 59:47.850]  and essentially the size of the root zone.
[59:47.850 --> 59:51.050]  So if a plant is tiny, you don't want to feed it a lot.
[59:51.050 --> 59:53.370]  And as the plant starts to get bigger and bigger,
[59:53.370 --> 59:55.130]  that's when you would feed it more.
[59:55.130 --> 59:57.730]  That's why usually a very large outbird plant,
[59:57.730 --> 59:58.730]  you can feed a lot.
[59:58.770 --> 01:00:02.130]  And in general, if a plant is smaller,
[01:00:02.130 --> 01:00:05.210]  if it has less plant material, you would feed it less.
[01:00:07.290 --> 01:00:09.970]  And that's for me, just a good rule of thumb
[01:00:09.970 --> 01:00:12.570]  for how much I feed plants is based on the amount
[01:00:12.570 --> 01:00:15.850]  of root zone and plant material.
[01:00:19.890 --> 01:00:22.610]  Yeah, I think on my Instagram,
[01:00:22.610 --> 01:00:24.970]  either on the Heart Rock page or the,
[01:00:24.970 --> 01:00:27.450]  that there's definitely me holding an auto flower
[01:00:27.450 --> 01:00:29.650]  that's the size of me that we didn't feed at all.
[01:00:29.650 --> 01:00:31.650]  We just planted in the ground
[01:00:31.650 --> 01:00:36.490]  and it's about six feet tall, just water only.
[01:00:36.490 --> 01:00:40.010]  I mean, that's where like that no-till living soil.
[01:00:40.010 --> 01:00:42.090]  So it's like, you know, when you switch
[01:00:42.090 --> 01:00:45.290]  from feeding the plants to building the soil,
[01:00:45.290 --> 01:00:46.650]  it's a different ball game.
[01:00:46.650 --> 01:00:49.210]  And it's also the ball game you want to get into
[01:00:49.210 --> 01:00:51.610]  if you've got a piece of land or a backyard
[01:00:51.610 --> 01:00:52.850]  that you're cultivating,
[01:00:52.850 --> 01:00:55.530]  because you're going to get more terpenes.
[01:00:55.530 --> 01:00:57.210]  You're going to, in more terpenes,
[01:00:57.210 --> 01:00:59.330]  you're going to get a longer shelf life on the cannabis
[01:00:59.330 --> 01:01:02.290]  with the, and you can get a better flavor,
[01:01:02.290 --> 01:01:04.830]  better high with the no-till living soil.
[01:01:07.370 --> 01:01:08.410]  A hundred percent.
[01:01:08.410 --> 01:01:10.210]  And I mean, the plants are really getting
[01:01:10.210 --> 01:01:12.770]  exactly what they need in that way.
[01:01:12.770 --> 01:01:16.490]  Anyway, yeah, a hundred percent.
[01:01:16.490 --> 01:01:19.890]  That's actually exactly what I plan on doing this summer.
[01:01:20.570 --> 01:01:25.570]  Here's a, I think I have Hawaiian claws as well.
[01:01:26.130 --> 01:01:30.010]  Put them in the backyard, you know,
[01:01:30.010 --> 01:01:34.710]  in some native soil and see what happens.
[01:01:36.690 --> 01:01:39.410]  Oh yeah, we have another kid on, hello.
[01:01:39.410 --> 01:01:42.450]  This is my three-year-old, my middle child.
[01:01:43.650 --> 01:01:44.490]  Hello.
[01:01:49.440 --> 01:01:51.400]  Yeah, I sent you my seed catalog.
[01:01:51.800 --> 01:01:53.200]  I saw all the flavors there.
[01:01:54.560 --> 01:01:59.520]  I did, I mean, there's a lot, you have a lot of work.
[01:01:59.520 --> 01:02:01.520]  I was really impressed.
[01:02:01.520 --> 01:02:03.020]  There's a lot of work in there.
[01:02:04.040 --> 01:02:06.480]  Yeah, and that's just what we're like,
[01:02:06.480 --> 01:02:08.520]  have gotten cleaned up to release.
[01:02:08.520 --> 01:02:12.640]  You know, I still have more cedar flower,
[01:02:12.640 --> 01:02:15.400]  more varieties in there.
[01:02:15.400 --> 01:02:18.800]  So I mean, is breeding of auto flowers,
[01:02:18.840 --> 01:02:21.480]  it sounds like you make quite a bit of seeds.
[01:02:21.480 --> 01:02:24.320]  Like you do it very, very often.
[01:02:24.320 --> 01:02:28.680]  Oh yeah, I have some lion claw seeds
[01:02:28.680 --> 01:02:30.400]  that are gonna be like, you know,
[01:02:30.400 --> 01:02:33.600]  I'm gonna maybe make into some meditation cushions
[01:02:33.600 --> 01:02:37.160]  because we did an open pollination run a few years ago
[01:02:37.160 --> 01:02:39.520]  and I made over a million seeds
[01:02:39.520 --> 01:02:41.680]  and I was actually fortunate enough to run it
[01:02:41.680 --> 01:02:44.880]  through this hemp seed thresher that my friend
[01:02:44.880 --> 01:02:48.080]  had brought up from Southern California to Ukiah
[01:02:48.840 --> 01:02:50.880]  and someone was gonna come down from Oregon.
[01:02:50.880 --> 01:02:53.560]  So I got a run, you know, it took me a couple hours
[01:02:53.560 --> 01:02:54.720]  to clean up those seeds.
[01:02:54.720 --> 01:02:57.640]  I probably never would have got cleaned up if I didn't.
[01:02:57.640 --> 01:03:01.320]  But I have, yeah, they're gonna be bean bags
[01:03:01.320 --> 01:03:03.840]  because I made so many of them.
[01:03:05.040 --> 01:03:06.360]  That's crazy.
[01:03:06.360 --> 01:03:08.400]  And then I guess the next question is,
[01:03:09.480 --> 01:03:12.560]  you must need seed sorting equipment
[01:03:12.560 --> 01:03:15.360]  to process that many seeds.
[01:03:16.360 --> 01:03:17.360]  Yes and no.
[01:03:19.360 --> 01:03:23.280]  You know, like with one auto flower,
[01:03:23.280 --> 01:03:25.640]  it's not that hard just to winnow it
[01:03:25.640 --> 01:03:29.240]  with like your own breath and some trays and stuff.
[01:03:31.240 --> 01:03:34.120]  It's like the larger, you know,
[01:03:35.000 --> 01:03:36.320]  amounts of seed that you might,
[01:03:36.320 --> 01:03:38.360]  you know, we have the zigzag seed separator.
[01:03:38.360 --> 01:03:41.760]  We have also like, I love the mean gene technique,
[01:03:42.720 --> 01:03:47.720]  which is the, he uses a shop vac in a trash can
[01:03:48.160 --> 01:03:50.400]  and then a hairdryer in a bucket.
[01:03:50.400 --> 01:03:52.480]  So you're winnowing, you're just, you know,
[01:03:52.480 --> 01:03:56.600]  so yeah, it's, but it is labor intensive
[01:03:56.600 --> 01:03:58.720]  because you have to manually crush up the flower.
[01:03:58.720 --> 01:04:01.360]  I mean, I have, there is some equipment.
[01:04:01.360 --> 01:04:05.600]  There's like a, the one that the Kincade hemp thresher
[01:04:05.600 --> 01:04:10.200]  that I ran was like huge, outdoor gas engine.
[01:04:10.200 --> 01:04:13.640]  Things cost like 45 grand brand new.
[01:04:13.640 --> 01:04:16.880]  They do make smaller electric threshers,
[01:04:16.880 --> 01:04:19.960]  but there's still like 20 grand that you can run indoor
[01:04:19.960 --> 01:04:21.680]  and you just put buck flower into.
[01:04:21.680 --> 01:04:25.880]  So, you know, but for now it's, you know,
[01:04:25.880 --> 01:04:29.680]  it's just winnowing either by hand or, you know,
[01:04:29.680 --> 01:04:34.080]  these various air cleaners, but it's still labor intensive.
[01:04:34.080 --> 01:04:37.520]  And you know, for me, I have a lot of allergies
[01:04:38.360 --> 01:04:40.560]  and it then becomes a cumulative
[01:04:40.560 --> 01:04:43.000]  because then like, you know, crushing up the flowers,
[01:04:43.000 --> 01:04:45.840]  you get that allergy and then the pollen allergy
[01:04:45.840 --> 01:04:47.480]  starts coming on for me.
[01:04:48.520 --> 01:04:50.800]  Do you get any of those allergies?
[01:04:52.360 --> 01:04:55.040]  Yeah, I'm lucky that I don't,
[01:04:55.040 --> 01:04:57.480]  like the only allergies I get from cannabis
[01:04:57.480 --> 01:04:58.960]  is sometimes when harvest begins,
[01:04:58.960 --> 01:05:03.600]  I get like a resin rash or just like the first exposure.
[01:05:05.120 --> 01:05:06.560]  But I don't know, I don't,
[01:05:06.560 --> 01:05:09.240]  I'm not really affected by like the poison oak,
[01:05:09.240 --> 01:05:12.040]  either in the area or some of the other allergens.
[01:05:12.040 --> 01:05:15.120]  So, you know, we'll see as that happens, as I get older,
[01:05:15.120 --> 01:05:17.840]  you know, cause I know allergies can affect you more
[01:05:17.840 --> 01:05:19.000]  as you get older.
[01:05:22.200 --> 01:05:23.880]  Is there any particular strains
[01:05:23.880 --> 01:05:25.840]  that give you the resin rash worse than others?
[01:05:25.840 --> 01:05:29.920]  Cause for me, it was the same diesel that just illed,
[01:05:29.920 --> 01:05:32.280]  that gave me a crazy rash.
[01:05:32.280 --> 01:05:34.960]  Yeah, I'll pay attention to that.
[01:05:35.800 --> 01:05:39.600]  You know, but it's usually whatever, you know,
[01:05:39.600 --> 01:05:41.720]  actually I don't think I got it this year at all,
[01:05:41.720 --> 01:05:44.800]  but it, you know, and it's usually a light,
[01:05:44.800 --> 01:05:47.640]  like I know some people that like when they were trimmed,
[01:05:47.640 --> 01:05:51.240]  their nose would just water, you know, they just can't,
[01:05:51.240 --> 01:05:54.720]  it would just, and they would get really bad rashes.
[01:05:54.720 --> 01:05:56.440]  And I know some people who couldn't,
[01:05:56.440 --> 01:05:59.560]  can't be in the room when stuff's being trimmed.
[01:05:59.560 --> 01:06:00.400]  So it's, yeah.
[01:06:02.040 --> 01:06:04.840]  You know, I think for me, it might've been this past year
[01:06:05.680 --> 01:06:07.120]  was a lot moister perhaps.
[01:06:07.120 --> 01:06:09.600]  So like it wasn't as much like dust in the environment,
[01:06:09.600 --> 01:06:13.480]  but for sure I'd get all of those, the runny nose,
[01:06:13.480 --> 01:06:17.480]  sneezing, pollen, allergies.
[01:06:17.480 --> 01:06:20.000]  That's what those masks are good for, right?
[01:06:20.000 --> 01:06:21.560]  Yeah.
[01:06:21.560 --> 01:06:23.960]  No, it's probably like wearing a mask in my house
[01:06:23.960 --> 01:06:24.800]  and people are-
[01:06:24.800 --> 01:06:26.840]  Yeah, and I would probably recommend, you know,
[01:06:26.840 --> 01:06:29.040]  like, especially with like some of the,
[01:06:29.040 --> 01:06:31.280]  if you're running some of the, you know,
[01:06:31.280 --> 01:06:33.800]  the air cleaners to wear a mask.
[01:06:33.800 --> 01:06:37.760]  I think, didn't someone just die in some like feral
[01:06:39.560 --> 01:06:42.160]  company and like on the East Coast,
[01:06:42.160 --> 01:06:44.240]  Massachusetts or Maine this year?
[01:06:44.240 --> 01:06:45.480]  I heard someone-
[01:06:45.480 --> 01:06:47.280]  From inhaling the dust particles,
[01:06:47.280 --> 01:06:49.080]  I believe someone did die this year.
[01:06:51.040 --> 01:06:51.880]  Jeez.
[01:06:51.880 --> 01:06:53.720]  They died from dust though, not cannabis, you know,
[01:06:53.720 --> 01:06:55.880]  wasn't THC, it wasn't any of the-
[01:06:55.880 --> 01:06:57.000]  Right, it was just the dust.
[01:06:57.000 --> 01:07:01.600]  I mean, I worked at a facility in, that was in Seattle,
[01:07:01.600 --> 01:07:04.320]  and there was a guy with a full on gas mask on
[01:07:04.320 --> 01:07:05.760]  when he was trimming.
[01:07:05.760 --> 01:07:07.760]  I mean, this was, must've been like five years ago
[01:07:07.760 --> 01:07:11.280]  and I kind of, you know, looked at him like, you know,
[01:07:11.280 --> 01:07:12.960]  like that's kind of strange.
[01:07:12.960 --> 01:07:14.440]  Maybe this isn't the right job for you,
[01:07:14.440 --> 01:07:16.560]  but I mean, I guess it's a thing.
[01:07:16.560 --> 01:07:21.080]  Yeah, I mean, I guess, I don't know if OSHA's requiring
[01:07:21.080 --> 01:07:24.280]  trimmers to wear it yet, but you know, they might be.
[01:07:25.360 --> 01:07:26.240]  Someday.
[01:07:26.240 --> 01:07:29.160]  You know, I would say like the increasing the humidity
[01:07:29.360 --> 01:07:32.240]  in the environment would be my take
[01:07:32.240 --> 01:07:33.880]  on the best way to keep it.
[01:07:33.880 --> 01:07:37.440]  Yeah, or like, you know, during the smoke seasons and stuff,
[01:07:37.440 --> 01:07:41.600]  we have like, you know, the air quality,
[01:07:41.600 --> 01:07:44.080]  the filters and cleaners like this and stuff,
[01:07:44.080 --> 01:07:46.800]  you know, and my wife's asthmatic and stuff.
[01:07:46.800 --> 01:07:50.800]  So sometimes, yeah, during, so it's definitely,
[01:07:50.800 --> 01:07:54.920]  you can run air cleaners, filters in your trim rooms too
[01:07:54.920 --> 01:07:56.720]  and stuff, so yeah, you can definitely,
[01:07:56.720 --> 01:07:59.560]  if you are a sensitive person, you know,
[01:07:59.560 --> 01:08:04.360]  you'll know then make those changes.
[01:08:04.360 --> 01:08:07.760]  Yeah, no, it's definitely an issue.
[01:08:07.760 --> 01:08:10.440]  And I mean, it was even kind of funny was like,
[01:08:10.440 --> 01:08:13.760]  I would do some pollinations and then try to like go out
[01:08:13.760 --> 01:08:16.320]  for my day and my nose would be running
[01:08:16.320 --> 01:08:19.080]  and my eyes would be bloodshot.
[01:08:19.080 --> 01:08:20.920]  You know, people would just kind of be looking at me
[01:08:20.920 --> 01:08:22.560]  and just, wow, right?
[01:08:22.560 --> 01:08:24.320]  Come here, come here.
[01:08:25.320 --> 01:08:26.160]  But yeah.
[01:08:27.600 --> 01:08:31.200]  But yeah, the cleaning up the seats is definitely an issue
[01:08:31.200 --> 01:08:36.200]  for me, especially because of the just huge volume
[01:08:36.960 --> 01:08:38.880]  of crosses that I make, which is,
[01:08:38.880 --> 01:08:40.920]  I think, borderline insanity.
[01:08:47.440 --> 01:08:48.280]  Yeah.
[01:08:50.520 --> 01:08:52.640]  So I just thought I would.
[01:08:52.800 --> 01:08:56.160]  Yeah, because I think I make way too many.
[01:08:57.800 --> 01:09:00.320]  But then again, like collecting the pollens,
[01:09:00.320 --> 01:09:01.360]  like the hard part.
[01:09:01.360 --> 01:09:05.400]  So me then making, you know, like this,
[01:09:05.400 --> 01:09:09.760]  let's look at like this last year where I, you know,
[01:09:09.760 --> 01:09:12.120]  I considered it to be like a smaller year
[01:09:12.120 --> 01:09:13.720]  in my breeding program.
[01:09:13.720 --> 01:09:18.720]  I still made over 70 photo period hybrids and crosses.
[01:09:18.840 --> 01:09:22.960]  And I made something like 111 combinations
[01:09:22.960 --> 01:09:26.240]  of autoflower genetics in what I consider
[01:09:26.240 --> 01:09:27.440]  to be a small year.
[01:09:27.440 --> 01:09:32.320]  But I, you know, it's, yeah, that's why it's a little,
[01:09:32.320 --> 01:09:33.880]  I'm a little bit of a mad scientist
[01:09:33.880 --> 01:09:35.320]  in the breeding program.
[01:09:36.360 --> 01:09:37.680]  Yeah, I mean, that's a lot.
[01:09:37.680 --> 01:09:39.760]  How do you test all of those?
[01:09:39.760 --> 01:09:41.040]  Well, like I said, some of those
[01:09:41.040 --> 01:09:44.240]  might never even get cracked, but we made, we made,
[01:09:44.240 --> 01:09:48.400]  you know, and then.
[01:09:49.200 --> 01:09:52.160]  Like I said, collecting and preserving the pollen
[01:09:52.160 --> 01:09:53.040]  is the hard part.
[01:09:53.960 --> 01:09:55.480]  And after that's done, you might as well
[01:09:55.480 --> 01:09:58.120]  just go a little bit nuts and have some fun.
[01:09:58.120 --> 01:10:03.120]  Because then you're not limiting yourself
[01:10:03.600 --> 01:10:05.800]  to the specific cross you wanted to make.
[01:10:05.800 --> 01:10:08.160]  Maybe you're finding something in the unintentional
[01:10:08.160 --> 01:10:10.200]  or like something you hadn't thought of
[01:10:10.200 --> 01:10:11.640]  before your program.
[01:10:13.560 --> 01:10:16.960]  Right, and like when you have like a killer male,
[01:10:16.960 --> 01:10:19.320]  basically you just kind of just let it
[01:10:19.320 --> 01:10:20.640]  just keep on going, essentially.
[01:10:20.640 --> 01:10:23.960]  Like it just keeps, just kind of kill it.
[01:10:23.960 --> 01:10:25.800]  And you know, how we do our, you know,
[01:10:25.800 --> 01:10:27.840]  testing and research on this too,
[01:10:27.840 --> 01:10:30.080]  it's we have two licensed nurseries here
[01:10:30.080 --> 01:10:32.400]  and I work with two licensed nurseries.
[01:10:32.400 --> 01:10:34.960]  So we get a flower out 5,000 square foot
[01:10:37.080 --> 01:10:38.360]  for seed production.
[01:10:38.360 --> 01:10:39.760]  And that can be in research.
[01:10:41.520 --> 01:10:42.440]  That's great.
[01:10:42.440 --> 01:10:44.560]  This person is talking about hemp seeds
[01:10:44.560 --> 01:10:46.720]  and if you have any feminized or autoflower.
[01:10:47.480 --> 01:10:51.640]  We have two hemp lines, you know,
[01:10:51.640 --> 01:10:54.800]  that are like 40 to one.
[01:10:54.800 --> 01:10:59.200]  We have Red Cross, which we've grown before.
[01:10:59.200 --> 01:11:01.760]  And we have Blue Nami.
[01:11:01.760 --> 01:11:03.600]  And they're like kind of on the suit.
[01:11:04.840 --> 01:11:07.440]  Super autos, like 125 days, they're not feminized.
[01:11:07.440 --> 01:11:09.360]  We don't do any feminized seeds.
[01:11:10.800 --> 01:11:13.920]  But the silly thing is, is like we have our,
[01:11:13.920 --> 01:11:17.120]  you know, we have some high CBD strains
[01:11:17.120 --> 01:11:19.480]  that are 0.8% THC.
[01:11:19.480 --> 01:11:21.240]  You know, I think anything less than 1%
[01:11:21.240 --> 01:11:23.520]  should really be hemp.
[01:11:23.520 --> 01:11:27.600]  And I'm excited, we did breed some of our high CBD strains
[01:11:27.600 --> 01:11:28.560]  into autoflowers.
[01:11:28.560 --> 01:11:32.840]  We now have the Laughing Lion Sioux autoflower available.
[01:11:32.840 --> 01:11:34.400]  So if you're looking for like,
[01:11:35.600 --> 01:11:39.120]  for your medicine, you're looking for like
[01:11:40.040 --> 01:11:43.600]  a really good flavorful CBD in an autoflower.
[01:11:45.680 --> 01:11:46.520]  But if you're looking for,
[01:11:46.520 --> 01:11:48.800]  if you're in a state where you need to grow the hemp,
[01:11:48.800 --> 01:11:51.480]  then yeah, you know, Red Cross is, you know,
[01:11:51.480 --> 01:11:53.720]  it's just not, it's hemp.
[01:11:54.960 --> 01:11:56.480]  You know, it's very hempy.
[01:11:57.680 --> 01:11:59.080]  Because hemp has a, also,
[01:11:59.080 --> 01:12:01.800]  when you mentioned that autoflowers have a specific flavor,
[01:12:01.800 --> 01:12:03.520]  it made me think of the specific flavor
[01:12:03.520 --> 01:12:05.160]  that you get with hemp.
[01:12:05.160 --> 01:12:07.600]  And then, and because of that, you do find that
[01:12:07.640 --> 01:12:11.440]  in at least the first CBDs that came out.
[01:12:11.440 --> 01:12:15.600]  But like, then, like we were breeding some of these CBDs
[01:12:15.600 --> 01:12:17.120]  that have incredible flavor.
[01:12:17.120 --> 01:12:19.480]  Like I love Laugher, which is a photo period,
[01:12:19.480 --> 01:12:22.240]  so it's got such a nice flavor to it.
[01:12:22.240 --> 01:12:24.720]  And it has a really nice head change that comes along with it.
[01:12:24.720 --> 01:12:26.360]  It's actually one of our, you know,
[01:12:26.360 --> 01:12:28.080]  one of our best sellers on the rec market
[01:12:28.080 --> 01:12:29.360]  here in California.
[01:12:29.360 --> 01:12:31.000]  You know, like Soulful carries it,
[01:12:31.000 --> 01:12:32.800]  a couple other shops didn't carry it.
[01:12:33.640 --> 01:12:38.640]  It's a really nice CBD that's got less than 1% THC in it.
[01:12:40.000 --> 01:12:44.240]  And it gives you a really nice head change that, you know,
[01:12:44.240 --> 01:12:47.240]  one of the differences I see is it's just the,
[01:12:48.240 --> 01:12:50.440]  yes, and because it's not psychoactive,
[01:12:50.440 --> 01:12:51.680]  it doesn't mean that you're not gonna get
[01:12:51.680 --> 01:12:53.760]  like a nice head change to it.
[01:12:55.040 --> 01:12:55.880]  And a nice size.
[01:12:55.880 --> 01:12:57.320]  And I mean, it's something you can make,
[01:12:57.320 --> 01:12:59.440]  I mean, I would like to make edibles
[01:12:59.440 --> 01:13:02.360]  and topicals and those things.
[01:13:03.600 --> 01:13:08.600]  And I mean, the Laughing Lion or Love Laughter.
[01:13:08.640 --> 01:13:09.480]  Love Laughter.
[01:13:10.760 --> 01:13:12.840]  How big are you able to get those plants?
[01:13:13.720 --> 01:13:15.760]  Oh, the Full Term or the Auto-Spray?
[01:13:18.520 --> 01:13:21.160]  Either, I didn't know that you had them in both.
[01:13:24.640 --> 01:13:28.800]  Well, yeah, I have the Laughing Lion too.
[01:13:29.640 --> 01:13:32.840]  Which does have some of the Love Laughter in it.
[01:13:35.000 --> 01:13:37.240]  Yeah, I mean, those are, you know,
[01:13:37.240 --> 01:13:40.280]  same, it's like 100 day auto,
[01:13:40.280 --> 01:13:42.200]  they'll get three feet to six feet tall
[01:13:42.200 --> 01:13:43.400]  depending on conditions.
[01:13:43.400 --> 01:13:45.680]  And then the Full Terms, you know,
[01:13:45.680 --> 01:13:48.280]  they get pretty big conditions when you've had them.
[01:13:51.550 --> 01:13:53.990]  So those ones like Full Term?
[01:13:53.990 --> 01:13:54.830]  Yeah.
[01:13:54.830 --> 01:13:57.070]  Five and split plus plants?
[01:13:57.070 --> 01:13:58.670]  Yeah, depending on where you're growing them,
[01:13:58.670 --> 01:14:00.310]  you know, or when you start them.
[01:14:01.310 --> 01:14:02.590]  Okay.
[01:14:02.590 --> 01:14:06.590]  So I guess another assumption that I always had
[01:14:06.590 --> 01:14:11.310]  was that CBD dominant plants were in general smaller.
[01:14:11.310 --> 01:14:13.430]  Is that incorrect?
[01:14:20.530 --> 01:14:24.290]  I think that is incorrect from my experience,
[01:14:24.290 --> 01:14:28.290]  but you know, yeah, like some of the shortest plants
[01:14:28.290 --> 01:14:30.890]  on the farm are the coffee genetics, you know.
[01:14:31.410 --> 01:14:35.130]  But yeah, I don't know though,
[01:14:35.130 --> 01:14:40.130]  because I've never really grown CBD clones
[01:14:40.930 --> 01:14:41.890]  or anything like that.
[01:14:41.890 --> 01:14:43.890]  I've just grown CBD seeds.
[01:14:45.410 --> 01:14:49.210]  But yeah, I mean, they're at least, you know,
[01:14:49.210 --> 01:14:51.810]  medium to large plants.
[01:14:51.810 --> 01:14:52.650]  Okay.
[01:14:52.650 --> 01:14:53.490]  Yeah.
[01:14:54.930 --> 01:14:55.770]  Okay.
[01:14:56.610 --> 01:14:57.930]  Excellent, excellent.
[01:14:58.170 --> 01:15:03.170]  So I guess my last kind of,
[01:15:05.130 --> 01:15:08.170]  like kind of train of thought of where I was going is,
[01:15:09.250 --> 01:15:12.410]  I would like to grow out some autos.
[01:15:12.410 --> 01:15:15.850]  I have some of yours, there's males in there.
[01:15:15.850 --> 01:15:17.890]  I would like to, you know, continue that line
[01:15:17.890 --> 01:15:21.930]  until I have something to smoke for myself in the future.
[01:15:22.850 --> 01:15:25.650]  Are there any directions that you recommend me going in,
[01:15:25.650 --> 01:15:26.850]  not going in?
[01:15:28.130 --> 01:15:31.970]  Well, yeah, in growing the regular, you know,
[01:15:31.970 --> 01:15:35.970]  hundred day autos too, it's good to,
[01:15:37.570 --> 01:15:42.570]  you know, I recommend either starting in a one gallon pot
[01:15:43.130 --> 01:15:45.770]  or transplanting and you can start however you want
[01:15:45.770 --> 01:15:47.690]  to start them really, whether that's trays
[01:15:47.690 --> 01:15:49.770]  or four inch pots or, you know,
[01:15:49.770 --> 01:15:51.770]  and then get them into a one gallon
[01:15:51.770 --> 01:15:53.650]  and they'll show sex in a one gallon
[01:15:53.650 --> 01:15:56.970]  before they need to get transplanted into their final home.
[01:15:56.970 --> 01:16:00.650]  And yeah, like when selecting those males,
[01:16:00.650 --> 01:16:01.770]  like I said, with the autos,
[01:16:01.770 --> 01:16:03.530]  you really got to give them that good look over
[01:16:03.530 --> 01:16:04.690]  to make sure that you're not getting
