[00:00.510 --> 00:01.510]  Twin Peaks.
[49:37.780 --> 49:45.060]  And now the deal is with the cannabis, it's nobody wants their, to smoke last year's dope.
[49:45.620 --> 49:47.780]  They all want to smoke this year's dope.
[49:47.780 --> 49:50.260]  Nobody wants it over six months old.
[49:51.060 --> 49:52.740]  It's really incredible.
[49:54.740 --> 49:59.780]  Yeah, none of those things come over or are common over here.
[50:01.060 --> 50:05.940]  There's this, yeah, there's supply chain issues and that's really just tied into the regulations.
[50:05.940 --> 50:10.980]  And, you know, again, hopefully the further the experiment goes, the better it will be
[50:10.980 --> 50:11.860]  worked out.
[50:11.860 --> 50:16.260]  All depends on what interests are really leading the ship there.
[50:16.260 --> 50:23.460]  But, you know, that's what we can do as home growers and just kind of as advocates, you
[50:23.460 --> 50:24.580]  know, educate people.
[50:25.380 --> 50:25.940]  Right, right.
[50:25.940 --> 50:26.980]  And well, what about you?
[50:26.980 --> 50:29.060]  Can you grow outdoors there at all?
[50:29.060 --> 50:33.300]  I mean, during the summer, you should be able to under plastic pretty well, right?
[50:34.420 --> 50:38.660]  Well, where I'm at, I'm right on the ocean, west side of the mountains.
[50:38.660 --> 50:40.980]  So it's a little too wet.
[50:41.860 --> 50:48.420]  I would hate to have that like September heartbreak of nothing but rain and three more weeks to
[50:48.420 --> 50:49.860]  go on your crop.
[50:50.420 --> 50:51.540]  Autos might work.
[50:53.140 --> 50:57.060]  East side of the mountains though, definitely you get a lot more of that here, but it's
[50:57.060 --> 51:00.980]  as you might may have seen, it's predominantly indoors here on the west side.
[51:01.620 --> 51:02.740]  Sure, sure, sure.
[51:03.460 --> 51:13.380]  Well, because, yeah, I've got a friend that lives in north Spain and he's it's the North
[51:13.380 --> 51:13.860]  Sea there.
[51:14.500 --> 51:16.580]  Well, it's for us, it's north.
[51:16.580 --> 51:24.900]  But yeah, he just has a greenhouse and it rains and he overcomes it with the plastic,
[51:24.900 --> 51:25.400]  right?
[51:26.820 --> 51:30.820]  But it's funny you mentioned those auto flowers.
[51:31.380 --> 51:38.180]  I saw some really killer auto flowers and there's at first I pooped out of flowers.
[51:38.180 --> 51:43.700]  I thought, oh, God, what a, you know, it's like kind of like a nice little toy plant,
[51:44.260 --> 51:49.060]  but actually they're really way cooler than I ever gave them credit for it all.
[51:50.260 --> 51:55.780]  And it's just and I know this from hanging out with scientists that have already proved
[51:55.780 --> 51:55.940]  it.
[51:55.940 --> 51:57.700]  It's just a few genes, right?
[51:57.700 --> 51:59.780]  The control, the auto flower function.
[52:00.420 --> 52:04.500]  So all you have to do, you can take those genes and put them in any plant.
[52:04.500 --> 52:07.460]  You know, it may take a little while, but you can do that, right?
[52:08.100 --> 52:16.900]  So it's just an on off switch that you're basically taking out the switch, the photoperiodic
[52:16.900 --> 52:19.940]  switch, and you're putting in a chronological switch.
[52:19.940 --> 52:22.580]  That's the difference in the genes, right?
[52:23.460 --> 52:32.020]  So if you have a plant that's say it's a indica type and it flowers and it completes
[52:32.020 --> 52:37.780]  flowering in like seven and a half weeks, okay, you put the auto flower gene in with
[52:37.780 --> 52:37.940]  that.
[52:37.940 --> 52:45.460]  Well, your auto, it won't take as long to finish flowering because the auto flower also
[52:45.460 --> 52:46.500]  flowers differently.
[52:46.500 --> 52:51.220]  It starts flowering and it builds up and it also grows at the same time, which is a different
[52:51.220 --> 52:51.860]  growth habit.
[52:52.580 --> 52:59.220]  But if you take a long season sativa that takes say like 12 weeks to mature, you know,
[52:59.220 --> 53:04.180]  and you put the auto flower gene in there, it takes the auto flower plant take much longer,
[53:04.740 --> 53:06.820]  take longer to mature, right?
[53:06.820 --> 53:10.980]  And so it grows bigger too, because it grows longer.
[53:10.980 --> 53:19.700]  And so you can get these combinations where you get a plant that grows really fast, you
[53:19.700 --> 53:21.700]  know, with like a sativa type.
[53:21.700 --> 53:28.580]  And then also you combine that with the auto flowers that grow fast and you can get these
[53:28.580 --> 53:30.020]  really big plants.
[53:30.020 --> 53:36.500]  I saw really big plants that were only a few months old and that were already flowering,
[53:36.500 --> 53:38.340]  but they were auto flowering.
[53:38.340 --> 53:46.260]  And one guy, one guy, well, he's in the book, Dr. Clinton, Clinton Shock.
[53:46.260 --> 53:47.940]  He lived, in fact, I can't believe it.
[53:47.940 --> 53:49.620]  He lives in my hometown, right?
[53:49.620 --> 53:50.020]  Oh, wow.
[53:50.820 --> 53:51.300]  Yeah, yeah.
[53:51.300 --> 53:53.140]  He's Professor Emeritus.
[53:53.140 --> 53:54.180]  This is all in the book.
[53:54.900 --> 53:59.780]  Professor Emeritus at in Corvallis at the Oregon State University.
[53:59.780 --> 54:00.260]  Oh, yeah.
[54:00.260 --> 54:02.500]  The hemp program there.
[54:02.500 --> 54:12.500]  So they're breeding industrial hemp or fiber hemp and also high CBD hemp, but mainly the
[54:12.500 --> 54:13.860]  high CBD hemp, right?
[54:14.740 --> 54:23.460]  And this guy, I mean, he's older than me and he's got a whole lifetime of breeding and
[54:23.460 --> 54:24.900]  a doctorate's degree.
[54:24.900 --> 54:33.140]  And gosh, we went and looked at a lot of his, well, at his breeding area outside of town
[54:33.140 --> 54:34.980]  there and it's several acres.
[54:34.980 --> 54:41.380]  And he was breeding like, oh, 20 different species, 30 different species of plants.
[54:41.940 --> 54:44.500]  And the cannabis was just another one.
[54:44.500 --> 54:49.540]  But he had a whole house, a whole three bedroom house that's out there on that farm that's
[54:49.540 --> 54:50.980]  just full of seeds.
[54:50.980 --> 54:51.460]  That's it.
[54:52.180 --> 54:52.500]  Wow.
[54:53.380 --> 54:54.260]  Yeah, yeah, yeah.
[54:54.260 --> 54:57.140]  Seeds all crazy, crazy seeds, you know?
[54:57.860 --> 55:02.100]  And but anyway, and listen to this, this is important too.
[55:02.100 --> 55:06.900]  He spends like 90% of his budget for cannabis.
[55:06.900 --> 55:08.900]  That's all spent on testing.
[55:09.460 --> 55:10.020]  He tests.
[55:10.820 --> 55:11.780]  That's what he says.
[55:11.780 --> 55:13.940]  His whole budget goes there, testing.
[55:13.940 --> 55:18.260]  Yeah, the other thing, you know, he needs a few other little supplies, but that testing,
[55:18.260 --> 55:19.460]  that's like number one.
[55:20.900 --> 55:21.540]  Yeah.
[55:21.540 --> 55:26.900]  And he's, he develops stuff real fast because he's not only got, you know, I mean, he's
[55:26.900 --> 55:33.860]  pragmatic, but he uses the basic rules and progresses incredibly quickly.
[55:33.860 --> 55:35.940]  And he also has a big selection.
[55:35.940 --> 55:38.100]  He had several acres of selection too.
[55:39.220 --> 55:39.460]  Yeah.
[55:40.020 --> 55:45.380]  When you get room to play, I mean, OSU is phenomenal as far as a resource.
[55:45.380 --> 55:50.260]  I did some classes, sustainable agriculture with WSU.
[55:50.260 --> 55:52.580]  So up in Washington, that's our agricultural school.
[55:53.140 --> 55:55.700]  Really good, really good classes though.
[55:55.700 --> 55:56.100]  Yeah.
[55:56.100 --> 55:56.580]  Yeah.
[55:56.580 --> 55:56.980]  Yeah.
[55:56.980 --> 55:59.940]  And, you know, again, we got to get out there in the field.
[55:59.940 --> 56:03.380]  And this was in the stage when they were doing the Cosmic Crisp Apple.
[56:03.380 --> 56:07.540]  It was like the final testing stages of that before it went released to market.
[56:07.540 --> 56:08.900]  So that was, that was kind of fun.
[56:08.900 --> 56:10.900]  We, we got to have them pre-market.
[56:11.860 --> 56:12.340]  Right.
[56:12.340 --> 56:14.180]  See all of that apple stuff.
[56:14.180 --> 56:15.860]  That's really interesting stuff.
[56:15.860 --> 56:21.460]  Cause see, you know, when the Soviet union broke up, all of these, I knew these guys
[56:21.460 --> 56:23.140]  just like real fruit junkies.
[56:23.140 --> 56:27.540]  They went over there after it broke up and started, cause he had all of these apples
[56:27.540 --> 56:28.020]  and stuff.
[56:28.580 --> 56:30.020]  So see, yeah, yeah.
[56:30.020 --> 56:34.500]  He had all these apples that we didn't know about and nobody had bread bread with.
[56:34.500 --> 56:38.420]  So then they, and then they made a bunch of new varieties.
[56:38.420 --> 56:39.220]  Yeah.
[56:39.220 --> 56:41.620]  It's, it's pretty incredible.
[56:41.620 --> 56:45.540]  Cause see the apple, that was where you'd store store sugar.
[56:45.540 --> 56:48.500]  If you're in Northern latitude, that's where you could store sugar.
[56:48.500 --> 56:53.860]  And that was, and so, you know, if you're in a Northern latitude, I mean, that's what
[56:53.860 --> 56:54.420]  you do.
[56:54.420 --> 56:56.420]  You know, yeah.
[56:56.420 --> 56:56.740]  Yeah.
[56:56.740 --> 57:01.940]  So it was closed for all those years and they had some killer stuff, but yeah, I know guys
[57:01.940 --> 57:02.820]  from Oregon.
[57:02.820 --> 57:04.660]  That's when I lived in Oregon back then.
[57:04.660 --> 57:04.900]  Yeah.
[57:06.020 --> 57:06.580]  Yeah.
[57:06.580 --> 57:08.580]  Just, you know, little tidbits.
[57:08.580 --> 57:08.820]  Yeah.
[57:09.620 --> 57:13.780]  So I think, well, last time we were, we had talked to you, you were eating, I believe
[57:13.780 --> 57:16.980]  it was cherries and you were enjoying the local cherries.
[57:16.980 --> 57:21.300]  So when you came over here, did you try any of our being or our Rainier cherries?
[57:21.300 --> 57:21.860]  Yeah.
[57:21.860 --> 57:28.020]  The ones, what are the big ones over there in Oregon were Lambert's and then Rainier's
[57:28.020 --> 57:28.820]  are big too.
[57:28.820 --> 57:29.540]  I remember.
[57:30.500 --> 57:32.980]  And the old ones, what are those Queen Anne?
[57:36.020 --> 57:39.220]  They're a dual color, double color, not so dark.
[57:39.860 --> 57:40.500]  Right.
[57:40.500 --> 57:41.620]  Kind of the yellow, the red.
[57:41.620 --> 57:43.140]  I almost want to say that's the Bing.
[57:44.020 --> 57:44.740]  Yeah.
[57:44.740 --> 57:45.460]  No, no.
[57:45.460 --> 57:51.060]  Bing's usually dark, but the Bing's not, I mean, that was the big one, the big, big
[57:51.060 --> 57:54.500]  one for a long time, but that they've superior.
[57:54.500 --> 57:57.940]  I mean, they've gone, there's better varieties than Bing now.
[57:57.940 --> 58:00.180]  Oh, I need to get out more than is what you're saying.
[58:00.180 --> 58:00.680]  Yeah.
[58:01.300 --> 58:01.800]  Yeah.
[58:01.860 --> 58:02.820]  There's better varieties.
[58:02.820 --> 58:03.620]  They hold better.
[58:03.620 --> 58:09.860]  They stay, they're, they're more, they've got more stringentness to them where they
[58:09.860 --> 58:10.980]  hold their form better.
[58:10.980 --> 58:13.220]  They don't decompose so fast.
[58:14.100 --> 58:14.340]  Yeah.
[58:14.340 --> 58:14.820]  Yeah.
[58:14.820 --> 58:16.660]  And we get fruit here.
[58:16.660 --> 58:25.460]  Most of it comes, that the cherries, that comes from over east of us over in like Teruel,
[58:26.020 --> 58:35.620]  Lerida, yeah, over, over by, well, about two hours east of us is the fruit growing
[58:35.620 --> 58:37.300]  area for us here.
[58:37.860 --> 58:38.420]  Okay.
[58:38.420 --> 58:38.920]  Yeah.
[58:39.860 --> 58:46.100]  All of the, all of the stuff, but yeah, that is getting back to those auto flowers.
[58:46.100 --> 58:51.940]  We're going to see some really incredible stuff there, I think, because these plants,
[58:51.940 --> 58:56.900]  well, the ones that plant had, they were about four feet tall.
[58:56.900 --> 59:03.300]  Well, you can see them there in the first chapter breeding or botany, botany.
[59:04.900 --> 59:12.740]  And my God, they were just, they had a lot of, a lot of different branches on them.
[59:12.740 --> 59:15.140]  They weren't like classic Christmas tree.
[59:15.140 --> 59:19.700]  It was like many different branches, but the biomass was like incredibly heavy.
[59:19.700 --> 59:27.220]  And they had just, I saw them like, oh man, it was late, early, no, no, early August.
[59:27.220 --> 59:27.700]  That's right.
[59:28.260 --> 59:29.700]  Mid-August, mid-August.
[59:30.260 --> 59:32.820]  And they were heading up pretty good.
[59:33.380 --> 59:38.260]  They just started, like they had like about two weeks of flowering, it seemed, or that's
[59:38.260 --> 59:40.900]  what the flower stage looked like, but they were auto.
[59:40.900 --> 59:42.260]  So yeah.
[59:42.260 --> 59:47.700]  Anyway, you can, yeah, you can page through a little bit.
[59:47.700 --> 59:54.900]  A lot of these, okay, the photo on the left, that was taken by Justin or what's his left
[59:54.900 --> 59:55.140]  foot.
[59:55.780 --> 01:00:01.300]  He's in the, he's done all kinds of covers for high times and stuff.
[01:00:01.860 --> 01:00:04.100]  And the one on the right was Gonzo photos.
[01:00:04.660 --> 01:00:08.260]  But yeah, the one with Clint, yeah, and that's Gonzo photos too.
[01:00:08.260 --> 01:00:12.260]  The one, the further down are the ones with Clint.
[01:00:12.260 --> 01:00:21.220]  He's this guy, guy with the beard, kind of a bluish green top, Levi's, standing there.
[01:00:22.180 --> 01:00:22.500]  Okay.
[01:00:23.620 --> 01:00:29.700]  And for anybody who is just joining us or joined a little bit late, I just want to reiterate,
[01:00:29.700 --> 01:00:35.220]  right now we're scrolling through the new book from Jorge Cervantes, and this is available
[01:00:35.220 --> 01:00:37.620]  as a free digital download.
[01:00:37.620 --> 01:00:41.780]  So that's, you know, it's early Christmas time here is what I'll call that.
[01:00:42.740 --> 01:00:44.500]  You can find it down in the show notes.
[01:00:44.500 --> 01:00:48.580]  Oh, here's some more of the auto flowering feminized seeds or pictures.
[01:00:49.300 --> 01:00:52.260]  But yeah, find the link down in the show notes and download your copy.
[01:00:52.260 --> 01:00:52.900]  It's free.
[01:00:52.900 --> 01:00:53.460]  There we go.
[01:00:53.460 --> 01:00:54.820]  This is what we're looking for, right?
[01:00:54.820 --> 01:00:55.140]  Yeah.
[01:00:55.140 --> 01:00:55.540]  Okay.
[01:00:55.540 --> 01:00:56.260]  Here we go.
[01:00:56.260 --> 01:00:56.580]  Okay.
[01:00:56.580 --> 01:01:04.580]  There's a, this is Ben Rogers, a friend of mine, good friend of mine, Steve Rogers, his
[01:01:04.580 --> 01:01:04.820]  son.
[01:01:05.620 --> 01:01:05.940]  Yeah.
[01:01:05.940 --> 01:01:06.660]  He's out there.
[01:01:06.660 --> 01:01:08.820]  These are all CBD plants on the right.
[01:01:09.460 --> 01:01:12.500]  And that's in Oregon, but here's plant on the left.
[01:01:12.500 --> 01:01:16.900]  And these are these auto flower plants.
[01:01:16.900 --> 01:01:21.140]  And they're not very old, like, you know, two and two months, two and a half months
[01:01:21.140 --> 01:01:21.460]  old.
[01:01:22.180 --> 01:01:25.780]  And they are just huge.
[01:01:25.780 --> 01:01:29.940]  And I saw quite a few auto flower plants that were huge.
[01:01:29.940 --> 01:01:32.820]  And I don't, you know, Clint knows what to do with them.
[01:01:32.820 --> 01:01:35.220]  He's found all kinds of things.
[01:01:35.300 --> 01:01:41.700]  This is, and this is just, this is one of these fields here, but these autos are going
[01:01:41.700 --> 01:01:42.900]  to turn into something.
[01:01:42.900 --> 01:01:47.700]  And we've got people that really know what they're doing that look for all kinds of
[01:01:47.700 --> 01:01:49.620]  different traits with the plants too.
[01:01:50.260 --> 01:01:53.140]  So I'm really looking forward to stuff.
[01:01:54.260 --> 01:02:00.020]  And that's, yeah, that's probably where the, the buddies budget goes is all the testing
[01:02:00.020 --> 01:02:01.940]  for these minor cannabinoids.
[01:02:01.940 --> 01:02:02.500]  Yes.
[01:02:02.500 --> 01:02:03.060]  Yes.
[01:02:03.060 --> 01:02:03.300]  Yeah.
[01:02:03.940 --> 01:02:04.580]  Yeah, it does.
[01:02:05.060 --> 01:02:10.180]  Well, he's looking for specific stuff, but yeah, this, and this all explains things,
[01:02:10.180 --> 01:02:12.420]  you know, like in, in real simple terms.
[01:02:12.420 --> 01:02:17.540]  So people can understand, because I think people get sometimes mixed up the, the feminized
[01:02:17.540 --> 01:02:20.660]  auto and, and regular or photo period.
[01:02:20.660 --> 01:02:22.900]  I could have called those photo period plants, I guess.
[01:02:22.900 --> 01:02:23.140]  Yeah.
[01:02:23.700 --> 01:02:28.660]  And industrial hemp, you know, this is all industrial hemp here.
[01:02:28.660 --> 01:02:30.100]  I mean, it kind of looks like it.
[01:02:30.820 --> 01:02:31.460]  Yeah.
[01:02:31.460 --> 01:02:33.780]  It's still a beautiful site.
[01:02:33.780 --> 01:02:35.060]  Not quite the same smoke.
[01:02:35.780 --> 01:02:38.020]  No, no much different.
[01:02:38.020 --> 01:02:43.940]  And then here, this one, actually that one, the photo there with a freak show, the cannabis
[01:02:44.740 --> 01:02:51.300]  highly serrated leaves that was, that was taken up in well, just North of Barcelona
[01:02:51.300 --> 01:02:52.100]  in Alaya.
[01:02:53.220 --> 01:02:53.540]  Yeah.
[01:02:53.540 --> 01:02:54.420]  A friend of mine's grown.
[01:02:54.420 --> 01:02:57.620]  He had like a, but two and a half.
[01:02:57.620 --> 01:02:59.060]  No, no.
[01:02:59.060 --> 01:02:59.860]  Just yeah.
[01:02:59.860 --> 01:03:04.980]  Two and a half acres, almost three acres under, under, under cover there.
[01:03:05.540 --> 01:03:05.780]  Wow.
[01:03:06.500 --> 01:03:11.300]  And yeah, just a freak show is one of those ones I recommend everybody grow it.
[01:03:11.300 --> 01:03:16.100]  This is, it's got dog slobber on it, but the morphology is so cool that you'll frame it.
[01:03:16.100 --> 01:03:20.580]  I'm just going to say that like, dude, everybody's got to do it once at least enjoy yourself.
[01:03:21.300 --> 01:03:21.700]  Yeah.
[01:03:21.700 --> 01:03:28.660]  There was a guy that developed it in God, Northern California, Trinity County or somewhere
[01:03:28.660 --> 01:03:29.380]  there.
[01:03:29.380 --> 01:03:31.460]  Really, really quite interesting.
[01:03:32.020 --> 01:03:32.260]  Yeah.
[01:03:32.260 --> 01:03:38.500]  And he's done well and it's kind of an anomaly, you know, it doesn't, it's not the highest
[01:03:38.500 --> 01:03:41.860]  high and stuff, but it looks really cool.
[01:03:43.300 --> 01:03:44.100]  Yeah, it is.
[01:03:44.100 --> 01:03:45.860]  It's, it's fun to have in the garden again.
[01:03:45.860 --> 01:03:50.180]  You know, we love being the shadow but that one you're, you're going to stare out a little
[01:03:50.180 --> 01:03:50.660]  bit more.
[01:03:50.660 --> 01:03:52.420]  And like I said, you'll frame it.
[01:03:52.420 --> 01:03:54.100]  You'll, you'll pluck a few, you'll frame it.
[01:03:54.660 --> 01:04:00.660]  Kind of curious about, you know, different strains though, you were mentioning like Acapulco
[01:04:00.660 --> 01:04:06.820]  gold earlier and a few of these other, you know, older, I guess, land races might be
[01:04:06.820 --> 01:04:07.460]  the right term.
[01:04:07.460 --> 01:04:09.700]  But yeah, yeah.
[01:04:09.700 --> 01:04:11.380]  Those were all land races for sure.
[01:04:11.380 --> 01:04:18.980]  But what, and now I've had what I have been told is like Acapulco gold, but I am not convinced
[01:04:18.980 --> 01:04:20.740]  that I've ever truly had it.
[01:04:20.900 --> 01:04:26.260]  Are, are some of these strains things that you've seen like in the current market or
[01:04:26.260 --> 01:04:29.380]  No, no, you never see that stuff.
[01:04:29.380 --> 01:04:32.900]  I mean, and I wouldn't believe it if it, if it came here, you know what I mean?
[01:04:32.900 --> 01:04:33.460]  Right.
[01:04:33.460 --> 01:04:38.660]  But what the hell happens, you know, I'll have to see it like on location or, or real
[01:04:38.660 --> 01:04:44.340]  close by or, or talk to somebody that rode the donkey in the town or something, you know,
[01:04:44.340 --> 01:04:49.780]  but because of, yeah, it's cause see what's happened.
[01:04:50.740 --> 01:04:57.620]  Is all these well-meaning growers have gone out and disseminated cannabis seeds to improve
[01:04:57.620 --> 01:05:02.820]  the gene pool and it's kind of like polluted it overall.
[01:05:03.460 --> 01:05:05.620]  Cause I, I saw it.
[01:05:05.620 --> 01:05:13.540]  Well, I spent, I spent a few months in Columbia and with growers and, you know, was out in
[01:05:13.540 --> 01:05:14.740]  the field a lot.
[01:05:15.540 --> 01:05:23.220]  And gosh, I mean, they got up to a threshold of about 12% and they can't seem to go beyond
[01:05:23.220 --> 01:05:26.180]  that for, for the, the cannabis there.
[01:05:26.180 --> 01:05:31.700]  And they've got like half a dozen, well, four main varieties and eight or 10 other
[01:05:31.700 --> 01:05:33.460]  ones all the, or all together.
[01:05:34.500 --> 01:05:42.340]  And they propagate things mainly through clones and grow well, all year round.
[01:05:42.340 --> 01:05:53.380]  They can, depends on where you're at, but it's, it's kind of like the genes that they,
[01:05:53.380 --> 01:05:59.540]  they only arrive to one level and they, they top out there and they get homogeneous here.
[01:05:59.540 --> 01:06:02.740]  They, they don't keep getting richer.
[01:06:02.740 --> 01:06:03.240]  Okay.
[01:06:04.740 --> 01:06:05.220]  Yeah.
[01:06:05.220 --> 01:06:12.100]  I think in, in the whole world and it's, it's unique here with the cannabis you know, like
[01:06:12.100 --> 01:06:17.460]  for example, if we, if we look at peppers, for example, peppers, there's been, you know,
[01:06:18.260 --> 01:06:19.540]  peppers are a staple.
[01:06:20.260 --> 01:06:27.780]  They're all over the world and stuff, but nobody went out and took pepper seeds and
[01:06:27.780 --> 01:06:32.740]  went out to cross them intentionally with all the other peppers on all, on the other
[01:06:32.740 --> 01:06:33.380]  continents.
[01:06:34.180 --> 01:06:40.420]  So, so what happened is like about 20 years ago when peppers started getting like super,
[01:06:40.980 --> 01:06:49.380]  super interesting and stuff for people, they started finding new ones, new land races out
[01:06:49.380 --> 01:06:53.860]  in the wild and in people's backyards or ones they didn't know about.
[01:06:55.220 --> 01:07:01.700]  But that's because the whole gene pool wasn't all fucked up and see, that's what's happened
[01:07:01.700 --> 01:07:02.980]  with the cannabis.
[01:07:02.980 --> 01:07:14.420]  They got all these, these, these quote unquote, really bad hybrids mixed in with the gene.
[01:07:14.420 --> 01:07:22.580]  So it's, it, it, it's you don't find, it makes it more difficult to find new and interesting
[01:07:22.580 --> 01:07:23.860]  genetic material.
[01:07:25.140 --> 01:07:29.620]  It's getting bottlenecks, you know, the, cause again, we're, we're, yeah, we're making the
[01:07:29.620 --> 01:07:30.260]  selection.
[01:07:30.260 --> 01:07:35.460]  So we are, and that's kind of how a lot of people thought about CBD before we knew what
[01:07:35.460 --> 01:07:36.260]  CBD was.
[01:07:36.260 --> 01:07:38.900]  People are like, well, this plant doesn't really make me that stone.
[01:07:38.900 --> 01:07:40.580]  I'm no, you don't make the cut.
[01:07:40.580 --> 01:07:42.020]  I'm going for this one.
[01:07:42.020 --> 01:07:44.900]  And then eventually things just became THC dominant.
[01:07:44.900 --> 01:07:46.340]  And now we're trying to reverse that.
[01:07:47.220 --> 01:07:47.460]  Yeah.
[01:07:47.460 --> 01:07:48.260]  Reverse engineer it.
[01:07:49.140 --> 01:07:50.020]  Yeah, exactly.
[01:07:50.020 --> 01:07:58.260]  In fact, I remember in the eighties, yeah, late eight, mid late eighties, I had a, we
[01:07:58.260 --> 01:08:04.420]  had volunteer plants that were CBD rich and had no clue what they were not.
[01:08:04.420 --> 01:08:12.820]  I mean, just like no high dope and yeah, it was the strangest thing, not a clue.
[01:08:13.460 --> 01:08:15.860]  Didn't want to have anything to do with it.
[01:08:15.860 --> 01:08:17.060]  It was just weird.
[01:08:17.780 --> 01:08:18.900]  Yeah.
[01:08:18.900 --> 01:08:19.220]  Yeah.
[01:08:19.220 --> 01:08:19.460]  Yeah.
[01:08:20.420 --> 01:08:24.500]  But that was in the eighties and, and who was, well, this is also in the book.
[01:08:24.500 --> 01:08:26.260]  It's a interesting statistic.
[01:08:26.900 --> 01:08:35.540]  Oh, Samantha Miller from, uh, uh, pure analytics in Santa Rosa, California.
[01:08:36.340 --> 01:08:44.900]  Uh, she started doing tests cause she, she would go through a lot of cannabis, a lot,
[01:08:44.900 --> 01:08:46.500]  make a lot of cannabis tests.
[01:08:46.500 --> 01:08:56.180]  And she found even when it was all dominant THC plants that one out of 500 had plants
[01:08:56.180 --> 01:08:59.700]  that she tested at a dominant TH or I mean, CBDG.
[01:08:59.700 --> 01:09:00.740]  Oh, wow.
[01:09:01.380 --> 01:09:01.880]  Yeah.
[01:09:03.540 --> 01:09:03.940]  Yeah.
[01:09:03.940 --> 01:09:06.180]  And, and so that's really quite a bit.
[01:09:06.980 --> 01:09:14.820]  And, uh, now it's much, the incidence is much higher, you know, but, um, it's got to be
[01:09:14.820 --> 01:09:15.620]  extrapolated out.
[01:09:15.620 --> 01:09:17.780]  We're going to see a whole bunch more stuff too.
[01:09:17.780 --> 01:09:21.300]  Not just like with breeches, you know, like backyard breeders.
[01:09:21.300 --> 01:09:25.780]  And also, I mean, breeders have done quite a bit more stuff now because they, they, they
[01:09:25.780 --> 01:09:29.460]  can select from the larger populations and stuff.
[01:09:30.020 --> 01:09:35.300]  Uh, they can grow more out, but there's also a lot of scientists that are interested in
[01:09:35.300 --> 01:09:35.620]  this.
[01:09:35.620 --> 01:09:41.780]  There's like, you know, that company pure gene over in, in, uh, Switzerland.
[01:09:42.340 --> 01:09:46.740]  I went over to visit them and boy, they're, uh, they're really advanced.
[01:09:47.460 --> 01:09:50.100]  Um, yeah, they're in Shenoga.
[01:09:50.100 --> 01:09:50.500]  Yeah.
[01:09:50.500 --> 01:09:53.700]  And, uh, several other companies as well.
[01:09:53.700 --> 01:09:54.820]  They're quite advanced.
[01:09:54.820 --> 01:10:01.700]  So I think we're going to see some incredibly strong, um, varieties come out, but mainly
[01:10:01.700 --> 01:10:07.140]  for agriculture, because that's what those guys care about.
[01:10:07.140 --> 01:10:08.740]  That's where the real money's at.
[01:10:09.380 --> 01:10:15.700]  You know, you make a lot more selling a 50 pound bag of seeds than you do, uh, selling,
[01:10:15.700 --> 01:10:18.820]  you know, like a thousand impact.
[01:10:20.100 --> 01:10:20.740]  Yeah.
[01:10:20.740 --> 01:10:25.540]  You know, in, especially in the markets here, I've, you know, I've like joked, but I'm
[01:10:25.540 --> 01:10:29.620]  serious when I say a seeded plant is worth more than a non-seeded plant.
[01:10:30.260 --> 01:10:30.760]  Much more.
[01:10:31.220 --> 01:10:31.620]  Yep.
[01:10:31.620 --> 01:10:32.500]  Much more.
[01:10:32.500 --> 01:10:36.180]  So you can produce a ton of seeds on a plant.
[01:10:36.260 --> 01:10:36.580]  Yeah.
[01:10:36.580 --> 01:10:38.660]  So I'd like to see more people do seeds.
[01:10:38.660 --> 01:10:43.060]  I mean, we we've done clones for so long because it's convenient.
[01:10:45.140 --> 01:10:48.100]  And, but now seeds are legal in the United States.
[01:10:49.220 --> 01:10:51.940]  They're, they're legal under the hemp rule.
[01:10:51.940 --> 01:10:59.220]  And, you know, a lot of people are steering away from clones because there's a, the HPOV,
[01:10:59.220 --> 01:11:05.220]  the hop latent viroid, uh, there there's been mosaic virus was the original version.
[01:11:05.220 --> 01:11:10.020]  Now it's shifted to this and, you know, it might shift to another culprit, but a clone
[01:11:10.020 --> 01:11:15.380]  seemed to be what is passing these things along that ultimately will just dud your crop.
[01:11:15.380 --> 01:11:19.380]  And I, you know, again, in the book here, you've got your disease pests and problem
[01:11:19.380 --> 01:11:21.380]  section, which is invaluable.
[01:11:21.380 --> 01:11:22.820]  Everybody read that part twice.
[01:11:23.620 --> 01:11:24.120]  Yeah.
[01:11:24.500 --> 01:11:25.000]  Yeah.
[01:11:25.380 --> 01:11:31.700]  I just touch on stuff pretty quick here because the whole big thing is prevention and setting
[01:11:31.700 --> 01:11:33.300]  stuff up properly.
[01:11:33.300 --> 01:11:36.980]  If you do that, then you can track everything you, you need.
[01:11:37.780 --> 01:11:43.220]  Um, yeah, but that age of him latent virus, man, that's a, that's a bad one.
[01:11:43.220 --> 01:11:51.700]  I talked to my friend, uh, Alex over he's got flowery fields in, in Austria and he does
[01:11:51.700 --> 01:11:55.620]  tissue culture and he can get rid of it with tissue culture.
[01:11:56.340 --> 01:11:58.340]  But he said, it's been a real big problem.
[01:11:58.340 --> 01:11:59.780]  It's been a big problem here in Europe.
[01:11:59.780 --> 01:12:02.180]  And I know it's been a big problem in America as well.
[01:12:03.140 --> 01:12:06.820]  And it's a sneaks in and you don't really, you can't really idea.
[01:12:08.500 --> 01:12:08.980]  Right.
[01:12:08.980 --> 01:12:11.220]  It's, it's, you know, sometimes it's active.
[01:12:11.220 --> 01:12:15.460]  Other times it's not, there's been, um, people who have tested for it here.
