[00:28.410 --> 00:31.650]  How's it going, everybody?
[01:03:56.340 --> 01:03:57.340]  We didn't say, because we never say.
[01:03:58.340 --> 01:04:00.340]  Nice try.
[01:04:03.340 --> 01:04:06.340]  If we were high, it's late, and we're drunk, we would not say.
[01:04:07.340 --> 01:04:09.340]  It's a security thing, James.
[01:04:10.340 --> 01:04:11.340]  Oh, totally.
[01:04:12.340 --> 01:04:13.340]  Totally understood.
[01:04:14.020 --> 01:04:15.020]  So let's talk about autoflowers.
[01:04:16.020 --> 01:04:18.020]  You know, I think you guys have a history with autoflowers.
[01:04:19.020 --> 01:04:23.020]  I thought autoflowers were garbage up until, you know, about four years ago.
[01:04:24.020 --> 01:04:25.020]  They were.
[01:04:26.020 --> 01:04:27.020]  They were.
[01:04:28.020 --> 01:04:31.020]  The Ruderales and the Mexican Rudy and, you know, Lowrider were all very hay-like.
[01:04:32.020 --> 01:04:37.020]  I went to Spain through some people that you guys know and I know as well,
[01:04:38.020 --> 01:04:39.020]  and saw their stuff.
[01:04:40.020 --> 01:04:41.020]  They got in trouble recently, but I went and saw it.
[01:04:41.700 --> 01:04:44.700]  And I was just really disappointed with the autoflowers that they had to show me.
[01:04:45.700 --> 01:04:50.700]  They were showing me Bubba Kush and they had like an Amnesia, Super Lemon Haze auto,
[01:04:51.700 --> 01:04:52.700]  and it was just garbage.
[01:04:53.700 --> 01:04:54.700]  But they've come a long ways.
[01:04:55.700 --> 01:04:56.700]  What's your guys' experience with autoflowers?
[01:04:57.700 --> 01:04:58.700]  You mean the company that's closed now?
[01:04:59.700 --> 01:05:00.700]  Yes.
[01:05:01.700 --> 01:05:02.700]  Yes.
[01:05:02.700 --> 01:05:03.700]  Yeah, that's a different story.
[01:05:04.700 --> 01:05:05.700]  Now maybe Dustin can tell a little bit.
[01:05:06.700 --> 01:05:07.700]  How long have you been going on this podcast?
[01:05:08.700 --> 01:05:09.700]  What's that?
[01:05:10.380 --> 01:05:11.380]  How long are we on here?
[01:05:12.380 --> 01:05:13.380]  We got about another hour.
[01:05:14.380 --> 01:05:15.380]  Oh, we got another hour.
[01:05:16.380 --> 01:05:17.380]  Okay, cool.
[01:05:18.380 --> 01:05:19.380]  Look, the good thing, I agree with you totally.
[01:05:20.380 --> 01:05:22.380]  The autoflowers, I think in the beginning, they were pretty bad.
[01:05:23.380 --> 01:05:25.380]  You know, you couldn't really find the profile you were looking for.
[01:05:26.380 --> 01:05:31.380]  But yeah, look, one of the good and bad points, it's a bad point for the breeder kind of,
[01:05:32.380 --> 01:05:36.380]  but good for the customer, is that you can't really keep a mother plant of an auto plant, you know.
[01:05:37.060 --> 01:05:39.060]  So each generation is a new generation.
[01:05:40.060 --> 01:05:45.060]  And with that, if you keep breeding the plant, you know, instead of just using the same pollen
[01:05:46.060 --> 01:05:49.060]  or whatever that you saved, you know, and you keep just breeding with a better phenotype
[01:05:50.060 --> 01:05:51.060]  of each plant every time.
[01:05:52.060 --> 01:05:55.060]  And now some of those autos, they are maybe like F25, you know.
[01:05:56.060 --> 01:05:59.060]  It's like a 25th generation and just being kept going.
[01:06:00.060 --> 01:06:01.060]  And I found some really good plants.
[01:06:01.740 --> 01:06:07.740]  I don't put them a lot myself because if I want a short flowering time, I just flower directly.
[01:06:08.740 --> 01:06:09.740]  And I put 12-12 in indoor.
[01:06:10.740 --> 01:06:14.740]  So the only place I would use it is outdoor, like where you don't have a really low time
[01:06:15.740 --> 01:06:16.740]  and you want to flower fast.
[01:06:17.740 --> 01:06:18.740]  But yeah, I think it's definitely improving.
[01:06:19.740 --> 01:06:22.740]  We've been doing a few crosses, you know, also test crosses with some strains
[01:06:23.740 --> 01:06:24.740]  and it came out really good.
[01:06:25.740 --> 01:06:27.740]  And now we're also working on some stuff, you know.
[01:06:28.420 --> 01:06:33.420]  But yeah, that's something that I grow personally a lot, to be honest.
[01:06:35.420 --> 01:06:36.420]  Yeah.
[01:06:36.420 --> 01:06:41.420]  So as far as varieties, I think in my opinion, Mephisto is one of the big game changers
[01:06:42.420 --> 01:06:43.420]  with autoflowers.
[01:06:44.420 --> 01:06:47.420]  But the further we've gone away from those original root arousal varieties, the better
[01:06:48.420 --> 01:06:49.420]  it's gotten.
[01:06:50.420 --> 01:06:52.420]  And now incorporating some of the modern day genetics and some of these hybrids,
[01:06:53.420 --> 01:06:55.420]  it just keeps getting better and better.
[01:06:56.100 --> 01:07:00.100]  What varieties are you growing over there in Barcelona or over in Spain?
[01:07:01.100 --> 01:07:02.100]  Well, in Spain, there's a bit of everything.
[01:07:03.100 --> 01:07:06.100]  People now really want some of the American hype, you know,
[01:07:07.100 --> 01:07:08.100]  so all the gassiness, all the cushiness.
[01:07:09.100 --> 01:07:11.100]  But really, there's a demand for everything.
[01:07:12.100 --> 01:07:14.100]  We often have some good Hawaiian snow, you know, for example.
[01:07:15.100 --> 01:07:19.100]  So like real sativas that a lot of people don't want to do because it's too long to flower or whatever.
[01:07:20.100 --> 01:07:22.100]  And yeah, there's definitely people enjoy it.
[01:07:23.100 --> 01:07:24.100]  They appreciate it.
[01:07:24.780 --> 01:07:26.780]  It's a pity that they don't do it more.
[01:07:27.780 --> 01:07:30.780]  But what you would see the most here, but it's more for a commercial reason,
[01:07:31.780 --> 01:07:32.780]  I guess would be Amnesia.
[01:07:33.780 --> 01:07:34.780]  That's the king of Spain, I would say.
[01:07:35.780 --> 01:07:38.780]  But now it's going to be super lemon, white widow, super critical.
[01:07:39.780 --> 01:07:41.780]  You know, it's all those super Spanish classic.
[01:07:42.780 --> 01:07:45.780]  And yeah, and then you have all the rest of the gelato.
[01:07:46.780 --> 01:07:47.780]  It's all here.
[01:07:48.780 --> 01:07:50.780]  You have skittles, gelatos, watermelon skittles, docidos.
[01:07:51.780 --> 01:07:52.780]  Everything's here.
[01:07:53.460 --> 01:07:54.460]  A lot of people are doing selections.
[01:07:55.460 --> 01:07:56.460]  You know, they invest a lot on seeds now.
[01:07:57.460 --> 01:08:00.460]  People are buying a lot of packs and some really good stuff are popping out.
[01:08:01.460 --> 01:08:02.460]  Really interesting.
[01:08:04.460 --> 01:08:11.460]  So when I first came to Barcelona Dust years ago, I noticed it was the hash sales were predominant still.
[01:08:12.460 --> 01:08:14.460]  They had a little bit of flower and a lot of hash.
[01:08:15.460 --> 01:08:18.460]  But your flower sales have gone up tremendously, I would assume.
[01:08:19.460 --> 01:08:20.460]  No, it's always the same.
[01:08:21.140 --> 01:08:28.140]  I don't know if I will confirm for Amsterdam, but for France, I've always seen the same tendency also.
[01:08:29.140 --> 01:08:30.140]  And I see it in Spain.
[01:08:31.140 --> 01:08:39.140]  I don't know if it's a European standard, you know, but there's always been a really big hash consumption base everywhere I've been in Europe.
[01:08:40.140 --> 01:08:46.140]  Most people, because weed was so hard to find, you know, and it's still kind of hard to find.
[01:08:47.140 --> 01:08:48.140]  It's still illegal to grow, you know, in Spain, for example.
[01:08:49.140 --> 01:08:50.140]  So people cannot grow.
[01:08:51.140 --> 01:08:52.140]  So easily.
[01:08:53.140 --> 01:08:54.140]  No, it's still 50-50, I think.
[01:08:55.140 --> 01:08:56.140]  I think it's a good 50-50.
[01:08:57.140 --> 01:08:58.140]  If I had to.
[01:08:59.140 --> 01:09:01.140]  The flower quality has gotten a lot better.
[01:09:02.140 --> 01:09:04.140]  Yeah, flower quality was already good in Spain.
[01:09:05.140 --> 01:09:07.140]  It's just that the clones were not so good, you know.
[01:09:08.140 --> 01:09:11.140]  But the growers here, if you give them a good genetic, they are really good.
[01:09:12.140 --> 01:09:17.140]  You have some really dedicated people that have been saving, you know, clones for 15, 20 years that love their classic.
[01:09:17.820 --> 01:09:21.820]  And they're going to do the strain perfectly, you know, and the trim it perfectly.
[01:09:22.820 --> 01:09:24.820]  Yeah, you have really, really good quality here, for sure.
[01:09:25.820 --> 01:09:29.820]  And now with all this American hype, of course, you know, it's getting more attention from the public.
[01:09:30.820 --> 01:09:33.820]  So, yeah, a lot of people are starting to grow themselves also.
[01:09:36.820 --> 01:09:40.820]  Nice. So what's the most popular strain in Spain right now?
[01:09:41.820 --> 01:09:45.820]  If you were to guess, what would your opinion be on what the most popular variety is?
[01:09:46.500 --> 01:09:50.600]  Well, Skittles was here for a while.
[01:09:51.600 --> 01:09:53.600]  It's still around in the corners.
[01:09:54.600 --> 01:09:59.600]  Yeah, anything that has a little bit of Skittles in it or maybe some Tropicana cookies.
[01:10:00.600 --> 01:10:02.600]  Lately, it's pretty, it's going pretty strong also.
[01:10:03.600 --> 01:10:10.600]  And because we had big gelato hype at some point, you know, like everybody was about the gelato, the sunset and everything.
[01:10:11.600 --> 01:10:12.600]  That's kind of done.
[01:10:13.600 --> 01:10:16.600]  And now I think Skittles has been the one that survived, kind of.
[01:10:17.280 --> 01:10:23.280]  You know, everything that's crossed with the Z, it's always something that's going to work.
[01:10:24.280 --> 01:10:25.280]  The only problem is it's not easy to grow.
[01:10:26.280 --> 01:10:27.280]  So not many people do it.
[01:10:28.280 --> 01:10:29.280]  Yeah, Skittles is a tough one.
[01:10:30.280 --> 01:10:31.280]  It has terrible structure.
[01:10:32.280 --> 01:10:35.280]  The turf profile is great, but the structure is so bad, it really needs to be bred into other stuff.
[01:10:36.280 --> 01:10:40.280]  And that kind of goes along the line with all these newer seed companies trying to improve genetics.
[01:10:41.280 --> 01:10:42.280]  I think that's a great thing.
[01:10:43.280 --> 01:10:46.280]  Yeah. But in the end, you know, anything that is OG, if you get that gassiness and that,
[01:10:47.280 --> 01:10:48.280]  earthiness, people are happy.
[01:10:49.280 --> 01:10:50.280]  Yeah.
[01:10:51.280 --> 01:10:52.280]  Yeah. It's still the good old classic that wins.
[01:10:53.280 --> 01:10:56.280]  Whatever turf, you know, because I think you guys still smoke with a lot of tobacco.
[01:10:57.280 --> 01:10:59.280]  Not for the weed, for the hash, yeah.
[01:11:00.280 --> 01:11:05.280]  But most of people, mainly people, when they smoke with tobacco, it's going to be for economical reason, you know,
[01:11:06.280 --> 01:11:08.280]  because there's not enough weed or because it's so hard to find.
[01:11:09.280 --> 01:11:12.280]  You know, it's not because they prefer smoking tobacco with the weed.
[01:11:13.280 --> 01:11:14.280]  Except it's a hash joint.
[01:11:14.960 --> 01:11:15.960]  Then it's the only way.
[01:11:16.960 --> 01:11:19.960]  But no, for the weed reason, I would say it's mainly economical, you know.
[01:11:20.960 --> 01:11:28.960]  Because, yeah, I mean, in France, when I was buying weed at the time, you know, for, let's say, one, two grams,
[01:11:29.960 --> 01:11:31.960]  it was going to be like 20, 25 bucks, you know.
[01:11:32.960 --> 01:11:35.960]  So if you make one joint with that, that's not really sustainable.
[01:11:37.960 --> 01:11:42.960]  So you make two, three out of it with a little bit of tobacco and then everything lasts longer.
[01:11:43.640 --> 01:11:47.640]  But since I had easier access to weed, I always try to smoke the weed pure.
[01:11:48.640 --> 01:11:50.640]  Unless I'm with somebody that doesn't.
[01:11:52.640 --> 01:11:55.640]  Speaking of smoking, Arien, I saw you had a joint earlier.
[01:11:56.640 --> 01:11:57.640]  What are you smoking on?
[01:11:58.640 --> 01:12:00.640]  Smoking Super Lemon.
[01:12:01.640 --> 01:12:02.640]  Super Lemon, yeah.
[01:12:03.640 --> 01:12:05.640]  Yeah, what I got from a friend by coincidence, actually.
[01:12:06.640 --> 01:12:08.640]  Nice. Still a staple in Amsterdam.
[01:12:09.320 --> 01:12:10.320]  We see it here.
[01:12:11.320 --> 01:12:14.320]  The Super Lemon haze is here. People get seeds and I've seen different phenotypes of it.
[01:12:15.320 --> 01:12:18.320]  But yeah, we still see a lot of Super Lemon popping up occasionally here.
[01:12:19.320 --> 01:12:22.320]  I was just down in San Diego last week and I saw some White Rhino.
[01:12:24.320 --> 01:12:25.320]  I just wanted to hear a variety.
[01:12:26.320 --> 01:12:27.320]  I was like, White Rhino? You got to be kidding me.
[01:12:28.320 --> 01:12:31.320]  But yeah, it's only gotten, I think, seed packs years ago.
[01:12:32.320 --> 01:12:34.320]  And it wasn't the clone only that was passed around.
[01:12:35.000 --> 01:12:39.000]  But it was definitely White Rhino that he had got from a seed pack maybe 20 years ago or something like that, I believe.
[01:12:40.000 --> 01:12:41.000]  Nice.
[01:12:42.000 --> 01:12:45.000]  Yeah, it's funny. It's funny the legacy of White Rhino.
[01:12:46.000 --> 01:12:49.000]  It's interesting because one of my friends, who I didn't know him at the time,
[01:12:50.000 --> 01:12:54.000]  but he was such a fan of greenhouse seeds, he started a collective called the White Rhino Collective
[01:12:55.000 --> 01:12:56.000]  because that was the first strain he'd grown.
[01:12:59.000 --> 01:13:01.000]  So yeah, it's funny how these strains evolve into other things.
[01:13:01.680 --> 01:13:02.680]  I was in one of my first also.
[01:13:03.680 --> 01:13:05.680]  I had Great White Shark and I think second run I had White Rhino.
[01:13:06.680 --> 01:13:07.680]  Yeah.
[01:13:08.680 --> 01:13:09.680]  And it's still really good.
[01:13:10.680 --> 01:13:12.680]  I mean, we have a clone and every time I see a flower and you smell it,
[01:13:13.680 --> 01:13:14.680]  it's still got that really nice creaminess touch.
[01:13:15.680 --> 01:13:16.680]  It's really good.
[01:13:17.680 --> 01:13:18.680]  James, do you see that question?
[01:13:21.680 --> 01:13:22.680]  Yeah. Super Lemon x Amnesia.
[01:13:23.680 --> 01:13:26.680]  That's right. Jaffata is one of the Ganja Farmer Seed Company varieties,
[01:13:27.680 --> 01:13:28.680]  which is kind of the best.
[01:13:29.360 --> 01:13:32.360]  So Super Lemon Haze and Amnesia, I believe, are sister plants.
[01:13:33.360 --> 01:13:34.360]  They're very similar.
[01:13:35.360 --> 01:13:36.360]  Yeah, they both come out of the Super Silver line.
[01:13:37.360 --> 01:13:40.360]  Right. And Super Silver was one of your staples from years ago.
[01:13:41.360 --> 01:13:43.360]  That's been fed into some of the biggest things.
[01:13:44.360 --> 01:13:50.360]  Yeah. That's a very, very old one that came through the lines of the famous Haze Brothers
[01:13:51.360 --> 01:13:57.360]  and then went through Neville and then I winded with me when I was partnering with him in...
[01:13:58.040 --> 01:13:59.040]  When was this? 95?
[01:14:00.040 --> 01:14:02.040]  Yeah. 95 or something.
[01:14:03.040 --> 01:14:07.040]  Yeah. We got Super Silver Haze in San Francisco in the Bay Area in 97.
[01:14:08.040 --> 01:14:10.040]  Yeah. 96.
[01:14:11.040 --> 01:14:12.040]  Yeah.
[01:14:13.040 --> 01:14:14.040]  Thank you.
[01:14:15.040 --> 01:14:20.040]  So that strain that we had that was going around, it wasn't like your typical Haze.
[01:14:21.040 --> 01:14:25.040]  People know Haze. It was pungent, but it wasn't high terpeneal limonene.
[01:14:25.720 --> 01:14:27.720]  It had a very muskiness to it.
[01:14:28.720 --> 01:14:29.720]  Same thing with the White Widow that we had back then.
[01:14:30.720 --> 01:14:31.720]  It was super, super strong.
[01:14:32.720 --> 01:14:37.720]  Strong knock you out, you smoke a joint of it, but the terpene profile was super, super strong as well
[01:14:38.720 --> 01:14:39.720]  and not your typical Haze.
[01:14:40.720 --> 01:14:42.720]  I feel like that's been lost somewhere along the line.
[01:14:43.720 --> 01:14:46.720]  I know Short Brooks and some other people have been chasing that,
[01:14:47.720 --> 01:14:50.720]  trying to recreate or find the original.
[01:14:51.720 --> 01:14:52.720]  The original Super Haze?
[01:14:53.400 --> 01:14:54.400]  Yeah.
[01:14:55.400 --> 01:15:00.400]  I met two guys on the Emerald Cup two years ago and three years ago
[01:15:01.400 --> 01:15:05.400]  and they had bought with me the perfect Super Silver Haze.
[01:15:06.400 --> 01:15:07.400]  It is around.
[01:15:08.400 --> 01:15:09.400]  Yeah.
[01:15:10.400 --> 01:15:11.400]  Well, then White Widow is another one.
[01:15:12.400 --> 01:15:13.400]  I haven't seen the same White Widow that we had.
[01:15:14.400 --> 01:15:16.400]  There's the White Widow that you guys had in Europe
[01:15:17.400 --> 01:15:20.400]  and then somebody had a White Widow that they were growing here that was very unique and different.
[01:15:21.080 --> 01:15:26.080]  There's a handful of varieties and those are both varieties I've been looking for for a while.
[01:15:27.080 --> 01:15:28.080]  Yeah.
[01:15:29.080 --> 01:15:31.080]  Let's talk about breeding back in the 90s.
[01:15:32.080 --> 01:15:34.080]  I feel like Europe kind of bottlenecked into that Haze
[01:15:35.080 --> 01:15:37.080]  where everybody really got excited about Haze
[01:15:38.080 --> 01:15:42.080]  and it changed the genetic gene pool from the 80s into Haze.
[01:15:43.080 --> 01:15:46.080]  That lasted for what, 15 years maybe?
[01:15:47.080 --> 01:15:48.080]  Well, it wasn't mixed, no.
[01:15:48.760 --> 01:15:50.760]  We were kind of the only ones doing that, you know,
[01:15:51.760 --> 01:15:56.760]  Neville's Haze and Super Silver Haze and Hawaiian Snow and Orange Haze 1
[01:15:57.760 --> 01:16:00.760]  and Orange Ultra Haze and then later and then there are from there on
[01:16:01.760 --> 01:16:04.760]  Amnesia came which was a little shorter, quicker plant,
[01:16:05.760 --> 01:16:06.760]  good phenotype of the original one.
[01:16:07.760 --> 01:16:08.760]  They find a short flower in one.
[01:16:09.760 --> 01:16:14.760]  And that was all between 96 and yeah,
[01:16:15.760 --> 01:16:17.760]  early 2000s.
[01:16:18.760 --> 01:16:20.760]  You know, and still of course, it's going.
[01:16:21.760 --> 01:16:22.760]  Yeah.
[01:16:23.760 --> 01:16:26.760]  Yeah, but before that there, I feel like there was a lot of diversity in the genetics
[01:16:27.760 --> 01:16:30.760]  and there was a period in the 90s, in the mid 90s where it kind of bottlenecked
[01:16:31.760 --> 01:16:35.760]  kind of like what happened with Cook from Cookies in 2012 to now
[01:16:36.760 --> 01:16:38.760]  where it was like Cookies, Sherbert, Gelato.
[01:16:39.760 --> 01:16:42.760]  It really reminds me of Europe in the 90s.
[01:16:43.760 --> 01:16:46.760]  Right now, what's going on in California, especially in the United States
[01:16:47.440 --> 01:16:49.440]  where everything's got to be Gelato, it's got to be color.
[01:16:50.440 --> 01:16:53.440]  And there was kind of a time where I, as I saw it from California anyway,
[01:16:54.440 --> 01:16:55.440]  where it kind of got bottlenecked.
[01:16:56.440 --> 01:16:57.440]  The European genetics that we were getting, you know,
[01:16:58.440 --> 01:17:00.440]  everything from power plant to all these things,
[01:17:01.440 --> 01:17:04.440]  they lean towards one thing kind of as Gelato, you know.
[01:17:05.440 --> 01:17:07.440]  And you guys, are you guys working with any of the,
[01:17:08.440 --> 01:17:10.440]  I know I saw some wedding cake crosses that you're doing.
[01:17:11.440 --> 01:17:16.440]  You guys working with Gelato and any of the Cookie lineage?
[01:17:17.440 --> 01:17:21.440]  Not the direct Cookie stuff, but we did a lot of selection.
[01:17:22.440 --> 01:17:26.440]  Yeah, we did a huge selection of like 200 strains a few years ago.
[01:17:27.440 --> 01:17:30.440]  So we just put out thousands and thousands and seeds.
[01:17:31.440 --> 01:17:33.440]  We did a huge pheno hunt, you know, and we really tried to find stuff.
[01:17:34.440 --> 01:17:36.440]  We were not looking for original parents, you know,
[01:17:37.440 --> 01:17:38.440]  not looking for something that resembled the plant,
[01:17:39.440 --> 01:17:42.440]  just looking for something brand new to make more stuff, you know, from this.
[01:17:43.440 --> 01:17:46.440]  Try to find new terpene profiles and just breed it with our stuff.
[01:17:47.440 --> 01:17:49.440]  And see what comes out and from that stuff breed more, you know.
[01:17:50.440 --> 01:17:52.440]  We've just been doing thousands and thousands of crosses.
[01:17:53.440 --> 01:17:56.440]  And it's really exciting, you know, to be able to do this.
[01:17:57.440 --> 01:18:00.440]  And I appreciate the Gelato for sure.
[01:18:01.440 --> 01:18:02.440]  It's a really good strain.
[01:18:03.440 --> 01:18:04.440]  It's just not the most stable in my opinion for breeding.
[01:18:05.440 --> 01:18:07.440]  Sometimes it's hard to find a really stable phenotype.
[01:18:08.440 --> 01:18:11.440]  But yeah, it's nice. It's really good.
[01:18:12.440 --> 01:18:15.440]  I'm more sure, but if I have to choose between Gelato and Sunset.
[01:18:16.120 --> 01:18:17.120]  I would agree.
[01:18:18.120 --> 01:18:20.120]  I feel like Sherbert didn't get its heyday.
[01:18:21.120 --> 01:18:24.120]  You know, there was Cookies and then there was Sherbert for a short period of time.
[01:18:25.120 --> 01:18:27.120]  And if it wasn't for the Sherbert, there would be no Gelato.
[01:18:28.120 --> 01:18:30.120]  But Sherbert, I got Sherbert around this room somewhere.
[01:18:31.120 --> 01:18:33.120]  There's some nugs of it that I smoke on.
[01:18:34.120 --> 01:18:38.120]  Yeah, it's interesting how we go towards stuff.
[01:18:39.120 --> 01:18:40.120]  And then, you know, Runtz is the popular thing now.
[01:18:41.120 --> 01:18:44.120]  But yeah, there's a lot of issues with stability
[01:18:44.800 --> 01:18:47.800]  in the sense of intersexual traits with everything that stems from that Cookie line.
[01:18:48.800 --> 01:18:50.800]  You know, because Cookies was very, you know, it reverses really easily,
[01:18:51.800 --> 01:18:53.800]  which is great for making seeds and for making crosses.
[01:18:54.800 --> 01:18:55.800]  If you're trying to get the clone only.
[01:18:56.800 --> 01:18:59.800]  But the problem is, is, you know, stability in the sense of intersexual traits.
[01:19:00.800 --> 01:19:03.800]  But, you know, all those things can be worked out.
[01:19:04.800 --> 01:19:05.800]  No, it's just a matter of stabilizing.
[01:19:06.800 --> 01:19:09.800]  But you can clearly see that I'm not saying one is better than another.
[01:19:10.480 --> 01:19:15.480]  But the American market is a bit more focused on having more new stuff more rapidly,
[01:19:16.480 --> 01:19:20.480]  but with less work, because like you're saying, a lot of people are growing from clones.
[01:19:21.480 --> 01:19:23.480]  You know, here it's so easy to buy your clone from a dispensary or whatever.
[01:19:24.480 --> 01:19:28.480]  So you don't have that problem of putting 20 seeds and 10 of your seeds are Hermes.
[01:19:29.480 --> 01:19:33.480]  But here in Europe, you know, if the people are doing this really illegally, like we're saying.
[01:19:34.480 --> 01:19:37.480]  So when you put 20 seeds in your room, you know, and you're expecting to have something,
[01:19:38.160 --> 01:19:42.160]  you cannot afford to have half of it that has a problem because it's a genetic trait.
[01:19:43.160 --> 01:19:46.160]  You know, so it needs a little bit more work and a little bit more time.
[01:19:47.160 --> 01:19:48.160]  But yeah, it can definitely be done.
[01:19:51.160 --> 01:19:55.160]  Yeah, I feel like in the 90s and early 2000s, when you'd buy a seed pack from Europe,
[01:19:56.160 --> 01:20:03.160]  10% if you had 10% that, you know, one out of 10 that had a hermaphrodite issue, it was no big deal.
[01:20:04.160 --> 01:20:06.160]  And now we've really gone to really stable varieties.
[01:20:06.840 --> 01:20:09.840]  And people have worked these lines, figure out what works, what doesn't work.
[01:20:10.840 --> 01:20:13.840]  And also testing their stuff.
[01:20:16.840 --> 01:20:18.840]  You know, I feel like the stability issues have completely gone away.
[01:20:19.840 --> 01:20:22.840]  I think it's a demand from the customer also, you know, because the companies are in contact a lot.
[01:20:23.840 --> 01:20:28.840]  We have a lot of cannabis fairs in Europe, you know, so we are lucky that you can see the customer everywhere in their countries.
[01:20:29.840 --> 01:20:30.840]  You know, you get to talk with them.
[01:20:31.840 --> 01:20:33.840]  And we had the forum that was giving a lot of feedback, you know.
[01:20:34.520 --> 01:20:38.520]  So internet is very important for all this aspect, you know, even for the testing and all this.
[01:20:39.520 --> 01:20:46.520]  That's really the good side of internet that you can get feedback from thousands of person almost instantly, you know, before it was much harder.
[01:20:48.520 --> 01:20:54.520]  Oh, yeah. It's like there's so much, you know, the feedback and well, and the amount of misinformation too.
[01:20:55.520 --> 01:20:59.520]  There's just as much misinformation now these days with the accessibility of the internet.
[01:21:00.520 --> 01:21:01.520]  Yeah, that's for sure.
[01:21:02.520 --> 01:21:03.520]  So how's Yoa doing?
[01:21:04.520 --> 01:21:06.520]  He was good. He's moving from houses today.
[01:21:07.520 --> 01:21:08.520]  Oh, nice.
[01:21:09.520 --> 01:21:12.520]  So he's still managing over in the Netherlands, over in Amsterdam.
[01:21:13.520 --> 01:21:15.520]  Yeah. Yeah, still there.
[01:21:16.520 --> 01:21:19.520]  Nice. And how many coffee shops do you guys have over there still?
[01:21:20.520 --> 01:21:22.520]  I know that that's changed a little bit too with the, you used to do five.
[01:21:23.520 --> 01:21:27.520]  But they went from over a thousand to what, 250 or something like that total.
[01:21:29.520 --> 01:21:30.520]  What went from over a thousand?
[01:21:31.520 --> 01:21:32.520]  Over a thousand coffee shops.
[01:21:33.200 --> 01:21:35.200]  You mean for the country or for Amsterdam?
[01:21:36.200 --> 01:21:37.200]  For Amsterdam.
[01:21:38.200 --> 01:21:41.200]  No, we went from like 400 to 166.
[01:21:42.200 --> 01:21:43.200]  Oh, wow.
[01:21:44.200 --> 01:21:48.200]  That's still a significant drop. And then the red light district is shrunk down too now, correct?
[01:21:49.200 --> 01:21:53.200]  Yeah. And they want to shrink it down more. And now they also want to throw out the tourists from the coffee shops.
[01:21:54.200 --> 01:21:55.200]  Yeah, that's so crazy.
[01:21:56.200 --> 01:21:57.200]  That's a crazy idea.
[01:21:58.200 --> 01:21:59.200]  I can't even imagine.
[01:22:00.200 --> 01:22:01.200]  No, let's see.
[01:22:01.880 --> 01:22:03.880]  It happened in four other councils in Holland.
[01:22:04.880 --> 01:22:10.880]  And then one, two, three years later, it all turned it back because of the disaster on the streets, you know.
[01:22:12.880 --> 01:22:15.880]  And other issues. I'm not really aware of what, but they turned it back.
[01:22:19.540 --> 01:22:26.540]  Wow. So we got some questions from the audience. If you guys want to throw some questions out at us, we'd love to answer some questions.
[01:22:27.540 --> 01:22:29.540]  I'm sure you guys got some good stuff for Arjan and Dust.
[01:22:30.220 --> 01:22:36.220]  What kind of questions? You want some fastball in American baseball? You want some high heat inside?
[01:22:38.220 --> 01:22:39.220]  Or do you want some...
[01:22:40.220 --> 01:22:44.220]  We want some good questions. I'm sure I've been seeing them pop up on our feed here.
[01:22:45.220 --> 01:22:50.220]  So one of them was, can you clarify your thoughts on American genetics and breeders?
[01:22:51.220 --> 01:22:58.220]  Because it seemed like you, I guess from the chat, the chat took away that you have a low opinion of American breeders.
[01:22:58.900 --> 01:23:02.900]  It's just a different approach from the European, you know.
[01:23:03.900 --> 01:23:07.900]  Because European is more focused on the seed market, I think, when they're breeding a strain.
[01:23:08.900 --> 01:23:14.900]  And America is more focused on clone production, you know, because you can produce the flower and you have access to the flower so easily, you know.
[01:23:15.900 --> 01:23:23.900]  So it's not the same. If you remember serious seeds, you know, for example, they were really famous for the strains because it was super stable.
[01:23:24.580 --> 01:23:29.580]  Like you would put 50 seeds out of it and the 50 plants were exactly the same.
[01:23:30.580 --> 01:23:34.580]  But he was taking like 7-8 years of breeding, you know, to take one strain out.
[01:23:35.580 --> 01:23:41.580]  And of course, at some point people started complaining because they didn't put out enough strains, you know, for the demand of the public.
[01:23:42.580 --> 01:23:43.580]  They wanted to see more new stuff.
[01:23:44.580 --> 01:23:53.580]  And that's where you have this limit of where is the point where you put out a work that you know is tasty, you know, and has a super amazing profile.
[01:23:54.580 --> 01:23:57.580]  But that is really unstable. Then it's a choice, you know.
[01:23:58.580 --> 01:24:02.580]  I don't know. For me, I try to make something as stable as you can.
[01:24:03.580 --> 01:24:05.580]  I don't want to have like a Maphrodite 3 absolutely.
[01:24:06.580 --> 01:24:08.580]  It's not in my head like something crazy, you know.
[01:24:09.580 --> 01:24:13.580]  But I'm trying to make it as stable as possible so that people don't have problems with it, you know.
[01:24:14.580 --> 01:24:16.580]  But I think the American strains are great, you know.
[01:24:17.580 --> 01:24:22.580]  They're super vigorous. They have terpene profiles that you could not find in Europe really easily.
[01:24:23.260 --> 01:24:26.260]  And yeah, it's great genetic material for breeding for sure.
[01:24:29.490 --> 01:24:35.490]  Yeah. And I think in America, we got a lot of amateur breeders, people that are breeding in their closets, selling seeds that aren't tested.
[01:24:36.490 --> 01:24:39.490]  You know, there's so much going on with stuff.
[01:24:40.490 --> 01:24:44.490]  And I feel like in Europe also, there's a handful of seed companies that do it themselves.
[01:24:45.490 --> 01:24:48.490]  And then there's other people that buy from the, you know, seed companies.
