[00:00.000 --> 00:01.280]  good connectivity there, Nick.
[01:33:50.670 --> 01:33:52.750]  That's probably not recommended.
[01:33:52.790 --> 01:33:55.430]  That's too photo sensitive.
[01:33:55.430 --> 01:33:57.550]  It become photo toxic at that point.
[01:33:57.550 --> 01:34:01.430]  But I don't know, like a 15, 15 grams
[01:34:01.470 --> 01:34:04.070]  to one gallon spray sulfur
[01:34:04.550 --> 01:34:06.070]  and then back it off
[01:34:06.070 --> 01:34:07.990]  and do your three sprays one week
[01:34:08.590 --> 01:34:09.990]  and go to like,
[01:34:11.190 --> 01:34:13.830]  you know, maybe 10 and then five
[01:34:14.470 --> 01:34:16.230]  and your last spray be five
[01:34:16.230 --> 01:34:17.390]  because you're building up
[01:34:18.230 --> 01:34:19.950]  on the leaf and then you need to
[01:34:20.310 --> 01:34:22.750]  probably wash it off and get it like a mic
[01:34:23.830 --> 01:34:26.670]  good microbes on your leaf, you know, like
[01:34:28.150 --> 01:34:29.750]  those are bad microbes
[01:34:29.750 --> 01:34:31.670]  and hyphae growing on your leaf.
[01:34:31.710 --> 01:34:33.110]  You got to clean the hyphae.
[01:34:33.110 --> 01:34:35.150]  But sometimes it's embedded.
[01:34:35.430 --> 01:34:37.470]  Like I've had clones I've gotten from
[01:34:38.550 --> 01:34:41.470]  like places from California and stuff
[01:34:41.470 --> 01:34:43.670]  that were supposed to be like primo cuts
[01:34:43.670 --> 01:34:45.350]  and this and that and they come in.
[01:34:45.350 --> 01:34:47.910]  And that's why you got to isolate everything
[01:34:47.910 --> 01:34:49.870]  because they come in and they'll just be
[01:34:50.670 --> 01:34:53.630]  trashed with like root rot,
[01:34:53.870 --> 01:34:58.630]  like pithom or dark heart.
[01:35:00.350 --> 01:35:06.300]  But yeah, they'll be.
[01:35:07.260 --> 01:35:07.820]  I don't know.
[01:35:07.820 --> 01:35:10.580]  I use zero troll when anything comes in
[01:35:10.580 --> 01:35:12.780]  as a clone zero troll.
[01:35:12.780 --> 01:35:16.180]  And it's I can't really say it's 100 percent organic,
[01:35:16.180 --> 01:35:17.780]  but you can spray with it, too.
[01:35:19.860 --> 01:35:22.580]  It's peroxide, it's food grade peroxide,
[01:35:22.580 --> 01:35:24.900]  like 35 percent peroxide,
[01:35:24.900 --> 01:35:27.900]  and then it's got military grade vinegar in it.
[01:35:28.340 --> 01:35:32.060]  And I mean, vinegar is the strongest thing
[01:35:32.860 --> 01:35:35.220]  on the earth as an acid, you know?
[01:35:35.580 --> 01:35:37.460]  I mean, and she was good.
[01:35:38.140 --> 01:35:39.580]  It was glad to miss.
[01:35:39.580 --> 01:35:41.540]  Coot is in the audience.
[01:35:41.540 --> 01:35:42.260]  Cheers, brother.
[01:35:42.260 --> 01:35:43.260]  Hell yeah.
[01:35:43.260 --> 01:35:43.820]  Hell yeah.
[01:35:43.820 --> 01:35:45.380]  I'd love to meet this guy.
[01:35:45.380 --> 01:35:46.620]  He's a badass man.
[01:35:46.620 --> 01:35:48.540]  I mean, I listen to all your shit.
[01:35:49.540 --> 01:35:52.620]  Definitely learned a ton from everything you've spoken.
[01:35:53.060 --> 01:35:54.860]  Hell yeah. That's dope.
[01:35:54.860 --> 01:35:56.620]  Anyway, thank you.
[01:35:56.620 --> 01:35:57.980]  Thank you. Thank you.
[01:35:57.980 --> 01:36:00.420]  Yeah, he actually jumped in about the name
[01:36:00.460 --> 01:36:03.300]  and he said name is part of the mahogany tree family.
[01:36:03.620 --> 01:36:08.260]  Karanja is a legume and is cultivated in Florida.
[01:36:08.300 --> 01:36:11.780]  I visited several of the growing locations in central Florida.
[01:36:12.180 --> 01:36:13.420]  Yeah. Thanks for the jumping.
[01:36:13.420 --> 01:36:14.900]  King David jumped in as well.
[01:36:14.900 --> 01:36:17.300]  He may he did make a good point,
[01:36:17.900 --> 01:36:20.300]  you know, about using the sprays and,
[01:36:20.420 --> 01:36:23.700]  you know, hydrogen peroxide and balance pH would help your
[01:36:24.460 --> 01:36:26.540]  powdery mildew problems as good as there.
[01:36:26.540 --> 01:36:27.780]  But there is weakness.
[01:36:27.780 --> 01:36:30.820]  There are plants that are not that are super prone to it.
[01:36:30.820 --> 01:36:32.860]  And I'm just like, fuck it.
[01:36:34.180 --> 01:36:35.900]  Like I'm in the Pacific Northwest.
[01:36:35.900 --> 01:36:39.220]  I live like half a block from the ocean.
[01:36:39.740 --> 01:36:42.300]  If if you're going to get powdery mildew, you're going to get it.
[01:36:42.300 --> 01:36:44.900]  It's like there's so many huge trees covered in it.
[01:36:44.940 --> 01:36:49.420]  I don't think there's a there's a unless I like put an intake with CO2,
[01:36:49.740 --> 01:36:52.620]  I think would be the best way to like completely obliterate it.
[01:36:52.620 --> 01:36:53.900]  But I don't get powdery mildew.
[01:36:53.900 --> 01:36:56.940]  I get, you know, it can happen if I if things get out of balance.
[01:36:57.060 --> 01:37:00.540]  If my dehumidifier goes down overnight, I think that that fucking sucks.
[01:37:02.660 --> 01:37:04.540]  What are you trying to say there, Coastal?
[01:37:04.540 --> 01:37:05.860]  Open up your mic.
[01:37:06.580 --> 01:37:08.220]  Yeah, you're on mute.
[01:37:09.060 --> 01:37:11.060]  Yeah, I live right on the water.
[01:37:11.060 --> 01:37:15.340]  And like if I'm growing like a OG,
[01:37:15.700 --> 01:37:19.780]  like really a dense, like fucking really dense,
[01:37:19.780 --> 01:37:22.980]  fucking like Afghanis, you know, like train.
[01:37:23.100 --> 01:37:25.100]  Yeah, I'm not going to lie.
[01:37:25.100 --> 01:37:27.100]  What will happen is
[01:37:28.740 --> 01:37:34.380]  I will get like this fucking white mildew fucking shit like anywhere
[01:37:35.340 --> 01:37:39.540]  that the fucking plant has like an injury.
[01:37:40.100 --> 01:37:43.940]  Like if I if I did try to train it or something,
[01:37:44.420 --> 01:37:49.380]  it will always get like a like right where the fucking training is.
[01:37:49.380 --> 01:37:51.740]  It'll get a fucking white mildew injury.
[01:37:51.740 --> 01:37:55.300]  And I just have always known that.
[01:37:55.340 --> 01:37:59.740]  And it's just it's because it's just so humid for where we live.
[01:38:01.140 --> 01:38:05.060]  And I just
[01:38:06.540 --> 01:38:07.940]  I always hated that.
[01:38:07.940 --> 01:38:11.740]  And so that's why I've started to like I really just kind of
[01:38:12.780 --> 01:38:16.500]  lean towards hazes and I love hazes.
[01:38:16.500 --> 01:38:19.380]  So like I'm kind of more of a haze guy.
[01:38:19.860 --> 01:38:22.820]  And it's like, OK, I'm just going to grow these open,
[01:38:23.420 --> 01:38:27.620]  you know, kind of like where the buds like don't want to mold
[01:38:27.620 --> 01:38:30.580]  so much kind of strains.
[01:38:31.260 --> 01:38:35.340]  And yeah, I love cushions.
[01:38:35.340 --> 01:38:39.420]  But like, yeah, the hazes are a lot easier to grow
[01:38:39.420 --> 01:38:41.060]  when you're right on the water
[01:38:42.900 --> 01:38:47.500]  because the humidity issue is a fucking real bitch
[01:38:48.100 --> 01:38:50.100]  and it will kill you every time.
[01:38:50.180 --> 01:38:53.020]  I mean, the mold is real.
[01:38:54.180 --> 01:38:57.860]  So I just like kind of
[01:38:58.420 --> 01:39:01.180]  pulled myself to saying, OK, I just give up.
[01:39:06.630 --> 01:39:08.430]  Yeah, yeah.
[01:39:09.950 --> 01:39:13.030]  I did that.
[01:39:13.710 --> 01:39:15.230]  I was using
[01:39:16.430 --> 01:39:20.350]  I started using a product like with the hydrogen peroxide
[01:39:20.910 --> 01:39:25.190]  and just started dipping everything that I get, you know, or even.
[01:39:27.910 --> 01:39:31.510]  You know, they make I've been watching Zach, the grow guy.
[01:39:32.190 --> 01:39:35.750]  Biosafe is one of the.
[01:39:37.750 --> 01:39:42.110]  Industries leading IPM, integrated pest management system,
[01:39:42.270 --> 01:39:46.710]  and they have a few cleaning products
[01:39:46.710 --> 01:39:50.190]  that help you start clean and stay clean.
[01:39:50.630 --> 01:39:54.270]  And, you know, commercially, that's key.
[01:39:54.790 --> 01:39:57.470]  Was it biological?
[01:39:57.550 --> 01:40:02.830]  Well, it's just hydrogen peroxide and military grade vinegar
[01:40:02.830 --> 01:40:08.070]  for the zero troll, and then they have a product called oxy false.
[01:40:08.110 --> 01:40:10.630]  And it's together.
[01:40:11.430 --> 01:40:17.350]  It's like 81 percent or I mean, it'll kill over 81 percent.
[01:40:17.870 --> 01:40:19.470]  I guess. Well, give me two seconds.
[01:40:19.470 --> 01:40:20.990]  Pause. Fuck cookies.
[01:40:20.990 --> 01:40:22.590]  Will shit talk cookies here all day.
[01:40:22.590 --> 01:40:24.510]  King David. Somebody sorry.
[01:40:24.510 --> 01:40:27.990]  Somebody just said that that no one wants to talk about.
[01:40:27.990 --> 01:40:29.870]  About cookies in a bad manner.
[01:40:29.870 --> 01:40:32.030]  And fuck cookies.
[01:40:32.030 --> 01:40:36.230]  Every time I fucking say fuck cookies, I lose two fucking followers
[01:40:36.230 --> 01:40:38.270]  on Instagram and fuck cookies.
[01:40:38.270 --> 01:40:40.830]  So fuck cookies, fuck cookies, fuck cookies.
[01:40:41.870 --> 01:40:43.750]  I'm going to say like
[01:40:44.790 --> 01:40:47.830]  I hadn't I hadn't ever seen good cookies.
[01:40:47.830 --> 01:40:53.310]  We'd I we have a lemonade here and I go to dispose, dude.
[01:40:53.310 --> 01:40:56.750]  I ain't that snobby of a girl, but I'm pretty fucking snobby.
[01:40:56.750 --> 01:41:00.310]  I don't smoke other people's weed, but I'll go try some people shit out
[01:41:00.310 --> 01:41:04.710]  like that people talk up and they're like, yeah, man, that was really good.
[01:41:04.710 --> 01:41:07.190]  And I mean, I'll go I'll buy some whatever.
[01:41:07.510 --> 01:41:09.470]  And I went and I bought some.
[01:41:10.070 --> 01:41:12.790]  I had a couple of seeds in my weed that pissed me off.
[01:41:13.150 --> 01:41:15.990]  But, you know, you're buying primo weed.
[01:41:16.150 --> 01:41:19.310]  You spend $20 a gram and you get two fucking seeds.
[01:41:19.310 --> 01:41:21.310]  Well, dude, I know how much seeds weigh.
[01:41:21.870 --> 01:41:23.190]  That's bullshit.
[01:41:23.190 --> 01:41:26.950]  Anyway, but man, I that
[01:41:27.670 --> 01:41:30.830]  the great the thing about cookies is is.
[01:41:32.790 --> 01:41:35.750]  Their branding is so remarkably great
[01:41:35.750 --> 01:41:39.270]  that they can get rappers to talk about their weed
[01:41:39.510 --> 01:41:41.990]  and their strains and their fucking music.
[01:41:42.310 --> 01:41:43.870]  You know, we're doing right now.
[01:41:43.910 --> 01:41:45.550]  You know, we're doing right now.
[01:41:45.550 --> 01:41:47.790]  We're plugging cookies by talking about them.
[01:41:47.990 --> 01:41:49.710]  I know. I know.
[01:41:49.710 --> 01:41:52.230]  It's like stop giving the maritime Nick.
[01:41:52.310 --> 01:41:54.870]  Stop it. You're doing it right now.
[01:41:54.870 --> 01:41:55.750]  You're doing it.
[01:41:55.750 --> 01:41:57.670]  Their weed sucks.
[01:41:58.030 --> 01:41:59.590]  Their branding's.
[01:41:59.910 --> 01:42:01.990]  Well, OK, fine.
[01:42:01.990 --> 01:42:05.750]  Anyway, back to my oxyfos zero troll talk.
[01:42:06.070 --> 01:42:10.030]  If you use oxyfos and zero troll on your mother's
[01:42:10.350 --> 01:42:13.150]  about a day or two before you take cuts,
[01:42:13.470 --> 01:42:19.470]  it reduces the systemic response of any type of powdery mildew fungicide
[01:42:21.110 --> 01:42:24.910]  for us for 21 days almost,
[01:42:25.790 --> 01:42:29.510]  you know, and when you're doing it in domes and you're not using cloners,
[01:42:29.750 --> 01:42:33.750]  you can get, you know, downy mildew or powdery mildew
[01:42:33.750 --> 01:42:36.270]  just trying to get clones to root.
[01:42:36.550 --> 01:42:40.430]  And I've all I've been using that product for about a year
[01:42:41.110 --> 01:42:43.910]  just on my mother's to take my cuts.
[01:42:43.910 --> 01:42:47.430]  And it's really lowered the powdery mildew rate between that.
[01:42:47.790 --> 01:42:51.950]  And if I have a problem in the in the field,
[01:42:53.150 --> 01:42:55.150]  those are my big guns, man.
[01:42:55.150 --> 01:42:57.430]  I'll go out. I'll use the zero troll.
[01:42:57.750 --> 01:43:01.550]  It's a wipes it clean, you know, but if it's embedded in the leaf,
[01:43:01.550 --> 01:43:04.190]  you've got to keep fighting it until it dries out.
[01:43:04.470 --> 01:43:08.350]  And then when you use it together, the oxyfos and zero troll,
[01:43:08.550 --> 01:43:10.070]  it's like a flu shot.
[01:43:10.070 --> 01:43:12.990]  You're good for 21 days, you know, like, but
[01:43:14.270 --> 01:43:16.630]  you got to you got to start with it.
[01:43:16.630 --> 01:43:19.950]  You can't just think, oh, I'm going to go into the this
[01:43:19.950 --> 01:43:22.430]  and I'm going to spray that and it's going to be gone.
[01:43:22.430 --> 01:43:24.670]  Like, that's not how these things work.
[01:43:24.710 --> 01:43:27.670]  You know, like it's a there's a reason why you had it.
[01:43:27.670 --> 01:43:29.070]  It's because you didn't keep up with it.
[01:43:30.950 --> 01:43:34.310]  And I mean, but yeah, the oxyfos zero troll,
[01:43:34.590 --> 01:43:37.750]  I believe is a great product if you're really going to
[01:43:38.470 --> 01:43:42.950]  not stay 100 percent organic and you need to get something done
[01:43:42.950 --> 01:43:46.590]  because you're about to go into flower or something like that.
[01:43:46.630 --> 01:43:50.030]  You know, outdoors, it's not like you can flip this.
[01:43:53.030 --> 01:43:56.070]  Tell you when it's going to start flowering, you know,
[01:43:56.870 --> 01:43:58.990]  sometimes you're like, oh, shit, it's flowering
[01:43:59.430 --> 01:44:02.350]  and I still have a problem or on this one plant.
[01:44:02.390 --> 01:44:04.750]  Are you going to cut the plant down or are you going to fix your problem?
[01:44:04.990 --> 01:44:09.350]  I mean, you know, you're only as good as your fix,
[01:44:10.350 --> 01:44:15.790]  you know, I mean, I'm a carpenter and I'm I mess shit up all the fucking time.
[01:44:15.790 --> 01:44:21.310]  I'm a plumber. I say the exact same thing, but it's how good can you fix your fuck up?
[01:44:21.510 --> 01:44:25.070]  Because that's the difference between an amateur and a professional.
[01:44:25.910 --> 01:44:29.670]  Right. And, you know, if you're I believe I believe
[01:44:29.710 --> 01:44:30.670]  all the other
[01:44:30.670 --> 01:44:34.870]  you, you fucking multiple shit out that way.
[01:44:35.750 --> 01:44:40.710]  You need a few minutes to finish that.
[01:44:48.040 --> 01:44:50.400]  What's up, Coastal? Go ahead.
[01:44:52.160 --> 01:44:53.320]  Oh yeah.
[01:44:53.880 --> 01:44:58.720]  Growing weed is just basically fucking up exactly that.
[01:44:58.760 --> 01:45:03.800]  It's fucking up and learning from your screw ups and.
[01:45:04.880 --> 01:45:10.840]  The more you fuck up, the more you learn what not to do.
[01:45:10.920 --> 01:45:12.600]  It's all it is.
[01:45:12.600 --> 01:45:16.200]  People like think, oh, you're like so good at this or that.
[01:45:16.200 --> 01:45:21.120]  That no, it's after years and years and years of messing up.
[01:45:21.600 --> 01:45:25.320]  That's when you learn how to do it correctly.
[01:45:25.520 --> 01:45:27.800]  And then you learn this simple.
[01:45:27.800 --> 01:45:32.360]  And then that's when you finally are like, oh, wait, I could just do this really simply.
[01:45:32.760 --> 01:45:36.040]  And it's really easy and all this shit.
[01:45:36.320 --> 01:45:42.240]  But like it takes an eternity to get to that point because you just
[01:45:43.040 --> 01:45:48.880]  you spend your whole life thinking, oh, well, I watch these high times things,
[01:45:48.880 --> 01:45:52.960]  especially back in the day with all of us when we look at the high time stuff
[01:45:52.960 --> 01:45:54.000]  and all that.
[01:45:54.000 --> 01:45:58.080]  And it looks like, you know, there was this complicated stuff
[01:45:58.080 --> 01:46:00.440]  and it was like, no, it's not that complicated.
[01:46:00.440 --> 01:46:05.040]  And now you see like with, you know, FCP and all these people,
[01:46:05.600 --> 01:46:07.880]  everything is extremely simple.
[01:46:08.560 --> 01:46:13.280]  And life is really like actually easy to do this stuff.
[01:46:13.280 --> 01:46:18.640]  And I just. I really, really,
[01:46:18.640 --> 01:46:22.800]  really love this whole fucking channel and like what we're doing
[01:46:22.800 --> 01:46:25.280]  and like what we're supporting and.
[01:46:25.280 --> 01:46:34.240]  And. Yeah, I just I hate like the the the the the big,
[01:46:34.680 --> 01:46:38.560]  you know, companies that are trying to make money off this shit and.
[01:46:39.400 --> 01:46:41.360]  Yeah, the high. Yeah.
[01:46:43.200 --> 01:46:44.200]  You know what? Yeah.
[01:46:44.200 --> 01:46:46.000]  What happened?
[01:46:46.920 --> 01:46:52.960]  Like, like, you know, you see a girl and they call it or puke
[01:46:53.280 --> 01:46:57.720]  and, you know, like there's just too much trash out there.
[01:46:57.760 --> 01:46:59.280]  It's hard to.
[01:46:59.480 --> 01:47:04.320]  It's actually it upsets me, you know, the all of it,
[01:47:04.360 --> 01:47:08.320]  like when I used to harvest weed, we would harvest weed and people
[01:47:08.320 --> 01:47:10.360]  would gather friends, family and.
[01:47:11.920 --> 01:47:16.560]  And we would have fun and have a big cookout and, you know, smoke.
[01:47:17.920 --> 01:47:19.040]  Have a great time.
[01:47:19.040 --> 01:47:21.800]  And now it's kind of I don't know.
[01:47:22.520 --> 01:47:23.720]  It's not the same.
[01:47:23.720 --> 01:47:28.820]  It's just not the same, man.
[01:47:29.420 --> 01:47:30.460]  It's not.
[01:47:30.460 --> 01:47:32.580]  You know, it's in it.
[01:47:32.580 --> 01:47:34.460]  I think you're both sitting on a couple of really good points.
[01:47:34.460 --> 01:47:37.020]  Just fuck a we just fuck around and have fun in life.
[01:47:38.700 --> 01:47:40.060]  One hundred.
[01:47:40.060 --> 01:47:42.620]  And be support and surround yourself with awesome people.
[01:47:42.620 --> 01:47:44.020]  We got amazing people in the audience.
[01:47:44.020 --> 01:47:45.980]  We got amazing people here.
[01:47:45.980 --> 01:47:47.540]  We're short, Mr. Trees.
[01:47:47.540 --> 01:47:50.980]  But that's OK, because we got to look at all the awesome, amazing flowers today,
[01:47:50.980 --> 01:47:53.220]  which has been pretty, pretty, pretty epic and fun.
[01:47:53.940 --> 01:47:56.260]  Um, you got the pics?
[01:47:57.380 --> 01:48:01.260]  Yeah, I do. Do you want to do you want to jump in and have a little bit of a look at
[01:48:01.260 --> 01:48:02.940]  it and let me see if I can bring it back here.
[01:48:02.940 --> 01:48:05.580]  I mean, yeah, I really want to smoke it.
[01:48:05.580 --> 01:48:06.620]  It's just not ready yet.
[01:48:08.380 --> 01:48:09.220]  How you have been.
[01:48:10.260 --> 01:48:11.660]  OK, let me see here, let me see.
[01:48:11.660 --> 01:48:13.580]  I mean, I mean, is shit.
[01:48:13.580 --> 01:48:19.100]  Let me remove this and eliminate the screen share and then redo the screen share
[01:48:19.460 --> 01:48:20.660]  and then do this thing.
[01:48:20.660 --> 01:48:23.060]  But this is this has actually been.
[01:48:23.100 --> 01:48:25.780]  I wanted to. Yeah, we'll do you first.
[01:48:25.780 --> 01:48:26.340]  Where are you?
[01:48:28.700 --> 01:48:31.300]  Why is my Instagram not showing properly?
[01:48:35.260 --> 01:48:36.340]  There we go.
[01:48:36.340 --> 01:48:38.260]  I'm glad you know how to do all this stuff.
[01:48:38.260 --> 01:48:40.060]  I'm so computer illiterate.
[01:48:40.060 --> 01:48:41.060]  It's ridiculous.
[01:48:41.060 --> 01:48:46.020]  I'm like this middle aged man growing up in like this tech society.
[01:48:46.220 --> 01:48:48.980]  And I just want to be off the fucking grid almost.
[01:48:49.220 --> 01:48:51.980]  All right. Well, we look at that, brother.
[01:48:51.980 --> 01:48:55.980]  So, you know, this is the pan Kandahar cross.
[01:48:57.460 --> 01:49:02.020]  I believe that's the last one that I sent you.
[01:49:03.540 --> 01:49:05.700]  That was the chunky monkey one.
[01:49:05.740 --> 01:49:07.420]  You're 100 percent correct.
[01:49:07.420 --> 01:49:08.460]  It's the last one.
[01:49:08.460 --> 01:49:09.420]  And you know what?
[01:49:09.420 --> 01:49:12.620]  If I if I can say this because we were looking earlier in the show,
[01:49:12.780 --> 01:49:15.060]  we got a lot of comparative shape here.
[01:49:15.260 --> 01:49:20.380]  A like yours is yours has that one phenotype of mine
[01:49:20.380 --> 01:49:21.980]  had a lot more of this style of growth.
[01:49:21.980 --> 01:49:25.420]  You got a lot thinner leaf style, but the the budding shape,
[01:49:25.420 --> 01:49:28.900]  the calyx shape and the volume per leaf is very similar.
[01:49:29.300 --> 01:49:33.740]  Yeah, the the the Brax to leaf ratio is really.
[01:49:33.980 --> 01:49:37.180]  I mean, there's a lot of Braque and not a lot of leaf, you know.
[01:49:38.060 --> 01:49:40.420]  It's it's a really.
[01:49:40.420 --> 01:49:42.740]  I mean, it's chunky, it's solid, man.
[01:49:42.740 --> 01:49:46.420]  I even thought mites, you know, I gave it to a friend of mine
[01:49:46.420 --> 01:49:49.380]  because we do actually is my partner.
[01:49:49.380 --> 01:49:52.700]  And, you know, he's just he just waters it.
[01:49:53.220 --> 01:49:55.540]  And but I gave him to him clean.
[01:49:55.540 --> 01:49:58.140]  Somehow they got mites and I was like, well, we're smoking it.
[01:49:58.140 --> 01:49:59.860]  So we're not spraying it with nothing.
[01:49:59.860 --> 01:50:04.380]  And it's still it's chunky, solid.
[01:50:04.980 --> 01:50:07.860]  It didn't have quite the nose that this one had.
[01:50:07.900 --> 01:50:10.500]  This one was the
[01:50:10.500 --> 01:50:12.460]  it was number seven for me.
[01:50:12.460 --> 01:50:15.620]  And that one's super sparkly.
[01:50:15.940 --> 01:50:18.180]  It had a like a
[01:50:19.300 --> 01:50:22.540]  orange peel skunk smell.
[01:50:22.820 --> 01:50:25.900]  It was really it was really nice, actually.
[01:50:29.780 --> 01:50:33.020]  Did you grow just the Pam ever?
[01:50:33.020 --> 01:50:36.060]  Yeah. Have I grown just Pam?
[01:50:36.300 --> 01:50:38.500]  Yeah. No, I haven't.
[01:50:38.500 --> 01:50:42.340]  I was just wondering if you noticed any that is similar to just the Pam.
[01:50:43.380 --> 01:50:44.980]  No, I've never grown before.
[01:50:44.980 --> 01:50:47.140]  I've only heard it talked about, you know.
[01:50:48.380 --> 01:50:53.420]  And I feel like I pulled these down at like 11 weeks, right?
[01:50:53.460 --> 01:50:56.420]  There was like ten and a half, 11 weeks, somewhere in there.
[01:50:56.820 --> 01:50:59.900]  And some of them were just
[01:51:00.580 --> 01:51:04.580]  they're still not done like they probably could have went 13 weeks.
[01:51:05.260 --> 01:51:08.820]  I just think that seemed like they took a long time to induce flower.
[01:51:09.740 --> 01:51:12.140]  Yeah. Yeah.
[01:51:12.140 --> 01:51:14.580]  And some of them.
[01:51:14.580 --> 01:51:16.580]  Yeah, this one particularly.
[01:51:18.220 --> 01:51:23.780]  It was the prettiest vino in the room, like you, just the plant wise and everything.
[01:51:23.780 --> 01:51:25.740]  And then it flowered.
[01:51:25.740 --> 01:51:28.660]  And look at this thing is now.
[01:51:28.660 --> 01:51:30.820]  Are they all the exact same age in all these pictures?
[01:51:31.060 --> 01:51:32.460]  Yeah. Oh, yeah. Yeah.
[01:51:32.460 --> 01:51:35.700]  But I did take cuts and I'm going to try to run some outside,
[01:51:35.780 --> 01:51:40.700]  you know, little five gallon pots or something when it cools back down.
[01:51:43.780 --> 01:51:46.300]  Yeah, that one ended up it's not that pretty,
[01:51:46.980 --> 01:51:48.860]  but it's got a garbage.
[01:51:48.860 --> 01:51:53.900]  And I was the one that was like the it had a really great nose to it, though.
[01:51:53.900 --> 01:51:58.100]  You know, it was like that rotten trash can smell.
[01:51:58.740 --> 01:52:03.500]  And this one has that that funk odor to it as well.
[01:52:03.500 --> 01:52:05.100]  It's it's pretty funky.
[01:52:05.100 --> 01:52:06.820]  It's got some.
[01:52:07.700 --> 01:52:11.860]  Like maybe some garbage turps with some gas, you know, it's.
[01:52:12.860 --> 01:52:18.140]  There was only one of them that that was like citrusy smelling,
[01:52:18.140 --> 01:52:21.020]  and that was like really Pam,
[01:52:21.020 --> 01:52:24.140]  like a real Pam looking, and I think it's the next picture.
[01:52:26.620 --> 01:52:28.740]  That was even. Yeah.
[01:52:28.740 --> 01:52:30.300]  Yeah. That's the same plant.
[01:52:30.300 --> 01:52:33.580]  OK, that's the one that smells all citrusy.
[01:52:38.970 --> 01:52:41.970]  And then I showed you a picture of my indoor.
[01:52:42.010 --> 01:52:44.690]  Like it's small, but
[01:52:44.690 --> 01:52:46.770]  I don't know if you got it.
[01:52:47.010 --> 01:52:54.100]  Now, after all that.
[01:52:54.100 --> 01:52:55.900]  No video.
[01:52:58.310 --> 01:53:00.230]  I don't see here, buddy.
[01:53:00.230 --> 01:53:01.910]  OK, well, I probably didn't love it.
[01:53:01.910 --> 01:53:04.630]  We're on doing all these things off the phone.
[01:53:04.950 --> 01:53:06.070]  It's cool.
[01:53:06.230 --> 01:53:08.190]  But yeah, it's it's really unique.
[01:53:08.190 --> 01:53:10.390]  The plant had a great structure.
[01:53:12.270 --> 01:53:14.510]  You know, the leaves were really big.
[01:53:14.550 --> 01:53:18.150]  I really liked the big predominant leaves that are really
[01:53:20.750 --> 01:53:24.830]  the serious, the seriation on the leaves are real predominant.
[01:53:24.830 --> 01:53:30.190]  You know, I had that one, though, that was really finicky
[01:53:30.870 --> 01:53:35.190]  and it looked like it was like a nitrate deficient the whole time.
[01:53:35.470 --> 01:53:38.070]  It called never stopped.
[01:53:38.710 --> 01:53:40.350]  I just kind of chunk that one.
[01:53:40.350 --> 01:53:43.630]  For me, it's uniformity.
[01:53:43.630 --> 01:53:47.190]  And I think I got my two Fino's and my mail that I'm going to use
[01:53:47.190 --> 01:53:51.350]  to make an F2 of it and make and cast a bunch of seeds.
[01:53:51.350 --> 01:53:53.390]  And then I'm going to give some back to Mr.
[01:53:53.390 --> 01:53:56.230]  Trees. And I have
[01:53:57.750 --> 01:54:00.510]  a few other things I want to
[01:54:01.470 --> 01:54:02.830]  maybe cross to it.
[01:54:02.830 --> 01:54:07.710]  I actually got a clock in this cute cross seed.
[01:54:07.710 --> 01:54:13.510]  It was so it's called one times blue oxen.
[01:54:13.790 --> 01:54:15.070]  It's from Swami.
[01:54:15.070 --> 01:54:18.270]  It was just a 2022 seed selection.
[01:54:20.270 --> 01:54:23.830]  And I really want to try clocking this kids,
[01:54:24.190 --> 01:54:28.670]  the one strain, because I'm all about the time, man.
[01:54:28.670 --> 01:54:31.470]  I I've heard so many stories about it.
[01:54:32.350 --> 01:54:37.270]  And I feel like the real the real tie was like.
[01:54:38.750 --> 01:54:41.150]  That was the shit, man.
[01:54:41.150 --> 01:54:45.910]  I mean, it may not have been pretty, but the high was just a bit phenomenal.
[01:54:48.190 --> 01:54:50.430]  I got the kind of harm move red here.
[01:54:50.790 --> 01:54:52.750]  This one was the choice, Fino of them.
[01:54:54.430 --> 01:54:56.110]  And I snapped earlier, I did a little bit of.
[01:54:57.310 --> 01:54:59.150]  A picture taken.
[01:54:59.150 --> 01:55:01.150]  What kind of lights are those?
[01:55:01.150 --> 01:55:02.830]  These are my new ones from.
[01:55:05.110 --> 01:55:07.270]  They're from Greenham, Canada.
[01:55:07.630 --> 01:55:10.870]  Yeah, so I can fuck around, I can change their spectrum,
[01:55:10.870 --> 01:55:12.350]  I can do whatever I want with them.
[01:55:12.350 --> 01:55:14.950]  They're they're they're they're super powerful.
[01:55:16.310 --> 01:55:18.990]  They're a little bit overpowered for the space that I have.
[01:55:19.470 --> 01:55:21.270]  But I got the controller.
[01:55:21.270 --> 01:55:23.190]  It's kind of like in the back there. It's the white one.
[01:55:24.070 --> 01:55:24.670]  You can't see it.
[01:55:24.670 --> 01:55:26.270]  I see it on the angles again.
[01:55:26.270 --> 01:55:27.270]  I remember that.
[01:55:27.270 --> 01:55:30.750]  Please, please, please.
[01:55:30.750 --> 01:55:32.270]  I'm going to go back to the camera.
[01:55:32.270 --> 01:55:33.270]  I'm going to go back to the camera.
[01:55:33.270 --> 01:55:34.270]  I'm going to go back to the camera.
[01:55:34.270 --> 01:55:35.270]  I'm going to go back to the camera.
[01:55:35.270 --> 01:55:36.270]  I'm going to go back to the camera.
