[00:00.000 --> 00:02.000]  We just started
[01:55:04.980 --> 01:55:06.140]  So yeah.
[01:55:09.100 --> 01:55:12.740]  So the first time I smoked Kim dog with fucking Kim dog,
[01:55:12.740 --> 01:55:14.660]  like with Greg, you know?
[01:55:14.660 --> 01:55:15.700]  Wow.
[01:55:15.700 --> 01:55:19.540]  Yeah, that was fucking, took the bar up, you know?
[01:55:19.540 --> 01:55:20.380]  Yeah.
[01:55:20.380 --> 01:55:21.900]  Really fucking good.
[01:55:21.900 --> 01:55:23.420]  Yeah, that was a good one.
[01:55:24.340 --> 01:55:26.580]  And that's something that I find really cool
[01:55:26.580 --> 01:55:29.540]  that he has actually been brought into
[01:55:29.540 --> 01:55:33.020]  kind of the legal market on his own terms.
[01:55:33.020 --> 01:55:36.700]  Like he didn't wanna get involved unless, you know,
[01:55:36.700 --> 01:55:38.100]  he could kind of do it his way.
[01:55:38.620 --> 01:55:40.540]  And someone made it happen.
[01:55:40.540 --> 01:55:43.460]  And if you like, this is almost worth like flying
[01:55:43.460 --> 01:55:45.020]  to the East coast for, but it's like,
[01:55:45.020 --> 01:55:50.020]  if you want Kim grown by Kim dog, it's real, it's possible.
[01:55:51.820 --> 01:55:53.060]  So that's amazing.
[01:55:53.060 --> 01:55:56.660]  That I imagine would raise the fucking bar.
[01:55:56.660 --> 01:55:57.500]  Yeah.
[01:55:57.500 --> 01:56:00.380]  Yeah, it's fucking, that was definitely,
[01:56:00.380 --> 01:56:02.700]  definitely a good one right there.
[01:56:02.700 --> 01:56:04.060]  Yeah.
[01:56:04.060 --> 01:56:04.900]  Yeah.
[01:56:04.900 --> 01:56:05.740]  Damn.
[01:56:06.740 --> 01:56:08.340]  That was one of them that, you know,
[01:56:08.340 --> 01:56:12.260]  the moments where I've had,
[01:56:12.260 --> 01:56:13.780]  when you said you can barely keep your head up,
[01:56:13.780 --> 01:56:15.180]  I'm like, oh, I've had those moments,
[01:56:15.180 --> 01:56:17.740]  but they were, you know, in the nineties,
[01:56:17.740 --> 01:56:18.580]  when I was younger,
[01:56:18.580 --> 01:56:20.900]  when most of the weed really didn't have names.
[01:56:20.900 --> 01:56:24.100]  I'm like, I wish I could, but you know,
[01:56:24.100 --> 01:56:26.300]  and even then too, it's like, if it did have a name,
[01:56:26.300 --> 01:56:30.020]  it was either AK 47 or ATF, which, you know,
[01:56:31.140 --> 01:56:33.020]  who knows what you can believe there.
[01:56:33.860 --> 01:56:35.180]  Shit, man.
[01:56:35.180 --> 01:56:36.420]  Yeah.
[01:56:36.420 --> 01:56:41.020]  So those memorable ones are always, always good.
[01:56:41.020 --> 01:56:43.100]  I smoked some NL5 As,
[01:56:44.340 --> 01:56:46.140]  when I, like before I had to drive
[01:56:46.140 --> 01:56:48.060]  like a considerable amount of weight
[01:56:48.060 --> 01:56:50.060]  from point A to point B,
[01:56:50.060 --> 01:56:52.220]  and point B was a little ways off.
[01:56:52.220 --> 01:56:53.460]  And I remember like,
[01:56:53.460 --> 01:56:56.500]  it's probably like the most scared I'd ever fucking been
[01:56:56.500 --> 01:56:58.980]  driving, you know, A to B.
[01:56:58.980 --> 01:57:00.340]  Oh man, dude.
[01:57:01.180 --> 01:57:03.860]  Yeah, that was rough.
[01:57:03.860 --> 01:57:04.700]  All right.
[01:57:04.700 --> 01:57:06.340]  Well, you made it.
[01:57:06.340 --> 01:57:07.180]  That's the good thing.
[01:57:07.180 --> 01:57:08.020]  Oh yeah.
[01:57:08.020 --> 01:57:09.660]  Yeah, touchdown, buddy.
[01:57:09.660 --> 01:57:11.380]  Like a trooper.
[01:57:11.380 --> 01:57:12.740]  Oh shit.
[01:57:12.740 --> 01:57:14.820]  Well, we got one more question.
[01:57:14.820 --> 01:57:19.820]  I'm not sure, the Jalalabad strain,
[01:57:19.820 --> 01:57:22.740]  is that something that rings a bell for you?
[01:57:22.740 --> 01:57:23.580]  Yeah.
[01:57:23.580 --> 01:57:25.860]  Oh, you're working the Jalalabad star?
[01:57:26.940 --> 01:57:29.020]  Nah, just straight Jalalabad.
[01:57:29.020 --> 01:57:29.860]  Oh, nice.
[01:57:32.140 --> 01:57:33.420]  Yeah.
[01:57:33.420 --> 01:57:37.500]  So what is fancy about this
[01:57:37.500 --> 01:57:39.580]  other than it would be a triple word score
[01:57:39.580 --> 01:57:41.300]  if we were playing Scrabble?
[01:57:45.580 --> 01:57:50.580]  Particular drug traits, man, and particular smells.
[01:57:51.500 --> 01:57:55.620]  But as with any type of land racy thing,
[01:57:55.620 --> 01:57:57.780]  or even like from hash farmers, you know,
[01:57:57.820 --> 01:58:00.700]  it's gonna be all over the place.
[01:58:00.700 --> 01:58:04.460]  So it definitely requires some work, you know,
[01:58:06.340 --> 01:58:10.300]  probably a couple years, three, four years maybe,
[01:58:10.300 --> 01:58:14.940]  you know, to get it kind of isolated more where you want it.
[01:58:15.980 --> 01:58:18.540]  So just something on the back burner
[01:58:18.540 --> 01:58:20.700]  to play around with, you know.
[01:58:20.700 --> 01:58:22.140]  That's good.
[01:58:22.140 --> 01:58:24.740]  Yeah, exactly, it is fun.
[01:58:24.740 --> 01:58:26.780]  That's what it'll be.
[01:58:27.620 --> 01:58:29.500]  Nice, stinky lawn.
[01:58:30.660 --> 01:58:33.340]  It's, you know, when you appreciate the plant
[01:58:33.340 --> 01:58:35.100]  and you can take the time to do this,
[01:58:35.100 --> 01:58:38.380]  it really is fun to see what direction you can shift things
[01:58:38.380 --> 01:58:40.340]  and the influence you can have,
[01:58:40.340 --> 01:58:42.140]  and then, you know, kind of sculpting things.
[01:58:42.140 --> 01:58:44.980]  And that's, you know, probably why a lot of breeders
[01:58:44.980 --> 01:58:49.180]  do other things, animals, dogs, they're both same thing.
[01:58:49.180 --> 01:58:52.980]  Animals are plants, flowers is what I was meaning to say,
[01:58:52.980 --> 01:58:54.020]  vegetables.
[01:58:54.500 --> 01:58:55.340]  Yeah.
[01:58:55.340 --> 01:58:56.180]  Yeah.
[01:58:56.180 --> 01:58:57.020]  Yeah.
[01:58:57.020 --> 01:59:00.700]  And so some things take longer than others.
[01:59:00.700 --> 01:59:02.900]  So I'm looking for that faster one.
[01:59:02.900 --> 01:59:04.980]  I'm gonna start getting into peppers next year.
[01:59:04.980 --> 01:59:06.820]  I'll start playing around with those.
[01:59:06.820 --> 01:59:08.580]  Yeah, that'd be cool, man.
[01:59:08.580 --> 01:59:10.100]  Yeah, growing all types of stuff.
[01:59:10.100 --> 01:59:11.860]  It's a lot of fun, man.
[01:59:11.860 --> 01:59:12.740]  It really is.
[01:59:13.900 --> 01:59:14.740]  Yep.
[01:59:16.500 --> 01:59:19.020]  Dave, are you still with us?
[01:59:19.020 --> 01:59:20.900]  I am always with you.
[01:59:20.900 --> 01:59:21.860]  Oh, hell yeah.
[01:59:21.860 --> 01:59:24.020]  You're the wind beneath my wings, I forgot.
[01:59:27.260 --> 01:59:30.220]  What else do you have there in the bag for this evening?
[01:59:30.220 --> 01:59:34.780]  Did you have anything that was maybe CBD related?
[01:59:34.780 --> 01:59:38.300]  Kind of like the Himalayan herb here, my cherry wine.
[01:59:38.300 --> 01:59:41.220]  Sadly, that's not one of my personal focuses.
[01:59:42.420 --> 01:59:43.620]  Well, you suck, end of show.
[01:59:43.620 --> 01:59:44.860]  No.
[01:59:44.860 --> 01:59:46.420]  I'm sorry.
[01:59:46.420 --> 01:59:47.420]  No, no, it's all good.
[01:59:47.420 --> 01:59:50.580]  I know that there's plenty of use for it out there,
[01:59:50.580 --> 01:59:52.620]  plenty of people who are working with it.
[01:59:53.580 --> 01:59:55.140]  I don't have any awesome stories
[01:59:55.140 --> 01:59:57.980]  like smoking chem with chem, unfortunately.
[01:59:57.980 --> 01:59:59.620]  That's pretty fucking badass, man.
[01:59:59.620 --> 02:00:00.860]  Like, not gonna lie.
[02:00:02.380 --> 02:00:03.780]  But you were talking about peppers.
[02:00:03.780 --> 02:00:06.180]  We got some pepper seeds here.
[02:00:06.180 --> 02:00:07.700]  Oh, that's nice.
[02:00:07.700 --> 02:00:08.700]  Oh yeah.
[02:00:08.700 --> 02:00:10.020]  Where'd those come from?
[02:00:10.020 --> 02:00:10.860]  Baker's Pepper.
[02:00:10.860 --> 02:00:12.660]  Baker's Pepper's out of Florida.
[02:00:13.780 --> 02:00:14.620]  Oh, nice.
[02:00:14.620 --> 02:00:16.540]  Ooh, wow, okay.
[02:00:19.960 --> 02:00:21.280]  Oh, I don't know that one.
[02:00:21.320 --> 02:00:22.440]  Ghost Pepper.
[02:00:22.440 --> 02:00:23.480]  Yeah, absolutely.
[02:00:23.480 --> 02:00:25.840]  Yellow Ghost Pepper, Red Ghost Pepper.
[02:00:25.840 --> 02:00:27.680]  Wow.
[02:00:27.680 --> 02:00:28.840]  Another Seven Pot.
[02:00:30.240 --> 02:00:33.140]  I'm looking for the Trinidad Scorpion.
[02:00:34.040 --> 02:00:34.880]  Oh, you'll see.
[02:00:34.880 --> 02:00:35.720]  A couple other.
[02:00:37.640 --> 02:00:41.560]  Now, are these, if you were to, ah, there we go.
[02:00:41.560 --> 02:00:44.720]  If you were to plant these, realistically,
[02:00:44.720 --> 02:00:48.880]  you're able to increase your seeds with the next year?
[02:00:48.880 --> 02:00:50.200]  Is that something that you would do?
[02:00:50.200 --> 02:00:53.120]  Or, one in a bunch?
[02:00:53.120 --> 02:00:54.680]  I definitely could.
[02:00:56.160 --> 02:00:59.240]  They're so inexpensive to buy, for the most part.
[02:00:59.240 --> 02:01:01.800]  I don't mind picking up more seeds.
[02:01:01.800 --> 02:01:03.720]  Letting somebody else's really like,
[02:01:03.720 --> 02:01:05.320]  that's their main focus in life.
[02:01:05.320 --> 02:01:07.000]  I'll give you seven bucks, whatever.
[02:01:07.000 --> 02:01:08.160]  Five bucks.
[02:01:08.160 --> 02:01:09.000]  Oh yeah.
[02:01:09.000 --> 02:01:10.200]  It's all good.
[02:01:10.200 --> 02:01:13.640]  Am I jumping into the wrong plant again?
[02:01:13.640 --> 02:01:14.480]  No.
[02:01:14.480 --> 02:01:15.320]  Just kidding.
[02:01:16.520 --> 02:01:17.480]  Oh yeah, man.
[02:01:17.480 --> 02:01:18.320]  Chocolate Pepper.
[02:01:18.320 --> 02:01:19.160]  You gotta grow ginseng, man.
[02:01:19.160 --> 02:01:20.120]  Ginseng, five.
[02:01:21.040 --> 02:01:22.640]  I don't have any right now, but Chocolate Peppers.
[02:01:22.640 --> 02:01:25.360]  I fucking love that smoky flavor
[02:01:25.360 --> 02:01:27.280]  that Chocolate Peppers give off.
[02:01:27.280 --> 02:01:28.320]  I've never had that.
[02:01:28.320 --> 02:01:29.640]  I'll have to look for that.
[02:01:29.640 --> 02:01:32.000]  Now, is there anything, is the name misleading?
[02:01:32.000 --> 02:01:33.900]  Is there anything chocolatey about it?
[02:01:35.080 --> 02:01:36.920]  I did not get any chocolate flavor.
[02:01:36.920 --> 02:01:38.360]  Definitely a little bit of smoky flavor.
[02:01:38.360 --> 02:01:39.200]  It's just the look of it.
[02:01:39.200 --> 02:01:41.000]  They have a very brown color to them.
[02:01:43.860 --> 02:01:45.180]  I'll look that one up.
[02:01:47.020 --> 02:01:49.740]  I'm an extreme novice when it comes to peppers,
[02:01:49.740 --> 02:01:53.580]  other than this guy came into our retail shop
[02:01:53.580 --> 02:01:55.020]  and he had been growing peppers
[02:01:55.020 --> 02:01:58.140]  and he had made some just like hot sauces with them.
[02:01:58.140 --> 02:02:03.140]  And they were diluted, but it was like the one, three,
[02:02:03.740 --> 02:02:06.020]  and four as far as the hottest peppers out there
[02:02:06.020 --> 02:02:08.340]  on the Scoville units is what he was using.
[02:02:09.180 --> 02:02:11.460]  That was a fucking rush, man.
[02:02:11.460 --> 02:02:14.500]  I love, just a little corner, man.
[02:02:14.500 --> 02:02:16.260]  Each time, just a little bit more.
[02:02:16.260 --> 02:02:18.260]  You're just like, whoa.
[02:02:18.260 --> 02:02:19.380]  All right, I'm alive.
[02:02:20.500 --> 02:02:22.980]  I fucking loved it, dude.
[02:02:22.980 --> 02:02:26.060]  So yeah, I wanna grow some of my own and do that.
[02:02:26.060 --> 02:02:29.400]  We found if you pair it with cream cheese,
[02:02:29.400 --> 02:02:31.740]  it makes it a little bit more tolerable.
[02:02:31.740 --> 02:02:32.700]  Oh yeah.
[02:02:32.700 --> 02:02:35.980]  My boy, he makes the hot honey, dude.
[02:02:35.980 --> 02:02:37.420]  Like you were talking about biscuits
[02:02:37.420 --> 02:02:39.380]  and all that earlier, dude.
[02:02:39.380 --> 02:02:40.500]  Oh my God.
[02:02:40.500 --> 02:02:41.980]  He's like Reaper peppers.
[02:02:41.980 --> 02:02:44.380]  Like he only makes like crazy hot shit.
[02:02:44.380 --> 02:02:47.140]  Like, you know, like if you request it or whatever,
[02:02:47.140 --> 02:02:50.060]  but like, it's perfect, man.
[02:02:50.060 --> 02:02:51.740]  It's really good.
[02:02:51.740 --> 02:02:54.660]  And gotta get you some of that, dude.
[02:02:54.660 --> 02:02:55.500]  Yeah.
[02:02:55.500 --> 02:02:56.340]  Hot honey.
[02:02:57.780 --> 02:02:59.340]  Hot honey.
[02:02:59.340 --> 02:03:03.900]  We had one guy that, I don't know, he's just sick,
[02:03:03.900 --> 02:03:05.980]  but people, the regulars would come in.
[02:03:05.980 --> 02:03:07.500]  He's like, oh, you guys gotta try this.
[02:03:07.500 --> 02:03:11.080]  And he would just load the chip and give it to people.
[02:03:11.080 --> 02:03:13.740]  And I'm like, dude, you're gonna kill somebody
[02:03:13.740 --> 02:03:14.780]  with the amount.
[02:03:14.780 --> 02:03:18.140]  And for the most part, like everybody panicked,
[02:03:18.140 --> 02:03:20.020]  but some people held it together.
[02:03:20.020 --> 02:03:22.300]  They tried to play it cool, but we're like,
[02:03:22.300 --> 02:03:24.140]  dude, we know you're fucking drinking
[02:03:24.140 --> 02:03:26.060]  as soon as you get out that door.
[02:03:26.060 --> 02:03:29.140]  Like we can see the sweat on your face.
[02:03:30.300 --> 02:03:31.860]  Sometimes you gotta entertain yourself
[02:03:31.860 --> 02:03:33.340]  when you work in a dispensary.
[02:03:33.340 --> 02:03:34.180]  It's not all.
[02:03:35.420 --> 02:03:38.420]  You're in there for 10, 12 hours a day.
[02:03:38.420 --> 02:03:40.460]  You gotta find ways to entertain yourself.
[02:03:40.460 --> 02:03:42.100]  Oh, Ganae, right, man.
[02:03:42.100 --> 02:03:44.620]  We did the gallon of milk challenge at a shop
[02:03:44.620 --> 02:03:46.060]  back in the day with the guy,
[02:03:46.060 --> 02:03:48.100]  like knowing what would happen to him.
[02:03:49.180 --> 02:03:52.140]  Man, he puked all over the back parking lot
[02:03:52.140 --> 02:03:54.180]  and nobody cleaned it up.
[02:03:54.180 --> 02:03:55.900]  And it was like summertime and like,
[02:03:55.900 --> 02:03:59.020]  the next day the smell started coming in.
[02:03:59.020 --> 02:04:00.660]  And I was like, oh my God, dude.
[02:04:01.620 --> 02:04:03.100]  Worst idea ever.
[02:04:05.180 --> 02:04:09.080]  The worst idea ever is pissing out a campfire.
[02:04:09.080 --> 02:04:09.920]  Yeah, it's not.
[02:04:09.920 --> 02:04:11.220]  That smells horrible.
[02:04:11.220 --> 02:04:15.060]  Dude, it sounds fun and games until you're downwind.
[02:04:15.060 --> 02:04:15.900]  Don't do it.
[02:04:15.900 --> 02:04:17.620]  It's one of the worst smells ever.
[02:04:17.620 --> 02:04:18.780]  Don't do it.
[02:04:18.780 --> 02:04:21.120]  Having a piss bait or whatever.
[02:04:22.620 --> 02:04:25.180]  And I highly recommend thoroughly washing your hands
[02:04:25.180 --> 02:04:26.860]  if you're making hot sauce.
[02:04:26.860 --> 02:04:29.260]  And then going, if you're gonna go to the bathroom,
[02:04:29.260 --> 02:04:32.020]  cause oh my God, I made that mistake one time.
[02:04:32.020 --> 02:04:34.660]  And my dick was on fire.
[02:04:34.660 --> 02:04:35.500]  I'm not gonna lie.
[02:04:35.500 --> 02:04:39.500]  It was a really steaming bowl of dick soup.
[02:04:39.540 --> 02:04:40.380]  Yeah, dude.
[02:04:40.380 --> 02:04:42.140]  Fucking straight chorizo.
[02:04:42.980 --> 02:04:47.980]  Yeah, that shit hurts, man.
[02:04:48.020 --> 02:04:50.340]  Yeah, you eat it too hot, man.
[02:04:50.340 --> 02:04:52.900]  You fucking get sting ring and fuck around
[02:04:52.900 --> 02:04:53.980]  and don't wash your hands.
[02:04:53.980 --> 02:04:56.100]  You get some old sting pain.
[02:04:56.100 --> 02:04:56.940]  Shit.
[02:04:58.060 --> 02:04:58.900]  I know.
[02:04:59.780 --> 02:05:00.780]  No good.
[02:05:00.780 --> 02:05:02.260]  No.
[02:05:02.260 --> 02:05:04.580]  Did you stick your anus in like a cup of milk
[02:05:04.580 --> 02:05:05.600]  or something or?
[02:05:07.020 --> 02:05:09.200]  No, I just, I ran it under some water
[02:05:09.900 --> 02:05:10.740]  and it really didn't do anything.
[02:05:10.740 --> 02:05:12.520]  It just, I had to let it dissipate.
[02:05:12.520 --> 02:05:14.960]  It was about 10 minutes of agony.
[02:05:14.960 --> 02:05:18.320]  I just wonder if like you stuck your anus in milk
[02:05:18.320 --> 02:05:21.080]  or put Ford anus on your milk, I guess would work too.
[02:05:22.120 --> 02:05:23.360]  And it was delayed too.
[02:05:23.360 --> 02:05:25.200]  It probably wasn't immediate.
[02:05:25.200 --> 02:05:26.080]  It wasn't immediate.
[02:05:26.080 --> 02:05:26.920]  It was delayed.
[02:05:26.920 --> 02:05:30.040]  Like I zip up and I'm like, oh, what is burning?
[02:05:30.040 --> 02:05:31.440]  Like what the fuck's going on?
[02:05:31.440 --> 02:05:33.160]  Oh shit, I didn't really wash my hands.
[02:05:33.160 --> 02:05:35.280]  And then it just kept intensifying.
[02:05:36.920 --> 02:05:38.200]  It's just like, oh my God.
[02:05:39.680 --> 02:05:40.980]  Yeah, that's bad, dude.
[02:05:42.280 --> 02:05:45.360]  I had a buddy get some fucking all advanced nutrients
[02:05:45.360 --> 02:05:49.120]  pH down on his fucking fingers and use the bathroom.
[02:05:49.120 --> 02:05:52.320]  And it like lit his dick up so bad, like burn it,
[02:05:52.320 --> 02:05:54.160]  you know, like chemical burn.
[02:05:54.160 --> 02:05:56.040]  And then his old lady almost left him
[02:05:56.040 --> 02:05:59.440]  because she thought that he like caught herpes
[02:05:59.440 --> 02:06:01.360]  from fucking whores or something.
[02:06:01.360 --> 02:06:03.520]  You're fucking great, man.
[02:06:04.520 --> 02:06:06.680]  You're fucking great, man.
[02:06:07.600 --> 02:06:09.760]  He's like, no, it's acid.
[02:06:09.760 --> 02:06:10.720]  It's just your dick.
[02:06:10.720 --> 02:06:12.880]  What's your dick doing around acid?
[02:06:12.880 --> 02:06:14.920]  Yeah, you're messing around them whores.
[02:06:15.800 --> 02:06:19.000]  Man, that's not what I want to explain.
[02:06:19.000 --> 02:06:21.240]  Yeah, no fucking doubt, man.
[02:06:22.920 --> 02:06:25.000]  Yeah, so be careful with the peppers
[02:06:25.000 --> 02:06:26.720]  and the pH down, you know.
[02:06:28.520 --> 02:06:30.200]  Wash your hands.
[02:06:30.200 --> 02:06:32.000]  Yeah, man, definitely.
[02:06:32.040 --> 02:06:34.840]  Wash the dick beaters off after you work
[02:06:34.840 --> 02:06:36.800]  and before you go to the bathroom.
[02:06:39.320 --> 02:06:40.920]  It saves you your marriage.
[02:06:45.120 --> 02:06:46.240]  The more you know.
[02:06:48.200 --> 02:06:49.480]  Which yes, thank you.
[02:06:50.360 --> 02:06:52.080]  Wish we had that shooting star icon.
[02:06:52.080 --> 02:06:53.920]  We used to have that in here.
[02:06:53.920 --> 02:06:54.760]  Yeah.
[02:06:54.760 --> 02:06:55.800]  I changed the banners.
[02:06:55.800 --> 02:06:57.880]  You're gonna fuck around and get sued, man.
[02:06:57.880 --> 02:06:59.920]  You're gonna have Bruce Willis after you.
[02:07:00.760 --> 02:07:02.960]  You're gonna have fucking NBC after you.
[02:07:02.960 --> 02:07:05.400]  Hans Gruber is coming after you.
[02:07:05.400 --> 02:07:07.480]  Hans Gruber, yeah.
[02:07:07.480 --> 02:07:11.280]  Well, I know what happens to him.
[02:07:11.280 --> 02:07:12.200]  Hell yeah.
[02:07:12.200 --> 02:07:13.040]  He's screwed.
[02:07:13.040 --> 02:07:15.120]  He goes right up somewhere.
[02:07:15.120 --> 02:07:18.960]  Yeah, and that's actually the Nakatomi Plaza.
[02:07:18.960 --> 02:07:21.840]  I am, it'll be ready in December.
[02:07:21.840 --> 02:07:24.040]  So it's dropping for Christmas.
[02:07:24.040 --> 02:07:24.880]  And that was great.
[02:07:24.880 --> 02:07:26.960]  Oh, perfect, perfect.
[02:07:26.960 --> 02:07:27.800]  Yes.
[02:07:27.800 --> 02:07:29.200]  That is perfect.
[02:07:30.160 --> 02:07:31.000]  Die Hard, right?
[02:07:31.000 --> 02:07:32.200]  It's a Christmas movie, right?
[02:07:32.200 --> 02:07:33.800]  Yep, it is.
[02:07:33.800 --> 02:07:35.280]  It is, 100%.
[02:07:35.280 --> 02:07:37.600]  Yeah, Die Hard and Bad Santa, dude.
[02:07:38.760 --> 02:07:43.400]  I watch the Die Hards and Home Alone every year.
[02:07:43.400 --> 02:07:45.040]  Like those, Bad Santa's good.
[02:07:45.040 --> 02:07:45.880]  That's in there.
[02:07:45.880 --> 02:07:48.040]  Elf is in there, but it's not Christmas
[02:07:48.040 --> 02:07:51.880]  unless I get my Die Hards in and my Home Alones.
[02:07:51.880 --> 02:07:53.600]  Yeah, gotta have it, man.
[02:07:53.600 --> 02:07:55.160]  That's just how I roll.
[02:07:55.160 --> 02:07:57.000]  Fuck yeah, dude.
[02:07:57.000 --> 02:07:58.640]  I like how you move, Chad.
[02:07:59.000 --> 02:08:00.000]  I like how you move.
[02:08:01.040 --> 02:08:03.000]  Living dangerously.
[02:08:03.000 --> 02:08:04.120]  Yeah, dude.
[02:08:04.120 --> 02:08:06.000]  So what else you got in the bag?
[02:08:06.000 --> 02:08:07.080]  Anything else in the bag?
[02:08:07.080 --> 02:08:10.120]  I know we're a little over a couple hours already here.
[02:08:10.120 --> 02:08:11.720]  What's in the box?
[02:08:11.720 --> 02:08:13.600]  What's in the box?
[02:08:13.600 --> 02:08:15.120]  What's in the box?
[02:08:15.120 --> 02:08:17.200]  12 Monkeys is a great movie.
[02:08:17.200 --> 02:08:18.240]  Yeah, it is.
[02:08:18.240 --> 02:08:20.680]  That is an exceptional movie
[02:08:20.680 --> 02:08:23.240]  with Bruce Willis and Brad Pitt.
[02:08:23.240 --> 02:08:26.280]  That movie, along with California,
[02:08:26.280 --> 02:08:28.320]  made me think that Brad Pitt was okay.
[02:08:29.000 --> 02:08:30.600]  I'm like, all right, you're not just a pretty boy.
[02:08:30.600 --> 02:08:32.280]  You can actually make some decent movies.
[02:08:32.280 --> 02:08:35.040]  And then Fight Club too, but 12 Monkeys.
[02:08:35.040 --> 02:08:36.840]  12 Monkeys hit it out of the park.
[02:08:36.840 --> 02:08:38.760]  Yeah, yeah, that was a good one.
[02:08:38.760 --> 02:08:41.040]  I saw that in a theater the same year
[02:08:41.040 --> 02:08:43.880]  as Pulp Fiction coming out and stuff.
[02:08:43.880 --> 02:08:48.160]  Yeah, he had that little part in True Romance too.
[02:08:48.160 --> 02:08:49.800]  Smoking up a little honey berries.
[02:08:49.800 --> 02:08:52.040]  Like, don't you fucking condescend me, man.
[02:08:52.040 --> 02:08:53.160]  I'll fucking kill you.
[02:08:54.080 --> 02:08:56.400]  I always thought that was funny.
[02:08:56.400 --> 02:08:57.840]  To Tony Soprano.
[02:08:58.360 --> 02:09:01.640]  Yeah, Tony Soprano, man, people.
[02:09:01.640 --> 02:09:02.560]  Fucking great.
[02:09:04.200 --> 02:09:05.320]  That was a good movie.
[02:09:05.320 --> 02:09:06.480]  It was, man.
[02:09:07.640 --> 02:09:08.960]  Let's see here.
[02:09:08.960 --> 02:09:11.640]  Sliced seeds that are gonna be going down.
[02:09:11.640 --> 02:09:13.120]  You can tell they're really important
[02:09:13.120 --> 02:09:16.280]  because of the type of baggie that they're in.
[02:09:16.280 --> 02:09:17.880]  Normally the shittier the bag,
[02:09:17.880 --> 02:09:21.960]  the better the beans and my little deal there.
[02:09:23.040 --> 02:09:27.560]  Got a few Kim D to the local H to run through.
[02:09:28.560 --> 02:09:29.840]  This would be cool.
[02:09:30.840 --> 02:09:31.680]  Nice.
[02:09:31.680 --> 02:09:34.040]  Yeah, got some Screaming Eagle
[02:09:34.040 --> 02:09:38.200]  to the Airborne times Grail Haze.
[02:09:38.200 --> 02:09:41.160]  That ought to be pretty fun too.
[02:09:41.160 --> 02:09:44.320]  And then some local H, Cindy 99,
[02:09:44.320 --> 02:09:46.720]  where I reverse Cindy on that.
[02:09:46.720 --> 02:09:49.560]  And then I made the Grim Dog
[02:09:49.560 --> 02:09:51.720]  and then I made the Grim Dog D.
[02:09:51.720 --> 02:09:53.800]  So I got a few Grim Dog Ds
[02:09:53.800 --> 02:09:57.040]  because I was kind of digging that.
[02:09:57.480 --> 02:10:01.080]  It was like this weird, nasty fucking pineapple Fina
[02:10:01.080 --> 02:10:03.040]  that I had that yielded like crazy
[02:10:03.040 --> 02:10:05.480]  that don't fucking hash, man.
[02:10:05.480 --> 02:10:08.760]  So there's some other ones I'll be looking
[02:10:08.760 --> 02:10:10.880]  to play around with.
[02:10:10.880 --> 02:10:15.560]  Got some Blue Moon Sean F2s to pop as well.
[02:10:15.560 --> 02:10:17.560]  So it's gonna be a cool winter, man.
[02:10:17.560 --> 02:10:18.920]  It's gonna be real cool.
[02:10:18.920 --> 02:10:19.760]  Yeah.
[02:10:19.760 --> 02:10:20.600]  It is.
[02:10:20.600 --> 02:10:22.600]  It's gonna be cool, cool shit.
[02:10:22.600 --> 02:10:25.160]  And I'd love to see what comes out of it.
[02:10:25.200 --> 02:10:27.120]  What comes from those projects?
[02:10:27.120 --> 02:10:28.600]  Oh yeah, yeah, man.
[02:10:28.600 --> 02:10:32.800]  A lot of it, it won't even be really a breeding project.
[02:10:32.800 --> 02:10:35.800]  A lot of it's just doing how you do, man.
[02:10:35.800 --> 02:10:38.560]  You just finding a keep or just keep around and smoke.
[02:10:39.640 --> 02:10:42.160]  Because at the end of the day,
[02:10:42.160 --> 02:10:43.840]  I'm a fucking pothead, man.
[02:10:43.840 --> 02:10:45.960]  I like to grow weed and smoke weed.
[02:10:45.960 --> 02:10:49.760]  Sometimes I got no intent of breeding anything further.
[02:10:49.760 --> 02:10:51.840]  I'm good.
[02:10:51.840 --> 02:10:53.680]  Just looking to find a good clone,
[02:10:53.680 --> 02:10:57.120]  keeping around and rinse, wash, repeat.
[02:10:57.120 --> 02:10:57.960]  Yeah.
[02:10:57.960 --> 02:10:59.320]  Head stash, man.
[02:10:59.320 --> 02:11:00.560]  You gotta have the good head stash.
[02:11:00.560 --> 02:11:03.240]  That's a problem I face here too.
[02:11:03.240 --> 02:11:05.600]  It's like I just recently kind of cleared the tent.
[02:11:05.600 --> 02:11:08.160]  I've kept only a couple of things.
[02:11:08.160 --> 02:11:09.480]  I had things that were good,
[02:11:09.480 --> 02:11:12.280]  but I'm looking for great
[02:11:12.280 --> 02:11:14.400]  and I'm starting to hunt again.
[02:11:14.400 --> 02:11:15.360]  I kept a couple of things
[02:11:15.360 --> 02:11:17.560]  that are just freaking phenomenal for me.
[02:11:19.320 --> 02:11:22.000]  But I've only got limited space, unfortunately.
[02:11:23.000 --> 02:11:24.880]  Gotta make those tough decisions.
[02:11:24.880 --> 02:11:26.000]  You really do, man.
[02:11:26.000 --> 02:11:29.440]  And you really gotta get very nitpicky with it.
[02:11:29.440 --> 02:11:32.000]  And when it goes like year to year,
[02:11:33.720 --> 02:11:35.080]  you always got that one.
[02:11:35.080 --> 02:11:37.440]  It's always on the cut on that chopping block.
