[00:00.000 --> 00:01.000]  How you doing?
[50:22.690 --> 50:29.170]  down in Carpinteria, before everything happened, we were researching kind of atomizers and things
[50:29.170 --> 50:36.130]  like that. So can you talk about kind of what you're seeing for people spraying in greenhouses?
[50:37.010 --> 50:41.970]  Yeah, I mean, most people are, you know, using a paint sprayer for the most part. The cannabis
[50:41.970 --> 50:46.130]  community loves paint sprayers, and maybe they weren't good for minerals. That would be something
[50:46.130 --> 50:51.250]  Scott could, you know, talk about. But as far as a lot of these oils and the sulfurs and things
[50:51.250 --> 50:56.530]  that people are using need a great amount of agitation in order to be thoroughly applied
[50:56.530 --> 51:01.810]  properly and not leave residue and residues create phyto toxicity. And technically, you're
[51:01.810 --> 51:07.330]  supposed to be spraying early, early in the morning before the sun comes up, not in the evening time
[51:07.330 --> 51:13.810]  to let that stuff necessarily soak in. And so what ends up happening with paint sprayers is that
[51:13.810 --> 51:18.530]  they don't agitate a lot of these products that are allowed in cannabis, because there's not a lot
[51:18.530 --> 51:23.250]  of them used. And a lot of them do need a great amount of agitation. And if they separate, that's
[51:23.250 --> 51:28.130]  what causes those residues, leaves the phyto and then isn't effective for whatever you're trying to
[51:28.130 --> 51:36.770]  treat. And we run into that a lot. And so I mean, having agricultural spray tanks of any kind,
[51:36.770 --> 51:41.410]  they can be small, they can be large, but they have to have an agitation system on the inside
[51:41.410 --> 51:46.450]  in order to make all this stuff really work, how it's designed to work. And then Scott's
[51:46.450 --> 51:51.730]  researched more into droplet size. I mean, he kind of gets crazy on it, but you know, that's my
[51:51.730 --> 51:57.330]  point. Well, because what my kind of experience, like the first time I was introduced to a paint
[51:57.330 --> 52:02.850]  sprayer was in 2016, which was really one of my first big commercial projects. And at that time,
[52:02.850 --> 52:09.650]  I was like, this is amazing, you know, and it seemed to really solve a lot of problems. I like
[52:09.650 --> 52:14.930]  that it was really lightweight. Personally, I think those like over the shoulder atomizers is
[52:14.930 --> 52:19.970]  by far the worst piece of equipment that ever was designed. It leaks all over employees and nobody
[52:19.970 --> 52:24.930]  wants to use it. And if an employee or a cultivator doesn't enjoy using a piece of equipment, they're
[52:24.930 --> 52:30.850]  not going to use it. And so we went to farm after farm after farm, seeing the same systemic issues.
[52:30.850 --> 52:35.410]  They had those little atomizers with the jug that leaks all over employees. Nobody likes that.
[52:35.410 --> 52:40.050]  They can't articulate them into the plants. So they just kind of walk through the building and
[52:40.050 --> 52:45.490]  just kind of blow in the air and kind of pretend to do their job. And then, or then you end up with
[52:45.490 --> 52:50.530]  a paint sprayer. So the benefits of a paint sprayer is it has, you know, a lightweight hose
[52:50.530 --> 52:55.330]  with a lightweight nozzle that's easy to articulate. It has a high air pressure, so it'll
[52:55.330 --> 53:01.090]  move the plants. So that's really nice. You can, you can articulate the plant into the correct
[53:01.090 --> 53:09.090]  position with the spray gun itself. The real hindrance of the paint sprayer is the context.
[53:09.090 --> 53:15.330]  A paint sprayer is designed to typically spray water-based or oil-based paints. So they have
[53:15.330 --> 53:20.610]  different homogenization requirements. They're also spraying a product onto a vertical surface.
[53:20.610 --> 53:26.930]  And so gravity is homogenizing the product for you. None of those apply to a plant. And then the
[53:26.930 --> 53:33.810]  other issue is that the nozzle is not designed for the type of atomization that pesticides need,
[53:33.810 --> 53:39.410]  because again, it's spraying paint. It's not trying to kill pests with pesticides. And so then the
[53:39.410 --> 53:45.970]  other concern is droplet size. So if you're a conventional farmer and you have a pest issue,
[53:46.530 --> 53:51.730]  you typically contact your Ag Extension office. The Ag Extension sends a representative out.
[53:51.730 --> 53:56.530]  They correctly identify the pest. They recommend a pesticide for you to use.
[53:57.570 --> 54:02.290]  There comes along specifications for droplet size that are necessary for that particular
[54:02.290 --> 54:09.010]  compound to kill that particular pest. And they give you these little cards that have water-sensitive
[54:09.010 --> 54:14.290]  like ink on it or something so that you spray it. And it's almost like a little grid that shows you
[54:14.290 --> 54:19.490]  that, yeah, I am hitting the correct spray. So what people need to really wrap their mind around is
[54:20.530 --> 54:27.010]  if you're trying to kill a russet mite, just for whatever, we'll just say a russet mite is 100
[54:27.010 --> 54:33.890]  microns across or something. And if you're shooting a droplet size that's five times the size of that
[54:34.610 --> 54:42.290]  insect, well, you also have gaps that are the same size as the droplet. So you have two issues.
[54:42.290 --> 54:47.970]  You're hitting a pest with a water droplet that has no pesticide. You're hitting a plant with only
[54:47.970 --> 54:53.970]  pesticide. And then you're missing the insect altogether. And so I went to farm after farm
[54:53.970 --> 55:00.370]  after farm all through 2016, 2017, 2018. People are using pest sprayers. They can't get on top of
[55:00.370 --> 55:07.250]  pests. And then I can't remember what year it was, but in the first, I think really the first
[55:07.250 --> 55:13.810]  regenerative conference up there in Portland, Susan Wainwright, the bug lady was there and she
[55:13.810 --> 55:19.170]  talked about this phenomenon. I think that was the first time I really had it explained in that way,
[55:19.170 --> 55:24.530]  where I really had an aha movement. I think why it hasn't settled on the cannabis industry is
[55:24.530 --> 55:28.450]  because Susan usually talks to you like a scolding teacher. And I don't think people,
[55:29.250 --> 55:34.610]  you know, follow sometimes because her tone's a little disrespectful. But what she's trying to say
[55:34.610 --> 55:40.050]  is helpful in that you need to have a proper nozzle that atomizes properly, that has small
[55:40.050 --> 55:46.530]  enough droplets so that you're actually hitting the pest with a homogenized solution that will
[55:46.530 --> 55:52.690]  actually kill the targeted pests. And so, yeah, paint sprayers are great for spraying nutrients.
[55:53.490 --> 55:58.770]  You'll, you know, you'll never get on top of pests. And Eric was consulting on a project just recently
[55:58.770 --> 56:02.610]  where they're spraying and spraying and spraying and spraying and spraying. And, you know, he
[56:02.610 --> 56:08.290]  suggested they use the commercial sprayers. You know, the crew has an objection for one reason or
[56:08.290 --> 56:12.370]  another for the sprayers on why they don't want to use them. But what's important is that nozzle
[56:12.370 --> 56:20.370]  is designed to homogenize and atomize pesticides for the issue of dealing with pests. And we're in
[56:20.370 --> 56:26.690]  a, we're in a real pickle right now in cannabis in that there hasn't been a lot of focus on our needs.
[56:26.690 --> 56:31.250]  So, you know, you have like the big dram sprayers, they have these giant plastic tanks. Well, those
[56:31.330 --> 56:36.610]  cause issues with microbial issues sometimes. It's not, in my opinion, the best suited for
[56:36.610 --> 56:42.850]  cannabis and we need new equipment. We need a piece of equipment that is designed for
[56:42.850 --> 56:47.570]  the regulated cannabis market that has the characteristics of an agricultural sprayer.
[56:48.370 --> 56:53.170]  And it just, it doesn't fit yet. It is not here yet. I think you're muted, Kevin.
[56:54.850 --> 56:59.330]  Am I coming through? Yeah, there you go. Yeah, there you go. The electrostatic technology is nice,
[56:59.970 --> 57:06.450]  but you see it in a little wonky small form or extremely complicated big form.
[57:07.330 --> 57:12.050]  It doesn't allow smaller, you know, the smaller operator to use some of the technology. And I
[57:12.050 --> 57:16.370]  think that's why you see so much of the paint sprayer tech is because it's readily available.
[57:17.170 --> 57:21.890]  And I agree, they're not making the products that we need for our industry because
[57:22.850 --> 57:29.250]  it's plants, but it's different in that you can't use so many of the other tools prior.
[57:29.970 --> 57:35.890]  And I think that cannabis by nature, the fact that it's epidural layer and the surface of that
[57:35.890 --> 57:45.890]  is so convoluted and unique in its composition that it allows you to have a lot of hiding places,
[57:45.890 --> 57:50.930]  tough to get up in the canopies, tough to cover and spray correctly. And when the canopy starts
[57:50.930 --> 57:56.130]  to become huge, like some of these operations, you're basically just trying to outrun it.
[57:56.130 --> 58:01.810]  You know, we got that's why you see these shorter day cycles where there's a limit on how long
[58:01.810 --> 58:06.530]  they're going to flower these rooms. And I think a lot of that that limit is based off of how long
[58:06.530 --> 58:11.730]  they can outrun the problem before it becomes so problematic. They can't get any value at a plant.
[58:11.730 --> 58:17.010]  I mean, I see a lot of big ops that don't sell flower. They only sell concentrate.
[58:17.970 --> 58:19.410]  Because problems go to production.
[58:20.050 --> 58:26.370]  Yep. They cleanse it there. And it's, I know we all laugh because it's just so fucking real.
[58:29.410 --> 58:35.330]  The cannabis plants, it's its own little world. And we've been saying that for a while,
[58:36.050 --> 58:40.850]  but it doesn't mean that you can't take tech from other industry combine and dial it in,
[58:40.850 --> 58:46.290]  but it just has to be done. And we haven't seen that yet. And the thing about agitation,
[58:46.930 --> 58:52.770]  that Eric was talking about, it's huge because I remember a lecture you gave Scott, I was at
[58:52.770 --> 58:58.450]  where you were talking about nematode distribution and how, when you check the nematodes in the beds,
[58:58.450 --> 59:03.650]  you saw them all over the place in terms of number. And you realize that it was due to the fact that
[59:03.650 --> 59:08.370]  the tanks weren't agitated when they did the application. And what you were getting was no
[59:08.370 --> 59:13.650]  nematodes in some portions and then all the nematodes and others. And it was, it just
[59:13.650 --> 59:19.170]  highlights that same situation where everything has to be mixed continuously, or you're spraying
[59:19.170 --> 59:25.010]  liquid, which does nothing, or you're spraying something that's phytotoxicity, which damages the
[59:25.010 --> 59:30.690]  plant, opens it up to other pathogenic entry. And now you have a whole nother set of problems.
[59:32.130 --> 59:37.970]  Exactly. Yeah. Whatever scale you're at, the difference between the ends is what really
[59:37.970 --> 59:43.410]  kills you. And so, you know, what, what Eric experienced at this one particular facility that
[59:43.410 --> 59:49.650]  he stopped by is that literally changing to the, to the appropriate agricultural sprayer within what,
[59:49.650 --> 59:54.530]  a couple weeks or something, there was noticeable. Yeah. I mean, within a couple weeks, so
[59:54.530 --> 01:00:01.010]  phytotoxicity went down. So that's, you know, that's, that's injury due to sunlight and being
[01:00:01.010 --> 01:00:05.490]  intensified through a chemical or compound. So you have half the building that's getting an
[01:00:05.490 --> 01:00:10.930]  excessively concentrated solution. You got half the building that's getting water. None of it's
[01:00:10.930 --> 01:00:15.490]  getting on top of the pest. And then now because of the paint sprayer handle, you're also now when
[01:00:15.490 --> 01:00:21.090]  you are spraying, you're also missing the pest altogether because the droplet size is too big.
[01:00:21.090 --> 01:00:25.650]  Too big. It's like, it's like, I guess a good example would be like shotgun shells. So like
[01:00:25.650 --> 01:00:30.850]  shotgun shells come in a single slug, they come in like a six shot and then they come in like a 40
[01:00:30.930 --> 01:00:36.690]  shot. So if you shoot that up against the wall, the single slug leaves big gap around it, you know,
[01:00:36.690 --> 01:00:42.530]  and so a six shot is going to make six holes, but there's big gaps around it. And so as you go down
[01:00:42.530 --> 01:00:49.170]  in BB size, you cover more ground and you know, that's, what's really missing. So us personally,
[01:00:49.170 --> 01:00:55.170]  for our clients, we've been just kind of adapting spray guns from, from, you know, agricultural
[01:00:55.970 --> 01:01:00.530]  areas to other pieces of equipment that they like to use right now. It's a big Frankenstein time
[01:01:00.530 --> 01:01:05.650]  right now. Yeah. Scott went, we went to the world ag expo together and Scott stopped by every booth
[01:01:05.650 --> 01:01:14.050]  that had anything to do with spray nozzles things. And I mean, it was insane, but actually we learned
[01:01:14.050 --> 01:01:19.410]  a lot, you know, like if you ask him what, what works for pump and sludge, they look at you like
[01:01:19.410 --> 01:01:28.290]  you're crazy. And that's, so that's yeah. Good. No, I was just going to say, so at the, at the
[01:01:28.290 --> 01:01:33.010]  expo, like what, what, what were your learnings there? Because I know like, for example, are you
[01:01:33.010 --> 01:01:39.810]  still are you still a blue mat enthusiast? I love blue mats. Yeah. So for example, like you're the
[01:01:39.810 --> 01:01:44.130]  one who introduced everyone to blue mats and you were the champion, I mean, for everybody I know,
[01:01:45.490 --> 01:01:50.610]  nice carpentry area, but like, so, you know, and you saw them and you're like, oh my God,
[01:01:50.610 --> 01:01:57.650]  these serve a specific purpose. And so what did you see, you know, your dorky nozzle research?
[01:01:57.650 --> 01:02:01.490]  Like what, what, what do you see? What'd you learn? What, what do you think you could apply
[01:02:01.490 --> 01:02:08.450]  to this industry? Well, I think, you know, the, the overall message is that the current context
[01:02:08.450 --> 01:02:14.610]  of agriculture is not suited really to what I'm doing. It's, it's suited to using really
[01:02:14.610 --> 01:02:19.570]  highly soluble chemicals in water. So every piece of equipment is suited to
[01:02:20.690 --> 01:02:26.050]  very water soluble, salt chemicals, nothing. And so when I would go around to the different spray
[01:02:26.050 --> 01:02:29.650]  people and what Eric was talking about, the sludge is like, okay, if I want to do something,
[01:02:29.650 --> 01:02:34.450]  that's got a little bit of texture to it, a little bit of organic, something I have to define it to
[01:02:34.450 --> 01:02:39.970]  the chemical people as sludge, you know, because most of the chemicals just become a water solution.
[01:02:39.970 --> 01:02:45.970]  They're so water soluble. It looks like water. So all the nozzles, all the screens, all the filters,
[01:02:45.970 --> 01:02:51.970]  all the pumps, all the, everything is suited to essentially spraying water. And so I would say,
[01:02:51.970 --> 01:02:55.970]  well, what if I wanted to spray a sludge to see if they had any sort of reaction? And they
[01:02:55.970 --> 01:03:01.650]  look at me like the hell, what? You know? And I'm like, well, I'm spraying organic products and it
[01:03:01.650 --> 01:03:05.250]  has a little bit of a texture to it. So I just use the word sludge to see what you, he's like,
[01:03:05.250 --> 01:03:09.970]  well, nobody wants to spray sludge. I'm like, exactly. Okay. So what's the biggest orifice
[01:03:09.970 --> 01:03:15.810]  thing you have? And they would pull out, okay, well, if we're, you know, dealing with really
[01:03:15.810 --> 01:03:20.850]  crummy well water that has silt in it or something, this is what we would use. And
[01:03:21.410 --> 01:03:27.410]  none of that stuff is anywhere near close to what it would be desirable for spraying compost tea,
[01:03:27.410 --> 01:03:34.530]  for example. And, you know, Sarah and I had to come up with techniques because nothing is really
[01:03:34.530 --> 01:03:39.170]  all that suited to spraying tea at scale. So we had to figure out other techniques to avoid having
[01:03:39.170 --> 01:03:43.730]  to spray tea at scale. Like we had to come up with new strategies to solve the problems that
[01:03:43.730 --> 01:03:50.370]  didn't involve tea because it was too complicated. You know, and, you know, I keep kicking around,
[01:03:51.650 --> 01:03:55.970]  you know, building some spec equipment, but I don't want to do everything. I want to do my
[01:03:55.970 --> 01:04:00.130]  role. You know, I want to do analytics. I want to do math. I don't want to be an equipment supplier.
[01:04:00.130 --> 01:04:04.290]  I don't want to make shit. I want to be a manufacturer. It's expensive to design that
[01:04:04.290 --> 01:04:10.690]  shit. Like I did some blow mold design on something. I had this little idea years ago,
[01:04:10.690 --> 01:04:14.050]  and I was like, if you want to burn money quick, get into R&D.
[01:04:16.370 --> 01:04:20.850]  Yeah, exactly. But we have a need though. And that's the thing. It's like right now,
[01:04:20.850 --> 01:04:25.650]  people are failing with paint sprayers or, you know, I say DRAM, they're the biggest one. There's
[01:04:25.650 --> 01:04:29.970]  things I like about it. There's a lot I don't like about their equipment. But again, you know,
[01:04:30.850 --> 01:04:35.490]  the real issue that I think we've experienced as cannabis people is, you know, we've done,
[01:04:36.370 --> 01:04:41.090]  we've used damn near everybody's product. And we've seen it. We've tried to help a farm be
[01:04:41.090 --> 01:04:45.650]  successful damn near every product. And, you know, after the project's over, I'll reach out
[01:04:45.650 --> 01:04:49.650]  to the manufacturer. I'm like, hey, you know, we were just at this farm for a week. These are the
[01:04:49.650 --> 01:04:54.130]  issues that they're having. This is what we're quantifying. This is the problems we're seeing,
[01:04:54.130 --> 01:04:59.170]  you know, and they respond like, who the hell are you? You know, it's like, well, I'm a person that
[01:04:59.170 --> 01:05:03.490]  tries to get people successful with your product. And these are the things that I regularly see.
[01:05:04.050 --> 01:05:10.290]  And so far, the only people, the only people really that have been receptive to our feedback
[01:05:10.290 --> 01:05:16.610]  has been Grassroots Fabric Pots and Sustainable Village, which is who sells the blue mats. No
[01:05:16.610 --> 01:05:22.210]  other agricultural. I think Tyler's actually watching right now. Yeah. What's up, Tyler?
[01:05:22.210 --> 01:05:28.050]  But Grassroots has been great. They listen to the market and they make changes and, you know,
[01:05:28.050 --> 01:05:31.890]  Sustainable Village, those are the people that sells blue mats out in Colorado. They do the same
[01:05:31.890 --> 01:05:37.330]  thing. I've had a running dialogue with Steve from Blue Mats for five, six years now, and they
[01:05:37.330 --> 01:05:42.610]  make updates based on what we're seeing in the field. And, you know, there's this resistance
[01:05:42.610 --> 01:05:46.610]  or this like culture, like was being said way at the beginning is, you know, there's this
[01:05:47.170 --> 01:05:53.570]  clashing of cultures and clashing of we're on this team or you're on the weed team. And so far,
[01:05:54.690 --> 01:05:59.970]  zero tea brewer manufacturers have been receptive to our feedback. Zero spray manufacturers have
[01:05:59.970 --> 01:06:06.050]  been receptive to our feedback. And, you know, at some point somebody will fill those niches. But
[01:06:07.410 --> 01:06:13.170]  can you talk about some iterative product development, blue mat based on the feedback?
[01:06:13.170 --> 01:06:17.730]  Like, what did you say? That was a great screen grab.
[01:06:22.610 --> 01:06:27.170]  Well, the yeah, there's been a lot of evolution with the blue mats. You know,
[01:06:27.170 --> 01:06:31.810]  the original systems used a lot of carrots, which is the sensor part that functions it.
[01:06:31.810 --> 01:06:37.330]  And it uses a lot of the distribution drippers. The downside of those is a horrendous cost,
[01:06:38.210 --> 01:06:42.530]  because all those little bits are the most expensive. And the more carrots you put into a
[01:06:42.530 --> 01:06:48.610]  building, the more opportunities for failure you had. And we experienced that, you know,
[01:06:48.610 --> 01:06:55.090]  the first real big facility we installed them in was like 65,000 square feet. And that was before
[01:06:55.090 --> 01:06:59.890]  all the blue soak hose was really kind of dialed in and working well. So I stuck to the old tried
[01:06:59.890 --> 01:07:05.490]  and true. And it was far too many carrots in a facility. And it to be honest, it didn't go well.
[01:07:06.370 --> 01:07:11.170]  You know, I would have liked to see it gone better. And unfortunately, that cultivator,
[01:07:11.170 --> 01:07:15.090]  you know, doesn't say the nicest things about the blue mat system still to this day. And
[01:07:15.730 --> 01:07:24.210]  but, you know, working with, you know, the Steve and, and James and Michael, Michael's been really
[01:07:24.210 --> 01:07:29.250]  big over there, it's sustainable village, and, you know, evolving how we install the systems.
[01:07:29.250 --> 01:07:34.210]  And I feel like right now where we're at, like, you know, the blue silk manifold system is working
[01:07:34.210 --> 01:07:39.570]  really well. And there's three or four different variations that are going out right now. You know,
[01:07:39.570 --> 01:07:45.250]  my personal is a little bit different than what they sell. But, you know, now, instead of being,
[01:07:45.810 --> 01:07:52.290]  you know, $10,000 for a 4000 square foot building, you're down to like two to 3000. So now it's kind
[01:07:52.290 --> 01:07:59.650]  of doable. But on the same thing, like, you know, over at, you know, one of the farms, both Kevin,
[01:07:59.650 --> 01:08:04.050]  I, you know, Kevin introduced this to they put it in, you know, they put it on half the building
[01:08:04.050 --> 01:08:09.090]  to prove concept. And so it was, I would say a pretty good trial, because it was the, you know,
[01:08:09.090 --> 01:08:13.090]  one side had it and one side didn't, they all got the same treatment and the side with the blue mats
[01:08:13.090 --> 01:08:18.930]  had 28% more flour. You know, that's pretty markable return on investment for a couple grand.
[01:08:19.890 --> 01:08:27.330]  But still, it's, you know, it's, you know, we just, it's, it's really hard to convince these
[01:08:27.330 --> 01:08:32.050]  facilities to make the decisions that will help them. Ultimately, that's, that's one of our biggest
[01:08:32.050 --> 01:08:38.050]  obstacles is, you know, a lot of times so many other bad things have happened that now when it's
[01:08:38.050 --> 01:08:42.770]  time to make a call that will really, really help you, it's hard to pull the trigger. Well, they've
[01:08:42.770 --> 01:08:47.810]  run the runways gone runways, that they've, they've, you know, the amount of money they've
[01:08:47.810 --> 01:08:54.930]  paid to fuck around already is, is excessive. And so by the time we get called in, the shits hit
[01:08:54.930 --> 01:08:59.890]  the fan more than once. And that's part of the problem that we run into is that, you know, we're
[01:08:59.890 --> 01:09:05.170]  not always called in at the design phase, we're not always called in, when things are, you know,
[01:09:05.170 --> 01:09:10.290]  about to kick off, there's a few of them in, you know, here and there, but they're few and far
[01:09:10.290 --> 01:09:15.490]  between. And so what ends up happening is that the shit hits the fan so many times the runway of
[01:09:15.490 --> 01:09:20.450]  money is gone. If they don't make it this next six months or whatever, it's over with. And so
[01:09:21.330 --> 01:09:26.770]  can they afford or make the changes that are necessary at this point? And do they trust us
[01:09:26.770 --> 01:09:33.490]  because they got PTSD? Right? Well, the thing too, is that, you know, you don't you don't,
[01:09:33.490 --> 01:09:38.050]  you don't want to spend any money. If I have to hear one more motherfucking, tell me they want to
[01:09:38.050 --> 01:09:47.250]  pick my mind. I want to pick your brain. They don't want to spend any money on the on the
[01:09:47.250 --> 01:09:54.690]  initial, but they will beg you to come in and pull this shit out of a trench. Yeah. And I'm just like,
[01:09:54.690 --> 01:10:02.130]  it's so much cheaper to not make the mistake. But there's an arrogance. And I, like I said,
[01:10:02.130 --> 01:10:08.370]  I kind of like it. I like that the arrogance gets beat back because it, it lets there be a more
[01:10:08.370 --> 01:10:13.250]  normality of the operators that are coming in. If everyone was so smart from the onset, there'll be
[01:10:13.250 --> 01:10:20.930]  no room for the small operator. Exactly. And that's, that's how I see myself still as a small
[01:10:20.930 --> 01:10:25.970]  operator. And that's where I want to be as a farmer. I never want to do large canopy for my
[01:10:25.970 --> 01:10:32.450]  own production because it's not in line with what I do. But it doesn't change the fact that I know
[01:10:32.450 --> 01:10:37.330]  that we have a need for the larger operators. It's just that there's a humility period that's
[01:10:37.330 --> 01:10:43.650]  taken place. And now you'll, you'll be able to come into these operations as they move them and
[01:10:43.650 --> 01:10:49.090]  say, Hey, look, this is a strategy. Let's work. Let's figure out, you know, how do we move forward
[01:10:49.090 --> 01:10:54.290]  correctly without putting ourselves into a fucking graveyard? And that's really when I get brought in
[01:10:54.290 --> 01:11:00.370]  a lot is like, you guys are ready to die. I don't think you're going to recover the money. And then,
[01:11:00.370 --> 01:11:04.610]  and then the, no one has any faith. I, like I said, I always look for the guy that's got the
[01:11:04.610 --> 01:11:09.410]  huge bags under his eyes and fucking retreating hairline because he's the guy with the money.
[01:11:10.290 --> 01:11:21.570]  I mean, he took it. It was bad, man. He was bad. And they just want to be told the truth by someone
[01:11:21.570 --> 01:11:25.730]  and everyone who's involved in these big operations doesn't want to lose the jobs.
[01:11:25.730 --> 01:11:30.610]  Nobody wants to miss out on the big payday when it sells, everyone thinks it's going to get sold
[01:11:30.610 --> 01:11:35.890]  for a fucking billion dollars and everyone's going to dance in the money bucket. And it's, it's a job,
[01:11:36.530 --> 01:11:43.810]  you know, it's farming and it's just so weird. It's surreal to see it in person.
[01:11:45.250 --> 01:11:48.930]  Yeah. One of the things we see is, you know, one of the things that,
[01:11:49.890 --> 01:11:53.170]  you know, I would like to see, and I honestly just, I'm being transparent. I don't know how
[01:11:53.170 --> 01:11:59.570]  we get there. Like, but, but, you know, the Instagram is really making a lot of people's
[01:11:59.570 --> 01:12:05.570]  lives harder because so much of it is not even real. Like, you know, there's a, like there's a,
[01:12:06.130 --> 01:12:12.290]  like there was a project, you know, like, ah, man, just so pause, but like this whole, this whole
[01:12:12.290 --> 01:12:16.370]  thing with dark heart, like I have some really intimate knowledge about how this started and
[01:12:16.450 --> 01:12:21.490]  what the timeline was. And I just, I don't feel comfortable speaking about it publicly. Cause I'm
[01:12:21.490 --> 01:12:26.610]  still, you know, a small fry. I'm not trying to go after nobody. And, you know, every time we speak,
[01:12:26.610 --> 01:12:30.610]  we have to think about what potential clients might be thinking and they don't want to be outed.
[01:12:30.610 --> 01:12:34.370]  And so, you know, we get all the work we get because people know I ain't going to say shit.
[01:12:35.010 --> 01:12:42.210]  And, but like, there's, we could eliminate a lot of problems if more people would be a little bit
[01:12:42.290 --> 01:12:47.250]  transparent about things that didn't work. And, you know, I can't ask people to share secrets of
[01:12:47.250 --> 01:12:53.090]  things that are working, but like, you know, I don't know how many times we go to a new startup
[01:12:53.090 --> 01:12:57.570]  project and they'll pull up something from the gram, you know, and they'll ask me about it.
[01:12:57.570 --> 01:13:01.490]  And I'd be like, I have intimate of that intimate knowledge of that project. It didn't work.
[01:13:01.490 --> 01:13:04.690]  They don't do that anymore. And they'd be like, but the picture's still up. I'm like, I'm telling
[01:13:04.690 --> 01:13:08.770]  you, they don't do that anymore. They did it once. It didn't work. They don't do it anymore.
[01:13:08.770 --> 01:13:13.010]  And then they respond with, well, I contacted the manufacturer and I'm getting a quote. And I'm like,
[01:13:13.010 --> 01:13:17.010]  well, that didn't work. And they're like, yeah, well, we're thinking it's going to,
[01:13:17.010 --> 01:13:19.570]  you know, increase canopy. And I'm like, that didn't work. And they're like,
[01:13:19.570 --> 01:13:23.410]  but it's going to make more widgets. And I'm like, the people that you're copying
[01:13:23.410 --> 01:13:28.930]  only did it one time. It didn't work, you know? And I don't know how we get there because nobody
[01:13:28.930 --> 01:13:33.570]  wants to admit failures and no, you know, people are so worried about their brand being damaged.
[01:13:33.570 --> 01:13:41.410]  They don't put nothing on the gram and then, but we can all move faster so much better and
[01:13:41.410 --> 01:13:46.770]  move forward in such a better, more effective economical way. If there was a little bit more
[01:13:47.650 --> 01:13:53.650]  transparency and humility and, you know, it's not my place to share these failures. You know,
[01:13:54.690 --> 01:13:59.970]  it's not my place to share failures with the world. And so a lot of times I'm really in a
[01:14:00.050 --> 01:14:05.890]  extremely handcuffed position, you know, sitting at a, at a, at a project management meeting or
[01:14:05.890 --> 01:14:11.490]  something. It's like, I can't even necessarily say all the details of how bad it went sometime.
[01:14:11.490 --> 01:14:14.610]  Cause that would be inappropriate. You know? And it's like, I don't know how we get there, but
[01:14:15.170 --> 01:14:20.450]  we, we got to find a way to stop perpetuating the things that never worked once, you know?
[01:14:21.570 --> 01:14:24.930]  Well, and that's where all the designing comes in. And these people that want to create the
[01:14:24.930 --> 01:14:28.930]  futuristic, a sprinkle of this, a sprinkle of that, a little of this, you know, I bought the
[01:14:28.930 --> 01:14:35.330]  best of this. How can anything go wrong? And a lot of times, you know, I mean, you can use
[01:14:35.330 --> 01:14:39.890]  some of the events for an example, like even the Emerald cup, you know, there's some fairly
[01:14:40.930 --> 01:14:46.370]  red, you know, not very fancy greenhouses to create some of the best pot you ever seen,
[01:14:46.370 --> 01:14:51.330]  you know? And so in a lot of ways, you know, I always teach people in the, in the Oaksterdam
[01:14:51.330 --> 01:14:55.410]  greenhouse class, you know, when they're talking about investors and proof of concept and things
[01:14:55.410 --> 01:14:59.970]  like that, get a little hoop house, you know, get a little backyard hoop house, pull some tarps.
[01:14:59.970 --> 01:15:03.490]  And I guarantee you in two months, you're going to learn a lot. Even if you blow it, you're going
[01:15:03.490 --> 01:15:07.970]  to learn a lot. But the proof of concept that people are willing to shell out and do right now
[01:15:09.010 --> 01:15:13.170]  is the whole facility. It's not, they don't even do proof of concept. They just go all in.
[01:15:13.170 --> 01:15:17.090]  Well, cause every, everybody wants those early margins and they quote Kevin Jodry about the
[01:15:17.090 --> 01:15:20.530]  early margins. You know what I mean? It's like, we got to get the early margins before the market
[01:15:20.530 --> 01:15:24.770]  dips. And it's like, you've had six straight crop loss. What margins are you grabbing? We need to,
[01:15:24.770 --> 01:15:32.530]  we need to, we need to reduce, we need to reduce down to something that, that can be executed
[01:15:32.530 --> 01:15:37.170]  correctly and start there. And that's, you know, maybe a little bit of hope for the small guys out
[01:15:37.170 --> 01:15:43.010]  there. Like I'm telling you, these big facilities are blowing it on a mega scale and just focus on
[01:15:43.010 --> 01:15:47.730]  executing well at whatever scale you can. And that's like, I just had a phone call yesterday,
[01:15:47.730 --> 01:15:52.290]  Eric and I, as a project we're both working on, it's like, they want to do the full extent of
[01:15:52.290 --> 01:15:57.730]  the permit, 10%. And you know, Eric and I both give the same advice. Like how about you take
[01:15:57.730 --> 01:16:02.130]  that budget and do whatever that is a hundred percent? You know, what, what do you mean?
[01:16:02.130 --> 01:16:06.450]  You're going to partially fertilize with crappy salts. Like, what are you even talking about?
[01:16:06.450 --> 01:16:11.970]  Like put some good soil in one greenhouse, let the other five wait, execute one well,
[01:16:12.770 --> 01:16:14.610]  you know, get something, you know what I mean? Like.
[01:16:14.610 --> 01:16:19.490]  These huge facilities. Yeah. You have enough room to, to try something in one,
[01:16:19.490 --> 01:16:23.730]  whether it's even a small greenhouse, if you got three beds, do something different in one.
[01:16:23.730 --> 01:16:29.250]  Don't do it to the whole project because these radical changes don't always work and they're
[01:16:29.250 --> 01:16:33.570]  costly. And sometimes when we come up with something, we got to make a radical change.
[01:16:33.570 --> 01:16:37.810]  That's going to do the job or do the trick, but then we've already, you know, the run again,
