[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[03:37:13.010 --> 03:37:15.010]  And we will have the first purple CBG coming out really, really soon.
[03:37:16.010 --> 03:37:18.010]  It's an insane flower to smoke.
[03:37:19.010 --> 03:37:24.010]  So those are a few that we have in the bank. But right now we're doing about 37 different crossbreeding programs.
[03:37:25.010 --> 03:37:26.010]  Still keep pushing and pushing.
[03:37:27.010 --> 03:37:32.010]  But if we have any requests on what people want to see, we'd love that too. We're all ears.
[03:37:33.010 --> 03:37:36.010]  I'm looking for concentrate like that. Have you ever seen stuff like that?
[03:37:37.010 --> 03:37:39.010]  Sure. Does your team make stuff like that?
[03:37:40.010 --> 03:37:42.010]  Is this CBD? Yeah. It smells like honey.
[03:37:43.010 --> 03:37:44.010]  It's the terp for it.
[03:37:45.010 --> 03:37:46.010]  It smells so good.
[03:37:47.010 --> 03:37:48.010]  Is your team on that?
[03:37:49.010 --> 03:37:53.010]  So we can do a lot of extracts. The problem is keeping it THC compliant.
[03:37:54.010 --> 03:37:58.010]  So then what we're doing is we're not really kind of extracting the way we should.
[03:37:58.010 --> 03:38:02.010]  We're going backwards. We're going to like an isolate or a distillate and then crashing back.
[03:38:03.010 --> 03:38:06.010]  I'm not really into that. I don't even like solvents.
[03:38:07.010 --> 03:38:08.010]  You don't even like bologna to steak?
[03:38:09.010 --> 03:38:11.010]  You know what I mean? I would love to make steak out of bologna. That would be awesome actually.
[03:38:12.010 --> 03:38:18.010]  So yeah, we can probably do it. But we're focused more just on the flowers right now and natural extracts.
[03:38:19.010 --> 03:38:23.010]  But you know, that smells. I would love to try that.
[03:38:24.010 --> 03:38:25.010]  I have a utility that smells fire.
[03:38:25.010 --> 03:38:27.010]  So right now that's not really our specialty.
[03:38:28.010 --> 03:38:33.010]  Our extraction is more just oil extraction for both crude or burnt distillate or bulk isolate.
[03:38:34.010 --> 03:38:35.010]  We do a lot of bubble hash stuff.
[03:38:36.010 --> 03:38:38.010]  But again, compliancy is where we run into trouble there without crashing back.
[03:38:39.010 --> 03:38:41.010]  So we try to keep things just natural.
[03:38:42.010 --> 03:38:43.010]  Right.
[03:38:44.010 --> 03:38:51.480]  Yes. Yes. So we do phytosanitary. We ship seeds all over the country.
[03:38:52.480 --> 03:38:53.480]  We do have a warehouse in Switzerland.
[03:38:53.480 --> 03:38:55.480]  So we can service the EU too.
[03:38:56.480 --> 03:39:00.480]  If you just call in at our company, we can walk you through the process. It's pretty quick.
[03:39:01.480 --> 03:39:03.480]  We handle customs. We handle phytosanitary.
[03:39:04.480 --> 03:39:07.480]  We can get it shipped pretty much to any country depending on your import.
[03:39:08.480 --> 03:39:14.480]  We'll work with you on every order though to help you with your import paperwork and our export paperwork working together.
[03:39:15.480 --> 03:39:16.480]  But we do ship all over the globe.
[03:39:17.480 --> 03:39:19.480]  You're a hit and jet bro to be honest.
[03:39:20.480 --> 03:39:21.480]  I don't know how we don't know each other.
[03:39:21.480 --> 03:39:27.480]  I don't know. I don't get out of the warehouse much. I'll tell you that. That's the problem. I stay in there.
[03:39:28.480 --> 03:39:31.480]  I kind of had a pivot I guess in some of the things. We're doing a lot more media than we were.
[03:39:32.480 --> 03:39:33.480]  I've been farming for a long time myself.
[03:39:34.480 --> 03:39:38.480]  Now that I was out in Oklahoma for a little bit, I wasn't able to move out there.
[03:39:39.480 --> 03:39:40.480]  I got a stepson and that kind of thing.
[03:39:41.480 --> 03:39:46.480]  So the ways that things have kind of taken forth, I'm glad that we can promote a guy like you.
[03:39:47.480 --> 03:39:48.480]  I appreciate it very much, man.
[03:39:48.480 --> 03:39:52.480]  Any exposure or anything to promote our company, it's a big deal for us.
[03:39:53.480 --> 03:39:55.480]  We love our customers and we love the people we work with.
[03:39:56.480 --> 03:39:59.480]  We're always here, man. It's a big family. It's a big team.
[03:40:00.480 --> 03:40:01.480]  We're going to win together or fail together. Period.
[03:40:02.480 --> 03:40:06.480]  I can definitely say that it's a big family because they got a big team upstairs.
[03:40:07.480 --> 03:40:12.480]  A lot of passion going on, man. A lot of passion. We believe. We believe, man. This is it.
[03:40:13.480 --> 03:40:17.480]  All right. Well, thank you, John. I'm going to go back upstairs and grab another fantastic individual.
[03:40:18.480 --> 03:40:19.480]  So you guys hang tight.
[03:40:20.480 --> 03:40:22.480]  Guys, thank you so much. I appreciate everybody. Everybody stay blessed.
[03:40:23.480 --> 03:40:24.480]  Awesome. Thank you so much.
[03:40:25.480 --> 03:40:26.480]  You're a natural at that.
[03:40:27.480 --> 03:40:28.480]  You're good.
[03:41:05.300 --> 03:41:06.300]  Is this your phone over here?
[03:41:07.300 --> 03:41:08.300]  Hey!
[03:42:18.110 --> 03:42:19.110]  Na na na.
[03:43:01.000 --> 03:43:02.000]  Na na na.
[03:43:03.000 --> 03:43:09.720]  Merci beaucoup. Merci beaucoup.
[03:43:10.720 --> 03:43:11.720]  Thank you. Thank you very much.
[03:43:11.720 --> 03:43:12.720]  Merci beaucoup. Thank you very much.
[03:43:17.720 --> 03:43:18.720]  Merci.
[03:43:19.720 --> 03:43:20.720]  Thank you very much. Thank you very much.
[03:43:23.720 --> 03:43:25.720]  This one, fantastic. Follow the rainbow.
[03:43:27.720 --> 03:43:29.720]  One, two, three and four.
[03:43:30.720 --> 03:43:32.720]  I'm following the rain, the rain.
[03:43:37.620 --> 03:43:50.980]  There's a path that goes way to elsewhere.
[03:43:51.980 --> 03:44:12.720]  Narrow is the way to nowhere.
[03:44:13.720 --> 03:44:22.350]  If I share the road, it may be rugged and stiff.
[03:44:23.350 --> 03:44:25.350]  But I'm looking at people.
[03:44:26.350 --> 03:44:29.350]  What is the chance? Can I be put on?
[03:44:30.350 --> 03:44:39.640]  What is the hurry? Can I be put on?
[03:44:39.640 --> 03:44:41.640]  What is the chance? Can I be put on?
[03:44:42.640 --> 03:44:44.640]  What is the hurry? Can I be put on?
[03:44:45.640 --> 03:44:47.640]  What is the mark? Can I be put on?
[03:44:48.640 --> 03:44:49.640]  I just want you to know.
[03:44:50.640 --> 03:44:52.640]  What is the right? Can I be put on?
[03:44:53.640 --> 03:44:56.640]  I'm following the rain, the rain.
[03:44:57.640 --> 03:45:00.640]  There's a path that goes way to elsewhere.
[03:45:41.500 --> 03:45:46.480]  Narrow is the way to nowhere.
[03:45:47.480 --> 03:45:50.480]  If I share the road, it may be rugged and stiff.
[03:45:51.480 --> 03:45:57.120]  Narrow is the way to nowhere.
[03:45:58.120 --> 03:46:08.720]  If I share the road, it may be rugged and stiff.
[03:46:09.720 --> 03:46:11.720]  But I'm looking at people.
[03:46:12.720 --> 03:46:14.720]  What is the chance? Can I be put on?
[03:46:15.720 --> 03:46:18.720]  What is the hurry? Can I be put on?
[03:46:19.720 --> 03:46:21.720]  What is the mark? Can I be put on?
[03:46:22.720 --> 03:46:24.720]  I just want you to know.
[03:46:25.720 --> 03:46:27.720]  What is the right? Can I be put on?
[03:46:28.720 --> 03:46:31.720]  I'm following the rain, the rain.
[03:46:32.720 --> 03:46:46.430]  All right, Peter.
[03:46:47.430 --> 03:46:50.430]  Everyone's requesting that you guys dance before we get started.
[03:46:51.430 --> 03:46:52.430]  All right.
[03:46:53.430 --> 03:46:54.430]  All of it, and you guys can mess up.
[03:46:54.430 --> 03:46:55.430]  Okay.
[03:46:55.430 --> 03:46:56.430]  You're welcome.
[03:46:58.430 --> 03:47:00.430]  He's literally like, going around something.
[03:47:00.430 --> 03:47:01.430]  Yeah, we're safe.
[03:47:02.430 --> 03:47:03.430]  Don't want to infect everyone.
[03:47:04.430 --> 03:47:05.430]  We're vaccinated, so it doesn't matter.
[03:47:06.430 --> 03:47:07.430]  I have immunity.
[03:47:07.430 --> 03:47:08.430]  That's it.
[03:47:09.430 --> 03:47:12.430]  All right. So you know, our viewers are Living Soil enthusiasts.
[03:47:12.430 --> 03:47:17.230]  You guys are upstairs in a beautiful booth talking about living soils.
[03:47:17.230 --> 03:47:20.550]  You guys obviously are selling a living soil.
[03:47:20.550 --> 03:47:26.230]  Let's kind of talk about your company and what's making you different from a soil producer.
[03:47:26.230 --> 03:47:27.230]  Yeah, thanks.
[03:47:27.230 --> 03:47:36.270]  So basically, really, we start with our compost and that compost is different from a lot of
[03:47:36.270 --> 03:47:39.630]  other compost because we don't windrow turn it.
[03:47:39.630 --> 03:47:45.910]  We use loader when we do turn it and whenever we can, we use blowers to aerate it.
[03:47:45.910 --> 03:47:53.310]  And so that ends with a lot more of a fungal organism profile, not just a bacterial profile.
[03:47:53.310 --> 03:47:59.990]  So I would say that's the base of what sets us apart is our fungally balanced compost.
[03:47:59.990 --> 03:48:03.590]  And then we got really into this guy, William Albrecht, who's a soil scientist from the
[03:48:03.590 --> 03:48:05.790]  30s and 40s.
[03:48:05.790 --> 03:48:10.770]  And he has a set of ratios that he came up with doing soil science.
[03:48:10.770 --> 03:48:14.710]  And it was really fascinating for me when I found him because I had my ideas about soil
[03:48:14.710 --> 03:48:16.350]  science.
[03:48:16.350 --> 03:48:20.810]  But then here was somebody that had already done all the science that I wanted to do.
[03:48:20.810 --> 03:48:26.830]  So I read his books and learned a lot and really only had to make a couple of minor
[03:48:26.830 --> 03:48:29.830]  changes to my recipe to fall into line with him.
[03:48:30.270 --> 03:48:36.070]  But it was kind of the last element that unlocked for me the full growth potential of the plant.
[03:48:36.070 --> 03:48:37.070]  And I didn't know that.
[03:48:37.070 --> 03:48:39.990]  So the soil recipe is actually your recipe.
[03:48:39.990 --> 03:48:40.990]  It is.
[03:48:40.990 --> 03:48:44.550]  Yeah, I developed it really over about 30 years.
[03:48:44.550 --> 03:48:47.510]  And you know, I'm not a huge forums guy or whatever.
[03:48:47.510 --> 03:48:48.950]  I just do my own thing.
[03:48:48.950 --> 03:48:51.790]  But we're the first super soil in Colorado.
[03:48:51.790 --> 03:48:55.830]  It was around the time that Subcool and Coots and people were doing their thing.
[03:48:56.830 --> 03:49:00.430]  The viewers are asking if you guys can talk about your business.
[03:49:00.430 --> 03:49:01.430]  Sure.
[03:49:01.430 --> 03:49:02.430]  Yeah, I'm Bart Eller.
[03:49:02.430 --> 03:49:03.710]  We're Paonia Soil Co.
[03:49:03.710 --> 03:49:04.710]  I'm Joe Hennitz.
[03:49:04.710 --> 03:49:05.710]  Yep.
[03:49:05.710 --> 03:49:08.790]  Joe's our line manager at the company.
[03:49:08.790 --> 03:49:10.830]  He's a really great grower, friend.
[03:49:10.830 --> 03:49:15.550]  I was telling him backstage that he looked the part.
[03:49:15.550 --> 03:49:16.550]  That's it.
[03:49:16.550 --> 03:49:17.550]  He's got the look.
[03:49:17.550 --> 03:49:20.390]  And you guys are here in Denver as well?
[03:49:20.390 --> 03:49:22.590]  Yeah, we have resellers in Denver.
[03:49:22.590 --> 03:49:24.590]  Denver's been a tough market for us.
[03:49:25.350 --> 03:49:27.350]  We're huge on the West.
[03:49:27.350 --> 03:49:29.190]  We're huge in the South.
[03:49:29.190 --> 03:49:34.350]  But the East side of the state is really into salts.
[03:49:34.350 --> 03:49:35.830]  We sell in inert media.
[03:49:35.830 --> 03:49:39.190]  We're happy to sell people inert media, but that's not really our thing.
[03:49:39.190 --> 03:49:46.350]  Our thing is living organics and the soil food web and growing in that fashion.
[03:49:46.350 --> 03:49:48.030]  We think it's more cost effective.
[03:49:48.030 --> 03:49:49.550]  We think it's easier.
[03:49:49.550 --> 03:49:52.470]  It's obviously more healthy for the plant.
[03:49:52.790 --> 03:49:56.590]  Integrated pest management is huge too.
[03:49:56.590 --> 03:50:01.990]  You can't really do integrated pest management without a healthy soil plant base, as you
[03:50:01.990 --> 03:50:02.990]  know.
[03:50:02.990 --> 03:50:07.550]  So I would say that's probably the biggest thing that we contribute.
[03:50:07.550 --> 03:50:12.750]  I would say the best thing for having healthy soil and healthy plants is that that integrated
[03:50:12.750 --> 03:50:16.230]  pest management is going to come down because of the overall health of the plants.
[03:50:16.230 --> 03:50:18.230]  Obviously, the plant can't run away.
[03:50:18.230 --> 03:50:19.710]  So how does it improve itself?
[03:50:19.950 --> 03:50:23.950]  That's one of the reasons why we're big on adding kites to the plant.
[03:50:23.950 --> 03:50:24.950]  It's a great new tag.
[03:50:24.950 --> 03:50:26.950]  It's going to continue to grow and be healthy.
[03:50:26.950 --> 03:50:28.950]  Do you want to add something?
[03:50:28.950 --> 03:50:36.790]  Yeah, I was going to say one of the cool things about the soil, introducing better soil health,
[03:50:36.790 --> 03:50:42.350]  is that you're just absolutely spending less time dealing with pests.
[03:50:42.350 --> 03:50:44.310]  Their immune system is built up.
[03:50:44.310 --> 03:50:48.670]  They're able to withstand more pest pressure.
[03:50:48.670 --> 03:50:53.150]  And doing that in combination with beneficial insects, all of a sudden your guys are working
[03:50:53.150 --> 03:50:55.750]  less, you're working less.
[03:50:55.750 --> 03:51:00.550]  You're not having to spray your plants with stuff that you don't want to spray them with.
[03:51:00.550 --> 03:51:01.550]  It's all good.
[03:51:01.550 --> 03:51:02.550]  We're really big on being proactive.
[03:51:02.550 --> 03:51:03.550]  So are there certain predatory mice that you guys use?
[03:51:03.550 --> 03:51:04.550]  Yeah.
[03:51:04.550 --> 03:51:05.550]  Like the Swarovski and the Californicus.
[03:51:05.550 --> 03:51:11.830]  Californicus is my favorite.
[03:51:11.830 --> 03:51:12.830]  That's the first thing.
[03:51:12.830 --> 03:51:17.590]  If I go into an indoor greenhouse, first thing I do is put in Californicus.
[03:51:17.790 --> 03:51:23.270]  I feel like Californicus got a bad rap because everybody's trying to put it in after they
[03:51:23.270 --> 03:51:25.430]  have an infestation.
[03:51:25.430 --> 03:51:27.670]  And it's just not going to work right that way.
[03:51:27.670 --> 03:51:28.670]  You have to be proactive.
[03:51:28.670 --> 03:51:34.550]  And I would say that's the biggest difference between organics and salt growing styles,
[03:51:34.550 --> 03:51:37.510]  is that in salts you're kind of being reactive.
[03:51:37.510 --> 03:51:39.870]  In organics you have to be proactive.
[03:51:39.870 --> 03:51:43.830]  You have to think ahead, plan ahead, come into it ahead.
[03:51:43.830 --> 03:51:49.390]  And I guess I would say in hemp world, the biggest factor for that that I notice is like
[03:51:49.390 --> 03:51:51.430]  plastic mulch.
[03:51:51.430 --> 03:51:53.190]  I really don't like that stuff.
[03:51:53.190 --> 03:51:57.550]  But if you're coming into it, this is your first season and you've got to grow now, that's
[03:51:57.550 --> 03:52:00.390]  the only way you're going to be able to suppress those weeds.
[03:52:00.390 --> 03:52:04.070]  If you're thinking a season ahead, you can start growing out a crop like a white Dutch
[03:52:04.070 --> 03:52:06.730]  clover as a cover crop.
[03:52:06.730 --> 03:52:13.430]  And now instead of killing your soil microbes with your plastic film, you're helping culture
[03:52:13.430 --> 03:52:19.150]  your microbes and you're pumping nitrogen in from the rhizobia with the symbiotic relationship
[03:52:19.150 --> 03:52:20.550]  with the clover.
[03:52:20.550 --> 03:52:26.150]  So like the person doing the clover has a huge advantage over the person with the plastic.
[03:52:26.150 --> 03:52:27.830]  And we see it around us all the time.
[03:52:27.830 --> 03:52:31.590]  You'll see hemp farmers with these plastic fields and their plants are a quarter the
[03:52:31.590 --> 03:52:36.230]  size of the guys growing organically and with the clover cover crop.
[03:52:36.230 --> 03:52:39.350]  It's a clover mat in replacement of plastic.
[03:52:39.350 --> 03:52:40.350]  Yep.
[03:52:40.350 --> 03:52:41.350]  And it'll choke it out.
[03:52:41.350 --> 03:52:45.430]  And it's just, you have to think that season ahead.
[03:52:45.430 --> 03:52:50.510]  You have to start in the fall of the season before and you have to farm a crop of clover
[03:52:50.510 --> 03:52:55.310]  into someone who's turning bird like, oh, I'm not going to waste my time on this.
[03:52:55.310 --> 03:52:58.470]  But it pays these huge dividends down the line.
[03:52:58.470 --> 03:53:04.830]  So really in any growing and even indoors, I grow clover on all my pots.
[03:53:04.830 --> 03:53:09.510]  And I see a massive reduction in the nitrogen that I need to do that.
[03:53:09.510 --> 03:53:10.950]  It helps you get water into the plant.
[03:53:11.550 --> 03:53:14.670]  If you have plants growing there that have roots, getting water into the pots is much
[03:53:14.670 --> 03:53:15.670]  easier.
[03:53:15.670 --> 03:53:16.670]  Things like that.
[03:53:16.670 --> 03:53:17.670]  I mean, it's amazing.
[03:53:17.670 --> 03:53:18.670]  Especially for consulting, you can come in.
[03:53:18.670 --> 03:53:26.670]  Especially for consulting, you know, we come in and it's kind of like the canary in the
[03:53:26.670 --> 03:53:27.670]  coal mine.
[03:53:27.670 --> 03:53:28.670]  There's a really bad rusted infestation.
[03:53:28.670 --> 03:53:29.670]  Usually that's going to take hold of the clover crop first.
[03:53:29.670 --> 03:53:38.470]  So those are a lot of things that we use, not only to protect the soil, but also again
[03:53:38.470 --> 03:53:45.030]  to allow us to have our team work through the canopy itself and try to find little
[03:53:45.030 --> 03:53:48.270]  nuances like you guys have mentioned about integrating this.
[03:53:48.270 --> 03:53:52.350]  We feel like when you are focused on feeding the soil, not the plant, that's going to allow
[03:53:52.350 --> 03:53:57.550]  your entire team to move their focus down to up where that's really where the money
[03:53:57.550 --> 03:53:58.550]  is.
[03:53:58.550 --> 03:53:59.550]  Yes, thank you.
[03:53:59.550 --> 03:54:00.550]  For sure.
[03:54:00.550 --> 03:54:01.550]  Exactly.
[03:54:01.550 --> 03:54:02.790]  Your team can, you're adjusting where your guys are working.
[03:54:02.790 --> 03:54:04.430]  All of a sudden the hours are reduced.
[03:54:04.430 --> 03:54:09.270]  You can go and take care of what you need to take care of instead of just being behind,
[03:54:09.270 --> 03:54:11.190]  fighting, fighting, fighting.
[03:54:11.190 --> 03:54:13.310]  It's still magic to me to this day.
[03:54:13.310 --> 03:54:18.750]  Just how you can have all these little microbes working like your worker bots doing this work
[03:54:18.750 --> 03:54:21.550]  for you and how amazing that is.
[03:54:21.550 --> 03:54:27.190]  It blows my mind and I love looking through the scope and seeing them doing their job
[03:54:27.190 --> 03:54:33.150]  and to be a steward or be able to use them in a way to do something for me just feels
[03:54:33.190 --> 03:54:34.190]  a little bit like magic.
[03:54:34.190 --> 03:54:40.510]  It's a world upon world upon world when you start to actually look through that microscope.
[03:54:40.510 --> 03:54:43.310]  It really is amazing what's going on.
[03:54:43.310 --> 03:54:48.910]  Now you start to see that just like a tablespoon of soil, there's more microbes in that than
[03:54:48.910 --> 03:54:50.670]  there are people on this plant.
[03:54:50.670 --> 03:54:51.670]  Isn't it crazy?
[03:54:51.670 --> 03:54:56.030]  It's just mind-boggling once you start to understand the real science of stuff.
[03:54:56.030 --> 03:54:58.030]  That's something else that we do each and every Thursday.
[03:54:58.030 --> 03:55:03.470]  We're trying to remove the bro science that a lot of us have dealt with from Overgrow,
[03:55:03.470 --> 03:55:05.310]  IGMAG, even those were great.
[03:55:05.310 --> 03:55:06.550]  It's hard to get away from sometimes.
[03:55:06.550 --> 03:55:08.590]  There was no checks and balances.
[03:55:08.590 --> 03:55:13.390]  There wasn't live feed like we have today where if we said something that was incorrect,
[03:55:13.390 --> 03:55:15.390]  the viewers would be all over the place.
[03:55:15.390 --> 03:55:16.390]  Calling you out.
[03:55:16.390 --> 03:55:17.390]  That's what we like about it.
[03:55:17.390 --> 03:55:18.390]  That's good.
[03:55:18.390 --> 03:55:19.390]  Let us have it.
[03:55:19.390 --> 03:55:20.390]  We've said several times with ICMAG, with Overgrow and that kind of stuff back in the
[03:55:20.390 --> 03:55:21.390]  day, we're not going to do that.
[03:55:21.390 --> 03:55:22.390]  We're going to do it.
[03:55:22.390 --> 03:55:23.390]  We're going to do it.
[03:55:23.390 --> 03:55:24.390]  We're going to do it.
[03:55:24.390 --> 03:55:25.390]  We're going to do it.
[03:55:25.390 --> 03:55:26.390]  We're going to do it.
[03:55:26.390 --> 03:55:27.390]  We're going to do it.
[03:56:27.790 --> 03:56:29.510]  There were finally that you would post a question, and then sometimes you did it on a Thursday,
[03:56:29.510 --> 03:56:32.510]  you wouldn't get a response until Monday.
[03:56:32.510 --> 03:56:39.050]  There are a lot of things that we feel like a lot of these growers, maybe growers that
[03:56:39.050 --> 03:56:43.510]  are newer to living soil, they have a huge advantage to a lot of us that started out
[03:56:43.510 --> 03:56:46.810]  just reading books, and in fact you're going to be able to ask questions in real time,
[03:56:46.810 --> 03:56:47.810]  get those answers back.
[03:56:47.810 --> 03:56:48.810]  Know which books to read.
[03:56:48.810 --> 03:56:51.810]  Know which books are, in my opinion, kind of a waste time at this point.
[03:56:51.810 --> 03:56:56.870]  For a lot of us out there, there's no reason for us to know about CDs because there's MT
[03:56:56.870 --> 03:57:03.630]  really, there's another phenomena where there's now all this nitrogen in the soil.
[03:57:03.630 --> 03:57:08.190]  With the salt, you have to put double the amount that you need for it to uptake.
[03:57:08.190 --> 03:57:12.650]  So you always have half again as much nitrogen just sitting idle in your soil.
[03:57:12.650 --> 03:57:14.190]  And then the soil microbes are going to win.
[03:57:14.190 --> 03:57:16.350]  They're going to process that nitrogen.
[03:57:16.350 --> 03:57:18.310]  And what do they need to process nitrogen?
[03:57:18.310 --> 03:57:20.010]  It's going to be carbon.
[03:57:20.010 --> 03:57:25.150]  So then you just end up burning all the carbon out of your soil the whole rest of the year.
[03:57:25.150 --> 03:57:29.070]  And so that's why time and time again, I see hundreds and hundreds of soils tests.
[03:57:29.070 --> 03:57:33.990]  And anywhere they've been feeding nitrate salts, they have almost no organic matter.
[03:57:33.990 --> 03:57:38.210]  And that organic matter is the complete water holding capability of your soil.
[03:57:38.210 --> 03:57:43.550]  So you take one of these farms where it was 1% organic matter, and you take it to two,
[03:57:43.550 --> 03:57:48.630]  if you double your organic matter, you get a 300% increase in the water holding capability
[03:57:48.630 --> 03:57:49.630]  of the soil.
[03:57:49.990 --> 03:57:57.190]  And you see that all over the country in every kind of standard agriculture.
[03:57:57.190 --> 03:58:01.390]  They could do so much more using organics.
[03:58:01.390 --> 03:58:05.790]  And they could be more profitable and grow a healthier plant.
[03:58:05.790 --> 03:58:08.550]  But it really does take getting the word out.
[03:58:08.550 --> 03:58:09.710]  If you don't know, you don't know.
[03:58:09.710 --> 03:58:16.190]  We just kind of assume that because that's what our parents did, that we're farmers,
[03:58:16.190 --> 03:58:17.790]  that that's what we need to do.
[03:58:17.830 --> 03:58:22.510]  But their grandparents were growing organic and had amazing yields and didn't have this
[03:58:22.510 --> 03:58:24.190]  depleted soil situation.
[03:58:24.190 --> 03:58:25.190]  Right on.
[03:58:25.190 --> 03:58:26.870]  Are you self-taught farmers?
[03:58:26.870 --> 03:58:27.870]  Yes.
[03:58:27.870 --> 03:58:28.870]  Yeah.
[03:58:28.870 --> 03:58:31.150]  That's really what our show is trying to cater to.
[03:58:31.150 --> 03:58:36.670]  Maybe somebody that doesn't have the means, maybe has children and isn't able to go to
[03:58:36.670 --> 03:58:37.670]  school.
[03:58:37.670 --> 03:58:42.710]  We're trying as best as we can to be able to bring the best and brightest minds up cannabis
[03:58:42.710 --> 03:58:44.750]  to our show each and every Thursday.
[03:58:44.750 --> 03:58:48.670]  So we'd love to maybe extend that to you guys in town where we can kind of talk more
[03:58:48.670 --> 03:58:49.670]  about self-education.
[03:58:49.670 --> 03:58:50.670]  Right on.
[03:58:50.670 --> 03:58:52.950]  That's really something big.
[03:58:52.950 --> 03:58:54.270]  It's something you just keep working on.
[03:58:54.270 --> 03:58:55.590]  I mean, we get better and better.
[03:58:55.590 --> 03:58:58.150]  All of us are getting better all the time.
[03:58:58.150 --> 03:59:01.070]  And don't be afraid of it.
[03:59:01.070 --> 03:59:05.550]  It's fun.
[03:59:05.550 --> 03:59:06.550]  You can make your own medicine.
[03:59:06.550 --> 03:59:07.550]  How cool is that?
[03:59:07.550 --> 03:59:13.830]  I feel like experience is something that a lot of people are lacking because when someone
[03:59:13.910 --> 03:59:17.910]  tells you something but you don't have the experience to know that that's bullshit, that's
[03:59:17.910 --> 03:59:19.750]  gross science, and then you go out and do that.
[03:59:19.750 --> 03:59:21.230]  I have a short story about that.
[03:59:21.230 --> 03:59:25.910]  When I'm from Oberlin, I was trying to learn more about how to improve turkeys about 10
[03:59:25.910 --> 03:59:26.910]  years ago.
[03:59:26.910 --> 03:59:30.510]  And somebody that was a troll basically got on there and told me that I needed to add
[03:59:30.510 --> 03:59:32.510]  a bunch of humidity laters on.
[03:59:32.510 --> 03:59:36.510]  So I'd run down the way back to the yard and buy the two most expensive humidifiers.
[03:59:36.510 --> 03:59:40.510]  I put one on one side of the tent, one on the other, and I gave myself a...
[03:59:40.510 --> 03:59:41.510]  Betrayed us straight up.
[03:59:41.510 --> 03:59:42.510]  Yeah.
[03:59:43.190 --> 03:59:45.190]  I was going to say betrayed us, but yeah, exactly.
[03:59:45.190 --> 03:59:46.190]  So again, I can feel it.
[03:59:46.190 --> 03:59:51.190]  That's why I'm so big on education because I maybe lost probably four months, five months
[03:59:51.190 --> 03:59:52.190]  of that.
[03:59:52.190 --> 03:59:55.190]  And I wasn't good at growing and I definitely didn't have the pocket money.
[03:59:55.190 --> 03:59:57.190]  There was money in my pocket.
[03:59:57.190 --> 04:00:01.190]  So the Excel bill still came, all the other fixed costs that come.
[04:00:01.190 --> 04:00:05.190]  And I didn't have the income at that time from what I was trying to do.
[04:00:05.190 --> 04:00:10.190]  So that's one of the main things that I want to express to the community as I get older
[04:00:10.870 --> 04:00:12.870]  is to kind of give back and show experience.
[04:00:12.870 --> 04:00:14.870]  Is there anything that you can kind of give me?
[04:00:14.870 --> 04:00:16.870]  We kind of look through these gold nuggets each and every Thursday.
[04:00:16.870 --> 04:00:20.870]  Is there something that you feel like maybe just you've discovered?
[04:00:20.870 --> 04:00:23.870]  Like something that I'm loving right now or like some kind of...
[04:00:23.870 --> 04:00:25.870]  What's a gold nugget in the way that you grow?
[04:00:25.870 --> 04:00:33.870]  Well, the biggest thing that Bart's taught me is a plant's immune system coupled with
[04:00:33.870 --> 04:00:34.870]  beneficial insects.
[04:00:34.870 --> 04:00:37.870]  All of a sudden you're not spraying.
[04:00:37.870 --> 04:00:39.870]  I'm just done with spraying.
[04:00:40.550 --> 04:00:41.550]  These plants are immune.
[04:00:41.550 --> 04:00:43.550]  They're dealing with the bugs.
[04:00:43.550 --> 04:00:46.550]  The bugs are eating them, the californicus and stuff like that.
[04:00:46.550 --> 04:00:48.550]  And like he said, you have to be proactive.
[04:00:48.550 --> 04:00:50.550]  You have to start that from the beginning.
[04:00:50.550 --> 04:00:53.550]  But now all of a sudden my hours are reduced in the greenhouse.
[04:00:53.550 --> 04:00:57.550]  I spend way, way less time in there and the plants are looking great.
[04:00:57.550 --> 04:01:00.550]  And so that to me has changed my life growing for sure.
[04:01:00.550 --> 04:01:02.550]  That gives you time to defend.
[04:01:02.550 --> 04:01:03.550]  That's what I'm saying.
[04:01:03.550 --> 04:01:04.550]  And I'm not worrying about it.
[04:01:04.550 --> 04:01:05.550]  I'm not fighting.
[04:01:05.550 --> 04:01:07.550]  I'm not fighting getting water into them every day.
[04:01:07.550 --> 04:01:08.550]  They're in a bigger pot now.
[04:01:09.230 --> 04:01:11.230]  I sit for four days instead of having to water every single day.
[04:01:11.230 --> 04:01:13.230]  Gives him time to play house music.
[04:01:13.230 --> 04:01:14.230]  Yeah.
[04:01:14.230 --> 04:01:15.230]  Oh, right on.
[04:01:15.230 --> 04:01:16.230]  Stackhouse and soil, man.
[04:01:16.230 --> 04:01:17.230]  That's what we do.
[04:01:17.230 --> 04:01:18.230]  Right on.
[04:01:18.230 --> 04:01:19.230]  I hear people blowing those things up.
[04:01:19.230 --> 04:01:20.230]  B&T.
[04:01:20.230 --> 04:01:21.230]  Right on.
[04:01:21.230 --> 04:01:22.230]  Bart, same question for you, bud.
[04:01:22.230 --> 04:01:23.230]  A little gold nugget that you feel like over the years you've been cultivating and examining
[04:01:23.230 --> 04:01:24.230]  and you're still doing it.
[04:01:24.230 --> 04:01:25.230]  What's the biggest thing that you've learned from the experience?
