[00:00.000 --> 00:00.840]  Damn it.
[01:30:48.410 --> 01:30:50.330]  and you're moving and grooving, College Towns.
[01:30:50.330 --> 01:30:54.610]  Chico, Santa Cruz, Eugene, San Diego,
[01:30:54.610 --> 01:30:56.290]  Missoula, Montana was epic.
[01:30:56.290 --> 01:30:57.210]  You're like, Montana.
[01:30:57.210 --> 01:30:59.610]  Oh, dude, cause there's nothing else out there.
[01:30:59.610 --> 01:31:00.810]  I spent a summer.
[01:31:00.810 --> 01:31:05.170]  So when Montana, this was back when I was a kid.
[01:31:05.170 --> 01:31:07.610]  When Montana first went medical,
[01:31:07.610 --> 01:31:12.490]  they're like, if you have a medical card in another state,
[01:31:12.490 --> 01:31:15.290]  come ahead, show us how to do it, kind of, you know?
[01:31:15.290 --> 01:31:18.370]  And so like, my buddy went out there and set up a spot
[01:31:18.370 --> 01:31:19.530]  and he's like, yo, I need help.
[01:31:19.530 --> 01:31:21.450]  And so I was like, I'm on my way, you know?
[01:31:21.450 --> 01:31:23.010]  And I went to Missoula.
[01:31:23.010 --> 01:31:24.090]  I love Montana.
[01:31:24.090 --> 01:31:27.530]  It's one of the best, most beautiful states I've been to.
[01:31:27.530 --> 01:31:29.450]  Beautiful, beautiful area.
[01:31:29.450 --> 01:31:31.090]  Montana's beautiful people.
[01:31:31.090 --> 01:31:32.650]  Like, love it.
[01:31:32.650 --> 01:31:34.490]  But yeah, so, you know, you just move and groove
[01:31:34.490 --> 01:31:36.130]  where the wind takes you when you're younger.
[01:31:36.770 --> 01:31:40.010]  I lived in Eugene once it legalized.
[01:31:41.850 --> 01:31:44.050]  So I moved there, I think a week
[01:31:44.050 --> 01:31:46.410]  before it technically legalized.
[01:31:46.410 --> 01:31:48.010]  They were just hiring bud tenders
[01:31:48.010 --> 01:31:51.730]  in expectation of overflow, and it was.
[01:31:51.730 --> 01:31:56.450]  I kept up with the flow and I did it before it was legal.
[01:31:56.450 --> 01:32:00.130]  So it was just, I could do it on a street,
[01:32:00.130 --> 01:32:02.610]  I could do it over a counter with a register
[01:32:02.610 --> 01:32:04.210]  on my backpack.
[01:32:04.210 --> 01:32:05.410]  It's a trip.
[01:32:05.450 --> 01:32:06.450]  It was a trip.
[01:32:06.450 --> 01:32:07.490]  It was cool though.
[01:32:07.490 --> 01:32:08.330]  I loved it.
[01:32:08.330 --> 01:32:10.810]  Like, don't get me wrong, it was fun when you were a kid,
[01:32:10.810 --> 01:32:14.250]  but like, as many times as you may get detained
[01:32:14.250 --> 01:32:17.210]  or you may or may not have to get people to protect you,
[01:32:17.210 --> 01:32:19.650]  it's like, it's nice being behind the counter.
[01:32:19.650 --> 01:32:22.970]  It's nice being a facility with cameras that's legal.
[01:32:22.970 --> 01:32:24.090]  You know, it's nice.
[01:32:24.090 --> 01:32:26.290]  It's way less stressful.
[01:32:26.290 --> 01:32:27.770]  Trust me, it's a lot less stressful.
[01:32:27.770 --> 01:32:30.410]  So, you know, worked in a dispensary.
[01:32:30.410 --> 01:32:32.370]  Then, you know, I realized it was more retail.
[01:32:32.370 --> 01:32:34.850]  You know, like for me, like my package,
[01:32:34.850 --> 01:32:38.370]  at that time, after living in Hawaii and growing
[01:32:38.370 --> 01:32:40.850]  and being in all these different greenhouses
[01:32:40.850 --> 01:32:42.850]  and popping, you know, like popping seeds,
[01:32:42.850 --> 01:32:44.690]  like that's, you know, you have your clones,
[01:32:44.690 --> 01:32:47.330]  but like pop some seeds, you know, boom, boom, boom, boom.
[01:32:47.330 --> 01:32:50.370]  You know, like just learning and breeding.
[01:32:50.370 --> 01:32:52.490]  You know, they do a lot of breeding out there in Hawaii
[01:32:52.490 --> 01:32:55.290]  just because it's just, I mean, you throw some seeds away,
[01:32:55.290 --> 01:32:58.970]  you got a patch of weed in your compost, you know?
[01:32:58.970 --> 01:33:00.690]  It's like, things just grow.
[01:33:00.690 --> 01:33:01.850]  So it's just really easy.
[01:33:01.890 --> 01:33:03.970]  And, you know, at the time, you know,
[01:33:06.610 --> 01:33:10.330]  vacant land in Hawaii was relatively inexpensive.
[01:33:10.330 --> 01:33:12.490]  And so, you know, I know some,
[01:33:12.490 --> 01:33:14.450]  there were some people who just had spots
[01:33:14.450 --> 01:33:16.010]  and we could do some gorilla things.
[01:33:16.010 --> 01:33:17.610]  And there was just some cool things.
[01:33:17.610 --> 01:33:19.490]  There's a lot of cool things going on in Hawaii.
[01:33:19.490 --> 01:33:21.410]  If you, you know, put your ear to the pulse.
[01:33:21.410 --> 01:33:22.810]  And I learned a lot.
[01:33:22.810 --> 01:33:25.010]  And so after working behind the counter,
[01:33:25.010 --> 01:33:27.650]  as cool as that was for me and learning that,
[01:33:27.650 --> 01:33:31.090]  like the Eugene Glass scene, going to like the DFO,
[01:33:31.370 --> 01:33:33.450]  eating Bob's Snodgrass and all that cool stuff.
[01:33:33.450 --> 01:33:35.290]  I've only heard about it, but yeah.
[01:33:35.290 --> 01:33:37.050]  It was fun, like it was fun.
[01:33:37.050 --> 01:33:39.250]  Like, I mean, come on, you really,
[01:33:39.250 --> 01:33:42.450]  you watch the DFO Netflix documentary, you know,
[01:33:42.450 --> 01:33:45.730]  the degenerative flame off documentary, you know.
[01:33:45.730 --> 01:33:49.330]  You see all these things and like getting to experience it
[01:33:49.330 --> 01:33:51.330]  in Eugene, it was cool, it was cool.
[01:33:51.330 --> 01:33:54.570]  But I wanted to grow, I wanted to grow weed.
[01:33:54.570 --> 01:33:56.690]  I was, you know, I was growing where I was living.
[01:33:56.690 --> 01:33:58.090]  It was legal now, fuck it.
[01:33:58.090 --> 01:34:00.930]  I was growing and breeding in my backyard immediately.
[01:34:01.770 --> 01:34:05.370]  You know, so just off pure self-reliance, you know,
[01:34:05.370 --> 01:34:09.610]  like self-reliance is, Hawaii taught me self-reliance
[01:34:09.610 --> 01:34:10.930]  and I'm very grateful for that.
[01:34:10.930 --> 01:34:13.130]  And it's a beautiful thing.
[01:34:13.130 --> 01:34:14.890]  I hope everybody finds it, you know.
[01:34:14.890 --> 01:34:16.970]  And I'm not saying I'm a hundred percent self-reliant,
[01:34:16.970 --> 01:34:18.210]  but that's the goal.
[01:34:18.210 --> 01:34:23.210]  So yeah, you know, I had dreads back in the day.
[01:34:25.010 --> 01:34:26.410]  I just, sorry, I just read a comment.
[01:34:26.410 --> 01:34:27.850]  I had dreads back in the day.
[01:34:28.690 --> 01:34:30.690]  Respect everybody with dreads.
[01:34:31.970 --> 01:34:33.410]  But you know, you don't want,
[01:34:33.410 --> 01:34:35.850]  I realized you don't have to be dread to be Rasta,
[01:34:35.850 --> 01:34:38.090]  but it's divine conception of the heart.
[01:34:39.370 --> 01:34:43.370]  I just, you know, it's just more like respect to everybody.
[01:34:43.370 --> 01:34:44.570]  You know, it just didn't fit me.
[01:34:44.570 --> 01:34:46.410]  You know, like I do me, everybody do you.
[01:34:46.410 --> 01:34:47.730]  Like it's just, you know.
[01:34:49.130 --> 01:34:52.210]  There's a good line that just reminded me of,
[01:34:53.090 --> 01:34:55.690]  I do another show, Dope History,
[01:34:55.970 --> 01:34:59.210]  and we have an interview with OG at Elap
[01:34:59.210 --> 01:35:02.010]  who did the, you know, the church Rastafari.
[01:35:02.010 --> 01:35:04.970]  And somebody was talking about him.
[01:35:04.970 --> 01:35:06.970]  And, you know, he said he had like,
[01:35:06.970 --> 01:35:09.810]  kind of always felt that in his heart and his whole life.
[01:35:09.810 --> 01:35:12.530]  And someone made a comment about dreads and like, you know,
[01:35:12.530 --> 01:35:15.250]  the old Rasta looked at him and says, you know,
[01:35:15.250 --> 01:35:16.450]  it's not the length of the hair,
[01:35:16.450 --> 01:35:18.490]  it's the depth of the roots.
[01:35:18.490 --> 01:35:20.530]  So I like that.
[01:35:20.530 --> 01:35:21.690]  Yeah.
[01:35:21.690 --> 01:35:22.530]  There's a song.
[01:35:22.530 --> 01:35:23.770]  That's what I just said.
[01:35:23.770 --> 01:35:25.130]  There's a song by Morgan Heritage.
[01:35:25.570 --> 01:35:26.570]  And it's like, you don't have to dread to be Rasta.
[01:35:26.570 --> 01:35:29.050]  You know, it's like, it is divine conception of the heart.
[01:35:29.050 --> 01:35:30.170]  And when you find that,
[01:35:30.170 --> 01:35:31.890]  like whether you want to believe it or not,
[01:35:31.890 --> 01:35:32.730]  you're Rasta, bro.
[01:35:32.730 --> 01:35:33.970]  Like, straight up, straight up.
[01:35:33.970 --> 01:35:37.210]  Like your actions will speak, you know, straight up.
[01:35:37.210 --> 01:35:39.770]  Like, so, and I, it's just, you know,
[01:35:39.770 --> 01:35:41.410]  Selassie has taught me a lot.
[01:35:41.410 --> 01:35:44.530]  Like if you want to read up on that individual,
[01:35:44.530 --> 01:35:45.690]  hopefully you can learn a lot.
[01:35:45.690 --> 01:35:47.770]  I have, you know, like big ups and respect
[01:35:47.770 --> 01:35:48.650]  to the whole culture.
[01:35:48.650 --> 01:35:49.490]  I learned a lot.
[01:35:49.490 --> 01:35:50.330]  I love it.
[01:35:51.370 --> 01:35:53.370]  Big ups, real talk, you know.
[01:35:53.370 --> 01:35:54.890]  Research, go read a book.
[01:35:55.650 --> 01:35:59.890]  Yeah, read a, yeah, that's one of my favorite songs.
[01:35:59.890 --> 01:36:01.970]  Me and my wife that like play songs.
[01:36:01.970 --> 01:36:03.850]  It's like, read a book, motherfucker.
[01:36:03.850 --> 01:36:07.090]  Read a book, read a book, motherfucker.
[01:36:07.090 --> 01:36:08.050]  Read a book.
[01:36:08.050 --> 01:36:08.890]  Yeah, seriously.
[01:36:08.890 --> 01:36:10.930]  I'm in the other room just reading a book.
[01:36:10.930 --> 01:36:12.810]  But I must read every book.
[01:36:12.810 --> 01:36:13.650]  I like to read.
[01:36:13.650 --> 01:36:15.090]  I geek out, you know, like.
[01:36:16.210 --> 01:36:17.050]  I can go grab a book and show it to you.
[01:36:17.050 --> 01:36:18.850]  It's what I've been geeking out on.
[01:36:18.850 --> 01:36:22.610]  My co-worker is, who went to Louisiana Tech.
[01:36:22.610 --> 01:36:25.570]  He's a very smart individual with like horticulture.
[01:36:25.570 --> 01:36:28.770]  And he has this book, it has like a breakdown,
[01:36:28.770 --> 01:36:32.490]  a scientific breakdown of every like nutrient element
[01:36:32.490 --> 01:36:34.770]  and its functions and what combats it.
[01:36:34.770 --> 01:36:37.770]  And so I'm just like, damn, this is like, you learn,
[01:36:37.770 --> 01:36:38.810]  you know, go read a book.
[01:36:38.810 --> 01:36:39.810]  You know, it's like, it's cool.
[01:36:39.810 --> 01:36:42.730]  Like, cause experience teaches you, but you, you know,
[01:36:42.730 --> 01:36:44.610]  like respect it.
[01:36:44.610 --> 01:36:47.570]  Everybody going to college and knowing what they're doing
[01:36:47.570 --> 01:36:48.650]  and not just wasting time.
[01:36:48.650 --> 01:36:50.370]  You know, go read a book, go learn.
[01:36:50.370 --> 01:36:52.050]  Education's beautiful.
[01:36:52.490 --> 01:36:53.810]  You know, knowledge is power.
[01:36:53.810 --> 01:36:54.650]  Real talk.
[01:36:54.650 --> 01:36:56.650]  Knowledge is power, 100%.
[01:36:56.650 --> 01:36:58.970]  And I'm the type of person, like I learned early
[01:36:58.970 --> 01:37:02.290]  and it was actually through my audio education
[01:37:03.530 --> 01:37:05.850]  that I learned, I'm a visual learner.
[01:37:05.850 --> 01:37:08.770]  Like if you show me and I do it,
[01:37:08.770 --> 01:37:11.170]  it'll take like once, maybe twice.
[01:37:11.170 --> 01:37:14.330]  If I read it, I have to read it three or four times.
[01:37:14.330 --> 01:37:15.170]  And that's okay.
[01:37:15.170 --> 01:37:16.010]  That's fine.
[01:37:16.010 --> 01:37:17.610]  I know that that's just me and that's how I work.
[01:37:17.610 --> 01:37:21.250]  But, you know, you said you had some experience
[01:37:21.250 --> 01:37:23.250]  out there too, being kind of shown.
[01:37:23.250 --> 01:37:25.650]  And like, one of the questions that I'd written down
[01:37:25.650 --> 01:37:27.850]  that I wanted to ask is, you know,
[01:37:27.850 --> 01:37:30.130]  a lot of this does come from experience,
[01:37:30.130 --> 01:37:32.170]  especially with the regenerative stuff.
[01:37:32.170 --> 01:37:33.850]  You have to anticipate.
[01:37:33.850 --> 01:37:36.090]  You can't be reactionary in any of this.
[01:37:36.090 --> 01:37:38.850]  You have to anticipate and you only learn through time.
[01:37:38.850 --> 01:37:42.850]  So do you have maybe like any advice or any tips
[01:37:42.850 --> 01:37:45.410]  on how people could be observant,
[01:37:45.410 --> 01:37:49.010]  but maybe also save a couple headaches
[01:37:49.010 --> 01:37:51.330]  based from your experience?
[01:37:52.570 --> 01:37:55.930]  Be proactive instead of reactive.
[01:37:57.090 --> 01:37:59.610]  As well as, you know, I'm sure everybody's heard,
[01:37:59.610 --> 01:38:02.450]  keep it simple, but you know, just your shadow's great.
[01:38:02.450 --> 01:38:05.490]  I think farmers who like to hang out in the garden,
[01:38:05.490 --> 01:38:09.370]  you know, and you know, the shadow of the farmer
[01:38:09.370 --> 01:38:10.730]  is the best thing for the plant.
[01:38:10.730 --> 01:38:12.370]  I'm sure that's not the right quote,
[01:38:12.370 --> 01:38:14.010]  but something along that line, you know,
[01:38:14.130 --> 01:38:18.530]  I've worked for many people who don't,
[01:38:18.530 --> 01:38:22.050]  like directors and like master growers or whatever,
[01:38:22.050 --> 01:38:23.810]  who just sit in your office, sit in the office
[01:38:23.810 --> 01:38:27.290]  and they're like, and you're trying to save
[01:38:27.290 --> 01:38:29.130]  their fucking grow and they're just like,
[01:38:29.130 --> 01:38:30.330]  oh, I've been doing this for a long time.
[01:38:30.330 --> 01:38:31.450]  It's just, it's all good.
[01:38:31.450 --> 01:38:33.130]  And you're like, what's up?
[01:38:33.130 --> 01:38:34.330]  Does it make cost sense?
[01:38:34.330 --> 01:38:35.930]  Yeah. Is it cost effective?
[01:38:35.930 --> 01:38:37.250]  How much is your crop worth?
[01:38:37.250 --> 01:38:39.370]  Well, you know, like I've worked also, you know,
[01:38:39.370 --> 01:38:43.370]  like Shane at CanEssentials has taught me a lot.
[01:38:43.730 --> 01:38:46.810]  That guy works harder than almost anybody I've met.
[01:38:46.810 --> 01:38:49.810]  You know, he, I worked for him and he,
[01:38:49.810 --> 01:38:54.530]  he's sunup to sundown farmer, like real respect to you, man.
[01:38:54.530 --> 01:38:56.730]  Like that's what you need.
[01:38:56.730 --> 01:38:58.970]  Like you need to be sunup, sundown.
[01:38:58.970 --> 01:39:01.330]  You need to be there before your kids wake up.
[01:39:01.330 --> 01:39:03.370]  You need to go to bed after you put them to sleep.
[01:39:03.370 --> 01:39:04.930]  You need to, you have to love it.
[01:39:04.930 --> 01:39:06.570]  You know, this has to be your passion.
[01:39:06.570 --> 01:39:07.930]  If you're like, oh, I'm a farmer.
[01:39:07.930 --> 01:39:09.450]  I work for blah, blah, blah.
[01:39:09.450 --> 01:39:11.370]  And you're like not working
[01:39:11.370 --> 01:39:13.370]  or you're just like on your phone
[01:39:13.370 --> 01:39:14.730]  and everybody else is pruning.
[01:39:14.730 --> 01:39:17.370]  And you're like, what the fuck dude?
[01:39:17.370 --> 01:39:20.730]  Like, come on, like either get out or step in.
[01:39:20.730 --> 01:39:23.730]  You know, I mean, like that's all I can say is tune in.
[01:39:23.730 --> 01:39:26.690]  If you, if you're curious, if you were like,
[01:39:26.690 --> 01:39:27.730]  like, I don't know.
[01:39:27.730 --> 01:39:31.610]  I think I've been around a lot of people who grow weed,
[01:39:31.610 --> 01:39:34.570]  but kind of just follow recipes or like.
[01:39:36.210 --> 01:39:37.530]  You can paint by numbers.
[01:39:37.530 --> 01:39:41.410]  A dying plant, you can still smoke and get high.
[01:39:41.410 --> 01:39:43.450]  You know, like an unhealthy plant,
[01:39:43.450 --> 01:39:44.690]  it's still gonna do its thing.
[01:39:44.690 --> 01:39:47.730]  You know, like, so we're just stewards of this entity,
[01:39:47.730 --> 01:39:50.530]  this plant entity that's gonna do what it does.
[01:39:50.530 --> 01:39:53.290]  And you can either help it do what it does
[01:39:53.290 --> 01:39:55.930]  or not help it do what it does.
[01:39:55.930 --> 01:39:58.930]  You know, and it's, that's kind of all I gotta say
[01:39:58.930 --> 01:40:01.450]  is like, make sure you're being, you know,
[01:40:01.450 --> 01:40:02.850]  you're treating the plant right.
[01:40:02.850 --> 01:40:03.970]  Like however you're treating it,
[01:40:03.970 --> 01:40:05.290]  but there's just not abusing it.
[01:40:05.290 --> 01:40:07.130]  You know, it's like you can prune
[01:40:07.730 --> 01:40:08.850]  and do all this cool production stuff,
[01:40:08.850 --> 01:40:09.810]  but just making sure, you know,
[01:40:09.810 --> 01:40:11.090]  make sure you're tapping the plant.
[01:40:11.090 --> 01:40:12.930]  And they're like, you're listening to her
[01:40:12.930 --> 01:40:14.730]  and you're like there, you're at least, you're,
[01:40:14.730 --> 01:40:17.530]  you know, show up, you know, be a good parent, show up.
[01:40:17.530 --> 01:40:18.730]  Like that's all I'm saying.
[01:40:18.730 --> 01:40:21.730]  Like, don't just be like, oh, you know, I set my grow,
[01:40:21.730 --> 01:40:23.690]  go back to it next week.
[01:40:23.690 --> 01:40:26.250]  You know, like I know I've worked for a lot of people
[01:40:26.250 --> 01:40:27.530]  back in the day to where it was just like,
[01:40:27.530 --> 01:40:29.810]  yo, I got this grow over at this house.
[01:40:29.810 --> 01:40:30.810]  We're gonna go check on it.
[01:40:30.810 --> 01:40:32.610]  I haven't been here a while.
[01:40:32.610 --> 01:40:33.610]  Shit might be fucked.
[01:40:33.610 --> 01:40:35.490]  You know, like we might have to clean up a flood.
[01:40:35.530 --> 01:40:36.690]  You know, like, and you're like,
[01:40:36.690 --> 01:40:38.010]  you haven't been here in a while.
[01:40:38.010 --> 01:40:39.410]  And they're like, no, man, I got,
[01:40:39.410 --> 01:40:40.450]  I got too much shit to do.
[01:40:40.450 --> 01:40:42.650]  And you're like, you know, as a worker,
[01:40:42.650 --> 01:40:43.850]  you're like, damn, that's crazy.
[01:40:43.850 --> 01:40:45.810]  But you know, the bigger picture, they got,
[01:40:45.810 --> 01:40:48.010]  oh, you know, it's, it's not legal.
[01:40:48.010 --> 01:40:49.850]  You know, you got four or five houses
[01:40:49.850 --> 01:40:51.410]  in a few different towns and you're moving
[01:40:51.410 --> 01:40:52.330]  and grooming and doing your thing.
[01:40:52.330 --> 01:40:53.450]  I understand it, man.
[01:40:53.450 --> 01:40:54.530]  I get it.
[01:40:54.530 --> 01:40:55.970]  But now that we're legal
[01:40:55.970 --> 01:40:57.770]  and we don't have to do shit like that,
[01:40:57.770 --> 01:40:59.090]  you know, and it is your passion,
[01:40:59.090 --> 01:41:01.050]  like step up and be involved, you know,
[01:41:01.050 --> 01:41:03.250]  like the plants want to see you,
[01:41:03.250 --> 01:41:04.810]  your workers want to see you, you know,
[01:41:05.210 --> 01:41:08.210]  like whatever role you're at, tap in really,
[01:41:08.210 --> 01:41:09.850]  you know, like be present.
[01:41:09.850 --> 01:41:13.090]  Get some dirt under your nails, basically.
[01:41:13.090 --> 01:41:16.290]  You know, you talked to you about, you know,
[01:41:16.290 --> 01:41:18.290]  popping seeds and doing a lot of seeds
[01:41:18.290 --> 01:41:20.010]  and maybe pheno hunting.
[01:41:20.010 --> 01:41:22.730]  And I also know you do some work on your own.
[01:41:22.730 --> 01:41:25.570]  So I want to get to that here in a second too,
[01:41:25.570 --> 01:41:26.530]  the air horn.
[01:41:27.650 --> 01:41:30.930]  But maybe what are some of the things that you've seen
[01:41:30.930 --> 01:41:33.890]  and do you see like different expressions
[01:41:33.890 --> 01:41:37.410]  from the same lines in the different areas you're at?
[01:41:37.410 --> 01:41:39.930]  You know, Hawaii is different than Colorado
[01:41:39.930 --> 01:41:41.770]  is different than Oregon.
[01:41:41.770 --> 01:41:42.970]  I mean, Hawaii,
[01:41:44.250 --> 01:41:48.290]  white widow or the dirty widow is so big in Hawaii.
[01:41:48.290 --> 01:41:51.050]  I mean, it was so popular, you know, like Kona gold.
[01:41:51.050 --> 01:41:54.570]  I had an old timer buddy who just grew Kona gold seeds
[01:41:54.570 --> 01:41:56.570]  and it was Kona, I mean like, yeah,
[01:41:56.570 --> 01:41:58.890]  some of them were shorter, some of them were taller,
[01:41:58.890 --> 01:42:02.570]  but they were all super like tropical islands to Tito,
[01:42:02.570 --> 01:42:03.570]  super identical.
[01:42:03.570 --> 01:42:07.130]  He grew from seed old timer, like South Kona, you know?
[01:42:07.130 --> 01:42:07.970]  And I was just like,
[01:42:07.970 --> 01:42:11.130]  he was like, oh, this is just old Colombian gold seed.
[01:42:11.130 --> 01:42:12.970]  I've been growing since the eighties, you know,
[01:42:12.970 --> 01:42:15.290]  like it's all the same shit.
[01:42:15.290 --> 01:42:17.570]  And he's just in breeds it and breeds it and breeds it.
[01:42:17.570 --> 01:42:19.210]  And it's all, and it's fine.
[01:42:19.210 --> 01:42:21.850]  You like that type of super tropical sativa.
[01:42:21.850 --> 01:42:23.530]  I want to just put a head spin
[01:42:23.530 --> 01:42:26.570]  and like go for a bike ride or something like that.
[01:42:26.570 --> 01:42:28.770]  I mean, so like, I don't know, that's Hawaii.
[01:42:28.770 --> 01:42:30.450]  And you know, there's lots of,
[01:42:30.450 --> 01:42:32.930]  lots of people breeding and doing stuff in Hawaii now.
[01:42:32.930 --> 01:42:35.730]  So it's hard to really say, but like, from my experience,
[01:42:35.730 --> 01:42:38.010]  that was things that were moving and grooving.
[01:42:38.010 --> 01:42:40.730]  Like sour diesel was big in Hawaii.
[01:42:40.730 --> 01:42:43.410]  White widow was big in Hawaii.
[01:42:43.410 --> 01:42:46.170]  You know, Island Sweet Stump was big in Hawaii.
[01:42:46.170 --> 01:42:48.450]  More sativas than indica base.
[01:42:48.450 --> 01:42:52.410]  I would guess probably just because it's easier to grow
[01:42:52.410 --> 01:42:54.010]  or better to grow.
[01:42:54.010 --> 01:42:55.570]  Everything will grow in Hawaii.
[01:42:55.570 --> 01:42:58.850]  Everything, anything, but you got the humidity,
[01:42:58.850 --> 01:43:01.570]  even in the dry side, like Kona, you got the heat
[01:43:01.570 --> 01:43:04.250]  and it's not as humid as like the Hilo side,
[01:43:04.250 --> 01:43:06.210]  but it's still humid and it's hot.
[01:43:06.210 --> 01:43:10.930]  And so you get mud rot at PM, the temperature fluctuations,
[01:43:10.930 --> 01:43:14.450]  but sativas in my experience grow a lot better
[01:43:15.450 --> 01:43:19.690]  because of that feathery kind of, not larfy,
[01:43:19.690 --> 01:43:23.410]  but you know, kind of spongy and as opposed to-
[01:43:23.410 --> 01:43:24.250]  Bud structure.
[01:43:24.250 --> 01:43:26.250]  A broad leaf, you know, a broad leaf type
[01:43:26.250 --> 01:43:29.130]  that's got that just big Coca-Cola bottle
[01:43:29.130 --> 01:43:31.370]  that's gonna just try this out, you know?
[01:43:32.570 --> 01:43:33.850]  Yeah, the sativas do great.
[01:43:33.850 --> 01:43:37.930]  And what's the other, ghost train haze, super lemon haze.
[01:43:37.930 --> 01:43:40.970]  Those were huge in the big island, you know?
[01:43:40.970 --> 01:43:43.330]  Yeah, a lot of ghost train haze, super lemon haze,
[01:43:43.330 --> 01:43:46.370]  sour diesel, white widow, Kona gold.
[01:43:47.690 --> 01:43:50.490]  As I was leaving, Girl Scout cookies, cuts,
[01:43:50.490 --> 01:43:51.530]  like random cuts.
[01:43:51.530 --> 01:43:52.730]  I don't think they were the real deal,
[01:43:52.730 --> 01:43:55.410]  but they were cookies, you know?
[01:43:55.450 --> 01:43:58.130]  Yeah, so many imposters on that one.
[01:43:58.130 --> 01:43:59.730]  Oregon, Oregon's just fire.
[01:43:59.730 --> 01:44:01.730]  Like they got everything.
[01:44:01.730 --> 01:44:04.450]  When I moved to Eugene, it was legal, everything.
[01:44:04.450 --> 01:44:05.410]  You name it.
[01:44:05.410 --> 01:44:09.210]  I mean, that's when Gorilla Glue was becoming popular.
[01:44:09.210 --> 01:44:11.450]  You know, it was all about the test,
[01:44:11.450 --> 01:44:13.210]  the high testing numbers, all that bullshit.
[01:44:13.210 --> 01:44:14.050]  You know, it's like-
[01:44:14.050 --> 01:44:15.730]  Yeah, yeah.
[01:44:15.730 --> 01:44:16.850]  Eugene was hot everywhere.
[01:44:16.850 --> 01:44:17.890]  And you know, like back in,
[01:44:17.890 --> 01:44:19.690]  like when I was moving and grooving,
[01:44:19.690 --> 01:44:22.210]  it was, you know, things, you know,
[01:44:22.210 --> 01:44:24.690]  herbs, cushes, sours, you know,
[01:44:24.690 --> 01:44:27.050]  I've worked on farms called Diesel Acres.
[01:44:27.050 --> 01:44:28.730]  Big up, Terry, you're the man.
[01:44:28.730 --> 01:44:29.770]  Like, you see this, you know,
[01:44:29.770 --> 01:44:31.330]  like that's just what they grew.
[01:44:31.330 --> 01:44:33.650]  And it was a cut that help me got from New York
[01:44:33.650 --> 01:44:35.770]  that none of the, nobody got.
[01:44:35.770 --> 01:44:37.770]  Like, you know, you trim for somebody,
[01:44:37.770 --> 01:44:39.050]  they're like, yeah, here's some weed.
[01:44:39.050 --> 01:44:42.970]  They're like, nope, this is all getting moved at four.
[01:44:42.970 --> 01:44:45.530]  And they're like, you know,
[01:44:45.530 --> 01:44:47.170]  they're like, you can pay four for it.
[01:44:47.170 --> 01:44:49.290]  And you're like, no, I'm good.
[01:44:49.330 --> 01:44:52.330]  You know, so it's like, that's how it was.
[01:44:52.330 --> 01:44:53.170]  Like back in, like-
[01:44:53.170 --> 01:44:54.010]  Damn.
[01:44:54.010 --> 01:44:54.850]  And it was-
[01:44:54.850 --> 01:44:55.690]  That, that to me-
[01:44:55.690 --> 01:44:57.090]  Spirock, I worked on Spirock,
[01:44:57.090 --> 01:44:58.930]  respect to everybody out there,
[01:44:58.930 --> 01:44:59.850]  be doing your thing.
[01:44:59.850 --> 01:45:02.730]  I learned a lot, you know, like where else the,
[01:45:04.610 --> 01:45:07.330]  you know, Honeydew crew out there in the coast,
[01:45:07.330 --> 01:45:10.770]  you know, all over Willets, you know,
[01:45:10.770 --> 01:45:12.210]  it was really good time.
[01:45:12.210 --> 01:45:13.050]  Yeah.
[01:45:13.050 --> 01:45:14.730]  And just different types of high grade.
[01:45:14.730 --> 01:45:16.090]  You know, that was back when like,
[01:45:16.090 --> 01:45:17.530]  you could just pop a bunch of seeds
[01:45:17.570 --> 01:45:21.370]  and grow a 20 pound plant and send it, you know, like-
[01:45:21.370 --> 01:45:22.210]  Man.
[01:45:22.210 --> 01:45:24.050]  It all self, go drive down to the bay.
[01:45:24.050 --> 01:45:24.890]  Right, right.
[01:45:24.890 --> 01:45:26.770]  All the bag is split, you know, it's all good.
[01:45:26.770 --> 01:45:28.490]  You know, it's different now.
[01:45:28.490 --> 01:45:29.490]  It's a lot different now.
[01:45:29.490 --> 01:45:30.890]  People can't, you know,
[01:45:30.890 --> 01:45:33.770]  only people I know who are popping a lot of seeds
[01:45:33.770 --> 01:45:36.330]  are backyard growers or Medi growers.
[01:45:36.330 --> 01:45:37.290]  You know, I don't know.
[01:45:37.290 --> 01:45:38.730]  I mean, I shouldn't say that.
[01:45:38.730 --> 01:45:40.570]  I should, I totally take that back.
[01:45:40.570 --> 01:45:43.930]  It's not commercially viable to have to pheno hunt.
[01:45:43.930 --> 01:45:45.250]  Yeah, it's definitely not,
[01:45:45.250 --> 01:45:46.570]  but there are people who are,
[01:45:46.570 --> 01:45:49.210]  and the people who are respect to you.
[01:45:49.210 --> 01:45:51.890]  Thanks for keeping up with the culture.
[01:45:51.890 --> 01:45:54.330]  Pop those seeds, breed those seeds.
[01:45:54.330 --> 01:45:55.170]  Love it.
[01:45:55.170 --> 01:45:57.090]  Like that's what's up, you know.
[01:45:57.090 --> 01:45:59.770]  When I was working for Cannes Essentials,
[01:45:59.770 --> 01:46:02.890]  I was there, they called me their genetic specialist.
[01:46:04.970 --> 01:46:07.010]  When I was there, I don't know what they're doing now.
