[00:00.000 --> 00:15.100]  Cheers, everybody.
[01:25:51.040 --> 01:25:57.360]  About 50 of these this is the kool-aid man. Uh, he used my cut the kool-aid man number 33
[01:25:57.520 --> 01:26:01.600]  He used that cut with his white truffle. You guys had mentioned white truffle earlier. So
[01:26:02.400 --> 01:26:04.400]  These are for me to butter
[01:26:04.400 --> 01:26:09.280]  Get popping. Yep. Yep. That's his cut his cut of the gorilla butter. Um
[01:26:10.320 --> 01:26:14.560]  So i'm gonna get testing and getting to try these out and the kool-aid man
[01:26:14.960 --> 01:26:20.560]  Uh, you guys saw my kool-aid man before where is it? I got pictures here. I got credentials for it receipts
[01:26:21.200 --> 01:26:26.800]  There we go. That's that's the kool-aid man. She just had like trikes on trikes on trikes
[01:26:27.600 --> 01:26:30.400]  So we crossed that with his white truffle
[01:26:30.880 --> 01:26:35.440]  And uh, i'm gonna test some of that and uh, he also sent me uh,
[01:26:35.760 --> 01:26:39.920]  Odo s1 little five pack of his odo. So
[01:26:40.540 --> 01:26:42.540]  boom fire
[01:26:42.560 --> 01:26:46.640]  That's my my chance to show something so far i've got more over here
[01:26:46.720 --> 01:26:49.200]  But I had to get in on the game just a little bit
[01:26:51.440 --> 01:26:53.440]  And what do you got down there a very
[01:26:54.560 --> 01:26:58.000]  There you go dipping sticks that's coming from him. Yeah, I used
[01:26:59.360 --> 01:27:03.360]  Cotton I cost it to that pinkleberry just to see what's gonna come out of it
[01:27:03.920 --> 01:27:07.600]  Nice, I haven't I haven't run those yet. So I still gotta see what's
[01:27:09.920 --> 01:27:14.480]  Garlic hot times glazed cherry. That sounds good. Tell me about that
[01:27:14.960 --> 01:27:16.960]  Green sauce nice
[01:27:18.800 --> 01:27:20.800]  My friend reads with it at stay fly
[01:27:21.440 --> 01:27:26.880]  I am new to garlic hot guys, please fill me in. What am I missing? How does it grow? What does it smell?
[01:27:27.040 --> 01:27:31.360]  What does it taste like? I honestly have not had that or heard it
[01:27:32.300 --> 01:27:34.300]  africa
[01:27:35.360 --> 01:27:40.640]  Coming in just the hashers, okay, then it make cake. It's good
[01:27:40.640 --> 01:27:42.640]  Hash
[01:27:43.200 --> 01:27:50.720]  Or is this like a healthy strong full season plant a lot of bigger and um, it had uh,
[01:27:52.880 --> 01:27:57.520]  The smoke was like really on the gelato side, you know, it was like very earthy
[01:27:57.600 --> 01:28:01.440]  But it was like stony and relaxing but just shout out to stay fly
[01:28:01.920 --> 01:28:07.440]  uh another person in the permaculture scene that's really representing well and
[01:28:08.160 --> 01:28:12.880]  You know, and yeah the farmer does a lot of work always so they did a really good job with it
[01:28:13.200 --> 01:28:15.940]  But he's they're breeding it into their genetics
[01:28:17.360 --> 01:28:24.000]  Nice mud swat anything with the word garlic in it is going to be fire. I tend to agree that is uh,
[01:28:24.480 --> 01:28:27.360]  A profile that I do not shy away from
[01:28:28.320 --> 01:28:29.600]  so
[01:28:29.600 --> 01:28:31.600]  I uh
[01:28:32.480 --> 01:28:34.480]  From green source gardens
[01:28:34.960 --> 01:28:41.360]  Um, so nick at green source gardens was where I originally got those from and I just brought them another
[01:28:42.000 --> 01:28:49.600]  Another generation further. I opened up the the pack they gave me and I just created more of a population to hunt through
[01:28:50.400 --> 01:28:51.520]  and that's
[01:28:51.520 --> 01:28:54.560]  What john has there? I just um, you know
[01:28:55.680 --> 01:28:58.000]  Anytime I get a pack anytime I get a pack
[01:28:58.160 --> 01:29:00.160]  That's
[01:29:02.480 --> 01:29:04.560]  Anytime I get a pack of 10 seeds, you know
[01:29:04.560 --> 01:29:10.080]  I like to just kind of make a little bit more so that we have a few to play with. Um
[01:29:11.280 --> 01:29:13.040]  Do you usually hold a couple back?
[01:29:13.040 --> 01:29:17.840]  This is something that dave our co-host and myself and a lot of guests do it's like if it's a 10 pack
[01:29:18.000 --> 01:29:20.400]  We always hold two back. How about you?
[01:29:21.040 --> 01:29:24.660]  I'm, I've always been more of a selector than a collector
[01:29:25.360 --> 01:29:27.360]  I'm popping them
[01:29:27.680 --> 01:29:29.680]  Nothing wrong with that
[01:29:30.800 --> 01:29:36.240]  Like that, yep and cannabis fine you're primarily outdoor I buy I buy
[01:29:38.800 --> 01:29:45.200]  Yeah sun-grown greenhouse and outdoor totally exclusive so so you you're not worried about
[01:29:49.580 --> 01:29:50.780]  About what
[01:29:50.780 --> 01:29:54.060]  Oh, I say you're not necessarily worried about room in the tent then
[01:29:54.620 --> 01:29:58.300]  Room in the tent you can pop all 10. You don't have to hold two back
[01:29:59.180 --> 01:30:01.180]  So you don't have to hold two back
[01:30:02.220 --> 01:30:06.300]  Oh, yeah, I buy I've always bought like a hundred seed at a time generally
[01:30:07.100 --> 01:30:15.100]  And then I but I hold like half back because the seeds become more valuable and I like to hold on to them as currency
[01:30:16.780 --> 01:30:19.180]  So I have yeah, I have a I have a
[01:30:20.300 --> 01:30:27.980]  Pretty good chest of seeds. Um, and I can't help myself. I keep buying more like I just like I said, I just bought it
[01:30:29.980 --> 01:30:31.980]  Let me think
[01:30:48.860 --> 01:30:50.860]  Intervention on John guys
[01:30:59.660 --> 01:31:02.380]  Yeah, I can help this year let's go
[01:31:06.540 --> 01:31:08.140]  No, I had that
[01:31:08.140 --> 01:31:10.780]  He was nice enough to have us to his farm. I was like, you know
[01:31:11.340 --> 01:31:14.540]  I got a lot of stuff here. It just needs to get sorted because like
[01:31:15.260 --> 01:31:18.380]  It's still you know only viable for a certain amount of time
[01:31:18.460 --> 01:31:22.620]  I mean, of course they find seeds in egyptian tombs and they sprout them but like
[01:31:23.740 --> 01:31:25.580]  I don't you know
[01:31:25.580 --> 01:31:28.460]  What's the use of collecting them if they're not going to be you know?
[01:31:29.100 --> 01:31:31.100]  found and now we have so many of these, um
[01:31:32.140 --> 01:31:36.380]  modern techniques of you know preserving them and I know his friend is doing that I
[01:31:36.940 --> 01:31:43.020]  Uh, you know, i'm almost thinking about my 818 that i've been running for the last nine years. I need to preserve it somehow
[01:31:43.660 --> 01:31:45.660]  um, that's a whole nother thing like
[01:31:46.300 --> 01:31:48.620]  I don't necessarily create seed but now I see
[01:31:49.260 --> 01:31:51.260]  the real importance in it
[01:31:51.340 --> 01:31:55.980]  But like I was saying it's it's in a box. It's not I know there's some gems to be found
[01:31:56.860 --> 01:32:03.180]  It is a problem, right it's like i'm trying to make up for all those baseball cards on all my coin collection that I sold
[01:32:03.180 --> 01:32:05.180]  When I needed money
[01:32:05.500 --> 01:32:07.500]  Yeah, yeah
[01:32:08.060 --> 01:32:10.060]  But it's not currently using it
[01:32:11.740 --> 01:32:15.340]  Let's go poppy lung stockings. Yeah, bro
[01:32:18.540 --> 01:32:21.020]  This is alex hardy's stuff, uh, I have a lot
[01:32:21.580 --> 01:32:27.820]  A few more of his packs that I want to get into too, but these two, uh are specific ones that i'm pretty excited about
[01:32:28.380 --> 01:32:30.380]  Top one's the pine tar skunk
[01:32:30.700 --> 01:32:32.700]  To his breath of purple
[01:32:33.340 --> 01:32:36.780]  Um, and the bottom one he calls thc the hardcore
[01:32:38.300 --> 01:32:44.620]  Um, so I think the story with that and if i'm butchering it guys in chat, please save me here
[01:32:45.180 --> 01:32:48.220]  But he like stress test beat the shit out of that one
[01:32:48.300 --> 01:32:52.060]  That was grown out of like rocks on the side of a mountain I think like
[01:32:52.840 --> 01:32:54.840]  consecutively season after season
[01:32:55.340 --> 01:32:57.020]  He selected them like
[01:32:57.020 --> 01:33:00.940]  Out of rocks or very poor growing medium
[01:33:02.060 --> 01:33:04.060]  um
[01:33:04.060 --> 01:33:06.860]  And yeah, so he gave me those as like some stuff to
[01:33:07.420 --> 01:33:10.940]  Check out once many moons ago and i've only gotten into some of them
[01:33:10.940 --> 01:33:15.740]  But I think there's like 30 or 40 other ones in there to look for for some super outdoor
[01:33:15.900 --> 01:33:21.020]  Very much beat up gear so that's going to be exciting stuff, too. That's awesome. And I know
[01:33:23.180 --> 01:33:24.380]  Dude, I know
[01:33:24.380 --> 01:33:28.700]  Alex does a lot of dry farming and so yeah, he really does make sure that things
[01:33:29.260 --> 01:33:33.900]  Work in a lot of different circumstances that pine tar kush though. I know that's pine tar skunk
[01:33:34.700 --> 01:33:39.580]  Is the last time that I was like uncomfortably high up in canada, man
[01:33:39.580 --> 01:33:41.740]  Like I will not forget that shot
[01:33:41.740 --> 01:33:46.460]  Sticky rich humble seed. So let's let's just recap too because i'm just gonna shameless plug here
[01:33:47.020 --> 01:33:51.020]  Pretty much a lot of these people were just talking about humble included
[01:33:51.580 --> 01:33:55.100]  Uh, you can find on the daggett.garden website guys, so
[01:33:55.740 --> 01:34:01.820]  Definitely check it out the daggett.garden. But which which one was that sticky richie because i'm a big fan of humble
[01:34:02.380 --> 01:34:04.780]  I don't have any other gear that i'm not a big fan of
[01:34:05.420 --> 01:34:07.420]  But i'm a big fan of humble
[01:34:08.140 --> 01:34:10.140]  Because i'm a big fan of humble
[01:34:10.300 --> 01:34:13.100]  Uh, I don't have any other gear myself, but i'm a big fan
[01:34:13.580 --> 01:34:17.260]  I just saw somebody in the chat post that they bought potty mouth today
[01:34:17.500 --> 01:34:22.060]  And it was just one of the ones that I had out on the possible. Um
[01:34:22.860 --> 01:34:26.780]  Pop list because i've heard some good things about it. It's a cross of uh,
[01:34:27.740 --> 01:34:35.740]  um humble pound cake and mountain top mint, um, it's supposed to be pretty you know insane on the terpenes and such
[01:34:36.700 --> 01:34:42.380]  Now what what's what sort of information do they give on the back of their packaging like are they like a duke diamond?
[01:34:42.460 --> 01:34:47.580]  Who's just got you know, how many days how many profiles? What are you going to expect again?
[01:34:47.660 --> 01:34:50.780]  Shout out dominion seed co I was wearing your t-shirt earlier
[01:34:51.100 --> 01:34:57.660]  But I couldn't wear it on the show again because that's actually the one t-shirt that i've repeated. I wore it the week before
[01:34:58.380 --> 01:35:01.980]  Or the show before duke came on because he had just put him out
[01:35:01.980 --> 01:35:06.060]  I got him and you know, my thing is the fresh t-shirts every episode
[01:35:06.540 --> 01:35:09.740]  Uh, but then he came on the next episode and you know what?
[01:35:09.740 --> 01:35:13.180]  I had to be the guy who wore the shirt of the band he was going to see
[01:35:13.820 --> 01:35:16.380]  So I wore it but uh, yeah
[01:35:16.460 --> 01:35:20.860]  No, a long way of saying duke has some of the best information on the back of his packaging
[01:35:21.580 --> 01:35:26.700]  Humboldt seed co they've got great packaging. What does the back look like on there? What does it tell you?
[01:35:27.660 --> 01:35:31.500]  It's got some great packaging on there for sure. It's very flashy
[01:35:31.980 --> 01:35:33.420]  um
[01:35:33.420 --> 01:35:36.940]  It tells you let's see effects hybrid, uh
[01:35:38.280 --> 01:35:39.800]  hybrid
[01:35:39.800 --> 01:35:44.880]  Indica sativa percentages average thc 24 to 30 percent
[01:35:45.720 --> 01:35:50.380]  Dazzling trichrome brax and then it starts to get into this write-up. That is
[01:35:50.860 --> 01:35:55.820]  I don't know if I want to go into the whole thing, but it's by the time you're done. You pretty much can't
[01:35:56.540 --> 01:35:58.540]  Help but buy the pack. That's what happened to me
[01:35:58.940 --> 01:36:03.500]  And I heard now that they just came out with scratch and sniff did you hear about that
[01:36:05.420 --> 01:36:12.940]  The the emerald are gonna have actual um smell of that particular strain on the back
[01:36:14.840 --> 01:36:22.380]  I haven't witnessed that yet personally, but um as far as humboldt goes i've grown. Um, a handful of their
[01:36:22.620 --> 01:36:24.620]  Uh
[01:36:24.700 --> 01:36:32.460]  Strains over the years the last one the last couple were uh, blueberry muffin, uh and all gas og
[01:36:33.020 --> 01:36:34.140]  um
[01:36:34.140 --> 01:36:35.500]  and uh
[01:36:35.500 --> 01:36:37.980]  Now this one will be the next potty mouth
[01:36:38.780 --> 01:36:39.420]  Let's see
[01:36:39.420 --> 01:36:45.020]  Mainswood's grow drew the jelly rancher out heard a lot of people seen a lot of people grow that one out love it
[01:36:45.020 --> 01:36:48.060]  The blueberry muffin is one that I heard that I wanted to try
[01:36:48.620 --> 01:36:50.140]  uh, because
[01:36:50.200 --> 01:36:58.300]  I got 45 50 day finish on that one. It's like get out of here. You're you no way shows me the pictures i'm like
[01:36:59.740 --> 01:37:03.020]  Okay, holy sh you know, holy shit, man
[01:37:03.500 --> 01:37:07.180]  Uh, but the flavors on a lot of those with the humboldt man
[01:37:07.180 --> 01:37:10.460]  That's probably why the scratches sniff is gonna work. They have
[01:37:11.180 --> 01:37:18.400]  very defined flavor profiles in each of their cultivars, which is awesome because they're able to get that kind of consistency
[01:37:19.360 --> 01:37:20.800]  but uh
[01:37:20.800 --> 01:37:26.080]  You know like skunk isn't you know skunk cat piss things that nobody can agree on
[01:37:26.640 --> 01:37:30.880]  That's not in their line, but we all know what like cantaloupe smells like blueberries
[01:37:30.960 --> 01:37:35.520]  So I see the scratch and sniff working with them and that's just a huge
[01:37:36.160 --> 01:37:38.160]  uh
[01:37:38.160 --> 01:37:42.640]  Awesome factor selling point warm fuzzy all of the above
[01:37:42.720 --> 01:37:48.080]  So that's how about uh you chef or john do you have you guys grown out any of the uh
[01:37:48.320 --> 01:37:51.600]  Humboldt seed company stuff before or have your eye on any of it?
[01:37:53.360 --> 01:37:56.080]  I've got to try the blueberry muffin a couple of different
[01:37:57.200 --> 01:38:00.080]  Ruett but but I haven't grown any you know
[01:38:01.840 --> 01:38:08.420]  I haven't grown the blueberry muffin yet either but that's talk of the town and the northeast over here
[01:38:08.420 --> 01:38:11.220]  That's talk of the town and the northeast over here
[01:38:11.220 --> 01:38:15.860]  It's got a quick finish time and it seems to be what a lot of people in maine are growing to
[01:38:16.660 --> 01:38:18.260]  outside
[01:38:18.260 --> 01:38:19.540]  anyway
[01:38:19.540 --> 01:38:23.460]  Outside for me. It was very fast very loud very uniform
[01:38:23.620 --> 01:38:29.140]  They've done the work if you're looking for you know, a bunch of plants from seed that are going to look exactly the same
[01:38:29.780 --> 01:38:33.060]  uh, they definitely fit that mold for me it just
[01:38:33.380 --> 01:38:40.020]  The faster plants it still holds true that the quality quality quality comes with a little more time
[01:38:40.580 --> 01:38:45.700]  I I love the smell and the turps, but the bud and the whole experience and the effects
[01:38:46.820 --> 01:38:47.860]  uh
[01:38:47.860 --> 01:38:49.860]  I don't know. It's not as
[01:38:50.180 --> 01:38:56.420]  Connoisseur quality as I love. Um, it's it's a one note kind of thing. It's it's great
[01:38:56.420 --> 01:38:59.860]  Don't get me wrong and I understand why people love it because when you open that jar
[01:38:59.860 --> 01:39:05.780]  It literally smells like blueberry muffins. So it's it's it's really cool and it's experience just that
[01:39:06.740 --> 01:39:12.500]  But the fake blueberry muffins not like a home-cooked blueberry muffins, but like the hostess blueberry muffin with the yeah
[01:39:13.060 --> 01:39:15.060]  gas station muffins, baby
[01:39:16.340 --> 01:39:18.340]  Yeah
[01:39:20.500 --> 01:39:24.260]  I would that is one that's on my list. So I'm gonna grow that one
[01:39:24.500 --> 01:39:27.940]  I would that is one that's on my list. So I'm gonna grow that one
[01:39:28.980 --> 01:39:36.580]  Another another awesome east coasters rolling up in saying what's up? Everybody? Peace to mr. Blue green tank. What's up?
[01:39:42.980 --> 01:39:50.740]  Back to the super silver haze i'm gonna try to pop these two because i'm testing those super silver haze crosses from professor p
[01:39:50.900 --> 01:39:52.900]  I've just found an old uh
[01:39:53.300 --> 01:39:55.300]  Bodie pack that I had
[01:39:55.620 --> 01:40:00.580]  Or no, maybe I didn't I don't know but it's a super silver haze times our hash plant
[01:40:01.220 --> 01:40:03.460]  You know the 88g13 hash plants
[01:40:05.460 --> 01:40:07.460]  That's the amazing motion
[01:40:08.020 --> 01:40:12.980]  Yeah, i've run the mimosa cut from him time across with that and it was awesome
[01:40:13.060 --> 01:40:15.940]  I've run a bunch of things crossed with you know that he's crossed with it
[01:40:16.740 --> 01:40:19.140]  I love the way it you know, um
[01:40:19.860 --> 01:40:22.820]  It allows whatever he crosses it to come out
[01:40:23.300 --> 01:40:28.660]  Yet still kind of he's able to make it in seed form for us, you know, so we can kind of open up
[01:40:29.300 --> 01:40:30.340]  things that
[01:40:30.340 --> 01:40:33.540]  flavors new things into these seeds, so I don't know i'm just
[01:40:34.340 --> 01:40:39.300]  Now that i've been on that super trying to get back into that super silver haze kind of stuff
[01:40:39.460 --> 01:40:44.980]  I just thought i'd pop up a couple of these too. I love to smoke it don't want to grow it again
[01:40:44.980 --> 01:40:50.180]  I just I was like 45 50 days. Hell. Yeah, you're like 14 weaker
[01:40:50.740 --> 01:40:57.060]  I love smoking my hazes, but I just i'm limited with my space and i'm also indoors
[01:40:57.380 --> 01:41:04.680]  If I was outdoor or if I had like a large greenhouse, I would totally grow some but I have to be selective
[01:41:05.700 --> 01:41:11.780]  When I hear john digging over there, what do you yeah, this is this is all bodie seeds right here, dude
[01:41:12.100 --> 01:41:13.700]  Break it out
[01:41:13.700 --> 01:41:15.700]  He's he's his show favorite. What'd you get?
[01:41:15.780 --> 01:41:20.420]  Kevin, jordy was the one that said grow that hollyweed. So I have another pack of hollyweed here
[01:41:20.500 --> 01:41:26.180]  I have a great pheno that i've been saving now for the past four years or five years, but um
[01:41:27.300 --> 01:41:33.300]  In here like he was saying that adhe13 hash plan is a stud because like I want to get into this
[01:41:33.700 --> 01:41:38.340]  Well, here's this is the hollyweed. This is the one that kevin jordy said was like to grow back in
[01:41:38.560 --> 01:41:40.020]  2018
[01:41:40.020 --> 01:41:44.180]  Okay, so that's about four or four or five years old that you when you pick that one up
[01:41:45.540 --> 01:41:47.620]  um, I picked this one up in
[01:41:49.040 --> 01:41:51.040]  2019 I believe okay
[01:41:51.220 --> 01:41:52.820]  Okay. Yeah
[01:41:52.820 --> 01:41:57.300]  I've had it since or it was 2017. Maybe maybe i'm confusing but
[01:41:57.860 --> 01:42:01.640]  That adhe13 hash plant I have here also crossed to angelica
[01:42:02.900 --> 01:42:07.240]  Which is uh, and I have the cocoon which is the lumpa headband to the wookie15
[01:42:08.340 --> 01:42:12.180]  I did I do have a turpinado pheno that I saved and actually, uh,
[01:42:12.740 --> 01:42:15.800]  Dan rebel grown said that that was the second most interesting
[01:42:16.580 --> 01:42:19.540]  Flavor that I had in the jars at that time hash cuddler
[01:42:20.500 --> 01:42:22.500]  But this is angelica
[01:42:23.220 --> 01:42:28.340]  To the um hells og to the adhe13 hash plant. I have like three different
[01:42:28.900 --> 01:42:30.900]  Packs in here that are all to that
[01:42:30.900 --> 01:42:32.900]  that beautiful hash plant
[01:42:32.980 --> 01:42:34.980]  Wow, is that hollyweed?
[01:42:35.540 --> 01:42:37.460]  You know i'm gonna
[01:42:37.460 --> 01:42:42.980]  I'm gonna jump down i'm gonna get in on some of this. It's not bode. I don't have any bode gear. Damn me
[01:42:43.380 --> 01:42:46.280]  Um, but this is county line genetics
[01:42:46.980 --> 01:42:47.700]  uh, mr
[01:42:47.700 --> 01:42:53.780]  Rusty nails sent me some of because we're on the topic the county line hash plant
[01:42:54.260 --> 01:42:59.140]  So it's the 86 hash plant silver thiol sulfate reversed a couple seeds in here
[01:42:59.220 --> 01:43:03.140]  i'm stoked about that one since we're on the subjects of hash plant, but
[01:43:03.620 --> 01:43:05.620]  I'm gonna turn it back to you guys
[01:43:07.060 --> 01:43:12.740]  That's awesome, uh, oh you got the dickie rich just came sat down with a box
[01:43:15.220 --> 01:43:18.100]  What did you have there chef alex that was more uh mean gene
[01:43:19.700 --> 01:43:21.700]  Yeah, this is some of this
[01:43:22.020 --> 01:43:25.220]  That he's got he pulled up these out. These were smaller plants
[01:43:25.700 --> 01:43:29.380]  You showed a while back, but this is the grape lime soda skunk back crossed
[01:43:29.940 --> 01:43:31.940]  Nice yeah
[01:43:32.740 --> 01:43:34.740]  I'm excited for that too
[01:43:36.340 --> 01:43:39.780]  It's not a problem the only problem is I need a bigger box
[01:43:42.980 --> 01:43:44.980]  Welcome back
[01:43:46.580 --> 01:43:51.780]  Or a bigger room, yes, there you go. That's the right attitude that's happening
[01:43:52.340 --> 01:43:54.340]  Happening
[01:43:54.660 --> 01:43:56.260]  You know, that's right
[01:43:56.260 --> 01:44:02.740]  When ritchie was touching on the uh, the longer flowering varieties and the potency and you know earlier in the beginning
[01:44:03.140 --> 01:44:06.980]  Uh, we were talking the amsterdam genetics, you know, and those kind of being watered down
[01:44:07.060 --> 01:44:13.700]  they kind of offered a feminized version a regular version an auto flowering version of pretty much everything and I think that's
[01:44:14.500 --> 01:44:18.500]  Crisscross applesauce all over the place and that helped it get a bad rep too
[01:44:18.900 --> 01:44:23.080]  But it also in turn made those shorter flowering and less resinous varieties
[01:44:23.940 --> 01:44:30.180]  Gave a lot of that like bad name, but we are moving in a better direction selecting for resin and terpenes and moving those
[01:44:30.660 --> 01:44:32.660]  and hybridizing the photo people
[01:44:33.300 --> 01:44:35.700]  Back the direction it needs to go which is good
[01:44:36.420 --> 01:44:38.580]  but uh, he came back on right as he was
[01:44:39.300 --> 01:44:43.220]  Finishing talking about that. So I figured i'd plug those two back together, too
[01:44:44.100 --> 01:44:47.140]  Don't forget the autos, but no, they're not as good
[01:44:49.380 --> 01:44:50.500]  As the
[01:44:50.500 --> 01:44:52.500]  uh
[01:44:52.500 --> 01:44:54.500]  Catching up man. They're definitely
[01:44:55.060 --> 01:45:02.260]  Dude, they're like the they're like lighting technology and leds, you know hps ruled for a long time and they were better
[01:45:02.900 --> 01:45:04.900]  But leds slowly caught up, man
[01:45:05.940 --> 01:45:07.940]  So we'll see
[01:45:08.980 --> 01:45:10.980]  Yeah, for sure
[01:45:11.540 --> 01:45:17.380]  Three or four harvests you just entered you just interviewed wolf seagull. He might not agree with what you just said there chad
[01:45:17.620 --> 01:45:22.180]  Would agree with what I just said there. I don't I don't I don't agree
[01:45:23.220 --> 01:45:25.880]  There we go. Sun grow sun groans
[01:45:26.660 --> 01:45:28.660]  uh
[01:45:30.260 --> 01:45:32.260]  That's hard to argue man
[01:45:33.140 --> 01:45:40.660]  Give it up. Let's hear it brother. I can't just move move your weather up here to the coast for me, please
[01:45:41.780 --> 01:45:44.100]  Like i'm on the rainy side, but i'll be
[01:45:45.060 --> 01:45:47.060]  I'll be farming permaculture
[01:45:48.100 --> 01:45:52.420]  Area data plants out east so we can at least hang out on the conversation out there
[01:45:52.900 --> 01:45:55.240]  And i'll love to talk to you guys about the genetics
[01:45:56.740 --> 01:46:02.600]  And john, I would love to grow some of those seeds man, maybe we could do a collaboration down there
[01:46:05.940 --> 01:46:07.940]  That's so awesome
[01:46:09.860 --> 01:46:13.940]  Bad ass, uh, let's see here. What else do I have?
[01:46:14.180 --> 01:46:15.620]  of
[01:46:15.620 --> 01:46:19.060]  Oh, you beat me too at sticky richie, which what you got up there?
[01:46:19.460 --> 01:46:24.180]  Oh, let's put that up on the big board. We got to give a shout out to this brother right here
[01:46:24.500 --> 01:46:28.260]  High striker farm. He's in uh, southern, maine named ryan
[01:46:29.060 --> 01:46:32.920]  Farmer ryan. Okay. Does he have a cultivar?
[01:46:33.860 --> 01:46:36.820]  Of choice or does he have a wide menu that he's worked?
[01:46:41.440 --> 01:46:43.440]  No
[01:46:44.320 --> 01:46:50.080]  Period feminized seeds that he has that are photos off of his, uh, cherry gmo
[01:46:50.160 --> 01:46:55.760]  I believe that he's released but he also has a full line of autos too that he's done for uh, maine
[01:46:56.640 --> 01:46:58.640]  And I think it's a blue micro version
[01:46:59.520 --> 01:47:00.480]  Is that what you have there?
[01:47:00.480 --> 01:47:04.960]  Did he share a room within college and he picked out a pheno of something you he was telling us?
[01:47:05.440 --> 01:47:07.440]  Just to give him credit for that I guess
[01:47:08.480 --> 01:47:12.000]  We'll definitely plug him there for that because that's a well known so uh
[01:47:12.720 --> 01:47:15.680]  Ryan is known for the great pie cut, uh that is
[01:47:16.240 --> 01:47:20.180]  Known in the hash world. He went to college. He was roommates with canerado
[01:47:20.880 --> 01:47:24.560]  Um, and he got the seeds from him found the cut and got it back to him
[01:47:24.880 --> 01:47:31.040]  Um, and that's what finest I think finest cannabis has the great pie cut that's from what he found
[01:47:31.680 --> 01:47:33.680]  so like full circle this whole
[01:47:33.980 --> 01:47:36.720]  conversation coast to coast east coast west coast
[01:47:38.000 --> 01:47:39.360]  Yeah, man
[01:47:39.360 --> 01:47:41.360]  Tight-knit group this community
[01:47:41.600 --> 01:47:46.400]  Cherry streusel. He made some beautiful ross in this cherry streusel and I think he's got a
[01:47:46.960 --> 01:47:50.560]  Streusel line with a lot of stuff. He's crossed to this cherry streusel
[01:47:51.760 --> 01:47:56.320]  That's what it was the cherry streusel, uh rich go ahead and uh, sorry. I stopped you man
[01:47:56.400 --> 01:48:02.160]  I got excited when I saw the ponies pack, uh go on and talk go ahead and uh, talk about what you got there
[01:48:02.560 --> 01:48:04.560]  that gold
[01:48:06.320 --> 01:48:08.480]  Uh-oh now we can't hear you are you muted?
[01:48:10.160 --> 01:48:16.480]  Is it uh, let's see. Did I meet no looks like you're unmuted on this end you were frozen a second to go
[01:48:16.960 --> 01:48:24.400]  Um, I know he is up in the new england area where they're getting a lot of snow and a lot of cold
[01:48:24.880 --> 01:48:29.600]  Uh, it's windy as crap man. It's cold and windy too, and we don't hear you
[01:48:29.680 --> 01:48:33.280]  You might leave and come back sticky rich, uh that might you know
[01:48:33.840 --> 01:48:37.840]  Reset the system. So maybe give that a shot just kind of leave and then come back in
[01:48:38.320 --> 01:48:40.320]  We'll let you back in um
[01:48:41.920 --> 01:48:46.000]  So, yeah, sometimes joshua, what are you smoking on what are you smoking on I want to know
[01:48:49.920 --> 01:48:56.640]  Yeah, yeah, well, um I had to represent myself today, um smoking on some of my genetics, uh,
[01:48:57.360 --> 01:49:02.640]  13 ghosts was the uh female and the male was from uh
[01:49:03.280 --> 01:49:05.120]  Oh
[01:49:05.120 --> 01:49:12.560]  Jungle boys, they had a wedding cake on a skittles and it's a it's a turpey, you know stony
[01:49:13.520 --> 01:49:15.680]  Joint i've been calling it wild rose
[01:49:16.480 --> 01:49:22.400]  And I have the stud seeds and female to it. I'll be working it into the line this year
[01:49:24.400 --> 01:49:29.840]  That's cool, so so if you were going to uh, if I came and visited your farm
[01:49:30.240 --> 01:49:36.400]  What what are the top three ones that you're gonna recommend to me of that you've grown that you've put together
[01:49:37.040 --> 01:49:39.120]  Uh, what what would you put forward?
[01:49:43.460 --> 01:49:49.860]  Okay, well this this one I really like this wild rose it makes rosin it's a good variety
[01:49:50.900 --> 01:49:53.460]  um, another one is uh
[01:49:55.060 --> 01:49:56.660]  The um
[01:49:56.660 --> 01:50:01.620]  Well the 13 ghosts we've already gone over that another one's the doc z by brandon third gen
[01:50:02.820 --> 01:50:04.180]  um
[01:50:04.180 --> 01:50:06.580]  I always liked it was my favorite high
[01:50:07.380 --> 01:50:14.500]  and I um, but it never had the brightest resin, but it's the resin it's the rosin that i've always liked to smoke and
[01:50:14.660 --> 01:50:17.540]  This year at one second at the organs growers cup
[01:50:18.340 --> 01:50:19.860]  and uh
[01:50:19.860 --> 01:50:26.820]  So it's just it is about terrapins. It is about high and an educated group of old school west coast judges
[01:50:27.460 --> 01:50:34.260]  Are really able to seek that fine line of that quality and I I did not expect that variety to win
[01:50:34.340 --> 01:50:37.700]  I'm, so used to the buyer's market the visual market
[01:50:38.420 --> 01:50:42.820]  um, we can yeah sometimes get distracted from what that perfect
[01:50:43.380 --> 01:50:45.380]  Joint actually is. Uh
[01:50:45.860 --> 01:50:51.780]  I love the doc z from third gen from brandon seeds. Uh another variety. I'll
[01:50:52.580 --> 01:50:59.060]  Uh, love to shout out to stay fly at sherb he has a sherbet and stay fly is a
[01:50:59.460 --> 01:51:04.900]  A friend of mine and a really uh awesome contributor to the cannabis community as well
[01:51:05.380 --> 01:51:09.460]  Totally regenerative permaculture sun-grown cat. Um in this area
[01:51:10.180 --> 01:51:14.340]  So yeah, it's uh, those are the cultivars that i'm most uh
[01:51:15.040 --> 01:51:17.620]  Excited about and smoking on the most this year
