[00:00.000 --> 00:05.760]  Make the connection.
[02:14:54.340 --> 02:14:56.340]  huge numbers sprouted
[02:14:56.340 --> 02:14:58.340]  before thinning them out
[02:14:58.340 --> 02:15:00.340]  you know
[02:15:00.340 --> 02:15:02.340]  so that was my angle
[02:15:02.340 --> 02:15:04.340]  How does your selection change
[02:15:04.340 --> 02:15:06.340]  after you get to that 100 that you're looking for
[02:15:06.340 --> 02:15:08.340]  or do you just grow them all out
[02:15:08.340 --> 02:15:10.340]  and see what you see or
[02:15:10.340 --> 02:15:12.340]  well yeah some of them
[02:15:12.560 --> 02:15:14.560]  if you're working with something
[02:15:14.560 --> 02:15:16.560]  that's pretty stable
[02:15:16.560 --> 02:15:18.560]  you're not worried too much about
[02:15:18.560 --> 02:15:20.560]  you know really finding
[02:15:20.560 --> 02:15:22.560]  anything that you couldn't find
[02:15:22.560 --> 02:15:24.560]  with numbers at that point because
[02:15:24.560 --> 02:15:26.560]  you know ok I've got everything
[02:15:26.560 --> 02:15:28.560]  it's all the same color
[02:15:28.560 --> 02:15:30.560]  it all smells the same
[02:15:30.560 --> 02:15:32.560]  it's all roughly the same potency
[02:15:32.560 --> 02:15:34.560]  which ones sturdier plant
[02:15:34.560 --> 02:15:36.560]  you know at that point
[02:15:36.560 --> 02:15:38.560]  but other than that if you're getting
[02:15:38.560 --> 02:15:40.560]  if you've got a 4 way polyhybrid
[02:15:40.780 --> 02:15:42.780]  you might end up with
[02:15:42.780 --> 02:15:44.780]  you know 8 different phenotypes
[02:15:44.780 --> 02:15:46.780]  or something and then you've got to decide
[02:15:46.780 --> 02:15:48.780]  what am I looking
[02:15:48.780 --> 02:15:50.780]  for what is the point
[02:15:50.780 --> 02:15:52.780]  of this line
[02:15:52.780 --> 02:15:54.780]  the point of a line
[02:15:54.780 --> 02:15:56.780]  to me you know lots of people
[02:15:56.780 --> 02:15:58.780]  it's all about preserving
[02:15:58.780 --> 02:16:00.780]  through population seeding
[02:16:00.780 --> 02:16:02.780]  and that is a valid
[02:16:02.780 --> 02:16:04.780]  thing to do in a
[02:16:04.780 --> 02:16:06.780]  conservation effort let's say
[02:16:06.780 --> 02:16:08.780]  in the
[02:16:09.000 --> 02:16:11.000]  but if you're breeding and you want to
[02:16:11.000 --> 02:16:13.000]  say this is this
[02:16:13.000 --> 02:16:15.000]  what is this you know
[02:16:15.000 --> 02:16:17.000]  is it purple is it green
[02:16:17.000 --> 02:16:19.000]  you know does it smell like
[02:16:19.000 --> 02:16:21.000]  jasmine or does it smell like oranges
[02:16:21.000 --> 02:16:23.000]  you know which is it
[02:16:23.000 --> 02:16:25.000]  as a breeder you've got to
[02:16:25.000 --> 02:16:27.000]  at some point you can't get
[02:16:27.000 --> 02:16:29.000]  away with just saying
[02:16:29.000 --> 02:16:31.000]  go pheno hunting and find your favorite
[02:16:31.000 --> 02:16:33.000]  you've got to say this seed
[02:16:33.000 --> 02:16:35.000]  reliably reproduces to give
[02:16:35.000 --> 02:16:37.000]  you lemons or whatever
[02:16:37.220 --> 02:16:39.220]  if it doesn't give you lemons
[02:16:39.220 --> 02:16:41.220]  don't call it lemons
[02:16:41.220 --> 02:16:43.220]  you've got to have
[02:16:43.220 --> 02:16:45.220]  a point to it at some level
[02:16:45.220 --> 02:16:47.220]  and everybody
[02:16:47.220 --> 02:16:49.220]  think of the
[02:16:49.220 --> 02:16:51.220]  when they talk about Shakespeare
[02:16:51.220 --> 02:16:53.220]  could be written by a million monkeys
[02:16:53.220 --> 02:16:55.220]  with typewriters or whatever
[02:16:55.220 --> 02:16:57.220]  and it's kind of like that
[02:16:57.220 --> 02:16:59.220]  and that's all of us hobby breeders
[02:16:59.220 --> 02:17:01.220]  that are working with limited resources
[02:17:01.220 --> 02:17:03.220]  and limited space
[02:17:03.220 --> 02:17:05.220]  and literally hiding to do it
[02:17:05.440 --> 02:17:07.440]  but still work got done
[02:17:07.440 --> 02:17:09.440]  you know you don't have to be
[02:17:09.440 --> 02:17:11.440]  a giant institute to breed good cannabis
[02:17:11.440 --> 02:17:13.440]  it's dudes like DJ
[02:17:13.440 --> 02:17:15.440]  in his closet that are
[02:17:15.440 --> 02:17:17.440]  preserving stuff
[02:17:17.440 --> 02:17:19.440]  at one level and advancing
[02:17:19.440 --> 02:17:21.440]  it on another
[02:17:21.440 --> 02:17:23.440]  so everybody's got a role
[02:17:23.440 --> 02:17:25.440]  to play you know
[02:17:25.440 --> 02:17:27.440]  it's great if you can do it on a great
[02:17:27.440 --> 02:17:29.440]  scale but do it however
[02:17:29.440 --> 02:17:31.440]  you can do it because
[02:17:31.440 --> 02:17:33.440]  you never know who's going to
[02:17:33.660 --> 02:17:35.660]  hit it lucky
[02:17:35.660 --> 02:17:37.660]  and find great stuff
[02:17:37.660 --> 02:17:39.660]  we all want to see it you know
[02:17:39.660 --> 02:17:41.660]  the more people
[02:17:41.660 --> 02:17:43.660]  breeding pot the better it is
[02:17:43.660 --> 02:17:45.660]  and even with the line selection
[02:17:45.660 --> 02:17:47.660]  a lot of it's like applicability
[02:17:47.660 --> 02:17:49.660]  because you can steer the direction
[02:17:49.660 --> 02:17:51.660]  depending on what the desire is
[02:17:51.660 --> 02:17:53.660]  and so
[02:17:53.660 --> 02:17:55.660]  things go in and out of fold
[02:17:55.660 --> 02:17:57.660]  and so you can move
[02:17:57.660 --> 02:17:59.660]  that's where I like interpretation
[02:17:59.660 --> 02:18:01.660]  where I try to understand
[02:18:01.880 --> 02:18:03.880]  what do we need to do with this thing
[02:18:03.880 --> 02:18:05.880]  so you're a breeder you're creating
[02:18:05.880 --> 02:18:07.880]  something where do we put it
[02:18:07.880 --> 02:18:09.880]  do we put it where
[02:18:09.880 --> 02:18:11.880]  and then who do we market it to
[02:18:11.880 --> 02:18:13.880]  and how do we capitalize on that
[02:18:13.880 --> 02:18:15.880]  and
[02:18:15.880 --> 02:18:17.880]  it allows you to be able to
[02:18:17.880 --> 02:18:19.880]  have people hold source material
[02:18:19.880 --> 02:18:21.880]  and then they can steer it over
[02:18:21.880 --> 02:18:23.880]  a couple year period where the swings
[02:18:23.880 --> 02:18:25.880]  become people want more gas
[02:18:25.880 --> 02:18:27.880]  they can move it subtly
[02:18:27.880 --> 02:18:29.880]  they can move it back into
[02:18:30.100 --> 02:18:32.100]  if you have a recessive dark
[02:18:32.100 --> 02:18:34.100]  and all of a sudden dark cannabis
[02:18:34.100 --> 02:18:36.100]  purple cannabis is back in vogue
[02:18:36.100 --> 02:18:38.100]  you go back into that line
[02:18:38.100 --> 02:18:40.100]  and you start to pull out that coloration
[02:18:40.100 --> 02:18:42.100]  so you can still move the line
[02:18:42.100 --> 02:18:44.100]  because the
[02:18:44.100 --> 02:18:46.100]  tastes of the consumer change
[02:18:46.100 --> 02:18:48.100]  and the market changes and it doesn't mean
[02:18:48.100 --> 02:18:50.100]  that it makes the line
[02:18:50.100 --> 02:18:52.100]  obsolete
[02:18:52.100 --> 02:18:54.100]  it has to just be reconfigured
[02:18:54.100 --> 02:18:56.100]  and that's where the breeder with good
[02:18:56.100 --> 02:18:58.100]  source material can maneuver
[02:18:58.320 --> 02:19:00.320]  and you have to hold the parents
[02:19:00.320 --> 02:19:02.320]  and I think that's where the problem
[02:19:02.320 --> 02:19:04.320]  with hobby breeders
[02:19:04.320 --> 02:19:06.320]  is that for all of us that were
[02:19:06.320 --> 02:19:08.320]  from the past we all really were
[02:19:08.320 --> 02:19:10.320]  limited through security
[02:19:10.320 --> 02:19:12.320]  of our stock
[02:19:12.320 --> 02:19:14.320]  you lost stuff to reeds constantly
[02:19:14.320 --> 02:19:16.320]  yeah and so like you in Switzerland
[02:19:16.320 --> 02:19:18.320]  I remember when Switzerland lit up
[02:19:18.320 --> 02:19:20.320]  and then I remember how many people
[02:19:20.320 --> 02:19:22.320]  got just hammered when the cantons
[02:19:22.320 --> 02:19:24.320]  changed their rules
[02:19:24.320 --> 02:19:26.320]  yeah every canton is different
[02:19:26.540 --> 02:19:28.540]  yep and it swung
[02:19:28.540 --> 02:19:30.540]  like a pendulum and depending was it
[02:19:30.540 --> 02:19:32.540]  hitting you in the head going left and then was it
[02:19:32.540 --> 02:19:34.540]  hitting you in the head going right
[02:19:34.540 --> 02:19:36.540]  I think we're in a really
[02:19:36.540 --> 02:19:38.540]  good time for cannabis right now because we have
[02:19:38.540 --> 02:19:40.540]  a lot of the old timers that are actually
[02:19:40.540 --> 02:19:42.540]  like opening up to the public but yet we
[02:19:42.540 --> 02:19:44.540]  still have a bunch of the new guys that are coming into the field
[02:19:44.540 --> 02:19:46.540]  being like man I smoked cookies in
[02:19:46.540 --> 02:19:48.540]  high school well I smoked haze and
[02:19:48.540 --> 02:19:50.540]  fucking like old school Afghani
[02:19:50.540 --> 02:19:52.540]  and shit like that in high school just the
[02:19:52.540 --> 02:19:54.540]  generation gap and now people actually
[02:19:54.760 --> 02:19:56.760]  able to talk and share strains
[02:19:56.760 --> 02:19:58.760]  I'm also the new stuff
[02:19:58.760 --> 02:20:00.760]  what's that
[02:20:00.760 --> 02:20:02.760]  I said I love all the new stuff
[02:20:02.760 --> 02:20:04.760]  but I've still got nostalgia for the old
[02:20:04.760 --> 02:20:06.760]  stuff too
[02:20:06.760 --> 02:20:08.760]  it's what we know I smoked all new grass
[02:20:08.760 --> 02:20:10.760]  I smoked all grass
[02:20:10.760 --> 02:20:12.760]  all the old stuff
[02:20:12.760 --> 02:20:14.760]  together to make the best new
[02:20:14.760 --> 02:20:16.760]  hybrids but again like some of the new shit
[02:20:16.760 --> 02:20:18.760]  again everybody's just going left to right to left
[02:20:18.760 --> 02:20:20.760]  to right to left so it's
[02:20:20.760 --> 02:20:22.760]  inconsistent but again like
[02:20:22.980 --> 02:20:24.980]  sometimes you find that firefeno but again
[02:20:24.980 --> 02:20:26.980]  you get a lot more consistencies
[02:20:26.980 --> 02:20:28.980]  with older genetics because there's not so much
[02:20:28.980 --> 02:20:30.980]  garbage bred into them there's not like
[02:20:30.980 --> 02:20:32.980]  oh this is a S1 and this was
[02:20:32.980 --> 02:20:34.980]  somebody's outdoor that had
[02:20:34.980 --> 02:20:36.980]  a male a couple yards from it
[02:20:36.980 --> 02:20:38.980]  it's like no you know exactly what it is now
[02:20:38.980 --> 02:20:40.980]  people stabilize things
[02:20:40.980 --> 02:20:42.980]  there wasn't many breeders but if there were breeders
[02:20:42.980 --> 02:20:44.980]  they would make something that was stable
[02:20:44.980 --> 02:20:46.980]  or they wouldn't call themselves breeders
[02:20:46.980 --> 02:20:48.980]  you know
[02:20:48.980 --> 02:20:50.980]  here in Humboldt
[02:20:51.200 --> 02:20:53.200]  that was popular back in the day
[02:20:53.200 --> 02:20:55.200]  I mean even just thinking about like a natural hermy
[02:20:55.200 --> 02:20:57.200]  I mean it's a girl that gets so stressed
[02:20:57.200 --> 02:20:59.200]  out she makes ovaries and
[02:20:59.200 --> 02:21:01.200]  then just had sex with herself to make a kid
[02:21:01.200 --> 02:21:03.200]  that's pretty fucked up when it comes
[02:21:03.200 --> 02:21:05.200]  to humans you know
[02:21:05.200 --> 02:21:07.200]  but not plants though plants are perfect
[02:21:07.200 --> 02:21:09.200]  exactly
[02:21:09.200 --> 02:21:11.200]  that's another reason why the great great great
[02:21:11.200 --> 02:21:13.200]  great great great great great granddad
[02:21:13.200 --> 02:21:15.200]  can have sex with the daughter
[02:21:15.200 --> 02:21:17.200]  but still produce an F9
[02:21:17.200 --> 02:21:19.200]  line
[02:21:19.420 --> 02:21:21.420]  everybody's eye color
[02:21:21.420 --> 02:21:23.420]  I can live with that but I'm killing the hermies
[02:21:23.420 --> 02:21:25.420]  I'm very intolerant of hermies
[02:21:25.420 --> 02:21:27.420]  yeah yeah no no no it has to be stable
[02:21:27.420 --> 02:21:29.420]  for production
[02:21:29.420 --> 02:21:31.420]  and some varieties like cherry pie
[02:21:31.420 --> 02:21:33.420]  right cherry pie is this
[02:21:33.420 --> 02:21:35.420]  it imparts quality to anything
[02:21:35.420 --> 02:21:37.420]  it touches but the breeders
[02:21:37.420 --> 02:21:39.420]  responsibility is to stress test
[02:21:39.420 --> 02:21:41.420]  all the plants before they release
[02:21:41.420 --> 02:21:43.420]  the cutting of that stock
[02:21:43.420 --> 02:21:45.420]  and
[02:21:45.420 --> 02:21:47.420]  exactly cherry pie grows straight up
[02:21:47.640 --> 02:21:49.640]  balls not even hermy parts straight balls
[02:21:49.640 --> 02:21:51.640]  from week 2 to 6 and they're like oh just
[02:21:51.640 --> 02:21:53.640]  hit a couple of things
[02:21:53.640 --> 02:21:55.640]  it depends on
[02:21:55.640 --> 02:21:57.640]  if you're growing it outdoor it doesn't
[02:21:57.640 --> 02:21:59.640]  you don't see the stress outside
[02:21:59.640 --> 02:22:01.640]  you see it indoor under electric light
[02:22:01.640 --> 02:22:03.640]  but for me I grow it outdoor
[02:22:03.640 --> 02:22:05.640]  every year and I have zero issues with it
[02:22:05.640 --> 02:22:07.640]  because it's in a natural
[02:22:07.640 --> 02:22:09.640]  form but when we transfer
[02:22:09.640 --> 02:22:11.640]  it is where we see the issue but
[02:22:11.640 --> 02:22:13.640]  that's like the same thing with like
[02:22:13.640 --> 02:22:15.640]  SR 71 purple cush like
[02:22:15.860 --> 02:22:17.860]  right now I'm growing it outdoors
[02:22:17.860 --> 02:22:19.860]  it likes to hermy like week 6 to 9
[02:22:19.860 --> 02:22:21.860]  outdoors has no problems
[02:22:21.860 --> 02:22:23.860]  but it's like got that straight up neon purple look to it
[02:22:23.860 --> 02:22:25.860]  it's really pretty
[02:22:25.860 --> 02:22:27.860]  Steve I'm curious
[02:22:27.860 --> 02:22:29.860]  when you were working
[02:22:29.860 --> 02:22:31.860]  lines and you get to the point
[02:22:31.860 --> 02:22:33.860]  where you had to pick a direction
[02:22:33.860 --> 02:22:35.860]  would there ever be a point
[02:22:35.860 --> 02:22:37.860]  or a line that you remember where you
[02:22:37.860 --> 02:22:39.860]  wanted to go two directions
[02:22:39.860 --> 02:22:41.860]  where there was two
[02:22:41.860 --> 02:22:43.860]  expressions worth keeping or three
[02:22:44.080 --> 02:22:46.080]  absolutely
[02:22:46.080 --> 02:22:48.080]  and even if you're line breeding
[02:22:48.080 --> 02:22:50.080]  pretty much by definition
[02:22:50.080 --> 02:22:52.080]  you have to keep two lines
[02:22:52.080 --> 02:22:54.080]  because what you do
[02:22:54.080 --> 02:22:56.080]  is cross them back to each other
[02:22:56.080 --> 02:22:58.080]  every three generations to avoid
[02:22:58.080 --> 02:23:00.080]  them getting inbred so you have to
[02:23:00.080 --> 02:23:02.080]  keep two lines at least
[02:23:02.080 --> 02:23:04.080]  and
[02:23:04.080 --> 02:23:06.080]  often would keep more
[02:23:06.080 --> 02:23:08.080]  because there would be certain things I'd like
[02:23:08.080 --> 02:23:10.080]  to about some over others you know
[02:23:10.080 --> 02:23:12.080]  like maybe this one had more
[02:23:12.300 --> 02:23:14.300]  of a grapey taste and a bit more color
[02:23:14.300 --> 02:23:16.300]  in the bud but this totally green
[02:23:16.300 --> 02:23:18.300]  one beside it was absolutely
[02:23:18.300 --> 02:23:20.300]  repelled mildew
[02:23:20.300 --> 02:23:22.300]  so it's like well I'm gonna keep
[02:23:22.300 --> 02:23:24.300]  the mildew repelled one but I'm gonna keep
[02:23:24.300 --> 02:23:26.300]  the one I love the taste of too you know
[02:23:26.300 --> 02:23:28.300]  and after they're
[02:23:28.300 --> 02:23:30.300]  stable enough they can meet each other again
[02:23:30.300 --> 02:23:32.300]  you know
[02:23:32.300 --> 02:23:34.300]  so the keeping lines for traits
[02:23:34.300 --> 02:23:36.300]  that are complementary is really
[02:23:36.300 --> 02:23:41.810]  important
[02:23:41.810 --> 02:23:43.810]  so we got a lot of questions
[02:23:44.030 --> 02:23:46.030]  so I have a question
[02:23:46.030 --> 02:23:48.030]  so really
[02:23:48.030 --> 02:23:50.030]  Kevin and Steve you guys have never met
[02:23:50.030 --> 02:23:52.030]  before till now
[02:23:52.030 --> 02:23:54.030]  you both have been working in Columbia right?
[02:23:54.030 --> 02:23:56.030]  that's like saying we both
[02:23:56.030 --> 02:23:58.030]  work in the US
[02:23:58.030 --> 02:24:00.030]  I know but I just assumed
[02:24:00.030 --> 02:24:02.030]  you guys are such like awesome breeders
[02:24:02.030 --> 02:24:04.030]  and like you guys
[02:24:04.030 --> 02:24:06.030]  no no I've just known Steve's work
[02:24:06.030 --> 02:24:08.030]  forever
[02:24:08.030 --> 02:24:10.030]  yeah no I've known Steve's work forever
[02:24:10.030 --> 02:24:12.030]  I've just known him for a long time
[02:24:12.250 --> 02:24:14.250]  I was over
[02:24:14.250 --> 02:24:16.250]  in Vashada and then I was
[02:24:16.250 --> 02:24:18.250]  outside of Bogota so both of those
[02:24:18.250 --> 02:24:20.250]  regions where I spent time
[02:24:20.250 --> 02:24:22.250]  same thing is that
[02:24:22.250 --> 02:24:24.250]  I've known who you were forever
[02:24:24.250 --> 02:24:26.250]  and I ran your stock I said I got
[02:24:26.250 --> 02:24:28.250]  a hold of some of that grapefruit
[02:24:28.250 --> 02:24:30.250]  I was thinking late 80s but early 90s is when I
[02:24:30.250 --> 02:24:32.250]  went over and connected with Mark Emery's group
[02:24:32.250 --> 02:24:34.250]  and so I went over there
[02:24:34.250 --> 02:24:36.250]  and Emery had just got grabbed
[02:24:36.250 --> 02:24:38.250]  and got tossed and I tied in
[02:24:38.250 --> 02:24:40.250]  with all the crew that was around him
[02:24:40.470 --> 02:24:42.470]  and that's when I got a hold of the grapefruit
[02:24:42.470 --> 02:24:44.470]  I got a hold of that island sweet skunk
[02:24:44.470 --> 02:24:46.470]  and then
[02:24:46.470 --> 02:24:48.470]  a year or two later I get a hold
[02:24:48.470 --> 02:24:50.470]  of the sweet tooth
[02:24:50.470 --> 02:24:52.470]  and then you do that collaboration
[02:24:52.470 --> 02:24:54.470]  with Red from Legends and I get a hold of your
[02:24:54.470 --> 02:24:56.470]  Ortega, the Ortega sweet tooth
[02:24:56.470 --> 02:24:58.470]  which is that Legend's open indigo
[02:24:58.470 --> 02:25:00.470]  that was killer here
[02:25:00.470 --> 02:25:02.470]  I throw those fucking donks man
[02:25:02.470 --> 02:25:04.470]  good weed
[02:25:04.470 --> 02:25:06.470]  I gotta mute
[02:25:06.470 --> 02:25:08.470]  myself for a second
[02:25:10.470 --> 02:25:12.470]  Steve's getting another beer
[02:25:12.470 --> 02:25:14.470]  Steve everyone's cheering you on
[02:25:14.470 --> 02:25:16.470]  with your champion
[02:25:20.470 --> 02:25:22.470]  so there were
[02:25:22.470 --> 02:25:24.470]  a couple like kind of like
[02:25:24.470 --> 02:25:26.470]  what
[02:25:26.470 --> 02:25:28.470]  pests or pathogens
[02:25:28.470 --> 02:25:30.470]  are
[02:25:30.470 --> 02:25:32.470]  seasonally around this year
[02:25:32.470 --> 02:25:34.470]  so
[02:25:34.470 --> 02:25:36.470]  Flavor Craver 420
[02:25:36.470 --> 02:25:38.470]  he's like
[02:25:38.690 --> 02:25:40.690]  powdery mildew has been the issue this year
[02:25:40.690 --> 02:25:42.690]  for him or her bugs haven't
[02:25:42.690 --> 02:25:44.690]  been too bad for me
[02:25:44.690 --> 02:25:46.690]  then people talk
[02:25:46.690 --> 02:25:48.690]  about someone said or the same person said
[02:25:48.690 --> 02:25:50.690]  like having thrips
[02:25:50.690 --> 02:25:52.690]  like having bugs during
[02:25:52.690 --> 02:25:54.690]  veg like
[02:25:54.690 --> 02:25:56.690]  you know puts hair on their chest
[02:25:56.690 --> 02:25:58.690]  so anyway what
[02:25:58.690 --> 02:26:00.690]  are the bugs you're seeing this season
[02:26:00.690 --> 02:26:02.690]  versus this season
[02:26:02.690 --> 02:26:04.690]  well this season's kind of different
[02:26:04.690 --> 02:26:06.690]  where like you're still seeing rust
[02:26:06.910 --> 02:26:08.910]  besides cows
[02:26:08.910 --> 02:26:10.910]  yeah the cows
[02:26:10.910 --> 02:26:12.910]  the rust and mites are still popping up
[02:26:12.910 --> 02:26:14.910]  we still see those little pop ups but they're pretty
[02:26:14.910 --> 02:26:16.910]  easy to control
[02:26:16.910 --> 02:26:18.910]  if you're doing full outdoor you don't see aphids
[02:26:18.910 --> 02:26:20.910]  but man if you're doing any kind of
[02:26:20.910 --> 02:26:22.910]  indoor or mixed light
[02:26:22.910 --> 02:26:24.910]  under hoop
[02:26:24.910 --> 02:26:26.910]  holy shit aphids took over California
[02:26:26.910 --> 02:26:28.910]  and then I was up
[02:26:28.910 --> 02:26:30.910]  at a farm the other day and there was up in
[02:26:30.910 --> 02:26:32.910]  Palo Verde Harris area
[02:26:32.910 --> 02:26:34.910]  and they had a lot of leaf miners
[02:26:35.130 --> 02:26:37.130]  and so the leaf miners
[02:26:37.130 --> 02:26:39.130]  are having a similar effect as russets
[02:26:39.130 --> 02:26:41.130]  where their
[02:26:41.130 --> 02:26:43.130]  attack on the leaf
[02:26:43.130 --> 02:26:45.130]  leaves some form of toxin
[02:26:45.130 --> 02:26:47.130]  and it gives it this crazy swirl
[02:26:47.130 --> 02:26:49.130]  leaf and changes the
[02:26:49.130 --> 02:26:51.130]  the plants
[02:26:51.130 --> 02:26:53.130]  vitality tremendously
[02:26:53.130 --> 02:26:55.130]  so from what I'm seeing is really
[02:26:55.130 --> 02:26:57.130]  this year I would say you know aphids are your
[02:26:57.130 --> 02:26:59.130]  number one large problem
[02:26:59.130 --> 02:27:01.130]  for most cultivators and then
[02:27:01.130 --> 02:27:03.130]  the leaf miners seem to be
[02:27:03.350 --> 02:27:05.350]  popping up too
[02:27:05.350 --> 02:27:07.350]  and then you still see russet populations
[02:27:07.350 --> 02:27:09.350]  but I'm not seeing
[02:27:09.350 --> 02:27:11.350]  any kind of we're having such a
[02:27:11.350 --> 02:27:13.350]  hot dry
[02:27:13.350 --> 02:27:15.350]  situation that you're not seeing any of the
[02:27:15.350 --> 02:27:17.350]  spikes yet so
[02:27:17.350 --> 02:27:19.350]  and I think PM
[02:27:19.350 --> 02:27:21.350]  to me I've always said this too
[02:27:21.350 --> 02:27:23.350]  is that a lot of the reasons why I think you see PM
[02:27:23.350 --> 02:27:25.350]  is because your plants
[02:27:25.350 --> 02:27:27.350]  are overfed and so what
[02:27:27.350 --> 02:27:29.350]  we do is we drive the plants
[02:27:29.350 --> 02:27:31.350]  to get weight and the problem
[02:27:31.570 --> 02:27:33.570]  is that when you put too much sugar into them
[02:27:33.570 --> 02:27:35.570]  they're producing too much sap
[02:27:35.570 --> 02:27:37.570]  and it makes them extremely attractive
[02:27:37.570 --> 02:27:39.570]  to pathogens and so
[02:27:39.570 --> 02:27:41.570]  there's this line you have to walk
[02:27:41.570 --> 02:27:43.570]  of enough weight but not too much
[02:27:43.570 --> 02:27:45.570]  because ultimately however big the fucking
[02:27:45.570 --> 02:27:47.570]  plant was I could care less
[02:27:47.570 --> 02:27:49.570]  what I care is how much is in the bag
[02:27:49.570 --> 02:27:51.570]  so it's pot sold
[02:27:51.570 --> 02:27:53.570]  matters to me not pot grown
[02:27:53.570 --> 02:27:55.570]  so if I grow a ton
[02:27:55.570 --> 02:27:57.570]  and I sell an ounce
[02:27:57.570 --> 02:27:59.570]  it didn't go well
[02:27:59.790 --> 02:28:01.790]  I could grow a hundred pounds and sell a hundred pounds
[02:28:01.790 --> 02:28:03.790]  and have to call 20, 30, 40, 50%
[02:28:03.790 --> 02:28:05.790]  of my crop to rot
[02:28:05.790 --> 02:28:07.790]  and I think that so much
[02:28:07.790 --> 02:28:09.790]  with fungal issues
[02:28:09.790 --> 02:28:11.790]  it's always about the fact
[02:28:11.790 --> 02:28:13.790]  that the plant's a smorgasbord
[02:28:13.790 --> 02:28:15.790]  if it's attractive
[02:28:15.790 --> 02:28:17.790]  and I think that what happens is that you overload
[02:28:17.790 --> 02:28:19.790]  the plant so heavy that it
[02:28:19.790 --> 02:28:21.790]  becomes too sugary and it's
[02:28:21.790 --> 02:28:23.790]  imbalanced and I had a phrase for it
[02:28:23.790 --> 02:28:25.790]  called plant obesity
[02:28:25.790 --> 02:28:27.790]  and it just made the plant extremely
[02:28:28.010 --> 02:28:30.010]  attractive to pests and fungus
[02:28:30.010 --> 02:28:32.010]  and when I started
[02:28:32.010 --> 02:28:34.010]  trying to back off on how hard
[02:28:34.010 --> 02:28:36.010]  I drove them I noticed
[02:28:36.010 --> 02:28:38.010]  that I dropped that PM right out
[02:28:38.010 --> 02:28:40.010]  of my operations
[02:28:40.010 --> 02:28:42.010]  where some varieties are just prone
[02:28:42.010 --> 02:28:44.010]  you gotta cull them
[02:28:44.010 --> 02:28:46.010]  if it is problematic don't nurse it
[02:28:46.010 --> 02:28:48.010]  grow it in your yard for yourself
[02:28:48.010 --> 02:28:50.010]  have it as your special little
[02:28:50.010 --> 02:28:52.010]  treat but if that shit's
[02:28:52.010 --> 02:28:54.010]  fragile as a farmer you can't run it
[02:28:54.010 --> 02:28:56.010]  and have any kind of security
[02:28:56.230 --> 02:28:58.230]  and because they charge you so much money
[02:28:58.230 --> 02:29:00.230]  for your permits
[02:29:00.230 --> 02:29:02.230]  a fixed cost, you can't get away from the fixed cost
[02:29:02.230 --> 02:29:04.230]  variable costs we can work with
[02:29:04.230 --> 02:29:06.230]  production levels can go up and down
[02:29:06.230 --> 02:29:08.230]  if I grow more it costs more
[02:29:08.230 --> 02:29:10.230]  but on permits it's fixed
[02:29:10.230 --> 02:29:12.230]  this size canopy is this much
[02:29:12.230 --> 02:29:14.230]  this size is this much
[02:29:14.230 --> 02:29:16.230]  water is this much
[02:29:16.230 --> 02:29:18.230]  if you're water bored, so for me I have a fixed cost
[02:29:18.230 --> 02:29:20.230]  of 40 grand just to turn the farm on
[02:29:20.230 --> 02:29:22.230]  right?
[02:29:22.230 --> 02:29:24.230]  that means that in the US
[02:29:24.450 --> 02:29:26.450]  I'd have to make about 70,000
[02:29:26.450 --> 02:29:28.450]  little under 70
[02:29:28.450 --> 02:29:30.450]  to take home 40k after taxes
[02:29:30.450 --> 02:29:32.450]  so I have to have a 70,000 dollar a year job
[02:29:32.450 --> 02:29:34.450]  where I work for 365 days
[02:29:34.450 --> 02:29:36.450]  in a fiscal year
[02:29:36.450 --> 02:29:38.450]  in that period, 50 weeks to the 52
[02:29:38.450 --> 02:29:40.450]  just to make the money
[02:29:40.450 --> 02:29:42.450]  required to turn a farm on
[02:29:42.450 --> 02:29:44.450]  so when you put it in English like that
[02:29:44.450 --> 02:29:46.450]  you gotta be really really clear
[02:29:46.450 --> 02:29:48.450]  about what it is you're doing
[02:29:48.450 --> 02:29:50.450]  and so to me I'm not trying to get the
[02:29:50.450 --> 02:29:52.450]  biggest plants I'm trying to get the most
[02:29:52.670 --> 02:29:54.670]  off the plant to the end user
[02:29:54.670 --> 02:29:56.670]  within reason
[02:29:56.670 --> 02:29:58.670]  and once I kind of change
[02:29:58.670 --> 02:30:00.670]  that idea that I was going to get
[02:30:00.670 --> 02:30:02.670]  less on the stick but more
[02:30:02.670 --> 02:30:04.670]  in the bag relatively
[02:30:04.670 --> 02:30:06.670]  my fungal problems decrease dramatically
[02:30:06.670 --> 02:30:08.670]  and so I think
[02:30:08.670 --> 02:30:10.670]  that you can really work with that
[02:30:10.670 --> 02:30:12.670]  in a lot better fashion and I think that
[02:30:12.670 --> 02:30:14.670]  once you get the plant balanced
[02:30:14.670 --> 02:30:16.670]  it's not as attractive to the pests
[02:30:16.670 --> 02:30:18.670]  either
[02:30:18.670 --> 02:30:20.670]  so once everything's pretty good
[02:30:20.890 --> 02:30:22.890]  they're more resistant
[02:30:22.890 --> 02:30:24.890]  you go to Columbia, if you want to see a problem
[02:30:24.890 --> 02:30:26.890]  go to Columbia and see thrips
[02:30:26.890 --> 02:30:28.890]  because these fucking things look like hummingbirds
[02:30:28.890 --> 02:30:30.890]  coming down out of the sky
