[00:00.000 --> 00:02.000]  Let's see
[01:41:22.380 --> 01:41:30.380]  continuing that QC by going out quarterly, if not more regularly to a lot of these facilities as we come online.
[01:41:31.380 --> 01:41:32.380]  That's my goal.
[01:41:32.380 --> 01:41:36.380]  I'd like to get into all the licensed legal states that I can.
[01:41:37.380 --> 01:41:46.380]  And then, and then are those typically like revenue share deals or what, what are kind of, what's a typical deal structure to roll out kind of licensee state by state?
[01:41:47.380 --> 01:41:48.380]  Everything's a little bit different.
[01:41:48.940 --> 01:41:50.940]  I'm not going to really get into the specifics.
[01:41:51.940 --> 01:41:56.940]  You can definitely hit me on, you know, the private messages, the specific deals.
[01:41:57.940 --> 01:41:59.940]  I got to ask publicly because you may answer.
[01:42:00.940 --> 01:42:08.940]  Yeah, no, but generally speaking, it's like licensing deal that has a running royalty, there's consulting.
[01:42:09.940 --> 01:42:15.940]  And then if there was to be an exclusive deal for that state, then there would be some type of exclusivity fee.
[01:42:16.500 --> 01:42:19.500]  Generally speaking, that's how I structure these.
[01:42:21.500 --> 01:42:38.280]  Got it. And then for, for you, Greg, like a year or two from now, kind of revenue in the door for you personally, like, what do you see the breakup in terms of your different focuses?
[01:42:39.280 --> 01:42:41.280]  I mean, you manage grows, you breed, what else?
[01:42:41.840 --> 01:42:48.840]  I mean, really, I've been, I've been focusing on the genetic side of things a lot more specifically this year.
[01:42:49.840 --> 01:42:55.840]  I'm, you know, I'm a consultant more than I am a garden manager at this point.
[01:42:56.840 --> 01:43:04.840]  I don't have, you know, any big contracts at the moment as far as grows that I'm working with to manage their facilities.
[01:43:05.840 --> 01:43:08.840]  You know, for me, genetics has always been the play.
[01:43:09.400 --> 01:43:13.400]  I think, you know, I'm not trying to pretend that I know it all for the growing systems.
[01:43:14.400 --> 01:43:19.400]  And, you know, there's, there's plenty of growers out there that are, you know, way better at what they do than me.
[01:43:20.400 --> 01:43:37.400]  So if I can just get genetics in their hands and make sure that they're happy, you know, growing super good, you know, new genetics that, you know, are going to work in their environment are going to make them their bottom line or, you know, whatever their focus is.
[01:43:37.960 --> 01:43:44.960]  That's kind of my play and whether that's, you know, that's both in the hemp industry and just cannabis industry in general.
[01:43:45.960 --> 01:43:50.960]  You know, high THC and high CBD and, you know, I'm working on a lot of stuff with industrial hemp.
[01:43:51.960 --> 01:43:57.960]  I personally think that cannabis as a plant, industrial hemp is really what's going to change the world.
[01:43:58.960 --> 01:43:59.960]  So, I'm...
[01:44:00.520 --> 01:44:02.520]  So what are you playing with there?
[01:44:03.520 --> 01:44:21.520]  Because I feel like we have such a short body of knowledge in terms, like, for example, in Colorado, you know, what, what, you know, super low THC, high CBD strains like work well versus in Virginia versus in South Carolina versus in San Diego.
[01:44:22.080 --> 01:44:29.080]  And what's your intent on the hemp side in terms of breeding for what and in which microclimates?
[01:44:30.080 --> 01:44:36.080]  So, I mean, this is where I, you know, I'm trying to focus on kind of all those things you said.
[01:44:37.080 --> 01:44:45.080]  Most people that are growing hemp outside of the smokable flower market, you know, and kind of high cannabinoids, smokable flower, it's all grown outside.
[01:44:45.640 --> 01:44:56.640]  So, bioregional microclimate, you know, stuff that does well in a particular, you know, space, you know, and environment is going to be paramount.
[01:44:57.640 --> 01:45:07.640]  Stuff that, you know, grows really well in Southern California outdoors and just hits, checks all the boxes is probably not going to grow the same way.
[01:45:08.200 --> 01:45:17.200]  Or I know it's not going to grow the same way in Tennessee or in New York or a lot of these other hemp markets, you know, in Vermont or Maine or wherever.
[01:45:18.200 --> 01:45:24.200]  So, really focusing on genetics that, you know, kind of tailored to my client.
[01:45:25.200 --> 01:45:35.200]  If someone wants, you know, like in a consulting situation, someone wanted to make a strain that works good in their environment, you know, I'd work on, you know, are they farming for cannabinoids?
[01:45:35.760 --> 01:45:38.760]  Are they farming for fiber, you know, to make clothes or...
[01:45:39.760 --> 01:45:47.760]  Well, that's what I was going to ask. Do you see any movement on the kind of other use cases besides just straight up extraction like fiber?
[01:45:48.760 --> 01:46:01.760]  Well, I mean, I think that, you know, I've kind of had a long view on this one for a long time, but I think when a lot more investment money starts coming into non-cannabinoid hemp, as in fiber hemp, you know,
[01:46:02.320 --> 01:46:13.320]  nutritional hemp for hemp hearts and seed oil and a lot of these things, I think we're going to see a lot of movement with genetics that way.
[01:46:14.320 --> 01:46:18.320]  And I think we'll start to see, you know, people that have 50,000 acres start getting involved.
[01:46:19.320 --> 01:46:30.320]  Not 5 acres, 10 acres, 100 acres of stuff that's, you know, maybe going to go to, you know, a tincture or a salve or, you know, maybe get bagged up and sold at a gas station in Florida or something, you know.
[01:46:30.880 --> 01:46:42.880]  The cannabinoid side of hemp, high CBD or CBG or, you know, whatever the new flavor of the month is for cannabinoid, you know, is going to...
[01:46:43.880 --> 01:46:48.880]  I don't want to say it's a fad, but I don't think it is the true market potential for hemp.
[01:46:49.880 --> 01:46:57.880]  So, obviously, I've focused on high CBD and, you know, high cannabinoid stuff because that's what the market wants right now.
[01:46:58.440 --> 01:47:13.440]  Like, I have a bunch of fiber seed and a bunch of bycrop stuff that I'm working on that you can, you know, not to spill the beans too much, but, you know, stuff that you can grow, harvest for fiber,
[01:47:14.440 --> 01:47:21.440]  leave a portion of the plant that'll then flower and can either be viable for cannabinoid extraction or seed or both.
[01:47:22.000 --> 01:47:31.000]  So, you can kind of diversify your revenue streams. If everyone could take a lesson from hemp and the CBD tank of 2018 and 19,
[01:47:32.000 --> 01:47:49.000]  you know, a lot of farmers didn't plant this year and most farmers that I know that went hard last year still sitting on their product and they scaled back their operations this year for, you know, CBD or they shifted to smokable flower versus, you know, extraction for, you know, crude oil.
[01:47:49.560 --> 01:48:05.560]  I mean, two years ago, just as an example, you know, a kilogram of CBD oil, you know, just crude oil, you know, was $1,500 and you'd be lucky to get $250 for that same liter today.
[01:48:06.560 --> 01:48:11.560]  You know, distillate went from $4,000 a kilogram to, you know, sitting around $1,000.
[01:48:12.120 --> 01:48:21.120]  You know, isolate used to be, you know, four years ago, isolate was $30,000 for a kilogram. Now, it's like, you can get them out the door for $750.
[01:48:22.120 --> 01:48:35.120]  So, it's like the extraction market is just totally, I mean, CBD in the last year went from $8,000 to $9,000 a kilogram to kind of run a par with distillate now, you know.
[01:48:35.680 --> 01:48:44.680]  It's cheap. It's like, so, you know, farmers got to be able to diversify their income sources when things like this is volatile market, you know.
[01:48:45.680 --> 01:48:56.680]  So, I'm ready with genetics for when people start focusing on the industrial side of him versus the cannabinoid side of him.
[01:48:57.240 --> 01:49:04.240]  I want to be ready because right now, nobody's really doing that. There's a handful of breeders out there, but everyone's kind of riding the train, right?
[01:49:05.240 --> 01:49:13.240]  Follow where the money goes and making the next CBD, CBG, high terpene, whatever strain, you know, which is great. I love it.
[01:49:14.240 --> 01:49:16.240]  I think it's fire looking smokeable addition, bro.
[01:49:17.240 --> 01:49:21.240]  Man, some of this crazy stuff, no doubt that you would definitely confuse for a THC.
[01:49:21.800 --> 01:49:26.800]  Some of the stuff in my garden right now, I can bag it up and show it to you and you would not be able to tell the difference.
[01:49:27.800 --> 01:49:33.800]  But talk about when you smoke that stuff, like how do you, do you like it? Like, do you like rolling joints?
[01:49:34.800 --> 01:49:42.800]  Yeah, it's like a non-alcoholic beer. Sometimes you just don't want to get OG retarded, you know.
[01:49:43.800 --> 01:49:49.800]  And I want that OG flavor, but with just something a little lighter. So, yeah. And I'm working on a few things in that in my realm as well.
[01:49:50.360 --> 01:49:51.360]  Yeah, absolutely.
[01:49:52.360 --> 01:50:02.360]  I mean, there is something about, you know, as long as it's, obviously no one wants to smoke like a bunch of hay tasting crackling weed that, you know, doesn't get you high.
[01:50:03.360 --> 01:50:05.360]  You know, at least like it's going to taste like shit. Maybe it'll get you high.
[01:50:06.360 --> 01:50:11.360]  But, you know, CBD and this high cannabinoid hemp, like a lot of smokeable flour out there is embarrassing.
[01:50:12.360 --> 01:50:16.360]  And, you know, there's not a lot of value to it, you know.
[01:50:16.920 --> 01:50:25.920]  So when it comes, you know, super trichome dense and, you know, turped out and just, you know, super high cannabinoid even, you know.
[01:50:26.920 --> 01:50:33.920]  I'm hitting 20, 22% on some of my CBD strains, you know, in CBD and less than 1% THC.
[01:50:34.920 --> 01:50:39.920]  You know, it's like those are still super high quality boutique cannabinoid flours.
[01:50:40.920 --> 01:50:43.920]  It's just not what everyone's used to, you know, the THC that's going to get you super high.
[01:50:44.480 --> 01:50:49.480]  So, yeah, it still tastes great, still has amazing back appeal. It stinks. It still extracts amazing.
[01:50:50.480 --> 01:50:56.480]  You know, only problem with the extraction on my side is there's that point where it goes above the THC limit.
[01:50:57.480 --> 01:50:58.480]  I'm trying to figure that part out.
[01:50:59.480 --> 01:51:00.480]  That's 40% dilute, you know.
[01:51:01.480 --> 01:51:02.480]  That's everyone's problem in the hemp industry.
[01:51:03.480 --> 01:51:13.480]  Well, and I feel like every state has different regulations in terms of like where in the process they'll ding you for passing that threshold, right?
[01:51:14.480 --> 01:51:21.480]  I talked to some people in Virginia where it's only at the farm that they test.
[01:51:22.480 --> 01:51:29.480]  And I assume other states are it's at the extraction facility where they like everything's different. There's no commonality.
[01:51:31.480 --> 01:51:40.480]  Yeah, that's the thing with the Farm Bill, you know, is that it gave the states like kind of the free reign to regulate however they wanted.
[01:51:41.040 --> 01:51:44.040]  Right now, you know, with the new USDA rules, they're trying to hone that in.
[01:51:45.040 --> 01:51:51.040]  But for the most part, at least in Colorado, too, like you're tested at the farm and then you're tested when your product hits the shelf.
[01:51:52.040 --> 01:51:54.040]  But in between there, like there is no license.
[01:51:55.040 --> 01:51:56.040]  Those shelves are not getting tested.
[01:51:57.040 --> 01:52:02.040]  Right. And in Virginia, what I found interesting was like, think about it.
[01:52:03.040 --> 01:52:04.040]  You know, it's a bureaucracy.
[01:52:05.040 --> 01:52:06.040]  I'm getting tested. Sorry.
[01:52:06.600 --> 01:52:07.600]  It's a bureaucracy.
[01:52:08.600 --> 01:52:20.600]  So they only have like, you know, eight guys who go around to farms and like they need to schedule their tours and like they may visit your farm in July and my farm in September.
[01:52:21.600 --> 01:52:26.600]  And I'm fucked because you're when they test you, they're like, you have no THC.
[01:52:27.600 --> 01:52:34.600]  And it's like because you tested them super early and then they come to my farm and like my THC is, you know, above point three percent.
[01:52:35.160 --> 01:52:38.160]  But they tested me in, you know, late September.
[01:52:39.160 --> 01:52:40.160]  Yeah, it's the same way here.
[01:52:41.160 --> 01:52:45.160]  You know, we got tested at our, you know, at our clone facility.
[01:52:46.160 --> 01:52:50.160]  You know what I mean? So these people literally came in and took bags of vegetative material.
[01:52:51.160 --> 01:52:55.160]  You must have been psyched. You're like, I'm going to pass.
[01:52:56.160 --> 01:52:58.160]  It's like a waste of time.
[01:52:58.720 --> 01:53:08.720]  I got to pay for these people that come to the facility and, you know, test something that's, you know, very obviously not doesn't need to be tested.
[01:53:09.720 --> 01:53:15.720]  It's like, you know, so, you know, that's that's kind of the deal with the industry right now and kind of the way that it's playing out.
[01:53:16.720 --> 01:53:27.720]  You know, like this year, there's a lot more people on staff in Colorado, but there was like a team of like four or eight people that were testing every, you know, all thousand farms.
[01:53:28.720 --> 01:53:30.720]  And Colorado, it's just not possible.
[01:53:31.720 --> 01:53:32.720]  So most people didn't get tested for the first three years.
[01:53:33.720 --> 01:53:40.720]  You know what I mean? And, you know, now it's like everybody's getting hit, you know, and they're catching on.
[01:53:41.720 --> 01:53:43.720]  They're starting to be more homogenous with the way that they do things.
[01:53:44.720 --> 01:53:54.720]  And obviously not state to state, but, you know, that'll come, you know, and hopefully, you know, people recognize that, you know, this it's it's all the farmer dependent.
[01:53:55.280 --> 01:53:59.280]  You know, it's like they come at a certain time or, you know, early.
[01:54:00.280 --> 01:54:01.280]  It's like compliant versus not.
[01:54:02.280 --> 01:54:07.280]  And that's, you know, not necessarily a good way to promote, you know, a brand new industry.
[01:54:08.280 --> 01:54:10.280]  But, you know, I don't want to get on my soapbox about that.
[01:54:11.280 --> 01:54:24.280]  So present company excluded, who are some breeders kind of both established and up and coming like that have come across your radar that you respect?
[01:54:25.280 --> 01:54:26.280]  And why?
[01:54:27.280 --> 01:54:29.280]  Well, mostly directed at you.
[01:54:30.280 --> 01:54:31.280]  Yeah. OK.
[01:54:32.280 --> 01:54:38.280]  Well, I would say, I mean, probably one of my favorite breeders of all time is is Fletch from Archives.
[01:54:39.280 --> 01:54:43.280]  Just I want to I kind of have a different criteria of how I judge a breeder.
[01:54:44.280 --> 01:54:45.280]  There's a lot of cool dudes out there.
[01:54:46.280 --> 01:54:49.280]  There's a lot of, you know, not so cool breeders out there.
[01:54:49.840 --> 01:54:53.840]  And, you know, I'll judge people strictly on their genetics.
[01:54:54.840 --> 01:54:58.840]  And, you know, I don't stay out of the drama when it comes from person to person.
[01:54:59.840 --> 01:55:07.840]  You know, so that aside, I mean, I think when it comes to consistency of packs, stuff that I'm like, this is amazing.
[01:55:08.840 --> 01:55:12.840]  Like how I pop ten seeds and all ten of them are keepers.
[01:55:13.840 --> 01:55:15.840]  You know, Archive is one of the best.
[01:55:16.400 --> 01:55:20.400]  And, you know, it depends on time frame, too.
[01:55:21.400 --> 01:55:29.400]  Like rare Dageness seeds at one point, you know, ten years ago was dropping some of my favorite seeds that I've ever grown.
[01:55:30.400 --> 01:55:34.400]  And now, you know, it's not really making seeds as much anymore or whatever.
[01:55:35.400 --> 01:55:42.400]  And actually that that was why I asked my question about your different kind of your vision for your personal like.
[01:55:42.960 --> 01:55:54.960]  You know, percentage of revenue derived from different lines of business, because when I were supposed to have Scott reach on and when I talked to him before and will eventually have that episode.
[01:55:55.960 --> 01:56:02.960]  But when I talked to him, he was like, well, I don't like my breeding and genetics.
[01:56:03.960 --> 01:56:06.960]  Revenue is such a small portion of my business right now.
[01:56:07.960 --> 01:56:09.960]  And I was like, that's what I want to talk about.
[01:56:10.520 --> 01:56:14.520]  Because you've you started with one thing and that's what you were known for.
[01:56:15.520 --> 01:56:18.520]  But you're now doing eight other things and now they're all growing.
[01:56:19.520 --> 01:56:27.520]  And it's like, how do you how do you allocate capital to, you know, I only have so much capital and I want to chase this and I want to chase that.
[01:56:28.520 --> 01:56:30.520]  And like, I'm going to put it over here to grow that.
[01:56:31.520 --> 01:56:37.520]  And so to your point, like that's not the bulk of his business now.
[01:56:38.080 --> 01:56:43.080]  Oh, you know, and that's, you know, people change, you know, for whatever reason.
[01:56:44.080 --> 01:56:48.080]  You know, there's lots of things that can happen in your life and detour you from whatever your original goal was.
[01:56:49.080 --> 01:56:51.080]  You know, like me, genetics have always been the play.
[01:56:52.080 --> 01:56:53.080]  I think they will continue to be the play.
[01:56:54.080 --> 01:57:01.080]  You know, no matter who you are, you know, farmer at what scale, you're you're going to try to grow the fire when it comes to cannabis.
[01:57:02.080 --> 01:57:07.080]  You want that genetic that is just, you know, the thing that you want to smoke or the thing that is going to sell the best or whatever.
[01:57:08.080 --> 01:57:09.080]  You know, that's kind of going to continue to be my focus.
[01:57:10.080 --> 01:57:15.080]  Now, I don't, you know, I don't go to trade shows and, you know, walk away with mountains of cash.
[01:57:16.080 --> 01:57:18.080]  I'm not like that scale of a breeder.
[01:57:19.080 --> 01:57:20.080]  Not that I'm not making the seeds that I could do that.
[01:57:21.080 --> 01:57:29.080]  But, you know, I'm not a I don't market myself in such a way or go to a lot of those expos in the way that a lot of these guys do.
[01:57:30.080 --> 01:57:33.080]  You're not a capulator with lines around the corner.
[01:57:33.640 --> 01:57:34.640]  Not now.
[01:57:34.640 --> 01:57:44.640]  I will say that people that grab my seeds and pop them are extremely happy with, you know, all of their all the females they get and, you know, are happy with the quality overall.
[01:57:45.640 --> 01:57:51.640]  You know, but yeah, I mean, it's just because there isn't a line of 500 people that know who I am.
[01:57:52.640 --> 01:58:02.640]  That's why they're not waiting in line around the block, you know, and I didn't market a particular cut of my genetics in a way that.
[01:58:03.640 --> 01:58:13.640]  Everyone knew of my cut before they ever knew about my seeds, you know, so that's another way, another angle, you know, potentially, you know, but.
[01:58:14.640 --> 01:58:16.640]  You know, for me, genetics is a play.
[01:58:17.640 --> 01:58:19.640]  I'm, you know, the bulk of my capital is from consulting gigs.
[01:58:20.640 --> 01:58:30.640]  And eventually I would just I would like to just open breeding facilities and, you know, in from state to state in different legal markets.
[01:58:31.200 --> 01:58:38.200]  And, you know, provide I would love to be a nursery, you know, because it's, you know, it's a very gray area.
[01:58:39.200 --> 01:58:42.200]  Where would you want to what state would you want to open your first nursery in?
[01:58:43.200 --> 01:58:44.200]  I mean.
[01:58:47.200 --> 01:58:50.200]  That's a tough one, actually, because there's I mean, maybe.
[01:58:53.200 --> 01:58:54.200]  Maybe New York.
[01:58:55.200 --> 01:58:56.200]  Wow.
[01:58:56.200 --> 01:58:57.200]  I don't but I don't necessarily.
[01:58:58.200 --> 01:58:59.200]  I'm thinking markets.
[01:58:59.760 --> 01:59:03.760]  You know, I'm just thinking market, you know, up and coming markets, you know, that aren't already flooded.
[01:59:04.760 --> 01:59:08.760]  You know, obviously I could probably sell the most cuts if I went to California, but there's a ton of nurseries there that are doing great.
[01:59:09.760 --> 01:59:11.760]  You know, I could do the thing here in Colorado.
[01:59:12.760 --> 01:59:17.760]  There isn't that many nurseries, actually, of people that are just so, you know, Oklahoma.
[01:59:18.760 --> 01:59:19.760]  Oklahoma's really.
[01:59:20.760 --> 01:59:21.760]  Oklahoma's the Wild West.
[01:59:22.320 --> 01:59:23.320]  It is.
[01:59:23.320 --> 01:59:31.320]  And there's a lot of a lot of people just they have their big corporate cannabis and they don't want to take the time.
[01:59:32.320 --> 01:59:44.320]  You know, they would rather put the capital towards buying, you know, their cuts from a nursery versus popping their own seeds or, you know, dedicating square footage that isn't for flowering to something else like taking clones.
[01:59:45.320 --> 01:59:49.320]  You know, I mean, there's I think Oklahoma makes a lot of sense.
[01:59:50.320 --> 01:59:51.320]  I mean, I got family there.
[01:59:51.880 --> 01:59:53.880]  I've got land and stuff there, too.
[01:59:54.880 --> 01:59:57.880]  So it's you know, that would probably be one of the first steps.
[01:59:58.880 --> 01:59:59.880]  You know, the connections there run deep.
[02:00:00.880 --> 02:00:01.880]  So that would be a good spot.
[02:00:02.880 --> 02:00:06.880]  You know, I would love to, you know, start offering genetics.
[02:00:07.880 --> 02:00:09.880]  I mean, I just I would I love Colorado.
[02:00:10.880 --> 02:00:20.880]  I would like to just do this where I live and be able to legally provide genetics across the country without the kind of.
[02:00:21.880 --> 02:00:27.880]  You know, the play on the gray area situation would be would be the most ideal for me.
[02:00:28.880 --> 02:00:33.880]  But I do think, you know, just fledgling markets where people are, you know, just getting started.
[02:00:34.880 --> 02:00:40.880]  I think it's going to be right for the picking when it comes to starting nurseries and providing genetics that, you know, people need.
[02:00:41.880 --> 02:00:44.880]  You know, they need to put this new new on their shelf so that it can sell.
[02:00:45.880 --> 02:00:46.880]  And yeah.
[02:00:47.440 --> 02:00:50.440]  So, you know, that's that's kind of the goal.
[02:00:51.440 --> 02:01:00.440]  In terms of your breeding, like are you have your personal library and that's stuff you've read, stuff you've brought in from other people like.
[02:01:01.440 --> 02:01:03.440]  I have a fridge full. It's disgusting.
[02:01:04.440 --> 02:01:05.440]  Like I'm kind of a seed hoarder. Like it's gnarly.
[02:01:06.440 --> 02:01:10.440]  But but so are you still bringing in lots of new stuff?
[02:01:11.000 --> 02:01:20.000]  Are you like, let me just play with what I have for a while to kind of bring things that I already have in my own personal library in certain directions?
[02:01:21.000 --> 02:01:24.000]  Like I mean, who are you from the outside?
[02:01:25.000 --> 02:01:27.000]  Who are you bringing stuff in from the kind of.
[02:01:28.000 --> 02:01:33.000]  Karma Genetics is probably maybe maybe my favorite breeder of all time.
[02:01:34.000 --> 02:01:40.000]  This guy is right on line with, you know, the sours and the gas that, you know, like in seed form with his sours.
[02:01:41.000 --> 02:01:45.000]  And, you know, pretty much everything he makes is just it checks all my boxes.
[02:01:46.000 --> 02:01:49.000]  So Karma Genetics is my favorite breeder for sure.
[02:01:50.000 --> 02:01:59.000]  I mean, I love a lot of stuff that, you know, exotic genetics is bringing out as far as what I see in concentrate form.
[02:02:00.000 --> 02:02:02.000]  But I will admittedly I don't grow a lot of that stuff.
[02:02:02.560 --> 02:02:03.560]  I really like it.
[02:02:04.560 --> 02:02:11.560]  But for whatever reason, I just I don't spend a lot of capital on on brand new genetics right now.
[02:02:12.560 --> 02:02:13.560]  I have in the past.
[02:02:13.560 --> 02:02:15.560]  I have a ton of stuff in my vault.
[02:02:16.560 --> 02:02:18.560]  I've got a lot of Dungeons Vault genetic stuff.
[02:02:19.560 --> 02:02:21.560]  I have, you know, quite a bit of karma.
[02:02:22.560 --> 02:02:25.560]  There's some local breeders here that I don't even know if they're doing anything anymore.
[02:02:26.560 --> 02:02:27.560]  But nerds genetics.
[02:02:28.560 --> 02:02:29.560]  I don't know.
[02:02:30.120 --> 02:02:34.120]  I mean, I've got a lot of his gear that I've been impressed with so far.
[02:02:35.120 --> 02:02:43.120]  You know, I tend to lately, like in the last two years, I've been really diving deep on my own stuff.
[02:02:44.120 --> 02:02:53.120]  It's easy to pop someone's seeds and find a winner and then just cross that out with something else that I found in seed form.
[02:02:53.120 --> 02:02:54.120]  That's a winner.
[02:02:54.120 --> 02:02:58.120]  And I, you know, obviously I got my start doing that.
[02:02:58.680 --> 02:03:03.680]  And I still do it because I think it's fun recombining stuff that I love.
[02:03:04.680 --> 02:03:23.680]  But really, I've been focusing more on my own novel genetics and really taken the stuff that I've read and, you know, out crossing, in crossing, in breeding, back crossing, you know, doing a lot of the work to get my gear where I really want it to be.
[02:03:24.240 --> 02:03:35.240]  So I admittedly haven't been, you know, I haven't been buying a lot of seeds and I haven't been popping a lot of other people's gear other than literally like Karma's.
[02:03:36.240 --> 02:03:39.240]  Like every time I do a seed round, you know, I pop something of his.
[02:03:40.240 --> 02:03:45.240]  And, you know, good buddy, 303 Skywalker.
[02:03:46.240 --> 02:03:51.240]  I don't even know what his seed company is, but he's given me lots of seeds over the years.
[02:03:51.800 --> 02:03:54.800]  And, you know, there's a lot of fun stuff to play with in there too.
[02:03:55.800 --> 02:03:59.800]  So, you know, I'm trying to throw an outside breeder in when I do a seed pop.
[02:04:00.800 --> 02:04:02.800]  But really, I have so much gear that I've made.
[02:04:03.800 --> 02:04:08.800]  I'm talking like hundreds of strains that I'm really just, you know, I don't trust a lot of people with testing my gear.
[02:04:09.800 --> 02:04:12.800]  A lot of times I've given out a lot of seeds to folks.
[02:04:13.800 --> 02:04:17.800]  I mean, just retarded amounts of seeds to people that are so-called testers.
[02:04:18.800 --> 02:04:20.800]  And I never received any feedback whatsoever.
[02:04:21.800 --> 02:04:27.800]  So I've just found that, you know, if I'm going to see what my gear has to offer, I'm going to grow it myself.
[02:04:28.800 --> 02:04:33.800]  I'm going to grow it in a system that I know I'm breeding it in so that I can really see what it can do.
[02:04:34.800 --> 02:04:38.800]  So I've been dedicating a lot of my energy and time into popping my own seeds,
[02:04:39.800 --> 02:04:44.800]  furthering lines that I really like and I think have potential for whatever reason.
[02:04:45.800 --> 02:04:48.800]  And just kind of go in that route as a reason.
[02:04:51.800 --> 02:04:55.800]  One of the things that separates Greg and Genome Alchemy from a lot of breeders,
[02:04:56.800 --> 02:05:02.800]  these hype breeders that come on the scene and fall off real quick is Greg's backcrossing and actually breeding.
[02:05:03.800 --> 02:05:07.800]  It's a lot of work, man. It takes years to get a gene.
[02:05:08.800 --> 02:05:11.800]  I've been working on this Panama Red strain.
[02:05:12.800 --> 02:05:14.800]  I got Panama Red across to a Jedi Cush back in 2012.
[02:05:15.800 --> 02:05:16.800]  And I'm still working on the strain.
[02:05:17.800 --> 02:05:20.800]  I release it here and there when I find some generations that are amazing.
[02:05:21.800 --> 02:05:24.800]  It's still a work in progress eight years later.
[02:05:25.800 --> 02:05:31.800]  So it's like when someone says, I'm going to do a new drop of Gen-X, I just made these seeds.
[02:05:32.800 --> 02:05:36.800]  And then they're available on the market for someone to buy four months later, six months later.
[02:05:37.800 --> 02:05:40.800]  In my opinion, it's super rushed.
[02:05:41.800 --> 02:05:48.800]  And I think that it probably hasn't been developed as far as it could be.
[02:05:49.360 --> 02:05:50.360]  So that's obviously my opinion.
[02:05:51.360 --> 02:05:52.360]  A lot of people work with a lot of people.
[02:05:53.360 --> 02:05:56.360]  And the more gardens that you work in, you can get your genetics popped.
[02:05:57.360 --> 02:06:01.360]  And you can see generations on generations and really do some proper selection.
[02:06:02.360 --> 02:06:05.360]  But I do it all myself.
[02:06:06.360 --> 02:06:07.360]  So it takes a long time.
[02:06:08.360 --> 02:06:11.820]  But I appreciate that.
[02:06:12.820 --> 02:06:15.820]  When I was first starting out, there was Ben Holmes.
[02:06:16.820 --> 02:06:17.820]  Are you familiar with that dude here in Colorado?
[02:06:18.380 --> 02:06:21.380]  He did a lot of the Centennial seeds.
[02:06:22.380 --> 02:06:27.380]  A lot of my hemp lines are from his genetics.
[02:06:28.380 --> 02:06:29.380]  We used to sell his seeds.
[02:06:30.380 --> 02:06:33.380]  Centennial seeds, I never see that dude's gear anymore.
[02:06:34.380 --> 02:06:37.380]  He had so many herding problems.
[02:06:38.380 --> 02:06:40.380]  A lot of his stuff.
[02:06:40.940 --> 02:06:46.940]  We were selling all those seeds at Highland Health.
[02:06:47.940 --> 02:06:48.940]  I was there.
[02:06:49.940 --> 02:06:50.940]  Absolutely.
[02:06:51.940 --> 02:06:54.940]  There were a bunch of herding issues with those seeds.
[02:06:55.940 --> 02:06:57.940]  But Ben's still around, for sure.
[02:06:58.940 --> 02:07:03.940]  A lot of his CBD stuff has been foundational for pushing high-CBD cannabis.
[02:07:04.940 --> 02:07:05.940]  Yeah, he's been crushing.
[02:07:06.940 --> 02:07:08.940]  Everyone knows about Auto, too.
[02:07:09.500 --> 02:07:10.500]  That was Centennial.
[02:07:11.500 --> 02:07:14.500]  Every hemp grower has grown that stream.
[02:07:15.500 --> 02:07:16.500]  Or has at least heard of it.
[02:07:17.500 --> 02:07:18.500]  I respect that dude.
[02:07:19.500 --> 02:07:21.500]  There was a bushy old guy, Bog Seeds.
[02:07:22.500 --> 02:07:23.500]  Yeah, a bushy old grower.
[02:07:24.500 --> 02:07:26.500]  Blue Moon Rocks was something that I was hyped.
[02:07:27.500 --> 02:07:30.500]  We nicknamed it the mortgage bearer because I felt like it was true.
[02:07:31.500 --> 02:07:35.500]  When we started cultivating with the living soil, I felt like the full expression started to come out.
[02:07:36.060 --> 02:07:39.060]  That was when I felt like I started to understand more what was going on.
[02:07:40.060 --> 02:07:43.060]  I used to grow LSD from Kimbo Kush.
[02:07:44.060 --> 02:07:45.060]  That's a long time ago.
[02:07:46.060 --> 02:07:47.060]  I think it was the Kimbo Kush cross.
[02:07:48.060 --> 02:07:51.060]  Everyone's a breeder these days.
[02:07:52.060 --> 02:07:55.060]  I tend to gravitate towards the people that are still doing it.
[02:07:56.060 --> 02:07:57.060]  Not the one-offs.
[02:07:58.060 --> 02:07:59.060]  Yeah.
[02:08:00.060 --> 02:08:03.060]  I personally got to give a shout out to Duke Diamond.
[02:08:03.620 --> 02:08:06.620]  I feel like that gentleman has always been really nice to me.
[02:08:07.620 --> 02:08:10.620]  I feel like he's always gone out of his way to show respect.
[02:08:11.620 --> 02:08:16.620]  A lot of those breeders at that level, let's be honest, behind the scenes, just aren't that way.
[02:08:17.620 --> 02:08:22.620]  I feel like if someone's showing that much respect to everyone, it seems like,
[02:08:23.620 --> 02:08:27.620]  I want to run through their gear just because I feel like that person...
[02:08:28.620 --> 02:08:30.620]  I really don't know how to describe this.
[02:08:31.180 --> 02:08:33.180]  I feel like when someone carries themselves the way they have,
[02:08:34.180 --> 02:08:35.180]  the history that they have on themselves,
[02:08:36.180 --> 02:08:40.180]  and the gear that they're trying to pump out, usually for about $100.
