[00:14.590 --> 00:18.410]  Like reggae till they bantz down a couple times. I swear it's fucking
[47:18.050 --> 47:22.410]  Jesse knows the wild wild west real well good old days grow the quarter pounds and the houses
[47:22.690 --> 47:28.170]  Rent other houses grow weed in there take that weed to shops and sell it to the shop straight up for cash
[47:28.170 --> 47:33.050]  I'd walk in with the backpack full of pounds if I had a variety if I had five or six quarter pounds I could sell
[47:33.050 --> 47:38.750]  All of those quarter pounds for like seven hundred seven fifty a quarter pound dude and walk out with cash back in the day
[47:38.750 --> 47:42.650]  there was a handful of shops here in town and in the area that
[47:44.810 --> 47:47.050]  Really I guess only one of them survived but
[47:48.690 --> 47:50.410]  Well, too
[47:50.410 --> 47:52.170]  but
[47:52.850 --> 47:55.450]  You know, that's they didn't have girl rooms
[47:56.730 --> 48:01.330]  They got stuff from guys like me and Jeff. Yeah, it was totally legal at the time
[48:01.330 --> 48:03.330]  I had a job that was all you know
[48:03.530 --> 48:09.290]  Medical and it isn't that what people just went out and got their red cards and they you know, that's that's what they did
[48:09.290 --> 48:15.410]  Yeah, but in that kind of squeezed the gray market here. Did it not like in town just because it was accessible
[48:15.930 --> 48:21.210]  When inside city limit we made our dispensary public. We had a dispensary that we kept slightly private
[48:21.210 --> 48:25.050]  We didn't let a lot of people know about it was in a little kind of thing and private clubs or nothing
[48:25.050 --> 48:30.810]  No, but eventually we decided let's take this to the bigger big room in our retail store and just kind of show that this
[48:30.810 --> 48:32.090]  Is what we're doing?
[48:32.090 --> 48:34.490]  We drop prices in this town dramatically
[48:35.250 --> 48:39.130]  It was 400 bucks an ounce for any kind of kind bud for a while around here
[48:39.850 --> 48:47.170]  About 10 years ago 10 or 12 years ago 400 bucks an ounce. That's our diesel that we smoke 400 bucks an ounce dude for 28 grams
[48:47.170 --> 48:48.490]  No love
[48:48.490 --> 48:52.170]  You'd sell it for 60 bucks an eighth and they'd be 3.4. You know what I mean?
[48:52.170 --> 48:52.850]  Yeah
[48:52.850 --> 48:54.570]  No love on that bag at all
[48:54.570 --> 49:01.010]  And then we got the shop going and when we first did it ounces were 350 just to keep us in business because we were
[49:01.010 --> 49:01.770]  Selling out, you know
[49:01.770 --> 49:08.250]  and then we had we had a big outdoor harvest and we dropped down ounces down to 320 and then our patients were paying 280 and
[49:08.290 --> 49:09.570]  then
[49:09.570 --> 49:12.810]  We were seeing better quality because a lot of our stuff was outdoor
[49:12.810 --> 49:18.210]  We're growing a large outdoor and we saw the competitors the two shops that are still around. They were getting good indoor
[49:18.610 --> 49:22.650]  And stuff I couldn't grow enough to keep it on our shelves. We had a downtown location. We're banging
[49:22.650 --> 49:27.970]  Yeah, so we dropped prices to 200 bucks an ounce at one point and that fucked up the whole town
[49:27.970 --> 49:31.330]  I was getting hate mail hate calls death threats
[49:31.330 --> 49:36.290]  Like people were mad at me because I was the one I was the face of that shop. They thought it was all me
[49:37.050 --> 49:39.850]  Kind of was but yeah, we pissed off the town and drop prices now
[49:39.850 --> 49:44.970]  Hey, now you can go score a good ounce in this town for 200 bucks and people still want to find cheaper ounces
[49:44.970 --> 49:48.190]  They're out there. But for the good dank, it's about dispensary prices usually
[49:48.770 --> 49:54.770]  You know depending on where you go. It's about 450 and ounce right now at the spot. I think for a good day counts
[49:55.650 --> 49:59.450]  They got some good Durban poison though. I would if I had to smoke one, that's what I'd go for
[50:01.090 --> 50:04.450]  One more news article I mentioned the part about Seth Rogen we may get to that
[50:04.450 --> 50:07.990]  We may not you guys Seth Rogen wanted to come to Denver and do a smokeout for his new movie
[50:08.010 --> 50:12.090]  They wouldn't let him smoke. That's kind of the quick version. You can't smoke in a public place anymore
[50:12.090 --> 50:14.890]  He had to serve tequila shitty. Alright, so this one is cool
[50:15.530 --> 50:17.530]  Department of Justice ruling
[50:18.210 --> 50:21.210]  Yeah, sorry, go ahead. We'll get we'll get we'll try to read that one
[50:21.210 --> 50:24.890]  We will since you just said that Indian tribes can legalize pot on their lands
[50:25.250 --> 50:29.250]  Then the sub headline if tribes can balance all the potential social issues
[50:29.330 --> 50:35.690]  It could be a really huge opportunity says Seattle attorney Anthony Broadman whose firm represents tribal governments throughout the West
[50:36.090 --> 50:42.610]  So this article was published on December 11th, it's written by Jeff Bernard and go see oh was Nakia from the Associated Press
[50:43.610 --> 50:50.410]  It says the US Department of Justice said Thursday that American Indian tribes can grow and sell marijuana on their lands as long as they follow
[50:50.410 --> 50:53.770]  The same federal conditions laid out for states that have legalized the drug
[50:54.330 --> 51:01.670]  Oregon US Attorney Amanda Marshall said Thursday the announcement addresses questions raised by tribes about how legalization of pot in states like Oregon
[51:01.690 --> 51:04.250]  Washington and Colorado would apply to Indian lands
[51:05.250 --> 51:11.290]  Only three tribes have expressed interest in growing and selling marijuana said Marshall who co-chaired a group that developed the policy
[51:11.370 --> 51:16.550]  One is in California one in Washington and one state in the Midwest that she did not name
[51:17.130 --> 51:22.330]  That's been the primary message tribes are getting to us as US attorneys Marshall said from Portland
[51:22.490 --> 51:28.970]  What will the US as federal partners do to assist tribes in protecting our children and families our tribal businesses our tribal housing?
[51:28.970 --> 51:36.170]  How will you help us combat marijuana abuse in Indian Country or Indian County when states are no longer there to partner with us?
[51:37.610 --> 51:39.770]  Marijuana abuse do you guys see a lot of that?
[51:41.810 --> 51:43.810]  Over here. Yeah a lot of
[51:44.850 --> 51:49.530]  Yeah, because you just like fucking all that that four grams the scissor hash. I don't need that
[51:50.050 --> 51:57.450]  Throw that in the trash. I that makes me laugh because I'm thinking about what comical does get abused on Indian reservations
[51:57.970 --> 52:03.570]  Well, I was gonna ask you how do you feel about that too, you know since they're allowed to do everything that they're you know
[52:03.650 --> 52:06.490]  Now they're they're making money in collecting
[52:07.250 --> 52:10.210]  Tax for the state but that all that land is tax-free
[52:10.690 --> 52:16.250]  Like I don't I'm with that, you know, like we've fucking stolen the whole West from them, but
[52:17.410 --> 52:19.410]  like
[52:19.450 --> 52:24.610]  If you're gonna make money it but if you're gonna sell it to the public as like Indian grown herb
[52:25.410 --> 52:30.370]  You should at least pay tax on the land that's it's doing that, you know, I'm saying like it for your plot
[52:30.370 --> 52:34.130]  I don't really approaches that I'm sure the state would still require
[52:34.130 --> 52:38.490]  They're definitely gonna take taxes for the herb, but not for the for the land. You can't retax
[52:38.490 --> 52:41.610]  Oh, that's the whole problem with having an Indian business on
[52:42.170 --> 52:45.410]  Land though is that's that's the fight. They've been fighting for many years is
[52:46.050 --> 52:49.010]  They won't let them have any kind of businesses on there. That's gonna
[52:49.010 --> 52:53.890]  Prove profitable, you know when they open a casino or something like that. It's not on Indian land. It's on
[52:54.810 --> 52:59.530]  You know some outskirt land that they've had to buy like separately and pay land tax on
[52:59.930 --> 53:05.170]  That's that's been one of the large arguments that I've I've at least seen over the past couple years
[53:05.170 --> 53:09.610]  I don't know enough about that to argue you. All right, so you want all right? No, I was asking you good job
[53:10.530 --> 53:16.010]  I'm giving you credit the southern boy just made a point. Maybe 44 44
[53:16.170 --> 53:18.970]  44 44 getting it done
[53:20.330 --> 53:26.010]  Episode 44 hot because it sounds like we're razzing each other. We just are cuz we're bros. Sorry. Don't get mad at us
[53:26.010 --> 53:28.270]  No, I'm gonna give him a fucking wedgie in a minute
[53:28.270 --> 53:32.890]  Whoa, so hard that you can read Haynes on his forehead. You ever had that kind just pull it up right over your forehead
[53:33.170 --> 53:35.170]  Took a shoe in the back
[53:37.330 --> 53:43.530]  Could be really weird for you ladies and gentlemen, this is the episode with too much information. Yeah. All right
[53:43.530 --> 53:46.250]  I'm gonna try to read this article with the throw-up. That's in my mouth
[53:47.410 --> 53:48.730]  Marshall warned
[53:48.730 --> 53:55.810]  The warned the announcement is not a green light to tribal authorities and that marijuana is still illegal under federal law the US government's prosecution
[53:56.250 --> 54:01.090]  Priorities involve pot related gang activity violence sales to kids and trafficking will continue
[54:01.090 --> 54:07.850]  She said problems could arise for tribes with lands in states that still outlaw marijuana due to the likelihood that marijuana could be
[54:07.970 --> 54:10.250]  transported or sold outside tribal boundaries
[54:10.250 --> 54:17.730]  She added Seattle attorney Anthony Broadman whose firm represents tribal governments throughout the West said the announcement represents a potential for enormous
[54:17.970 --> 54:20.050]  economic developable development tool here
[54:21.010 --> 54:26.770]  Yeah, if tribes can balance all the potential social issues. It could be a really huge opportunity gonna have to pay
[54:26.770 --> 54:28.210]  I think they'll be able to handle it
[54:28.210 --> 54:31.650]  There's a I want to read this one next paragraph and then I can rant on the part
[54:31.650 --> 54:37.130]  That's the elephant in the room, but those social issues are monumental Indian tribes have been decimated by drug abuse
[54:37.290 --> 54:45.010]  Broadman said tribal regulations of pot are going to have to dovetail with tribal values making sure marijuana isn't a scourge like alcohol
[54:45.010 --> 54:46.650]  or tobacco
[54:46.650 --> 54:48.010]  All right
[54:48.010 --> 54:53.370]  I'm gonna sound racist. Maybe generalization. We all know that natives have trouble with alcohol
[54:53.810 --> 54:57.410]  Not all of them, but the ones that do really fucking do
[54:58.810 --> 55:03.710]  Alcohol is a horrible thing that ruins tons of lives not just Native Americans
[55:04.150 --> 55:10.470]  The problem is that you concentrate them in one area and then you look at them from afar and then you notice
[55:11.270 --> 55:14.830]  similarities and stereotypes just as in any race or
[55:16.030 --> 55:20.310]  Okay
[55:20.310 --> 55:23.730]  How is herb gonna be a big problem on a I'm frustrated. I'm
[55:26.070 --> 55:28.070]  We've seen that it works
[55:29.590 --> 55:35.430]  Washington hasn't blown up yet. Let's try to replace the alcohol abuse on the reservation with some cannabis enjoyment
[55:35.910 --> 55:39.710]  Maybe the problems that are associated with alcohol abuse. I've got a whole list of
[55:40.470 --> 55:45.710]  Podcast planned we could talk about for I got five. Do not look at Alaska almost in that same way. I mean
[55:51.670 --> 55:53.670]  Like Alaska, Utah, Arizona
[55:54.990 --> 55:56.990]  New Mexico, Oklahoma
[55:57.030 --> 56:00.590]  Colorado all those tribes like I mean really really bad problems
[56:00.870 --> 56:06.350]  Or I mean not sound like a dick but I mean I've been around a reservation or two so
[56:07.830 --> 56:11.550]  But yeah, no, I just I think it'd be an awesome development thing for
[56:12.750 --> 56:17.110]  Economical development for sure and they're fucking right getting back to the land. I mean, yeah
[56:17.110 --> 56:17.710]  Yeah, all right
[56:17.710 --> 56:20.510]  So let's read about these taxes part the tax bar here says tribe selling
[56:20.830 --> 56:27.190]  Marijuana may not be subject to state and local taxes allowing them to undercut off reservation sales. Also, maybe not
[56:27.590 --> 56:29.590]  In
[56:30.310 --> 56:36.150]  Washington taxes at 25% of the price of pot also in Colorado, but Allison Holcomb Holcomb
[56:36.150 --> 56:36.390]  Yeah
[56:36.390 --> 56:43.190]  I said that right a primary drafter of Washington state's legalization measure said most people in larger states won't want to drive to far-flung
[56:43.390 --> 56:46.950]  Reservations to buy pot you're crazy dude. Imagine that Indian dank weed
[56:47.070 --> 56:53.110]  What was the was it here on the podcast that we had the statistic where we got 30 million dollars just in recreational sales
[56:53.830 --> 56:59.110]  Year that came from out of state or 70% of that came from out of state and then every time I go in and talk
[56:59.110 --> 57:01.110]  To the security guard at any dispensary
[57:01.630 --> 57:05.790]  Texas fucking Texas. I guarantee you 50% of that was, Texas
[57:06.270 --> 57:11.670]  I'm gonna go kind of fast because we're approaching an hour the yukama nation. I said that wrong Yakima nation
[57:11.670 --> 57:16.950]  Sorry, I apologize in Washington State recently passed a ban on marijuana on the reservation and is trying to halt state-regulated
[57:17.230 --> 57:21.990]  Pot sales and grows on lands off the reservation where it still holds hunting and fishing rights
[57:22.470 --> 57:25.390]  So they don't want you growing where they can hunt and fish with I can
[57:26.590 --> 57:28.910]  Actually a conflict with that or if it's just
[57:29.630 --> 57:34.310]  Politics just politics. You don't want to find our botanic air bottles in their hunting grounds. Well, yeah
[57:34.310 --> 57:38.230]  No, no, I just I wonder if there's actually anyone that wants to grow in their hunting grounds
[57:38.230 --> 57:46.070]  It actually says the hoop of Valley tribe in Northern California has battled illegal pot plantations on its reservation where they cause environmental damage
[57:46.150 --> 57:48.670]  But you know, that's illegal at any rate. There are
[57:49.430 --> 57:53.750]  566 tribes around the country recognized. I'm gonna go fast and scam recognized by federal government
[57:53.950 --> 57:55.670]  There's gonna be a lot of consulting happening
[57:55.670 --> 58:01.830]  Yes for sure limited resources in a vast amount of territory to cover federal prosecutors will not prosecute minor cases. Yay
[58:02.670 --> 58:10.310]  Tribal policy is based on the so-called coal memo named after the deputy attorney general who wrote it in which Justice Department said the federal
[58:10.310 --> 58:12.070]  government wouldn't intervene as long as
[58:12.070 --> 58:18.830]  Specialization states tightly regulate the drug and take steps to keep it from children criminal cartels and federal property in all the memo
[58:19.190 --> 58:23.190]  Said US attorneys reserve the right to prosecute for eight issues sales to kids
[58:23.830 --> 58:30.590]  Marijuana proceeds going to criminal enterprises shipping marijuana to other states where it is illegal guys quit doing that shit
[58:31.310 --> 58:36.070]  Illegal sales news about that firearms and violence drug driving and other health issues
[58:36.350 --> 58:41.190]  growing marijuana on public lands and possession of marijuana on federal property, so
[58:41.910 --> 58:46.870]  Hopefully eventually they're gonna let the Indians the natives you guys the natives will be able to grow on
[58:47.270 --> 58:53.950]  Their land and maybe have their own Indian dispensary. I think they grow some dank, bro. That's what they do. They're an agricultural
[58:55.350 --> 58:58.670]  Yeah, they're agricultural people they would make the dank
[58:58.670 --> 59:02.510]  I'm sure there would maybe ones that would abuse it just like anywhere else
[59:02.510 --> 59:05.670]  But for the most part I bet they would be real respectful about it
[59:05.670 --> 59:09.990]  you know I'm saying I mean that's if you have they not have they not like use that as
[59:10.950 --> 59:13.950]  Ceremonial or I mean I I don't know what they use
[59:13.950 --> 59:18.950]  I'm sure if you gave it to him it'd be the perfect thing. That's what the Ross does use for meditation for a reason yeah
[59:19.670 --> 59:25.630]  I don't think that it was around, but you know to be a more modern. It was wild in Iowa
[59:25.630 --> 59:30.310]  You know like you want to get technical the three of us abuse cannabis
[59:30.950 --> 59:36.130]  Yeah, like if we say we're medical patients that's a dab. We just took was way beyond medicine now
[59:37.110 --> 59:39.110]  first
[59:39.990 --> 59:41.990]  Stress
[59:41.990 --> 59:45.910]  We are look at the problems. We're causing we're loudmouths with microphones
[59:45.910 --> 59:50.310]  I mean like I had to take a nap on the couch the other night because I took too many dabs like
[59:50.630 --> 59:53.870]  If it had been whiskey or something like that you know
[59:54.830 --> 59:58.670]  Yeah, I mean yeah, you'd have thrown up. We'd have fucking trash everywhere
[01:00:00.190 --> 01:00:04.750]  Yeah, all right, so I'm gonna quickly. Yeah, we're gonna go over an hour guys. I hope you can stick with us
[01:00:04.750 --> 01:00:08.630]  Thanks for hanging in for the random chatter episode which is my what might be what I name it
[01:00:09.030 --> 01:00:11.290]  So Seth Rogan, I've got two articles here
[01:00:11.290 --> 01:00:15.270]  There was an article posted on December 8th, and then there's a follow-up article posted
[01:00:15.310 --> 01:00:21.710]  Let me click it to read the next date this one came out December 9th, so the night of the 8th must have been the event
[01:00:22.350 --> 01:00:26.070]  Seth Rogan says he will this is from Ricardo Baca Baca at the cannabis
[01:00:26.310 --> 01:00:32.150]  Seth Rogan says he will screen his new film Monday night in a Denver movie theater filled with marijuana smoke and hundreds of his fans
[01:00:32.150 --> 01:00:37.550]  But will movie theater hotbox actually happen while Rogan has said he thinks it should happen the city of Denver's
[01:00:37.590 --> 01:00:42.950]  Executive director of marijuana policy thinks the screening should obey Colorado law sans the marijuana smoke
[01:00:44.950 --> 01:00:46.950]  So he planned on
[01:00:46.950 --> 01:00:53.310]  Debuting his new movie at the Oriental Theatre, and he tweeted about it actually he said we're gonna all get stoned in the theater
[01:00:53.310 --> 01:00:58.190]  And that was kind of a bad idea because that can't really happen because of the rules here in Colorado
[01:00:58.190 --> 01:01:00.110]  They are super strict about that kind of shit
[01:01:00.110 --> 01:01:03.910]  So first Rogan started tweeting about getting high inside the Colorado theater with his fans
[01:01:04.230 --> 01:01:05.870]  Then the host venue
[01:01:05.870 --> 01:01:11.510]  The Psy Film Center on East Colfax Avenue contacted Sony to tell them the audience couldn't light up inside their spaces
[01:01:11.510 --> 01:01:16.110]  It would be against Colorado law then Sony told the film center the evening was no longer happening
[01:01:16.110 --> 01:01:22.110]  The cannabis cannabis reported that Rogan responded via Twitter that a Colorado screening would still happen only at a different theater
[01:01:22.190 --> 01:01:25.470]  The old video is acting lame, so we got a new one Rogan tweeted
[01:01:25.870 --> 01:01:29.590]  So where will Rogan land tonight and remember this is from a few nights ago
[01:01:30.150 --> 01:01:36.150]  The Oriental Theatre owner Scott Labrera who dude we've had some rage and dab parties in the Oriental Theatre
[01:01:36.150 --> 01:01:39.310]  That's where the first dabs of Denver event was it's where the secret cup used to be held
[01:01:39.670 --> 01:01:45.550]  There's a video on the I read genetics YouTube channel of me taking a fat dab inside
[01:01:45.550 --> 01:01:47.550]  So the first dab in there as far as I know
[01:01:48.070 --> 01:01:50.070]  Started that party up with a big old dab
[01:01:50.110 --> 01:01:57.110]  So then he says tonight's video is private and closed to the general public and two promoters who regularly booked the North Denver room
[01:01:57.790 --> 01:02:03.830]  For a pot friendly comedy shows confirmed that Rogan screening is scheduled to happen there on Monday night
[01:02:04.150 --> 01:02:10.910]  So it's at the Oriental Theatre owner of Denver pot shop Denver relief and comedy production group sexbot comedy told the cannabis
[01:02:10.950 --> 01:02:14.030]  We don't know if there will be any sort of consumption or anything
[01:02:14.470 --> 01:02:16.470]  I'm gonna skip a couple of things
[01:02:16.870 --> 01:02:20.750]  We're gonna scroll through so he was planning to come and watch this new movie
[01:02:20.750 --> 01:02:24.510]  Which I still haven't read the name of they have not advertised the name of his movie in this article at all
[01:02:25.110 --> 01:02:28.990]  Isn't it the interview? I think so looks hilarious. I
[01:02:29.990 --> 01:02:32.630]  Don't watch TV, so I don't see the commercial story
[01:02:32.630 --> 01:02:36.750]  So there's no provision in amendment 64 for the on-premise consumption of marijuana
[01:02:36.870 --> 01:02:41.750]  Kilroy said that could have been put in amendment 64, but it wasn't so the voters did not vote for it
[01:02:41.750 --> 01:02:47.110]  So Kilroy said the Denver Police Department and the city's Department of Excise and License have historically contacted
[01:02:47.470 --> 01:02:51.350]  businesses advertising pot friendly parties ahead of time to talk about potential violations
[01:02:51.590 --> 01:02:55.790]  We've educated people on what the law is said Kilroy and we've gotten compliance generally
[01:02:55.950 --> 01:03:00.550]  When asked if they were aware of Rogan's event and without even mentioning the Oriental as a possible location
[01:03:01.110 --> 01:03:06.870]  Kilroy's office told the cannabis that Denver police would reach out to the Oriental Theatres owners sometime Monday
[01:03:06.990 --> 01:03:12.350]  So that was the original article. He was gonna come he was gonna puff, right? So on the next
[01:03:12.990 --> 01:03:14.990]  publishing day the 9th
[01:03:15.030 --> 01:03:18.510]  Jack Brown from the cannabis said his article article highline
[01:03:18.510 --> 01:03:21.990]  No, we'd plenty of tequila at the interview in Denver with Seth Rogen
[01:03:22.150 --> 01:03:27.030]  So there was one thing everyone could smell Monday night at the Denver screening of the interview
[01:03:27.710 --> 01:03:32.970]  Tequila, so that sucks dude. They had to not puff and they had to serve tequila
[01:03:33.510 --> 01:03:39.950]  What would happen if we replaced every dab we've taken on the podcast and before the podcast with a shot of tequila?
[01:03:39.950 --> 01:03:41.190]  How do you think our night would have gone?
[01:03:41.750 --> 01:03:48.030]  Probably pissed myself by now and thrown up somewhere because that's what tequila makes me do I would have been really mad and violent, right?
[01:03:48.030 --> 01:03:49.430]  Yeah
[01:03:49.430 --> 01:03:52.750]  You honestly you think you give me shit about dabs, dude
[01:03:52.990 --> 01:03:57.650]  I'm even more of a pussy when it comes to liquor beer I can I can deal with but
[01:03:58.630 --> 01:04:01.870]  You don't have to be not being able to drink tequila does not mean you're a pussy
[01:04:02.990 --> 01:04:06.390]  So this guy with my old lady pounds the rest of the bottle. Yeah
[01:04:06.910 --> 01:04:08.910]  Yeah
[01:04:09.110 --> 01:04:10.910]  Yeah, yeah, let's not bring her into this
[01:04:10.910 --> 01:04:11.310]  All right
[01:04:11.310 --> 01:04:15.350]  So the article goes on it says when I ran into Rogan on the top floor of the theater in Northwest Denver
[01:04:15.350 --> 01:04:20.270]  He was adamant that the show was not how he imagined how he had imagined the December 8th event
[01:04:20.270 --> 01:04:23.990]  Which had been hyped by Rogan on social media as a 420 friendly affair
[01:04:24.150 --> 01:04:26.830]  The city said they shut us down if there was any smoking
[01:04:26.830 --> 01:04:30.790]  He said with the bottle of Juarez tequila in hand, but I can't control what you guys do
[01:04:31.590 --> 01:04:37.910]  Says Rogan couldn't maybe but Rogan couldn't but maybe the what's that cadre cater?
[01:04:37.910 --> 01:04:45.150]  I've never seen that word the big-ass group of secret service as security personnel definitely enforced the Colorado clean indoor air rules
[01:04:45.550 --> 01:04:49.470]  Asking several people in my section to leave during the screening for using vape pens
[01:04:49.750 --> 01:04:55.270]  There were also rumored to be a number of undercover police officers in the crowd in case there was any smoking taking place
[01:04:55.630 --> 01:05:00.430]  As this is the shit that happened in Colorado. You think you're gonna go somewhere and puff. You're not careful, dude
[01:05:00.430 --> 01:05:02.430]  It's not gonna happen at the Oriental Theatre
[01:05:03.470 --> 01:05:08.310]  Places it does happen at we keep our mouth shut about cuz I like doing it there. That's kind of true
[01:05:09.910 --> 01:05:13.290]  You don't see pictures of people standing around in circles and sidewalks
[01:05:13.290 --> 01:05:16.790]  You know like it's just not something that we take pictures of if you're here
[01:05:16.790 --> 01:05:20.390]  And you're cool, and we know you and stuff hold a grab you and take you to a place don't be shy
[01:05:20.390 --> 01:05:24.150]  Well, you'll definitely come with us. You know the cops don't go in the mountains here
[01:05:25.510 --> 01:05:28.550]  Don't blow our dab spots. We found some really cool adventurous
[01:05:29.150 --> 01:05:35.550]  So as the duo took stage Rogan started things off by saying fuck the police which elicited big cheers from the pro pot crowd
[01:05:35.870 --> 01:05:43.390]  Audience questions range from actual threats by North Korea over the film because Rogan having North Korea threatened nuclear war is not ideal yet
[01:05:43.390 --> 01:05:45.310]  We won't even go into that part
[01:05:45.310 --> 01:05:47.950]  So Rogan made sure to correct a question about smoking bowls
[01:05:47.950 --> 01:05:50.330]  He said first I smoke joints five to seven a day
[01:05:50.470 --> 01:05:57.550]  But on a night that was light on both joints and bowls more were left simply handing him various pot products for later
[01:05:57.910 --> 01:06:02.150]  In the state that is famously that famously legalized it most of the weed smoking
[01:06:03.110 --> 01:06:04.630]  cerebrity shiz
[01:06:04.630 --> 01:06:08.910]  Cerebrity shiz Lee that's a good fucking word took place in a side alley next to the theater
[01:06:08.910 --> 01:06:16.310]  Maybe next year Rogan exclaimed the way things are trending with pot consumption enforcement perhaps next year looks even worse
[01:06:17.990 --> 01:06:22.910]  Yeah, they're really cracking down we can't puff here in Colorado you have to be in a private house
[01:06:22.910 --> 01:06:25.950]  They want you at home smoking your pot. It's pretty much the only place
[01:06:26.950 --> 01:06:30.950]  Which there are a few hotels, sorry that advertised for 24
[01:06:30.950 --> 01:06:35.150]  Yeah, they do our favorite hotel that we drive past that we see that advertised
[01:06:35.910 --> 01:06:40.390]  It's in Manitou Springs. It's right outside of Manitou as we head back from the Monta factory
[01:06:40.390 --> 01:06:44.150]  You see the 420 friendly sign they've taken down the 420 friendly part
[01:06:46.150 --> 01:06:52.030]  They're probably still 420 friendly, but they probably had to just quit advertising such just to keep themselves out of trouble. Yeah
[01:06:52.510 --> 01:06:54.790]  Yeah the micro till
[01:06:55.510 --> 01:06:59.830]  Micro-tell here in Pueblo is for yeah. Yeah, they are. I've got a friend that works over there
[01:06:59.830 --> 01:07:03.230]  What's up D if you're listening shout out bro shout out to big D and little D
[01:07:03.950 --> 01:07:07.990]  Yeah, I think we stayed there when we first got over this way
[01:07:08.110 --> 01:07:11.710]  They only have a couple rooms that are actually 420 friendly
[01:07:12.150 --> 01:07:19.750]  Right if you just ask I mean and if they say no, then there's there's measurements to take but yeah
[01:07:20.430 --> 01:07:22.590]  All right guys, it looks like it's about time to wrap up the show
[01:07:22.590 --> 01:07:25.750]  We've been going for an hour and seven minutes. I hope your ADD didn't kick in
[01:07:25.750 --> 01:07:27.430]  I hope you made it through the whole show
[01:07:27.430 --> 01:07:30.230]  Don't forget to check out all of our sponsors guys pretty soon
[01:07:30.230 --> 01:07:35.270]  We'll have King Cola back on the show to talk more about organics. We have a couple questions about map and DAP for him
[01:07:35.870 --> 01:07:37.870]  We're gonna do eventually
[01:07:38.190 --> 01:07:43.030]  We're gonna do an additives lesson. I promise you since I have taken this new job at the spot being the master grower
[01:07:43.030 --> 01:07:46.590]  I do promise you that it will not deter or detract from the podcast
[01:07:46.590 --> 01:07:48.990]  We're still gonna do our best to put out kick-ass podcasts
[01:07:48.990 --> 01:07:54.270]  It may actually help me do some hydro lessons for you because everything we're doing there is on large-scale commercial hydro
[01:07:54.270 --> 01:07:57.510]  I get to kind of expand my hydro knowledge
[01:07:58.030 --> 01:08:01.270]  We're gonna do lessons on additives. I may have said that I don't know if I read that line
[01:08:01.270 --> 01:08:05.550]  Like what to add to your shit during what week so that you know when to boost it
[01:08:05.750 --> 01:08:12.150]  We talked about basic nudes now. We need to talk about additives. We're working towards episode 50 also 50 is gonna be fun
[01:08:12.430 --> 01:08:17.310]  You just be like a recap weren't we just like celebrating 25 I think so 25 weeks ago
[01:08:17.950 --> 01:08:21.230]  So if you guys have been listening for a long time and you've got some favorite
[01:08:21.510 --> 01:08:24.590]  Moments of the show or some highlights or something and a highlight reel
[01:08:26.110 --> 01:08:30.150]  Message me and let me know when that was and we can talk about it. We'll kind of reminisce on episode 50
[01:08:30.150 --> 01:08:31.990]  We'll see who we can't get to the show
[01:08:31.990 --> 01:08:35.790]  Maybe I can set up like 22 microphones and get everybody that's ever been on
[01:08:36.070 --> 01:08:39.750]  Onto the show all at once or something have another spot like you you did
[01:08:39.750 --> 01:08:43.150]  You know like we did at the brickyard. We're trying to find a public place. Maybe we can do that
[01:08:43.470 --> 01:08:46.990]  There is not gonna be go ahead. Let's give away something free. Oh
[01:08:48.190 --> 01:08:52.910]  Hygro indoor growing supplies is gonna step it up and give away something awesome. I like that
[01:08:53.430 --> 01:08:58.190]  Something cool, and I'm sure you got you know yeah, I got a t-shirt or a hat or some stickers
[01:08:58.190 --> 01:09:02.590]  Yeah, you know it's gonna be awesome cool. You guys got any shout outs or anything to make
[01:09:03.550 --> 01:09:09.390]  Mine was for you man honestly and you know like bender of course he's keeping the service running
[01:09:09.750 --> 01:09:11.750]  Hey Fisher cut faster
[01:09:13.350 --> 01:09:16.870]  See I feel bad for him now because he was like I don't want to listen to your voice
[01:09:17.070 --> 01:09:20.590]  You know last week and now he's gonna have to listen to both of our voices this way
[01:09:22.110 --> 01:09:24.950]  So how long can we go on and just sit here you wait shit
[01:09:24.950 --> 01:09:28.710]  We'd be in the other room just set him up with the microphone and just walk away. He's a rapper
[01:09:29.310 --> 01:09:36.270]  He's a rapper fish is a rapper. He's tired of hearing your voice on a recording. Yes, tell him do you have some sympathy?
[01:09:36.270 --> 01:09:42.350]  Everyone to listen to him rapping the same shit over and over he just likes to complain about everything
[01:09:42.350 --> 01:09:48.110]  So that's what that's what when he goes to work is like never mind. I'm like I'll say
[01:09:49.630 --> 01:09:51.630]  Semi family
[01:09:53.870 --> 01:09:57.070]  I just would almost fool construction talk on you do they
[01:09:58.350 --> 01:10:02.950]  It's a love-hate relationship. They got you know I'm saying they'd love to piss each other the fuck right off
[01:10:03.030 --> 01:10:08.310]  Makes it fun makes work fun. Oh, it does all right. Don't kill each other at work you guys what up this shout out
[01:10:08.870 --> 01:10:10.870]  Let me know when you're
[01:10:15.550 --> 01:10:17.550]  Dank you know grows
[01:10:19.110 --> 01:10:22.830]  Yeah, you know like Spanish so you know from Pueblo
[01:10:24.550 --> 01:10:29.750]  I did most of my shout outs at the beginning. I want to thank you guys for coming on number 44, bro
[01:10:29.750 --> 01:10:33.910]  I'm always down planning a podcast. I really had shit planned out. It doesn't sound like it
