[00:01.920 --> 00:03.800]  What's up, Podcast World?
[01:27:28.670 --> 01:27:29.510]  All the way.
[01:27:29.510 --> 01:27:31.670]  All the way tight, because when that shit's loose,
[01:27:31.670 --> 01:27:33.390]  that's electricity that's live right there
[01:27:33.390 --> 01:27:34.710]  just being exposed.
[01:27:34.710 --> 01:27:37.230]  I want to design, I've made them myself.
[01:27:37.230 --> 01:27:39.310]  I just bend them all up, but out of wire,
[01:27:39.310 --> 01:27:41.750]  but I do a safety wire too.
[01:27:41.750 --> 01:27:42.590]  Yeah.
[01:27:42.590 --> 01:27:43.430]  To hold it all together.
[01:27:43.430 --> 01:27:45.470]  When I was in bands, I learned to tie cords
[01:27:45.470 --> 01:27:47.150]  that are connected together in that knot,
[01:27:47.150 --> 01:27:48.830]  where if you pull instead it tightens the knot
[01:27:48.830 --> 01:27:50.070]  instead of them coming apart.
[01:27:50.070 --> 01:27:51.470]  I like that move a lot.
[01:27:51.470 --> 01:27:53.910]  I used to be a roadie and a musician.
[01:27:53.910 --> 01:27:55.350]  Back in the seventies, man.
[01:27:56.910 --> 01:27:59.070]  I talked about a tip on pictures.
[01:27:59.070 --> 01:28:01.510]  And since we're talking about running cords,
[01:28:01.510 --> 01:28:02.350]  here it is.
[01:28:03.550 --> 01:28:06.310]  The cord that runs from the ballast to the light
[01:28:06.310 --> 01:28:08.870]  is what causes all the bars in your picture.
[01:28:08.870 --> 01:28:10.910]  So the shorter those are,
[01:28:10.910 --> 01:28:14.830]  and the neater they're hung and everything,
[01:28:14.830 --> 01:28:18.390]  the less bars and shit you'll have coming up on your screen.
[01:28:18.390 --> 01:28:19.710]  You know, on some cameras.
[01:28:20.230 --> 01:28:21.830]  Cause it's the magnetic that causes that.
[01:28:21.830 --> 01:28:22.670]  Yeah. Okay.
[01:28:23.830 --> 01:28:24.670]  I think.
[01:28:24.670 --> 01:28:25.510]  That's a good tip.
[01:28:25.510 --> 01:28:26.350]  I didn't know that.
[01:28:26.350 --> 01:28:27.190]  I can't remember.
[01:28:28.630 --> 01:28:30.830]  I didn't really care about it when I set up my new room.
[01:28:30.830 --> 01:28:34.150]  But I think if you keep all the cords
[01:28:34.150 --> 01:28:35.830]  away from each other too,
[01:28:37.190 --> 01:28:40.470]  individually instead of tied together on the ceiling.
[01:28:40.470 --> 01:28:41.310]  Okay.
[01:28:41.310 --> 01:28:42.150]  Yeah. Well, yeah, that makes sense.
[01:28:42.150 --> 01:28:42.990]  Because that's also better for the light too.
[01:28:42.990 --> 01:28:44.870]  Way more of that signal all at once.
[01:28:44.870 --> 01:28:45.990]  That would make sense.
[01:28:47.510 --> 01:28:49.510]  I wrote down so much stuff on so many different papers.
[01:28:50.350 --> 01:28:51.190]  I'm looking for them all.
[01:28:52.310 --> 01:28:54.510]  Too many different things on too many papers.
[01:28:54.510 --> 01:28:55.510]  That looks way professional.
[01:28:55.510 --> 01:28:56.350]  I'm trying dude.
[01:28:56.350 --> 01:28:57.190]  I'm trying.
[01:28:57.190 --> 01:28:58.350]  Looks like Howard Stern.
[01:28:59.790 --> 01:29:00.630]  Hey now.
[01:29:01.990 --> 01:29:02.910]  Can I get sued for that?
[01:29:02.910 --> 01:29:04.470]  That's like his fucking trademark.
[01:29:04.470 --> 01:29:05.310]  Screw that man.
[01:29:05.310 --> 01:29:06.150]  Sorry, Howard.
[01:29:06.150 --> 01:29:07.350]  I didn't mean to steal your trademark.
[01:29:07.350 --> 01:29:09.710]  That was a, that was flattery is what that was.
[01:29:10.630 --> 01:29:11.470]  All right.
[01:29:11.470 --> 01:29:13.150]  So we've got this room mostly figured out.
[01:29:13.150 --> 01:29:13.990]  We got lights hung.
[01:29:13.990 --> 01:29:15.550]  We've got all of our automation set up.
[01:29:15.550 --> 01:29:17.390]  Hopefully we got air going in.
[01:29:17.390 --> 01:29:18.230]  We got air going out.
[01:29:18.230 --> 01:29:19.590]  We've got an air conditioner.
[01:29:19.590 --> 01:29:21.110]  Now that you got most of everything set up
[01:29:21.110 --> 01:29:22.950]  you got your pond liner on the floor.
[01:29:22.950 --> 01:29:27.350]  I would add four, four by four tables.
[01:29:27.350 --> 01:29:29.790]  I use, and I don't want to say brands
[01:29:29.790 --> 01:29:32.470]  but I use the Hydro Farm four by four white flood tables.
[01:29:32.470 --> 01:29:33.870]  Cause they're perfect.
[01:29:33.870 --> 01:29:34.710]  Those are perfect.
[01:29:34.710 --> 01:29:36.270]  I like to raise them up off the ground.
[01:29:36.270 --> 01:29:38.550]  I like the white botanic care trays.
[01:29:38.550 --> 01:29:40.630]  You can find someone to make you a stand for them
[01:29:40.630 --> 01:29:42.270]  or you can put them on buckets.
[01:29:42.270 --> 01:29:45.310]  Those, those tables that they sell are so damn expensive.
[01:29:45.310 --> 01:29:46.990]  Don't buy the tables that are prefab
[01:29:46.990 --> 01:29:50.470]  unless you're looking to look like you got a pro room.
[01:29:50.470 --> 01:29:53.070]  And just straight up Hydro store guy here.
[01:29:53.070 --> 01:29:54.830]  Most of those tables are bullshit.
[01:29:56.910 --> 01:29:57.750]  The big foot table.
[01:29:57.750 --> 01:29:58.590]  Yeah.
[01:29:58.590 --> 01:30:00.390]  I was going to say the big foot table is just stuck together
[01:30:00.390 --> 01:30:01.630]  with little plastic pegs.
[01:30:01.630 --> 01:30:03.190]  It can fall over so easily.
[01:30:03.190 --> 01:30:04.310]  They're ridiculous.
[01:30:04.310 --> 01:30:05.230]  Yeah.
[01:30:05.230 --> 01:30:07.270]  The reason I like the tables and the trays
[01:30:07.270 --> 01:30:09.190]  I like to get the plants up off the ground.
[01:30:09.190 --> 01:30:10.950]  The floor gets too cold.
[01:30:10.950 --> 01:30:11.790]  Yeah.
[01:30:11.790 --> 01:30:12.630]  When you lift them up off the ground
[01:30:12.630 --> 01:30:14.310]  do you get a more regulated temperature?
[01:30:14.310 --> 01:30:16.030]  I feel like you can get a little more airflow
[01:30:16.030 --> 01:30:17.390]  and I'm six foot five, dude.
[01:30:17.390 --> 01:30:18.910]  Having plants down on the ground.
[01:30:18.910 --> 01:30:21.110]  I have to get on my knee to get down to the soil
[01:30:21.110 --> 01:30:22.790]  to see what's happening at the soil level
[01:30:22.790 --> 01:30:24.190]  or the bottom foliage.
[01:30:24.190 --> 01:30:25.750]  Lifting them up off the ground two feet.
[01:30:25.750 --> 01:30:27.190]  Now they're in my face.
[01:30:27.190 --> 01:30:28.030]  They're right where I want them
[01:30:28.030 --> 01:30:30.590]  and I don't have to squat all day.
[01:30:30.590 --> 01:30:32.550]  I like that better too.
[01:30:32.550 --> 01:30:34.630]  You get to see a lot more of what's going on too.
[01:30:34.630 --> 01:30:35.470]  Yeah.
[01:30:35.470 --> 01:30:37.190]  It's just, I feel, you know, you know this way more.
[01:30:37.190 --> 01:30:38.270]  For sure.
[01:30:38.270 --> 01:30:39.670]  And this is that, that's kind of,
[01:30:39.670 --> 01:30:40.910]  it depends on how much space you have
[01:30:40.910 --> 01:30:42.030]  and how big a plant you want to grow.
[01:30:42.030 --> 01:30:44.230]  If you're growing seven gallon pots
[01:30:44.230 --> 01:30:45.390]  and you're putting them on a table
[01:30:45.750 --> 01:30:47.070]  and now you're going to have a seven foot tall plant,
[01:30:47.070 --> 01:30:49.670]  maybe you might be in, so you got to plan ahead.
[01:30:49.670 --> 01:30:50.790]  But the four by four tables,
[01:30:50.790 --> 01:30:53.030]  you can fit four, seven gallon pots
[01:30:53.030 --> 01:30:54.750]  or nine or 12, three gallon pots.
[01:30:54.750 --> 01:30:57.670]  You can, they're perfect for one light worth of stuff.
[01:30:57.670 --> 01:30:59.470]  If you're in a legal state and you got the numbers
[01:30:59.470 --> 01:31:00.950]  and you're going to do hydro,
[01:31:00.950 --> 01:31:04.110]  you can do 64, those little six inch rockwool cubes
[01:31:04.110 --> 01:31:05.230]  and just put a clone in there
[01:31:05.230 --> 01:31:07.350]  and veg them for like a week and flower it in there.
[01:31:07.350 --> 01:31:09.110]  Dude, I've seen people pull a pound and a half
[01:31:09.110 --> 01:31:10.470]  off of 64 little clones,
[01:31:10.470 --> 01:31:12.670]  veg for a week and a half on a table like that.
[01:31:12.670 --> 01:31:14.150]  64 little nugs.
[01:31:14.150 --> 01:31:14.990]  Yep.
[01:31:15.510 --> 01:31:16.350]  Isn't that a-
[01:31:16.350 --> 01:31:18.030]  Seven grams each or something.
[01:31:18.030 --> 01:31:19.470]  The Cali connection.
[01:31:19.470 --> 01:31:21.310]  That's how, totally how Swerve does it.
[01:31:21.310 --> 01:31:22.710]  Recipe to success or whatever he calls it.
[01:31:22.710 --> 01:31:23.550]  Fast track to success.
[01:31:23.550 --> 01:31:24.390]  Yeah, fast track to success.
[01:31:24.390 --> 01:31:25.230]  Shout out to Swerve.
[01:31:25.230 --> 01:31:26.070]  What up Swerve?
[01:31:26.070 --> 01:31:26.910]  That's my homie.
[01:31:26.910 --> 01:31:28.830]  Well, I haven't heard much from that guy in a while.
[01:31:28.830 --> 01:31:30.430]  You know, he has been,
[01:31:30.430 --> 01:31:33.190]  social media kind of killed everybody.
[01:31:33.190 --> 01:31:34.350]  Facebook went and,
[01:31:34.350 --> 01:31:35.710]  the Facebook Nazi police went
[01:31:35.710 --> 01:31:37.390]  and made everybody use our real names.
[01:31:37.390 --> 01:31:39.910]  Now when I scroll through, I don't even know anybody.
[01:31:40.790 --> 01:31:41.630]  Except Goma.
[01:31:42.710 --> 01:31:43.550]  What the hell?
[01:31:43.550 --> 01:31:44.590]  How'd you pull that off, dude?
[01:31:45.190 --> 01:31:47.270]  Here's the trick guys.
[01:31:47.270 --> 01:31:49.230]  If you are a,
[01:31:49.230 --> 01:31:50.270]  a drag queen,
[01:31:50.270 --> 01:31:51.670]  and I know that's not the appropriate word,
[01:31:51.670 --> 01:31:52.950]  but I don't know the appropriate word anymore.
[01:31:52.950 --> 01:31:55.310]  I'm not politically correct in the drag queen scene.
[01:31:55.310 --> 01:31:57.830]  That's my cousin's one, yeah.
[01:31:57.830 --> 01:31:59.270]  All right, well if you're a drag queen,
[01:31:59.270 --> 01:32:00.630]  you can email Facebook and say,
[01:32:00.630 --> 01:32:02.910]  I'm a drag queen and this is my alter ego.
[01:32:02.910 --> 01:32:06.390]  And they will allow you to use your fake name.
[01:32:06.390 --> 01:32:07.230]  Wow.
[01:32:07.230 --> 01:32:08.070]  Yeah.
[01:32:08.070 --> 01:32:08.910]  Huh.
[01:32:08.910 --> 01:32:10.150]  That probably won't work anymore
[01:32:10.150 --> 01:32:12.030]  after a couple of days that this show is out
[01:32:12.030 --> 01:32:12.870]  and people try it,
[01:32:12.870 --> 01:32:13.710]  but that's worked for,
[01:32:13.710 --> 01:32:15.190]  that's why a lot of the people that,
[01:32:15.190 --> 01:32:16.630]  like in the cannabis community,
[01:32:17.510 --> 01:32:19.190]  handmade, they're still Richard,
[01:32:19.190 --> 01:32:21.550]  or they're still handmade instead of Adam Hand.
[01:32:22.830 --> 01:32:23.670]  Yeah.
[01:32:23.670 --> 01:32:25.790]  A lot of people got to keep their shit.
[01:32:25.790 --> 01:32:27.190]  That's random.
[01:32:27.190 --> 01:32:28.510]  Yeah.
[01:32:28.510 --> 01:32:31.230]  I know a bunch of drag queens would like to know that.
[01:32:32.590 --> 01:32:34.030]  They all had to put their real names up.
[01:32:34.030 --> 01:32:34.910]  Oh, that sucks.
[01:32:34.910 --> 01:32:35.750]  Yeah.
[01:32:35.750 --> 01:32:37.550]  Well, because now instead of being Simone LaRue,
[01:32:37.550 --> 01:32:40.750]  it's Michael Witt.
[01:32:40.950 --> 01:32:42.110]  No, not Witt.
[01:32:42.110 --> 01:32:42.950]  No, I'm sorry.
[01:32:42.950 --> 01:32:43.790]  I had to try.
[01:32:43.790 --> 01:32:44.630]  I had to try.
[01:32:44.630 --> 01:32:45.470]  I know who your dad is.
[01:32:45.470 --> 01:32:46.310]  I should shut my mouth.
[01:32:46.310 --> 01:32:47.150]  What's up, Mr. Witt?
[01:32:47.150 --> 01:32:47.990]  Hope to see you at the Grover's meeting,
[01:32:47.990 --> 01:32:48.830]  November 21st at High Grow Indoor Growing Supplies.
[01:32:48.830 --> 01:32:49.670]  It's going to be awesome.
[01:32:49.670 --> 01:32:50.510]  I will be there.
[01:32:50.510 --> 01:32:51.350]  Rasta Jeff will be there.
[01:32:51.350 --> 01:32:52.190]  Also that night,
[01:32:52.190 --> 01:32:53.030]  here's a random plug.
[01:32:53.030 --> 01:32:54.350]  Joe Rogan's new comedy special comes out on Comedy Central,
[01:32:54.350 --> 01:32:55.190]  the night of the 21st at midnight.
[01:32:55.190 --> 01:32:56.030]  So I'm going to leave High Grow Indoor Growing Supplies
[01:32:56.030 --> 01:32:56.870]  and I'm going to come home
[01:32:56.870 --> 01:32:57.710]  and I'm going to get super drunk.
[01:32:57.710 --> 01:32:58.550]  I'm going to get super drunk.
[01:32:58.550 --> 01:32:59.390]  I'm going to get super drunk.
[01:32:59.390 --> 01:33:00.230]  I'm going to get super drunk.
[01:35:00.790 --> 01:35:01.630]  I'm going to get super drunk.
[01:35:01.630 --> 01:35:03.050]  I'm going to get super drunk.
[01:35:03.050 --> 01:35:04.070]  I'm going to get super drunk.
[01:35:04.070 --> 01:35:04.910]  I'm going to get super drunk.
[01:35:04.910 --> 01:35:05.750]  I'm going to get super drunk.
[01:35:05.750 --> 01:35:06.670]  I'm going to get super drunk.
[01:35:06.670 --> 01:35:07.490]  I'm going to get super drunk.
[01:35:07.490 --> 01:35:08.490]  I'm going to get super drunk.
[01:35:08.490 --> 01:35:09.390]  I'm going to get super drunk.
[01:35:09.390 --> 01:35:10.230]  I'm going to get super drunk.
[01:35:10.230 --> 01:35:11.050]  I'm going to be as drunk as I was the night before.
[01:35:11.050 --> 01:35:12.570]  I'm going to be as drunk as I was the night before.
[01:35:12.570 --> 01:35:14.390]  I'm going to be as drunk as I was the night before.
[01:35:14.390 --> 01:35:17.770]  I'm going go, I'm going do this.
[01:35:17.770 --> 01:35:18.610]  I'm going do that.
[01:35:18.610 --> 01:35:19.430]  I'm going do that.
[01:35:19.430 --> 01:35:20.270]  I'm going go, I'm going to do that.
[01:35:20.270 --> 01:35:21.090]  I'm going to punch this face.
[01:35:21.090 --> 01:35:23.390]  helping all my friends out, they're stuck.
[01:35:23.390 --> 01:35:24.830]  I'm like, I got you bro, I'll give you a ride.
[01:35:24.830 --> 01:35:26.190]  I'll give you a ride, I'll give you a ride.
[01:35:26.190 --> 01:35:27.030]  It's kind of nice.
[01:35:27.030 --> 01:35:29.190]  I pulled a chick and her little boyfriend
[01:35:29.190 --> 01:35:30.230]  out the other night.
[01:35:30.230 --> 01:35:31.070]  Nice.
[01:35:31.070 --> 01:35:32.230]  I have a gigantic truck.
[01:35:32.230 --> 01:35:33.350]  You do, you do have a-
[01:35:33.350 --> 01:35:36.750]  Well, no, it's not one of those diesel fucking
[01:35:38.150 --> 01:35:40.350]  penile issue things.
[01:35:41.270 --> 01:35:43.290]  It's very functional.
[01:35:43.290 --> 01:35:45.470]  It's not classy, it's not pretty,
[01:35:45.470 --> 01:35:46.830]  it's not a chick getting truck.
[01:35:46.830 --> 01:35:48.810]  It's a working man's damn truck.
[01:35:48.810 --> 01:35:50.950]  You can deliver soil anywhere in Pueblo
[01:35:50.970 --> 01:35:52.410]  or anywhere in Colorado in that truck.
[01:35:52.410 --> 01:35:53.250]  Pretty much.
[01:35:53.250 --> 01:35:54.330]  The top of Pike's Peak.
[01:35:54.330 --> 01:35:55.330]  Oh, easily.
[01:35:55.330 --> 01:35:56.650]  Yeah.
[01:35:56.650 --> 01:35:57.650]  Yeah.
[01:35:57.650 --> 01:35:58.490]  All right, we're-
[01:35:58.490 --> 01:36:00.690]  I'd be driving around like Ken Block.
[01:36:00.690 --> 01:36:01.770]  It's how it is around here right now.
[01:36:01.770 --> 01:36:03.170]  It's just slushy.
[01:36:03.170 --> 01:36:05.170]  Just go slow, you guys will be cool.
[01:36:05.170 --> 01:36:07.410]  Seems like nobody's driven in the snow before.
[01:36:07.410 --> 01:36:08.250]  Oh yeah, no.
[01:36:08.250 --> 01:36:09.490]  You guys are in Colorado.
[01:36:09.490 --> 01:36:11.890]  You've done this, it was just a year ago.
[01:36:11.890 --> 01:36:13.650]  Not even that.
[01:36:13.650 --> 01:36:15.210]  All right, guys, we're gonna get back
[01:36:15.210 --> 01:36:16.250]  onto building a grow room.
[01:36:16.250 --> 01:36:17.170]  We're kind of ranting here.
[01:36:17.170 --> 01:36:18.290]  We've had some dabs.
[01:36:18.290 --> 01:36:19.570]  I hope you're taking dabs.
[01:36:19.570 --> 01:36:21.550]  So if you're building a hydro hut,
[01:36:21.550 --> 01:36:23.030]  that's very similar to this setup.
[01:36:23.030 --> 01:36:25.230]  I'd run the ducting for the lights.
[01:36:25.230 --> 01:36:26.390]  There's a couple of ways to do the lights,
[01:36:26.390 --> 01:36:27.630]  but I would run the lights,
[01:36:27.630 --> 01:36:28.870]  the ducting straight through the hut
[01:36:28.870 --> 01:36:31.110]  so that the light heat never makes it into the hut.
[01:36:31.110 --> 01:36:32.590]  There's a hole on the left side
[01:36:32.590 --> 01:36:34.690]  and the right side of the huts at the top.
[01:36:35.630 --> 01:36:37.830]  Hang the blower inside the hut on one side,
[01:36:37.830 --> 01:36:39.510]  run the ducting from the outside,
[01:36:41.070 --> 01:36:42.390]  over the blower, over the light,
[01:36:42.390 --> 01:36:44.470]  and out of the other side.
[01:36:44.470 --> 01:36:46.390]  Yeah, that way the heat, if that makes sense,
[01:36:46.390 --> 01:36:47.550]  you just make a tunnel right through it.
[01:36:47.570 --> 01:36:50.810]  The heat never actually stays inside the grow hut.
[01:36:50.810 --> 01:36:52.410]  There's also a little hole in the roof of the hut.
[01:36:52.410 --> 01:36:53.330]  I had a blower there.
[01:36:53.330 --> 01:36:55.970]  I said roof, just the roof, that's all the top.
[01:36:55.970 --> 01:36:58.050]  I had a blower there to pull fresh air
[01:36:58.050 --> 01:36:59.410]  through the hut constantly.
[01:36:59.410 --> 01:37:01.450]  I put a carbon filter and a blower inside the hut
[01:37:01.450 --> 01:37:03.170]  and fit it out of the top there.
[01:37:03.170 --> 01:37:06.210]  It makes the airflow pull air in from the bottom
[01:37:06.210 --> 01:37:08.210]  and the heat goes out the top.
[01:37:08.210 --> 01:37:10.210]  And always remember that your blower
[01:37:10.210 --> 01:37:12.450]  can pull more air than it can push.
[01:37:12.450 --> 01:37:14.890]  I wrote down a lot of shitty half-ass notes right there.
[01:37:14.890 --> 01:37:16.890]  None of those notes were full sentences.
[01:37:16.910 --> 01:37:20.110]  Blowers work better when they're outside of the room.
[01:37:20.110 --> 01:37:22.510]  It's the same reason you never see the fart fan
[01:37:22.510 --> 01:37:23.350]  in the bathroom.
[01:37:23.350 --> 01:37:25.590]  It's always mounted up in the ceiling.
[01:37:25.590 --> 01:37:28.070]  It's easier to pull air out than it is to push it out.
[01:37:28.070 --> 01:37:29.370]  Definitely easier to pull.
[01:37:30.590 --> 01:37:31.890]  Here's a question for you.
[01:37:32.870 --> 01:37:34.870]  Do you run a carbon filter in tents
[01:37:34.870 --> 01:37:37.030]  when you're collecting pollen?
[01:37:37.030 --> 01:37:39.990]  You know, I don't because I don't have a blower at all
[01:37:39.990 --> 01:37:41.490]  in my tent where I'm collecting pollen.
[01:37:41.490 --> 01:37:46.490]  I run when, God, dude, this is crazy secret shit right here.
[01:37:46.790 --> 01:37:48.710]  I've got a male that's in full flower right now.
[01:37:48.710 --> 01:37:50.870]  I'm getting ready to do it, so it's a genuine question.
[01:37:50.870 --> 01:37:53.430]  So I've got him in his own three-by-three hut
[01:37:53.430 --> 01:37:56.990]  with one coily CFL in there to keep him awake
[01:37:56.990 --> 01:37:59.070]  and that's all because I can't create any heat
[01:37:59.070 --> 01:38:00.470]  because I don't want to suck the pollen out.
[01:38:00.470 --> 01:38:01.310]  Gotcha.
[01:38:01.310 --> 01:38:03.150]  Yeah, so he's just in there with the CFL.
[01:38:03.150 --> 01:38:06.310]  You can take a peek when we're done if you want.
[01:38:06.310 --> 01:38:08.550]  Maybe you don't want to, there's pollen in there.
[01:38:08.550 --> 01:38:09.590]  You'll need a shower.
[01:38:10.550 --> 01:38:12.110]  I've always wondered about,
[01:38:12.110 --> 01:38:13.990]  I'm flowering one under a thousand,
[01:38:14.010 --> 01:38:16.370]  well, I'm flowering a couple under a thousand watt
[01:38:16.370 --> 01:38:19.770]  right now, so I think I might be changing that out
[01:38:19.770 --> 01:38:20.850]  to a different light.
[01:38:20.850 --> 01:38:21.970]  If-
[01:38:21.970 --> 01:38:23.690]  Although I want to see their full.
[01:38:24.810 --> 01:38:26.250]  Here's more shit that I don't tell people.
[01:38:26.250 --> 01:38:28.890]  I take a brown paper bag and put it right over the top cola
[01:38:28.890 --> 01:38:32.970]  and secure it and then when I'm sure that I see him,
[01:38:32.970 --> 01:38:34.330]  when he's nutting a whole bunch,
[01:38:34.330 --> 01:38:35.970]  I just cut that sucker off
[01:38:35.970 --> 01:38:38.610]  and then I have the branch sticking out of the bag
[01:38:38.610 --> 01:38:40.730]  and I'll hold it with my hand around the branch
[01:38:40.730 --> 01:38:42.730]  and pull the branch out of the bag slowly
[01:38:42.750 --> 01:38:44.990]  and as you pull, you knock everything off into the bag
[01:38:44.990 --> 01:38:46.510]  and you just come out with a stick.
[01:38:46.510 --> 01:38:47.710]  And then you just clean up the-
[01:38:47.710 --> 01:38:49.150]  Yeah, and then I'll clean out all that-
[01:38:49.150 --> 01:38:50.550]  Get the material out of there.
[01:38:50.550 --> 01:38:52.470]  Pour that onto a, I use a drum head actually,
[01:38:52.470 --> 01:38:53.430]  an old drum head.
[01:38:53.430 --> 01:38:55.630]  Flip it upside down and pour all my shit under there.
[01:38:55.630 --> 01:38:56.470]  Bunch of those.
[01:38:56.470 --> 01:38:57.990]  Separate, yeah, I had to put, that's how I got the idea.
[01:38:57.990 --> 01:38:59.990]  I was like, I'm going to repurpose that shit.
[01:38:59.990 --> 01:39:01.230]  But- Nice.
[01:39:01.230 --> 01:39:03.870]  So if you leave those in the hut with that bag over there
[01:39:03.870 --> 01:39:05.150]  with the blower on the top,
[01:39:05.150 --> 01:39:06.750]  it doesn't steal a lot of your pollen
[01:39:06.750 --> 01:39:08.470]  but it does take some, a little bit,
[01:39:08.470 --> 01:39:09.830]  but you're going to make enough.
[01:39:09.830 --> 01:39:11.670]  Let's see, I'm also phenol hunting too.
[01:39:11.690 --> 01:39:12.930]  Right. Just collecting pollen.
[01:39:12.930 --> 01:39:14.770]  Yeah, and I already know that male is who I want
[01:39:14.770 --> 01:39:15.890]  so I just let him sit in there
[01:39:15.890 --> 01:39:17.410]  and just jizz away and collect it.
[01:39:17.410 --> 01:39:18.250]  For sure.
[01:39:18.250 --> 01:39:20.770]  Just circle jerking or bukkake in a bag over there.
[01:39:20.770 --> 01:39:22.170]  Yeah.
[01:39:22.170 --> 01:39:24.090]  Not just pollen chucking this time.
[01:39:24.090 --> 01:39:26.010]  Yeah, yeah.
[01:39:26.010 --> 01:39:28.970]  This male, this is his, the same male,
[01:39:28.970 --> 01:39:31.490]  probably his 10th time pollinating shit.
[01:39:31.490 --> 01:39:33.210]  A clone of the same male, not the same guy,
[01:39:33.210 --> 01:39:34.050]  but a clone of that one.
[01:39:34.050 --> 01:39:36.770]  This is 10th time hitting stuff, at least.
[01:39:36.770 --> 01:39:37.690]  Shoot.
[01:39:37.710 --> 01:39:41.630]  My one male that I already have picked out,
[01:39:41.630 --> 01:39:43.130]  proven himself and everything.
[01:39:44.910 --> 01:39:47.630]  I took clones of him the other day and I took like 25.
[01:39:47.630 --> 01:39:48.590]  Nice.
[01:39:48.590 --> 01:39:49.430]  Just to make sure.
[01:39:49.430 --> 01:39:50.250]  Oh yeah.
[01:39:50.250 --> 01:39:51.090]  I will only keep one.
[01:39:51.090 --> 01:39:52.950]  But you gotta have one.
[01:39:52.950 --> 01:39:53.870]  Yeah, so.
[01:39:53.870 --> 01:39:56.310]  Yeah, I'm excited that all the clones I recently took,
[01:39:56.310 --> 01:39:58.550]  they all cut or they all rooted.
[01:39:58.550 --> 01:40:01.350]  Most of the seeds I've sprouted are all germinating
[01:40:02.790 --> 01:40:04.470]  and I'm working on another project.
[01:40:04.470 --> 01:40:07.070]  I am, I don't know if I want to tell everybody this,
[01:40:07.410 --> 01:40:09.450]  but I am starting to F2 Black Cherry Kim.
[01:40:09.450 --> 01:40:11.210]  I'm doing the pheno hunt to find the male and the female
[01:40:11.210 --> 01:40:12.690]  to F2 that.
[01:40:12.690 --> 01:40:14.330]  I plan to start the flowering cycle
[01:40:14.330 --> 01:40:15.850]  right at the start of the year.
[01:40:15.850 --> 01:40:19.970]  So by March 1st-ish, I should have found a good male
[01:40:19.970 --> 01:40:22.130]  and a good female that will be used.
[01:40:22.130 --> 01:40:26.210]  The clones of those will be ran next to be bred to make,
[01:40:26.210 --> 01:40:27.730]  I'll use two females and one male.
[01:40:27.730 --> 01:40:29.930]  I'll use a purple female and a non-purple female
[01:40:29.930 --> 01:40:31.810]  and see what the progeny make.
[01:40:31.810 --> 01:40:33.930]  Definitely a solid purple male.
[01:40:33.930 --> 01:40:35.050]  I just want to see if I,
[01:40:35.050 --> 01:40:37.910]  because I may make it recessive
[01:40:37.910 --> 01:40:39.550]  if I force too much purple into it.
[01:40:39.550 --> 01:40:41.910]  May not come out till the F3 if I do that
[01:40:41.910 --> 01:40:42.950]  with the two purples.
[01:40:44.030 --> 01:40:45.270]  I hope you guys are paying attention to that.
[01:40:45.270 --> 01:40:47.150]  That's random shit right there.
[01:40:47.150 --> 01:40:50.790]  Also another way that I've been setting up these tents
[01:40:50.790 --> 01:40:54.350]  with just one blower, because it seems efficient
[01:40:54.350 --> 01:40:55.830]  if you're in a small space.
[01:40:55.830 --> 01:40:58.950]  I put the five by five hut with,
[01:40:58.950 --> 01:41:02.630]  I do the blower on the roof outside of the hut.
[01:41:02.630 --> 01:41:04.770]  It's actually sitting, there's that hole right on top.
[01:41:05.490 --> 01:41:06.710]  I just set the blower right on top of there.
[01:41:06.710 --> 01:41:11.550]  I run ducting into the hut and then around into the light,
[01:41:11.550 --> 01:41:14.750]  fix the light reflector and then ducting out
[01:41:14.750 --> 01:41:16.870]  of the light reflector to a carbon filter.
[01:41:16.870 --> 01:41:19.150]  And the carbon filter is hung really high in the hut,
[01:41:19.150 --> 01:41:20.590]  as high as you can get it.
[01:41:20.590 --> 01:41:23.110]  So now you're filtering the air, pulling out humidity
[01:41:23.110 --> 01:41:25.350]  and cooling your light all at one time.
[01:41:25.350 --> 01:41:27.590]  And those work great in the garage right now
[01:41:27.590 --> 01:41:28.950]  in Colorado in the winter.
[01:41:28.950 --> 01:41:31.270]  You need a heater more than you need cooling.
[01:41:31.270 --> 01:41:33.590]  You got to put a heater in there at night to keep it warm.
[01:41:33.610 --> 01:41:35.650]  But if you've got two of those huts,
[01:41:35.650 --> 01:41:37.810]  you could run them side by side and you could vent
[01:41:37.810 --> 01:41:39.530]  that heat into the other hut from your light
[01:41:39.530 --> 01:41:40.970]  if you thought about how to do it.
[01:41:40.970 --> 01:41:42.290]  And CO2.
[01:41:42.290 --> 01:41:43.130]  Yeah.
[01:41:43.130 --> 01:41:44.770]  Which is soon to be illegal.
[01:41:44.770 --> 01:41:45.690]  Yeah.
[01:41:45.690 --> 01:41:47.090]  Sleeping plants emit CO2.
[01:41:47.090 --> 01:41:50.250]  So if you move your dark, the air from your sleeping room
[01:41:50.250 --> 01:41:54.170]  into your awake room, you are moving CO2 to a usable space.
[01:41:54.170 --> 01:41:56.410]  That's a definite good hint for people.
[01:41:57.250 --> 01:42:00.530]  I wonder if mushroom bags are on that CO2 band.
[01:42:00.530 --> 01:42:02.250]  Sorry to keep harping on that.
