[00:00.000 --> 00:05.380]  Hey, what's up podcast world? Welcome to a very special episode of the grow from your heart podcast
[45:02.220 --> 45:07.500]  I love being around you always a smile. I same about you. So I think that's big
[45:07.500 --> 45:11.860]  I think you really have to associate you have to find people that want to help you that want to teach you things
[45:11.860 --> 45:17.580]  And man people don't want to teach you things if you got a big sourpuss, right, right? Yeah
[45:17.580 --> 45:19.180]  Yeah, why am I gonna teach you something?
[45:19.180 --> 45:23.260]  You're just gonna be negative about it or I more positive energy someone that's gonna share what they learned
[45:23.620 --> 45:25.580]  That's what we got it. One thing I try to do
[45:25.580 --> 45:30.500]  I give credit to the people who taught me I a lot of times I say I learned this from this person, right?
[45:30.500 --> 45:34.020]  And that's just giving credit to my sources. I don't feel like I'm the Wizard of Oz
[45:34.220 --> 45:38.440]  Now we all things from other sources a lot of them. I was reading another book
[45:38.440 --> 45:44.500]  It's called steel like an artist and it was telling you that good luck trying to have a completely original thought you've got it from somewhere
[45:44.500 --> 45:51.020]  Oh, you know, so you're motivated by things just take it and I mean breeding is the same way typical expression
[45:51.020 --> 45:53.020]  Is that what we were doing?
[45:53.540 --> 46:00.660]  Art and re-expressing. Yeah, I didn't invent the genetic code though, right, right? I love it. Good bullshit with you, brother
[46:00.660 --> 46:06.660]  Every time it's vacation week man. You came up and I had a good time. Keep it. I re I love it, brother
[46:06.660 --> 46:08.220]  When's the next event?
[46:08.220 --> 46:14.100]  You tell me man. You tell me the 420 event it cultivated synergy. Oh, yeah. Well, we're definitely doing that
[46:14.100 --> 46:20.300]  So before that it could be could be I've got a couple plans. I'll talk. All right it I'm excited
[46:20.300 --> 46:21.660]  Take it easy all y'all
[46:21.660 --> 46:26.300]  Well, there you go podcast world that was Scotty real and Rasta Jeff on the dude grow show
[46:26.300 --> 46:29.260]  Make sure you give my friends at the dude grow show some support
[46:29.260 --> 46:33.540]  Make sure you subscribe to their YouTube channel go to YouTube search in the dude grows podcast
[46:33.540 --> 46:36.620]  They will pop up right away. Click Subscribe leave some comments
[46:36.620 --> 46:41.740]  Let them know that you found their podcast through the grow from your heart podcast that way
[46:41.740 --> 46:46.500]  They know that I'm giving them a little bit of support ladies and gentlemen, that is it for this episode
[46:46.500 --> 46:47.780]  I want to thank you for listening
[46:47.780 --> 46:53.980]  Follow me on social media be good to one another and until next time take a fat dab and give your mom a hug for me
