[00:00.000 --> 00:02.120]  Greetings from podcastville.
[29:31.660 --> 29:33.020]  and stop being Kevin Jodry.
[29:33.020 --> 29:34.260]  It was fucking me up.
[29:34.260 --> 29:37.260]  So this guy knew right away who I was talking about.
[29:37.260 --> 29:40.700]  He says he has the same effect as he does on me.
[29:40.700 --> 29:42.820]  I'm very fortunate to have crossed paths with Kev
[29:42.820 --> 29:45.260]  about five years ago and became very good friends with him.
[29:45.260 --> 29:47.460]  And over that time, I've spent many hours and days
[29:47.460 --> 29:48.740]  with him learning and laughing
[29:48.740 --> 29:50.820]  and smoking some great flower.
[29:50.820 --> 29:51.860]  He's my mentor and friend.
[29:51.900 --> 29:54.060]  I thank God every day for people like him
[29:54.060 --> 29:56.660]  and you who make me a better grower and person.
[29:56.660 --> 29:57.500]  Thanks again.
[29:57.500 --> 29:59.020]  I signed up for Patreon just to support you.
[29:59.020 --> 29:59.860]  Thank you, bro.
[29:59.860 --> 30:00.740]  That means a lot.
[30:00.740 --> 30:01.580]  You are worth it.
[30:01.580 --> 30:03.500]  And I look forward to the day we can hang out
[30:03.500 --> 30:07.740]  as well as bust out a fat dab or a fatty.
[30:07.740 --> 30:08.860]  Peace, love, and understanding.
[30:08.860 --> 30:10.420]  And then he signed out with his real name.
[30:10.420 --> 30:11.340]  Follow him on Instagram.
[30:11.340 --> 30:13.420]  He's Robert Gnarly on Instagram.
[30:13.420 --> 30:15.580]  And let's see, where else can we find him?
[30:16.700 --> 30:18.060]  He doesn't give us another spot to follow him.
[30:18.060 --> 30:19.060]  So that's enough spots.
[30:19.060 --> 30:20.380]  We gave him a good shout out.
[30:20.380 --> 30:23.300]  Craig Compton, thank you for the cool message.
[30:23.300 --> 30:28.300]  It means, dude, this guy listens and supports us
[30:28.420 --> 30:30.980]  while he's working alongside
[30:30.980 --> 30:33.620]  the Walking Talking Cannabis Encyclopedia.
[30:33.620 --> 30:35.900]  Like Kevin Jodry, Kevin is,
[30:35.900 --> 30:37.500]  if I can't figure something out,
[30:37.500 --> 30:39.500]  Kevin is who I would look to for answers.
[30:39.500 --> 30:41.380]  And this guy's standing next to him all day.
[30:41.380 --> 30:43.780]  This person still chooses to listen to us
[30:43.780 --> 30:44.980]  on our little podcast here.
[30:44.980 --> 30:46.260]  So that's flattering.
[30:46.260 --> 30:47.220]  That's a huge compliment.
[30:47.220 --> 30:50.220]  That's a huge, try not to let my ego swell too much.
[30:51.060 --> 30:51.900]  I'm getting older and trying to deflate
[30:51.900 --> 30:53.020]  and understand that ego,
[30:53.020 --> 30:54.900]  but it just got pumped up a little bit.
[30:54.900 --> 30:57.260]  You just put some fucking, some oomph to my ego, bro.
[30:57.260 --> 30:58.100]  So thank you.
[30:58.100 --> 30:58.940]  It's not a bad thing, bro.
[30:58.940 --> 30:59.780]  Yeah, I'm proud.
[30:59.780 --> 31:02.700]  I love it when the show helps people grow better.
[31:02.700 --> 31:04.500]  Like that's the whole point of the show.
[31:04.500 --> 31:05.900]  Exactly the point of the show.
[31:05.900 --> 31:10.260]  I was recently, I'll say subjected
[31:10.260 --> 31:13.340]  to some online weed forums.
[31:13.340 --> 31:17.740]  And holy fuck, the advice is just as bad as it was in 97.
[31:17.740 --> 31:19.460]  It's still shit.
[31:19.500 --> 31:22.500]  You must've seen some comments I left on a Facebook forum.
[31:24.420 --> 31:26.900]  It's still, it still seems like it's a whole bunch
[31:26.900 --> 31:29.860]  of mediocre growers giving people advice
[31:29.860 --> 31:31.340]  they know is shitty in hopes
[31:31.340 --> 31:34.180]  that they'll still have a market for their meds.
[31:34.180 --> 31:35.020]  Right.
[31:35.020 --> 31:37.220]  It's just that the advice is that bad.
[31:37.220 --> 31:38.060]  And it's okay.
[31:38.060 --> 31:39.780]  To know that there's people putting out
[31:39.780 --> 31:42.300]  the right information and it's reaching its target
[31:42.300 --> 31:43.180]  makes me happy.
[31:43.180 --> 31:44.300]  Yes, yes.
[31:44.300 --> 31:46.140]  It's okay to be a mediocre grower.
[31:46.140 --> 31:48.580]  Dude, I sucked at growing when I started.
[31:48.580 --> 31:50.580]  I sucked at playing the drums.
[31:50.580 --> 31:52.420]  I sucked at podcasting.
[31:52.420 --> 31:54.420]  Yeah, we all, I say I sucked at,
[31:54.420 --> 31:56.460]  I don't take karate, I'm not a fucking ninja.
[31:56.460 --> 31:57.980]  When I was a kid, I took karate.
[31:57.980 --> 31:58.860]  I sucked at karate.
[31:58.860 --> 31:59.820]  I was a white belt.
[31:59.820 --> 32:00.780]  My kicks were sloppy.
[32:00.780 --> 32:01.860]  My form was terrible.
[32:01.860 --> 32:03.020]  Dude, after a few years,
[32:03.020 --> 32:05.060]  I was throwing fucking head kicks in tournaments.
[32:05.060 --> 32:06.740]  Like you gotta suck for a little bit.
[32:06.740 --> 32:10.300]  At everything you do, it feels good to suck at stuff.
[32:10.300 --> 32:12.500]  Like I've got such a good grasp on podcasting,
[32:12.500 --> 32:14.980]  growing, fucking playing the drums
[32:14.980 --> 32:16.780]  that when I try to pick up a guitar,
[32:17.100 --> 32:20.300]  this is hard and it makes my brain go, yeah.
[32:20.300 --> 32:23.300]  And I wanna fucking get good at it and figure it out.
[32:23.300 --> 32:24.860]  It's okay to suck at shit.
[32:24.860 --> 32:27.460]  What you shouldn't do if you suck at stuff
[32:27.460 --> 32:30.460]  is tell other people how to suck at things also.
[32:30.460 --> 32:32.060]  You don't have to have an answer.
[32:32.060 --> 32:32.900]  Mike, if I go-
[32:32.900 --> 32:34.220]  Tell other people how to do it worse
[32:34.220 --> 32:36.300]  to make your suckage appear better.
[32:36.300 --> 32:39.620]  What are, what notes do I tune my guitar to, Mike?
[32:39.620 --> 32:40.460]  I don't know.
[32:40.460 --> 32:43.180]  See, you could have said F, R, T, M, and Q
[32:43.180 --> 32:44.220]  if you really wanted.
[32:44.220 --> 32:45.060]  Yeah, but instead-
[32:45.060 --> 32:45.900]  I put it on seven, bro.
[32:45.900 --> 32:49.180]  You fucking adulted, you manned up and went, I don't know.
[32:49.180 --> 32:52.220]  Hey Mike, how many states have legal cannabis?
[32:52.220 --> 32:54.500]  I should know, but I don't remember off the top of my head.
[32:54.500 --> 32:55.340]  36.
[32:55.340 --> 32:57.100]  But see, you could, you see, you're qualified enough
[32:57.100 --> 32:59.620]  to do the research and give me a ballpark answer.
[32:59.620 --> 33:03.420]  Yeah, I could check and be sure, but like-
[33:03.420 --> 33:04.260]  How old are your kids?
[33:04.260 --> 33:05.860]  How legal are you talking?
[33:05.860 --> 33:06.980]  Two and almost five.
[33:06.980 --> 33:07.820]  That's what I know.
[33:07.820 --> 33:08.660]  You're a fucking expert.
[33:08.660 --> 33:11.940]  No, you should answer questions on forums about your kids.
[33:11.940 --> 33:14.620]  You can chime in about legal states.
[33:14.620 --> 33:16.980]  Shut the hell up when it comes to tuning guitars.
[33:16.980 --> 33:19.500]  Yeah, if more people took that advice,
[33:19.500 --> 33:20.820]  the world would be a way fucking better place.
[33:20.820 --> 33:22.940]  Yeah, and that's the only thing that,
[33:22.940 --> 33:23.900]  I can't say that's the only,
[33:23.900 --> 33:24.980]  I'm sure that's not the only thing.
[33:24.980 --> 33:26.980]  That is the real issue that bugs me
[33:26.980 --> 33:29.180]  on social media grow platforms.
[33:29.180 --> 33:32.340]  People will say, my uncle's brother tried to put this
[33:32.340 --> 33:33.660]  in his soil and it worked for him,
[33:33.660 --> 33:35.060]  so that'll solve all your problems.
[33:35.060 --> 33:36.660]  And I'm like, you just told them that
[33:36.660 --> 33:38.260]  that's gonna kill all the plants.
[33:38.260 --> 33:39.500]  Like, I hope you didn't do this yet.
[33:39.500 --> 33:42.620]  Can I reply quicker and get my word in before you do this?
[33:43.580 --> 33:45.140]  But it worries me.
[33:45.140 --> 33:47.740]  Like all social media is pretty toxic right now,
[33:47.740 --> 33:50.860]  but the growth forums,
[33:50.860 --> 33:54.140]  I gotta think it's that the financial incentive,
[33:54.140 --> 33:56.060]  because everybody sort of understands
[33:56.060 --> 33:59.220]  that there's a limited number of cannabis consumers out there
[33:59.220 --> 34:01.700]  and everybody's selling the same product.
[34:01.700 --> 34:03.540]  And if somebody asks you for advice,
[34:03.540 --> 34:04.900]  and you're like, no, I'll set it on fire,
[34:04.900 --> 34:06.700]  take it out back and kick it.
[34:06.700 --> 34:08.260]  Like that makes your shit,
[34:08.260 --> 34:10.580]  even if it's mediocre, a little bit more, I don't know.
[34:10.620 --> 34:13.340]  It's just the advice is so bad, it's insane.
[34:13.340 --> 34:15.580]  The advice on other topics is usually bad,
[34:15.580 --> 34:18.460]  but it's not like this bad.
[34:19.780 --> 34:22.500]  And I'm trying to be a more positive person,
[34:22.500 --> 34:23.660]  but it's a good time to vent.
[34:23.660 --> 34:24.740]  This drives me crazy.
[34:24.740 --> 34:26.540]  Somebody posts a picture of a plant.
[34:26.540 --> 34:28.180]  It's got a minor problem.
[34:28.180 --> 34:30.100]  The first person says spider mites.
[34:30.100 --> 34:31.260]  They don't have spider mites.
[34:31.260 --> 34:33.300]  So now they're paranoid about spider mites.
[34:33.300 --> 34:35.300]  Second person says thrips.
[34:35.300 --> 34:37.300]  Third person says bad soil.
[34:37.300 --> 34:39.460]  Fourth person says wrong light.
[34:39.460 --> 34:41.540]  Now this person is spraying for mites
[34:41.540 --> 34:43.540]  and spraying for thrips and changing their soil
[34:43.540 --> 34:46.980]  and buying new lights when really it was too hot.
[34:46.980 --> 34:48.060]  Well, and their plant dies
[34:48.060 --> 34:49.940]  because they did 11 things to it on the same day.
[34:49.940 --> 34:52.460]  Yeah, and so I'm like, please be careful.
[34:52.460 --> 34:54.460]  So guys, my bottom line, my point here,
[34:55.420 --> 34:57.740]  just be careful when you're fucking looking online
[34:57.740 --> 34:58.660]  for advice.
[34:58.660 --> 35:01.380]  Like there are a lot of things that people will say,
[35:01.380 --> 35:03.100]  go look at the pictures of their garden.
[35:03.100 --> 35:05.940]  Go look, if they can't spell leaves with a V,
[35:05.940 --> 35:07.620]  if they put an F in the word leaves,
[35:07.620 --> 35:08.980]  don't fucking take their advice.
[35:09.020 --> 35:11.100]  Like that's, sorry.
[35:11.100 --> 35:14.340]  It's easier with other topics.
[35:14.340 --> 35:18.020]  With cannabis, it's still fringy enough
[35:18.020 --> 35:20.020]  that sometimes it's hard to tell.
[35:20.020 --> 35:23.060]  Like proper grammar is not always indicative
[35:23.060 --> 35:24.340]  of proper knowledge.
[35:25.180 --> 35:27.660]  It's not quite as obvious as it is in like in politics.
[35:27.660 --> 35:28.820]  With politics, it's quick.
[35:28.820 --> 35:31.300]  When people start talking about impeaching laws
[35:31.300 --> 35:33.540]  and you're like, do you mean repeal, bitch?
[35:33.540 --> 35:34.860]  Yeah.
[35:34.860 --> 35:36.460]  It's a little bit more obvious
[35:36.460 --> 35:38.020]  than it is in the cannabis world.
[35:38.020 --> 35:39.940]  But usually if you pay attention,
[35:39.940 --> 35:43.540]  you take a minute and check two or three reliable sources,
[35:43.540 --> 35:45.220]  you'll get the info you want.
[35:45.220 --> 35:46.780]  But just be super careful
[35:46.780 --> 35:48.940]  if you're asking a social media forum
[35:48.940 --> 35:50.700]  about a cannabis growing question,
[35:50.700 --> 35:52.180]  because 80% of those answers
[35:52.180 --> 35:54.500]  are designed to fuck up your plans.
[35:54.500 --> 35:56.300]  I don't know if they're really designed that way
[35:56.300 --> 35:58.540]  or if they're actually that misinformed.
[35:58.540 --> 36:00.420]  Like I would like to hope they're not targeting
[36:00.420 --> 36:01.660]  to thank you fail.
[36:01.660 --> 36:02.500]  All right, I should move forward
[36:02.500 --> 36:04.220]  from ranting about social media.
[36:04.220 --> 36:06.500]  Honestly, dude, social media,
[36:06.540 --> 36:10.460]  people talking about feminized seeds in such an,
[36:10.460 --> 36:12.180]  I think ignorant is the appropriate word.
[36:12.180 --> 36:13.380]  Ignorant means misinformed.
[36:13.380 --> 36:14.540]  It's not an insult.
[36:14.540 --> 36:17.500]  They're very ignorant about feminized seeds.
[36:17.500 --> 36:19.180]  They have frustrated me enough
[36:19.180 --> 36:22.260]  to where I am going to do a full episode
[36:22.260 --> 36:26.980]  on feminized seeds and detailed on how I make them
[36:26.980 --> 36:28.580]  so that it's understood,
[36:28.580 --> 36:30.780]  so that people aren't using the wrong terms
[36:30.780 --> 36:31.620]  and wrong assumptions.
[36:31.620 --> 36:32.940]  I want to correct it.
[36:32.940 --> 36:36.260]  So that's maybe it worked for them
[36:37.020 --> 36:37.860]  and giving all this terrible advice
[36:37.860 --> 36:39.420]  frustrated me enough to go,
[36:39.420 --> 36:41.380]  okay, children, here's how it works.
[36:41.380 --> 36:42.220]  It's like if you,
[36:42.220 --> 36:43.540]  if I know that the best way
[36:43.540 --> 36:45.620]  to get one of my comedian friends to tell a joke
[36:45.620 --> 36:47.780]  is to start telling his joke wrong.
[36:49.020 --> 36:50.100]  Yeah, yeah.
[36:50.100 --> 36:51.300]  Like if you're,
[36:51.300 --> 36:52.980]  you know I hang out with some of the comedian nerds, right?
[36:52.980 --> 36:53.820]  So start telling-
[36:53.820 --> 36:55.420]  No, I know, it's a good analogy.
[36:55.420 --> 36:56.700]  Start telling one of their bits, bro.
[36:56.700 --> 36:57.620]  And they'll be, you're fucking it up.
[36:57.620 --> 36:58.460]  It goes like this.
[36:58.460 --> 36:59.300]  And I just sit back
[36:59.300 --> 37:00.980]  and then I get to watch them tell their joke.
[37:00.980 --> 37:01.820]  Like, oh, thank you.
[37:01.820 --> 37:03.620]  Now I get to hear you do comedy now.
[37:03.620 --> 37:04.900]  And I get to enjoy it.
[37:04.900 --> 37:05.740]  Yeah.
[37:06.260 --> 37:07.100]  And I'm like, we're super rambly.
[37:07.100 --> 37:08.340]  I've got no deadline today.
[37:08.340 --> 37:11.580]  So let's get right into another message.
[37:11.580 --> 37:12.700]  This one comes from,
[37:12.700 --> 37:14.340]  what did they sign it with?
[37:14.340 --> 37:15.740]  No, they're writing from Prohibition Land.
[37:15.740 --> 37:17.580]  So we're not going to even hit their name.
[37:17.580 --> 37:18.460]  What's up Prohibition Land?
[37:18.460 --> 37:20.100]  And somebody sent me an email the other day
[37:20.100 --> 37:21.420]  and it said, I am in PL.
[37:21.420 --> 37:23.140]  And I was like, bro, I don't, where's PL?
[37:23.140 --> 37:24.380]  Like Prohibition Land, motherfucker.
[37:24.380 --> 37:26.420]  And I was like, sorry, I'm high.
[37:26.420 --> 37:27.980]  I'm fucking stupid if I didn't get that.
[37:27.980 --> 37:29.340]  I apologize.
[37:29.340 --> 37:31.540]  From Prohibition Land says like this,
[37:31.540 --> 37:33.780]  Rasta Jeff, I love everything you do, brother.
[37:33.820 --> 37:36.580]  I'm writing from East Coast Prohibition Land.
[37:36.580 --> 37:38.460]  I'll keep it short since you're busy.
[37:38.460 --> 37:39.300]  Thank you.
[37:39.300 --> 37:40.140]  I do appreciate that.
[37:40.140 --> 37:43.540]  First, if you think your perpetual grow lesson
[37:43.540 --> 37:47.420]  was worth money, then your breeding lessons was priceless.
[37:47.420 --> 37:48.260]  Dude, that's awesome.
[37:48.260 --> 37:49.100]  Thank you.
[37:49.100 --> 37:50.020]  I think I made a joke one time
[37:50.020 --> 37:53.460]  about my perpetual grow lesson being worth a million bucks.
[37:53.460 --> 37:54.500]  Or if I would have written a book,
[37:54.500 --> 37:56.380]  that would have been the cash cow right there.
[37:56.380 --> 37:57.220]  That was old school.
[37:57.220 --> 37:58.700]  So you've been listening for a while
[37:58.700 --> 38:01.380]  and I'm glad you enjoyed the breeding labels lesson.
[38:01.380 --> 38:04.140]  I kind of went over that on two other podcasts today.
[38:04.140 --> 38:05.900]  We talked about that on Embracing Organics.
[38:05.900 --> 38:09.380]  We also talked about that on the Growcast with Jordan River.
[38:09.380 --> 38:11.620]  So fun topic that keeps coming up.
[38:11.620 --> 38:12.900]  I'm gonna get myself back on track.
[38:12.900 --> 38:15.380]  It says, dude, I listened to it twice back to back
[38:15.380 --> 38:17.020]  just for the A and B line lesson.
[38:17.020 --> 38:19.740]  And I will listen many more times for a refresher.
[38:19.740 --> 38:20.580]  I love that.
[38:20.580 --> 38:21.700]  Keep clicking on it, bro.
[38:21.700 --> 38:22.540]  Listen on YouTube.
[38:22.540 --> 38:24.260]  Give me more listens and views.
[38:24.260 --> 38:25.980]  That episode is my absolute favorite
[38:25.980 --> 38:28.180]  and I will spread the word about your podcast
[38:28.180 --> 38:30.100]  to anyone who will listen, my friend.
[38:30.100 --> 38:30.940]  I love that.
[38:31.700 --> 38:32.700]  Yeah, don't run off your friends
[38:32.700 --> 38:35.140]  by rambling too much about it, but encourage them.
[38:35.140 --> 38:36.380]  So it goes on to say,
[38:36.380 --> 38:37.940]  I grew in a basement for about 10 years
[38:37.940 --> 38:39.420]  and I had to stop for six.
[38:39.420 --> 38:42.020]  I started again, then I started again.
[38:42.020 --> 38:43.580]  It says why he had to stop,
[38:43.580 --> 38:44.980]  but I don't know if I'm supposed to read that
[38:44.980 --> 38:46.460]  because it's in parentheses.
[38:46.460 --> 38:50.420]  It says now I'm allegedly in week two of my,
[38:50.420 --> 38:52.340]  week two of flower on my third attempt.
[38:52.340 --> 38:55.140]  I've got four New York diesel in a four by three tent.
[38:55.140 --> 38:56.900]  Everything looks good for this one.
[38:56.900 --> 38:58.020]  Bro, I've seen your past
[38:58.020 --> 39:00.420]  and I hope this one is much more successful.
[39:00.780 --> 39:01.700]  Fingers crossed.
[39:01.700 --> 39:03.780]  Yeah, toes crossed, jaw love.
[39:03.780 --> 39:06.780]  I am fairly experienced, but this is my first trellis grow.
[39:06.780 --> 39:09.060]  So they've got a trellis, a netting system.
[39:09.060 --> 39:10.780]  I just installed my second trellis.
[39:10.780 --> 39:12.820]  So they got a first one, hopefully spreading it.
[39:12.820 --> 39:14.940]  The second one kind of giving it support.
[39:14.940 --> 39:17.020]  It says I listened to all of your Scrog lessons,
[39:17.020 --> 39:18.620]  but I have a quick question.
[39:18.620 --> 39:20.620]  All right, this is where the questions come in.
[39:20.620 --> 39:24.780]  Is it okay if some of my buds are woven through the trellis
[39:24.780 --> 39:26.300]  or should I only be weaving
[39:26.300 --> 39:28.820]  so only the branch material is touching the trellis?
[39:28.820 --> 39:30.380]  I hope this makes sense.
[39:31.220 --> 39:32.580]  I'm trying to keep the canopy super low.
[39:32.580 --> 39:34.820]  I'm just worried that I'm keeping some of the buds caught
[39:34.820 --> 39:35.860]  in the trellis.
[39:35.860 --> 39:38.780]  I work on a 2,500 acre fresh produce farm,
[39:38.780 --> 39:40.500]  but I come home to a four by three tent.
[39:40.500 --> 39:42.340]  Bro, that is passion right there.
[39:42.340 --> 39:44.420]  I wish every day that these rows were golden goat
[39:44.420 --> 39:45.700]  or lemon Jeffrey.
[39:45.700 --> 39:46.540]  Thank you, bro.
[39:46.540 --> 39:48.380]  I wish you much love.
[39:48.380 --> 39:49.540]  Shout out from our friend out there
[39:49.540 --> 39:51.500]  in East Coast prohibition land.
[39:51.500 --> 39:53.540]  Let's talk about this for a minute, Mike.
[39:54.460 --> 39:56.100]  One of the, the first thing I thought was,
[39:56.100 --> 39:56.940]  yeah, it's okay.
[39:56.940 --> 39:58.300]  You're gonna get, your buds are gonna grow
[39:58.300 --> 40:00.180]  into your trellis occasionally.
[40:00.980 --> 40:01.820]  You get the little nodules,
[40:01.820 --> 40:03.860]  the stick comes up and the bud branches off of there.
[40:03.860 --> 40:05.460]  And instead of it just growing straight,
[40:05.460 --> 40:07.660]  it happens to catch the part of this trellis
[40:07.660 --> 40:08.740]  and it just grows around it.
[40:08.740 --> 40:09.580]  That's fine.
[40:09.580 --> 40:10.860]  You're just gonna have to cut that out at the end of flower.
[40:10.860 --> 40:12.140]  Be careful.
[40:12.140 --> 40:13.860]  Something that did catch my attention though,
[40:13.860 --> 40:16.700]  you said that you're still weaving it through
[40:16.700 --> 40:17.940]  and you're in flower.
[40:17.940 --> 40:20.060]  Be very careful doing that.
[40:20.060 --> 40:23.180]  If you're in flower far enough to have chunky bud set,
[40:23.180 --> 40:25.780]  you should have already be woven up through there.
[40:25.780 --> 40:28.340]  That's part of what got my attention.
[40:28.340 --> 40:30.780]  So I'm gonna read it again.
[40:30.780 --> 40:34.540]  Only, I only be weaving or should I only be weaving
[40:34.540 --> 40:37.420]  so only the branch material is touching the trellis?
[40:38.660 --> 40:41.940]  I read that or listening to you read that,
[40:41.940 --> 40:44.380]  it sounded like he was talking about his setup.
[40:44.380 --> 40:46.140]  So should he weave it through
[40:46.140 --> 40:49.940]  so that when it starts to flower out heavily,
[40:49.940 --> 40:52.180]  all of the flowering material is off
[40:52.180 --> 40:54.300]  and it's mostly stick hitting trellis.
[40:54.300 --> 40:55.140]  Okay.
[40:55.140 --> 40:55.980]  Most of the time-
[40:55.980 --> 40:56.820]  That's what I'd shoot for.
[40:56.820 --> 40:59.380]  The bottom one, we're going to clean off
[40:59.380 --> 41:01.700]  most of the branching and sucker shoots and shit
[41:01.700 --> 41:02.660]  on the bottom net.
[41:02.660 --> 41:05.580]  That's, we clean all the way.
[41:05.580 --> 41:06.860]  That's I kind of, as a rule of thumb,
[41:06.860 --> 41:07.700]  I kind of clean all the way to the bottom net.
[41:07.700 --> 41:10.100]  The bottom net's only there at the end of flower
[41:10.100 --> 41:13.660]  because it's too hard to get it out before flowering's done.
[41:13.660 --> 41:14.500]  Right.
[41:14.500 --> 41:15.340]  But there shouldn't be buds on that one.
[41:15.340 --> 41:16.300]  Like you're not using it anymore.
[41:16.300 --> 41:18.060]  The bud starts right above that.
[41:18.060 --> 41:20.980]  Like that's, I tell the guys bottom it to the first net.
[41:20.980 --> 41:23.100]  That's kind of the first net goes about 18 inches high
[41:23.100 --> 41:24.140]  and we bottom up to there.
[41:24.140 --> 41:26.300]  So you got however tall the pot is
[41:26.820 --> 41:27.740]  and then the rest of that gets kind of cleaned up.
[41:27.740 --> 41:29.860]  So there's no bud down there.
[41:29.860 --> 41:32.660]  Maybe tiny buds may grow into your net, but that's fine.
[41:32.660 --> 41:33.620]  Just pull them right out.
[41:33.620 --> 41:35.540]  They're going to fall off when you start pulling it.
[41:35.540 --> 41:37.540]  You know, when the guys run through the grow rooms, Mike,
[41:37.540 --> 41:38.380]  and at the end of the day,
[41:38.380 --> 41:39.900]  we got a bunch of little popcorn buds on the floor.
[41:39.900 --> 41:41.420]  Those are the ones that got caught in the net.
[41:41.420 --> 41:42.860]  Those are the little tiny buds that grew
[41:42.860 --> 41:44.420]  on the wrong side of the fence.
[41:44.420 --> 41:46.780]  So your second layer of trellis,
[41:46.780 --> 41:48.580]  that is there to support the buds.
[41:48.580 --> 41:50.200]  So they're going to be leaning against that.
[41:50.200 --> 41:51.260]  They've got to go somewhere.
[41:51.260 --> 41:52.620]  They're toppling over, they're tall.
[41:52.620 --> 41:53.940]  They're going to, and so that is when you get
[41:53.940 --> 41:55.540]  the opportunity for that stick to go straight.
[41:55.540 --> 41:57.460]  The bud starts growing up, the fences around it,
[41:57.460 --> 41:59.700]  and they are going to go on the wrong side of the fence.
[41:59.700 --> 42:00.900]  Yeah, that'll be okay.
[42:00.900 --> 42:01.940]  That will happen.
[42:01.940 --> 42:03.400]  It's going to be hard to prevent.
[42:03.400 --> 42:05.100]  You see where the buds are going to develop
[42:05.100 --> 42:06.540]  because you've got to shoot there,
[42:06.540 --> 42:08.020]  but sometimes you just can't aim it.
[42:08.020 --> 42:09.340]  It's, shit happens.
[42:09.340 --> 42:11.860]  In a tent, you've got a little more chance to control it
[42:11.860 --> 42:13.940]  than you do in a larger facility.
[42:13.940 --> 42:14.780]  Yeah.
[42:14.780 --> 42:16.360]  And when you're talking four or six plants,
[42:16.360 --> 42:20.020]  it's easier to micromanage each cola.
[42:21.120 --> 42:24.720]  It's not possible to do it on a 20 yard table.
[42:24.720 --> 42:25.560]  Yeah.
[42:25.560 --> 42:26.600]  When you cut them down,
[42:26.600 --> 42:28.440]  you're going to cut them down to small buds anyway.
[42:28.440 --> 42:30.440]  Nobody wants, it's really fun to look at
[42:30.440 --> 42:32.440]  big old donkey dick buds, big old bananas,
[42:32.440 --> 42:33.800]  big old dildos of weed,
[42:33.800 --> 42:35.360]  but I don't want to buy those
[42:35.360 --> 42:37.220]  because there's a stick down the middle.
[42:37.220 --> 42:38.420]  There's a drumstick down the middle.
[42:38.420 --> 42:39.960]  I'm not trying to buy a five hay drumstick
[42:39.960 --> 42:40.800]  along with my weed.
[42:40.800 --> 42:42.480]  I'll go to Guitar Center when I need sticks.
[42:42.480 --> 42:44.600]  Actually, I'll visit my friends at Dope Sticks.
[42:44.600 --> 42:46.080]  Shout out to Dope Sticks.
[42:46.080 --> 42:47.420]  You've got to show love to local drummers
[42:47.420 --> 42:48.960]  and people that support you back.
[42:48.960 --> 42:49.800]  That's my friend, Eric Moore.
[42:49.800 --> 42:51.080]  He's got a drum company that makes sticks now.
[42:51.080 --> 42:53.440]  Got to show him love, but I don't want the big bud.
[42:53.440 --> 42:54.400]  You got to cut it down.
[42:55.080 --> 42:55.920]  Make it smaller.
[42:55.920 --> 42:56.740]  So in the end of the cycle,
[42:56.740 --> 42:57.920]  you're kind of down making it smaller anyway.
[42:57.920 --> 42:59.480]  Don't be too worried if it's stuck.
[42:59.480 --> 43:01.140]  What you can do at harvest time,
[43:01.140 --> 43:02.800]  you can cut the branch low.
[43:02.800 --> 43:04.720]  And so if your trellis is at one level
[43:04.720 --> 43:06.040]  and the buds grown up through it,
[43:06.040 --> 43:08.720]  cut below there and just slowly slide down
[43:08.720 --> 43:11.600]  and get the trellis net out of there,
[43:11.600 --> 43:13.440]  the string, the plastic line, whatever.
[43:13.440 --> 43:14.620]  Just slowly get it out of there,
[43:14.620 --> 43:16.200]  go downward and pull it out.
[43:16.200 --> 43:18.280]  Hopefully you got like 12 or 14 inches worth of,
[43:18.280 --> 43:19.560]  you won't, I'm just exaggerating
[43:19.560 --> 43:20.800]  and hoping you the best of luck,
[43:20.800 --> 43:22.320]  but it's only going to be a couple of inches.
[43:22.320 --> 43:24.360]  You got to slide down, pull it out of there.
[43:25.200 --> 43:27.000]  Maybe that way you won't break that bud off of the stick
[43:27.000 --> 43:29.080]  and it will still dry and cure properly.
[43:29.080 --> 43:30.560]  But yeah, it's not a big deal.
[43:30.560 --> 43:31.400]  It's not a major issue.
[43:31.400 --> 43:32.640]  It's not a problem.
[43:32.640 --> 43:35.920]  It just makes harvesting as a little bit more challenging
[43:35.920 --> 43:37.160]  once you get it that way.
[43:38.600 --> 43:41.480]  If you can, when it comes harvest time,
[43:41.480 --> 43:43.600]  cut the plants out of the net.
[43:43.600 --> 43:47.720]  Don't cut the net down all at once.
[43:47.720 --> 43:50.360]  Just as a commercial grower with a lot of experience,
[43:50.360 --> 43:52.320]  Mike's nodding his head because he's seen this.
[43:52.320 --> 43:56.160]  So like your net is hooked to some supports
[43:56.160 --> 43:57.960]  on the side of the table.
[43:57.960 --> 43:59.920]  If you cut it free of those supports
[43:59.920 --> 44:04.000]  so that the net flops free all in one piece,
[44:04.000 --> 44:06.640]  it'll fuck up your harvest.
[44:06.640 --> 44:09.320]  All of your buds will flop free all at once.
[44:09.320 --> 44:10.520]  Triple your harvest time.
[44:10.520 --> 44:12.240]  It's easier to cut the buds out of the net
[44:12.240 --> 44:14.880]  than to cut the net out of the buds, to tell you the truth.
[44:14.880 --> 44:17.920]  And it's, yeah, it's super easy to go piecemeal.
[44:19.000 --> 44:19.840]  Be patient.
[44:19.840 --> 44:21.160]  Don't get in a rush.
[44:21.200 --> 44:24.400]  I've seen growers cut other growers.
[44:24.400 --> 44:26.760]  I've seen growers cut themselves.
[44:26.760 --> 44:28.760]  That is when shit goes wrong.
[44:28.760 --> 44:30.880]  I had a guy fall off a ladder once.
[44:30.880 --> 44:32.560]  They were both holding it.
[44:32.560 --> 44:34.840]  And one guy tugged it and one guy fell.
