[00:11.130 --> 00:18.930]  Yeah. Welcome back.
[38:34.270 --> 38:37.350]  I don't have a rig. I want to smoke some hash. Did you ever rig a no torch?
[38:37.390 --> 38:38.390]  Is that, was that the story?
[38:38.750 --> 38:40.990]  I, yeah, I had a rig and I had no torch.
[38:41.030 --> 38:44.870]  So we say rig and it sounds terrible. By rig we mean a small water pipe.
[38:44.870 --> 38:46.870]  I prefer a smaller, I went over this on another episode,
[38:46.870 --> 38:50.710]  a small pipe with a dab nail on it. Uh, we go domeless nowadays.
[38:50.710 --> 38:54.310]  A lot of us use a, what's called a banger. It's a quartz hash nail. Uh,
[38:54.350 --> 38:57.190]  it looks like a little quartz hash bucket. It's like a bucket. Yeah.
[38:57.190 --> 39:00.550]  It's fucking marvelous. But Lindsay had the pipe and the nail part,
[39:00.550 --> 39:03.790]  but she didn't have a way to make the nail part hot to where she could melt hash
[39:03.790 --> 39:05.310]  on it. Do you remember my advice,
[39:05.590 --> 39:08.150]  the way that I really thought would work for you? Uh,
[39:08.190 --> 39:12.390]  what you gave me too that I thought were actually quite,
[39:13.590 --> 39:17.710]  so you gave me the gas stove, which you know, had electric stove.
[39:18.070 --> 39:21.350]  Oh, sorry. Either way it would have worked. The stove use the damn stove. Right.
[39:21.790 --> 39:25.790]  And then, um, I just take the nail out and heat the nail on the stove for sure.
[39:25.830 --> 39:30.030]  And then the other one was the car, um,
[39:30.070 --> 39:31.270]  the car cigarette lighter.
[39:31.670 --> 39:35.030]  I told her to use the car cigarette lighter as a carb cap on the banger.
[39:35.430 --> 39:38.830]  Like if you just heat that fucker up till it glows and then you drop your dab in
[39:38.830 --> 39:42.470]  the banger and then put the cigarette lighter over it and draw the heat would
[39:42.470 --> 39:44.070]  work just like how the carb cap works.
[39:44.630 --> 39:47.590]  And she didn't try it because she didn't have the fucking cigarette lighter.
[39:47.830 --> 39:50.950]  Mine doesn't work in my car. But yeah, so if you're,
[39:51.190 --> 39:53.030]  if you're screwed and you got a banger,
[39:53.070 --> 39:56.630]  you could probably take a dab by using that cigarette lighter. I've also,
[39:56.870 --> 39:57.710]  I know a little bit.
[39:57.950 --> 40:02.950]  What the nail in the rig is for is it replaces hot knife hits in the world of
[40:03.110 --> 40:06.390]  hash and hot knife hits is exactly what it sounds like.
[40:06.390 --> 40:07.750]  You take two butter knives,
[40:07.750 --> 40:12.430]  you stick them in an electric stove until the tips glow and then mash a piece of
[40:12.430 --> 40:13.070]  hash in the middle.
[40:13.070 --> 40:17.070]  That's how like everyone in Europe got stoned from like 71 to 75.
[40:17.110 --> 40:20.670]  Just to smoke hash like that. My buddy, Sam's fucking kitchen years ago,
[40:20.790 --> 40:22.710]  years and years ago, shot at the Sammy. What's up bro?
[40:22.910 --> 40:23.750]  When, uh,
[40:24.070 --> 40:27.550]  people my parents' age come into the shop and ask for hash,
[40:27.590 --> 40:32.150]  what they're thinking about is hot knife hits or the little pin under the beer
[40:32.190 --> 40:34.630]  mug. They don't even believe that what we have now is hash.
[40:34.630 --> 40:35.710]  Like what is that shit?
[40:35.990 --> 40:39.270]  I literally explained it as this is the new fancy hash.
[40:39.270 --> 40:41.830]  Like that's my intro sentence for them.
[40:42.590 --> 40:46.110]  It's the easiest way to bring them up to speed. But uh, yeah,
[40:46.110 --> 40:48.150]  hot knife hits work on the fancy hash too.
[40:48.150 --> 40:51.270]  It's just a little closer to crack smoke and then most of us likes to get.
[40:51.590 --> 40:56.070]  One time I saw our buddy Kevin took his car cigarette lighter and took a dab and
[40:56.070 --> 40:59.510]  just threw the dab on the car cigarette lighter and inhaled what came off of it.
[41:00.510 --> 41:04.150]  It's, it's portable and functional. I mean,
[41:04.230 --> 41:05.150]  fucking worked for him.
[41:05.230 --> 41:07.630]  And it's easily hidden. You just
[41:10.510 --> 41:12.910]  probably never worked again. I didn't get that far.
[41:13.350 --> 41:14.190]  One time we're at a,
[41:14.350 --> 41:17.990]  we're at a party late one night and we're smoking a bowl and we had shatter and
[41:17.990 --> 41:20.350]  this was before like, like Kevin and I were kind of,
[41:20.350 --> 41:22.070]  we were some of the first dab kids around here.
[41:22.070 --> 41:26.190]  Everyone was smoking weed at the time. Uh, I was, Kevin was made, I,
[41:26.470 --> 41:28.190]  Kevin was making shatter out of the material.
[41:28.190 --> 41:29.950]  I was growing and we're kind of ahead of the curve.
[41:30.270 --> 41:32.990]  So we'd go places and people would have a rig and I didn't,
[41:32.990 --> 41:35.990]  I didn't use to drive around with a rig on me. I wouldn't take glass with me.
[41:35.990 --> 41:39.030]  I wouldn't do any of that stuff. I didn't like taking a rig with me anywhere.
[41:39.710 --> 41:42.070]  But we would get a bowl burning real hot,
[41:42.110 --> 41:46.430]  just get it super ridiculous chariot and then just drop globs of hash onto it and
[41:46.430 --> 41:49.030]  then try to smoke as much of that as we could. Uh,
[41:49.030 --> 41:52.310]  it would make us choke so hard, but we would get high as shit.
[41:52.790 --> 41:53.710]  It was so much fun.
[41:54.710 --> 41:57.670]  We did so much bizarre shit back in the day.
[41:58.910 --> 42:02.390]  Um, the swing arm skillets where we'd have them glowing like the sun and then
[42:02.390 --> 42:06.070]  throw a quarter gram dab down because we didn't know anything about what we were
[42:06.070 --> 42:07.070]  doing back in the day.
[42:07.070 --> 42:11.230]  And that oil would just fly out onto your legs and shit while you were hitting it
[42:11.470 --> 42:12.950]  boiling temp. Oh my God.
[42:14.430 --> 42:15.870]  Shout out to my buddy, Jordan Segoto.
[42:15.870 --> 42:18.870]  One day we were dabbing and he heated the banger and I don't know what he was
[42:18.870 --> 42:19.150]  thinking.
[42:19.150 --> 42:23.470]  He grabbed a fat dab and like just heats the banger sets the torch down and just
[42:23.470 --> 42:26.110]  puts the dab on the nail. Usually you got to wait a few,
[42:26.350 --> 42:29.510]  at least a few seconds. A lot of these new kids are setting a fucking timer.
[42:29.830 --> 42:33.230]  They got a little fucking hourglass. Come on, come on. You can wait.
[42:33.230 --> 42:36.150]  You know how to figure it out. But anyway, Jordan just goes right in.
[42:36.150 --> 42:36.990]  He just goes in.
[42:37.030 --> 42:40.710]  And I was probably 15 feet away from him sitting in another chair and I could
[42:40.710 --> 42:43.230]  hear the dab scream. The dab went
[42:46.070 --> 42:47.630]  and we could all hear it from across the room.
[42:47.630 --> 42:50.830]  And that dude turned to purple and red and tons of different colors and cough
[42:50.830 --> 42:54.190]  forever. That poor dude took the hottest dab ever. And I'll never forget it.
[42:54.230 --> 42:57.350]  She was terrible. Glowy, glowy.
[42:58.230 --> 43:02.310]  The first generation of dab kits have some of the best little burn and brand
[43:02.310 --> 43:03.150]  marks.
[43:03.750 --> 43:05.750]  Where's your, where's your a dab wound?
[43:05.990 --> 43:11.030]  I've got two drip wounds on one of my legs from the skillet days that you can't
[43:11.050 --> 43:12.150]  really tell what they're like.
[43:12.150 --> 43:16.190]  They're dad related unless you get explained and then the stripe makes sense.
[43:17.310 --> 43:21.270]  Um, but I remember seeing kids like when domeless nails first started being
[43:21.270 --> 43:25.350]  notched a little bit, sort of like castle towers. Yeah. Um,
[43:25.390 --> 43:29.030]  I was in, um, like Walmart or some shit.
[43:29.030 --> 43:33.270]  And a kid reached out with some money and I saw on his forearm that he had that
[43:33.270 --> 43:38.230]  brand mark on his wrist and I was just a fucking busted up laughing. Um,
[43:38.310 --> 43:42.710]  I saw a whole bunch of the circular domeless nail burns. Yeah. Um,
[43:42.750 --> 43:46.190]  back in the dome days, people had all sorts of crazy drip burns.
[43:46.190 --> 43:49.470]  You guys don't let your friends try to carb the dab rig.
[43:49.670 --> 43:52.830]  Just don't pull that hot nail. It's hot. You just heated it with the torch.
[43:53.110 --> 43:56.150]  Don't carve it. Just smoke. It's not a, it's not a bong. You're not smoking pot.
[43:56.150 --> 43:58.830]  It's not going to burn and you're not going to carve it. If you just smoke,
[43:58.870 --> 44:01.310]  it'll quit smoking when it's done. Just do it. You'll be cool.
[44:01.670 --> 44:05.590]  A friend of mine, he was being handed a rig and the person almost dropped it and
[44:05.590 --> 44:10.150]  he reached out reflexively and grabbed it in the heat sinks in the top of the
[44:10.150 --> 44:12.910]  nail lined up in between his thumb and forefinger.
[44:13.390 --> 44:17.470]  And the brand right there looks like half space alien. He,
[44:18.030 --> 44:20.150]  um, just because of the,
[44:20.150 --> 44:23.870]  the way that the bowl pressed into his hand and then the heat sinks below it,
[44:23.910 --> 44:27.630]  the little metal stripes. Sounds terrible. No, it was hideous,
[44:27.630 --> 44:29.030]  but now the brand looks cool.
[44:31.710 --> 44:34.750]  Ouch. There's the plus side. Yeah. All right. Let's, let's,
[44:34.830 --> 44:38.710]  let's go back to a positive note. You guys, man, this place is going everywhere.
[44:38.710 --> 44:41.950]  This is what dads do to the show. Yeah. Shout out to dabs. Uh,
[44:41.990 --> 44:45.430]  the new thing is to take some good shatter or some good hash of any kind and
[44:45.470 --> 44:49.630]  then dunk it into fresh terpenes, either from a brute blue,
[44:50.430 --> 44:52.350]  words are hard at the end of the show, blue river,
[44:52.830 --> 44:55.510]  or of course our friends at Evo labs. That is the thing.
[44:55.550 --> 44:59.030]  I think Duncan the dabs and turps kind of pushes it to a whole new level. Uh,
[44:59.070 --> 45:03.750]  the ghost train, Hayes dabs make my eyes vibrate. Lemon G dabs, uh,
[45:03.790 --> 45:06.710]  make my head spin a little bit. And the OG cush dabs just make me want to lay
[45:06.710 --> 45:09.350]  down and chill the fuck out of the turps, the turps.
[45:09.350 --> 45:11.770]  So these new turps are definitely the next level. You guys,
[45:11.770 --> 45:13.870]  if you have the opportunity, come to Colorado,
[45:14.070 --> 45:17.110]  find a store that sells turps recreationally, get some shatter,
[45:17.110 --> 45:19.870]  get some turps, put a dab, a shatter on a dabber,
[45:19.870 --> 45:21.550]  and dunk it into the container of turps.
[45:21.550 --> 45:25.430]  Put that onto a properly temperatured nail, carb cap it, enjoy the flavor.
[45:25.430 --> 45:27.590]  That shit's amazing. That's what I recommend. Come to Colorado.
[45:27.590 --> 45:29.510]  Say what's up. Come see us. It'd be awesome to see you.
[45:29.870 --> 45:33.150]  We'll take a hike with you. We'll take a dab with you. We're volunteering.
[45:33.510 --> 45:35.630]  Yeah. All right. You guys, we've been going for 45 minutes.
[45:35.630 --> 45:36.830]  A lot of people are getting ADD.
[45:36.830 --> 45:38.790]  The people at the table are super high and they're getting really quiet.
[45:39.030 --> 45:41.910]  So it feels like it's time to wrap up this show. Mike, you look good and high.
[45:41.910 --> 45:44.270]  What were you going to say? I said, I'm thinking about turps now.
[45:44.270 --> 45:47.990]  I was just distracted and now I remember those are over there.
[45:48.070 --> 45:51.430]  It's time for a dunking dab. It's time for a dunking dab nuts.
[45:51.510 --> 45:54.070]  That sounds way worse than it's going to be. Mike,
[45:54.070 --> 45:57.390]  shout out your Twitter handle so that folks can follow you and also remind them
[45:57.390 --> 45:58.350]  of your Facebook page.
[45:58.390 --> 46:03.390]  It's at Nemo Punk 15 on Twitter and Pueblo for sensible cannabis laws on
[46:03.670 --> 46:06.590]  Facebook. Lindsey, that's a killer stretch. That's inspiring.
[46:06.590 --> 46:08.470]  You're making me want to stretch and get an inch taller.
[46:09.470 --> 46:10.310]  Yeah.
[46:12.790 --> 46:14.710]  So good. I couldn't even talk after it.
[46:14.710 --> 46:17.110]  I can see it. It was like I had like a stroke almost.
[46:17.350 --> 46:19.630]  Remind everybody how they can follow you on all the social media.
[46:20.550 --> 46:25.110]  I am the traveling stoner on Instagram and Periscope.
[46:25.990 --> 46:30.990]  My Snapchat is traveling stoner without the G and my Twitter is the travel
[46:32.430 --> 46:36.950]  stoner. Oh, and Facebook is the traveling stoner too, I guess.
[46:36.990 --> 46:40.550]  You tell them about your website. Uh, no, cause it's not,
[46:41.110 --> 46:44.470]  don't go there yet. Nah, it's not up and ready yet. So chill out on that.
[46:44.470 --> 46:46.870]  You guys want to be ready? Yeah. I just put her on the spot.
[46:46.870 --> 46:47.830]  Now she's got to make it happen.
[46:48.670 --> 46:50.190]  I want to thank you guys for coming and hanging out on the show.
[46:50.190 --> 46:52.790]  I know it's fucking midnight now. I know everybody has to work in the morning.
[46:52.830 --> 46:55.150]  So shout out to all the people that are out there busting their ass.
[46:55.150 --> 46:57.870]  All the growers, all the bud tenders, everybody that's making this new industry
[46:57.870 --> 47:00.990]  move. Uh, there's no room for some lazy fucks in this one.
[47:00.990 --> 47:03.070]  All the people that are on it now are grinding a hundred percent.
[47:03.070 --> 47:05.950]  So it's time to step up and get it going. Yeah.
[47:07.030 --> 47:09.950]  Everyone just gave me that. Yeah. Look, I,
[47:10.390 --> 47:14.510]  I laugh at the lazy stoner stereotype. Like when you see this industry work,
[47:16.910 --> 47:19.350]  it's such a, yeah, yeah, bro. We, we put it in.
[47:19.390 --> 47:22.070]  Shout out to the people that have been trimming all week at the, at the grow.
[47:22.430 --> 47:23.990]  Much appreciated. All right, you guys,
[47:24.190 --> 47:26.830]  I think that is all we've got for you this week. Now that the show's over,
[47:26.830 --> 47:29.230]  I would appreciate it. If you go to iTunes, go to the iTunes store,
[47:29.230 --> 47:32.150]  search for the grow from your heart podcast, find the review section, uh,
[47:32.190 --> 47:34.190]  type in a comment. Let me know what you think about the podcast.
[47:34.190 --> 47:36.470]  I will read your comment on a future episode while you're there.
[47:36.470 --> 47:40.030]  You guys have the option to give me stars one through five stars.
[47:40.150 --> 47:43.070]  I'm not going to beg for five stars. Give me what you really feel I deserve.
[47:43.110 --> 47:46.870]  I'd appreciate that. Um, I would love it if you follow me on social media.
[47:47.070 --> 47:49.710]  We talked about, uh, Instagram. We talked about Twitter.
[47:49.710 --> 47:52.630]  We talked about Facebook, uh, just search grow from your heart.
[47:52.950 --> 47:56.270]  Also follow me on Instagram. It's Irie underscore genetics.
[47:56.270 --> 47:58.710]  I'd love it if you email me, if you're not into the social media stuff,
[47:58.710 --> 48:02.470]  you got something to say, send me an email, grow from your heart at hotmail.com.
[48:02.470 --> 48:04.910]  You guys don't forget that the podcast available. Sorry.
[48:04.910 --> 48:08.150]  I'm going to cough from a dab. I'm not going to do it. I'm going to hold it.
[48:08.150 --> 48:10.670]  No coughs. Uh, coughs are for the week. Uh,
[48:10.670 --> 48:13.390]  don't forget the show's available on iTunes stitcher and every single episode
[48:13.390 --> 48:18.310]  is archived on Irie genetics, colorado.com.
[48:18.310 --> 48:22.230]  I think that's all I've got for you this week. You guys, uh, coming up next time,
[48:22.270 --> 48:24.710]  we'll have the dabbing granny next time in a future episode,
[48:24.710 --> 48:25.470]  we'll have the dabbing granny.
[48:25.470 --> 48:29.790]  We're going to talk about pests and issues and how to solve those and shit like
[48:29.790 --> 48:31.590]  that in the future. So big shout out to my ninja spin.
[48:31.590 --> 48:34.310]  So I want to thank my friends for joining me once again, until next time,
[48:34.310 --> 48:36.950]  take a fat dab and give your mom a hug for me.
[48:38.750 --> 48:42.350]  About noon. Just thought that I had to be in Compton soon.
[48:42.590 --> 48:47.030]  I got to get drunk before the day begins. Before my mother starts bitching about
[48:47.030 --> 48:47.870]  my friends,
[48:48.110 --> 49:14.740]  about to go and damn near went blind young shit buying W and then I played my
[49:18.580 --> 49:22.860]  old shit. It went something like this cruising down the street in my six,
[49:22.860 --> 49:24.740]  four jockeying the bitches,
[49:24.940 --> 49:29.940]  slapping the hose went to the park to get the school knuckleheads out there.
[49:30.180 --> 49:34.060]  Cold shooting some who can it be?
[49:34.540 --> 49:36.740]  A fresh El Camino rolling kilo G.
[49:38.420 --> 49:42.460]  And he started to say, it's all about making that GTA.
[49:42.500 --> 49:47.220]  Cause the boys in the hood are always hard to come talking that trash will pull
[49:47.220 --> 49:50.460]  your car. No, nothing in life, but to be legit.
[49:50.700 --> 49:53.140]  Don't fool me boy. Cause I ain't said shit.
[49:55.740 --> 50:25.840]  I'm trying to steal a out
[50:27.840 --> 50:28.680]  to call a truce.
[50:29.160 --> 50:31.680]  The silly motherfucker pulls out a deuce deuce.
[50:32.720 --> 50:37.160]  No, I had a loaded 12 gauge one sucker dead LA times front page.
[50:37.160 --> 50:41.920]  Cause the boys in the hood are always hard to come talking that trash will pull
[50:41.920 --> 50:45.120]  your car. No, nothing in life, but to be legit.
[50:45.360 --> 50:47.800]  Don't fool me boy. Cause I ain't said shit.
[51:11.310 --> 51:15.310]  And I want to get ill. So I went to a spot where my homeboys chill.
[51:15.670 --> 51:20.070]  The fellas out there making that dollar. I pulled up in my six,
[51:20.070 --> 51:24.910]  four and I start drinking and from the eight ball,
[51:24.910 --> 51:26.390]  my breath starts sticking.
[51:26.670 --> 51:30.390]  Let me get my girl to rock that body before I left.
[51:30.390 --> 51:34.350]  I hit the book party, went to a house to get her out of the pad.
[51:34.510 --> 51:37.070]  Dumb hole says something that made me mad.
[51:37.430 --> 51:39.830]  She said something that I couldn't believe.
[51:39.870 --> 51:42.310]  So I grabbed a stupid bitch by nappy ass.
[51:42.990 --> 51:46.750]  Started talking shit. Wouldn't you know, reach back like a pimp,
[51:46.830 --> 51:47.830]  slap the hole.
[51:48.390 --> 51:50.790]  My father jumped up and he started to shout.
[51:50.830 --> 51:53.430]  So I threw a white frost and knocked his old ass out.
[51:53.670 --> 51:58.390]  Cause the boys in the hood are always hard to come talking that trash will pull
[51:58.430 --> 52:01.630]  your car. No, I'm nothing in life, but to be legit.
[52:01.830 --> 52:04.310]  Don't fool me boy. Cause I ain't said shit.
[52:36.260 --> 52:40.420]  And go by and I'll see the G right now.
[52:40.460 --> 52:43.460]  Cat is driving kilo on the side as a bus.
[52:43.460 --> 52:47.960]  And a couple of cop in a dark green.
[52:48.680 --> 52:50.840]  Cat got beat for resisting arrest.
[52:50.960 --> 52:53.600]  He sucked a pig in the head for ripping his guests.
[52:53.720 --> 52:57.840]  Now G is cocked for doing the crime for the fence on the boy.
[52:57.840 --> 53:01.600]  He'll do some time. Cause the boys in the hood are always hard.
[53:01.880 --> 53:04.480]  You come talking that trash will pull your car.
[53:04.720 --> 53:07.240]  No, I'm nothing in life, but to be legit.
[53:07.480 --> 53:09.920]  Don't fool me boy. Cause I ain't said shit.
[53:10.520 --> 53:11.040]  Yeah.
[53:36.190 --> 53:38.870]  In the county jail, two days later,
[53:38.870 --> 53:41.670]  in municipal court, he will be on trial.
[53:41.670 --> 53:47.100]  Cold cut off on the six year sentence.
[53:47.100 --> 53:48.540]  My man didn't budge.
[53:48.780 --> 53:50.940]  Better came over to turn him in.
[53:51.180 --> 53:56.740]  He will then can sue me.
[53:56.820 --> 53:59.020]  The bitch came in with a submachine.
[53:59.580 --> 54:01.860]  Only shot the bitch, but didn't hurt her.
[54:02.420 --> 54:04.820]  Both stayed for attempted murder.
[54:04.860 --> 54:07.220]  Cause the boys in the hood are always hard.
[54:07.500 --> 54:10.140]  You come talking that trash will pull your car.
[54:10.300 --> 54:12.860]  No, I'm nothing in life, but to be legit.
[54:13.060 --> 54:15.620]  Don't fool me boy. Cause I ain't said shit.
[54:19.780 --> 54:20.060]  Yeah.
[54:25.060 --> 54:25.380]  Busy.
