[00:01.660 --> 00:03.660]  Anyway!
[37:05.830 --> 37:07.830]  on this room that I was trying to build.
[37:07.830 --> 37:08.830]  So it's a cool room.
[37:08.830 --> 37:09.830]  Nice.
[37:09.830 --> 37:14.830]  It's a 10x10 room with a 10x5 long room in the middle, and all of your equipment is in that middle room.
[37:14.830 --> 37:17.830]  And you cool off all of the air in the middle room, and one side sleeps,
[37:17.830 --> 37:19.830]  so you're producing CO2 in the sleeping plants.
[37:19.830 --> 37:21.830]  Guys' plants that are asleep kick off CO2.
[37:21.830 --> 37:25.830]  If you can vent that CO2 into your flower room that's awake, you can use that.
[37:25.830 --> 37:29.830]  But so, yeah, you've got one air conditioner, one set of ballast, one dehumidifier,
[37:29.830 --> 37:31.830]  and then you're just moving the air around in both rooms.
[37:31.830 --> 37:32.830]  Yeah, for sure.
[37:32.830 --> 37:33.830]  Killer idea, guys.
[37:33.830 --> 37:34.830]  We'll talk about that.
[37:34.830 --> 37:35.830]  That's a huge room.
[37:35.830 --> 37:36.830]  That's a lot of money.
[37:36.830 --> 37:38.830]  That's like a multi-thousand-dollar room.
[37:38.830 --> 37:40.830]  So some of you guys are going to grow in closets and shit.
[37:40.830 --> 37:41.830]  That's what I'm saying, right?
[37:41.830 --> 37:43.830]  Some of you guys are going to grow in grow huts.
[37:43.830 --> 37:46.830]  Some of you guys might even bust out 16 lights in a basement.
[37:46.830 --> 37:50.830]  However you do it, there will be some obstacles presented by your existing environment.
[37:50.830 --> 37:51.830]  That's how it goes.
[37:51.830 --> 37:55.830]  Unless you're building a building that's designed to be a grow space from the beginning,
[37:55.830 --> 37:57.830]  you're going to have to deal with some type of obstacles.
[37:57.830 --> 37:59.830]  That's part of the fun for me, honestly.
[37:59.830 --> 38:01.830]  Yeah, no, totally is.
[38:01.830 --> 38:06.830]  I like taking a space like a dirty basement or a funky attic or the back part of the dispensary
[38:06.830 --> 38:11.830]  and making it an amazing, sufficient grow with the space and power that I've got
[38:11.830 --> 38:14.830]  without having to do any crazy, dramatic improvements to the place.
[38:14.830 --> 38:16.830]  It's kind of a fun challenge.
[38:17.830 --> 38:20.830]  I think I... No, I don't think I know.
[38:20.830 --> 38:24.830]  I do upgrades after every single run.
[38:24.830 --> 38:27.830]  Sometimes upgrades that slow me down quite a bit.
[38:27.830 --> 38:29.830]  Yeah, I've noticed.
[38:29.830 --> 38:31.830]  You've had some downtime for a minute.
[38:31.830 --> 38:32.830]  I've heard you talking about it.
[38:32.830 --> 38:33.830]  All right.
[38:33.830 --> 38:36.830]  So let's talk about a few things that every grow will need.
[38:36.830 --> 38:40.830]  There will be more things you're going to have to add to this depending on your room and your space.
[38:40.830 --> 38:42.830]  But every room is going to need these things.
[38:42.830 --> 38:45.830]  This is mostly for just one flowering room.
[38:45.830 --> 38:50.830]  If you want to have plants vegging while your crop flowers, you're going to need a small veg room also.
[38:50.830 --> 38:56.830]  Eventually, you're going to want a mother room and a clone area and a veg area and a breeding area
[38:56.830 --> 38:59.830]  and a place for your male plants and a place to make pollen.
[38:59.830 --> 39:04.830]  And it gets ridiculous when you start doing it a whole bunch.
[39:04.830 --> 39:06.830]  But eventually, you're going to want to add more rooms.
[39:06.830 --> 39:11.830]  My advice is build slowly and plan ahead with realistic expectations.
[39:11.830 --> 39:13.830]  Don't start counting your chickens before they hatch.
[39:13.830 --> 39:19.830]  If you've got a light and you expect a pound of weed, start thinking you've got three quarters of a pound of weed and budget for that
[39:19.830 --> 39:23.830]  because you're not going to grow as great as you plan your first couple of runs.
[39:23.830 --> 39:25.830]  So make your upgrades like Jesse said.
[39:25.830 --> 39:26.830]  He makes upgrades every time.
[39:26.830 --> 39:28.830]  Kind of plan them.
[39:28.830 --> 39:31.830]  Don't go too ambitious your first couple of times.
[39:31.830 --> 39:32.830]  Be realistic about it.
[39:32.830 --> 39:33.830]  You can fail.
[39:33.830 --> 39:35.830]  Crops fail.
[39:35.830 --> 39:40.830]  Things that kill crops, spider mites, air conditioner failure.
[39:40.830 --> 39:44.830]  Air conditioner cuts out in the middle of a flower cycle and you're at work and it's 90 degrees outside.
[39:44.830 --> 39:47.830]  You're going to come home and it's going to be 108 degrees in your grow room.
[39:47.830 --> 39:49.830]  And you're going to have crispy buds.
[39:49.830 --> 39:51.830]  They're already dried and cured for you.
[39:51.830 --> 39:54.830]  That shit happens.
[39:54.830 --> 40:00.830]  If you're running a hydro setup, if one pump dies while you're at work or while you're asleep, everything can go crunchy.
[40:00.830 --> 40:02.830]  Don't get me started on that.
[40:02.830 --> 40:03.830]  It's happened.
[40:03.830 --> 40:04.830]  I know.
[40:04.830 --> 40:06.830]  We have a mutual friend that went to Las Vegas for two days.
[40:07.830 --> 40:10.830]  He was supposed to go to a wedding and didn't want to go, but he had to go.
[40:10.830 --> 40:13.830]  And there was like a five-day vacation planned, but he went for two days.
[40:13.830 --> 40:20.830]  He flew there and flew back right away and came home and his pump took a shit while he was gone and his whole 4x4 table done.
[40:20.830 --> 40:21.830]  Oh, man.
[40:21.830 --> 40:22.830]  Yeah.
[40:22.830 --> 40:34.830]  We had a double redundancy setup, you know, two pumps and a setup at a dispensary and both failed the same weekend while everyone was at the Canada's Cup.
[40:34.830 --> 40:35.830]  Oh, man.
[40:35.830 --> 40:36.830]  Yeah.
[40:36.830 --> 40:37.830]  Goodbye.
[40:37.830 --> 40:38.830]  Two tables worth of weed.
[40:38.830 --> 40:39.830]  Two whole tables.
[40:39.830 --> 40:40.830]  Cannabis.
[40:40.830 --> 40:41.830]  Yeah.
[40:41.830 --> 40:42.830]  See?
[40:42.830 --> 40:43.830]  Thank you.
[40:43.830 --> 40:44.830]  Good job.
[40:44.830 --> 40:45.830]  Yeah.
[40:45.830 --> 40:46.830]  No, I've been trying that for a while, too.
[40:46.830 --> 40:47.830]  Cannabis.
[40:47.830 --> 40:48.830]  Cannabis.
[40:48.830 --> 40:49.830]  Yeah.
[40:49.830 --> 40:50.830]  It just sounds like a better word.
[40:50.830 --> 40:51.830]  Cannabis.
[40:51.830 --> 40:52.830]  Yeah.
[40:52.830 --> 40:53.830]  Herb.
[40:53.830 --> 40:54.830]  I call it herb a lot.
[40:54.830 --> 40:55.830]  It's a Rasta in me.
[40:55.830 --> 40:56.830]  It's a good herb.
[40:56.830 --> 40:57.830]  Yeah.
[40:57.830 --> 40:58.830]  So we're talking about things that all grows need.
[40:58.830 --> 40:59.830]  Yeah.
[40:59.830 --> 41:00.830]  Every grow is going to need electricity.
[41:00.830 --> 41:01.830]  Duh.
[41:01.830 --> 41:02.830]  Right?
[41:02.830 --> 41:03.830]  Unless you're growing outside, you need electricity.
[41:03.830 --> 41:04.830]  You're going to need lights and timers.
[41:04.830 --> 41:05.830]  You're going to need a water source.
[41:05.830 --> 41:06.830]  Those are the basics that every grow will need.
[41:06.830 --> 41:07.830]  And we're at 40 minutes.
[41:07.830 --> 41:08.830]  I'm going to try to squeeze as much of this in as we can, but we might not actually even
[41:08.830 --> 41:09.830]  get to like that.
[41:09.830 --> 41:10.830]  Yeah, man.
[41:10.830 --> 41:11.830]  I mean.
[41:11.830 --> 41:12.830]  Might not get to the build part until another episode.
[41:12.830 --> 41:13.830]  Because I have another episode planned that is just, I've had news articles set aside.
[41:13.830 --> 41:14.830]  I've got a couple of things Mike and I wanted to talk about.
[41:14.830 --> 41:15.830]  It's going to kind of go between these two build episodes, I think.
[41:15.830 --> 41:16.830]  But I might put it out as like a midweek episode.
[41:16.830 --> 41:17.830]  So I think after we record here, Mike is going to be talking about the build part.
[41:17.830 --> 41:18.830]  And then I'm going to be talking about the build part.
[41:18.830 --> 41:19.830]  And then I'm going to be talking about the build part.
[41:19.930 --> 41:46.530]  And then I'll try to get Jesse back as soon as possible to talk more about building.
[41:46.530 --> 41:52.790]  tell. Yeah, we love the questions. That means we're doing our job. If we spark your thoughts,
[41:52.790 --> 41:57.430]  that means we're doing our job. Hey, LB, you asked me questions and I appreciate it. I
[41:57.430 --> 42:00.950]  hope I responded appropriately. I don't want to say your full name because I haven't gotten
[42:00.950 --> 42:04.670]  your permission, but LB, I appreciate you for listening. That's awesome.
[42:04.670 --> 42:08.390]  So lights, everybody needs lights. Lights are actually the main ingredient to your grow
[42:08.390 --> 42:13.350]  space. Lights dictate the cycles of the gardens. They tell you if you're in veg or if you're
[42:13.350 --> 42:18.770]  in flower. Lights are also the main fuel and energy provider for your plants. Lights
[42:18.770 --> 42:21.670]  create photosynthesis. Lights are the main thing.
[42:21.670 --> 42:26.630]  It's the number one nutrient. Yes. Put as big of a light as you can in your
[42:26.630 --> 42:34.110]  space is what I always say. And a lot of them. So no matter how big or small your grow space
[42:34.110 --> 42:38.470]  is, you will need some sort of air exchange system. Always. You got to get rid of that
[42:38.470 --> 42:43.870]  old stale, funky air. I can't stress how important this is. Most of the problems I
[42:43.870 --> 42:49.790]  see from low budget grows is a lack of airflow and air exchange. Moving the air around the
[42:49.790 --> 42:55.770]  room is great, but you need to replace the air in the room also. If you leave a freshly
[42:55.770 --> 42:59.670]  watered crop locked in a sealed closet with a light above it, you're creating a very humid
[42:59.670 --> 43:04.110]  environment. The plants are trying to transpire, but there's too much moisture in the air.
[43:04.110 --> 43:08.350]  The plants can't sweat like they should, which slows down photosynthesis and stunts
[43:08.350 --> 43:13.150]  growth. It also makes your plants look angry and sad too. If the plants are left in excessive
[43:13.150 --> 43:17.150]  humidity for long periods, they will become very susceptible to our good friend, powdery
[43:17.150 --> 43:25.710]  mildew. F you powdery mildew. As your buds grow, your risk of powdery mildew way increases.
[43:25.710 --> 43:28.690]  The insides of your buds, if you're not getting some airflow in there and you got too much
[43:28.690 --> 43:33.230]  moisture in the room, that mold is going to grow right in the middle of your buds.
[43:33.870 --> 43:37.510]  Lock yourself in your car one day. Just lock yourself in the car on the sun and just try
[43:37.510 --> 43:40.550]  to sit there and breathe for the whole day. That's what it feels like for your plants
[43:40.550 --> 43:42.590]  when you just stifle them locked up in a tight room.
[43:42.590 --> 43:44.830]  That's a good way to put it.
[43:44.830 --> 43:50.750]  We've stressed the need for air exchange. Water. Water should be easily accessible.
[43:50.750 --> 43:56.050]  I predict that each thousand watt light will require about five gallons of water two to
[43:56.050 --> 44:04.570]  three times a week. This works across the board. I like to put 16 three gallon pots
[44:04.570 --> 44:10.130]  under the light or I like to put nine five gallon pots or between four and six seven
[44:10.130 --> 44:15.930]  gallon pots underneath a thousand watt light. Either way, I find that that requires about
[44:15.930 --> 44:18.370]  five gallons of water for each watering.
[44:18.370 --> 44:22.450]  That's a real good estimate actually.
[44:22.450 --> 44:26.450]  I'm glad that works out. Keep that in mind that you guys are going to have to get water
[44:26.450 --> 44:32.490]  to your grow space at least twice a week unless you set up a drip system. Lay it in flour
[44:32.490 --> 44:36.570]  and if your room is a little hotter, you may be watering three or four times a week.
[44:36.570 --> 44:39.850]  I'm hitting my plants as a little cool now, so I'm hitting them Monday. I hit them with
[44:39.850 --> 44:43.730]  nutrients real heavy and then I try to hit them on Thursday or Friday with just enough
[44:43.730 --> 44:48.190]  water to keep them through Monday. Since they haven't been drinking a lot, that means that
[44:48.190 --> 44:51.610]  on their next day when they get just water, I'm going to really water the shit out of
[44:51.770 --> 44:55.370]  them to kind of wash out any excess nutrients that have built up over time and then we'll
[44:55.370 --> 45:00.610]  start refeeding the soil again around day 30. I really pummel them with a lot of sugars
[45:00.610 --> 45:01.610]  and things.
[45:01.610 --> 45:06.290]  Smaller plants will use water a lot more often too.
[45:06.290 --> 45:10.850]  That mic stand is fired after his performance tonight. We have a mic stand that needs Viagra.
[45:10.850 --> 45:14.090]  We'll swap it out for that one over there. Sorry about giving you the shitty mic stand.
[45:14.090 --> 45:15.090]  It's all good.
[45:15.090 --> 45:19.570]  I've got to talk to our sponsors about this. If you guys are interested in sponsoring the
[45:19.570 --> 45:23.610]  I Grow Culture podcast, email me. I grow culture at hotmail.com. I'd love to hear what you
[45:23.610 --> 45:26.410]  have to say. I'll send you a one sheet if that's what you're looking for. Let you know
[45:26.410 --> 45:32.370]  what my rates are. We've been hitting, dude, we've been hitting between 3000 and 5000 listeners
[45:32.370 --> 45:38.330]  per episode. 5000 is our peak. 2500 is like our low on an episode now. Jesus, that's,
[45:38.330 --> 45:41.530]  that's how many people are here in this show. So thank each and every one of you that are
[45:41.530 --> 45:45.410]  listening. That is awesome. Yeah, thank you guys. All right. I feel like we've talked
[45:45.410 --> 45:49.610]  about the very basics of building a room. We talked about setting a goal for how much
[45:49.610 --> 45:54.290]  cannabis we need to grow. I wrote herb right here, but I corrected myself. The next step
[45:54.290 --> 45:58.130]  is figuring out if you're building your room to fit your production needs, or if you're
[45:58.130 --> 46:04.490]  building the room to fit the available space, budget and electrical limitations. Sometimes
[46:04.490 --> 46:08.290]  you can't always throw 24 lights in your basement because you can't pull that many amps. So
[46:08.290 --> 46:13.530]  find a happy medium that lets you grow a few crops and then see if this is something that
[46:13.530 --> 46:17.890]  you can dedicate more time and space and electricity to. And then after a couple of
[46:17.890 --> 46:22.490]  crops, expand your grows, plant them out. But don't expand more quickly than you can
[46:22.490 --> 46:26.690]  learn. I keep saying that. Imagine this. Imagine getting ahead of yourself will cause you headaches
[46:26.690 --> 46:32.850]  in the future. Imagine if you have 24 lights and flower with six, seven gallon pots under
[46:32.850 --> 46:37.050]  each light and now you have fungus gnats and it's your first grow and you're like four
[46:37.050 --> 46:40.370]  weeks into flower and you can't spray because if you spray, you're going to put shit in
[46:40.370 --> 46:44.610]  your buds, but you've got to get rid of those fungus gnats and you got a whole lot of them.
[46:44.610 --> 46:52.370]  You just spent, if you got 24 lights, it's like 150 plants. That should be 24 to 30 pounds
[46:52.370 --> 46:55.210]  of wheat. If you do this, right? Some guys are going to get 48 pounds of weed out of
[46:55.210 --> 46:58.930]  these 24 lights. If you're running some OG kush or girl's got cookies, you're hoping
[46:58.930 --> 47:03.970]  for those 25 pounds out of that. And now you may have to cut it down four weeks in. You
[47:03.970 --> 47:08.690]  got to do it. What if you got spider mites in there? I'm cringing. So what I'm saying
[47:08.690 --> 47:13.890]  is start small, dude. Uh, fail small before you fail so large because when you grow, you're
[47:13.890 --> 47:18.890]  going to fail. Uh, I mess up at this rate. I still kill stuff on accident like all the
[47:18.890 --> 47:22.610]  time, but that's the only way I learn. I encourage a little bit of experiment. Don't experiment
[47:22.610 --> 47:27.330]  on your moms. Don't experiment on your patients. Important crop. Pick a plant, torture it,
[47:27.330 --> 47:33.330]  see what you can do to it, but go small. Like experience a few problems before you try to
[47:33.330 --> 47:39.570]  battle fungus gnats in a 24 light flowering room. All right. We are 47 minutes in. I'm
[47:39.570 --> 47:42.410]  not sure if we should try to keep going or if we should save this next part for another
[47:42.410 --> 47:46.650]  episode because we're, uh, we kind of got them on the edge of their seats right now.
[47:46.650 --> 47:52.690]  Yeah. We'll talk about, we'll talk about this one spot right here. And then, uh, so we're
[47:52.690 --> 47:56.850]  gonna talk a little bit about room size in relation to how many and what type of lights
[47:56.850 --> 48:02.810]  to use. We got about 10 minutes to do this. So a small closet set up. Uh, I would use
[48:02.810 --> 48:08.890]  some small T5 lights, little fluorescent lights. I personally don't like the coiled
[48:08.890 --> 48:13.730]  CFLs. I don't feel like they put out enough light. They work great as supplements. If
[48:13.730 --> 48:16.570]  it's all you got, that's going to, if it's all you've got and all you can power, it's
[48:16.570 --> 48:20.090]  going to work. But for the amount of heat that they put off, I don't think they put
[48:20.090 --> 48:26.210]  off enough light. I agree. Totally. Awesome. Uh, for a closet, I would almost recommend
[48:26.210 --> 48:31.310]  it's a T5 light. I think there are eight bulbs and I think it's 24 by 24 is the dimensions
[48:31.310 --> 48:37.070]  of it. Uh, and I think it's actually made by Hydro Farm. If you've got a small closet,
[48:37.070 --> 48:40.830]  that is the perfect light. In my opinion. Uh, if you can't run a lot of electricity,
[48:40.830 --> 48:44.830]  you can put that in a small fan and leave the closet cracked a little bit. You've got
[48:44.830 --> 48:48.430]  a grow room, dude. As long as you're getting that stale air out of there and not letting
[48:48.430 --> 48:53.590]  it get too hot, keep the, those T5 lights right above your plants. And then every night
[48:53.590 --> 48:57.150]  you got to close that closet door at the same time and turn off your light to start your
[48:57.150 --> 49:01.070]  flower cycle. And you got to be on the money eight o'clock, eight o'clock every day and
[49:01.070 --> 49:05.390]  night. But so in a small closet, I think that little T5 light I'm talking about is perfect
[49:05.390 --> 49:12.150]  or maybe a small HID, a high intensity discharge light. Uh, maybe like a one 50 in a closet.
[49:12.150 --> 49:16.470]  I really like a 250 watt high pressure sodium light. I really find those to be efficient.
[49:16.470 --> 49:20.270]  Those are cool lights. It's a great size light. Doesn't take a lot of wattage, but it does
[49:20.270 --> 49:26.510]  make a little bit of heat. Uh, even, um, you know, if your closet's a little bigger, 400s
[49:26.510 --> 49:29.950]  are great. That's great. That's exactly what I wrote down. I was going to say a 400 is
[49:29.950 --> 49:32.950]  kind of the biggest you really want to go in a closet unless you got like one of those
[49:32.950 --> 49:38.830]  fancy like Bel Air walk-in closets. Uh, but everyone's got a small closet they can dedicate
[49:38.830 --> 49:42.690]  to a grow space. So if you're just trying to supply herb for you and your girlfriend
[49:42.690 --> 49:46.390]  or something, or your patient, just you, the closet is fine. Especially with the little
[49:46.390 --> 49:50.910]  T5 light. I think you could pull some, some stuff out of a T5. Is that where your first
[49:50.910 --> 49:56.550]  grow was it in a closet? Uh, technically yes, it was in a closet, but inside of that
[49:56.550 --> 50:00.710]  closet I put a grow hut in there. It was kind of a large closet. It was more of a, uh, it
[50:00.710 --> 50:05.470]  was a closet that was actually attached to the hot water heater area. So the closet had
[50:05.470 --> 50:11.230]  another door in it and I actually took the ducting from my hot water heater and my heater
[50:11.230 --> 50:17.670]  and use some of the CO2, uh, to my grow room. Yeah. That can be a little dangerous. Yes.
[50:17.670 --> 50:22.270]  Uh, yeah, yeah, yeah. Don't don't do that if you don't know what you're doing. Nice.
[50:22.270 --> 50:26.270]  Uh, so yeah, perfect little closet. Uh, it's a great way to grow. You can grow a little
[50:26.270 --> 50:31.910]  short plants in there. You can supply yourself. Oh yeah. A small corner of a room works. If
[50:31.910 --> 50:37.350]  you need to like tarp off a room or like if you have a small room that you can just take
[50:37.350 --> 50:41.230]  the corner, you can put a grow hut in the corner. Grow huts are awesome. I said, I'm
[50:41.230 --> 50:44.550]  going to do a whole talk about those. That will be another episode guys. We're at 50
[50:44.550 --> 50:48.790]  minutes now. I've noticed you guys don't listen past 45 a lot of the, the listeners
[50:48.790 --> 50:54.390]  click out at 45 minutes. You're droning off. I mean you're not droning on this. What I
[50:54.390 --> 50:59.910]  meant, it didn't mean I meant after, after a while we, if we listen to the show, I can
[50:59.910 --> 51:04.150]  tell we run out of energy about an hour. It's like, Oh my throat's done. All the listeners
[51:04.150 --> 51:10.950]  are getting drowsy. Yes. Okay. Well yeah. And I don't blame you guys. Uh, so you got
[51:10.950 --> 51:15.470]  that small corner, small space. You can put a T five all the way up to like a 600 watt
[51:15.470 --> 51:21.390]  light and like a six by six space if you can vent it. Uh, we'll talk in the next episode.
[51:21.390 --> 51:25.270]  Jesse is actually like a carpenter craftsman house builder, manly man. So he's going to
[51:25.270 --> 51:28.910]  talk about framing up a space and stuff. Uh, in the next episode we're going to try to
[51:28.910 --> 51:33.990]  get this part done quickly here. Grow huts. I will talk a lot about them. Uh, you can
[51:33.990 --> 51:38.510]  put a grow hut in the corner of any room. You can put multiple grow huts in a basement.
[51:39.150 --> 51:43.210]  You can put one grow hut in every room. If you've got limited power, find out where each
[51:43.210 --> 51:47.790]  room is on each breaker and put one grow hut on each breaker. You can grow plenty of cannabis
[51:47.790 --> 51:52.490]  in one house or one location. Sounds like my kind of place. I think I've been to houses
[51:52.490 --> 51:56.930]  like this. Uh, then of course there's the whole dedicated bedroom. If you've got a nice
[51:56.930 --> 52:02.330]  bedroom that nobody needs, if you're a single guy and your roommate sucks, kick him out,
[52:02.330 --> 52:06.750]  build a grow room. He won't eat your food. He won't bring over ugly chicks. You got to
[52:06.750 --> 52:10.410]  grow room in there now. It's going to produce dank cannabis and it will pay for itself.
[52:10.410 --> 52:14.890]  Uh, something I should write down to talk about is the cost of running the grow room
[52:14.890 --> 52:18.550]  because that's just on my mind. Huh? I had more paper here and I don't know where the
[52:18.550 --> 52:24.150]  note I wrote earlier went, but we'll write that right here. It's expensive. Uh, big grow
[52:24.150 --> 52:30.430]  rooms, big facilities and stuff like that. Astronomical electricity bills. But imagine
[52:30.430 --> 52:34.110]  if, uh, if imagine if you and I were roommates and you kicked me out and built a grow room
[52:34.110 --> 52:38.150]  in my space, it would definitely pay for itself in the long run and it wouldn't eat
[52:38.150 --> 52:44.910]  your freaking Ben and Jerry's. It would get you high as crap in the end. So a whole room,
[52:44.910 --> 52:49.130]  you can put multiple, depending on the size of your room, if you've got, so I say like
[52:49.130 --> 52:53.470]  every six by six, four by four, four by four to six by six space, you should put about
[52:53.470 --> 52:57.550]  a thousand watt light if you can vent it. Uh, if you've got a room that's like 10 by
[52:57.550 --> 53:01.750]  10, I think you should put 4,000 while lights in there. Uh, if you're getting bigger and
[53:01.750 --> 53:07.310]  bigger, I, it kind of depends on your wattage and stuff, but about every five by five square
[53:07.310 --> 53:12.830]  should be a thousand watt light. If you can vent that, I try to leave. People hate walkways.
[53:12.830 --> 53:16.750]  A lot of growers say that walkways are expensive and a waste of space. I like giving myself
[53:16.750 --> 53:21.790]  a walkway so I can get to every single plant and I think the plants like the space to breathe.
[53:21.790 --> 53:25.590]  Uh, you don't like being crowded in on the bus with everybody touching you. Your plants
[53:25.590 --> 53:28.750]  don't like that shit either. Give them some room to breathe and keeping the leaves off
[53:28.750 --> 53:34.230]  of each other will prevent powdery mildew and places for bugs to jump around. So if
[53:34.230 --> 53:40.430]  you've got a whole room, put up 1000 watt light every five by five space up to the limit
[53:40.430 --> 53:45.790]  that your electricity will allow and that you can cool. Um, here's a random recommendation.
[53:45.790 --> 53:51.390]  I think it's about 3000 BTU use of cooling for every single thousand watt light is what
[53:51.390 --> 53:56.630]  I think you want. 2,500 to 3000. Okay. So keep that in mind when you're, and you have
[53:56.630 --> 54:04.110]  to power that air conditioner also. So in your big room here, if you've got, uh, and
[54:04.110 --> 54:07.430]  you're 30 and you're two 30 amp breakers, you're going to be able to run one, maybe
[54:07.430 --> 54:13.030]  two lights and an air conditioner. Um, that's going to be about it on a 30 amp breaker.
[54:13.030 --> 54:16.830]  So you're going to need an, uh, an electrician to come wire up your big room. Yeah. You're
[54:16.830 --> 54:20.070]  not going to be able to get the air conditioner on that. Most likely. Uh, if you've got a
[54:20.070 --> 54:25.150]  big garage or a basement, you need to have the electrician come and wire you up with
[54:25.150 --> 54:30.990]  a 240 in the whole basement. And then you need to have a mini split put in the basement
[54:30.990 --> 54:35.110]  and hang like 24 lights down there in your basement. And you gotta have an HVAC guy come
[54:35.110 --> 54:40.670]  set that up. Yeah. And yeah, they're fun. Yeah. That mini split is going to be fun to
[54:40.670 --> 54:44.450]  put in, but man, you can keep it so cool once you get it there. And then the next step up
[54:44.450 --> 54:48.630]  from there, uh, after you have your basement or your big garage with multiple thousands,
[54:48.630 --> 54:53.310]  uh, anything more than nine lights, I think becomes like kind of extensive for a home
[54:53.310 --> 54:57.630]  grow. Like, yeah, if you got like 10 lights in a house, you're kind of pushing it. But
[54:57.630 --> 55:01.430]  then you move on to like the commercial scale warehouses where you've got multiple rooms
[55:01.430 --> 55:05.870]  with multiple thousand watt lights or one giant room with a hundred lights in it. I
[55:05.870 --> 55:09.870]  kind of prefer more separated rooms. Uh, I like to breed and if something goes wrong
[55:09.870 --> 55:14.510]  in one room, you don't have it everywhere. Yeah. It's a little more containable. So my
[55:14.510 --> 55:19.550]  main point is plan the room before you start building. Uh, think about how many lights
[55:19.550 --> 55:23.070]  you want to run. Think about how much cannabis you want to produce. Uh, think about your
[55:23.070 --> 55:27.150]  electrical limitations. Think about your budget. It's going to cost you, we said about a hundred
[55:27.150 --> 55:32.190]  bucks a month to run a light and its accessories. So keep that in mind until harvest. You're
[55:32.190 --> 55:35.910]  not going to have, uh, you're going to have to figure out how to pay for that. Once harvest
[55:35.910 --> 55:39.830]  comes, then you obviously have a way to pay for that. Uh, we're going to be at an hour
[55:39.830 --> 55:43.510]  real quick here, guys. This is a good way to make this a two part episode. The part
[55:43.510 --> 55:47.870]  we're going to come up with next is actually the basic steps to building the room and some
[55:47.870 --> 55:51.950]  guidance on building a room and things to look for. Uh, I'm going to cut this episode
[55:51.950 --> 55:56.630]  off right here and we'll make that part two. Uh, dude, thanks for coming to do it. Another
[55:56.630 --> 56:01.230]  great episode. We just crushed this one. I feel like, yeah, um, we kind of droned on
[56:01.230 --> 56:05.070]  for a little bit. I feel like I've been talking for an hour straight, so I apologize if this
[56:05.070 --> 56:10.150]  got boring. I hope you guys learned a whole bunch of stuff this time. If there are any
[56:10.150 --> 56:13.990]  questions, make sure you send them to me. You can message Jesse. He's a at Jesse grows
[56:13.990 --> 56:19.230]  is at Jesse grows OG on Twitter. Uh, yeah, cool. Add Jesse grows OG on Twitter. Follow
[56:19.230 --> 56:24.070]  him on Instagram at Jesse grows. Uh, you can message me. I grow culture at hotmail.com.
[56:24.070 --> 56:28.830]  You can find me. Uh, there's an, I grow culture Facebook page. There's an, I grow culture
[56:28.830 --> 56:36.070]  Instagram. We're quite easy to find. Um, there's a Twitter, Facebook. I've got it all. So dude,
[56:36.070 --> 56:39.150]  thanks for coming. Really? Uh, thanks for that part of you through guys. We'll let you
[56:39.150 --> 56:43.430]  know when the next party is coming. Uh, I'm going to go ahead and wrap it up. Get us some
[56:43.430 --> 56:47.550]  questions. Yeah. Get us questions please. And now that the show is over, now that you've
[56:47.550 --> 56:52.350]  learned how to build a sweet grow room, please go to iTunes or stitcher, uh, find I grow
[56:52.350 --> 56:56.550]  culture, find the review section, give us a five-star rating, type in a comment and
[56:56.550 --> 57:00.430]  let me know what you think of the show. And I will read your comments on a future episode.
[57:00.430 --> 57:06.030]  Uh, don't forget that the show is available on iTunes, stitcher, I read genetics, colorado.com.
[57:06.030 --> 57:09.470]  And I am still working on adding videos to YouTube. I took a break from that for a minute.
[57:09.470 --> 57:13.830]  I was kind of busy this week, but they will still come up there. Dude. I want to give a huge
[57:13.830 --> 57:18.110]  shout out to the garden of Whedon. Huge shout out to my ninja Spence. Big shout out to Jesse.
[57:18.390 --> 57:21.990]  Thanks again for listening to you guys. Take a fat dab. Give your mom a hug for me.
[57:48.090 --> 57:56.890]  Come watch me DJ in the dance. A long, long time. I'm on a DJ in the dance. Come watch me nice up to dance. A long, long time.
