[00:00.000 --> 00:01.960]  What's up, cannabis community?
[36:22.400 --> 36:24.520]  Sometimes I'm just too damn high for my own good
[36:25.680 --> 36:29.920]  All right guys. I really appreciate to him too. I can't even say appreciate I
[36:30.560 --> 36:34.360]  Really appreciate you guys for listening to the cure lesson like I said if you've got questions
[36:34.360 --> 36:38.360]  Please let us know because we're as dabbed out as you and now we may have gone over stuff
[36:38.560 --> 36:41.640]  We're kind of experienced and sometimes we forget the small details
[36:42.880 --> 36:48.960]  Still furiously trying to think of something that we skipped. Oh, they'll email me. They'll tell me my Twitter will light up
[36:48.960 --> 36:53.340]  They'll be like you missed this part, bro. This episode will actually be posted in like three hours
[36:54.080 --> 36:58.280]  People will have listened to it within four hours. We'll have a comment almost live
[36:58.840 --> 37:03.120]  Pretty close my friend that's listening late at night. I hope you're doing well
[37:03.760 --> 37:06.400]  All right, we're gonna wrap up this part. You got any shout outs or anything
[37:08.120 --> 37:10.120]  What's up, baby
[37:10.960 --> 37:17.280]  What's up, I don't know yeah, I grew up weblo come see me down there still waiting on someone to come dab me up
[37:18.680 --> 37:23.600]  Yeah, I got punched in the arm when burn was listening to the
[37:28.440 --> 37:33.120]  Influence on Jesse I'm a bad influence you guys go to high grow Pueblo check them out
[37:33.120 --> 37:36.040]  It's a really great shop also support highly educated titanium
[37:36.080 --> 37:40.520]  Don't forget about the new coupon code at nature's green remedies
[37:41.000 --> 37:47.880]  Your purchase at nature's green remedies helps keep homeless people in the Detroit area warm. It's getting cold as shit up there
[37:48.240 --> 37:51.960]  Also, don't forget. I need somebody to go and count how many times I said the f-word
[37:51.960 --> 37:55.160]  I don't think I said it at all in this episode, so we're making progress
[37:55.400 --> 38:00.000]  Fuck yeah, see we talked about it earlier the guests can say whatever they want cuz I like you to be yourself
[38:00.000 --> 38:03.880]  But I gotta be a good host and be a good little boy. What was that coupon code again?
[38:03.880 --> 38:08.200]  Oh, yeah, I never said that did I it's coupon code helping hands nice
[38:08.200 --> 38:12.640]  Yeah, so you can be a helping hand give a helping hand. It's two words helping hands hands plural
[38:12.720 --> 38:16.440]  So type that in at nature's green remedies comm that works for any brand
[38:17.080 --> 38:20.080]  I read genetics is currently sold out. I apologize
[38:20.760 --> 38:24.840]  They're cooking right now the popcorn is popping so give it just a few weeks here
[38:24.840 --> 38:28.000]  And I'll refill them and everybody will be happy there will be new stuff
[38:29.640 --> 38:32.700]  Guys join the forum at I read genetics colorado.com
[38:32.700 --> 38:38.080]  I tried to say I read genetics colorado.com, but the cotton mouth made my face stick together so bad
[38:38.080 --> 38:39.160]  I don't know what even came out
[38:39.160 --> 38:44.120]  I guess I'll just do this wrap-up part of the show while Jesse's sitting here usually I play some music and come back and
[38:44.120 --> 38:46.200]  End it, but there's no reason to take a break because we're on a roll
[38:46.720 --> 38:52.040]  Um hey, please go leave me some comments on stitcher and iTunes and give me a five-star rating on there
[38:52.040 --> 38:59.000]  I really like that stuff make sure you follow us follow Jesse on Instagram and Twitter. It's a add Jesse grows on Instagram
[38:59.000 --> 39:02.040]  It's Jesse grows OG on Twitter follow him
[39:02.040 --> 39:06.240]  He's a good dude follow I read genetics on Instagram and Twitter follow
[39:06.240 --> 39:09.360]  I grow culture on Instagram and Twitter make sure you follow us on Facebook
[39:09.800 --> 39:13.000]  Just participate we like the interaction we get a lot of show ideas
[39:13.480 --> 39:16.440]  A lot of info from you guys, and it just feels good to know who's listening
[39:18.120 --> 39:20.440]  Here we go here's the part that I always say oh
[39:21.080 --> 39:22.560]  I already said that kind of here
[39:22.560 --> 39:26.920]  We'll just say I don't forget the shows available on iTunes stitcher and also I read genetics colorado.com
[39:26.920 --> 39:30.780]  I am still making those videos for YouTube. I've posted 11 videos now
[39:30.960 --> 39:35.080]  There are nothing fancy, but they get the point across so that people on YouTube can catch the show
[39:35.080 --> 39:39.000]  I think more people listening the better. I want everybody to listen and grow great cannabis
[39:39.480 --> 39:42.880]  Huge huge shout out to my ninja Spence and everybody at the Garden of Whedon
[39:42.880 --> 39:48.600]  They got big plans, and I'm stoked to see how that comes out and proud of you guys big big plans big big plans
[39:49.120 --> 39:54.600]  Don't be afraid to message us guys. Thanks for listening take a fat dab and give your mom a hug for me
